Orthogroup	A_vesiculosa.proteins	B_vulgaris.proteins
OG0001384	Av_00014765-RA	Bevul.6G106200.1.p, Bevul.3G079300.1.p
OG0001385	Av_00017980-RA, Av_00008360-RA, Av_00021991-RA	Bevul.1G149000.1.p, Bevul.1G149200.1.p, Bevul.1G149100.1.p
OG0001386	Av_00016936-RA, Av_00004744-RA	Bevul.9G064400.2.p, Bevul.9G064400.3.p, Bevul.9G064400.5.p, Bevul.9G064400.8.p, Bevul.9G064400.10.p, Bevul.9G064400.14.p, Bevul.9G064400.13.p, Bevul.9G064400.7.p, Bevul.9G064400.11.p, Bevul.9G064400.9.p, Bevul.9G064400.12.p, Bevul.9G064400.1.p, Bevul.9G064400.15.p
OG0001387	Av_00014389-RA	Bevul.4G249600.1.p
OG0001387	Av_00020462-RA, Av_00000666-RA, Av_00019632-RA, Av_00017454-RA	Bevul.3G175600.1.p
OG0001388	Av_00008960-RA, Av_00022073-RA	Bevul.8G056700.1.p
OG0001388	Av_00000175-RA, Av_00007889-RA, Av_00024636-RA	Bevul.4G034000.1.p
OG0001389	Av_00012704-RA, Av_00018510-RA	Bevul.9G046900.1.p, Bevul.9G219200.3.p, Bevul.9G219200.4.p, Bevul.9G219200.5.p, Bevul.9G219200.6.p, Bevul.5G093500.1.p, Bevul.9G219200.1.p, Bevul.9G219200.2.p
OG0001390	Av_00000380-RA	Bevul.7G195500.1.p
OG0001390	Av_00002349-RA	Bevul.5G046800.1.p
OG0001391	Av_00017728-RA	Bevul.5G164900.1.p, Bevul.5G164800.1.p, Bevul.5G164700.1.p, Bevul.5G165000.1.p
OG0001392	Av_00013017-RA, Av_00024027-RA	Bevul.3G037900.1.p
OG0001394	Av_00014805-RA, Av_00016801-RA	Bevul.1G073900.1.p
OG0001395	Av_00009273-RA, Av_00015007-RA	Bevul.7G142900.1.p
OG0001396	Av_00024297-RA, Av_00002623-RA, Av_00005375-RA	Bevul.6G205500.1.p
OG0001397	Av_00007598-RA, Av_00020879-RA	Bevul.6G118000.1.p
OG0001398	Av_00001365-RA	Bevul.4G118900.1.p
OG0001398	Av_00020424-RA, Av_00023045-RA	Bevul.4G119100.1.p, Bevul.9G026800.1.p, Bevul.4G119000.1.p
OG0001400	Av_00015480-RA, Av_00023098-RA	Bevul.6G193500.1.p
OG0001400	Av_00007086-RA	Bevul.2G095700.1.p, Bevul.2G095700.2.p
OG0001401	Av_00019665-RA, Av_00019387-RA	Bevul.1G145900.1.p
OG0001402	Av_00017304-RA	Bevul.8G154900.1.p, Bevul.8G154800.1.p, Bevul.2G221700.1.p
OG0001402	Av_00016993-RA, Av_00024202-RA, Av_00016716-RA, Av_00005222-RA	Bevul.6G114600.1.p
OG0001403	Av_00007635-RA	Bevul.6G139800.1.p
OG0001404	Av_00023956-RA	Bevul.4G095800.1.p
OG0001404	Av_00010552-RA, Av_00001717-RA	Bevul.5G212200.1.p
OG0001405	Av_00017673-RA, Av_00001749-RA	Bevul.5G196400.1.p
OG0001405	Av_00001748-RA, Av_00018283-RA, Av_00004705-RA	Bevul.9G006500.2.p, Bevul.9G006500.1.p, Bevul.9G006600.1.p
OG0001406	Av_00012415-RA, Av_00013861-RA, Av_00011275-RA	Bevul.5G201500.1.p
OG0001406	Av_00007522-RA, Av_00015498-RA	Bevul.6G245800.1.p
OG0001407	Av_00002850-RA, Av_00012542-RA, Av_00013424-RA	Bevul.7G068400.1.p
OG0001419	Av_00017783-RA	Bevul.7G043300.2.p, Bevul.7G043300.1.p
OG0001421	Av_00020491-RA	Bevul.2G147000.1.p
OG0001422	Av_00012018-RA, Av_00015621-RA	Bevul.2G228800.3.p, Bevul.2G228800.1.p, Bevul.2G228800.2.p
OG0001423	Av_00006577-RA	Bevul.4G211200.1.p
OG0001424	Av_00000554-RA, Av_00014741-RA, Av_00002150-RA	Bevul.3G130700.1.p
OG0001425	Av_00004207-RA	Bevul.1G022800.1.p
OG0001425	Av_00011877-RA	Bevul.4G245200.1.p
OG0001425	Av_00011876-RA, Av_00016570-RA	Bevul.4G244800.1.p
OG0001426	Av_00007346-RA, Av_00013297-RA	Bevul.7G187200.1.p
OG0001427	Av_00017495-RA, Av_00008460-RA	Bevul.9G095700.1.p
OG0001428	Av_00013232-RA, Av_00017888-RA	Bevul.3G133600.1.p
OG0001431	Av_00013307-RA, Av_00007360-RA, Av_00008434-RA, Av_00013308-RA, Av_00007361-RA, Av_00008433-RA, Av_00006164-RA	Bevul.7G195200.1.p
OG0001432	Av_00009088-RA	Bevul.2G190300.1.p
OG0001432	Av_00012672-RA, Av_00013174-RA, Av_00021732-RA	Bevul.3G193700.1.p
OG0001433	Av_00020074-RA, Av_00015453-RA	Bevul.4G191100.1.p
OG0001433	Av_00015127-RA, Av_00006647-RA, Av_00021049-RA	Bevul.4G168600.1.p
OG0001434	Av_00009157-RA	Bevul.3G114500.1.p
OG0001435	Av_00008423-RA, Av_00006143-RA, Av_00019676-RA	Bevul.7G205000.1.p
OG0001437	Av_00013236-RA	Bevul.2G104300.9.p, Bevul.2G104300.10.p, Bevul.2G104300.1.p, Bevul.2G104300.2.p, Bevul.2G104300.3.p, Bevul.2G104300.5.p, Bevul.2G104300.4.p, Bevul.2G104300.7.p, Bevul.2G104300.6.p, Bevul.2G104300.11.p, Bevul.2G104300.8.p
OG0001438	Av_00002793-RA	Bevul.5G132300.1.p
OG0001438	Av_00011822-RA, Av_00014881-RA	Bevul.4G211400.1.p
OG0001439	Av_00006700-RA	Bevul.4G132000.1.p
OG0001441	Av_00000356-RA	Bevul.6G069800.1.p
OG0001441	Av_00008681-RA, Av_00014701-RA	Bevul.1G099300.1.p
OG0001442	Av_00024397-RA, Av_00015364-RA, Av_00000402-RA	Bevul.6G087400.1.p
OG0001443	Av_00006847-RA, Av_00007935-RA, Av_00023580-RA, Av_00015982-RA, Av_00023579-RA	Bevul.1G019600.1.p
OG0001444	Av_00008862-RA, Av_00018328-RA, Av_00004333-RA, Av_00004553-RA, Av_00011096-RA, Av_00009892-RA	Bevul.9G129800.1.p, Bevul.9G129000.1.p, Bevul.9G129100.1.p
OG0001445	Av_00022821-RA	Bevul.2G032000.1.p
OG0001446	Av_00018530-RA, Av_00004747-RA, Av_00016939-RA, Av_00010157-RA, Av_00014258-RA	Bevul.9G067300.1.p
OG0001447	Av_00012733-RA, Av_00013094-RA	Bevul.9G004000.1.p
OG0001447	Av_00010605-RA, Av_00010602-RA	Bevul.8G051400.1.p
OG0001448	Av_00002445-RA, Av_00015773-RA	Bevul.4G051100.1.p
OG0001448	Av_00020695-RA	Bevul.8G010500.1.p
OG0001449	Av_00022609-RA, Av_00017323-RA, Av_00008493-RA	Bevul.9G168100.1.p
OG0001450	Av_00021458-RA, Av_00020981-RA	Bevul.8G004900.1.p, Bevul.9G091700.3.p, Bevul.9G091700.1.p, Bevul.9G091700.2.p
OG0001451	Av_00018092-RA	Bevul.3G128900.1.p
OG0001452	Av_00008734-RA, Av_00020696-RA, Av_00014118-RA	Bevul.4G075200.1.p, Bevul.8G009600.1.p
OG0001453	Av_00015726-RA, Av_00002537-RA, Av_00003059-RA, Av_00023501-RA	Bevul.4G009000.1.p
OG0001454	Av_00023931-RA, Av_00017221-RA, Av_00002369-RA	Bevul.4G063800.1.p
OG0001454	Av_00005910-RA	Bevul.8G025300.1.p
OG0001455	Av_00012745-RA	Bevul.9G025000.4.p, Bevul.9G025000.2.p, Bevul.9G025000.3.p, Bevul.9G025000.1.p
OG0001455	Av_00002504-RA	Bevul.4G018000.1.p
OG0001456	Av_00012920-RA, Av_00009386-RA, Av_00001612-RA, Av_00016692-RA	Bevul.3G076800.1.p
OG0001456	Av_00010408-RA, Av_00014566-RA	Bevul.5G035300.1.p
OG0001457	Av_00018690-RA, Av_00021171-RA, Av_00015768-RA	Bevul.8G061400.1.p, Bevul.4G049300.1.p
OG0001458	Av_00006300-RA	Bevul.8G205000.1.p
OG0001459	Av_00018258-RA, Av_00010090-RA	Bevul.2G180200.1.p, Bevul.2G180200.4.p, Bevul.2G180200.6.p, Bevul.2G180200.5.p, Bevul.2G180200.3.p, Bevul.2G180200.2.p
OG0001460	Av_00006044-RA	Bevul.5G061700.1.p
OG0001460	Av_00013036-RA, Av_00024011-RA	Bevul.3G030900.1.p
OG0001461	Av_00005486-RA, Av_00020814-RA, Av_00006105-RA, Av_00006109-RA	Bevul.6G086200.1.p
OG0001461	Av_00008625-RA, Av_00015211-RA	Bevul.1G178400.1.p
OG0001462	Av_00002104-RA, Av_00012952-RA	Bevul.3G047000.1.p
OG0001463	Av_00014681-RA, Av_00008643-RA	Bevul.1G122900.1.p
OG0001464	Av_00024378-RA, Av_00020889-RA	Bevul.6G230300.1.p
OG0001465	Av_00023158-RA	Bevul.5G079100.1.p
OG0001465	Av_00017975-RA, Av_00008353-RA	Bevul.1G146800.1.p
OG0001466	Av_00005463-RA, Av_00024499-RA, Av_00023357-RA	Bevul.5G035900.1.p
OG0001467	Av_00014672-RA	Bevul.1G120600.1.p
OG0001468	Av_00013668-RA, Av_00006488-RA	Bevul.4G104600.1.p
OG0001469	Av_00000150-RA, Av_00011557-RA, Av_00003062-RA, Av_00015859-RA	Bevul.4G012000.1.p
OG0001470	Av_00021601-RA, Av_00023831-RA	Bevul.7G030500.1.p
OG0001471	Av_00022412-RA	Bevul.8G027400.1.p, Bevul.8G027500.1.p
OG0001471	Av_00020316-RA, Av_00000841-RA	Bevul.3G216300.1.p
OG0001472	Av_00007675-RA	Bevul.8G082500.1.p
OG0001473	Av_00024867-RA, Av_00015713-RA	Bevul.1G062200.1.p
OG0001474	Av_00003888-RA, Av_00005732-RA, Av_00012019-RA, Av_00015620-RA	Bevul.2G229100.1.p
OG0001475	Av_00006694-RA	Bevul.4G130800.1.p
OG0001475	Av_00011390-RA	Bevul.9G141200.1.p
OG0001476	Av_00001155-RA	Bevul.7G006100.2.p, Bevul.7G006100.1.p
OG0001477	Av_00016381-RA, Av_00012484-RA	Bevul.2G139500.3.p, Bevul.2G139500.1.p, Bevul.2G139500.2.p
OG0001478	Av_00012721-RA, Av_00016892-RA	Bevul.7G047800.1.p
OG0001478	Av_00020543-RA	Bevul.7G212400.1.p
OG0001479	Av_00005955-RA, Av_00005617-RA	Bevul.8G057000.1.p
OG0001480	Av_00006306-RA	Bevul.3G211700.1.p
OG0001480	Av_00008118-RA, Av_00006553-RA	Bevul.4G220600.1.p
OG0001481	Av_00013190-RA, Av_00021884-RA, Av_00014458-RA	Bevul.3G184100.1.p
OG0001482	Av_00018286-RA	Bevul.7G086000.2.p, Bevul.7G086000.6.p, Bevul.7G086000.5.p, Bevul.7G086000.7.p, Bevul.7G086000.10.p, Bevul.7G086000.11.p, Bevul.7G086000.3.p, Bevul.7G086000.8.p, Bevul.7G086000.1.p, Bevul.7G086000.4.p, Bevul.7G086000.9.p
OG0001483	Av_00006952-RA, Av_00011787-RA	Bevul.7G118900.1.p
OG0001484	Av_00016113-RA, Av_00016099-RA	Bevul.4G112800.1.p
OG0001485	Av_00018651-RA, Av_00008392-RA, Av_00023804-RA, Av_00021302-RA, Av_00021298-RA	Bevul.4G001400.1.p
OG0001486	Av_00005349-RA, Av_00010821-RA	Bevul.6G176100.1.p
OG0001487	Av_00000031-RA, Av_00017415-RA, Av_00010266-RA	Bevul.1G184600.1.p
OG0001487	Av_00000635-RA, Av_00023729-RA	Bevul.2G143800.1.p
OG0001488	Av_00002162-RA, Av_00009587-RA, Av_00000547-RA, Av_00014744-RA	Bevul.9G071600.1.p, Bevul.9G083900.1.p, Bevul.3G113000.1.p
OG0001490	Av_00014621-RA, Av_00008583-RA	Bevul.1G204500.1.p
OG0001490	Av_00018954-RA	Bevul.4G125700.1.p
OG0001490	Av_00013976-RA, Av_00003286-RA	Bevul.1G204700.1.p
OG0001491	Av_00009195-RA, Av_00009427-RA, Av_00001641-RA, Av_00002102-RA	Bevul.3G049500.1.p, Bevul.3G048000.1.p, Bevul.3G047900.1.p, Bevul.3G047800.1.p, Bevul.3G058300.1.p
OG0001492	Av_00018874-RA	Bevul.1G199400.1.p, Bevul.3G028200.1.p
OG0001493	Av_00002143-RA, Av_00013524-RA	Bevul.3G060600.1.p
OG0001493	Av_00016622-RA, Av_00014842-RA, Av_00001331-RA, Av_00021048-RA, Av_00006649-RA, Av_00022989-RA	Bevul.4G166000.1.p
OG0001494	Av_00012238-RA, Av_00005369-RA, Av_00021828-RA, Av_00002627-RA	Bevul.5G153500.1.p, Bevul.5G153500.2.p, Bevul.6G208900.1.p
OG0001495	Av_00007513-RA	Bevul.6G185000.1.p
OG0001495	Av_00015494-RA	Bevul.6G184800.1.p
OG0001496	Av_00011247-RA, Av_00001775-RA, Av_00009324-RA, Av_00012438-RA	Bevul.2G033700.1.p, Bevul.2G075100.1.p, Bevul.2G075100.2.p, Bevul.2G075100.3.p, Bevul.2G075100.5.p, Bevul.2G075100.6.p, Bevul.2G075100.4.p, Bevul.2G075100.7.p, Bevul.2G075100.8.p, Bevul.2G075100.9.p, Bevul.2G075100.10.p
OG0001497	Av_00011296-RA	Bevul.5G213300.1.p
OG0001498	Av_00003587-RA	Bevul.3G154900.1.p
OG0001500	Av_00006382-RA	Bevul.6G108700.1.p
OG0001501	Av_00013543-RA	Bevul.3G127400.1.p
OG0001501	Av_00000914-RA	Bevul.6G187700.1.p
OG0001503	Av_00008977-RA	Bevul.8G037500.1.p
OG0001504	Av_00010549-RA	Bevul.6G161200.1.p, Bevul.6G161400.1.p, Bevul.6G161500.1.p, Bevul.6G161300.1.p, Bevul.3G064800.1.p
OG0001512	Av_00023088-RA	Bevul.7G183900.1.p
OG0001514	Av_00014120-RA, Av_00010564-RA, Av_00005936-RA	Bevul.1G151100.1.p
OG0001515	Av_00010514-RA	Bevul.8G089600.1.p
OG0001515	Av_00013177-RA, Av_00017236-RA, Av_00012663-RA, Av_00024002-RA, Av_00024948-RA, Av_00023682-RA, Av_00024340-RA	Bevul.7G083100.1.p
OG0001515	Av_00011741-RA, Av_00015174-RA	Bevul.6G075000.1.p
OG0001516	Av_00016840-RA	Bevul.6G166600.1.p
OG0001516	Av_00022845-RA, Av_00020167-RA	Bevul.9G046800.1.p
OG0001517	Av_00017039-RA, Av_00023471-RA, Av_00019212-RA, Av_00000591-RA	Bevul.3G097700.1.p
OG0001518	Av_00017260-RA, Av_00005690-RA	Bevul.2G243500.1.p
OG0001519	Av_00011976-RA	Bevul.2G248200.4.p, Bevul.2G248200.2.p, Bevul.2G248200.3.p, Bevul.2G248200.1.p, Bevul.2G248200.5.p
OG0001520	Av_00009000-RA, Av_00021949-RA	Bevul.2G043500.1.p
OG0001521	Av_00001518-RA	Bevul.7G090300.2.p, Bevul.7G090300.1.p
OG0001522	Av_00016732-RA	Bevul.5G128900.1.p, Bevul.9G098900.1.p
OG0001522	Av_00017003-RA, Av_00015176-RA	Bevul.8G085000.1.p, Bevul.7G082300.1.p
OG0001523	Av_00000195-RA	Bevul.4G243500.1.p
OG0001523	Av_00017714-RA	Bevul.7G144300.1.p
OG0001524	Av_00006881-RA, Av_00024543-RA	Bevul.2G187000.1.p
OG0001525	Av_00021908-RA, Av_00022128-RA	Bevul.3G195900.1.p
OG0001526	Av_00006011-RA, Av_00014187-RA, Av_00021288-RA, Av_00005574-RA	Bevul.2G068100.1.p, Bevul.2G068200.1.p, Bevul.8G152000.1.p
OG0001527	Av_00003913-RA, Av_00005755-RA, Av_00004980-RA, Av_00012210-RA	Bevul.7G024100.1.p
OG0001528	Av_00011875-RA, Av_00007017-RA	Bevul.4G243400.1.p
OG0001529	Av_00017021-RA, Av_00023732-RA, Av_00000612-RA	Bevul.3G146000.1.p
OG0001530	Av_00001560-RA	Bevul.3G064900.1.p
OG0001530	Av_00014884-RA, Av_00008100-RA	Bevul.4G213700.1.p
OG0001531	Av_00012696-RA, Av_00018523-RA, Av_00012769-RA	Bevul.9G061300.3.p, Bevul.9G061300.1.p, Bevul.9G061300.2.p
OG0001532	Av_00002927-RA	Bevul.7G032100.2.p, Bevul.7G032100.1.p, Bevul.7G032000.3.p, Bevul.7G032000.5.p, Bevul.7G032000.4.p, Bevul.7G032000.6.p, Bevul.7G032000.2.p, Bevul.7G032000.1.p
OG0001533	Av_00017068-RA	Bevul.3G059200.1.p
OG0001534	Av_00008159-RA, Av_00014390-RA	Bevul.4G248400.1.p
OG0001534	Av_00021550-RA, Av_00006709-RA	Bevul.3G176000.1.p
OG0001535	Av_00003852-RA	Bevul.2G247400.1.p
OG0001535	Av_00016818-RA	Bevul.7G219900.1.p
OG0001538	Av_00021595-RA, Av_00000457-RA	Bevul.6G017100.1.p
OG0001539	Av_00023852-RA	Bevul.1G084100.1.p
OG0001540	Av_00021301-RA	Bevul.4G001200.1.p
OG0001540	Av_00012671-RA, Av_00014476-RA, Av_00021734-RA	Bevul.3G193600.1.p
OG0001541	Av_00006050-RA, Av_00005436-RA, Av_00003002-RA, Av_00010334-RA	Bevul.5G072100.1.p
OG0001542	Av_00006627-RA, Av_00022975-RA, Av_00015084-RA	Bevul.4G174900.1.p
OG0001543	Av_00004296-RA, Av_00004582-RA	Bevul.9G209000.1.p, Bevul.9G130300.1.p
OG0001543	Av_00004060-RA	Bevul.1G032600.1.p
OG0001544	Av_00013718-RA	Bevul.6G067900.1.p
OG0001544	Av_00010021-RA	Bevul.9G146500.1.p
OG0001547	Av_00012296-RA, Av_00004417-RA	Bevul.9G180600.1.p, Bevul.9G180200.1.p, Bevul.9G180300.1.p
OG0001548	Av_00018738-RA	Bevul.9G222300.6.p, Bevul.9G222300.2.p, Bevul.9G222300.1.p, Bevul.9G222300.3.p, Bevul.9G222300.4.p, Bevul.9G222300.5.p
OG0001549	Av_00000359-RA	Bevul.6G069100.1.p
OG0001549	Av_00020522-RA	Bevul.5G081200.1.p
OG0001550	Av_00023215-RA	Bevul.1G140300.1.p
OG0001552	Av_00009861-RA, Av_00011071-RA	Bevul.9G134200.1.p, Bevul.9G134200.2.p, Bevul.9G134200.3.p, Bevul.9G134200.4.p
OG0001553	Av_00007903-RA	Bevul.1G120500.1.p, Bevul.1G017500.1.p, Bevul.5G093400.1.p, Bevul.5G093600.1.p, Bevul.5G093800.1.p
OG0001554	Av_00010118-RA, Av_00014295-RA	Bevul.9G007700.2.p, Bevul.9G007700.1.p
OG0001555	Av_00022282-RA	Bevul.7G117000.1.p
OG0001556	Av_00006066-RA	Bevul.5G006700.1.p
OG0001557	Av_00000213-RA	Bevul.4G071100.1.p
OG0001558	Av_00021602-RA	Bevul.7G030800.4.p, Bevul.7G030800.12.p, Bevul.7G030800.14.p, Bevul.7G030800.11.p, Bevul.7G030800.7.p, Bevul.7G030800.8.p, Bevul.7G030800.9.p, Bevul.7G030800.10.p, Bevul.7G030800.13.p, Bevul.7G030800.5.p, Bevul.7G030800.6.p, Bevul.7G030800.1.p, Bevul.7G030800.3.p, Bevul.7G030800.2.p
OG0001559	Av_00007390-RA, Av_00005850-RA	Bevul.8G175700.1.p
OG0001560	Av_00015964-RA, Av_00007279-RA	Bevul.9G143000.1.p
OG0001561	Av_00021838-RA, Av_00011633-RA	Bevul.1G073300.1.p
OG0001562	Av_00024410-RA, Av_00023877-RA, Av_00022771-RA	Bevul.5G020000.1.p
OG0001563	Av_00024017-RA	Bevul.3G034500.1.p
OG0001564	Av_00021244-RA, Av_00001102-RA, Av_00008236-RA	Bevul.2G119500.2.p, Bevul.2G119500.1.p
OG0001565	Av_00019971-RA	Bevul.5G237900.1.p
OG0001566	Av_00007226-RA	Bevul.8G131200.1.p
OG0001567	Av_00011773-RA, Av_00016635-RA	Bevul.4G179000.1.p
OG0001568	Av_00024699-RA, Av_00016701-RA, Av_00009189-RA	Bevul.7G130800.1.p
OG0001569	Av_00008012-RA, Av_00006788-RA	Bevul.9G116600.1.p
OG0001569	Av_00019074-RA, Av_00019541-RA	Bevul.8G202900.1.p
OG0001571	Av_00009033-RA, Av_00021625-RA	Bevul.8G190200.1.p
OG0001572	Av_00009050-RA, Av_00005849-RA	Bevul.8G174800.1.p, Bevul.7G181700.1.p
OG0001573	Av_00010381-RA, Av_00014547-RA	Bevul.5G044400.1.p
OG0001573	Av_00019869-RA	Bevul.1G131600.1.p
OG0001574	Av_00014278-RA, Av_00010142-RA, Av_00023542-RA	Bevul.9G053000.3.p, Bevul.9G053000.2.p, Bevul.9G053000.4.p, Bevul.9G053000.1.p
OG0001575	Av_00020657-RA	Bevul.6G013900.1.p
OG0001575	Av_00012073-RA	Bevul.3G173800.1.p
OG0001576	Av_00022514-RA, Av_00014626-RA, Av_00008588-RA	Bevul.1G200000.1.p
OG0001578	Av_00007339-RA, Av_00021060-RA	Bevul.7G182700.1.p
OG0001579	Av_00018358-RA	Bevul.8G097700.1.p
OG0001579	Av_00022942-RA, Av_00022391-RA	Bevul.6G046900.1.p
OG0001580	Av_00024234-RA, Av_00005064-RA	Bevul.7G043700.2.p, Bevul.7G043700.1.p, Bevul.3G179800.1.p
OG0001582	Av_00005571-RA, Av_00006014-RA	Bevul.8G080200.1.p
OG0001583	Av_00014066-RA	Bevul.5G114000.1.p
OG0001586	Av_00012613-RA, Av_00002942-RA, Av_00012614-RA, Av_00010284-RA, Av_00018023-RA	Bevul.7G024800.1.p
OG0001587	Av_00015378-RA, Av_00001860-RA, Av_00013698-RA	Bevul.6G054300.1.p, Bevul.6G054700.1.p, Bevul.6G054400.1.p, Bevul.6G054600.1.p, Bevul.6G054200.1.p, Bevul.6G054800.1.p
OG0001588	Av_00010023-RA	Bevul.1G012500.1.p
OG0001589	Av_00013389-RA	Bevul.1G072400.1.p, Bevul.1G073000.1.p
OG0001590	Av_00019774-RA	Bevul.8G203700.1.p
OG0001590	Av_00005362-RA	Bevul.6G213900.1.p
OG0001591	Av_00006278-RA, Av_00020913-RA, Av_00008919-RA	Bevul.1G064000.1.p
OG0001592	Av_00016630-RA, Av_00001333-RA	Bevul.4G171000.1.p
OG0001593	Av_00021554-RA, Av_00003345-RA, Av_00010820-RA	Bevul.6G178400.1.p
OG0001593	Av_00011641-RA, Av_00017934-RA	Bevul.6G148700.1.p
OG0001594	Av_00023317-RA, Av_00016047-RA	Bevul.1G191200.1.p
OG0001595	Av_00020566-RA	Bevul.5G048200.1.p
OG0001596	Av_00016228-RA, Av_00016078-RA, Av_00016129-RA	Bevul.4G122300.1.p, Bevul.4G122500.1.p
OG0001597	Av_00005761-RA, Av_00012207-RA, Av_00003917-RA	Bevul.2G104600.1.p, Bevul.2G213500.1.p, Bevul.2G213400.1.p, Bevul.2G213200.1.p, Bevul.2G213100.1.p
OG0001598	Av_00019614-RA	Bevul.5G084600.1.p
OG0001600	Av_00024193-RA, Av_00015520-RA, Av_00016974-RA, Av_00007570-RA	Bevul.6G083600.1.p
OG0001601	Av_00005327-RA	Bevul.6G190500.1.p
OG0001601	Av_00017698-RA, Av_00001714-RA	Bevul.5G212900.1.p
OG0001602	Av_00001742-RA	Bevul.5G198200.1.p, Bevul.5G198900.1.p, Bevul.5G198800.1.p
OG0001602	Av_00013862-RA, Av_00011273-RA	Bevul.5G199000.1.p
OG0001603	Av_00007628-RA	Bevul.6G134500.1.p
OG0001604	Av_00019884-RA, Av_00017844-RA	Bevul.5G096000.1.p
OG0001605	Av_00025071-RA, Av_00017132-RA	Bevul.8G143700.1.p
OG0001606	Av_00019480-RA	Bevul.4G089700.1.p
OG0001616	Av_00022709-RA	Bevul.2G031900.2.p, Bevul.2G031900.1.p, Bevul.2G031900.3.p
OG0001617	Av_00004824-RA, Av_00003406-RA, Av_00009570-RA, Av_00021286-RA	Bevul.7G136100.1.p
OG0001618	Av_00013425-RA, Av_00015794-RA, Av_00023871-RA, Av_00017831-RA	Bevul.9G025300.1.p, Bevul.2G105000.1.p
OG0001619	Av_00011119-RA, Av_00004313-RA	Bevul.2G138600.1.p, Bevul.2G138500.1.p
OG0001620	Av_00003366-RA	Bevul.6G203700.1.p
OG0001620	Av_00019139-RA	Bevul.9G033600.3.p, Bevul.9G033600.2.p, Bevul.9G033600.1.p
OG0001621	Av_00012177-RA, Av_00005813-RA, Av_00009085-RA	Bevul.2G189100.1.p
OG0001621	Av_00014910-RA, Av_00008136-RA	Bevul.4G239000.1.p
OG0001622	Av_00004273-RA	Bevul.6G044400.1.p, Bevul.6G044700.1.p, Bevul.6G025500.1.p
OG0001625	Av_00002936-RA, Av_00012611-RA	Bevul.7G026200.1.p
OG0001626	Av_00007019-RA, Av_00004336-RA, Av_00014391-RA, Av_00011884-RA, Av_00006504-RA	Bevul.4G246700.1.p
OG0001627	Av_00002902-RA	Bevul.7G047100.3.p, Bevul.7G047100.2.p, Bevul.7G047100.1.p
OG0001628	Av_00006633-RA, Av_00022980-RA, Av_00001341-RA, Av_00001338-RA, Av_00015130-RA	Bevul.4G172900.1.p, Bevul.3G126900.1.p
OG0001629	Av_00005739-RA	Bevul.2G233400.1.p
OG0001630	Av_00001484-RA, Av_00023556-RA, Av_00003474-RA	Bevul.3G003400.1.p
OG0001631	Av_00024337-RA, Av_00023679-RA	Bevul.1G102200.1.p, Bevul.5G127500.1.p, Bevul.7G083300.1.p, Bevul.7G083200.1.p
OG0001632	Av_00008197-RA, Av_00004363-RA, Av_00001147-RA, Av_00014344-RA	Bevul.2G117100.1.p, Bevul.2G117100.3.p, Bevul.2G117100.2.p
OG0001633	Av_00019919-RA	Bevul.6G005100.1.p
OG0001634	Av_00003829-RA, Av_00005420-RA, Av_00002980-RA, Av_00010323-RA	Bevul.7G000900.1.p
OG0001636	Av_00022228-RA, Av_00022176-RA	Bevul.7G026300.3.p, Bevul.7G026300.2.p, Bevul.7G026300.1.p
OG0001637	Av_00023999-RA	Bevul.1G057100.1.p
OG0001637	Av_00012110-RA	Bevul.1G037700.1.p
OG0001638	Av_00011622-RA	Bevul.6G150100.1.p
OG0001639	Av_00001235-RA, Av_00014883-RA, Av_00016524-RA	Bevul.4G212800.1.p
OG0001640	Av_00010794-RA, Av_00010018-RA	Bevul.2G055900.1.p, Bevul.2G055900.2.p, Bevul.2G055900.4.p, Bevul.2G055900.5.p, Bevul.2G055900.3.p
OG0001641	Av_00015742-RA, Av_00022555-RA, Av_00024734-RA, Av_00000164-RA	Bevul.4G030800.1.p
OG0001642	Av_00008828-RA, Av_00008829-RA, Av_00008827-RA, Av_00018754-RA	Bevul.9G145600.1.p, Bevul.9G145600.2.p
OG0001644	Av_00023428-RA, Av_00023421-RA	Bevul.8G152900.1.p
OG0001646	Av_00006033-RA	Bevul.7G074500.1.p
OG0001647	Av_00020081-RA	Bevul.8G092900.1.p
OG0001648	Av_00020655-RA, Av_00017750-RA	Bevul.4G022600.1.p
OG0001649	Av_00023386-RA, Av_00013655-RA, Av_00011929-RA	Bevul.1G156400.1.p
OG0001650	Av_00021291-RA	Bevul.7G137200.1.p, Bevul.7G137300.1.p
OG0001650	Av_00008551-RA	Bevul.7G055200.1.p
OG0001651	Av_00015719-RA	Bevul.4G003400.1.p
OG0001652	Av_00005590-RA	Bevul.8G040700.1.p
OG0001652	Av_00011711-RA, Av_00019818-RA, Av_00012751-RA, Av_00006204-RA, Av_00011710-RA	Bevul.9G028300.1.p
OG0001653	Av_00014491-RA, Av_00012686-RA	Bevul.6G028100.1.p
OG0001654	Av_00010539-RA	Bevul.5G202200.1.p
OG0001654	Av_00005658-RA, Av_00022430-RA	Bevul.7G002700.1.p
OG0001655	Av_00010411-RA, Av_00014571-RA	Bevul.5G034100.1.p
OG0001655	Av_00010891-RA	Bevul.1G168000.1.p
OG0001656	Av_00021106-RA	Bevul.8G146700.1.p
OG0001657	Av_00010418-RA, Av_00014576-RA	Bevul.5G030300.1.p, Bevul.5G030200.1.p, Bevul.5G030100.1.p
OG0001657	Av_00006100-RA	Bevul.5G030400.1.p
