Orthogroup	D_muscipula.proteins	B_vulgaris.proteins
OG0000741	Dm_00016253-RA	Bevul.6G011800.1.p, Bevul.6G011700.1.p
OG0000741	Dm_00008200-RA	Bevul.2G133000.1.p, Bevul.6G040900.1.p
OG0000742	Dm_00014227-RA	Bevul.9G214200.6.p, Bevul.9G214200.4.p, Bevul.9G214200.2.p, Bevul.9G214200.3.p, Bevul.9G214200.5.p, Bevul.9G214200.1.p, Bevul.9G214200.7.p
OG0000744	Dm_00003468-RA	Bevul.9G159600.1.p, Bevul.9G159600.2.p
OG0000745	Dm_00010498-RA	Bevul.1G199800.1.p
OG0000745	Dm_00000189-RA	Bevul.3G026700.1.p
OG0000746	Dm_00004318-RA, Dm_00007116-RA	Bevul.7G034900.1.p
OG0000747	Dm_00016201-RA	Bevul.5G014200.1.p
OG0000749	Dm_00009676-RA, Dm_00011907-RA	Bevul.2G211000.1.p
OG0000749	Dm_00002122-RA, Dm_00000568-RA	Bevul.5G146300.1.p, Bevul.4G151200.1.p
OG0000753	Dm_00000692-RA, Dm_00002297-RA	Bevul.5G053700.1.p, Bevul.8G014900.1.p
OG0000754	Dm_00010677-RA, Dm_00007973-RA, Dm_00004023-RA	Bevul.1G010700.1.p
OG0000754	Dm_00018114-RA, Dm_00013214-RA	Bevul.3G004200.1.p, Bevul.3G004300.1.p
OG0000755	Dm_00018683-RA	Bevul.3G161500.1.p
OG0000756	Dm_00019831-RA	Bevul.5G247800.1.p
OG0000757	Dm_00006988-RA	Bevul.7G216600.1.p, Bevul.7G216700.1.p, Bevul.7G216800.1.p
OG0000757	Dm_00013874-RA	Bevul.2G250000.1.p
OG0000758	Dm_00010469-RA, Dm_00010466-RA	Bevul.3G216000.1.p
OG0000758	Dm_00015297-RA	Bevul.4G142000.1.p
OG0000759	Dm_00013469-RA	Bevul.6G239000.1.p
OG0000759	Dm_00005442-RA	Bevul.4G226600.1.p, Bevul.2G043400.1.p
OG0000761	Dm_00010757-RA	Bevul.3G057400.1.p
OG0000761	Dm_00003520-RA	Bevul.7G197800.1.p
OG0000761	Dm_00012776-RA	Bevul.3G057600.1.p
OG0000762	Dm_00020299-RA	Bevul.3G127000.1.p
OG0000762	Dm_00019677-RA	Bevul.5G037500.1.p
OG0000763	Dm_00021078-RA	Bevul.4G243100.1.p
OG0000763	Dm_00015641-RA	Bevul.3G183200.1.p
OG0000764	Dm_00011387-RA	Bevul.5G237000.1.p
OG0000764	Dm_00015232-RA	Bevul.3G144600.1.p
OG0000765	Dm_00018315-RA	Bevul.8G147900.1.p
OG0000765	Dm_00011421-RA	Bevul.1G077200.1.p
OG0000766	Dm_00001947-RA, Dm_00000389-RA	Bevul.1G060500.1.p
OG0000766	Dm_00020642-RA, Dm_00018090-RA	Bevul.2G202600.1.p
OG0000766	Dm_00018051-RA	Bevul.1G170300.1.p
OG0000767	Dm_00014335-RA	Bevul.6G071400.1.p
OG0000767	Dm_00009919-RA	Bevul.1G097500.1.p
OG0000768	Dm_00007922-RA	Bevul.1G169600.1.p
OG0000769	Dm_00015155-RA, Dm_00003403-RA, Dm_00001654-RA, Dm_00006471-RA	Bevul.1G001800.1.p
OG0000769	Dm_00008691-RA, Dm_00013568-RA	Bevul.9G239200.1.p
OG0000770	Dm_00003215-RA	Bevul.6G064900.1.p
OG0000771	Dm_00013239-RA	Bevul.9G168200.1.p
OG0000771	Dm_00011045-RA	Bevul.1G154800.1.p
OG0000772	Dm_00010388-RA	Bevul.5G186600.1.p
OG0000772	Dm_00001990-RA	Bevul.6G233500.1.p
OG0000773	Dm_00008998-RA, Dm_00009192-RA, Dm_00010557-RA	Bevul.8G041200.1.p, Bevul.8G041100.1.p, Bevul.3G126800.1.p
OG0000775	Dm_00006897-RA	Bevul.8G051900.1.p, Bevul.8G051600.1.p, Bevul.8G051700.1.p
OG0000776	Dm_00002901-RA, Dm_00001468-RA	Bevul.8G000500.1.p
OG0000776	Dm_00017880-RA	Bevul.9G068300.1.p, Bevul.9G068300.2.p, Bevul.9G068300.4.p, Bevul.9G068300.3.p
OG0000777	Dm_00012255-RA	Bevul.6G173000.1.p, Bevul.9G185300.1.p, Bevul.6G173100.1.p
OG0000778	Dm_00011501-RA	Bevul.8G128400.1.p, Bevul.8G128600.1.p
OG0000778	Dm_00015017-RA, Dm_00012752-RA	Bevul.5G173400.1.p
OG0000779	Dm_00006150-RA	Bevul.9G203900.1.p
OG0000779	Dm_00001518-RA	Bevul.4G005000.1.p
OG0000780	Dm_00012094-RA	Bevul.8G125700.1.p
OG0000780	Dm_00007834-RA	Bevul.3G083700.1.p
OG0000781	Dm_00002035-RA	Bevul.3G043900.1.p
OG0000781	Dm_00006937-RA	Bevul.1G187300.1.p
OG0000782	Dm_00009462-RA, Dm_00016998-RA	Bevul.6G206500.1.p
OG0000783	Dm_00020475-RA, Dm_00011450-RA, Dm_00001794-RA	Bevul.7G163700.1.p
OG0000783	Dm_00000526-RA, Dm_00002796-RA, Dm_00002801-RA	Bevul.4G140000.1.p, Bevul.4G140100.1.p
OG0000785	Dm_00001175-RA	Bevul.3G202700.1.p
OG0000785	Dm_00007940-RA, Dm_00009244-RA	Bevul.2G225900.3.p, Bevul.2G225900.4.p, Bevul.2G225900.1.p, Bevul.2G225900.2.p
OG0000786	Dm_00006910-RA	Bevul.3G170500.1.p, Bevul.3G174600.1.p, Bevul.3G123300.1.p
OG0000787	Dm_00017495-RA	Bevul.5G021800.1.p
OG0000788	Dm_00001856-RA	Bevul.2G081100.1.p
OG0000789	Dm_00007981-RA	Bevul.2G060300.3.p, Bevul.2G060300.1.p, Bevul.2G060300.2.p
OG0000789	Dm_00002002-RA	Bevul.6G236500.1.p
OG0000791	Dm_00009584-RA, Dm_00013295-RA	Bevul.9G144400.6.p, Bevul.9G144400.5.p, Bevul.9G144400.4.p, Bevul.9G144400.3.p, Bevul.9G144400.1.p, Bevul.9G144400.2.p
OG0000797	Dm_00013155-RA	Bevul.4G144200.1.p
OG0000798	Dm_00003950-RA	Bevul.5G038800.1.p, Bevul.8G112900.1.p, Bevul.7G229400.1.p
OG0000799	Dm_00014385-RA	Bevul.3G051900.1.p, Bevul.3G133500.1.p
OG0000799	Dm_00016185-RA	Bevul.3G133400.1.p
OG0000800	Dm_00002388-RA	Bevul.4G217100.1.p
OG0000802	Dm_00017546-RA	Bevul.6G247800.1.p
OG0000803	Dm_00004042-RA	Bevul.4G137500.1.p
OG0000804	Dm_00015313-RA	Bevul.3G186200.1.p
OG0000804	Dm_00007288-RA	Bevul.7G073100.2.p, Bevul.7G073100.1.p
OG0000805	Dm_00014685-RA, Dm_00007443-RA	Bevul.3G199400.1.p
OG0000806	Dm_00002114-RA	Bevul.4G149200.1.p
OG0000807	Dm_00012772-RA	Bevul.5G260100.1.p
OG0000807	Dm_00013794-RA, Dm_00011736-RA	Bevul.5G213800.1.p
OG0000809	Dm_00014314-RA	Bevul.9G135300.1.p, Bevul.2G123900.1.p
OG0000810	Dm_00011590-RA	Bevul.6G026000.1.p
OG0000811	Dm_00019494-RA	Bevul.1G108500.1.p, Bevul.1G108400.1.p
OG0000811	Dm_00014496-RA	Bevul.6G098400.1.p
OG0000811	Dm_00002123-RA, Dm_00016416-RA	Bevul.4G151500.1.p
OG0000812	Dm_00009177-RA, Dm_00004019-RA	Bevul.9G161800.2.p, Bevul.9G161800.1.p
OG0000812	Dm_00009998-RA	Bevul.6G027600.1.p
OG0000813	Dm_00015663-RA	Bevul.6G099900.1.p
OG0000813	Dm_00014295-RA	Bevul.1G109400.1.p
OG0000814	Dm_00004206-RA	Bevul.1G195100.1.p
OG0000814	Dm_00001422-RA	Bevul.5G221500.1.p
OG0000815	Dm_00017686-RA	Bevul.6G017700.1.p
OG0000816	Dm_00013938-RA	Bevul.7G186100.1.p
OG0000817	Dm_00002738-RA	Bevul.5G122500.1.p
OG0000818	Dm_00009236-RA	Bevul.1G099400.1.p
OG0000819	Dm_00007270-RA, Dm_00011714-RA	Bevul.9G066400.3.p, Bevul.9G066400.2.p, Bevul.9G066400.1.p
OG0000819	Dm_00012129-RA, Dm_00000821-RA	Bevul.4G046000.1.p
OG0000820	Dm_00001871-RA	Bevul.4G182600.1.p
OG0000821	Dm_00020804-RA, Dm_00012084-RA	Bevul.7G147900.1.p
OG0000822	Dm_00007997-RA, Dm_00017675-RA	Bevul.3G055200.1.p, Bevul.4G083700.1.p, Bevul.4G083800.1.p
OG0000823	Dm_00017689-RA	Bevul.7G173000.1.p
OG0000823	Dm_00012267-RA, Dm_00019613-RA, Dm_00020602-RA	Bevul.8G133000.1.p
OG0000824	Dm_00007203-RA	Bevul.7G221200.1.p
OG0000824	Dm_00000052-RA	Bevul.7G014700.1.p
OG0000826	Dm_00012404-RA	Bevul.5G065100.1.p
OG0000826	Dm_00000818-RA	Bevul.7G019700.1.p
OG0000827	Dm_00019619-RA, Dm_00018687-RA	Bevul.5G231000.1.p
OG0000828	Dm_00006275-RA	Bevul.1G213700.1.p
OG0000830	Dm_00013820-RA	Bevul.8G073100.1.p, Bevul.3G144900.1.p, Bevul.4G096700.1.p, Bevul.9G059200.1.p, Bevul.4G084200.1.p, Bevul.1G137900.1.p, Bevul.1G011800.1.p, Bevul.9G109400.1.p, Bevul.8G175800.1.p, Bevul.3G117200.1.p, Bevul.9G102000.1.p, Bevul.5G151400.1.p, Bevul.8G086900.1.p, Bevul.9G054300.1.p, Bevul.2G116500.1.p, Bevul.7G115100.1.p, Bevul.5G129900.1.p
OG0000835	Dm_00020620-RA, Dm_00011922-RA	Bevul.9G225900.1.p, Bevul.9G225900.2.p
OG0000835	Dm_00002210-RA	Bevul.4G219400.1.p
OG0000835	Dm_00008846-RA, Dm_00004479-RA	Bevul.3G213200.1.p, Bevul.3G213300.1.p
OG0000836	Dm_00013917-RA	Bevul.7G206400.1.p, Bevul.5G072800.1.p
OG0000837	Dm_00001833-RA	Bevul.4G141700.1.p, Bevul.5G232400.1.p, Bevul.5G232500.1.p
OG0000838	Dm_00009442-RA	Bevul.8G018900.1.p
OG0000839	Dm_00001271-RA	Bevul.3G211500.1.p
OG0000839	Dm_00003222-RA, Dm_00003220-RA	Bevul.6G065200.1.p
OG0000840	Dm_00008560-RA	Bevul.5G148300.1.p
OG0000840	Dm_00020292-RA	Bevul.5G125100.1.p, Bevul.8G097600.1.p
OG0000841	Dm_00019697-RA, Dm_00013373-RA	Bevul.1G113600.1.p
OG0000842	Dm_00000030-RA	Bevul.7G008200.5.p, Bevul.7G008200.2.p, Bevul.7G008200.3.p, Bevul.7G008200.4.p, Bevul.7G008200.6.p, Bevul.7G008200.1.p, Bevul.7G008200.8.p, Bevul.7G008200.7.p
OG0000843	Dm_00011404-RA, Dm_00015956-RA	Bevul.1G104300.1.p, Bevul.1G104400.1.p, Bevul.1G104500.1.p
OG0000844	Dm_00011896-RA, Dm_00011895-RA	Bevul.6G058800.1.p
OG0000845	Dm_00013111-RA, Dm_00003372-RA	Bevul.9G130100.3.p, Bevul.9G130100.1.p, Bevul.9G130100.2.p
OG0000847	Dm_00003031-RA	Bevul.1G023900.1.p
OG0000847	Dm_00006985-RA	Bevul.9G138900.3.p, Bevul.9G138900.1.p, Bevul.9G138900.2.p
OG0000848	Dm_00003356-RA	Bevul.6G091800.1.p
OG0000849	Dm_00009859-RA	Bevul.5G148700.1.p
OG0000849	Dm_00013318-RA	Bevul.5G001800.1.p
OG0000850	Dm_00002759-RA, Dm_00001071-RA	Bevul.6G065500.1.p
OG0000851	Dm_00004082-RA	Bevul.5G091300.1.p
OG0000851	Dm_00003967-RA	Bevul.1G108300.1.p
OG0000852	Dm_00012695-RA	Bevul.3G018200.1.p
OG0000853	Dm_00007751-RA	Bevul.4G048900.1.p
OG0000854	Dm_00008181-RA	Bevul.8G053600.1.p
OG0000855	Dm_00012723-RA	Bevul.8G063400.1.p
OG0000856	Dm_00000728-RA	Bevul.8G208400.1.p, Bevul.7G151800.1.p
OG0000857	Dm_00008462-RA, Dm_00018225-RA	Bevul.2G172800.1.p
OG0000858	Dm_00003413-RA	Bevul.8G191900.1.p
OG0000859	Dm_00002500-RA	Bevul.9G193300.1.p
OG0000859	Dm_00002926-RA	Bevul.8G176500.1.p
OG0000859	Dm_00008679-RA	Bevul.2G179600.2.p, Bevul.2G179600.3.p, Bevul.2G179600.1.p
OG0000860	Dm_00014539-RA	Bevul.2G131800.3.p, Bevul.2G131800.1.p, Bevul.2G131800.2.p, Bevul.2G131800.4.p, Bevul.2G131800.5.p
OG0000861	Dm_00015827-RA	Bevul.5G019300.1.p
OG0000862	Dm_00012602-RA	Bevul.2G228500.2.p, Bevul.2G228500.4.p, Bevul.2G228500.5.p, Bevul.2G228500.6.p, Bevul.2G228500.3.p, Bevul.2G228500.1.p
OG0000863	Dm_00011133-RA, Dm_00007339-RA	Bevul.2G225600.4.p, Bevul.2G225600.3.p, Bevul.2G225600.5.p, Bevul.2G225600.2.p, Bevul.2G225600.1.p
OG0000864	Dm_00011840-RA	Bevul.9G032200.1.p, Bevul.9G032200.2.p
OG0000865	Dm_00009913-RA, Dm_00000512-RA	Bevul.9G015400.6.p, Bevul.9G015400.7.p, Bevul.9G015400.8.p, Bevul.9G015400.3.p, Bevul.9G015400.5.p, Bevul.9G015400.1.p, Bevul.9G015400.2.p, Bevul.9G015400.4.p
OG0000866	Dm_00004597-RA	Bevul.5G042300.1.p
OG0000866	Dm_00018638-RA	Bevul.5G117900.1.p
OG0000867	Dm_00018153-RA	Bevul.6G216500.1.p
OG0000867	Dm_00016722-RA	Bevul.7G085600.1.p, Bevul.7G085600.2.p
OG0000868	Dm_00011623-RA	Bevul.9G140800.4.p, Bevul.9G140800.3.p, Bevul.9G140800.1.p, Bevul.9G140800.2.p
OG0000868	Dm_00002523-RA, Dm_00005236-RA	Bevul.4G123100.1.p
OG0000869	Dm_00010308-RA	Bevul.4G215800.1.p
OG0000869	Dm_00002907-RA, Dm_00006759-RA	Bevul.3G117900.1.p
OG0000870	Dm_00017822-RA	Bevul.5G187000.1.p
OG0000872	Dm_00015305-RA, Dm_00015026-RA	Bevul.6G108400.1.p, Bevul.2G199200.1.p, Bevul.2G199200.2.p
OG0000872	Dm_00007822-RA	Bevul.5G172000.1.p
OG0000878	Dm_00002195-RA	Bevul.4G222900.1.p
OG0000878	Dm_00010088-RA, Dm_00014669-RA	Bevul.1G112400.1.p
OG0000880	Dm_00003142-RA	Bevul.3G086900.1.p
OG0000880	Dm_00008684-RA	Bevul.2G181400.1.p
OG0000881	Dm_00012438-RA	Bevul.2G105800.1.p
OG0000882	Dm_00005751-RA	Bevul.5G136400.1.p
OG0000883	Dm_00011579-RA, Dm_00009808-RA	Bevul.7G015900.1.p
OG0000884	Dm_00004031-RA, Dm_00008343-RA	Bevul.9G146800.3.p, Bevul.9G146800.2.p, Bevul.9G146800.1.p
OG0000885	Dm_00014485-RA, Dm_00006906-RA	Bevul.4G133500.1.p, Bevul.4G133600.1.p
OG0000886	Dm_00019764-RA, Dm_00013119-RA	Bevul.3G185500.1.p
OG0000887	Dm_00004282-RA, Dm_00000453-RA	Bevul.3G037700.1.p
OG0000887	Dm_00004945-RA	Bevul.1G093300.1.p
OG0000887	Dm_00005018-RA	Bevul.6G157800.1.p
OG0000888	Dm_00001725-RA	Bevul.9G181500.2.p, Bevul.9G181500.1.p, Bevul.9G181200.1.p, Bevul.9G181100.1.p, Bevul.9G181400.1.p
OG0000889	Dm_00000822-RA	Bevul.4G045800.1.p
OG0000889	Dm_00005863-RA	Bevul.8G068100.1.p
OG0000890	Dm_00004513-RA	Bevul.9G092100.1.p
OG0000891	Dm_00004528-RA	Bevul.8G026100.1.p
OG0000893	Dm_00003228-RA, Dm_00003107-RA	Bevul.1G191900.1.p
OG0000894	Dm_00004825-RA	Bevul.9G192700.1.p
OG0000894	Dm_00016227-RA	Bevul.8G174500.1.p
OG0000895	Dm_00005159-RA	Bevul.7G066000.1.p, Bevul.3G045300.1.p, Bevul.3G045100.1.p, Bevul.3G045000.1.p
OG0000896	Dm_00004372-RA	Bevul.1G180100.1.p
OG0000897	Dm_00005123-RA, Dm_00001597-RA	Bevul.8G144500.1.p, Bevul.7G166900.1.p
OG0000898	Dm_00000443-RA, Dm_00003677-RA	Bevul.3G033800.1.p
OG0000899	Dm_00001649-RA	Bevul.1G001300.1.p
OG0000900	Dm_00012537-RA, Dm_00001955-RA	Bevul.1G146700.1.p, Bevul.8G039700.1.p
OG0000901	Dm_00014271-RA	Bevul.9G204400.3.p, Bevul.9G204400.4.p, Bevul.9G204400.1.p, Bevul.9G204400.2.p
OG0000901	Dm_00006153-RA	Bevul.8G191800.1.p
OG0000903	Dm_00007467-RA	Bevul.7G071000.1.p
OG0000903	Dm_00007406-RA	Bevul.2G111000.1.p, Bevul.2G111000.4.p, Bevul.2G111000.2.p, Bevul.2G111000.3.p
OG0000904	Dm_00001777-RA	Bevul.7G034800.11.p, Bevul.7G034800.5.p, Bevul.7G034800.3.p, Bevul.7G034800.9.p, Bevul.7G034800.1.p, Bevul.7G034800.12.p, Bevul.7G034800.10.p, Bevul.7G034800.6.p, Bevul.7G034800.4.p, Bevul.7G034800.7.p, Bevul.7G034800.8.p, Bevul.7G034800.2.p
OG0000905	Dm_00000972-RA, Dm_00000281-RA	Bevul.5G157400.1.p
OG0000906	Dm_00019854-RA	Bevul.6G186500.1.p, Bevul.6G186400.1.p, Bevul.6G186100.1.p, Bevul.6G186200.1.p, Bevul.6G186000.1.p
OG0000907	Dm_00004620-RA	Bevul.2G127800.4.p, Bevul.8G143400.1.p, Bevul.2G127800.6.p, Bevul.2G127800.5.p, Bevul.2G127800.1.p, Bevul.2G127800.2.p, Bevul.2G127800.7.p, Bevul.2G127800.8.p, Bevul.2G127800.3.p
OG0000908	Dm_00003519-RA	Bevul.2G224700.1.p
OG0000909	Dm_00004051-RA, Dm_00000356-RA	Bevul.8G081600.1.p
OG0000910	Dm_00016744-RA, Dm_00008392-RA	Bevul.1G071000.1.p, Bevul.5G204300.1.p
OG0000912	Dm_00004870-RA, Dm_00008277-RA	Bevul.6G153000.1.p
OG0000913	Dm_00017786-RA	Bevul.6G191700.1.p
OG0000914	Dm_00016743-RA	Bevul.7G162200.1.p
OG0000914	Dm_00019763-RA, Dm_00010805-RA	Bevul.9G018700.1.p, Bevul.9G018700.2.p, Bevul.9G018700.3.p
OG0000915	Dm_00006326-RA	Bevul.5G216700.1.p
OG0000915	Dm_00016030-RA, Dm_00016525-RA	Bevul.6G183000.1.p
OG0000920	Dm_00017837-RA, Dm_00012873-RA	Bevul.3G096100.1.p
OG0000921	Dm_00018547-RA	Bevul.3G208400.1.p, Bevul.3G208200.1.p, Bevul.3G208700.1.p, Bevul.3G208500.1.p
OG0000922	Dm_00003552-RA	Bevul.4G131700.1.p
OG0000922	Dm_00008365-RA	Bevul.5G243300.1.p
OG0000924	Dm_00000883-RA	Bevul.5G068700.1.p, Bevul.3G221100.1.p
OG0000926	Dm_00015666-RA, Dm_00019625-RA, Dm_00013688-RA, Dm_00013687-RA	Bevul.4G071400.1.p
OG0000927	Dm_00014164-RA, Dm_00003873-RA	Bevul.7G226200.1.p
OG0000927	Dm_00019770-RA	Bevul.1G197500.1.p
OG0000927	Dm_00000802-RA	Bevul.7G025400.1.p
OG0000928	Dm_00000587-RA, Dm_00003147-RA	Bevul.4G160200.1.p
OG0000929	Dm_00020161-RA	Bevul.6G230700.1.p, Bevul.3G224300.1.p
OG0000929	Dm_00011403-RA	Bevul.9G225100.1.p
OG0000930	Dm_00004640-RA	Bevul.1G020000.1.p
OG0000930	Dm_00003736-RA	Bevul.7G205900.1.p
OG0000930	Dm_00010376-RA	Bevul.1G166600.1.p
OG0000932	Dm_00013736-RA	Bevul.4G217400.1.p
OG0000933	Dm_00017983-RA	Bevul.3G139300.1.p
OG0000933	Dm_00002032-RA	Bevul.4G157100.1.p, Bevul.4G156700.1.p, Bevul.4G157400.1.p
OG0000934	Dm_00011159-RA	Bevul.2G189900.2.p, Bevul.2G189900.1.p
OG0000934	Dm_00009372-RA	Bevul.3G193800.1.p
OG0000935	Dm_00014767-RA	Bevul.6G063800.1.p, Bevul.1G026900.1.p
OG0000936	Dm_00016473-RA	Bevul.1G110200.1.p
OG0000936	Dm_00011458-RA	Bevul.9G069900.1.p
OG0000936	Dm_00019001-RA	Bevul.6G099400.1.p
OG0000937	Dm_00003976-RA, Dm_00002434-RA	Bevul.1G055700.1.p
OG0000938	Dm_00005535-RA, Dm_00004100-RA	Bevul.1G215200.1.p, Bevul.1G050300.1.p
OG0000939	Dm_00001568-RA	Bevul.7G004000.1.p
OG0000939	Dm_00013678-RA	Bevul.8G112500.1.p
OG0000940	Dm_00017697-RA, Dm_00006006-RA	Bevul.7G230400.1.p, Bevul.7G031300.1.p
OG0000941	Dm_00006588-RA	Bevul.5G109700.1.p
OG0000941	Dm_00008441-RA	Bevul.5G011600.1.p
OG0000942	Dm_00013343-RA, Dm_00009776-RA	Bevul.5G028800.1.p
OG0000943	Dm_00010511-RA	Bevul.3G024300.1.p
OG0000944	Dm_00012696-RA	Bevul.1G157400.1.p
OG0000944	Dm_00000420-RA, Dm_00000192-RA	Bevul.3G026100.1.p
OG0000945	Dm_00018589-RA, Dm_00006598-RA	Bevul.6G013400.1.p
OG0000946	Dm_00008508-RA	Bevul.1G188700.1.p
OG0000947	Dm_00002682-RA	Bevul.4G009800.1.p, Bevul.4G009700.1.p, Bevul.8G089200.1.p
OG0000947	Dm_00020212-RA	Bevul.8G037800.1.p
OG0000948	Dm_00009262-RA	Bevul.2G121800.1.p
OG0000949	Dm_00000316-RA	Bevul.5G150700.1.p, Bevul.6G214100.1.p
OG0000950	Dm_00009130-RA	Bevul.4G134200.1.p, Bevul.2G137500.1.p
OG0000952	Dm_00003126-RA, Dm_00001278-RA	Bevul.3G210000.1.p
OG0000952	Dm_00000383-RA, Dm_00001941-RA	Bevul.6G142300.1.p
OG0000954	Dm_00004586-RA, Dm_00017774-RA	Bevul.5G113800.1.p
OG0000955	Dm_00010860-RA	Bevul.7G052300.1.p
OG0000956	Dm_00000023-RA	Bevul.7G004800.1.p
OG0000956	Dm_00011229-RA	Bevul.7G224200.1.p
OG0000957	Dm_00001892-RA, Dm_00001516-RA	Bevul.4G005300.1.p
OG0000957	Dm_00006254-RA	Bevul.3G050600.1.p
OG0000958	Dm_00002282-RA, Dm_00000724-RA	Bevul.8G022200.1.p
OG0000958	Dm_00003754-RA	Bevul.9G078700.1.p
OG0000958	Dm_00009654-RA, Dm_00015937-RA	Bevul.4G067700.1.p
OG0000959	Dm_00002423-RA	Bevul.6G008300.1.p
OG0000960	Dm_00015769-RA	Bevul.1G113800.1.p
OG0000960	Dm_00012083-RA	Bevul.9G212000.1.p
OG0000961	Dm_00020284-RA, Dm_00020962-RA, Dm_00017243-RA, Dm_00013921-RA, Dm_00014058-RA, Dm_00017491-RA, Dm_00006064-RA, Dm_00011402-RA, Dm_00014760-RA, Dm_00006843-RA, Dm_00012535-RA, Dm_00011399-RA, Dm_00019590-RA, Dm_00011230-RA, Dm_00016897-RA, Dm_00016643-RA	Bevul.6G181200.1.p, Bevul.2G080000.1.p, Bevul.9G070300.1.p, Bevul.7G100800.1.p, Bevul.3G145700.1.p, Bevul.8G104000.1.p, Bevul.5G135500.1.p, Bevul.5G136500.1.p, Bevul.3G150100.1.p
OG0000961	Dm_00008386-RA	Bevul.6G160900.1.p, Bevul.4G092100.1.p, Bevul.1G116700.1.p, Bevul.2G096800.1.p
OG0000962	Dm_00013958-RA	Bevul.3G091600.1.p
OG0000963	Dm_00001371-RA	Bevul.2G158800.1.p, Bevul.1G021100.1.p, Bevul.1G021300.1.p, Bevul.1G021400.1.p
OG0000964	Dm_00020311-RA	Bevul.6G179500.1.p
OG0000965	Dm_00014495-RA, Dm_00002861-RA	Bevul.6G245600.1.p
OG0000966	Dm_00019522-RA	Bevul.2G208800.1.p, Bevul.2G208700.1.p, Bevul.2G208900.1.p
OG0000967	Dm_00011550-RA, Dm_00006943-RA	Bevul.6G108000.1.p
OG0000974	Dm_00014031-RA	Bevul.7G171800.1.p
OG0000974	Dm_00017724-RA	Bevul.8G134500.1.p
OG0000976	Dm_00000560-RA	Bevul.4G149000.1.p
OG0000977	Dm_00003866-RA	Bevul.7G226900.1.p
OG0000977	Dm_00001476-RA	Bevul.5G064400.1.p
OG0000978	Dm_00005103-RA	Bevul.4G235000.1.p
OG0000979	Dm_00014833-RA, Dm_00009364-RA	Bevul.3G230300.1.p
OG0000980	Dm_00011741-RA, Dm_00019796-RA	Bevul.8G203800.1.p, Bevul.2G153500.1.p, Bevul.2G153600.1.p
OG0000980	Dm_00016450-RA	Bevul.8G203600.1.p
OG0000982	Dm_00015959-RA	Bevul.4G108100.1.p
OG0000982	Dm_00017691-RA	Bevul.5G114300.1.p
OG0000982	Dm_00012930-RA, Dm_00012895-RA	Bevul.5G113200.1.p
OG0000983	Dm_00018107-RA	Bevul.9G236100.1.p, Bevul.9G236200.1.p
OG0000984	Dm_00017067-RA	Bevul.8G126700.1.p
OG0000984	Dm_00009043-RA	Bevul.7G232200.1.p
OG0000986	Dm_00001901-RA	Bevul.4G001300.1.p
OG0000987	Dm_00003477-RA, Dm_00003439-RA	Bevul.9G157800.1.p
OG0000988	Dm_00005949-RA, Dm_00019999-RA	Bevul.1G159000.1.p
OG0000989	Dm_00017659-RA	Bevul.1G105600.1.p
OG0000989	Dm_00000137-RA	Bevul.1G036900.1.p, Bevul.1G035700.1.p, Bevul.1G035600.1.p
OG0000990	Dm_00013325-RA	Bevul.5G143200.1.p, Bevul.4G053200.1.p
OG0000991	Dm_00003472-RA	Bevul.9G158900.5.p, Bevul.9G158900.6.p, Bevul.9G158900.1.p, Bevul.9G158900.2.p, Bevul.9G158900.4.p, Bevul.9G158900.3.p
OG0000991	Dm_00003014-RA, Dm_00006960-RA	Bevul.1G173600.1.p
OG0000992	Dm_00009360-RA, Dm_00019428-RA, Dm_00020374-RA, Dm_00017359-RA, Dm_00012214-RA, Dm_00015709-RA, Dm_00011949-RA	Bevul.8G074100.1.p
OG0000992	Dm_00019996-RA	Bevul.2G203400.1.p
OG0000993	Dm_00011486-RA	Bevul.6G071900.1.p
OG0000994	Dm_00004393-RA, Dm_00016226-RA	Bevul.8G173900.1.p
OG0000994	Dm_00011800-RA	Bevul.2G180700.2.p, Bevul.2G180700.1.p, Bevul.2G180700.3.p
OG0000995	Dm_00000757-RA	Bevul.8G213000.1.p
OG0000995	Dm_00003515-RA	Bevul.8G003000.1.p
OG0000996	Dm_00013560-RA	Bevul.2G166000.1.p, Bevul.2G166200.1.p
OG0000997	Dm_00014873-RA, Dm_00014477-RA	Bevul.1G178700.1.p
OG0000998	Dm_00000439-RA	Bevul.3G032100.1.p
OG0000998	Dm_00010097-RA	Bevul.1G077100.1.p
OG0000999	Dm_00006366-RA	Bevul.2G177300.1.p, Bevul.2G177300.2.p
OG0000999	Dm_00002337-RA	Bevul.9G189800.3.p, Bevul.9G189800.2.p, Bevul.9G189800.1.p
OG0001000	Dm_00008681-RA	Bevul.3G166600.1.p
OG0001001	Dm_00008505-RA, Dm_00006940-RA	Bevul.1G188000.1.p
OG0001002	Dm_00002257-RA	Bevul.8G207400.1.p
OG0001003	Dm_00011164-RA	Bevul.2G241700.1.p
OG0001004	Dm_00011606-RA	Bevul.6G230900.1.p
OG0001005	Dm_00015404-RA, Dm_00013231-RA	Bevul.5G000500.1.p
OG0001005	Dm_00004521-RA	Bevul.1G175400.1.p
OG0001006	Dm_00006922-RA	Bevul.9G198000.1.p, Bevul.9G198400.1.p, Bevul.9G198200.1.p, Bevul.9G198100.1.p
OG0001006	Dm_00007733-RA	Bevul.2G020500.1.p
