Orthogroup	D_muscipula.proteins	L_sativa.proteins
OG0000646	Dm_00019127-RA	Lsat_1_v5_gn_5_185861.1, Lsat_1_v5_gn_5_185861.2, Lsat_1_v5_gn_8_57100.1
OG0000647	Dm_00019551-RA, Dm_00014614-RA	Lsat_1_v5_gn_7_3721.2, Lsat_1_v5_gn_7_3721.1
OG0000647	Dm_00002052-RA, Dm_00006253-RA	Lsat_1_v5_gn_8_6601.2, Lsat_1_v5_gn_8_6601.1
OG0000648	Dm_00018167-RA	Lsat_1_v5_gn_5_73301.3, Lsat_1_v5_gn_6_66681.1, Lsat_1_v5_gn_6_66681.2, Lsat_1_v5_gn_5_73301.1
OG0000649	Dm_00009293-RA	Lsat_1_v5_gn_5_34860.1, Lsat_1_v5_gn_5_34860.3, Lsat_1_v5_gn_4_21781.2, Lsat_1_v5_gn_4_21781.1, Lsat_1_v5_gn_4_21781.3
OG0000649	Dm_00003275-RA, Dm_00001264-RA, Dm_00005091-RA, Dm_00006995-RA, Dm_00011784-RA, Dm_00011110-RA, Dm_00017548-RA	Lsat_1_v5_gn_3_28021.1, Lsat_1_v5_gn_5_55261.1
OG0000650	Dm_00007313-RA	Lsat_1_v5_gn_3_73441.1
OG0000650	Dm_00020959-RA, Dm_00020778-RA, Dm_00019039-RA	Lsat_1_v5_gn_1_50460.5, Lsat_1_v5_gn_1_50460.1, Lsat_1_v5_gn_1_50460.3, Lsat_1_v5_gn_1_50460.4, Lsat_1_v5_gn_1_50480.1, Lsat_1_v5_gn_1_50520.1, Lsat_1_v5_gn_1_50520.3
OG0000659	Dm_00008284-RA	Lsat_1_v5_gn_5_179841.1, Lsat_1_v5_gn_7_6521.1, Lsat_1_v5_gn_8_90080.1, Lsat_1_v5_gn_9_12601.1
OG0000659	Dm_00005135-RA	Lsat_1_v5_gn_2_44560.1
OG0000659	Dm_00005459-RA	Lsat_1_v5_gn_4_29421.1, Lsat_1_v5_gn_4_29421.3
OG0000660	Dm_00017087-RA, Dm_00009713-RA	Lsat_1_v5_gn_2_118821.2, Lsat_1_v5_gn_2_118821.1, Lsat_1_v5_gn_2_118821.3
OG0000660	Dm_00016766-RA, Dm_00009892-RA	Lsat_1_v5_gn_5_168961.1, Lsat_1_v5_gn_5_168961.4, Lsat_1_v5_gn_5_168961.5, Lsat_1_v5_gn_5_168961.3, Lsat_1_v5_gn_5_168961.2, Lsat_1_v5_gn_8_73200.1
OG0000661	Dm_00005577-RA	Lsat_1_v5_gn_6_76021.1, Lsat_1_v5_gn_6_76021.2, Lsat_1_v5_gn_6_76021.3, Lsat_1_v5_gn_6_76021.4, Lsat_1_v5_gn_3_21860.3, Lsat_1_v5_gn_3_21860.1
OG0000662	Dm_00017911-RA, Dm_00005292-RA, Dm_00020409-RA, Dm_00006880-RA	Lsat_1_v5_gn_3_21660.3, Lsat_1_v5_gn_3_21660.1
OG0000663	Dm_00008128-RA	Lsat_1_v5_gn_5_168601.3
OG0000663	Dm_00014803-RA	Lsat_1_v5_gn_6_15101.1
OG0000665	Dm_00003934-RA, Dm_00003213-RA	Lsat_1_v5_gn_3_91300.2, Lsat_1_v5_gn_3_91300.1
OG0000665	Dm_00009110-RA	Lsat_1_v5_gn_0_761.7, Lsat_1_v5_gn_0_761.1
OG0000666	Dm_00020921-RA, Dm_00006736-RA	Lsat_1_v5_gn_0_4061.1, Lsat_1_v5_gn_0_44341.1, Lsat_1_v5_gn_5_114560.1
OG0000666	Dm_00001664-RA, Dm_00002372-RA	Lsat_1_v5_gn_4_128100.1
OG0000667	Dm_00010412-RA, Dm_00018730-RA, Dm_00013759-RA, Dm_00000915-RA	Lsat_1_v5_gn_4_3841.1, Lsat_1_v5_gn_5_130160.1
OG0000668	Dm_00019297-RA	Lsat_1_v5_gn_2_73740.1, Lsat_1_v5_gn_8_112480.1
OG0000669	Dm_00020168-RA	Lsat_1_v5_gn_7_91720.1, Lsat_1_v5_gn_3_75160.1, Lsat_1_v5_gn_3_75160.3
OG0000669	Dm_00007782-RA	Lsat_1_v5_gn_1_16721.1
OG0000671	Dm_00013746-RA, Dm_00016214-RA, Dm_00002279-RA, Dm_00003761-RA	Lsat_1_v5_gn_4_52201.3, Lsat_1_v5_gn_4_52201.1, Lsat_1_v5_gn_9_23041.1
OG0000672	Dm_00004887-RA, Dm_00004135-RA, Dm_00004136-RA	Lsat_1_v5_gn_9_105420.1, Lsat_1_v5_gn_9_105420.3
OG0000673	Dm_00015503-RA	Lsat_1_v5_gn_6_2800.3, Lsat_1_v5_gn_6_2800.1, Lsat_1_v5_gn_3_1420.4, Lsat_1_v5_gn_3_1420.1, Lsat_1_v5_gn_3_1420.2
OG0000674	Dm_00015501-RA	Lsat_1_v5_gn_7_16221.1
OG0000675	Dm_00009006-RA, Dm_00007001-RA	Lsat_1_v5_gn_8_54100.1, Lsat_1_v5_gn_3_51481.1, Lsat_1_v5_gn_4_9261.1
OG0000676	Dm_00006218-RA, Dm_00002445-RA	Lsat_1_v5_gn_5_52140.1, Lsat_1_v5_gn_5_52140.3
OG0000677	Dm_00015266-RA	Lsat_1_v5_gn_4_47621.2, Lsat_1_v5_gn_4_47621.1, Lsat_1_v5_gn_4_47601.1
OG0000677	Dm_00014154-RA	Lsat_1_v5_gn_4_47241.1, Lsat_1_v5_gn_4_47241.3, Lsat_1_v5_gn_4_47500.1, Lsat_1_v5_gn_4_47480.1, Lsat_1_v5_gn_4_47480.3, Lsat_1_v5_gn_4_47540.1, Lsat_1_v5_gn_4_47301.1, Lsat_1_v5_gn_4_47301.2, Lsat_1_v5_gn_4_47441.1
OG0000678	Dm_00010415-RA, Dm_00005229-RA	Lsat_1_v5_gn_2_71880.3, Lsat_1_v5_gn_2_71880.1, Lsat_1_v5_gn_3_67861.1
OG0000679	Dm_00017715-RA, Dm_00005755-RA	Lsat_1_v5_gn_6_30401.1, Lsat_1_v5_gn_6_30401.2
OG0000684	Dm_00008923-RA	Lsat_1_v5_gn_8_18340.1, Lsat_1_v5_gn_2_115680.1
OG0000684	Dm_00004305-RA	Lsat_1_v5_gn_8_78720.1
OG0000684	Dm_00006291-RA	Lsat_1_v5_gn_0_4700.2, Lsat_1_v5_gn_0_4700.1, Lsat_1_v5_gn_6_63081.1
OG0000686	Dm_00007111-RA, Dm_00004321-RA	Lsat_1_v5_gn_1_50340.1, Lsat_1_v5_gn_2_21421.1, Lsat_1_v5_gn_2_21421.3
OG0000686	Dm_00008594-RA, Dm_00003043-RA	Lsat_1_v5_gn_6_42581.1, Lsat_1_v5_gn_6_42581.2
OG0000687	Dm_00006667-RA, Dm_00013570-RA	Lsat_1_v5_gn_6_36721.1, Lsat_1_v5_gn_6_36721.2, Lsat_1_v5_gn_2_57360.1
OG0000688	Dm_00009127-RA	Lsat_1_v5_gn_4_185980.2, Lsat_1_v5_gn_4_185980.1
OG0000688	Dm_00001830-RA	Lsat_1_v5_gn_2_64821.1, Lsat_1_v5_gn_2_64801.2, Lsat_1_v5_gn_2_64801.1
OG0000689	Dm_00014804-RA	Lsat_1_v5_gn_9_27621.1
OG0000690	Dm_00002823-RA	Lsat_1_v5_gn_4_15480.1, Lsat_1_v5_gn_8_41680.1
OG0000690	Dm_00019984-RA, Dm_00020001-RA	Lsat_1_v5_gn_3_99261.1, Lsat_1_v5_gn_2_89820.1, Lsat_1_v5_gn_1_98641.3, Lsat_1_v5_gn_1_98641.1, Lsat_1_v5_gn_4_102720.1, Lsat_1_v5_gn_4_40420.3, Lsat_1_v5_gn_4_56380.1
OG0000691	Dm_00006673-RA	Lsat_1_v5_gn_9_201.1
OG0000692	Dm_00020852-RA, Dm_00017236-RA	Lsat_1_v5_gn_1_68841.1
OG0000693	Dm_00010746-RA	Lsat_1_v5_gn_9_94040.1
OG0000693	Dm_00000355-RA	Lsat_1_v5_gn_1_93280.3, Lsat_1_v5_gn_1_93280.1, Lsat_1_v5_gn_1_95241.1, Lsat_1_v5_gn_1_95241.2, Lsat_1_v5_gn_1_93020.1, Lsat_1_v5_gn_1_93020.3, Lsat_1_v5_gn_1_92980.1, Lsat_1_v5_gn_1_92980.3
OG0000693	Dm_00012727-RA, Dm_00007753-RA	Lsat_1_v5_gn_1_93800.1
OG0000694	Dm_00002064-RA	Lsat_1_v5_gn_3_47000.3
OG0000695	Dm_00016953-RA, Dm_00016924-RA, Dm_00005884-RA, Dm_00004588-RA	Lsat_1_v5_gn_3_84401.1, Lsat_1_v5_gn_3_84401.2, Lsat_1_v5_gn_3_84401.3, Lsat_1_v5_gn_4_157881.1
OG0000697	Dm_00011024-RA	Lsat_1_v5_gn_6_101360.3, Lsat_1_v5_gn_6_101360.1, Lsat_1_v5_gn_9_42301.2, Lsat_1_v5_gn_9_42301.1
OG0000698	Dm_00015142-RA	Lsat_1_v5_gn_7_31941.1, Lsat_1_v5_gn_7_31941.3
OG0000699	Dm_00017668-RA	Lsat_1_v5_gn_3_139181.3, Lsat_1_v5_gn_3_139181.2, Lsat_1_v5_gn_3_139181.1
OG0000699	Dm_00019003-RA	Lsat_1_v5_gn_3_10081.3, Lsat_1_v5_gn_3_10081.1, Lsat_1_v5_gn_6_85840.1, Lsat_1_v5_gn_6_85840.2
OG0000700	Dm_00011062-RA	Lsat_1_v5_gn_1_38501.2, Lsat_1_v5_gn_1_38501.1, Lsat_1_v5_gn_5_136700.3, Lsat_1_v5_gn_5_136700.1
OG0000701	Dm_00019198-RA, Dm_00013447-RA	Lsat_1_v5_gn_8_13141.1, Lsat_1_v5_gn_3_89380.1, Lsat_1_v5_gn_9_109681.1, Lsat_1_v5_gn_7_50600.1, Lsat_1_v5_gn_7_50600.2, Lsat_1_v5_gn_5_92420.1, Lsat_1_v5_gn_9_44381.1, Lsat_1_v5_gn_9_44381.2, Lsat_1_v5_gn_6_8021.1, Lsat_1_v5_gn_9_60760.1, Lsat_1_v5_gn_9_60760.3, Lsat_1_v5_gn_5_22521.3, Lsat_1_v5_gn_5_22521.1, Lsat_1_v5_gn_0_43220.1, Lsat_1_v5_gn_3_108720.1, Lsat_1_v5_gn_9_69661.1, Lsat_1_v5_gn_5_32361.1
OG0000702	Dm_00013438-RA	Lsat_1_v5_gn_5_121441.2, Lsat_1_v5_gn_5_121441.1, Lsat_1_v5_gn_9_103240.2, Lsat_1_v5_gn_9_103240.3, Lsat_1_v5_gn_9_103240.1
OG0000703	Dm_00003343-RA	Lsat_1_v5_gn_3_137221.2, Lsat_1_v5_gn_3_137221.1, Lsat_1_v5_gn_7_4721.3, Lsat_1_v5_gn_7_4721.1, Lsat_1_v5_gn_4_36100.1, Lsat_1_v5_gn_4_36100.3
OG0000705	Dm_00011087-RA	Lsat_1_v5_gn_5_52840.3, Lsat_1_v5_gn_5_52840.1, Lsat_1_v5_gn_8_65501.2, Lsat_1_v5_gn_8_65501.1
OG0000705	Dm_00019930-RA	Lsat_1_v5_gn_4_181481.1, Lsat_1_v5_gn_4_181481.4
OG0000705	Dm_00010273-RA	Lsat_1_v5_gn_1_26580.1, Lsat_1_v5_gn_1_26580.2
OG0000706	Dm_00009976-RA	Lsat_1_v5_gn_2_2380.1
OG0000709	Dm_00007301-RA	Lsat_1_v5_gn_8_124580.1, Lsat_1_v5_gn_8_124580.2, Lsat_1_v5_gn_8_124560.1, Lsat_1_v5_gn_0_34680.2, Lsat_1_v5_gn_0_34680.1, Lsat_1_v5_gn_9_71340.4, Lsat_1_v5_gn_9_71340.3, Lsat_1_v5_gn_9_71340.1
OG0000710	Dm_00004176-RA	Lsat_1_v5_gn_3_14120.1, Lsat_1_v5_gn_3_14120.2, Lsat_1_v5_gn_3_14120.3
OG0000710	Dm_00000172-RA	Lsat_1_v5_gn_9_50361.1, Lsat_1_v5_gn_9_50361.2, Lsat_1_v5_gn_8_5661.1
OG0000712	Dm_00006577-RA, Dm_00019293-RA, Dm_00012301-RA	Lsat_1_v5_gn_4_51921.1, Lsat_1_v5_gn_7_22660.1
OG0000713	Dm_00010888-RA, Dm_00008722-RA	Lsat_1_v5_gn_4_176880.1
OG0000713	Dm_00012970-RA	Lsat_1_v5_gn_5_19220.1, Lsat_1_v5_gn_5_19220.2, Lsat_1_v5_gn_1_10820.1, Lsat_1_v5_gn_5_19280.2
OG0000714	Dm_00002185-RA	Lsat_1_v5_gn_4_10341.1, Lsat_1_v5_gn_3_99900.2, Lsat_1_v5_gn_3_99900.1
OG0000715	Dm_00018441-RA, Dm_00015712-RA	Lsat_1_v5_gn_5_23200.4, Lsat_1_v5_gn_5_23200.1
OG0000716	Dm_00000037-RA, Dm_00001585-RA	Lsat_1_v5_gn_9_38061.2, Lsat_1_v5_gn_9_38061.1
OG0000722	Dm_00012618-RA	Lsat_1_v5_gn_2_99240.1, Lsat_1_v5_gn_1_64520.1
OG0000722	Dm_00018773-RA, Dm_00015468-RA	Lsat_1_v5_gn_8_18701.1
OG0000723	Dm_00015998-RA	Lsat_1_v5_gn_8_76421.3, Lsat_1_v5_gn_8_76421.1, Lsat_1_v5_gn_5_166221.2, Lsat_1_v5_gn_5_166221.1, Lsat_1_v5_gn_9_21120.1, Lsat_1_v5_gn_9_21120.3
OG0000724	Dm_00002782-RA, Dm_00004691-RA	Lsat_1_v5_gn_8_91920.1, Lsat_1_v5_gn_9_10020.1, Lsat_1_v5_gn_9_10020.2, Lsat_1_v5_gn_5_186760.1
OG0000725	Dm_00020012-RA	Lsat_1_v5_gn_3_47700.2, Lsat_1_v5_gn_3_47700.1, Lsat_1_v5_gn_3_47700.3
OG0000726	Dm_00015681-RA, Dm_00011666-RA	Lsat_1_v5_gn_6_84741.1, Lsat_1_v5_gn_6_84741.4, Lsat_1_v5_gn_3_9921.1, Lsat_1_v5_gn_3_9921.2
OG0000726	Dm_00004006-RA, Dm_00002048-RA	Lsat_1_v5_gn_9_57040.2, Lsat_1_v5_gn_9_57040.1
OG0000729	Dm_00000156-RA	Lsat_1_v5_gn_2_3721.2, Lsat_1_v5_gn_2_3721.1
OG0000729	Dm_00018546-RA	Lsat_1_v5_gn_3_48740.2, Lsat_1_v5_gn_8_121301.3, Lsat_1_v5_gn_8_121301.1
OG0000730	Dm_00011272-RA	Lsat_1_v5_gn_8_112361.1, Lsat_1_v5_gn_2_119180.1, Lsat_1_v5_gn_8_26360.1, Lsat_1_v5_gn_3_48780.1, Lsat_1_v5_gn_3_48780.3
OG0000731	Dm_00008188-RA	Lsat_1_v5_gn_7_16021.1
OG0000731	Dm_00000864-RA, Dm_00005201-RA	Lsat_1_v5_gn_7_110021.1, Lsat_1_v5_gn_5_3921.3, Lsat_1_v5_gn_5_3921.1
OG0000731	Dm_00001239-RA	Lsat_1_v5_gn_8_29361.1, Lsat_1_v5_gn_8_29361.3
OG0000733	Dm_00011903-RA	Lsat_1_v5_gn_1_66661.1, Lsat_1_v5_gn_1_66661.3, Lsat_1_v5_gn_1_68181.1, Lsat_1_v5_gn_1_66460.1, Lsat_1_v5_gn_1_68160.1, Lsat_1_v5_gn_1_66741.1, Lsat_1_v5_gn_1_68080.3, Lsat_1_v5_gn_1_68080.1
OG0000734	Dm_00003632-RA	Lsat_1_v5_gn_7_67341.3, Lsat_1_v5_gn_7_67341.1
OG0000735	Dm_00004992-RA	Lsat_1_v5_gn_7_18961.1, Lsat_1_v5_gn_4_52740.2, Lsat_1_v5_gn_4_52740.1
OG0000736	Dm_00020806-RA	Lsat_1_v5_gn_8_95421.3, Lsat_1_v5_gn_8_95421.1
OG0000737	Dm_00010951-RA	Lsat_1_v5_gn_8_98420.1, Lsat_1_v5_gn_8_98240.1, Lsat_1_v5_gn_6_7820.1, Lsat_1_v5_gn_6_7820.3, Lsat_1_v5_gn_6_8820.2, Lsat_1_v5_gn_6_8820.1, Lsat_1_v5_gn_3_109121.3, Lsat_1_v5_gn_3_109121.1, Lsat_1_v5_gn_6_7801.1
OG0000738	Dm_00018147-RA, Dm_00009276-RA	Lsat_1_v5_gn_3_12101.1, Lsat_1_v5_gn_6_82461.1
OG0000739	Dm_00011816-RA	Lsat_1_v5_gn_3_5240.1, Lsat_1_v5_gn_3_5240.3
OG0000739	Dm_00002919-RA	Lsat_1_v5_gn_3_133281.1, Lsat_1_v5_gn_3_133281.3
OG0000740	Dm_00004164-RA, Dm_00004165-RA	Lsat_1_v5_gn_6_21020.2, Lsat_1_v5_gn_6_20940.2, Lsat_1_v5_gn_6_20940.3, Lsat_1_v5_gn_6_20940.1, Lsat_1_v5_gn_6_21020.1, Lsat_1_v5_gn_6_20920.2, Lsat_1_v5_gn_6_20920.1, Lsat_1_v5_gn_6_22541.2, Lsat_1_v5_gn_6_22541.3, Lsat_1_v5_gn_6_22541.1, Lsat_1_v5_gn_6_22561.3, Lsat_1_v5_gn_6_22561.2, Lsat_1_v5_gn_6_22561.1
OG0000740	Dm_00004822-RA	Lsat_1_v5_gn_5_131300.1, Lsat_1_v5_gn_5_131300.3, Lsat_1_v5_gn_1_44940.1, Lsat_1_v5_gn_1_44940.2
OG0000741	Dm_00016253-RA	Lsat_1_v5_gn_2_83840.1
OG0000741	Dm_00008200-RA	Lsat_1_v5_gn_0_20681.1, Lsat_1_v5_gn_0_20741.1, Lsat_1_v5_gn_5_85721.1, Lsat_1_v5_gn_5_85721.3, Lsat_1_v5_gn_5_85681.1
OG0000742	Dm_00014227-RA	Lsat_1_v5_gn_4_100080.1, Lsat_1_v5_gn_5_134441.1, Lsat_1_v5_gn_5_134441.2, Lsat_1_v5_gn_1_37081.2, Lsat_1_v5_gn_1_37081.1
OG0000744	Dm_00003468-RA	Lsat_1_v5_gn_8_128041.3, Lsat_1_v5_gn_8_128041.1, Lsat_1_v5_gn_8_128041.2
OG0000745	Dm_00000189-RA	Lsat_1_v5_gn_8_4341.1, Lsat_1_v5_gn_8_4341.3
OG0000746	Dm_00007435-RA, Dm_00012523-RA	Lsat_1_v5_gn_2_102681.1, Lsat_1_v5_gn_0_17001.3, Lsat_1_v5_gn_0_17001.1, Lsat_1_v5_gn_5_106621.1
OG0000746	Dm_00004318-RA, Dm_00007116-RA	Lsat_1_v5_gn_2_21401.3, Lsat_1_v5_gn_2_21401.2, Lsat_1_v5_gn_2_21401.1, Lsat_1_v5_gn_6_27040.1
OG0000747	Dm_00016201-RA	Lsat_1_v5_gn_3_11980.1, Lsat_1_v5_gn_3_49981.2, Lsat_1_v5_gn_3_49981.1, Lsat_1_v5_gn_2_15841.2, Lsat_1_v5_gn_2_15841.1, Lsat_1_v5_gn_3_11741.1, Lsat_1_v5_gn_3_11741.3, Lsat_1_v5_gn_3_11920.1, Lsat_1_v5_gn_3_11920.3, Lsat_1_v5_gn_3_12921.3, Lsat_1_v5_gn_3_12921.1
OG0000748	Dm_00000284-RA	Lsat_1_v5_gn_4_82400.1
OG0000748	Dm_00000974-RA, Dm_00000975-RA	Lsat_1_v5_gn_4_82421.1
OG0000749	Dm_00002122-RA, Dm_00000568-RA	Lsat_1_v5_gn_8_40201.1, Lsat_1_v5_gn_3_57701.3, Lsat_1_v5_gn_3_57701.1, Lsat_1_v5_gn_4_16061.1, Lsat_1_v5_gn_4_16061.3
OG0000753	Dm_00000692-RA, Dm_00002297-RA	Lsat_1_v5_gn_9_19100.3, Lsat_1_v5_gn_9_19100.1, Lsat_1_v5_gn_2_52200.3, Lsat_1_v5_gn_2_52200.1, Lsat_1_v5_gn_2_52260.1, Lsat_1_v5_gn_2_52260.3, Lsat_1_v5_gn_2_52280.1, Lsat_1_v5_gn_2_52320.3, Lsat_1_v5_gn_2_52320.1, Lsat_1_v5_gn_9_34941.1, Lsat_1_v5_gn_4_50141.2, Lsat_1_v5_gn_4_50121.3, Lsat_1_v5_gn_4_50121.1, Lsat_1_v5_gn_4_50141.1
OG0000754	Dm_00010677-RA, Dm_00007973-RA, Dm_00004023-RA	Lsat_1_v5_gn_0_800.1
OG0000754	Dm_00018114-RA, Dm_00013214-RA	Lsat_1_v5_gn_9_10141.1, Lsat_1_v5_gn_9_10141.3
OG0000756	Dm_00019831-RA	Lsat_1_v5_gn_0_300.1, Lsat_1_v5_gn_0_300.3, Lsat_1_v5_gn_2_107780.1, Lsat_1_v5_gn_2_107840.1, Lsat_1_v5_gn_2_107800.1
OG0000757	Dm_00006988-RA	Lsat_1_v5_gn_9_14760.1, Lsat_1_v5_gn_9_18180.2, Lsat_1_v5_gn_9_18180.3, Lsat_1_v5_gn_9_18180.1, Lsat_1_v5_gn_5_173681.2, Lsat_1_v5_gn_5_173681.1
OG0000757	Dm_00013874-RA	Lsat_1_v5_gn_8_13161.1, Lsat_1_v5_gn_2_125601.2, Lsat_1_v5_gn_2_125601.1, Lsat_1_v5_gn_2_125601.3, Lsat_1_v5_gn_9_60720.2, Lsat_1_v5_gn_9_60720.1, Lsat_1_v5_gn_9_60720.3
OG0000759	Dm_00005442-RA	Lsat_1_v5_gn_2_33921.1, Lsat_1_v5_gn_3_110861.3, Lsat_1_v5_gn_3_110861.1, Lsat_1_v5_gn_3_110861.2
OG0000761	Dm_00010757-RA	Lsat_1_v5_gn_9_30421.2, Lsat_1_v5_gn_9_30421.1, Lsat_1_v5_gn_8_84020.1
OG0000761	Dm_00012776-RA	Lsat_1_v5_gn_6_116261.1
OG0000763	Dm_00015641-RA	Lsat_1_v5_gn_1_110800.2, Lsat_1_v5_gn_1_110800.1, Lsat_1_v5_gn_5_146141.1, Lsat_1_v5_gn_5_146141.2
OG0000764	Dm_00011387-RA	Lsat_1_v5_gn_5_184701.1, Lsat_1_v5_gn_5_184701.3, Lsat_1_v5_gn_8_57160.3, Lsat_1_v5_gn_8_57160.1
OG0000764	Dm_00015232-RA	Lsat_1_v5_gn_7_64420.1
OG0000765	Dm_00018315-RA	Lsat_1_v5_gn_3_118321.1, Lsat_1_v5_gn_3_118321.3, Lsat_1_v5_gn_5_64821.2, Lsat_1_v5_gn_5_64821.1
OG0000765	Dm_00011421-RA	Lsat_1_v5_gn_6_98720.2, Lsat_1_v5_gn_6_98720.1, Lsat_1_v5_gn_1_8600.1
OG0000766	Dm_00001947-RA, Dm_00000389-RA	Lsat_1_v5_gn_4_12520.1, Lsat_1_v5_gn_3_53361.1, Lsat_1_v5_gn_8_46221.2, Lsat_1_v5_gn_8_46221.1
OG0000766	Dm_00018051-RA	Lsat_1_v5_gn_3_53980.1, Lsat_1_v5_gn_8_41821.1
OG0000767	Dm_00014335-RA	Lsat_1_v5_gn_4_142020.1, Lsat_1_v5_gn_4_142020.2
OG0000767	Dm_00009919-RA	Lsat_1_v5_gn_6_103900.1, Lsat_1_v5_gn_6_103900.3, Lsat_1_v5_gn_6_103900.2
OG0000768	Dm_00007922-RA	Lsat_1_v5_gn_9_79080.1, Lsat_1_v5_gn_9_79080.3, Lsat_1_v5_gn_7_83621.2, Lsat_1_v5_gn_7_83621.1, Lsat_1_v5_gn_5_110200.1, Lsat_1_v5_gn_5_110200.3
OG0000769	Dm_00015155-RA, Dm_00003403-RA, Dm_00001654-RA, Dm_00006471-RA	Lsat_1_v5_gn_4_126881.1, Lsat_1_v5_gn_1_21861.1, Lsat_1_v5_gn_1_21861.2
OG0000770	Dm_00003215-RA	Lsat_1_v5_gn_4_167461.2
OG0000771	Dm_00013239-RA	Lsat_1_v5_gn_9_108380.2, Lsat_1_v5_gn_9_108380.1, Lsat_1_v5_gn_9_108380.3
OG0000771	Dm_00011045-RA	Lsat_1_v5_gn_5_27340.1
OG0000772	Dm_00010388-RA, Dm_00001990-RA	Lsat_1_v5_gn_9_27060.1, Lsat_1_v5_gn_9_27060.3, Lsat_1_v5_gn_9_27060.2
OG0000773	Dm_00008998-RA, Dm_00009192-RA, Dm_00010557-RA	Lsat_1_v5_gn_4_140981.1
OG0000775	Dm_00006897-RA	Lsat_1_v5_gn_7_16501.1, Lsat_1_v5_gn_7_16521.1, Lsat_1_v5_gn_7_16541.1
OG0000776	Dm_00002901-RA, Dm_00001468-RA	Lsat_1_v5_gn_1_125001.3, Lsat_1_v5_gn_1_125001.1, Lsat_1_v5_gn_7_19881.1, Lsat_1_v5_gn_4_56060.1
OG0000777	Dm_00012255-RA	Lsat_1_v5_gn_3_30141.1, Lsat_1_v5_gn_8_152900.1
OG0000778	Dm_00011501-RA	Lsat_1_v5_gn_5_135341.2, Lsat_1_v5_gn_5_135341.1, Lsat_1_v5_gn_4_95221.1
OG0000778	Dm_00015017-RA, Dm_00012752-RA	Lsat_1_v5_gn_8_63381.2, Lsat_1_v5_gn_8_63381.1, Lsat_1_v5_gn_5_91201.1
OG0000779	Dm_00006150-RA	Lsat_1_v5_gn_4_103641.1, Lsat_1_v5_gn_5_101501.1
OG0000779	Dm_00006151-RA	Lsat_1_v5_gn_8_95580.1
OG0000779	Dm_00001518-RA	Lsat_1_v5_gn_5_122340.1
OG0000780	Dm_00012094-RA	Lsat_1_v5_gn_7_37560.1, Lsat_1_v5_gn_7_37560.3, Lsat_1_v5_gn_7_37560.2
OG0000780	Dm_00007834-RA	Lsat_1_v5_gn_8_8000.1
OG0000781	Dm_00002035-RA	Lsat_1_v5_gn_2_134241.3, Lsat_1_v5_gn_2_134241.1
OG0000782	Dm_00009462-RA, Dm_00016998-RA	Lsat_1_v5_gn_3_31000.2, Lsat_1_v5_gn_3_31000.1, Lsat_1_v5_gn_4_421.1, Lsat_1_v5_gn_4_421.3
OG0000783	Dm_00020475-RA, Dm_00011450-RA, Dm_00001794-RA	Lsat_1_v5_gn_3_4101.3, Lsat_1_v5_gn_3_4101.4, Lsat_1_v5_gn_3_4101.1, Lsat_1_v5_gn_1_56441.2, Lsat_1_v5_gn_7_33641.3, Lsat_1_v5_gn_1_56441.1, Lsat_1_v5_gn_8_151781.1, Lsat_1_v5_gn_7_33641.1, Lsat_1_v5_gn_4_42441.1
OG0000783	Dm_00000526-RA, Dm_00002796-RA, Dm_00002801-RA	Lsat_1_v5_gn_5_114921.3, Lsat_1_v5_gn_5_114921.1
OG0000785	Dm_00001175-RA	Lsat_1_v5_gn_9_31960.2, Lsat_1_v5_gn_9_31960.3, Lsat_1_v5_gn_9_31960.1
OG0000785	Dm_00007940-RA, Dm_00009244-RA	Lsat_1_v5_gn_8_14661.2, Lsat_1_v5_gn_8_14661.1, Lsat_1_v5_gn_9_63441.3, Lsat_1_v5_gn_9_63441.2, Lsat_1_v5_gn_9_63441.1
OG0000786	Dm_00010126-RA	Lsat_1_v5_gn_0_8541.1, Lsat_1_v5_gn_0_8541.3, Lsat_1_v5_gn_0_8541.5
OG0000787	Dm_00017495-RA	Lsat_1_v5_gn_6_86121.2, Lsat_1_v5_gn_6_86121.1
OG0000788	Dm_00019307-RA	Lsat_1_v5_gn_2_94020.1, Lsat_1_v5_gn_4_185381.2, Lsat_1_v5_gn_4_185381.1
OG0000788	Dm_00001856-RA	Lsat_1_v5_gn_4_76660.1, Lsat_1_v5_gn_4_76660.2
OG0000789	Dm_00007981-RA	Lsat_1_v5_gn_3_100660.1, Lsat_1_v5_gn_3_100660.3
OG0000789	Dm_00002002-RA	Lsat_1_v5_gn_8_52301.1, Lsat_1_v5_gn_8_52301.3
OG0000791	Dm_00009584-RA, Dm_00013295-RA	Lsat_1_v5_gn_9_117361.3, Lsat_1_v5_gn_9_117361.2, Lsat_1_v5_gn_9_117361.1, Lsat_1_v5_gn_5_107161.1
OG0000797	Dm_00013155-RA	Lsat_1_v5_gn_3_103780.1, Lsat_1_v5_gn_3_103780.2, Lsat_1_v5_gn_8_34720.1, Lsat_1_v5_gn_8_34720.3
OG0000798	Dm_00003950-RA	Lsat_1_v5_gn_6_41001.1, Lsat_1_v5_gn_2_95941.1, Lsat_1_v5_gn_2_95941.3, Lsat_1_v5_gn_2_96001.3, Lsat_1_v5_gn_2_96001.1, Lsat_1_v5_gn_6_40981.1
OG0000799	Dm_00014385-RA	Lsat_1_v5_gn_1_118440.1
