Orthogroup	D_muscipula.proteins	V_vinifera.proteins
OG0001068	Dm_00003072-RA, Dm_00016060-RA	VIT_216s0100g00500.2, VIT_216s0100g00500.1
OG0001069	Dm_00008174-RA, Dm_00000459-RA	VIT_216s0098g00350.1
OG0001069	Dm_00003564-RA	VIT_215s0046g00760.1
OG0001070	Dm_00003642-RA	VIT_206s0061g01030.1, VIT_206s0061g01030.3, VIT_206s0061g01030.5, VIT_206s0061g01030.2, VIT_206s0061g01030.4
OG0001070	Dm_00013442-RA, Dm_00006131-RA	VIT_208s0007g04390.1
OG0001071	Dm_00003100-RA	VIT_208s0040g03270.1, VIT_208s0040g03270.3, VIT_208s0040g03270.2
OG0001072	Dm_00012642-RA	VIT_219s0093g00510.2, VIT_219s0093g00510.1
OG0001073	Dm_00020851-RA, Dm_00012553-RA, Dm_00003432-RA	VIT_208s0056g00690.1, VIT_206s0009g01180.5, VIT_206s0009g01180.2, VIT_206s0009g01180.1, VIT_206s0009g01180.4, VIT_206s0009g01180.3, VIT_206s0009g01180.6
OG0001074	Dm_00007771-RA, Dm_00007770-RA	VIT_201s0010g03450.1, VIT_201s0010g03480.1
OG0001075	Dm_00004003-RA, Dm_00004004-RA, Dm_00002046-RA	VIT_216s0050g01860.4, VIT_216s0050g01860.1, VIT_216s0050g01860.3, VIT_216s0050g01860.2, VIT_216s0050g01860.5
OG0001076	Dm_00003502-RA	VIT_214s0036g00520.1, VIT_214s0036g00520.2, VIT_214s0036g00520.10, VIT_214s0036g00520.6, VIT_214s0036g00520.7, VIT_214s0036g00520.4, VIT_214s0036g00520.5, VIT_214s0036g00520.11, VIT_214s0036g00520.9, VIT_214s0036g00520.3, VIT_214s0036g00520.8
OG0001077	Dm_00007141-RA, Dm_00010638-RA	VIT_208s0058g00620.3, VIT_208s0058g00620.1, VIT_208s0058g00620.2, VIT_208s0058g00620.5, VIT_208s0058g00620.4, VIT_208s0058g00620.7, VIT_208s0058g00620.6
OG0001078	Dm_00013731-RA	VIT_217s0000g05210.1, VIT_217s0000g05210.4, VIT_217s0000g05210.5, VIT_217s0000g05210.2, VIT_217s0000g05210.3, VIT_217s0000g05210.6
OG0001079	Dm_00009107-RA, Dm_00014070-RA	VIT_214s0108g01070.1, VIT_214s0108g01070.3, VIT_214s0108g01070.4, VIT_214s0108g01070.2, VIT_217s0000g06400.3, VIT_217s0000g06400.2, VIT_217s0000g06400.1
OG0001080	Dm_00008140-RA	VIT_202s0012g00550.2, VIT_202s0012g00550.4, VIT_202s0012g00550.3, VIT_202s0012g00550.1, VIT_202s0012g00550.5
OG0001082	Dm_00011596-RA	VIT_203s0017g00980.1, VIT_210s0003g05640.1
OG0001083	Dm_00018665-RA	VIT_214s0108g01270.5, VIT_214s0108g01270.1, VIT_214s0108g01270.3, VIT_214s0108g01270.2, VIT_214s0108g01270.4
OG0001086	Dm_00006272-RA, Dm_00012178-RA, Dm_00007651-RA	VIT_218s0076g00250.1, VIT_218s0076g00250.4, VIT_218s0076g00250.2, VIT_218s0076g00250.3
OG0001091	Dm_00007492-RA	VIT_200s0332g00140.1, VIT_200s0246g00070.1, VIT_200s0246g00010.1
OG0001092	Dm_00019254-RA	VIT_213s0067g01120.1, VIT_208s0105g00430.3, VIT_208s0105g00430.2, VIT_208s0105g00430.1
OG0001093	Dm_00017445-RA, Dm_00006638-RA	VIT_200s1995g00010.1, VIT_200s1995g00010.2, VIT_218s0082g00135.1, VIT_207s0205g00070.1, VIT_200s2840g00010.1, VIT_218s0122g00025.1, VIT_200s2576g00010.2, VIT_200s2576g00010.1
OG0001094	Dm_00021079-RA, Dm_00020597-RA	VIT_206s0009g03640.1
OG0001095	Dm_00015384-RA, Dm_00005899-RA	VIT_218s0001g15110.1, VIT_218s0001g15100.1, VIT_218s0001g15190.1
OG0001095	Dm_00021116-RA	VIT_207s0104g01250.1, VIT_207s0104g01260.1
OG0001096	Dm_00004496-RA	VIT_204s0023g00950.1, VIT_204s0023g00950.2, VIT_204s0023g00960.1
OG0001096	Dm_00000743-RA	VIT_211s0052g00840.1
OG0001096	Dm_00016028-RA	VIT_204s0023g00970.1
OG0001097	Dm_00003749-RA	VIT_206s0004g05020.2, VIT_206s0004g05020.1
OG0001098	Dm_00010864-RA, Dm_00015764-RA	VIT_217s0000g08890.3, VIT_217s0000g08890.2, VIT_217s0000g08890.1
OG0001099	Dm_00002560-RA, Dm_00001541-RA	VIT_205s0029g00440.1
OG0001099	Dm_00010471-RA	VIT_217s0000g07330.1, VIT_217s0000g07330.2
OG0001100	Dm_00013683-RA	VIT_200s0265g00020.2, VIT_200s0265g00020.1, VIT_200s0265g00020.4, VIT_203s0017g01640.3, VIT_203s0017g01640.2, VIT_203s0017g01640.4, VIT_203s0017g01640.1, VIT_200s0265g00020.3
OG0001100	Dm_00012850-RA	VIT_204s0008g06470.1, VIT_204s0008g06470.3, VIT_204s0008g06470.2
OG0001103	Dm_00006958-RA, Dm_00012179-RA	VIT_218s0001g13630.1
OG0001106	Dm_00006397-RA, Dm_00011539-RA, Dm_00006307-RA, Dm_00006829-RA, Dm_00006828-RA, Dm_00006832-RA, Dm_00006833-RA, Dm_00004921-RA	VIT_214s0066g02000.1
OG0001108	Dm_00001769-RA, Dm_00011153-RA	VIT_212s0059g00810.1
OG0001109	Dm_00020010-RA, Dm_00020569-RA	VIT_209s0002g01710.2, VIT_209s0002g01710.1, VIT_210s0003g02760.1, VIT_209s0002g01710.4
OG0001111	Dm_00005020-RA, Dm_00003858-RA, Dm_00013904-RA	VIT_204s0008g01020.1
OG0001112	Dm_00017220-RA, Dm_00012954-RA	VIT_202s0025g00130.3
OG0001113	Dm_00020464-RA	VIT_214s0036g01400.1
OG0001114	Dm_00018375-RA, Dm_00016202-RA	VIT_215s0048g02000.6, VIT_215s0048g02000.2, VIT_215s0048g02000.3, VIT_215s0048g02000.1, VIT_215s0048g02000.5, VIT_215s0048g02000.4
OG0001115	Dm_00002325-RA	VIT_209s0002g09090.1
OG0001115	Dm_00002166-RA	VIT_204s0008g06050.4, VIT_204s0008g06050.3, VIT_204s0008g06050.2, VIT_204s0008g06050.1
OG0001116	Dm_00017757-RA, Dm_00000644-RA	VIT_211s0016g03750.1, VIT_211s0016g03750.2, VIT_204s0008g03780.3, VIT_204s0008g03780.4, VIT_204s0008g03780.5, VIT_204s0008g03780.2, VIT_204s0008g03780.1
OG0001117	Dm_00014329-RA, Dm_00020976-RA	VIT_204s0008g02390.3, VIT_204s0008g02390.2, VIT_204s0008g02390.4, VIT_204s0008g02390.5, VIT_204s0008g02390.1
OG0001118	Dm_00000470-RA	VIT_206s0004g03180.1
OG0001120	Dm_00013052-RA	VIT_208s0032g00310.1, VIT_217s0000g05820.7, VIT_217s0000g05820.8, VIT_217s0000g05820.5, VIT_217s0000g05820.6
OG0001120	Dm_00016697-RA	VIT_201s0026g01770.1, VIT_201s0026g01770.3, VIT_201s0026g01770.4, VIT_201s0026g01770.2
OG0001121	Dm_00019545-RA	VIT_208s0007g00140.1
OG0001121	Dm_00010684-RA	VIT_206s0004g04480.2, VIT_206s0004g04480.1, VIT_206s0004g04480.3
OG0001122	Dm_00019221-RA	VIT_210s0003g02670.1, VIT_210s0003g02670.4, VIT_210s0003g02670.6, VIT_210s0003g02670.8, VIT_210s0003g02670.2, VIT_210s0003g02670.3, VIT_210s0003g02670.5, VIT_210s0003g02670.7
OG0001123	Dm_00008809-RA	VIT_208s0007g07400.8, VIT_208s0007g07400.10, VIT_208s0007g07400.4, VIT_208s0007g07400.6, VIT_208s0007g07400.2, VIT_208s0007g07400.7, VIT_208s0007g07400.5, VIT_208s0007g07400.11, VIT_208s0007g07400.1, VIT_208s0007g07400.3, VIT_208s0007g07400.9
OG0001123	Dm_00019509-RA	VIT_216s0039g02740.1
OG0001124	Dm_00012919-RA	VIT_211s0118g00490.2, VIT_211s0118g00490.1, VIT_211s0118g00490.3
OG0001124	Dm_00008459-RA	VIT_204s0008g06310.1, VIT_204s0008g06310.2
OG0001125	Dm_00018914-RA, Dm_00020108-RA, Dm_00012547-RA	VIT_216s0050g02640.3, VIT_216s0050g02640.5
OG0001128	Dm_00001138-RA	VIT_218s0001g11740.10, VIT_218s0001g11740.11, VIT_218s0001g11740.4, VIT_218s0001g11740.8, VIT_218s0001g11740.5, VIT_218s0001g11740.2, VIT_218s0001g11740.3, VIT_218s0001g11740.1, VIT_218s0001g11740.6, VIT_218s0001g11740.7, VIT_218s0001g11740.9
OG0001129	Dm_00007668-RA	VIT_201s0010g02810.1, VIT_201s0010g02810.2, VIT_201s0010g02810.3
OG0001130	Dm_00006827-RA	VIT_201s0026g00880.1
OG0001131	Dm_00017594-RA	VIT_214s0083g01100.1
OG0001132	Dm_00004788-RA	VIT_214s0006g02910.4, VIT_214s0006g02910.3, VIT_214s0006g02910.1, VIT_214s0006g02910.2
OG0001132	Dm_00010583-RA, Dm_00001709-RA	VIT_201s0011g03580.2, VIT_201s0011g03580.1, VIT_201s0011g03580.3
OG0001133	Dm_00012430-RA	VIT_214s0006g00520.1, VIT_214s0006g00520.4, VIT_214s0006g00520.2, VIT_214s0006g00520.3
OG0001133	Dm_00000394-RA, Dm_00001951-RA	VIT_201s0011g05500.6, VIT_201s0011g05500.5, VIT_201s0011g05500.4, VIT_201s0011g05500.1, VIT_201s0011g05500.2, VIT_201s0011g05500.3
OG0001134	Dm_00019980-RA	VIT_214s0108g00390.2, VIT_214s0108g00390.1
OG0001134	Dm_00004868-RA, Dm_00020005-RA	VIT_201s0026g01950.1
OG0001136	Dm_00020622-RA	VIT_217s0000g01860.1, VIT_217s0000g01860.2
OG0001143	Dm_00017692-RA, Dm_00020372-RA, Dm_00014259-RA	VIT_200s0184g00110.1
OG0001144	Dm_00014716-RA, Dm_00011941-RA	VIT_206s0004g06810.1, VIT_206s0004g06800.1
OG0001145	Dm_00003249-RA	VIT_201s0244g00030.1
OG0001145	Dm_00002101-RA	VIT_214s0030g00740.1, VIT_205s0020g01980.4, VIT_205s0020g01980.3, VIT_205s0020g01980.1, VIT_205s0020g01980.2
OG0001146	Dm_00012120-RA, Dm_00012122-RA	VIT_208s0007g01030.2, VIT_208s0007g01040.1
OG0001147	Dm_00000780-RA	VIT_208s0007g03520.1, VIT_208s0007g03520.2, VIT_208s0007g03520.4, VIT_208s0007g03520.3
OG0001147	Dm_00001793-RA, Dm_00000781-RA	VIT_208s0007g03500.1, VIT_208s0007g03500.3, VIT_208s0007g03500.2, VIT_208s0007g03500.4
OG0001148	Dm_00016802-RA, Dm_00013183-RA, Dm_00002144-RA	VIT_208s0056g00190.5, VIT_208s0056g00190.1, VIT_208s0056g00190.2, VIT_208s0056g00190.3, VIT_208s0056g00190.4, VIT_210s0071g01060.2, VIT_210s0071g01060.1
OG0001148	Dm_00007826-RA	VIT_206s0004g00130.1
OG0001149	Dm_00002838-RA, Dm_00008134-RA	VIT_208s0040g00600.1, VIT_213s0067g00710.1
OG0001151	Dm_00016067-RA, Dm_00000925-RA	VIT_207s0005g06290.1
OG0001151	Dm_00000173-RA	VIT_216s0098g01230.1
OG0001152	Dm_00007870-RA	VIT_213s0074g00210.2, VIT_213s0074g00210.1
OG0001152	Dm_00007512-RA	VIT_208s0007g04170.1
OG0001153	Dm_00011018-RA, Dm_00011017-RA	VIT_216s0039g00740.7, VIT_216s0039g00740.3, VIT_216s0039g00740.2, VIT_216s0039g00740.4, VIT_216s0039g00740.1, VIT_216s0039g00740.6, VIT_216s0039g00740.5, VIT_216s0039g00740.8, VIT_216s0039g00740.9, VIT_216s0039g00740.10
OG0001154	Dm_00011379-RA	VIT_208s0007g07570.17, VIT_208s0007g07570.16, VIT_208s0007g07570.4, VIT_208s0007g07570.8, VIT_208s0007g07570.6, VIT_208s0007g07570.3, VIT_208s0007g07570.13, VIT_208s0007g07570.19, VIT_208s0007g07570.20, VIT_208s0007g07570.18, VIT_208s0007g07570.14, VIT_208s0007g07570.7, VIT_208s0007g07570.2, VIT_208s0007g07570.15, VIT_208s0007g07570.12, VIT_208s0007g07570.10, VIT_208s0007g07570.11, VIT_208s0007g07570.9, VIT_208s0007g07570.1, VIT_208s0007g07570.5
OG0001155	Dm_00008472-RA	VIT_207s0151g00440.1
OG0001155	Dm_00017929-RA, Dm_00004024-RA	VIT_218s0001g08610.1
OG0001157	Dm_00015359-RA	VIT_218s0001g09320.1
OG0001157	Dm_00006935-RA, Dm_00003894-RA	VIT_207s0129g00270.2, VIT_207s0129g00270.1
OG0001158	Dm_00017844-RA	VIT_203s0063g00100.3, VIT_203s0063g00100.2, VIT_203s0063g00100.1, VIT_203s0063g00100.6, VIT_203s0063g00100.4, VIT_203s0063g00100.5, VIT_207s0031g00250.9, VIT_207s0031g00250.8, VIT_207s0031g00250.6, VIT_207s0031g00250.2, VIT_207s0031g00250.1, VIT_207s0031g00250.3, VIT_207s0031g00250.5, VIT_207s0031g00250.4, VIT_207s0031g00250.10, VIT_207s0031g00250.7
OG0001159	Dm_00017597-RA	VIT_212s0034g01780.2, VIT_212s0034g01780.7, VIT_212s0034g01780.9, VIT_212s0034g01780.6, VIT_212s0034g01780.4, VIT_212s0034g01780.10, VIT_212s0034g01780.1, VIT_212s0034g01780.3, VIT_212s0034g01780.5, VIT_212s0034g01780.8
OG0001160	Dm_00000150-RA	VIT_218s0122g01440.4, VIT_218s0122g01440.5, VIT_218s0122g01440.1, VIT_218s0122g01440.2, VIT_218s0122g01440.3, VIT_218s0122g01440.6
OG0001162	Dm_00000161-RA	VIT_218s0122g00970.7, VIT_218s0122g00970.4, VIT_218s0122g00970.6, VIT_218s0122g00970.3, VIT_218s0122g00970.5, VIT_218s0122g00970.1, VIT_218s0122g00970.2
OG0001162	Dm_00002271-RA	VIT_207s0031g02180.2, VIT_207s0031g02180.4, VIT_207s0031g02180.1, VIT_207s0031g02180.3
OG0001163	Dm_00012590-RA	VIT_203s0180g00140.1
OG0001163	Dm_00002370-RA	VIT_218s0001g09870.1, VIT_218s0001g09870.2
OG0001164	Dm_00006905-RA	VIT_203s0017g00530.2, VIT_203s0017g00530.1, VIT_203s0017g00530.5, VIT_203s0017g00530.4, VIT_203s0017g00530.3, VIT_203s0017g00530.6, VIT_203s0017g00530.7
OG0001165	Dm_00003039-RA	VIT_204s0023g03220.1, VIT_204s0023g03220.2, VIT_218s0001g13970.1, VIT_218s0001g13970.2, VIT_218s0001g13970.3, VIT_218s0001g13970.5, VIT_218s0001g13970.4
OG0001166	Dm_00020362-RA, Dm_00017671-RA	VIT_200s0187g00260.1, VIT_200s0187g00305.1, VIT_200s2300g00010.1
OG0001167	Dm_00009572-RA	VIT_210s0116g00810.1
OG0001168	Dm_00006060-RA	VIT_216s0022g00030.3, VIT_216s0022g00030.4, VIT_216s0022g00030.2, VIT_216s0022g00030.1, VIT_216s0022g00030.6, VIT_216s0022g00030.5, VIT_216s0022g00030.7, VIT_216s0022g00030.10, VIT_216s0022g00030.8, VIT_216s0022g00030.9
OG0001168	Dm_00006056-RA	VIT_200s0144g00010.1, VIT_200s0144g00010.4, VIT_200s0144g00010.3, VIT_200s0144g00010.2, VIT_216s0148g00080.1
OG0001168	Dm_00006057-RA	VIT_215s0021g02570.1, VIT_215s0021g02570.3, VIT_215s0021g02570.2
OG0001169	Dm_00020893-RA, Dm_00000153-RA	VIT_218s0001g14170.1, VIT_218s0001g14170.2
OG0001171	Dm_00002065-RA	VIT_203s0038g03200.2, VIT_203s0038g03200.3, VIT_203s0038g03200.1
OG0001172	Dm_00003587-RA	VIT_210s0116g00480.1
OG0001172	Dm_00009949-RA	VIT_212s0057g00520.3, VIT_212s0057g00520.4, VIT_212s0057g00520.2, VIT_212s0057g00520.1
OG0001173	Dm_00000841-RA, Dm_00008228-RA	VIT_219s0177g00300.1
OG0001174	Dm_00000697-RA	VIT_210s0003g00880.4, VIT_210s0003g00880.2, VIT_210s0003g00880.5, VIT_210s0003g00880.3, VIT_210s0003g00880.1
OG0001175	Dm_00010727-RA	VIT_213s0084g00170.5, VIT_213s0084g00170.4, VIT_213s0084g00170.3, VIT_213s0084g00170.1, VIT_213s0084g00170.2
OG0001176	Dm_00016992-RA	VIT_200s0516g00020.1
OG0001177	Dm_00009412-RA	VIT_202s0025g04540.1, VIT_202s0025g04540.2
OG0001178	Dm_00001437-RA	VIT_217s0000g09780.1
OG0001178	Dm_00019343-RA	VIT_216s0013g00620.2, VIT_216s0013g00620.1, VIT_216s0013g00620.3
OG0001179	Dm_00012910-RA, Dm_00015319-RA	VIT_209s0002g01540.1, VIT_209s0002g01540.2
OG0001179	Dm_00020013-RA	VIT_211s0016g01460.5, VIT_211s0016g01460.3, VIT_211s0016g01460.2, VIT_211s0016g01460.1, VIT_211s0016g01460.4
OG0001180	Dm_00011957-RA	VIT_216s0022g00440.1, VIT_219s0014g02850.1, VIT_201s0011g05480.1
OG0001180	Dm_00000088-RA	VIT_211s0016g05000.1
OG0001182	Dm_00010694-RA	VIT_215s0048g01870.4, VIT_215s0048g01870.6, VIT_215s0048g01870.2, VIT_215s0048g01870.3, VIT_215s0048g01870.8, VIT_215s0048g01870.1, VIT_215s0048g01870.10, VIT_215s0048g01870.5, VIT_215s0048g01870.7, VIT_215s0048g01870.9
OG0001183	Dm_00006256-RA	VIT_216s0050g01180.2, VIT_216s0050g01180.1
OG0001183	Dm_00011513-RA	VIT_215s0046g02260.1, VIT_215s0046g02260.2
OG0001186	Dm_00010337-RA	VIT_211s0118g00480.1, VIT_211s0118g00480.2
OG0001187	Dm_00010928-RA	VIT_202s0087g00880.3, VIT_202s0087g00880.1, VIT_202s0087g00880.2
OG0001188	Dm_00004873-RA	VIT_202s0025g00040.1
OG0001188	Dm_00004370-RA, Dm_00008376-RA	VIT_215s0046g01790.1
OG0001189	Dm_00002084-RA, Dm_00000892-RA	VIT_219s0176g00090.1
OG0001190	Dm_00006515-RA, Dm_00018941-RA	VIT_212s0059g01820.2, VIT_212s0059g01820.3, VIT_212s0059g01820.1
OG0001191	Dm_00003292-RA	VIT_206s0009g00410.2, VIT_206s0009g00410.1
OG0001192	Dm_00007037-RA	VIT_210s0116g00410.3, VIT_210s0116g00410.1, VIT_210s0116g00410.2
OG0001193	Dm_00007114-RA, Dm_00004320-RA	VIT_206s0061g01240.1, VIT_206s0009g03080.1, VIT_203s0132g00020.1, VIT_208s0007g03940.2, VIT_208s0007g03940.1
OG0001194	Dm_00005461-RA, Dm_00012347-RA	VIT_219s0090g01120.2, VIT_219s0090g01120.3, VIT_219s0090g01120.1
OG0001194	Dm_00008585-RA	VIT_200s0399g00030.1, VIT_210s0523g00050.1, VIT_210s0523g00050.2
OG0001196	Dm_00018133-RA	VIT_208s0007g07580.6, VIT_208s0007g07580.5, VIT_208s0007g07580.3, VIT_208s0007g07580.1, VIT_208s0007g07580.2, VIT_208s0007g07580.4
OG0001197	Dm_00000507-RA, Dm_00005544-RA	VIT_203s0017g00990.2, VIT_203s0017g00990.3, VIT_203s0017g00990.1
OG0001197	Dm_00008318-RA	VIT_219s0027g00490.2, VIT_219s0027g00490.1
OG0001199	Dm_00014045-RA, Dm_00014042-RA, Dm_00014044-RA	VIT_219s0014g02310.9, VIT_219s0014g02310.8, VIT_219s0014g02310.7, VIT_219s0014g02310.6, VIT_219s0014g02310.3, VIT_219s0014g02310.4, VIT_219s0014g02310.2, VIT_219s0014g02310.1, VIT_219s0014g02310.5
OG0001200	Dm_00010667-RA, Dm_00010666-RA	VIT_214s0068g01220.1
OG0001201	Dm_00014746-RA, Dm_00004191-RA	VIT_201s0026g01610.9, VIT_201s0026g01610.3, VIT_201s0026g01610.4, VIT_201s0026g01610.2, VIT_201s0026g01610.8, VIT_201s0026g01610.6, VIT_201s0026g01610.1, VIT_201s0026g01610.5, VIT_201s0026g01610.7, VIT_201s0026g01610.10, VIT_202s0087g00130.5, VIT_202s0087g00130.6, VIT_202s0087g00130.10, VIT_202s0087g00130.8, VIT_202s0087g00130.11, VIT_202s0087g00130.9, VIT_202s0087g00130.1, VIT_202s0087g00130.2, VIT_202s0087g00130.4, VIT_202s0087g00130.7, VIT_202s0087g00130.3
OG0001202	Dm_00009001-RA	VIT_205s0020g02540.1
OG0001203	Dm_00002591-RA	VIT_214s0066g02560.2, VIT_214s0066g02560.1
OG0001204	Dm_00000873-RA	VIT_202s0488g00020.2, VIT_202s0488g00020.1
OG0001205	Dm_00007247-RA, Dm_00013059-RA, Dm_00000208-RA	VIT_217s0000g03850.1, VIT_217s0000g03850.2
OG0001206	Dm_00018493-RA	VIT_207s0095g00490.1
OG0001207	Dm_00001665-RA	VIT_218s0001g09730.1, VIT_218s0001g09750.1, VIT_218s0001g09720.1, VIT_218s0001g09790.1, VIT_218s0001g09820.1
OG0001216	Dm_00001792-RA	VIT_208s0007g03540.2, VIT_208s0007g03540.1, VIT_208s0007g03570.1, VIT_208s0007g03570.2, VIT_208s0007g03550.1
OG0001217	Dm_00020683-RA	VIT_214s0060g02070.8, VIT_214s0060g02070.3, VIT_214s0060g02070.2, VIT_214s0060g02070.1, VIT_214s0060g02070.4, VIT_214s0060g02070.5, VIT_214s0060g02070.7, VIT_214s0060g02070.9, VIT_214s0060g02070.6
OG0001218	Dm_00004722-RA, Dm_00003504-RA	VIT_214s0036g00570.6, VIT_214s0036g00570.3, VIT_214s0036g00570.1, VIT_214s0036g00570.4, VIT_214s0036g00570.2, VIT_214s0036g00570.5
OG0001219	Dm_00004772-RA, Dm_00020556-RA, Dm_00016676-RA	VIT_208s0040g03300.1, VIT_206s0004g04270.1
OG0001221	Dm_00020649-RA, Dm_00013750-RA	VIT_205s0020g02050.2, VIT_205s0020g02050.1
OG0001222	Dm_00001342-RA	VIT_206s0061g00890.3, VIT_206s0061g00890.4, VIT_206s0061g00890.1, VIT_206s0061g00890.2
OG0001223	Dm_00001526-RA	VIT_200s0531g00050.2, VIT_200s0531g00050.1
OG0001223	Dm_00013418-RA	VIT_212s0057g01200.5, VIT_212s0057g01200.1, VIT_212s0057g01200.2, VIT_212s0057g01200.3, VIT_212s0057g01200.6
OG0001224	Dm_00007970-RA	VIT_206s0004g00910.2, VIT_206s0004g00910.1, VIT_213s0156g00090.1
OG0001225	Dm_00020324-RA	VIT_217s0000g06750.1
OG0001225	Dm_00001198-RA	VIT_218s0075g00490.1
OG0001227	Dm_00011737-RA	VIT_217s0000g08550.1
OG0001227	Dm_00006039-RA	VIT_206s0004g06280.1
OG0001228	Dm_00008396-RA	VIT_219s0085g00795.1, VIT_219s0085g00740.2, VIT_219s0085g00740.1
OG0001230	Dm_00005110-RA, Dm_00008543-RA, Dm_00012010-RA	VIT_212s0134g00550.1
OG0001231	Dm_00001145-RA	VIT_218s0001g11910.1, VIT_218s0001g11910.3
OG0001232	Dm_00009209-RA	VIT_204s0023g01720.2, VIT_204s0023g01720.1, VIT_204s0023g01720.7, VIT_204s0023g01720.8, VIT_204s0023g01720.4, VIT_204s0023g01720.5, VIT_204s0023g01720.6, VIT_204s0023g01720.3
OG0001233	Dm_00006121-RA, Dm_00011202-RA	VIT_218s0001g05800.2, VIT_218s0001g05800.3, VIT_218s0001g05800.5, VIT_218s0001g05800.4, VIT_218s0001g05800.1
OG0001234	Dm_00002275-RA	VIT_207s0031g02240.1
OG0001234	Dm_00000162-RA	VIT_218s0122g00910.1
OG0001236	Dm_00018165-RA	VIT_203s0088g00990.2, VIT_203s0088g00990.4, VIT_203s0088g00990.3, VIT_203s0088g00990.1, VIT_203s0088g00990.5
OG0001238	Dm_00004942-RA	VIT_203s0017g01350.1, VIT_218s0001g06290.1, VIT_207s0191g00060.1
OG0001240	Dm_00003538-RA	VIT_208s0058g00870.1, VIT_208s0058g00860.2, VIT_208s0058g00860.1
OG0001241	Dm_00002904-RA	VIT_200s1397g00010.1, VIT_200s0776g00020.1, VIT_200s1406g00010.3, VIT_200s1406g00010.2, VIT_200s1406g00010.4, VIT_200s1406g00010.1
OG0001242	Dm_00003686-RA	VIT_204s0023g02810.1, VIT_204s0023g02810.2
OG0001243	Dm_00020422-RA, Dm_00011092-RA	VIT_211s0065g00140.3, VIT_211s0065g00140.4, VIT_211s0065g00140.2, VIT_211s0065g00140.1
OG0001244	Dm_00004515-RA	VIT_215s0048g02760.3, VIT_215s0048g02760.4, VIT_215s0048g02760.2, VIT_215s0048g02760.1
OG0001244	Dm_00003825-RA, Dm_00004103-RA	VIT_215s0048g00710.2, VIT_215s0048g00710.1, VIT_215s0048g00710.3, VIT_215s0048g00710.4
OG0001245	Dm_00001031-RA	VIT_204s0008g04380.2, VIT_204s0008g04380.1, VIT_211s0016g04240.5, VIT_211s0016g04240.2, VIT_211s0016g04240.4, VIT_211s0016g04240.3, VIT_211s0016g04240.1, VIT_211s0016g04240.6, VIT_211s0016g04240.7
OG0001246	Dm_00012018-RA, Dm_00014904-RA, Dm_00007025-RA	VIT_209s0002g02330.2, VIT_209s0002g02330.1
OG0001247	Dm_00007591-RA, Dm_00017231-RA, Dm_00014313-RA, Dm_00018684-RA, Dm_00010971-RA, Dm_00019002-RA, Dm_00009350-RA, Dm_00020877-RA, Dm_00007399-RA, Dm_00011489-RA, Dm_00016194-RA, Dm_00018699-RA, Dm_00009433-RA	VIT_217s0000g02130.1
OG0001248	Dm_00016403-RA, Dm_00011846-RA	VIT_206s0080g01110.1, VIT_206s0080g01110.2, VIT_206s0080g01110.3
OG0001249	Dm_00015478-RA	VIT_213s0073g00600.2, VIT_213s0073g00600.1
OG0001250	Dm_00001192-RA	VIT_208s0007g08970.1
OG0001250	Dm_00019964-RA, Dm_00015326-RA	VIT_208s0007g01690.1, VIT_213s0019g03270.1
OG0001252	Dm_00009038-RA	VIT_208s0040g02640.2, VIT_208s0040g02640.1
OG0001252	Dm_00001429-RA	VIT_217s0000g09500.1, VIT_217s0000g09500.3
OG0001252	Dm_00016533-RA	VIT_201s0137g00580.3
OG0001253	Dm_00003456-RA, Dm_00007763-RA	VIT_206s0061g00260.1, VIT_206s0061g00230.1, VIT_206s0061g00230.2, VIT_206s0061g00230.3
OG0001255	Dm_00011970-RA	VIT_218s0001g12120.1, VIT_204s0023g01360.4, VIT_204s0023g01360.3, VIT_204s0023g01360.1, VIT_204s0023g01360.2
OG0001256	Dm_00003466-RA, Dm_00013042-RA	VIT_201s0011g06600.1, VIT_204s0079g00600.1, VIT_204s0079g00600.2
OG0001257	Dm_00000384-RA	VIT_201s0011g05800.2, VIT_201s0011g05800.1
OG0001257	Dm_00016937-RA	VIT_202s0012g00740.2, VIT_202s0012g00740.3, VIT_202s0012g00740.1
OG0001259	Dm_00018938-RA, Dm_00010992-RA	VIT_202s0012g01400.1
OG0001259	Dm_00000248-RA	VIT_216s0039g01560.1, VIT_216s0039g01560.2
OG0001260	Dm_00009901-RA	VIT_201s0010g00740.1, VIT_201s0010g00740.2
OG0001261	Dm_00014939-RA, Dm_00006091-RA, Dm_00000369-RA	VIT_214s0068g00330.1
OG0001262	Dm_00017819-RA	VIT_214s0083g01050.2, VIT_214s0083g01050.1
OG0001262	Dm_00014662-RA	VIT_201s0011g00110.2, VIT_201s0011g00110.3, VIT_201s0011g00110.1
OG0001263	Dm_00001253-RA, Dm_00001252-RA	VIT_219s0027g01100.1, VIT_209s0054g01880.1
OG0001271	Dm_00001202-RA, Dm_00002007-RA, Dm_00010024-RA	VIT_205s0029g00390.1, VIT_205s0029g00390.2
OG0001273	Dm_00007504-RA, Dm_00006924-RA	VIT_204s0008g04700.1
OG0001275	Dm_00008602-RA, Dm_00019690-RA	VIT_205s0051g00340.1
OG0001275	Dm_00009662-RA	VIT_209s0002g02240.1
OG0001276	Dm_00008410-RA, Dm_00017741-RA	VIT_205s0077g01500.1
OG0001276	Dm_00001634-RA, Dm_00001796-RA	VIT_214s0060g01550.2, VIT_214s0060g01550.1
