Orthogroup	D_muscipula.proteins	S_lycopersicum.proteins
OG0001479	Dm_00020230-RA, Dm_00007221-RA	Solyc02g080400.2.1
OG0001480	Dm_00004487-RA	Solyc01g080170.3.1
OG0001481	Dm_00019076-RA	Solyc10g080450.2.1, Solyc10g078710.1.1
OG0001484	Dm_00005875-RA, Dm_00004249-RA, Dm_00005727-RA	Solyc10g077070.2.1, Solyc09g082050.3.1
OG0001485	Dm_00001510-RA, Dm_00001900-RA	Solyc10g005920.3.1, Solyc07g065950.3.1
OG0001486	Dm_00005815-RA, Dm_00015982-RA	Solyc05g013690.3.1
OG0001487	Dm_00007559-RA, Dm_00019057-RA	Solyc10g011815.1.1
OG0001487	Dm_00013168-RA	Solyc08g063090.2.1
OG0001488	Dm_00019975-RA, Dm_00010538-RA	Solyc08g014280.3.1, Solyc06g053455.1.1
OG0001489	Dm_00019788-RA	Solyc02g093720.3.1, Solyc02g067950.3.1
OG0001490	Dm_00012847-RA, Dm_00002711-RA	Solyc11g027880.2.1
OG0001490	Dm_00002712-RA	Solyc06g064940.3.1, Solyc11g051160.2.1
OG0001492	Dm_00000184-RA	Solyc03g082380.3.1, Solyc03g082367.1.1
OG0001493	Dm_00011277-RA	Solyc01g058670.3.1
OG0001493	Dm_00001819-RA, Dm_00013883-RA	Solyc01g100660.3.1
OG0001494	Dm_00009920-RA, Dm_00009921-RA	Solyc06g071880.3.1, Solyc06g071870.3.1, Solyc03g111230.3.1
OG0001496	Dm_00016929-RA, Dm_00013625-RA, Dm_00009822-RA	Solyc06g069660.2.1
OG0001497	Dm_00003286-RA, Dm_00003289-RA	Solyc03g112950.3.1
OG0001498	Dm_00002598-RA, Dm_00002599-RA	Solyc06g071400.3.1, Solyc03g114200.3.1
OG0001500	Dm_00015100-RA	Solyc03g046570.3.1
OG0001500	Dm_00011548-RA	Solyc05g011810.3.1, Solyc04g005280.3.1
OG0001501	Dm_00010687-RA	Solyc01g101040.3.1
OG0001501	Dm_00015868-RA, Dm_00008372-RA	Solyc05g005160.3.1, Solyc04g039670.3.1
OG0001503	Dm_00019282-RA	Solyc11g012680.2.1, Solyc05g054210.3.1, Solyc04g015020.3.1
OG0001504	Dm_00017513-RA, Dm_00016020-RA	Solyc01g102700.3.1, Solyc01g102680.3.1, Solyc01g102685.1.1, Solyc02g024065.1.1
OG0001514	Dm_00004354-RA, Dm_00011160-RA, Dm_00012724-RA	Solyc01g102260.3.1
OG0001516	Dm_00017075-RA	Solyc02g068730.3.1
OG0001516	Dm_00006372-RA, Dm_00000493-RA	Solyc11g069790.2.1, Solyc06g075010.3.1
OG0001517	Dm_00020423-RA	Solyc03g005470.3.1, Solyc09g089670.3.1
OG0001518	Dm_00018809-RA	Solyc03g096050.3.1
OG0001519	Dm_00011097-RA, Dm_00010785-RA	Solyc06g050990.3.1, Solyc05g052480.3.1
OG0001521	Dm_00019692-RA	Solyc09g074640.3.1, Solyc06g008740.3.1
OG0001522	Dm_00007146-RA	Solyc12g027753.1.1, Solyc01g065575.1.1
OG0001523	Dm_00008597-RA	Solyc01g006360.3.1, Solyc03g111570.3.1
OG0001523	Dm_00008598-RA, Dm_00001672-RA	Solyc03g111575.1.1, Solyc01g006350.3.1
OG0001524	Dm_00009721-RA, Dm_00008566-RA	Solyc04g078050.3.1
OG0001525	Dm_00019444-RA	Solyc10g080100.2.1, Solyc09g031950.2.1, Solyc10g079405.1.1
OG0001526	Dm_00001116-RA, Dm_00007767-RA	Solyc08g006900.3.1, Solyc02g070310.3.1
OG0001527	Dm_00019529-RA, Dm_00015750-RA	Solyc02g070570.3.1, Solyc09g010100.3.1, Solyc10g083280.3.1
OG0001528	Dm_00005886-RA	Solyc01g006370.3.1
OG0001528	Dm_00011851-RA	Solyc01g073750.3.1
OG0001529	Dm_00000521-RA	Solyc09g082505.1.1
OG0001530	Dm_00009789-RA, Dm_00017502-RA	Solyc06g073340.3.1
OG0001530	Dm_00004492-RA	Solyc11g008580.2.1
OG0001531	Dm_00019954-RA, Dm_00006203-RA	Solyc09g007100.3.1
OG0001533	Dm_00011720-RA, Dm_00015260-RA	Solyc01g059860.3.1, Solyc12g099250.2.1
OG0001534	Dm_00017593-RA	Solyc10g080640.2.1, Solyc10g078650.2.1
OG0001536	Dm_00002576-RA	Solyc02g080020.1.1
OG0001539	Dm_00004299-RA, Dm_00004298-RA	Solyc11g045160.2.1
OG0001540	Dm_00015757-RA	Solyc03g058970.3.1
OG0001541	Dm_00004182-RA, Dm_00000869-RA	Solyc03g093560.1.1, Solyc03g093550.1.1, Solyc03g093540.1.1, Solyc05g052040.1.1, Solyc08g078190.1.1
OG0001542	Dm_00002617-RA, Dm_00008437-RA, Dm_00015082-RA	Solyc01g101260.2.1
OG0001543	Dm_00013110-RA	Solyc10g055710.2.1
OG0001543	Dm_00001246-RA	Solyc04g082040.3.1, Solyc12g094420.2.1
OG0001544	Dm_00013363-RA	Solyc04g074220.3.1
OG0001544	Dm_00008344-RA	Solyc10g047340.2.1
OG0001546	Dm_00003224-RA, Dm_00002767-RA	Solyc02g090480.3.1
OG0001546	Dm_00001723-RA	Solyc01g108340.3.1
OG0001547	Dm_00001729-RA, Dm_00001727-RA	Solyc01g108880.3.1
OG0001549	Dm_00008381-RA	Solyc03g078570.3.1
OG0001549	Dm_00010743-RA	Solyc01g088560.3.1
OG0001550	Dm_00012795-RA	Solyc08g078230.3.1
OG0001552	Dm_00003408-RA	Solyc01g111680.3.1
OG0001553	Dm_00001653-RA, Dm_00003402-RA, Dm_00015154-RA	Solyc04g078660.1.1
OG0001554	Dm_00001305-RA	Solyc02g014350.3.1
OG0001556	Dm_00000256-RA	Solyc12g010470.2.1, Solyc07g007320.2.1
OG0001556	Dm_00013784-RA	Solyc01g091000.3.1
OG0001557	Dm_00008939-RA, Dm_00008941-RA, Dm_00008940-RA	Solyc12g014090.2.1
OG0001558	Dm_00014106-RA	Solyc09g009710.3.1
OG0001559	Dm_00000074-RA, Dm_00002924-RA	Solyc12g009570.2.1
OG0001560	Dm_00005567-RA	Solyc01g111090.3.1, Solyc10g054850.2.1
OG0001561	Dm_00007236-RA	Solyc02g093830.3.1
OG0001562	Dm_00009423-RA	Solyc08g082060.3.1
OG0001563	Dm_00000445-RA, Dm_00003674-RA	Solyc08g082820.3.1, Solyc03g082920.3.1, Solyc06g052050.3.1
OG0001564	Dm_00018298-RA, Dm_00011090-RA	Solyc05g032850.3.1
OG0001565	Dm_00011389-RA	Solyc09g065650.3.1
OG0001566	Dm_00009306-RA	Solyc07g040680.3.1
OG0001567	Dm_00004466-RA, Dm_00005737-RA	Solyc01g068270.3.1
OG0001567	Dm_00019329-RA	Solyc04g057930.3.1
OG0001568	Dm_00003306-RA, Dm_00002956-RA	Solyc06g036080.3.1, Solyc03g025360.3.1
OG0001569	Dm_00013443-RA, Dm_00002989-RA	Solyc06g066430.3.1
OG0001571	Dm_00000115-RA	Solyc12g006990.2.1
OG0001572	Dm_00016229-RA	Solyc12g009590.2.1, Solyc07g008170.2.1, Solyc03g116680.3.1, Solyc06g068140.3.1
OG0001573	Dm_00005697-RA, Dm_00016758-RA	Solyc08g079460.3.1
OG0001573	Dm_00010399-RA	Solyc03g083510.3.1
OG0001574	Dm_00000469-RA, Dm_00015729-RA	Solyc11g069190.2.1
OG0001575	Dm_00018397-RA	Solyc10g080680.2.1
OG0001576	Dm_00015278-RA	Solyc07g007060.2.1
OG0001577	Dm_00005056-RA	Solyc05g049970.3.1, Solyc01g094960.3.1
OG0001578	Dm_00013755-RA, Dm_00006975-RA	Solyc06g073860.2.1, Solyc06g073880.3.1, Solyc01g006810.3.1, Solyc10g081710.2.1
OG0001579	Dm_00002231-RA	Solyc07g044990.3.1
OG0001580	Dm_00007884-RA	Solyc10g085410.2.1
OG0001583	Dm_00017070-RA	Solyc01g006720.3.1
OG0001584	Dm_00004310-RA	Solyc06g005330.3.1, Solyc06g005310.3.1, Solyc11g073120.2.1, Solyc06g075660.3.1
OG0001586	Dm_00001395-RA, Dm_00000807-RA	Solyc09g010090.4.1, Solyc09g010080.3.1, Solyc10g083300.2.1, Solyc10g083290.4.1, Solyc10g085650.2.1, Solyc10g045585.1.1, Solyc10g085640.1.1, Solyc10g085360.2.1
OG0001587	Dm_00015245-RA	Solyc11g005290.1.1, Solyc11g005320.1.1, Solyc11g005300.2.1, Solyc11g005310.1.1, Solyc11g005280.1.1
OG0001588	Dm_00005792-RA	Solyc04g077190.3.1, Solyc12g088210.2.1
OG0001589	Dm_00014834-RA	Solyc04g071540.3.1
OG0001590	Dm_00013771-RA	Solyc03g005090.3.1, Solyc02g093850.3.1
OG0001590	Dm_00008805-RA	Solyc05g014510.3.1
OG0001592	Dm_00020647-RA	Solyc05g005200.3.1
OG0001593	Dm_00005819-RA, Dm_00015983-RA	Solyc05g013580.3.1
OG0001593	Dm_00008455-RA	Solyc02g093430.3.1, Solyc12g035470.2.1
OG0001594	Dm_00003109-RA, Dm_00003563-RA	Solyc01g095900.3.1, Solyc05g050630.3.1
OG0001595	Dm_00018792-RA	Solyc06g048420.2.1, Solyc06g048410.3.1, Solyc03g095180.3.1
OG0001596	Dm_00005232-RA, Dm_00002518-RA	Solyc02g081270.3.1, Solyc02g036430.2.1
OG0001598	Dm_00015920-RA	Solyc06g061100.3.1
OG0001599	Dm_00001933-RA	Solyc04g008110.3.1
OG0001600	Dm_00008104-RA, Dm_00010658-RA	Solyc05g012640.3.1, Solyc05g012650.3.1, Solyc04g005500.3.1, Solyc06g069395.1.1
OG0001601	Dm_00007618-RA	Solyc04g024780.1.1, Solyc04g028460.1.1, Solyc02g062050.2.1, Solyc05g005260.2.1
OG0001601	Dm_00002592-RA, Dm_00004920-RA	Solyc03g114350.1.1
OG0001602	Dm_00009779-RA	Solyc03g113330.3.1
OG0001603	Dm_00001607-RA	Solyc09g059675.1.1
OG0001604	Dm_00012381-RA	Solyc08g005240.2.1, Solyc08g076390.3.1
OG0001605	Dm_00001025-RA	Solyc07g042260.3.1
OG0001606	Dm_00011918-RA	Solyc07g061780.3.1
OG0001616	Dm_00009016-RA	Solyc03g095310.3.1
OG0001617	Dm_00001113-RA	Solyc09g056450.3.1
OG0001618	Dm_00009040-RA	Solyc09g005720.3.1, Solyc10g084610.3.1, Solyc10g086330.2.1
OG0001619	Dm_00020136-RA	Solyc08g062450.1.1, Solyc08g062340.3.1
OG0001620	Dm_00012643-RA	Solyc05g015950.3.1
OG0001620	Dm_00010124-RA	Solyc07g045540.3.1
OG0001621	Dm_00007873-RA	Solyc11g062260.2.1
OG0001622	Dm_00015421-RA	Solyc11g006310.2.1
OG0001623	Dm_00013159-RA, Dm_00003311-RA	Solyc03g025520.3.1, Solyc06g036050.3.1, Solyc01g094560.3.1
OG0001624	Dm_00018918-RA, Dm_00000259-RA	Solyc12g042080.2.1, Solyc06g073790.3.1, Solyc06g073800.3.1
OG0001625	Dm_00000797-RA	Solyc09g009890.3.1
OG0001626	Dm_00007974-RA	Solyc01g073650.3.1, Solyc01g005950.3.1, Solyc01g034020.3.1
OG0001627	Dm_00006122-RA	Solyc09g008485.1.1, Solyc10g086320.2.1
OG0001628	Dm_00002610-RA	Solyc12g098960.2.1
OG0001629	Dm_00003675-RA	Solyc03g082900.3.1
OG0001629	Dm_00019080-RA	Solyc07g005330.3.1, Solyc05g054440.3.1
OG0001630	Dm_00013261-RA	Solyc09g072870.3.1
OG0001630	Dm_00011624-RA	Solyc09g090610.3.1
OG0001631	Dm_00007142-RA	Solyc01g011415.1.1, Solyc12g035280.1.1, Solyc01g050020.2.1
OG0001632	Dm_00017286-RA, Dm_00008151-RA, Dm_00008150-RA	Solyc04g049120.3.1
OG0001633	Dm_00013145-RA	Solyc04g078640.2.1
OG0001634	Dm_00001558-RA	Solyc10g074870.2.1, Solyc09g031930.3.1
OG0001636	Dm_00001391-RA	Solyc09g009880.3.1
OG0001637	Dm_00004654-RA	Solyc04g079560.3.1
OG0001639	Dm_00002405-RA, Dm_00012475-RA	Solyc06g082510.3.1
OG0001640	Dm_00004028-RA	Solyc04g077400.4.1, Solyc12g088230.2.1
OG0001641	Dm_00000865-RA, Dm_00005197-RA	Solyc07g052350.3.1, Solyc12g005860.2.1
OG0001642	Dm_00014341-RA	Solyc01g105230.3.1
OG0001643	Dm_00010199-RA	Solyc02g092330.3.1
OG0001644	Dm_00001006-RA	Solyc04g071310.3.1
OG0001645	Dm_00001754-RA	Solyc01g098410.3.1
OG0001646	Dm_00002475-RA, Dm_00002477-RA	Solyc09g064940.2.1
OG0001647	Dm_00004516-RA	Solyc05g047600.3.1
OG0001647	Dm_00005903-RA	Solyc02g021440.3.1
OG0001648	Dm_00013356-RA, Dm_00018135-RA	Solyc07g049360.3.1, Solyc12g006010.2.1
OG0001649	Dm_00004396-RA	Solyc11g008310.2.1, Solyc02g033070.1.1, Solyc05g024140.1.1, Solyc05g024170.1.1, Solyc05g055560.1.1
OG0001650	Dm_00001119-RA	Solyc09g057960.1.1
OG0001651	Dm_00015991-RA	Solyc11g012790.2.1
OG0001651	Dm_00002660-RA, Dm_00020138-RA	Solyc07g065700.3.1
OG0001652	Dm_00003918-RA	Solyc05g041910.3.1, Solyc07g048070.3.1
OG0001653	Dm_00008485-RA	Solyc04g055120.3.1
OG0001654	Dm_00001571-RA	Solyc10g074930.1.1
OG0001655	Dm_00011543-RA	Solyc05g051040.3.1, Solyc01g091600.3.1
OG0001656	Dm_00014425-RA	Solyc07g042500.3.1
OG0001657	Dm_00006027-RA	Solyc08g080900.3.1, Solyc08g080910.3.1
OG0001658	Dm_00004929-RA	Solyc06g068410.3.1, Solyc03g117030.2.1
OG0001658	Dm_00002158-RA	Solyc11g045130.2.1
OG0001659	Dm_00020185-RA	Solyc01g091270.3.1
OG0001659	Dm_00004261-RA, Dm_00020186-RA	Solyc08g079500.3.1
OG0001660	Dm_00012066-RA, Dm_00014107-RA, Dm_00004927-RA	Solyc01g103800.3.1, Solyc12g042650.2.1, Solyc03g083290.3.1
OG0001662	Dm_00013387-RA, Dm_00013386-RA	Solyc08g006420.3.1
OG0001663	Dm_00013548-RA	Solyc08g062500.3.1
OG0001663	Dm_00020137-RA	Solyc05g032750.3.1, Solyc07g041180.3.1
OG0001665	Dm_00010782-RA	Solyc05g054930.3.1
OG0001666	Dm_00002964-RA	Solyc03g025530.3.1, Solyc06g036020.1.1
OG0001667	Dm_00004581-RA	Solyc01g094610.3.1
OG0001668	Dm_00005223-RA	Solyc07g042080.3.1, Solyc12g009160.2.1
OG0001669	Dm_00012768-RA	Solyc03g122280.3.1
OG0001670	Dm_00012014-RA	Solyc09g008010.3.1
OG0001671	Dm_00003847-RA	Solyc07g053800.3.1
OG0001672	Dm_00000475-RA	Solyc07g056260.3.1
OG0001673	Dm_00001633-RA, Dm_00001797-RA	Solyc01g100170.3.1
OG0001674	Dm_00020465-RA	Solyc10g078370.2.1, Solyc10g080880.2.1
OG0001674	Dm_00003131-RA	Solyc03g118740.3.1
OG0001675	Dm_00018047-RA	Solyc04g009740.3.1, Solyc11g006620.2.1
OG0001675	Dm_00000055-RA, Dm_00002538-RA	Solyc10g081940.2.1
OG0001676	Dm_00009147-RA	Solyc01g090190.3.1
OG0001676	Dm_00001494-RA	Solyc00g047700.3.1, Solyc08g007220.3.1
OG0001677	Dm_00009575-RA	Solyc08g023500.3.1
OG0001678	Dm_00010164-RA	Solyc02g069860.3.1
OG0001679	Dm_00016695-RA, Dm_00012026-RA	Solyc10g076360.1.1, Solyc09g015155.1.1
OG0001679	Dm_00014592-RA	Solyc06g050570.2.1
OG0001680	Dm_00007226-RA, Dm_00013422-RA	Solyc02g071250.3.1
OG0001684	Dm_00018718-RA	Solyc01g103570.3.1
OG0001685	Dm_00000941-RA, Dm_00006063-RA, Dm_00004943-RA	Solyc09g064160.3.1, Solyc06g008050.3.1, Solyc06g083700.3.1
OG0001686	Dm_00012973-RA	Solyc06g053810.3.1
OG0001686	Dm_00013855-RA	Solyc06g031670.2.1, Solyc08g059750.2.1
OG0001687	Dm_00001163-RA, Dm_00002730-RA, Dm_00001162-RA	Solyc04g080240.3.1
OG0001688	Dm_00007100-RA	Solyc05g055690.2.1, Solyc06g084210.3.1
OG0001689	Dm_00013241-RA	Solyc02g067730.2.1, Solyc02g067720.1.1, Solyc02g086850.2.1
OG0001689	Dm_00017971-RA	Solyc09g064740.3.1
OG0001690	Dm_00008663-RA	Solyc11g013240.2.1
OG0001691	Dm_00000940-RA, Dm_00011394-RA	Solyc06g083660.3.1, Solyc09g063090.3.1
OG0001692	Dm_00000603-RA	Solyc06g068680.3.1, Solyc03g117980.3.1, Solyc01g099620.3.1
OG0001693	Dm_00001618-RA	Solyc01g100530.3.1
OG0001694	Dm_00006813-RA	Solyc12g036300.2.1
OG0001696	Dm_00008525-RA, Dm_00014020-RA	Solyc10g080730.2.1, Solyc12g019740.2.1
OG0001696	Dm_00010385-RA, Dm_00014083-RA	Solyc03g115870.3.1, Solyc06g069727.1.1
OG0001697	Dm_00007667-RA	Solyc05g015070.3.1
OG0001698	Dm_00015753-RA	Solyc08g076540.3.1, Solyc11g066910.2.1, Solyc06g062360.3.1, Solyc08g005200.3.1
OG0001700	Dm_00004830-RA	Solyc04g005440.1.1, Solyc05g012490.1.1, Solyc01g010410.3.1
OG0001700	Dm_00019408-RA, Dm_00011909-RA	Solyc03g115450.1.1
OG0001701	Dm_00015037-RA, Dm_00012504-RA, Dm_00017056-RA, Dm_00019676-RA, Dm_00012551-RA, Dm_00013192-RA, Dm_00020952-RA, Dm_00020479-RA, Dm_00012491-RA, Dm_00019755-RA, Dm_00008900-RA, Dm_00019862-RA, Dm_00019294-RA, Dm_00015036-RA, Dm_00020216-RA, Dm_00017553-RA, Dm_00018189-RA, Dm_00008901-RA, Dm_00016641-RA, Dm_00017055-RA, Dm_00020350-RA, Dm_00016225-RA, Dm_00014944-RA, Dm_00017163-RA, Dm_00017057-RA, Dm_00021077-RA, Dm_00016640-RA, Dm_00020218-RA, Dm_00015453-RA	Solyc02g032510.3.1
OG0001702	Dm_00015191-RA	Solyc06g083310.3.1
OG0001702	Dm_00009517-RA	Solyc02g089440.3.1
OG0001703	Dm_00015839-RA	Solyc03g119350.2.1
OG0001704	Dm_00017130-RA, Dm_00017141-RA	Solyc05g054410.3.1, Solyc04g011650.3.1
OG0001717	Dm_00001592-RA	Solyc11g005540.1.1
OG0001717	Dm_00015243-RA, Dm_00018690-RA, Dm_00019473-RA	Solyc11g005500.1.1
OG0001718	Dm_00018338-RA	Solyc01g100930.3.1
OG0001721	Dm_00003902-RA	Solyc02g085110.3.1, Solyc02g085120.3.1, Solyc02g062650.3.1
OG0001724	Dm_00008335-RA	Solyc09g074113.1.1
OG0001725	Dm_00011332-RA	Solyc06g007360.3.1, Solyc02g070340.3.1
OG0001726	Dm_00020751-RA	Solyc04g064530.1.1
OG0001727	Dm_00010516-RA	Solyc01g009200.3.1, Solyc01g009215.1.1, Solyc09g007140.3.1, Solyc11g071560.2.1, Solyc01g009220.3.1
OG0001729	Dm_00009626-RA, Dm_00009625-RA	Solyc03g005440.3.1, Solyc09g089570.3.1
OG0001730	Dm_00004041-RA, Dm_00003560-RA	Solyc06g008600.3.1, Solyc06g084040.3.1, Solyc09g065990.3.1
OG0001731	Dm_00010935-RA	Solyc05g055160.3.1
OG0001732	Dm_00003133-RA, Dm_00000571-RA	Solyc01g079870.3.1
OG0001733	Dm_00019986-RA	Solyc04g025280.3.1
OG0001733	Dm_00004213-RA	Solyc06g075130.3.1, Solyc11g069530.2.1
OG0001734	Dm_00008576-RA	Solyc03g078380.1.1, Solyc11g005270.1.1
OG0001734	Dm_00001293-RA, Dm_00009406-RA, Dm_00013226-RA, Dm_00013225-RA	Solyc10g079560.1.1, Solyc04g039900.1.1
OG0001735	Dm_00012744-RA, Dm_00006196-RA	Solyc06g076760.2.1
OG0001736	Dm_00015544-RA	Solyc12g019460.2.1, Solyc08g014420.3.1
OG0001736	Dm_00006219-RA	Solyc06g005170.3.1
OG0001737	Dm_00011578-RA	Solyc03g114040.3.1
OG0001738	Dm_00021055-RA	Solyc04g051640.3.1
OG0001738	Dm_00019014-RA	Solyc09g091910.2.1
OG0001739	Dm_00021051-RA	Solyc06g009150.1.1, Solyc09g075270.1.1, Solyc09g075230.1.1, Solyc09g075260.3.1
OG0001739	Dm_00007570-RA	Solyc09g075220.1.1
OG0001740	Dm_00002341-RA, Dm_00002511-RA	Solyc12g042750.2.1, Solyc03g116780.3.1, Solyc06g068180.3.1
OG0001742	Dm_00007929-RA	Solyc06g042960.2.1, Solyc06g042980.3.1
OG0001744	Dm_00015807-RA	Solyc06g083210.3.1
OG0001745	Dm_00001075-RA	Solyc02g090210.3.1
OG0001745	Dm_00003540-RA	Solyc01g059840.2.1
OG0001746	Dm_00007432-RA, Dm_00013942-RA	Solyc02g083800.3.1
OG0001747	Dm_00001241-RA	Solyc04g081930.3.1
OG0001747	Dm_00005540-RA, Dm_00009554-RA	Solyc03g033320.3.1, Solyc02g083390.3.1
OG0001748	Dm_00002355-RA, Dm_00001350-RA	Solyc12g088400.1.1, Solyc12g088390.1.1, Solyc04g077980.1.1
OG0001748	Dm_00019223-RA, Dm_00018833-RA	Solyc01g107170.2.1
OG0001749	Dm_00020385-RA	Solyc03g044580.1.1, Solyc02g090590.1.1
OG0001750	Dm_00004961-RA, Dm_00017635-RA	Solyc02g021340.3.1
OG0001750	Dm_00001270-RA, Dm_00014117-RA	Solyc04g082540.2.1
OG0001751	Dm_00015092-RA	Solyc02g061960.3.1, Solyc02g061980.3.1
OG0001752	Dm_00002067-RA	Solyc10g074490.2.1, Solyc01g112070.3.1
OG0001753	Dm_00018626-RA	Solyc03g034020.3.1, Solyc02g085140.3.1
OG0001754	Dm_00005211-RA	Solyc04g074720.3.1, Solyc12g057130.2.1
OG0001755	Dm_00002827-RA, Dm_00001593-RA	Solyc05g008580.3.1, Solyc04g007520.3.1
OG0001756	Dm_00005657-RA	Solyc01g020378.1.1, Solyc12g088840.1.1
OG0001758	Dm_00002272-RA, Dm_00002273-RA	Solyc02g082450.3.1, Solyc03g032080.3.1
OG0001759	Dm_00013237-RA	Solyc01g109770.3.1
OG0001762	Dm_00017703-RA	Solyc07g055320.3.1
OG0001763	Dm_00014354-RA	Solyc10g044670.2.1
OG0001763	Dm_00010123-RA	Solyc07g045480.3.1
OG0001764	Dm_00000351-RA	Solyc02g070870.3.1
OG0001764	Dm_00017624-RA	Solyc02g068390.3.1
OG0001765	Dm_00019196-RA	Solyc10g049360.2.1
OG0001765	Dm_00002350-RA	Solyc12g088530.2.1, Solyc12g088470.2.1, Solyc12g088500.2.1, Solyc12g088520.2.1, Solyc04g078310.3.1
OG0001766	Dm_00015415-RA	Solyc11g010400.2.1, Solyc11g010410.2.1, Solyc02g070080.3.1, Solyc06g083910.3.1, Solyc09g066310.3.1, Solyc09g066320.2.1
OG0001767	Dm_00020031-RA	Solyc08g080540.3.1
OG0001767	Dm_00003077-RA, Dm_00007010-RA	Solyc03g026020.3.1
OG0001768	Dm_00006560-RA, Dm_00005061-RA	Solyc03g121040.3.1
OG0001769	Dm_00008252-RA, Dm_00013230-RA	Solyc05g025500.3.1
OG0001769	Dm_00007558-RA, Dm_00001016-RA	Solyc07g017730.3.1
OG0001770	Dm_00008920-RA, Dm_00014472-RA	Solyc09g010650.1.1
OG0001771	Dm_00006488-RA	Solyc03g116490.1.1, Solyc06g068020.1.1
OG0001772	Dm_00002252-RA	Solyc07g008770.3.1
OG0001773	Dm_00018531-RA	Solyc08g082420.3.1, Solyc12g055950.2.1
OG0001775	Dm_00000635-RA	Solyc11g012810.2.1
OG0001776	Dm_00015516-RA	Solyc05g041170.2.1, Solyc10g055100.1.1, Solyc10g055160.2.1, Solyc10g055005.1.1, Solyc10g049555.1.1, Solyc10g055040.2.1, Solyc10g055010.2.1, Solyc10g054950.2.1, Solyc10g055020.2.1, Solyc10g049510.2.1, Solyc10g054980.2.1, Solyc10g055070.1.1, Solyc10g055150.1.1, Solyc10g055025.1.1, Solyc10g055130.2.1, Solyc10g054967.1.1, Solyc12g062270.1.1, Solyc10g055030.1.1, Solyc12g021195.1.1, Solyc10g049550.2.1
OG0001777	Dm_00009281-RA, Dm_00004207-RA	Solyc01g096180.3.1, Solyc10g009330.3.1
OG0001778	Dm_00018786-RA, Dm_00016357-RA, Dm_00007742-RA	Solyc06g061000.3.1
OG0001779	Dm_00004745-RA	Solyc07g009490.3.1, Solyc05g046300.3.1
OG0001780	Dm_00012955-RA, Dm_00017221-RA, Dm_00018045-RA	Solyc08g008080.1.1, Solyc08g081370.1.1
OG0001781	Dm_00017988-RA	Solyc08g080740.3.1
OG0001781	Dm_00017586-RA	Solyc05g052780.3.1
OG0001782	Dm_00020129-RA	Solyc02g078190.3.1
OG0001782	Dm_00005026-RA	Solyc05g056020.3.1, Solyc04g049330.3.1
OG0001783	Dm_00009453-RA	Solyc03g061600.3.1
OG0001784	Dm_00001885-RA	Solyc12g015850.1.1
OG0001784	Dm_00002243-RA	Solyc07g006910.3.1
OG0001785	Dm_00003855-RA	Solyc07g040710.3.1, Solyc12g008960.2.1
OG0001786	Dm_00008404-RA, Dm_00016837-RA	Solyc02g069670.3.1, Solyc04g009630.3.1
OG0001787	Dm_00010574-RA	Solyc01g088200.3.1, Solyc01g088230.3.1, Solyc01g088170.4.1, Solyc11g071610.2.1, Solyc11g071620.3.1, Solyc11g071580.2.1, Solyc01g088220.2.1, Solyc11g071600.2.1, Solyc11g071590.1.1, Solyc01g009235.1.1
OG0001788	Dm_00012351-RA, Dm_00005463-RA	Solyc11g012080.2.1
OG0001789	Dm_00008616-RA	Solyc02g078590.1.1, Solyc10g076780.1.1, Solyc09g014390.1.1
OG0001790	Dm_00014953-RA	Solyc06g066170.3.1
OG0001791	Dm_00002134-RA	Solyc07g064740.3.1
OG0001793	Dm_00013511-RA	Solyc09g014450.3.1
OG0001793	Dm_00003162-RA	Solyc07g054180.3.1
OG0001793	Dm_00011218-RA, Dm_00001453-RA	Solyc02g078540.3.1, Solyc03g006510.3.1
OG0001794	Dm_00011496-RA, Dm_00015547-RA	Solyc04g010240.3.1, Solyc06g075620.3.1, Solyc05g054810.3.1
OG0001795	Dm_00009274-RA	Solyc08g066700.3.1
OG0001796	Dm_00001566-RA, Dm_00015115-RA	Solyc03g095500.3.1
OG0001800	Dm_00006974-RA, Dm_00020518-RA	Solyc11g071780.1.1, Solyc01g009250.3.1
OG0001800	Dm_00018902-RA, Dm_00015367-RA	Solyc10g081700.2.1
OG0001801	Dm_00000363-RA, Dm_00007363-RA	Solyc02g091540.3.1
OG0001801	Dm_00003277-RA, Dm_00003199-RA	Solyc04g074100.3.1, Solyc04g007840.3.1
OG0001802	Dm_00006216-RA	Solyc04g009465.1.1, Solyc04g009500.3.1
OG0001803	Dm_00018627-RA, Dm_00018922-RA	Solyc03g033980.3.1, Solyc04g071750.3.1, Solyc02g062670.3.1, Solyc02g085130.3.1, Solyc04g071755.1.1
OG0001804	Dm_00019280-RA	Solyc03g059490.1.1
OG0001805	Dm_00005155-RA	Solyc03g007810.3.1
OG0001805	Dm_00015467-RA	Solyc08g077180.3.1
OG0001808	Dm_00015307-RA, Dm_00018263-RA	Solyc05g024160.3.1
OG0001810	Dm_00004045-RA	Solyc03g005350.3.1, Solyc09g083220.3.1
OG0001811	Dm_00004060-RA	Solyc11g008790.2.1
OG0001812	Dm_00014320-RA, Dm_00009840-RA	Solyc06g071320.3.1, Solyc03g114020.3.1
OG0001812	Dm_00009066-RA	Solyc05g006030.3.1
OG0001813	Dm_00003826-RA	Solyc01g091300.3.1
OG0001813	Dm_00007701-RA	Solyc08g079520.3.1
