Orthogroup	D_muscipula.proteins	D_spatulata.proteins
OG0001391	Dm_00011870-RA	Ds_00004304-RA
OG0001392	Dm_00000455-RA	Ds_00012591-RA
OG0001394	Dm_00004794-RA	Ds_00016185-RA, Ds_00005354-RA
OG0001395	Dm_00001684-RA, Dm_00001440-RA	Ds_00009694-RA
OG0001396	Dm_00009455-RA	Ds_00004789-RA
OG0001397	Dm_00017666-RA, Dm_00020073-RA	Ds_00008490-RA
OG0001397	Dm_00011587-RA	Ds_00008408-RA
OG0001398	Dm_00008131-RA	Ds_00006115-RA
OG0001398	Dm_00005877-RA	Ds_00006230-RA
OG0001398	Dm_00017028-RA	Ds_00006130-RA
OG0001400	Dm_00010980-RA	Ds_00009020-RA
OG0001400	Dm_00012385-RA	Ds_00015461-RA
OG0001400	Dm_00017467-RA	Ds_00017089-RA, Ds_00011416-RA
OG0001401	Dm_00008615-RA, Dm_00005688-RA	Ds_00017277-RA
OG0001402	Dm_00012511-RA	Ds_00008412-RA
OG0001402	Dm_00004622-RA	Ds_00012381-RA
OG0001403	Dm_00007798-RA	Ds_00005898-RA, Ds_00008545-RA
OG0001404	Dm_00015471-RA	Ds_00001879-RA
OG0001404	Dm_00002594-RA	Ds_00018070-RA
OG0001405	Dm_00004760-RA, Dm_00016288-RA, Dm_00004764-RA	Ds_00004183-RA, Ds_00004182-RA
OG0001405	Dm_00019299-RA	Ds_00002645-RA
OG0001406	Dm_00007130-RA	Ds_00016253-RA
OG0001406	Dm_00002860-RA, Dm_00019182-RA	Ds_00015818-RA
OG0001407	Dm_00009441-RA	Ds_00010342-RA
OG0001419	Dm_00019168-RA	Ds_00003839-RA, Ds_00003828-RA, Ds_00013882-RA
OG0001422	Dm_00013461-RA	Ds_00012107-RA
OG0001423	Dm_00009030-RA	Ds_00016816-RA, Ds_00013748-RA
OG0001423	Dm_00012567-RA, Dm_00005924-RA	Ds_00001115-RA, Ds_00008394-RA
OG0001424	Dm_00015773-RA, Dm_00009756-RA	Ds_00003242-RA
OG0001425	Dm_00003035-RA	Ds_00000510-RA
OG0001425	Dm_00011904-RA	Ds_00005520-RA
OG0001426	Dm_00006379-RA	Ds_00008282-RA
OG0001427	Dm_00007555-RA, Dm_00001331-RA	Ds_00014848-RA
OG0001428	Dm_00013528-RA	Ds_00016505-RA
OG0001428	Dm_00006783-RA	Ds_00003122-RA, Ds_00004649-RA
OG0001430	Dm_00010973-RA	Ds_00005923-RA
OG0001430	Dm_00017651-RA	Ds_00000137-RA
OG0001431	Dm_00006193-RA, Dm_00016557-RA	Ds_00011602-RA
OG0001431	Dm_00006192-RA	Ds_00008249-RA
OG0001432	Dm_00018157-RA	Ds_00015955-RA
OG0001432	Dm_00009296-RA	Ds_00000821-RA
OG0001433	Dm_00000344-RA	Ds_00009260-RA
OG0001433	Dm_00005035-RA, Dm_00000343-RA	Ds_00009491-RA, Ds_00010982-RA
OG0001433	Dm_00008040-RA	Ds_00003929-RA
OG0001434	Dm_00003707-RA	Ds_00009305-RA
OG0001435	Dm_00003742-RA	Ds_00015490-RA
OG0001437	Dm_00019917-RA	Ds_00004635-RA
OG0001438	Dm_00009843-RA	Ds_00007335-RA
OG0001438	Dm_00001209-RA	Ds_00016817-RA
OG0001439	Dm_00004036-RA	Ds_00006953-RA
OG0001439	Dm_00014978-RA	Ds_00004621-RA
OG0001441	Dm_00007882-RA	Ds_00012837-RA
OG0001441	Dm_00018385-RA	Ds_00003503-RA
OG0001442	Dm_00006473-RA	Ds_00004260-RA, Ds_00011204-RA
OG0001443	Dm_00004589-RA	Ds_00000627-RA
OG0001444	Dm_00015068-RA	Ds_00011283-RA
OG0001445	Dm_00014327-RA	Ds_00016351-RA
OG0001446	Dm_00010546-RA	Ds_00010019-RA
OG0001446	Dm_00007414-RA	Ds_00004089-RA
OG0001447	Dm_00001768-RA	Ds_00005288-RA
OG0001448	Dm_00006466-RA	Ds_00002205-RA
OG0001448	Dm_00001924-RA	Ds_00015886-RA
OG0001449	Dm_00011699-RA	Ds_00001260-RA
OG0001450	Dm_00005286-RA	Ds_00001818-RA
OG0001450	Dm_00004092-RA	Ds_00012317-RA, Ds_00001200-RA
OG0001451	Dm_00002884-RA	Ds_00012918-RA
OG0001452	Dm_00001926-RA	Ds_00015129-RA
OG0001452	Dm_00009938-RA	Ds_00015888-RA
OG0001453	Dm_00002679-RA, Dm_00001531-RA	Ds_00014063-RA
OG0001454	Dm_00014917-RA, Dm_00020564-RA	Ds_00007581-RA
OG0001454	Dm_00008630-RA	Ds_00011555-RA
OG0001455	Dm_00009053-RA	Ds_00009545-RA, Ds_00014140-RA
OG0001456	Dm_00018803-RA, Dm_00003074-RA	Ds_00009962-RA
OG0001456	Dm_00012607-RA	Ds_00001320-RA, Ds_00016624-RA
OG0001457	Dm_00006177-RA, Dm_00018648-RA	Ds_00001756-RA, Ds_00010663-RA, Ds_00002217-RA
OG0001458	Dm_00003492-RA	Ds_00000219-RA
OG0001459	Dm_00007296-RA	Ds_00016090-RA
OG0001459	Dm_00007297-RA	Ds_00016089-RA
OG0001460	Dm_00004175-RA	Ds_00001383-RA
OG0001460	Dm_00000434-RA, Dm_00000174-RA	Ds_00005612-RA
OG0001461	Dm_00012495-RA, Dm_00006682-RA	Ds_00001299-RA
OG0001461	Dm_00012472-RA	Ds_00003581-RA
OG0001462	Dm_00004005-RA	Ds_00015864-RA
OG0001463	Dm_00016246-RA	Ds_00008790-RA
OG0001464	Dm_00019230-RA	Ds_00002269-RA
OG0001464	Dm_00007977-RA	Ds_00010545-RA
OG0001465	Dm_00016184-RA	Ds_00013264-RA
OG0001465	Dm_00019095-RA	Ds_00016577-RA
OG0001467	Dm_00015873-RA, Dm_00010692-RA	Ds_00003563-RA
OG0001469	Dm_00003586-RA	Ds_00001698-RA
OG0001469	Dm_00004120-RA	Ds_00014044-RA
OG0001470	Dm_00011365-RA	Ds_00014563-RA, Ds_00007984-RA
OG0001470	Dm_00000777-RA	Ds_00016963-RA
OG0001471	Dm_00004534-RA, Dm_00017331-RA	Ds_00012392-RA, Ds_00004738-RA
OG0001472	Dm_00000352-RA	Ds_00015592-RA, Ds_00012742-RA
OG0001473	Dm_00007712-RA	Ds_00008769-RA
OG0001474	Dm_00016221-RA, Dm_00017384-RA	Ds_00015262-RA, Ds_00011350-RA, Ds_00011349-RA
OG0001475	Dm_00006000-RA, Dm_00003033-RA	Ds_00000028-RA
OG0001476	Dm_00018075-RA	Ds_00005983-RA
OG0001477	Dm_00007684-RA, Dm_00001109-RA	Ds_00005416-RA
OG0001478	Dm_00010382-RA	Ds_00008755-RA
OG0001478	Dm_00017705-RA	Ds_00005849-RA
OG0001478	Dm_00004308-RA	Ds_00014722-RA, Ds_00010057-RA
OG0001479	Dm_00020230-RA, Dm_00007221-RA	Ds_00004511-RA
OG0001480	Dm_00004487-RA	Ds_00012666-RA
OG0001480	Dm_00008781-RA, Dm_00002202-RA	Ds_00014944-RA
OG0001481	Dm_00010180-RA	Ds_00006099-RA
OG0001481	Dm_00007262-RA	Ds_00005527-RA
OG0001481	Dm_00019076-RA	Ds_00011033-RA
OG0001483	Dm_00001914-RA	Ds_00004004-RA
OG0001484	Dm_00005875-RA, Dm_00004249-RA	Ds_00006224-RA, Ds_00007016-RA, Ds_00006113-RA
OG0001484	Dm_00005727-RA	Ds_00005745-RA
OG0001485	Dm_00001510-RA, Dm_00001900-RA	Ds_00004930-RA, Ds_00001679-RA
OG0001486	Dm_00005815-RA	Ds_00005871-RA, Ds_00005889-RA
OG0001486	Dm_00015982-RA	Ds_00017077-RA
OG0001487	Dm_00007559-RA, Dm_00019057-RA	Ds_00008375-RA
OG0001487	Dm_00006082-RA	Ds_00012495-RA
OG0001487	Dm_00013168-RA	Ds_00000870-RA, Ds_00011366-RA, Ds_00004462-RA, Ds_00003112-RA
OG0001488	Dm_00019975-RA	Ds_00004999-RA
OG0001490	Dm_00012847-RA, Dm_00002711-RA	Ds_00015005-RA
OG0001490	Dm_00002028-RA, Dm_00017100-RA	Ds_00006249-RA
OG0001490	Dm_00002712-RA	Ds_00012552-RA, Ds_00002891-RA
OG0001491	Dm_00002050-RA	Ds_00015868-RA
OG0001491	Dm_00004007-RA	Ds_00005689-RA, Ds_00005688-RA
OG0001493	Dm_00011277-RA	Ds_00005054-RA
OG0001493	Dm_00001819-RA, Dm_00013883-RA	Ds_00017568-RA, Ds_00003923-RA
OG0001494	Dm_00009921-RA	Ds_00009177-RA
OG0001495	Dm_00011902-RA	Ds_00008988-RA, Ds_00006227-RA, Ds_00013869-RA
OG0001495	Dm_00006546-RA	Ds_00008991-RA
OG0001496	Dm_00016929-RA, Dm_00013625-RA, Dm_00009822-RA	Ds_00005336-RA
OG0001497	Dm_00003289-RA	Ds_00003775-RA
OG0001498	Dm_00002598-RA	Ds_00003764-RA
OG0001498	Dm_00002599-RA	Ds_00011404-RA, Ds_00016276-RA
OG0001500	Dm_00011548-RA	Ds_00006573-RA
OG0001501	Dm_00010687-RA	Ds_00005011-RA
OG0001501	Dm_00015868-RA, Dm_00008372-RA	Ds_00009059-RA
OG0001504	Dm_00017513-RA	Ds_00014533-RA
OG0001504	Dm_00016020-RA	Ds_00007071-RA
OG0001507	Dm_00016016-RA	Ds_00016670-RA
OG0001507	Dm_00002803-RA, Dm_00020508-RA, Dm_00015517-RA, Dm_00011723-RA, Dm_00006018-RA, Dm_00012389-RA, Dm_00014050-RA, Dm_00005430-RA, Dm_00021134-RA, Dm_00020704-RA, Dm_00011096-RA, Dm_00011094-RA, Dm_00020509-RA, Dm_00008006-RA, Dm_00006017-RA, Dm_00012388-RA, Dm_00012177-RA, Dm_00009346-RA, Dm_00015518-RA, Dm_00011724-RA, Dm_00012370-RA, Dm_00017362-RA, Dm_00011722-RA, Dm_00015025-RA, Dm_00012785-RA, Dm_00014087-RA, Dm_00012664-RA, Dm_00011167-RA, Dm_00010334-RA, Dm_00008196-RA, Dm_00009655-RA, Dm_00009819-RA, Dm_00005548-RA, Dm_00003815-RA, Dm_00015182-RA, Dm_00019074-RA, Dm_00011633-RA, Dm_00009820-RA, Dm_00011769-RA	Ds_00012923-RA
OG0001514	Dm_00004354-RA, Dm_00011160-RA, Dm_00012724-RA	Ds_00006218-RA, Ds_00011963-RA, Ds_00014363-RA
OG0001516	Dm_00017075-RA	Ds_00013874-RA
OG0001516	Dm_00006372-RA, Dm_00000493-RA	Ds_00005157-RA, Ds_00004136-RA
OG0001517	Dm_00020423-RA	Ds_00003182-RA
OG0001518	Dm_00018809-RA	Ds_00006607-RA
OG0001519	Dm_00011097-RA, Dm_00010785-RA	Ds_00009188-RA
OG0001521	Dm_00019692-RA	Ds_00000915-RA
OG0001522	Dm_00007146-RA	Ds_00006731-RA
OG0001523	Dm_00008597-RA	Ds_00010654-RA
OG0001523	Dm_00008598-RA, Dm_00001672-RA	Ds_00009702-RA
OG0001524	Dm_00009721-RA, Dm_00008566-RA	Ds_00000537-RA
OG0001525	Dm_00019444-RA	Ds_00000828-RA
OG0001526	Dm_00001116-RA, Dm_00007767-RA	Ds_00007764-RA, Ds_00006465-RA, Ds_00004392-RA
OG0001527	Dm_00019529-RA, Dm_00015750-RA	Ds_00016155-RA
OG0001528	Dm_00005886-RA	Ds_00006092-RA
OG0001528	Dm_00011851-RA	Ds_00014985-RA
OG0001529	Dm_00015639-RA, Dm_00015640-RA	Ds_00003156-RA
OG0001530	Dm_00004492-RA	Ds_00017314-RA, Ds_00004065-RA
OG0001531	Dm_00019954-RA, Dm_00006203-RA	Ds_00005196-RA
OG0001532	Dm_00010834-RA	Ds_00008722-RA
OG0001533	Dm_00015260-RA	Ds_00005059-RA
OG0001534	Dm_00017593-RA	Ds_00002707-RA
OG0001535	Dm_00011804-RA	Ds_00014745-RA
OG0001536	Dm_00002576-RA	Ds_00015915-RA
OG0001538	Dm_00007295-RA	Ds_00009385-RA, Ds_00003547-RA
OG0001539	Dm_00004299-RA, Dm_00004298-RA	Ds_00003389-RA
OG0001540	Dm_00015757-RA	Ds_00011003-RA
OG0001541	Dm_00004182-RA, Dm_00000869-RA	Ds_00001378-RA
OG0001542	Dm_00002617-RA	Ds_00003705-RA
OG0001542	Dm_00008437-RA	Ds_00014440-RA
OG0001542	Dm_00015082-RA	Ds_00005033-RA
OG0001543	Dm_00013110-RA	Ds_00008855-RA
OG0001543	Dm_00001246-RA	Ds_00017564-RA
OG0001544	Dm_00017636-RA	Ds_00001923-RA
OG0001544	Dm_00013363-RA	Ds_00001586-RA
OG0001544	Dm_00008344-RA	Ds_00000593-RA
OG0001545	Dm_00013677-RA	Ds_00014362-RA, Ds_00012162-RA
OG0001546	Dm_00003224-RA, Dm_00002767-RA	Ds_00009478-RA
OG0001546	Dm_00001723-RA	Ds_00015315-RA
OG0001547	Dm_00001729-RA, Dm_00001727-RA	Ds_00015173-RA, Ds_00000542-RA
OG0001548	Dm_00006286-RA	Ds_00012197-RA
OG0001549	Dm_00008381-RA	Ds_00010966-RA
OG0001549	Dm_00010743-RA	Ds_00010249-RA
OG0001550	Dm_00012795-RA	Ds_00003480-RA
OG0001552	Dm_00003408-RA	Ds_00013003-RA
OG0001553	Dm_00001653-RA	Ds_00000553-RA, Ds_00009831-RA
OG0001553	Dm_00003402-RA, Dm_00015154-RA	Ds_00011048-RA
OG0001554	Dm_00001305-RA	Ds_00004177-RA
OG0001556	Dm_00000256-RA	Ds_00011479-RA
OG0001556	Dm_00013784-RA	Ds_00010228-RA
OG0001557	Dm_00008939-RA, Dm_00008941-RA, Dm_00008940-RA	Ds_00001801-RA
OG0001558	Dm_00014104-RA	Ds_00004862-RA
OG0001558	Dm_00014106-RA	Ds_00008719-RA, Ds_00004861-RA
OG0001559	Dm_00000074-RA	Ds_00009627-RA
OG0001559	Dm_00002924-RA	Ds_00015365-RA
OG0001560	Dm_00005567-RA	Ds_00000023-RA
OG0001561	Dm_00007236-RA	Ds_00001986-RA, Ds_00001987-RA
OG0001562	Dm_00009423-RA	Ds_00011908-RA
OG0001563	Dm_00000445-RA	Ds_00017646-RA
OG0001563	Dm_00003674-RA	Ds_00012600-RA, Ds_00005630-RA
OG0001564	Dm_00018298-RA, Dm_00011090-RA	Ds_00013633-RA
OG0001565	Dm_00011389-RA	Ds_00008629-RA
OG0001565	Dm_00011390-RA	Ds_00008628-RA
OG0001566	Dm_00009306-RA	Ds_00000116-RA
OG0001567	Dm_00004466-RA, Dm_00005737-RA	Ds_00014428-RA
OG0001567	Dm_00019329-RA	Ds_00001505-RA
OG0001568	Dm_00003306-RA, Dm_00002956-RA	Ds_00012064-RA
OG0001569	Dm_00013443-RA, Dm_00002989-RA	Ds_00016059-RA
OG0001571	Dm_00000115-RA	Ds_00014799-RA
OG0001572	Dm_00016229-RA	Ds_00007248-RA
OG0001573	Dm_00005697-RA, Dm_00016758-RA	Ds_00017385-RA
OG0001573	Dm_00010399-RA	Ds_00012939-RA
OG0001574	Dm_00000469-RA, Dm_00015729-RA	Ds_00014571-RA
OG0001575	Dm_00013860-RA, Dm_00009803-RA	Ds_00001490-RA
OG0001575	Dm_00018397-RA	Ds_00002718-RA
OG0001576	Dm_00015278-RA	Ds_00001391-RA
OG0001576	Dm_00004565-RA	Ds_00012536-RA
OG0001577	Dm_00005056-RA	Ds_00008387-RA
OG0001578	Dm_00013755-RA	Ds_00010134-RA
OG0001578	Dm_00006975-RA	Ds_00008303-RA
OG0001579	Dm_00010716-RA, Dm_00010719-RA	Ds_00012394-RA
OG0001579	Dm_00002231-RA	Ds_00006806-RA
OG0001580	Dm_00007884-RA	Ds_00008740-RA
OG0001582	Dm_00016173-RA	Ds_00004387-RA
OG0001583	Dm_00017070-RA	Ds_00010793-RA, Ds_00014883-RA
OG0001584	Dm_00004310-RA	Ds_00010058-RA, Ds_00007508-RA
OG0001586	Dm_00001395-RA, Dm_00000807-RA	Ds_00015556-RA
OG0001587	Dm_00015245-RA	Ds_00010929-RA
OG0001588	Dm_00005792-RA	Ds_00000591-RA
OG0001589	Dm_00014834-RA	Ds_00002224-RA
OG0001590	Dm_00013771-RA	Ds_00015224-RA
OG0001592	Dm_00013844-RA	Ds_00014447-RA, Ds_00003937-RA
OG0001593	Dm_00005819-RA	Ds_00010704-RA
OG0001593	Dm_00015983-RA	Ds_00017074-RA
OG0001593	Dm_00008455-RA	Ds_00008030-RA, Ds_00010483-RA
OG0001594	Dm_00003109-RA, Dm_00003563-RA	Ds_00002844-RA, Ds_00012515-RA
OG0001595	Dm_00018792-RA	Ds_00010822-RA
OG0001596	Dm_00005232-RA, Dm_00002518-RA	Ds_00006129-RA
OG0001596	Dm_00019317-RA	Ds_00016893-RA
OG0001599	Dm_00001933-RA	Ds_00012707-RA
OG0001600	Dm_00008104-RA, Dm_00010658-RA	Ds_00009146-RA, Ds_00010530-RA
OG0001602	Dm_00009779-RA	Ds_00012451-RA, Ds_00003733-RA, Ds_00012452-RA, Ds_00012453-RA
OG0001603	Dm_00001607-RA	Ds_00005882-RA
OG0001604	Dm_00012381-RA	Ds_00005115-RA
OG0001605	Dm_00001025-RA	Ds_00008229-RA, Ds_00016996-RA
OG0001606	Dm_00011918-RA	Ds_00001892-RA
OG0001616	Dm_00009016-RA	Ds_00017612-RA
OG0001617	Dm_00001113-RA	Ds_00006463-RA, Ds_00001128-RA
OG0001618	Dm_00009040-RA	Ds_00015414-RA, Ds_00001644-RA
OG0001619	Dm_00020136-RA	Ds_00000103-RA, Ds_00003441-RA
OG0001620	Dm_00012643-RA	Ds_00010601-RA
OG0001620	Dm_00010124-RA	Ds_00006211-RA
OG0001621	Dm_00007873-RA	Ds_00013963-RA
OG0001622	Dm_00015421-RA	Ds_00012205-RA
OG0001623	Dm_00013159-RA, Dm_00003311-RA	Ds_00006925-RA, Ds_00016407-RA
OG0001624	Dm_00000259-RA	Ds_00011470-RA
OG0001625	Dm_00000797-RA	Ds_00015550-RA
OG0001626	Dm_00009143-RA	Ds_00006083-RA
OG0001627	Dm_00006122-RA	Ds_00013688-RA
OG0001628	Dm_00002610-RA	Ds_00003941-RA
OG0001629	Dm_00003675-RA	Ds_00012601-RA
OG0001629	Dm_00019080-RA	Ds_00009274-RA
OG0001630	Dm_00013261-RA	Ds_00003206-RA
OG0001630	Dm_00011624-RA	Ds_00000988-RA
OG0001631	Dm_00007142-RA	Ds_00015588-RA
OG0001632	Dm_00017286-RA, Dm_00008151-RA	Ds_00012235-RA
OG0001632	Dm_00008150-RA	Ds_00005967-RA
OG0001633	Dm_00001655-RA, Dm_00002387-RA	Ds_00002515-RA
OG0001633	Dm_00013145-RA	Ds_00006763-RA
OG0001634	Dm_00001558-RA	Ds_00006825-RA
OG0001636	Dm_00001391-RA	Ds_00015549-RA
OG0001640	Dm_00004028-RA	Ds_00002489-RA
OG0001641	Dm_00000865-RA, Dm_00005197-RA	Ds_00001727-RA
OG0001642	Dm_00014341-RA	Ds_00005020-RA
OG0001643	Dm_00006383-RA	Ds_00011355-RA
OG0001643	Dm_00010199-RA	Ds_00009396-RA, Ds_00001489-RA
OG0001644	Dm_00001006-RA	Ds_00009863-RA
OG0001645	Dm_00001754-RA	Ds_00009521-RA
OG0001646	Dm_00002475-RA, Dm_00002477-RA	Ds_00013610-RA
OG0001647	Dm_00004516-RA	Ds_00012529-RA
OG0001647	Dm_00005903-RA	Ds_00009501-RA
OG0001649	Dm_00004396-RA	Ds_00006013-RA
OG0001650	Dm_00001119-RA	Ds_00006467-RA
OG0001651	Dm_00015991-RA	Ds_00004429-RA
OG0001651	Dm_00002660-RA, Dm_00020138-RA	Ds_00014083-RA
OG0001652	Dm_00003918-RA	Ds_00009548-RA
OG0001653	Dm_00008485-RA	Ds_00009595-RA
OG0001654	Dm_00001571-RA	Ds_00006832-RA, Ds_00014302-RA
OG0001655	Dm_00013164-RA	Ds_00002104-RA
OG0001655	Dm_00011543-RA	Ds_00003576-RA, Ds_00004609-RA
OG0001656	Dm_00014425-RA	Ds_00016984-RA
OG0001658	Dm_00004929-RA	Ds_00010395-RA
OG0001658	Dm_00002158-RA	Ds_00004205-RA
OG0001659	Dm_00020185-RA	Ds_00006356-RA
OG0001659	Dm_00004261-RA, Dm_00020186-RA	Ds_00009904-RA
OG0001660	Dm_00012066-RA	Ds_00014996-RA
OG0001660	Dm_00014107-RA	Ds_00007184-RA
OG0001661	Dm_00012234-RA, Dm_00002161-RA	Ds_00004208-RA
OG0001662	Dm_00013386-RA	Ds_00003352-RA
OG0001663	Dm_00020137-RA	Ds_00000105-RA
OG0001665	Dm_00010782-RA	Ds_00010453-RA
OG0001666	Dm_00002964-RA	Ds_00016408-RA
OG0001667	Dm_00004581-RA	Ds_00004578-RA
OG0001668	Dm_00005223-RA	Ds_00013306-RA
OG0001669	Dm_00020021-RA	Ds_00005081-RA
OG0001669	Dm_00012768-RA	Ds_00000476-RA
OG0001670	Dm_00012014-RA	Ds_00008772-RA
OG0001672	Dm_00000475-RA	Ds_00005225-RA
OG0001673	Dm_00001633-RA, Dm_00001797-RA	Ds_00003908-RA
OG0001674	Dm_00020465-RA	Ds_00005759-RA, Ds_00012670-RA, Ds_00009377-RA
OG0001675	Dm_00018047-RA	Ds_00007046-RA
OG0001675	Dm_00000055-RA	Ds_00014328-RA
OG0001675	Dm_00002538-RA	Ds_00015965-RA
OG0001676	Dm_00001494-RA	Ds_00002807-RA
OG0001677	Dm_00009575-RA	Ds_00009502-RA
OG0001678	Dm_00010164-RA	Ds_00004279-RA
OG0001679	Dm_00016695-RA, Dm_00012026-RA	Ds_00014878-RA
OG0001680	Dm_00007226-RA, Dm_00013422-RA	Ds_00015156-RA
OG0001681	Dm_00004101-RA	Ds_00005442-RA
OG0001684	Dm_00018718-RA	Ds_00001965-RA
OG0001685	Dm_00000941-RA, Dm_00006063-RA, Dm_00004943-RA	Ds_00001003-RA, Ds_00006550-RA
OG0001686	Dm_00012973-RA	Ds_00003176-RA
OG0001686	Dm_00013855-RA	Ds_00014104-RA
OG0001687	Dm_00001163-RA, Dm_00002730-RA	Ds_00009785-RA
OG0001687	Dm_00001162-RA	Ds_00009786-RA
OG0001688	Dm_00005040-RA, Dm_00007099-RA	Ds_00001095-RA
OG0001689	Dm_00013241-RA	Ds_00008943-RA
OG0001689	Dm_00017971-RA	Ds_00004699-RA
OG0001690	Dm_00008662-RA, Dm_00008661-RA, Dm_00014134-RA	Ds_00014199-RA
OG0001691	Dm_00000940-RA, Dm_00011394-RA	Ds_00006552-RA
OG0001692	Dm_00000603-RA	Ds_00003661-RA
OG0001693	Dm_00001618-RA	Ds_00003686-RA
OG0001694	Dm_00006813-RA	Ds_00005332-RA
OG0001696	Dm_00008525-RA, Dm_00014020-RA	Ds_00017308-RA
OG0001696	Dm_00010385-RA	Ds_00016694-RA
OG0001696	Dm_00014083-RA	Ds_00005343-RA
OG0001697	Dm_00007667-RA	Ds_00017399-RA
OG0001698	Dm_00008411-RA	Ds_00017594-RA
OG0001698	Dm_00015753-RA	Ds_00002958-RA
OG0001700	Dm_00019408-RA, Dm_00011909-RA	Ds_00005329-RA, Ds_00017052-RA
OG0001701	Dm_00015037-RA, Dm_00012504-RA, Dm_00017056-RA, Dm_00019676-RA, Dm_00012551-RA, Dm_00013192-RA, Dm_00020952-RA, Dm_00020479-RA, Dm_00012491-RA, Dm_00019755-RA, Dm_00008900-RA, Dm_00019862-RA, Dm_00019294-RA, Dm_00015036-RA, Dm_00020216-RA, Dm_00017553-RA, Dm_00018189-RA, Dm_00008901-RA, Dm_00016641-RA, Dm_00017055-RA, Dm_00020350-RA, Dm_00016225-RA, Dm_00014944-RA, Dm_00017163-RA, Dm_00017057-RA, Dm_00021077-RA, Dm_00016640-RA, Dm_00020218-RA, Dm_00015453-RA	Ds_00001502-RA
OG0001702	Dm_00015191-RA	Ds_00007438-RA
OG0001702	Dm_00009517-RA	Ds_00014229-RA
OG0001703	Dm_00011733-RA, Dm_00015838-RA	Ds_00006714-RA
OG0001703	Dm_00015839-RA	Ds_00000169-RA
OG0001704	Dm_00017130-RA, Dm_00017141-RA	Ds_00017929-RA
OG0001717	Dm_00001592-RA	Ds_00008556-RA
OG0001717	Dm_00015243-RA, Dm_00018690-RA	Ds_00013403-RA
OG0001717	Dm_00019473-RA	Ds_00011254-RA
OG0001718	Dm_00018338-RA	Ds_00016652-RA, Ds_00003696-RA
OG0001719	Dm_00009947-RA	Ds_00011464-RA
OG0001719	Dm_00000265-RA	Ds_00009661-RA
OG0001721	Dm_00003902-RA	Ds_00006735-RA
OG0001724	Dm_00008335-RA	Ds_00000898-RA
OG0001725	Dm_00011332-RA	Ds_00007392-RA, Ds_00004846-RA
OG0001729	Dm_00009625-RA	Ds_00006421-RA
OG0001730	Dm_00004041-RA, Dm_00003560-RA	Ds_00006268-RA
OG0001731	Dm_00010935-RA	Ds_00011565-RA, Ds_00008314-RA
OG0001732	Dm_00003133-RA, Dm_00000571-RA	Ds_00008561-RA
OG0001733	Dm_00004213-RA	Ds_00005842-RA
OG0001734	Dm_00008576-RA	Ds_00014957-RA
OG0001734	Dm_00001293-RA, Dm_00009406-RA, Dm_00013226-RA	Ds_00005781-RA, Ds_00000853-RA
OG0001735	Dm_00012744-RA	Ds_00005818-RA
OG0001735	Dm_00006196-RA	Ds_00008250-RA
OG0001736	Dm_00015544-RA	Ds_00015639-RA
OG0001736	Dm_00006219-RA	Ds_00004109-RA
OG0001737	Dm_00011578-RA	Ds_00016841-RA, Ds_00012614-RA
OG0001738	Dm_00021055-RA	Ds_00007142-RA
OG0001738	Dm_00019014-RA	Ds_00005538-RA
OG0001739	Dm_00021051-RA	Ds_00014973-RA
OG0001739	Dm_00007570-RA	Ds_00003667-RA
OG0001740	Dm_00002341-RA, Dm_00002511-RA	Ds_00000654-RA
OG0001742	Dm_00007929-RA	Ds_00003279-RA
OG0001744	Dm_00015807-RA	Ds_00007753-RA
OG0001745	Dm_00001075-RA	Ds_00011860-RA
OG0001745	Dm_00003540-RA	Ds_00003232-RA
OG0001746	Dm_00020236-RA, Dm_00018214-RA	Ds_00000039-RA
OG0001746	Dm_00007432-RA, Dm_00013942-RA	Ds_00001449-RA
OG0001747	Dm_00001241-RA	Ds_00012853-RA
OG0001747	Dm_00005540-RA, Dm_00009554-RA	Ds_00016704-RA
OG0001748	Dm_00002355-RA, Dm_00001350-RA	Ds_00002537-RA
OG0001748	Dm_00019223-RA, Dm_00018833-RA	Ds_00012157-RA
OG0001750	Dm_00004961-RA, Dm_00017635-RA	Ds_00013339-RA
OG0001750	Dm_00001270-RA, Dm_00014117-RA	Ds_00007471-RA
OG0001751	Dm_00015092-RA	Ds_00017823-RA, Ds_00016570-RA
OG0001752	Dm_00012893-RA, Dm_00000144-RA	Ds_00015037-RA
OG0001752	Dm_00002067-RA	Ds_00008209-RA
OG0001753	Dm_00018626-RA	Ds_00016603-RA
OG0001754	Dm_00005211-RA	Ds_00008172-RA
OG0001755	Dm_00002827-RA, Dm_00001593-RA	Ds_00006527-RA
OG0001756	Dm_00005657-RA	Ds_00013530-RA
OG0001757	Dm_00018395-RA, Dm_00012924-RA	Ds_00012203-RA
OG0001757	Dm_00000438-RA	Ds_00015477-RA
OG0001758	Dm_00002273-RA	Ds_00013426-RA
OG0001759	Dm_00003453-RA	Ds_00013191-RA
OG0001759	Dm_00002745-RA, Dm_00005603-RA	Ds_00009780-RA
OG0001759	Dm_00013237-RA	Ds_00016526-RA
OG0001760	Dm_00008974-RA	Ds_00004421-RA
OG0001761	Dm_00001329-RA	Ds_00001210-RA
OG0001761	Dm_00006780-RA	Ds_00010180-RA
OG0001762	Dm_00017703-RA	Ds_00010178-RA
OG0001763	Dm_00014354-RA	Ds_00011195-RA
OG0001763	Dm_00010123-RA	Ds_00005173-RA
