Orthogroup	A_hypochondriacus.proteins	A_vesiculosa.proteins
OG0001072	AH007944-RA	Av_00011755-RA, Av_00017500-RA
OG0001073	AH006552-RA	Av_00022201-RA, Av_00020149-RA
OG0001074	AH009467-RA	Av_00000013-RA, Av_00022266-RA, Av_00000014-RA
OG0001075	AH016701-RA, AH012074-RA, AH019618-RA	Av_00012953-RA, Av_00002105-RA
OG0001076	AH010746-RA, AH007881-RA	Av_00016142-RA
OG0001078	AH017489-RA	Av_00000515-RA, Av_00011231-RA
OG0001079	AH017564-RA, AH002840-RA	Av_00001767-RA, Av_00013780-RA, Av_00011251-RA, Av_00010510-RA, Av_00015916-RA, Av_00000534-RA
OG0001081	AH009977-RA	Av_00000192-RA
OG0001086	AH009366-RA	Av_00022479-RA, Av_00017805-RA, Av_00008569-RA
OG0001086	AH009364-RA	Av_00018400-RA, Av_00002381-RA, Av_00017225-RA
OG0001092	AH016385-RA	Av_00011981-RA, Av_00015639-RA
OG0001093	AH004988-RA	Av_00001890-RA, Av_00000412-RA
OG0001094	AH015698-RA, AH019173-RA, AH015699-RA, AH006154-RA	Av_00022846-RA
OG0001095	AH012875-RA	Av_00019149-RA
OG0001096	AH011126-RA	Av_00006569-RA
OG0001096	AH010935-RA	Av_00001197-RA
OG0001097	AH022557-RA	Av_00013330-RA, Av_00019669-RA
OG0001098	AH012761-RA, AH021226-RA	Av_00011727-RA, Av_00019331-RA, Av_00015707-RA, Av_00005105-RA, Av_00013476-RA, Av_00021180-RA
OG0001099	AH020576-RA, AH006491-RA	Av_00000730-RA
OG0001099	AH002885-RA	Av_00009334-RA, Av_00010502-RA, Av_00015923-RA
OG0001100	AH005467-RA	Av_00007622-RA
OG0001100	AH023245-RA	Av_00012813-RA
OG0001107	AH014299-RA	Av_00024461-RA, Av_00018194-RA
OG0001108	AH001285-RA, AH000239-RA	Av_00012732-RA, Av_00013095-RA, Av_00011949-RA
OG0001108	AH014965-RA, AH021490-RA	Av_00005966-RA, Av_00007468-RA
OG0001109	AH022211-RA, AH013337-RA	Av_00019213-RA, Av_00017036-RA, Av_00008034-RA
OG0001111	AH016064-RA	Av_00018635-RA
OG0001111	AH014211-RA	Av_00011116-RA, Av_00012977-RA, Av_00007229-RA, Av_00011356-RA, Av_00000946-RA
OG0001112	AH017995-RA	Av_00020818-RA
OG0001113	AH016027-RA, AH017036-RA	Av_00012307-RA
OG0001114	AH009228-RA	Av_00000050-RA, Av_00011447-RA, Av_00015228-RA, Av_00010893-RA
OG0001115	AH016248-RA	Av_00004681-RA, Av_00014305-RA
OG0001116	AH023316-RA	Av_00006228-RA, Av_00012777-RA
OG0001117	AH016026-RA, AH017035-RA	Av_00007134-RA, Av_00003628-RA
OG0001118	AH001326-RA, AH000153-RA	Av_00004730-RA, Av_00016922-RA
OG0001119	AH015942-RA	Av_00014335-RA, Av_00013628-RA, Av_00008252-RA
OG0001120	AH002798-RA	Av_00006423-RA
OG0001121	AH013657-RA	Av_00013346-RA
OG0001122	AH014754-RA	Av_00010650-RA, Av_00014189-RA, Av_00006012-RA, Av_00005573-RA
OG0001123	AH006921-RA, AH020258-RA	Av_00025025-RA, Av_00014054-RA
OG0001124	AH013963-RA	Av_00019293-RA, Av_00019292-RA, Av_00008883-RA
OG0001124	AH023252-RA, AH016259-RA	Av_00018268-RA
OG0001125	AH012028-RA	Av_00022249-RA, Av_00023454-RA
OG0001128	AH016955-RA	Av_00011141-RA, Av_00009925-RA
OG0001129	AH015879-RA	Av_00022310-RA, Av_00011605-RA
OG0001130	AH004473-RA, AH004879-RA	Av_00003349-RA
OG0001131	AH022782-RA, AH016587-RA	Av_00012194-RA, Av_00003942-RA, Av_00024146-RA, Av_00024254-RA
OG0001131	AH002901-RA, AH017471-RA	Av_00013756-RA
OG0001132	AH016532-RA, AH022880-RA	Av_00019931-RA, Av_00023061-RA, Av_00015604-RA, Av_00009121-RA
OG0001133	AH015851-RA	Av_00010656-RA, Av_00005566-RA, Av_00006022-RA
OG0001133	AH004152-RA, AH005363-RA	Av_00007651-RA
OG0001134	AH005090-RA	Av_00016957-RA, Av_00015507-RA, Av_00000889-RA, Av_00024302-RA, Av_00005274-RA, Av_00002700-RA
OG0001136	AH015798-RA, AH015799-RA	Av_00001386-RA, Av_00020898-RA, Av_00006264-RA
OG0001141	AH019910-RA, AH022026-RA	Av_00025004-RA
OG0001142	AH007571-RA	Av_00016793-RA, Av_00006900-RA, Av_00006678-RA, Av_00016186-RA, Av_00006676-RA, Av_00016189-RA
OG0001143	AH013596-RA	Av_00019875-RA, Av_00000834-RA, Av_00009733-RA, Av_00021289-RA, Av_00024083-RA
OG0001143	AH013595-RA	Av_00009732-RA
OG0001144	AH002146-RA, AH015584-RA	Av_00021787-RA, Av_00007348-RA
OG0001145	AH002687-RA	Av_00015033-RA, Av_00009243-RA
OG0001145	AH010871-RA, AH007537-RA	Av_00001293-RA, Av_00016262-RA, Av_00015098-RA
OG0001146	AH018876-RA	Av_00013380-RA
OG0001147	AH021829-RA, AH021828-RA	Av_00018034-RA
OG0001147	AH021827-RA, AH012620-RA	Av_00022169-RA, Av_00025006-RA
OG0001148	AH013387-RA	Av_00010109-RA, Av_00014300-RA
OG0001149	AH011884-RA	Av_00017624-RA, Av_00013044-RA, Av_00009220-RA, Av_00015049-RA
OG0001149	AH010685-RA, AH007824-RA	Av_00016121-RA, Av_00016088-RA, Av_00001361-RA
OG0001150	AH020477-RA	Av_00020598-RA
OG0001151	AH013071-RA	Av_00001464-RA, Av_00022861-RA
OG0001151	AH019718-RA, AH011930-RA	Av_00013035-RA, Av_00018867-RA, Av_00009480-RA
OG0001152	AH007923-RA	Av_00011912-RA, Av_00007038-RA
OG0001153	AH011761-RA	Av_00002033-RA, Av_00001568-RA, Av_00013554-RA, Av_00002034-RA
OG0001154	AH006933-RA	Av_00002051-RA, Av_00012886-RA
OG0001155	AH003848-RA, AH005731-RA	Av_00000456-RA, Av_00021597-RA, Av_00001969-RA, Av_00017912-RA
OG0001155	AH016711-RA	Av_00006860-RA, Av_00007916-RA, Av_00010797-RA, Av_00010226-RA
OG0001156	AH003904-RA	Av_00016359-RA, Av_00000438-RA
OG0001157	AH005694-RA, AH003879-RA	Av_00000443-RA, Av_00017921-RA
OG0001158	AH006127-RA	Av_00002005-RA, Av_00000306-RA, Av_00007713-RA
OG0001159	AH003277-RA	Av_00016641-RA, Av_00014857-RA
OG0001159	AH004048-RA	Av_00001821-RA, Av_00013734-RA
OG0001160	AH023721-RA, AH023722-RA	Av_00021609-RA, Av_00007413-RA
OG0001160	AH004290-RA, AH004943-RA	Av_00022948-RA
OG0001161	AH001620-RA	Av_00017768-RA
OG0001162	AH016893-RA	Av_00024066-RA
OG0001162	AH003595-RA	Av_00001910-RA
OG0001163	AH001668-RA	Av_00000983-RA
OG0001164	AH017026-RA	Av_00003625-RA, Av_00007131-RA, Av_00003623-RA
OG0001165	AH008325-RA, AH016691-RA	Av_00019116-RA, Av_00010199-RA, Av_00004209-RA
OG0001167	AH013303-RA	Av_00020003-RA, Av_00004440-RA, Av_00004113-RA
OG0001169	AH006416-RA	Av_00012479-RA, Av_00014820-RA, Av_00022748-RA
OG0001169	AH023725-RA	Av_00007414-RA, Av_00003759-RA
OG0001170	AH001817-RA	Av_00011152-RA, Av_00009930-RA
OG0001171	AH002354-RA	Av_00009785-RA
OG0001172	AH009743-RA	Av_00003063-RA
OG0001172	AH000090-RA, AH001173-RA	Av_00004757-RA
OG0001173	AH015023-RA	Av_00008957-RA, Av_00022076-RA, Av_00005951-RA, Av_00005620-RA
OG0001173	AH008168-RA, AH009928-RA	Av_00024745-RA
OG0001174	AH015288-RA	Av_00024102-RA
OG0001175	AH000334-RA	Av_00023515-RA
OG0001176	AH021471-RA, AH014932-RA	Av_00010612-RA, Av_00005980-RA
OG0001177	AH003150-RA, AH018700-RA	Av_00024804-RA
OG0001178	AH022370-RA	Av_00015006-RA
OG0001178	AH018244-RA, AH011465-RA	Av_00016580-RA, Av_00014052-RA
OG0001179	AH013358-RA	Av_00006761-RA, Av_00008043-RA
OG0001179	AH014557-RA	Av_00000940-RA, Av_00011362-RA
OG0001180	AH005365-RA	Av_00010811-RA
OG0001180	AH014071-RA	Av_00004035-RA, Av_00009043-RA
OG0001182	AH009218-RA	Av_00015227-RA, Av_00003212-RA, Av_00013904-RA
OG0001182	AH012348-RA, AH019533-RA	Av_00002073-RA, Av_00012914-RA
OG0001183	AH012097-RA	Av_00001636-RA, Av_00009423-RA
OG0001183	AH009641-RA	Av_00000034-RA, Av_00003237-RA
OG0001184	AH003172-RA	Av_00023365-RA
OG0001185	AH014366-RA	Av_00023435-RA
OG0001186	AH013962-RA	Av_00004004-RA, Av_00003805-RA, Av_00007375-RA
OG0001187	AH018784-RA	Av_00015879-RA, Av_00025027-RA
OG0001188	AH017993-RA	Av_00010452-RA, Av_00010451-RA, Av_00018545-RA
OG0001188	AH009666-RA	Av_00011431-RA, Av_00014658-RA, Av_00008623-RA
OG0001189	AH018210-RA	Av_00005533-RA, Av_00005443-RA, Av_00003011-RA
OG0001190	AH000448-RA, AH000447-RA	Av_00013119-RA, Av_00008540-RA, Av_00021433-RA
OG0001191	AH022626-RA	Av_00008502-RA, Av_00025013-RA
OG0001192	AH021523-RA, AH015039-RA	Av_00022080-RA
OG0001193	AH021851-RA	Av_00003815-RA, Av_00005059-RA, Av_00022735-RA, Av_00023823-RA
OG0001193	AH000382-RA, AH001500-RA	Av_00024076-RA
OG0001194	AH009883-RA, AH008232-RA, AH009884-RA	Av_00011564-RA
OG0001195	AH016309-RA, AH023167-RA	Av_00017672-RA
OG0001196	AH006827-RA, AH020348-RA	Av_00018794-RA, Av_00013209-RA, Av_00001582-RA
OG0001197	AH012810-RA	Av_00014284-RA, Av_00012852-RA, Av_00014079-RA
OG0001197	AH023431-RA	Av_00003588-RA, Av_00008272-RA, Av_00013606-RA
OG0001198	AH022726-RA, AH017490-RA	Av_00005805-RA, Av_00020529-RA
OG0001199	AH010076-RA	Av_00000207-RA, Av_00007846-RA
OG0001200	AH013970-RA	Av_00006448-RA, Av_00007512-RA, Av_00000901-RA
OG0001201	AH004686-RA	Av_00006193-RA, Av_00008454-RA
OG0001202	AH011829-RA, AH011828-RA, AH011830-RA	Av_00013233-RA
OG0001203	AH014538-RA, AH014539-RA	Av_00007539-RA, Av_00006433-RA
OG0001203	AH015747-RA, AH019376-RA	Av_00001393-RA
OG0001204	AH018315-RA	Av_00000097-RA
OG0001204	AH018316-RA	Av_00003004-RA, Av_00005438-RA
OG0001205	AH005407-RA	Av_00011574-RA
OG0001205	AH017184-RA	Av_00019272-RA
OG0001216	AH021831-RA	Av_00002801-RA
OG0001218	AH007870-RA	Av_00016239-RA, Av_00001345-RA, Av_00016141-RA
OG0001219	AH008153-RA, AH022509-RA	Av_00019688-RA, Av_00013354-RA, Av_00006131-RA
OG0001220	AH023011-RA	Av_00005717-RA
OG0001221	AH007028-RA, AH007029-RA	Av_00013245-RA, Av_00017870-RA
OG0001222	AH001435-RA	Av_00012653-RA, Av_00008465-RA, Av_00017382-RA
OG0001223	AH009790-RA	Av_00011547-RA
OG0001223	AH001215-RA, AH000140-RA	Av_00006212-RA, Av_00012758-RA
OG0001224	AH010879-RA, AH006895-RA	Av_00007018-RA, Av_00011881-RA, Av_00017847-RA
OG0001225	AH002585-RA	Av_00009730-RA
OG0001225	AH017546-RA	Av_00011246-RA
OG0001225	AH017928-RA, AH020551-RA	Av_00022195-RA, Av_00023248-RA
OG0001227	AH021035-RA	Av_00001711-RA
OG0001227	AH013791-RA	Av_00013304-RA, Av_00007356-RA
OG0001228	AH002109-RA, AH003237-RA, AH002106-RA, AH002107-RA, AH016801-RA	Av_00006759-RA, Av_00006757-RA
OG0001229	AH021934-RA	Av_00018380-RA
OG0001230	AH015137-RA	Av_00005637-RA
OG0001232	AH005742-RA, AH003837-RA	Av_00019191-RA
OG0001233	AH008731-RA	Av_00013992-RA, Av_00011486-RA, Av_00000080-RA
OG0001234	AH003599-RA	Av_00018995-RA
OG0001234	AH016847-RA, AH023758-RA	Av_00004863-RA, Av_00024064-RA, Av_00024150-RA
OG0001236	AH002449-RA	Av_00004617-RA, Av_00019036-RA
OG0001237	AH008879-RA	Av_00017986-RA
OG0001237	AH005662-RA	Av_00015383-RA
OG0001238	AH023636-RA	Av_00003162-RA, Av_00008674-RA
OG0001239	AH010071-RA	Av_00007847-RA, Av_00023084-RA
OG0001241	AH015103-RA, AH021614-RA	Av_00020690-RA, Av_00003659-RA, Av_00007488-RA
OG0001243	AH015902-RA	Av_00003606-RA, Av_00007115-RA, Av_00001101-RA, Av_00021245-RA
OG0001244	AH009503-RA	Av_00014634-RA
OG0001244	AH009104-RA	Av_00015204-RA, Av_00021527-RA
OG0001245	AH020829-RA, AH015569-RA	Av_00019450-RA, Av_00004051-RA
OG0001246	AH022222-RA	Av_00023141-RA, Av_00010765-RA, Av_00022717-RA
OG0001248	AH022691-RA, AH022690-RA, AH013929-RA	Av_00017345-RA, Av_00008496-RA, Av_00007324-RA, Av_00013271-RA
OG0001249	AH007798-RA	Av_00016211-RA
OG0001250	AH020410-RA, AH006748-RA	Av_00022131-RA, Av_00013162-RA
OG0001250	AH016402-RA, AH023037-RA	Av_00005710-RA, Av_00017276-RA, Av_00015631-RA, Av_00011995-RA
OG0001252	AH013588-RA, AH022210-RA	Av_00017710-RA, Av_00011177-RA
OG0001253	AH010969-RA	Av_00000681-RA, Av_00011851-RA, Av_00006993-RA, Av_00016551-RA, Av_00006537-RA
OG0001255	AH005586-RA	Av_00000404-RA, Av_00015361-RA
OG0001256	AH002195-RA	Av_00011395-RA, Av_00015959-RA, Av_00008826-RA
OG0001257	AH008377-RA	Av_00002571-RA
OG0001257	AH009332-RA	Av_00024054-RA, Av_00019253-RA
OG0001259	AH011511-RA, AH018403-RA	Av_00024647-RA, Av_00017843-RA, Av_00016489-RA, Av_00020984-RA
OG0001259	AH019896-RA, AH007252-RA	Av_00009965-RA, Av_00020222-RA
OG0001260	AH005380-RA, AH004118-RA	Av_00007591-RA, Av_00005225-RA, Av_00002744-RA
OG0001261	AH017491-RA, AH002897-RA	Av_00010499-RA, Av_00015925-RA, Av_00011232-RA
OG0001262	AH022777-RA	Av_00009108-RA, Av_00005782-RA, Av_00015593-RA
OG0001262	AH005524-RA	Av_00002737-RA
OG0001263	AH016821-RA	Av_00004062-RA
OG0001271	AH013611-RA	Av_00000721-RA, Av_00003496-RA, Av_00022192-RA, Av_00023246-RA, Av_00020568-RA, Av_00006743-RA, Av_00009737-RA, Av_00021283-RA
OG0001272	AH013380-RA, AH013379-RA	Av_00023533-RA
OG0001273	AH002602-RA	Av_00009703-RA, Av_00002316-RA, Av_00004152-RA, Av_00015427-RA, Av_00018162-RA
OG0001274	AH020953-RA, AH018827-RA	Av_00019398-RA, Av_00019380-RA
OG0001274	AH023783-RA	Av_00019397-RA, Av_00019381-RA, Av_00023717-RA
OG0001275	AH006951-RA, AH020239-RA	Av_00018789-RA, Av_00012090-RA, Av_00023645-RA
OG0001275	AH013311-RA	Av_00021760-RA
OG0001276	AH007151-RA, AH019878-RA	Av_00023906-RA, Av_00002125-RA
OG0001276	AH010428-RA	Av_00021039-RA, Av_00006922-RA, Av_00006660-RA
OG0001277	AH021608-RA	Av_00014081-RA
OG0001278	AH000211-RA	Av_00020979-RA, Av_00013413-RA
OG0001279	AH012651-RA	Av_00020948-RA, Av_00022216-RA, Av_00023827-RA, Av_00020018-RA, Av_00002925-RA
OG0001280	AH004486-RA	Av_00020238-RA, Av_00021008-RA
OG0001280	AH004893-RA	Av_00003351-RA
OG0001281	AH022074-RA, AH012983-RA	Av_00019950-RA
OG0001281	AH007613-RA	Av_00016204-RA, Av_00006661-RA
OG0001282	AH006683-RA	Av_00000697-RA, Av_00013143-RA, Av_00021469-RA
OG0001282	AH019158-RA, AH015663-RA	Av_00010668-RA
OG0001283	AH019863-RA, AH007129-RA	Av_00002129-RA
OG0001284	AH014962-RA	Av_00005968-RA
OG0001284	AH014961-RA	Av_00010604-RA
OG0001285	AH008738-RA	Av_00014699-RA
OG0001285	AH002185-RA, AH000898-RA	Av_00007286-RA, Av_00023174-RA
OG0001286	AH008835-RA	Av_00003180-RA, Av_00015258-RA
OG0001287	AH001607-RA, AH000948-RA	Av_00014239-RA, Av_00011681-RA
OG0001288	AH010488-RA, AH010489-RA	Av_00011950-RA
OG0001289	AH015607-RA	Av_00007212-RA
OG0001290	AH023736-RA	Av_00019430-RA
OG0001290	AH002377-RA	Av_00007154-RA
OG0001291	AH008183-RA, AH010160-RA	Av_00019728-RA, Av_00003079-RA, Av_00002482-RA
OG0001291	AH015016-RA	Av_00022074-RA, Av_00008959-RA
OG0001292	AH000248-RA, AH009372-RA	Av_00012546-RA, Av_00002858-RA, Av_00013427-RA, Av_00016402-RA
OG0001293	AH010124-RA	Av_00007832-RA, Av_00020045-RA, Av_00017197-RA
OG0001294	AH002512-RA	Av_00017709-RA
OG0001294	AH022234-RA	Av_00017159-RA, Av_00018115-RA
OG0001295	AH007897-RA	Av_00021427-RA, Av_00024771-RA
OG0001295	AH021651-RA, AH015225-RA	Av_00005914-RA
OG0001297	AH013365-RA	Av_00008044-RA, Av_00006760-RA
OG0001298	AH012231-RA	Av_00002053-RA, Av_00022957-RA, Av_00020842-RA
OG0001298	AH018561-RA, AH003212-RA	Av_00018578-RA, Av_00010372-RA, Av_00014538-RA
OG0001299	AH013339-RA, AH022213-RA	Av_00018102-RA, Av_00022240-RA
OG0001299	AH014212-RA, AH021131-RA	Av_00011115-RA, Av_00009910-RA
OG0001300	AH013338-RA	Av_00008035-RA, Av_00006766-RA, Av_00023782-RA
OG0001301	AH022228-RA	Av_00004111-RA
OG0001302	AH003682-RA, AH005673-RA	Av_00000422-RA, Av_00011668-RA, Av_00015339-RA, Av_00014226-RA
OG0001303	AH018983-RA	Av_00008332-RA
OG0001303	AH008663-RA	Av_00023332-RA
OG0001304	AH022242-RA	Av_00017573-RA
OG0001304	AH015897-RA	Av_00003610-RA, Av_00007121-RA
OG0001305	AH018101-RA	Av_00001488-RA
OG0001305	AH019677-RA, AH019678-RA, AH011990-RA	Av_00021966-RA
OG0001307	AH002122-RA, AH000485-RA	Av_00011982-RA
OG0001308	AH002776-RA, AH017643-RA	Av_00005114-RA, Av_00009699-RA
OG0001308	AH017766-RA, AH002622-RA	Av_00002307-RA, Av_00001419-RA, Av_00000810-RA
OG0001309	AH014344-RA	Av_00021205-RA
OG0001310	AH008261-RA, AH009796-RA	Av_00003067-RA, Av_00024268-RA
OG0001311	AH010330-RA	Av_00006594-RA
OG0001311	AH003311-RA	Av_00016506-RA
OG0001311	AH006969-RA	Av_00017460-RA, Av_00021755-RA
OG0001311	AH021901-RA	Av_00020425-RA
OG0001312	AH010129-RA	Av_00012636-RA, Av_00002354-RA
OG0001312	AH001369-RA, AH001368-RA	Av_00024108-RA, Av_00021824-RA, Av_00024567-RA
OG0001313	AH013841-RA	Av_00007329-RA
OG0001313	AH013838-RA	Av_00013277-RA
OG0001314	AH016986-RA, AH015909-RA	Av_00004364-RA, Av_00008198-RA, Av_00003546-RA
OG0001315	AH012344-RA	Av_00002072-RA, Av_00012913-RA
OG0001316	AH012772-RA	Av_00022915-RA, Av_00022453-RA, Av_00018636-RA
OG0001316	AH023506-RA, AH023776-RA	Av_00003564-RA, Av_00007078-RA, Av_00013624-RA
OG0001317	AH020963-RA	Av_00010185-RA, Av_00019127-RA
OG0001317	AH021475-RA	Av_00003702-RA
OG0001318	AH013833-RA, AH020607-RA	Av_00008499-RA
OG0001318	AH012543-RA, AH021764-RA	Av_00012630-RA, Av_00002956-RA, Av_00024241-RA
OG0001319	AH001546-RA	Av_00003973-RA, Av_00004937-RA
OG0001320	AH010153-RA, AH007996-RA, AH007994-RA, AH010156-RA, AH010154-RA	Av_00007443-RA
OG0001320	AH022241-RA	Av_00017574-RA
OG0001321	AH008409-RA	Av_00009987-RA, Av_00006877-RA, Av_00024790-RA
OG0001323	AH019507-RA	Av_00012910-RA
OG0001323	AH009207-RA	Av_00010898-RA
OG0001324	AH000875-RA	Av_00018846-RA
OG0001325	AH013066-RA	Av_00022956-RA, Av_00001466-RA
OG0001326	AH017456-RA	Av_00005185-RA
OG0001326	AH005374-RA	Av_00002776-RA
OG0001326	AH004010-RA	Av_00006380-RA, Av_00016989-RA
OG0001329	AH007262-RA	Av_00018897-RA, Av_00009510-RA
OG0001329	AH011539-RA, AH018434-RA	Av_00021333-RA
OG0001335	AH012970-RA, AH022063-RA	Av_00009612-RA, Av_00002192-RA
OG0001335	AH019874-RA, AH019873-RA, AH007142-RA	Av_00017059-RA, Av_00023905-RA, Av_00002126-RA, Av_00013512-RA
OG0001336	AH023796-RA, AH019392-RA	Av_00019215-RA
OG0001339	AH010403-RA, AH007115-RA, AH002684-RA, AH017696-RA	Av_00021041-RA, Av_00006925-RA, Av_00014838-RA, Av_00006654-RA
OG0001340	AH022637-RA	Av_00024652-RA, Av_00008514-RA, Av_00013291-RA, Av_00007344-RA
OG0001341	AH017764-RA, AH002620-RA	Av_00002306-RA, Av_00009698-RA, Av_00003433-RA
OG0001341	AH010772-RA	Av_00016155-RA
OG0001344	AH023779-RA	Av_00013625-RA
OG0001345	AH023102-RA	Av_00024654-RA
OG0001346	AH010533-RA	Av_00021028-RA, Av_00006914-RA
OG0001346	AH014296-RA, AH021071-RA	Av_00012337-RA, Av_00009795-RA, Av_00008755-RA
OG0001348	AH018838-RA	Av_00016419-RA, Av_00024769-RA, Av_00011743-RA
OG0001349	AH007880-RA, AH010749-RA	Av_00016076-RA, Av_00016131-RA, Av_00020339-RA, Av_00016754-RA
OG0001350	AH013041-RA	Av_00001111-RA, Av_00011022-RA
OG0001350	AH013042-RA	Av_00000765-RA
OG0001351	AH000203-RA	Av_00010138-RA
OG0001352	AH021941-RA, AH020102-RA	Av_00000628-RA, Av_00018499-RA
OG0001353	AH012682-RA	Av_00022732-RA, Av_00022504-RA, Av_00003807-RA
OG0001354	AH006792-RA, AH020379-RA	Av_00013178-RA, Av_00014475-RA
OG0001356	AH014878-RA	Av_00021928-RA
OG0001356	AH002972-RA, AH017352-RA	Av_00015028-RA, Av_00009248-RA, Av_00017720-RA, Av_00011001-RA
OG0001357	AH000633-RA	Av_00021547-RA
OG0001357	AH003712-RA	Av_00000289-RA
OG0001358	AH016807-RA	Av_00019439-RA
OG0001359	AH008449-RA	Av_00021474-RA
OG0001360	AH000727-RA, AH002414-RA	Av_00023486-RA, Av_00007293-RA
OG0001361	AH004967-RA	Av_00001915-RA, Av_00018985-RA
OG0001361	AH016802-RA	Av_00003771-RA
OG0001362	AH003982-RA, AH005913-RA	Av_00014832-RA, Av_00016593-RA
OG0001363	AH008751-RA, AH008752-RA	Av_00000086-RA, Av_00014700-RA, Av_00011491-RA
OG0001364	AH008286-RA, AH007873-RA, AH008285-RA	Av_00011552-RA
OG0001365	AH000303-RA, AH001381-RA	Av_00024416-RA, Av_00008443-RA, Av_00006178-RA
OG0001367	AH003213-RA	Av_00006070-RA
OG0001367	AH012230-RA	Av_00009147-RA
OG0001368	AH016496-RA, AH022919-RA	Av_00012213-RA, Av_00012214-RA, Av_00005751-RA
OG0001369	AH000395-RA	Av_00017380-RA
OG0001370	AH010137-RA, AH010138-RA	Av_00017189-RA
OG0001371	AH013431-RA, AH022312-RA	Av_00004084-RA
OG0001372	AH014446-RA	Av_00010989-RA, Av_00023213-RA
OG0001372	AH011401-RA, AH018314-RA	Av_00006051-RA
OG0001374	AH015891-RA	Av_00003611-RA, Av_00007123-RA
OG0001375	AH012226-RA, AH003216-RA, AH018557-RA	Av_00005452-RA, Av_00003027-RA
OG0001376	AH019805-RA	Av_00002146-RA, Av_00014736-RA
OG0001376	AH010499-RA	Av_00016195-RA, Av_00006669-RA
OG0001377	AH020681-RA, AH013974-RA	Av_00003803-RA, Av_00012154-RA
OG0001378	AH012632-RA	Av_00018035-RA, Av_00025009-RA, Av_00015657-RA
OG0001378	AH019506-RA, AH012337-RA	Av_00001606-RA, Av_00009378-RA
OG0001379	AH013393-RA, AH022340-RA	Av_00004093-RA
OG0001379	AH014318-RA	Av_00017133-RA, Av_00023647-RA
OG0001380	AH020970-RA	Av_00011031-RA, Av_00009831-RA
OG0001380	AH016009-RA, AH017022-RA	Av_00014717-RA
OG0001381	AH020930-RA	Av_00008892-RA
OG0001383	AH018291-RA, AH006875-RA, AH018292-RA, AH007859-RA	Av_00016741-RA
OG0001384	AH003149-RA	Av_00006090-RA, Av_00023356-RA
OG0001384	AH005942-RA, AH012336-RA	Av_00014765-RA
OG0001385	AH009325-RA, AH009327-RA, AH021896-RA	Av_00017980-RA, Av_00008360-RA, Av_00021991-RA
OG0001386	AH000240-RA	Av_00016936-RA, Av_00004744-RA
OG0001387	AH004826-RA	Av_00014389-RA
OG0001387	AH007647-RA, AH006903-RA, AH020283-RA	Av_00020462-RA, Av_00000666-RA, Av_00019632-RA, Av_00017454-RA
OG0001388	AH015012-RA, AH021506-RA, AH017041-RA, AH008193-RA	Av_00008960-RA, Av_00022073-RA
OG0001388	AH010193-RA	Av_00000175-RA, Av_00007889-RA, Av_00024636-RA
OG0001389	AH000188-RA	Av_00012704-RA, Av_00018510-RA
OG0001390	AH013770-RA	Av_00000380-RA
OG0001390	AH003084-RA	Av_00002349-RA
OG0001391	AH005119-RA	Av_00022653-RA, Av_00020965-RA, Av_00002768-RA, Av_00005196-RA
OG0001391	AH017402-RA, AH017401-RA, AH002942-RA, AH017403-RA	Av_00017728-RA
OG0001392	AH011983-RA	Av_00013017-RA, Av_00024027-RA
OG0001394	AH008516-RA	Av_00014805-RA, Av_00016801-RA
OG0001395	AH013557-RA	Av_00009273-RA, Av_00015007-RA
OG0001396	AH005194-RA, AH004539-RA	Av_00024297-RA, Av_00002623-RA, Av_00005375-RA
OG0001397	AH005438-RA, AH004090-RA	Av_00007598-RA, Av_00020879-RA
OG0001398	AH007832-RA, AH007833-RA, AH010694-RA	Av_00020424-RA, Av_00023045-RA
OG0001400	AH004404-RA, AH004764-RA	Av_00015480-RA, Av_00023098-RA
OG0001400	AH023435-RA	Av_00007086-RA
OG0001401	AH009355-RA	Av_00019665-RA, Av_00019387-RA
OG0001402	AH021033-RA, AH022921-RA	Av_00017304-RA
OG0001402	AH004095-RA	Av_00016993-RA, Av_00024202-RA, Av_00016716-RA, Av_00005222-RA
OG0001403	AH005509-RA, AH004175-RA	Av_00007635-RA
OG0001404	AH010253-RA	Av_00023956-RA
OG0001404	AH011635-RA, AH019875-RA, AH011638-RA, AH011636-RA	Av_00010552-RA, Av_00001717-RA
OG0001405	AH017627-RA	Av_00017673-RA, Av_00001749-RA
OG0001405	AH000005-RA	Av_00001748-RA, Av_00018283-RA, Av_00004705-RA
OG0001406	AH002769-RA, AH017651-RA	Av_00012415-RA, Av_00013861-RA, Av_00011275-RA
OG0001406	AH004662-RA	Av_00007522-RA, Av_00015498-RA
OG0001407	AH015970-RA	Av_00002850-RA, Av_00012542-RA, Av_00013424-RA
OG0001419	AH012694-RA	Av_00017783-RA
OG0001422	AH016429-RA	Av_00012018-RA, Av_00015621-RA
OG0001423	AH011144-RA	Av_00006577-RA
OG0001424	AH019975-RA, AH011839-RA	Av_00000554-RA, Av_00014741-RA, Av_00002150-RA
OG0001425	AH016757-RA	Av_00004207-RA
OG0001425	AH010887-RA	Av_00011876-RA, Av_00016570-RA
OG0001426	AH022654-RA	Av_00007346-RA, Av_00013297-RA
OG0001427	AH022962-RA, AH000419-RA, AH001427-RA	Av_00017495-RA, Av_00008460-RA
OG0001428	AH011825-RA, AH018566-RA, AH018559-RA	Av_00013232-RA, Av_00017888-RA
