Orthogroup	A_hypochondriacus.proteins	V_vinifera.proteins
OG0001661	AH023270-RA, AH016239-RA	VIT_211s0052g01160.1
OG0001662	AH019030-RA	VIT_204s0069g00870.1
OG0001663	AH016054-RA	VIT_204s0008g01460.5, VIT_204s0008g01460.4, VIT_204s0008g01460.2, VIT_204s0008g01460.3, VIT_204s0008g01460.6, VIT_204s0008g01460.1, VIT_204s0008g01460.7
OG0001663	AH010682-RA	VIT_211s0016g01690.3, VIT_211s0016g01690.1, VIT_211s0016g01690.2
OG0001664	AH019493-RA, AH012320-RA, AH019491-RA, AH012319-RA	VIT_216s0022g02240.1, VIT_216s0022g02240.2, VIT_216s0022g02270.2, VIT_216s0022g02270.1, VIT_216s0022g02270.3, VIT_216s0022g02250.1
OG0001665	AH006549-RA, AH020532-RA, AH015940-RA	VIT_213s0067g03550.2, VIT_213s0067g03550.3, VIT_213s0067g03550.1
OG0001666	AH019574-RA, AH012417-RA	VIT_216s0050g00600.1
OG0001667	AH009691-RA	VIT_215s0046g02530.1, VIT_215s0046g02530.3, VIT_215s0046g02530.4, VIT_215s0046g02530.2
OG0001668	AH013389-RA	VIT_209s0002g00960.2, VIT_209s0002g00960.1
OG0001668	AH021098-RA	VIT_211s0016g00810.4, VIT_211s0016g00810.3, VIT_211s0016g00810.5, VIT_211s0016g00810.1, VIT_211s0016g00810.2
OG0001669	AH007158-RA	VIT_205s0077g01790.2, VIT_205s0077g01790.1
OG0001669	AH022348-RA	VIT_209s0002g00990.2, VIT_209s0002g00990.1
OG0001670	AH012775-RA, AH021998-RA	VIT_208s0040g01580.1
OG0001671	AH015240-RA	VIT_210s0003g00080.4, VIT_210s0003g00080.1, VIT_210s0003g00080.2, VIT_210s0003g00080.3, VIT_210s0003g00080.5, VIT_212s0028g03340.2, VIT_212s0028g03340.1
OG0001672	AH000063-RA, AH001137-RA	VIT_212s0028g00400.5, VIT_212s0028g00400.4, VIT_212s0028g00400.1
OG0001673	AH012985-RA, AH022073-RA	VIT_207s0005g01000.3, VIT_207s0005g01000.2, VIT_207s0005g01000.5, VIT_207s0005g01000.8, VIT_207s0005g01000.9, VIT_207s0005g01000.7, VIT_207s0005g01000.4, VIT_207s0005g01000.6, VIT_207s0005g01000.1
OG0001674	AH020492-RA, AH006671-RA	VIT_208s0040g01230.1, VIT_208s0040g01220.1, VIT_208s0040g01220.3, VIT_208s0040g01220.2
OG0001674	AH006672-RA	VIT_217s0000g02420.1, VIT_217s0000g02420.3, VIT_217s0000g02420.2
OG0001675	AH000388-RA	VIT_208s0007g02340.1
OG0001676	AH018279-RA, AH018278-RA, AH009380-RA	VIT_215s0021g01420.1, VIT_215s0021g01420.2, VIT_200s0620g00020.1
OG0001677	AH021282-RA	VIT_210s0003g04070.5, VIT_210s0003g04070.3, VIT_210s0003g04070.1, VIT_210s0003g04070.2, VIT_210s0003g04070.4
OG0001678	AH006793-RA	VIT_210s0003g04650.2, VIT_210s0003g04650.1
OG0001680	AH014752-RA	VIT_202s0087g00480.1, VIT_213s0175g00210.1
OG0001680	AH021335-RA	VIT_210s0003g02690.8, VIT_210s0003g02690.6, VIT_210s0003g02690.1, VIT_200s0160g00062.1, VIT_210s0003g02690.7, VIT_210s0003g02690.3, VIT_210s0003g02690.5, VIT_210s0003g02690.2, VIT_210s0003g02690.4
OG0001681	AH023604-RA	VIT_218s0001g03960.1
OG0001682	AH001866-RA, AH001881-RA	VIT_203s0063g01860.1, VIT_203s0063g01850.1, VIT_203s0063g01820.1, VIT_203s0063g01830.1
OG0001682	AH000843-RA	VIT_203s0063g01840.1
OG0001682	AH000844-RA	VIT_218s0001g11630.1
OG0001683	AH018131-RA	VIT_202s0025g02040.1
OG0001684	AH004203-RA	VIT_212s0035g00930.1, VIT_212s0035g00945.1
OG0001685	AH020225-RA, AH006963-RA	VIT_205s0051g00060.1
OG0001685	AH004970-RA, AH013015-RA, AH021910-RA	VIT_207s0005g04800.1
OG0001686	AH002775-RA, AH017644-RA	VIT_205s0020g04850.3, VIT_205s0020g04850.4, VIT_205s0020g04850.1, VIT_205s0020g04850.2
OG0001686	AH002623-RA	VIT_207s0141g00760.1
OG0001687	AH016946-RA, AH016947-RA	VIT_218s0001g12350.3, VIT_218s0001g12350.2, VIT_218s0001g12350.1
OG0001688	AH012289-RA, AH014109-RA	VIT_219s0014g05310.1
OG0001689	AH012675-RA	VIT_214s0066g01290.1
OG0001689	AH010777-RA	VIT_207s0104g00400.3, VIT_207s0104g00400.4, VIT_207s0104g00400.1, VIT_207s0104g00400.2
OG0001690	AH008998-RA	VIT_218s0001g03680.2, VIT_218s0001g03680.1, VIT_218s0001g03680.3
OG0001691	AH022135-RA, AH013017-RA	VIT_207s0005g04940.3, VIT_207s0005g04940.4, VIT_207s0005g04940.2, VIT_207s0005g04940.1
OG0001692	AH010498-RA, AH007597-RA	VIT_201s0150g00440.1, VIT_214s0060g02320.2, VIT_214s0060g02320.5, VIT_214s0060g02320.4, VIT_214s0060g02320.1, VIT_214s0060g02320.3
OG0001693	AH011217-RA	VIT_214s0060g01160.5, VIT_214s0060g01160.3, VIT_214s0060g01160.4, VIT_214s0060g01160.6, VIT_214s0060g01160.2, VIT_214s0060g01160.1
OG0001694	AH015319-RA, AH002871-RA, AH015321-RA, AH015320-RA	VIT_217s0000g06840.10, VIT_217s0000g06840.6, VIT_217s0000g06840.12, VIT_217s0000g06840.7, VIT_217s0000g06840.5, VIT_217s0000g06840.1, VIT_217s0000g06840.2, VIT_217s0000g06840.8, VIT_217s0000g06840.3, VIT_217s0000g06840.9, VIT_217s0000g06840.11, VIT_217s0000g06840.4
OG0001695	AH003061-RA	VIT_217s0000g02990.2, VIT_217s0000g02990.3, VIT_211s0052g01520.1
OG0001696	AH011688-RA, AH020052-RA	VIT_208s0007g07620.2, VIT_208s0007g07620.1
OG0001696	AH017567-RA	VIT_217s0000g06370.1, VIT_217s0000g06370.2, VIT_217s0000g06370.3
OG0001697	AH005154-RA	VIT_201s0010g02890.1, VIT_201s0010g02890.2
OG0001698	AH007260-RA	VIT_216s0039g01850.2, VIT_216s0039g01850.1
OG0001698	AH005249-RA	VIT_214s0068g00800.2, VIT_214s0068g00800.3, VIT_214s0068g00800.1
OG0001698	AH018433-RA	VIT_202s0012g01850.1
OG0001699	AH007757-RA	VIT_201s0010g01440.2, VIT_201s0010g01440.1, VIT_201s0010g01440.7, VIT_201s0010g01440.4, VIT_201s0010g01440.13, VIT_201s0010g01440.14, VIT_201s0010g01440.8, VIT_201s0010g01440.11, VIT_201s0010g01440.6, VIT_201s0010g01440.5, VIT_201s0010g01440.3, VIT_201s0010g01440.9, VIT_201s0010g01440.10, VIT_201s0010g01440.12
OG0001700	AH005561-RA	VIT_201s0011g00710.1
OG0001700	AH017530-RA	VIT_217s0000g06820.1
OG0001701	AH008635-RA	VIT_218s0001g01590.1
OG0001702	AH013119-RA	VIT_200s0216g00020.1
OG0001702	AH022144-RA	VIT_200s0160g00280.1
OG0001702	AH016611-RA, AH022743-RA	VIT_214s0083g00690.1, VIT_214s0083g00690.2, VIT_214s0083g00690.3
OG0001703	AH022869-RA, AH003000-RA	VIT_214s0006g02800.2, VIT_214s0006g02800.1
OG0001704	AH022966-RA	VIT_213s0019g01670.2, VIT_213s0019g01670.3, VIT_213s0019g01670.4, VIT_213s0019g01670.5, VIT_213s0019g01670.1
OG0001705	AH006153-RA, AH008988-RA, AH013756-RA, AH008982-RA, AH008989-RA	VIT_219s0014g02540.1
OG0001717	AH001443-RA	VIT_209s0002g01570.1, VIT_207s0031g02070.1
OG0001718	AH011245-RA	VIT_214s0060g00680.1
OG0001718	AH017271-RA	VIT_207s0005g02050.1
OG0001718	AH016617-RA, AH016618-RA, AH019788-RA	VIT_207s0005g02040.1
OG0001719	AH007781-RA	VIT_213s0073g00120.1
OG0001719	AH021777-RA, AH012561-RA	VIT_208s0007g02620.1
OG0001721	AH005757-RA	VIT_204s0023g01960.2, VIT_204s0023g01960.1, VIT_204s0023g01960.3, VIT_204s0023g01960.5, VIT_204s0023g01960.7, VIT_204s0023g01960.4, VIT_204s0023g01960.6
OG0001723	AH019314-RA	VIT_213s0067g00080.3, VIT_213s0067g00080.4, VIT_213s0067g00080.5, VIT_213s0067g00080.2, VIT_213s0067g00080.1
OG0001724	AH007519-RA	VIT_214s0030g00180.3, VIT_214s0030g00180.2, VIT_214s0030g00180.4, VIT_214s0030g00180.1
OG0001724	AH012897-RA	VIT_207s0104g00760.6, VIT_207s0104g00760.7, VIT_207s0104g00760.8, VIT_207s0104g00760.9, VIT_207s0104g00760.1, VIT_207s0104g00760.2, VIT_207s0104g00760.4, VIT_207s0104g00760.3, VIT_207s0104g00760.5
OG0001725	AH022467-RA, AH013188-RA, AH018836-RA	VIT_208s0058g00390.1, VIT_206s0004g07150.3, VIT_213s0067g01820.1, VIT_206s0004g07150.1, VIT_206s0004g07150.2
OG0001726	AH006334-RA, AH003486-RA, AH003483-RA, AH006335-RA	VIT_218s0001g15120.1, VIT_218s0001g15220.1, VIT_218s0001g15230.1, VIT_218s0001g15130.1
OG0001727	AH003014-RA	VIT_208s0032g00100.1
OG0001727	AH013873-RA, AH013874-RA, AH013872-RA	VIT_206s0009g01090.1
OG0001728	AH022099-RA	VIT_207s0005g00610.5, VIT_207s0005g00610.1, VIT_207s0005g00610.7, VIT_207s0005g00610.4, VIT_207s0005g00610.3, VIT_207s0005g00610.2, VIT_207s0005g00610.6
OG0001729	AH012148-RA	VIT_205s0020g04970.1
OG0001730	AH007760-RA, AH010819-RA	VIT_214s0081g00070.3, VIT_214s0081g00070.5, VIT_214s0081g00070.2, VIT_214s0081g00070.4, VIT_214s0081g00070.1, VIT_207s0141g00610.3, VIT_207s0141g00610.2, VIT_207s0141g00610.5, VIT_207s0141g00610.1, VIT_207s0141g00610.4, VIT_207s0141g00610.6
OG0001731	AH013848-RA, AH022615-RA	VIT_206s0080g01230.1
OG0001731	AH007789-RA	VIT_213s0073g00560.1, VIT_213s0073g00560.2
OG0001732	AH010440-RA	VIT_205s0020g02790.2, VIT_205s0020g02790.1, VIT_205s0020g02790.4, VIT_205s0020g02790.3, VIT_214s0128g00250.1, VIT_214s0128g00250.4, VIT_214s0128g00250.3, VIT_214s0128g00250.2, VIT_214s0128g00250.5
OG0001733	AH000181-RA	VIT_206s0004g02720.1, VIT_206s0004g02720.3, VIT_206s0004g02720.4, VIT_206s0004g02720.2
OG0001734	AH015687-RA	VIT_213s0019g00340.1
OG0001734	AH020458-RA	VIT_208s0007g05530.1
OG0001735	AH023047-RA	VIT_213s0019g03360.1
OG0001736	AH020033-RA, AH011716-RA	VIT_205s0094g00900.1
OG0001736	AH001294-RA, AH000100-RA	VIT_206s0004g03540.1
OG0001737	AH006518-RA	VIT_205s0062g00140.1
OG0001738	AH006940-RA	VIT_205s0051g00640.2, VIT_205s0051g00640.1
OG0001738	AH013089-RA	VIT_205s0029g00200.1, VIT_200s0268g00020.1, VIT_200s0268g00020.2
OG0001739	AH012946-RA, AH022092-RA	VIT_214s0060g01780.1, VIT_214s0060g01760.1, VIT_207s0005g00670.1
OG0001740	AH000605-RA	VIT_211s0016g05730.1, VIT_211s0016g05730.2
OG0001741	AH002431-RA	VIT_200s0282g00010.2, VIT_200s0282g00010.1, VIT_200s0282g00010.4, VIT_200s0282g00010.3, VIT_205s0020g02340.1, VIT_205s0020g02340.2
OG0001744	AH013131-RA	VIT_207s0151g00350.1
OG0001745	AH005579-RA	VIT_207s0255g00030.1
OG0001745	AH019784-RA, AH020090-RA	VIT_205s0077g00870.2, VIT_205s0077g00870.1
OG0001746	AH006438-RA, AH006435-RA	VIT_204s0023g03520.1
OG0001747	AH016794-RA, AH023706-RA	VIT_218s0001g00950.2, VIT_218s0001g00950.1
OG0001748	AH014624-RA, AH021191-RA, AH008397-RA, AH005645-RA	VIT_218s0001g09230.1
OG0001749	AH003723-RA	VIT_207s0031g00883.1, VIT_207s0031g00901.1, VIT_207s0031g00903.1
OG0001750	AH000924-RA	VIT_203s0038g03840.5, VIT_203s0038g03840.6, VIT_203s0038g03840.1, VIT_203s0038g03840.4, VIT_203s0038g03840.3, VIT_203s0038g03840.2
OG0001750	AH023742-RA	VIT_218s0122g01210.1
OG0001751	AH005935-RA, AH003620-RA	VIT_200s0349g00060.3, VIT_200s0349g00060.4, VIT_200s0349g00060.2, VIT_200s0349g00060.1
OG0001751	AH023716-RA	VIT_218s0001g14900.1
OG0001752	AH023669-RA	VIT_218s0001g00100.1, VIT_218s0001g00100.2, VIT_218s0001g00100.6, VIT_218s0001g00100.5, VIT_218s0001g00100.4, VIT_218s0001g00100.7, VIT_218s0001g00100.3
OG0001753	AH005755-RA, AH003824-RA	VIT_218s0001g12620.1, VIT_218s0001g12620.4, VIT_218s0001g12620.7, VIT_218s0001g12620.6, VIT_218s0001g12620.3, VIT_218s0001g12620.5, VIT_218s0001g12620.2, VIT_204s0023g01920.3, VIT_204s0023g01920.1, VIT_204s0023g01920.2, VIT_204s0023g01920.4, VIT_204s0023g01920.6, VIT_208s0058g00080.1, VIT_216s0039g02330.1, VIT_204s0023g01920.5
OG0001754	AH008700-RA	VIT_218s0001g06500.1
OG0001755	AH008484-RA	VIT_217s0000g03010.3, VIT_217s0000g03010.4, VIT_217s0000g03010.5, VIT_201s0011g04370.9, VIT_217s0000g03010.1, VIT_217s0000g03010.2, VIT_201s0011g04370.1, VIT_201s0011g04370.2, VIT_201s0011g04370.3, VIT_201s0011g04370.5, VIT_201s0011g04370.4, VIT_201s0011g04370.6, VIT_201s0011g04370.7
OG0001756	AH018070-RA, AH008950-RA	VIT_218s0001g10600.1, VIT_218s0001g10595.1, VIT_218s0001g10645.1, VIT_218s0001g10610.1, VIT_218s0001g10630.1, VIT_218s0001g10620.1, VIT_218s0001g10640.1, VIT_218s0001g10605.1
OG0001757	AH002419-RA	VIT_203s0097g00510.1
OG0001757	AH008748-RA	VIT_218s0001g07930.1
OG0001758	AH003598-RA	VIT_207s0031g02200.1
OG0001759	AH005763-RA	VIT_204s0023g02040.1, VIT_204s0023g02040.3, VIT_204s0023g02040.2
OG0001759	AH001797-RA, AH000576-RA	VIT_203s0038g04600.1, VIT_203s0038g04600.2
OG0001761	AH014806-RA	VIT_210s0003g01480.2
OG0001761	AH000422-RA	VIT_210s0003g01480.1
OG0001762	AH010692-RA	VIT_214s0108g00590.1
OG0001762	AH001432-RA	VIT_212s0028g01600.1, VIT_212s0028g01600.2
OG0001763	AH006324-RA, AH003477-RA	VIT_214s0060g00100.4, VIT_214s0060g00100.3, VIT_214s0060g00100.1, VIT_214s0060g00100.2
OG0001763	AH001209-RA	VIT_212s0057g00980.2, VIT_212s0057g00980.1
OG0001764	AH021319-RA	VIT_219s0014g00120.4, VIT_219s0014g00120.5, VIT_219s0014g00120.1, VIT_219s0014g00120.2, VIT_219s0014g00120.3, VIT_210s0003g02990.2, VIT_210s0003g02990.1, VIT_210s0003g02990.3
OG0001765	AH016685-RA, AH008399-RA	VIT_218s0001g09580.4, VIT_218s0001g09580.3, VIT_218s0001g09580.5, VIT_218s0001g09580.1, VIT_218s0001g09580.2
OG0001766	AH020380-RA, AH007582-RA, AH007584-RA, AH007585-RA	VIT_207s0005g03150.2, VIT_207s0005g03150.1
OG0001767	AH018671-RA	VIT_202s0025g04170.2, VIT_202s0025g04170.1, VIT_202s0025g04170.3
OG0001767	AH019542-RA, AH012369-RA	VIT_216s0100g00720.1
OG0001768	AH002166-RA	VIT_209s0002g03450.1, VIT_209s0002g03460.1
OG0001769	AH016997-RA	VIT_209s0070g00310.1
OG0001769	AH017080-RA, AH021065-RA	VIT_211s0016g00220.1
OG0001770	AH020278-RA	VIT_208s0007g00150.1
OG0001770	AH014561-RA, AH021126-RA	VIT_209s0002g01500.1, VIT_211s0016g01430.1
OG0001771	AH001996-RA, AH014069-RA, AH020762-RA, AH014148-RA, AH023801-RA	VIT_209s0002g06360.1
OG0001772	AH014436-RA	VIT_211s0103g00610.3, VIT_211s0103g00610.4, VIT_211s0103g00610.2, VIT_211s0103g00610.1
OG0001772	AH013479-RA	VIT_209s0054g01000.1
OG0001773	AH018095-RA	VIT_202s0025g01485.12, VIT_202s0025g01485.4, VIT_202s0025g01485.7, VIT_202s0025g01485.8, VIT_202s0025g01485.2, VIT_202s0025g01485.11, VIT_202s0025g01485.14, VIT_202s0025g01485.13, VIT_202s0025g01485.9, VIT_202s0025g01485.6, VIT_202s0025g01485.5, VIT_202s0025g01485.3, VIT_202s0025g01485.1, VIT_202s0025g01485.10
OG0001774	AH018716-RA	VIT_202s0025g04730.2, VIT_202s0025g04730.1, VIT_202s0025g04750.1, VIT_202s0025g04750.2
OG0001774	AH009193-RA, AH020811-RA	VIT_215s0048g01330.2, VIT_215s0048g01330.1
OG0001775	AH014348-RA	VIT_204s0008g04195.2, VIT_204s0008g04195.1, VIT_204s0008g04195.5, VIT_204s0008g04195.3, VIT_204s0008g04195.4
OG0001776	AH007741-RA	VIT_211s0016g01270.1, VIT_211s0016g01270.2, VIT_211s0016g01270.4, VIT_211s0016g01270.3
OG0001777	AH009523-RA	VIT_215s0046g00050.2, VIT_215s0046g00050.3, VIT_215s0046g00050.1, VIT_215s0046g00050.4
OG0001778	AH011462-RA, AH018239-RA, AH009344-RA	VIT_202s0012g00080.2, VIT_202s0012g00080.1, VIT_202s0012g00080.3
OG0001779	AH020944-RA	VIT_211s0078g00250.9, VIT_211s0078g00250.3, VIT_211s0078g00250.2, VIT_211s0078g00250.8, VIT_211s0078g00250.6, VIT_211s0078g00250.5, VIT_211s0078g00250.4, VIT_211s0078g00250.7, VIT_211s0078g00250.1
OG0001780	AH017996-RA	VIT_203s0091g01135.1
OG0001781	AH018651-RA	VIT_202s0025g03980.1
OG0001781	AH023040-RA	VIT_213s0019g03280.1
OG0001782	AH007490-RA, AH002141-RA	VIT_213s0019g04230.1
OG0001783	AH002965-RA	VIT_211s0016g03260.1, VIT_211s0016g03260.2
OG0001784	AH002825-RA	VIT_219s0015g00940.1, VIT_219s0015g00940.2, VIT_219s0015g00940.4, VIT_219s0015g00940.3
OG0001784	AH021159-RA	VIT_211s0052g00430.5, VIT_211s0052g00430.6, VIT_211s0052g00430.4, VIT_211s0052g00430.1, VIT_211s0052g00430.2, VIT_211s0052g00430.3
OG0001785	AH014213-RA	VIT_211s0016g01970.1, VIT_211s0016g01970.2
OG0001786	AH012088-RA, AH019612-RA, AH012087-RA, AH012086-RA	VIT_210s0092g00240.1, VIT_210s0092g00260.1
OG0001787	AH013870-RA	VIT_218s0041g02410.1, VIT_218s0041g02430.1, VIT_206s0009g00770.1, VIT_206s0009g00770.2
OG0001788	AH009880-RA	VIT_219s0090g01180.5, VIT_219s0090g01180.2, VIT_219s0090g01170.2, VIT_219s0090g01170.1, VIT_219s0090g01180.7, VIT_219s0090g01180.4, VIT_219s0090g01180.3, VIT_219s0090g01180.1, VIT_219s0090g01180.6, VIT_219s0090g01170.3, VIT_212s0059g01620.2, VIT_212s0059g01620.1, VIT_200s0981g00010.1
OG0001789	AH015084-RA	VIT_200s0800g00010.1, VIT_200s0370g00095.1
OG0001789	AH000691-RA, AH000692-RA, AH002448-RA, AH000690-RA	VIT_208s0007g02100.1
OG0001790	AH011578-RA	VIT_202s0033g00270.1, VIT_217s0053g00460.1, VIT_202s0033g00290.1, VIT_202s0033g00290.2, VIT_217s0053g00460.2, VIT_202s0033g00290.3, VIT_202s0033g00260.1, VIT_202s0033g00290.5, VIT_202s0033g00290.4, VIT_217s0053g00460.3, VIT_202s0033g00260.2
OG0001791	AH008218-RA, AH009916-RA	VIT_219s0090g00690.1, VIT_219s0090g00690.5, VIT_219s0090g00690.8, VIT_219s0090g00690.2, VIT_219s0090g00690.4, VIT_219s0090g00690.3, VIT_219s0090g00690.9, VIT_219s0090g00690.7, VIT_219s0090g00690.6
OG0001792	AH005244-RA	VIT_214s0068g00690.4, VIT_214s0068g00690.1, VIT_214s0068g00690.2, VIT_214s0068g00690.5, VIT_214s0068g00690.3, VIT_214s0068g00690.6
OG0001792	AH014670-RA	VIT_209s0002g09280.1, VIT_209s0002g09280.3, VIT_209s0002g09280.5, VIT_209s0002g09280.4, VIT_209s0002g09280.2
OG0001793	AH023078-RA	VIT_213s0067g00550.1
OG0001793	AH015078-RA, AH021633-RA	VIT_200s0370g00020.1
OG0001795	AH022644-RA	VIT_204s0008g03440.4, VIT_204s0008g03440.3, VIT_204s0008g03440.1, VIT_204s0008g03440.2, VIT_204s0008g03440.6, VIT_204s0008g03440.5
OG0001797	AH010594-RA, AH020290-RA	VIT_206s0004g00710.1
OG0001799	AH021957-RA	VIT_208s0040g03220.4, VIT_208s0040g03220.1, VIT_208s0040g03220.6, VIT_208s0040g03220.5, VIT_208s0040g03220.3, VIT_208s0040g03220.2
OG0001800	AH019860-RA	VIT_208s0032g00935.1
OG0001801	AH015158-RA	VIT_214s0006g01210.1
OG0001801	AH005358-RA, AH004145-RA	VIT_201s0011g05250.1, VIT_214s0006g02980.1
OG0001802	AH015633-RA	VIT_205s0102g01050.1, VIT_213s0047g01240.1
OG0001803	AH003823-RA, AH005756-RA	VIT_204s0023g01950.1, VIT_204s0023g01950.2
OG0001804	AH005237-RA	VIT_214s0068g00970.1, VIT_214s0068g00970.3, VIT_214s0068g00970.2
OG0001804	AH004038-RA	VIT_201s0011g00420.1, VIT_215s0107g00540.1
OG0001806	AH007030-RA, AH020164-RA, AH020163-RA	VIT_205s0020g02000.4, VIT_205s0020g02000.3, VIT_205s0020g02000.8, VIT_205s0020g02000.9, VIT_205s0020g02000.6, VIT_205s0020g02000.5, VIT_205s0020g02000.2, VIT_205s0020g02000.7, VIT_205s0020g02000.1
OG0001808	AH017362-RA, AH002964-RA	VIT_201s0146g00310.1
OG0001809	AH007339-RA, AH019766-RA, AH007333-RA	VIT_200s2725g00005.1
OG0001810	AH017777-RA, AH002609-RA	VIT_207s0141g00220.3, VIT_207s0141g00220.2, VIT_207s0141g00220.1
OG0001810	AH010804-RA	VIT_214s0030g02230.3, VIT_214s0030g02230.4, VIT_214s0030g02230.2, VIT_214s0030g02230.1, VIT_205s0020g04620.1, VIT_205s0020g04620.2
OG0001811	AH001809-RA	VIT_200s0181g00070.1, VIT_215s0048g02360.2, VIT_215s0048g02360.1, VIT_200s0181g00110.1
OG0001812	AH011689-RA, AH004629-RA	VIT_201s0026g00730.1
OG0001813	AH009102-RA	VIT_215s0048g00970.1
OG0001814	AH017578-RA, AH002827-RA	VIT_217s0000g06230.2, VIT_217s0000g06230.1
OG0001815	AH017533-RA, AH001467-RA	VIT_217s0000g06860.1
OG0001815	AH005565-RA	VIT_201s0011g00670.1
OG0001816	AH022742-RA, AH022741-RA, AH016612-RA	VIT_214s0083g00680.1, VIT_214s0083g00683.1, VIT_214s0083g00674.1, VIT_214s0083g00676.1, VIT_214s0083g00672.1, VIT_214s0083g00670.1
OG0001817	AH007245-RA	VIT_216s0039g01670.2, VIT_216s0039g01670.1, VIT_216s0039g01670.4, VIT_216s0039g01670.5, VIT_216s0039g01670.3
OG0001818	AH000333-RA, AH010042-RA, AH008164-RA, AH008747-RA	VIT_212s0028g03800.1
OG0001819	AH002795-RA, AH017622-RA	VIT_217s0000g05640.3, VIT_217s0000g05640.2, VIT_217s0000g05640.1
OG0001820	AH004822-RA	VIT_200s0291g00090.1
OG0001821	AH007258-RA	VIT_216s0039g01840.1, VIT_216s0039g01840.2
OG0001821	AH018425-RA, AH011529-RA	VIT_202s0012g01810.1
OG0001822	AH016157-RA	VIT_206s0004g06250.10, VIT_206s0004g06250.11, VIT_206s0004g06250.8, VIT_206s0004g06250.2, VIT_206s0004g06250.5, VIT_206s0004g06250.7, VIT_206s0004g06250.3, VIT_206s0004g06250.4, VIT_206s0004g06250.6, VIT_206s0004g06250.1, VIT_206s0004g06250.9
OG0001823	AH023370-RA, AH023366-RA, AH023367-RA	VIT_204s0008g01650.1, VIT_204s0008g01640.2, VIT_204s0008g01640.1
OG0001825	AH013354-RA	VIT_209s0002g01590.2, VIT_209s0002g01590.3, VIT_209s0002g01590.1
OG0001833	AH017010-RA, AH017009-RA, AH017007-RA	VIT_215s0045g01260.1
OG0001834	AH023089-RA	VIT_214s0066g00890.1
OG0001834	AH019442-RA, AH019447-RA, AH011216-RA, AH023803-RA	VIT_214s0060g01170.2, VIT_214s0060g01170.1
OG0001835	AH003019-RA, AH017232-RA	VIT_208s0007g03340.1
OG0001836	AH010828-RA, AH007765-RA	VIT_214s0030g01760.1, VIT_214s0030g01760.4, VIT_214s0030g01760.2, VIT_214s0030g01760.3
OG0001837	AH021843-RA, AH012657-RA	VIT_208s0007g03830.2
OG0001838	AH012887-RA	VIT_207s0104g00900.1, VIT_207s0104g00900.2, VIT_207s0104g00900.5, VIT_207s0104g00900.7, VIT_207s0104g00900.6, VIT_205s0029g00900.1, VIT_207s0104g00900.4, VIT_207s0104g00900.3
OG0001839	AH012500-RA	VIT_208s0058g00940.4, VIT_208s0058g00940.5, VIT_208s0058g00940.2, VIT_208s0058g00940.9, VIT_208s0058g00940.6, VIT_208s0058g00940.1, VIT_208s0058g00940.3, VIT_208s0058g00940.7, VIT_208s0058g00940.8
OG0001841	AH010768-RA, AH007739-RA	VIT_214s0081g00440.1, VIT_214s0081g00440.2, VIT_214s0081g00440.4, VIT_214s0081g00440.3, VIT_214s0081g00440.5
OG0001842	AH009881-RA	VIT_219s0090g01160.1
OG0001843	AH020563-RA	VIT_205s0062g00310.1, VIT_205s0062g00270.1, VIT_205s0062g00300.1, VIT_205s0062g00700.1, VIT_205s0062g00710.1, VIT_205s0062g00350.1, VIT_209s0002g06590.1, VIT_205s0062g00540.1, VIT_205s0062g00520.1, VIT_205s0062g00460.1, VIT_205s0062g00570.1, VIT_205s0062g00430.1, VIT_205s0062g00590.1, VIT_205s0062g00470.1, VIT_205s0062g00400.1, VIT_205s0062g00640.1, VIT_205s0062g00630.1
OG0001844	AH012534-RA, AH012530-RA, AH012535-RA, AH000977-RA, AH012533-RA	VIT_210s0116g00060.1
OG0001844	AH015412-RA	VIT_206s0004g07410.1
OG0001845	AH022887-RA	VIT_204s0008g05070.1
OG0001846	AH022982-RA	VIT_213s0019g02050.2
OG0001847	AH019689-RA, AH011971-RA	VIT_216s0098g01720.2, VIT_216s0098g01720.1, VIT_216s0098g01720.3, VIT_216s0098g01720.4
OG0001848	AH013823-RA	VIT_201s0011g03470.1
OG0001850	AH019976-RA	VIT_205s0102g00070.1, VIT_205s0102g00070.2
OG0001850	AH011123-RA, AH007468-RA	VIT_200s0207g00060.1, VIT_200s0207g00020.1
OG0001851	AH017388-RA	VIT_217s0000g00320.1
OG0001852	AH012982-RA	VIT_207s0005g00950.2
OG0001852	AH005476-RA	VIT_201s0011g03920.1, VIT_201s0011g03920.2
OG0001853	AH005772-RA	VIT_204s0023g02130.1, VIT_218s0001g12830.1
OG0001854	AH016313-RA	VIT_213s0067g02170.1, VIT_213s0067g02170.3, VIT_213s0067g02170.2
OG0001854	AH012519-RA	VIT_208s0058g00750.5, VIT_208s0058g00750.6, VIT_208s0058g00750.2, VIT_208s0058g00750.3, VIT_208s0058g00750.1, VIT_208s0058g00750.7, VIT_208s0058g00750.4
OG0001855	AH005340-RA	VIT_213s0019g04660.2, VIT_213s0019g04660.5, VIT_213s0019g04660.6, VIT_213s0019g04660.7, VIT_213s0019g04660.4, VIT_213s0019g04660.3, VIT_213s0019g04660.1
OG0001856	AH008885-RA	VIT_218s0001g07640.1
OG0001857	AH019884-RA, AH007162-RA	VIT_205s0049g01860.2, VIT_205s0049g01860.1
OG0001857	AH022025-RA	VIT_207s0005g04220.1, VIT_207s0005g04220.2
