Orthogroup	A_hypochondriacus.proteins	A_thaliana.proteins
OG0000763	AH006858-RA, AH020328-RA	AT5G06770.2, AT5G06770.3, AT5G06770.4, AT5G06770.5, AT5G06770.6, AT5G06770.1, AT3G12130.1, AT3G12130.2
OG0000764	AH017810-RA, AH002593-RA	AT3G63300.1, AT3G63300.2
OG0000764	AH007057-RA, AH019831-RA	AT3G22810.3, AT3G22810.2, AT3G22810.1, AT4G14740.4, AT4G14740.1, AT4G14740.2, AT4G14740.3, AT5G43870.2, AT5G43870.1
OG0000765	AH007200-RA	AT4G14368.4, AT4G14368.2, AT4G14368.3, AT4G14368.1, AT3G23270.2, AT3G23270.1
OG0000765	AH008489-RA	AT5G42140.2, AT5G42140.1, AT1G76950.1
OG0000766	AH018851-RA	AT1G24620.1
OG0000766	AH022811-RA	AT1G66400.1
OG0000766	AH008900-RA	AT1G18210.1, AT1G18210.2, AT1G73630.1
OG0000767	AH005988-RA	AT5G10100.1, AT5G10100.4, AT5G10100.3, AT5G10100.2, AT5G65140.2, AT5G65140.3, AT5G65140.1, AT2G22190.1, AT2G22190.2, AT4G39770.1, AT4G39770.2
OG0000767	AH008768-RA	AT1G35910.1
OG0000768	AH000110-RA	AT4G24470.1, AT4G24470.2, AT4G24470.3
OG0000768	AH013475-RA, AH022257-RA	AT1G51600.1, AT1G51600.2, AT3G21175.1, AT3G21175.3, AT3G21175.2
OG0000769	AH001639-RA	AT1G49760.2, AT1G49760.1, AT4G34110.1
OG0000770	AH006069-RA, AH003720-RA	AT4G37080.4, AT4G37080.3, AT4G37080.2, AT4G37080.1
OG0000771	AH009264-RA	AT1G27680.1
OG0000775	AH014966-RA, AH014968-RA, AH014971-RA	AT4G22030.1, AT4G04480.1
OG0000776	AH015106-RA, AH021611-RA	AT1G11180.3, AT1G11180.2, AT1G11180.1, AT1G61250.1
OG0000777	AH004468-RA	AT3G26130.3, AT3G26130.1, AT3G26130.2, AT1G13130.1, AT3G26140.2, AT3G26140.3, AT3G26140.1, AT5G16700.1, AT5G17500.1
OG0000778	AH009023-RA, AH014232-RA, AH021136-RA	AT1G55130.1, AT3G13772.1
OG0000778	AH015337-RA	AT2G24170.1, AT2G24170.2
OG0000779	AH020846-RA	AT1G52342.1
OG0000779	AH004816-RA	AT1G67910.1, AT1G67910.2, AT1G24577.1
OG0000779	AH009785-RA	AT3G13227.1
OG0000780	AH014242-RA	AT2G19600.1
OG0000780	AH012291-RA	AT5G11800.1, AT5G51710.2, AT5G51710.1
OG0000781	AH012037-RA	AT4G27940.1
OG0000781	AH009600-RA	AT2G46320.4, AT2G46320.3, AT2G46320.2, AT2G46320.5, AT2G46320.1
OG0000782	AH004543-RA, AH005185-RA	AT5G43270.2, AT5G43270.3, AT5G43270.1
OG0000783	AH022321-RA	AT2G44310.1
OG0000784	AH015189-RA, AH015190-RA, AH015191-RA	AT1G61680.2, AT1G61680.1
OG0000785	AH020429-RA	AT3G10160.1
OG0000785	AH016449-RA, AH022998-RA	AT5G05980.1, AT5G05980.2
OG0000786	AH017173-RA	AT1G67640.1, AT1G24400.1, AT1G71680.1
OG0000787	AH018050-RA, AH011299-RA	AT4G23740.2, AT4G23740.1
OG0000788	AH017164-RA	AT5G63410.1
OG0000789	AH015777-RA	AT5G39785.1, AT5G39785.3, AT5G39785.2, AT5G39785.4, AT5G39785.5
OG0000789	AH004385-RA, AH005061-RA, AH003838-RA	AT1G69610.3, AT1G69610.1, AT1G69610.2
OG0000790	AH010290-RA, AH004950-RA, AH006330-RA, AH006331-RA, AH013905-RA, AH013942-RA, AH000400-RA	AT3G57720.1, AT3G57710.1, AT3G57770.1, AT3G57700.1
OG0000791	AH000888-RA	AT5G64170.2, AT5G64170.3, AT5G64170.1
OG0000797	AH010861-RA	AT1G25230.3, AT1G25230.1, AT1G25230.2, AT2G01890.2, AT2G01890.1, AT2G01890.3, AT1G14700.3, AT1G14700.1, AT1G14700.2, AT1G14700.4
OG0000798	AH014634-RA, AH014633-RA, AH021184-RA, AH021186-RA, AH021187-RA	AT5G22500.2, AT5G22500.1, AT3G44540.2, AT3G44540.3, AT3G44540.1
OG0000799	AH012092-RA, AH020136-RA, AH011826-RA	AT4G14240.1, AT4G14240.2, AT4G14240.3
OG0000800	AH007496-RA	AT5G06100.5, AT5G06100.2, AT5G06100.4, AT5G06100.3, AT5G06100.1, AT3G11440.4, AT3G11440.3, AT3G11440.1, AT3G11440.2
OG0000804	AH020336-RA, AH006835-RA	AT1G49950.2, AT1G49950.1, AT1G49950.3
OG0000805	AH020409-RA	AT3G57330.1, AT3G57330.2, AT2G41560.3, AT2G41560.2, AT2G41560.4, AT2G41560.1
OG0000806	AH012889-RA	AT5G35960.1, AT5G35960.2
OG0000807	AH017272-RA	AT2G47160.1, AT2G47160.2, AT3G62270.1
OG0000808	AH004994-RA, AH011442-RA	AT3G17270.1
OG0000809	AH000804-RA, AH002275-RA	AT1G75950.1, AT5G42190.1
OG0000810	AH013297-RA	AT3G13730.2, AT3G13730.1
OG0000810	AH005817-RA, AH005816-RA	AT4G36380.1, AT4G36380.2
OG0000811	AH008688-RA, AH008690-RA, AH008685-RA	AT4G40070.1
OG0000811	AH005856-RA	AT1G72200.1, AT1G22500.1
OG0000811	AH010545-RA, AH015476-RA	AT5G27420.1, AT3G05200.1
OG0000812	AH001767-RA, AH000548-RA	AT4G34680.2, AT4G34680.1
OG0000812	AH003780-RA	AT4G36240.1
OG0000813	AH003922-RA, AH005848-RA	AT2G22490.1, AT2G22490.2, AT5G65420.1, AT5G65420.3, AT5G65420.4, AT5G65420.2, AT5G10440.2, AT5G10440.1
OG0000814	AH017926-RA	AT3G48260.1, AT3G48260.2
OG0000815	AH005736-RA, AH003846-RA	AT5G65810.1, AT3G49720.2, AT3G49720.3, AT3G49720.1
OG0000816	AH000596-RA	AT3G13445.2, AT1G55520.3
OG0000817	AH018933-RA	AT5G42770.1, AT5G42770.2, AT5G42770.3
OG0000817	AH018932-RA	AT5G66550.3, AT5G66550.4, AT5G66550.2, AT5G66550.1, AT2G25500.1
OG0000818	AH008753-RA	AT1G78160.1, AT1G78160.2, AT1G22240.1, AT4G08840.1, AT1G35730.1, AT1G35730.2, AT1G35750.1
OG0000819	AH000430-RA, AH001272-RA	AT4G15200.1
OG0000819	AH009950-RA, AH008145-RA	AT5G54650.2, AT5G54650.1
OG0000820	AH005304-RA, AH003270-RA, AH010363-RA	AT5G63700.1, AT5G63700.2
OG0000821	AH022237-RA, AH013520-RA	AT1G16710.4, AT1G16710.6, AT1G16710.5, AT1G16710.7, AT1G16710.9, AT1G16710.10, AT1G16710.3, AT1G16710.8, AT1G16710.2, AT1G16710.1, AT1G79000.1, AT1G79000.2, AT1G79000.3
OG0000822	AH010211-RA	AT1G78570.1
OG0000823	AH013343-RA	AT1G54217.6, AT1G54217.5, AT1G54217.1, AT1G54217.3, AT1G54217.4, AT1G54217.7, AT1G54217.2, AT1G54217.8
OG0000823	AH014547-RA	AT5G57060.1, AT5G57060.9, AT5G57060.7, AT5G57060.4, AT5G57060.5, AT5G57060.6, AT5G57060.3, AT5G57060.2, AT5G57060.8, AT4G26060.1
OG0000824	AH012522-RA, AH021755-RA	AT2G38470.1
OG0000824	AH022443-RA	AT2G30250.1, AT5G07100.5, AT5G07100.3, AT5G07100.2, AT5G07100.4, AT5G07100.1
OG0000825	AH015236-RA	AT1G28260.1, AT1G28260.2
OG0000826	AH011375-RA, AH018204-RA	AT2G46870.1, AT3G61970.1, AT1G01030.2, AT1G01030.1
OG0000826	AH012571-RA	AT2G36080.3, AT2G36080.1, AT2G36080.2, AT2G36080.4, AT5G06250.2, AT5G06250.4, AT5G06250.5, AT5G06250.3, AT5G06250.1, AT3G11580.1, AT3G11580.3, AT3G11580.2, AT3G11580.4, AT3G11580.5
OG0000827	AH017859-RA	AT4G02120.5
OG0000828	AH009026-RA	AT1G34260.4, AT1G34260.3, AT1G34260.2, AT1G34260.1
OG0000835	AH011074-RA	AT2G26760.1
OG0000835	AH006649-RA	AT5G06150.1, AT4G37490.1
OG0000837	AH010846-RA, AH002544-RA, AH017848-RA, AH017846-RA	AT1G03120.1, AT1G03120.2
OG0000837	AH007095-RA	AT3G22500.1, AT3G22490.1
OG0000839	AH020489-RA, AH006669-RA	AT2G41140.1, AT3G56760.1
OG0000839	AH003706-RA, AH006064-RA	AT3G50530.1, AT3G50530.2
OG0000840	AH015521-RA	ATMG01190.1, AT2G07698.1
OG0000840	AH015438-RA	ATCG00120.1
OG0000842	AH021725-RA, AH012476-RA, AH021726-RA, AH021724-RA	AT3G51620.1, AT3G51620.3, AT3G51620.2
OG0000844	AH005672-RA	AT5G65460.3, AT5G65460.2, AT5G65460.6, AT5G65460.4, AT5G65460.1, AT5G65460.5, AT5G10470.2, AT5G10470.1
OG0000845	AH004963-RA	AT4G35780.1, AT2G17700.1
OG0000845	AH002312-RA	AT4G38470.3, AT4G38470.2, AT4G38470.1
OG0000847	AH023652-RA	AT1G20030.2, AT1G20030.1, AT1G75800.1
OG0000847	AH006439-RA	AT4G36010.2, AT4G36010.1, AT2G17860.1
OG0000848	AH003979-RA, AH005908-RA	AT5G66600.9, AT5G66600.1, AT5G66600.4, AT5G66600.5, AT5G66600.10, AT5G66600.15, AT5G66600.8, AT5G66600.13, AT5G66600.6, AT5G66600.12, AT5G66600.11, AT5G66600.14, AT5G66600.3, AT5G66600.2, AT5G66600.7
OG0000849	AH013323-RA	AT1G73860.2, AT1G73860.1
OG0000849	AH003178-RA, AH018613-RA	AT1G63640.1, AT1G63640.4, AT1G63640.2, AT1G63640.3, AT1G63640.5, AT5G41310.1
OG0000850	AH006044-RA, AH006043-RA	AT4G37160.2, AT4G37160.1, AT2G23630.2, AT2G23630.1
OG0000850	AH003715-RA, AH003717-RA, AH006045-RA	AT5G66920.1
OG0000851	AH018409-RA	AT5G46690.1, AT5G46690.2
OG0000851	AH010546-RA	AT1G22490.2, AT1G22490.1, AT1G72210.2, AT1G72210.1
OG0000852	AH011081-RA, AH007502-RA	AT2G45100.3, AT2G45100.2, AT1G30455.1, AT2G45100.1, AT2G01280.3, AT2G01280.1, AT2G01280.2, AT3G09360.3, AT3G09360.1, AT3G09360.2
OG0000853	AH022685-RA	AT5G58800.2, AT5G58800.1
OG0000855	AH008109-RA, AH009969-RA	AT3G20640.3, AT3G20640.2, AT3G20640.1, AT3G20640.4
OG0000856	AH020948-RA, AH013489-RA	AT4G25880.4, AT4G25880.1, AT4G25880.5, AT4G25880.2, AT4G25880.3
OG0000857	AH023258-RA, AH016252-RA	AT5G25220.2, AT5G25220.1, AT5G11060.1
OG0000858	AH020850-RA	AT3G24560.2, AT3G24560.1, AT3G24560.3
OG0000859	AH001981-RA, AH000602-RA	AT1G52570.2, AT1G52570.3, AT1G52570.1, AT3G15730.1
OG0000860	AH016008-RA	AT4G31410.2, AT4G31410.3, AT4G31410.1
OG0000861	AH018074-RA, AH018073-RA, AH018072-RA	AT4G23810.1, AT4G11070.1, AT4G11070.2
OG0000861	AH009585-RA	AT5G24110.1
OG0000862	AH022395-RA, AH019562-RA	AT1G14650.1, AT1G14650.2, AT1G14650.3
OG0000863	AH002994-RA	AT3G53940.2, AT3G53940.1, AT2G37890.1, AT3G55640.3, AT3G55640.2, AT3G55640.4, AT3G55640.1
OG0000864	AH001207-RA, AH000128-RA	AT5G48160.1, AT5G48160.2, AT3G07780.1, AT3G07780.3, AT3G07780.2
OG0000865	AH001111-RA, AH001112-RA	AT1G30330.2, AT1G30330.3, AT1G30330.1
OG0000866	AH018925-RA	AT5G57940.3, AT5G57940.2, AT5G57940.1, AT2G23980.4, AT2G23980.9, AT2G23980.5, AT2G23980.3, AT2G23980.7, AT2G23980.2, AT2G23980.8, AT2G23980.10, AT2G23980.1, AT2G23980.6, AT4G30560.4, AT4G30560.1, AT4G30560.3, AT4G30560.2, AT4G30560.5
OG0000867	AH022164-RA	AT2G32910.1
OG0000868	AH002233-RA	AT2G21120.1, AT4G38730.1
OG0000869	AH011103-RA	AT1G65580.2, AT1G65580.1
OG0000869	AH011740-RA, AH020011-RA	AT2G43900.1, AT2G43900.2, AT2G31830.1, AT2G31830.2, AT1G05630.3, AT1G05630.1, AT1G05630.2
OG0000870	AH002834-RA, AH017574-RA	AT3G47500.1, AT5G62430.1
OG0000871	AH004736-RA, AH004632-RA	AT5G51080.3, AT5G51080.1, AT5G51080.2, AT1G24090.1
OG0000871	AH015981-RA	AT3G01410.2, AT3G01410.1
OG0000872	AH022766-RA, AH016596-RA	AT3G02250.1, AT5G15740.1
OG0000878	AH011042-RA	AT5G19390.4, AT5G19390.3, AT5G19390.1, AT5G19390.2
OG0000878	AH008829-RA	AT4G24580.3, AT4G24580.2, AT4G24580.1
OG0000879	AH016765-RA, AH023656-RA	AT3G55040.1
OG0000880	AH012310-RA, AH012270-RA	AT5G13620.1, AT1G49290.1
OG0000880	AH023198-RA	AT2G44925.1
OG0000881	AH004795-RA	AT1G10657.1, AT1G10657.4, AT1G10657.3, AT1G10657.2
OG0000881	AH023499-RA	AT3G28990.1, AT3G55240.1, AT5G02580.2, AT5G02580.1, AT5G02580.3
OG0000882	AH019104-RA	AT2G43160.2, AT2G43160.1, AT2G43160.3, AT2G43160.5, AT2G43160.4, AT3G59290.1
OG0000883	AH021763-RA, AH012539-RA	AT4G14160.2, AT4G14160.1, AT4G14160.3, AT3G23660.2, AT3G23660.1, AT1G05520.1
OG0000884	AH002178-RA	AT5G64240.2, AT5G64240.1
OG0000884	AH009347-RA	AT1G02170.1
OG0000885	AH017017-RA, AH017016-RA, AH017019-RA, AH017018-RA, AH017038-RA, AH017020-RA, AH017021-RA	AT5G10625.1, AT5G24860.1, AT5G24860.3, AT5G24860.2, AT4G31380.1
OG0000886	AH006843-RA	AT5G45190.3, AT5G45190.2, AT5G45190.1, AT4G19600.1
OG0000887	AH011981-RA, AH019684-RA	AT5G53350.1
OG0000887	AH007691-RA	AT1G33360.1
OG0000887	AH004226-RA	AT5G49840.4, AT5G49840.2, AT5G49840.1, AT5G49840.3
OG0000889	AH009949-RA	AT5G54670.3, AT5G54670.2, AT5G54670.1
OG0000889	AH021555-RA, AH015202-RA	AT4G21270.1
OG0000890	AH000249-RA, AH001413-RA	AT2G31010.1, AT2G31010.2, AT3G58640.1, AT3G58640.2
OG0000891	AH021652-RA, AH015230-RA	AT1G28240.1
OG0000892	AH019643-RA	AT2G46410.1, AT1G01380.2, AT1G01380.3, AT1G01380.1, AT4G01060.3, AT4G01060.1, AT4G01060.2
OG0000893	AH009553-RA	AT2G46500.1, AT2G46500.2, AT2G46500.3
OG0000893	AH018103-RA, AH011328-RA	AT1G64460.1
OG0000893	AH011986-RA, AH019680-RA	AT5G24240.1, AT5G24240.2
OG0000894	AH001969-RA	AT3G15800.1
OG0000894	AH014035-RA, AH020718-RA	AT2G26600.1, AT2G26600.2
OG0000895	AH018045-RA, AH012047-RA, AH019629-RA, AH019628-RA, AH012049-RA, AH012046-RA, AH019630-RA	AT3G59140.1
OG0000896	AH009663-RA	AT4G00335.2, AT4G00335.1, AT4G00335.3
OG0000896	AH017994-RA	AT5G41350.3, AT5G41350.1, AT5G41350.2
OG0000897	AH014315-RA, AH021089-RA, AH013392-RA, AH022341-RA	AT1G19180.3, AT1G19180.1, AT1G19180.2, AT1G74950.2, AT1G74950.1
OG0000898	AH009533-RA, AH019700-RA, AH011948-RA	AT5G53500.2, AT5G53500.1, AT5G24320.1, AT5G24320.2
OG0000899	AH003744-RA, AH006115-RA, AH016676-RA	AT4G02630.1
OG0000899	AH009647-RA	AT4G01330.1, AT4G01330.2, AT4G01330.3, AT1G01540.1, AT1G01540.2
OG0000900	AH019358-RA, AH009348-RA, AH014886-RA	AT3G60240.4, AT3G60240.3, AT3G60240.2
OG0000901	AH002075-RA	AT1G79910.2, AT1G79910.3, AT1G79910.1
OG0000901	AH014198-RA	AT4G32350.2, AT4G32350.3, AT4G32350.1
OG0000903	AH021948-RA	AT2G37290.2, AT2G37290.1, AT2G37290.3
OG0000904	AH021849-RA, AH012664-RA	AT5G03730.1, AT5G03730.2
OG0000905	AH017347-RA	AT5G50740.3, AT5G50740.5, AT5G50740.1
OG0000906	AH013363-RA, AH022216-RA, AH013361-RA	AT5G60770.1, AT1G08090.1, AT1G08100.1
OG0000906	AH004807-RA	AT1G12940.1
OG0000907	AH007372-RA	AT3G25585.4, AT3G25585.1, AT3G25585.2, AT3G25585.6, AT3G25585.5, AT3G25585.3, AT1G13560.2, AT1G13560.3, AT1G13560.1
OG0000908	AH023009-RA, AH016455-RA	AT3G46880.1, AT3G46880.2, AT5G59080.2, AT5G59080.1
OG0000908	AH022698-RA	AT5G02020.2, AT5G02020.1
OG0000909	AH014741-RA	AT1G29890.1, AT1G29890.2, AT1G29890.3, AT2G34410.1, AT2G34410.2, AT2G34410.3, AT5G46340.2, AT5G46340.1
OG0000909	AH019801-RA	AT3G06550.2, AT3G06550.1, AT3G06550.3
OG0000910	AH008532-RA	AT5G64740.1, AT5G09870.1, AT4G39350.1, AT2G21770.1
OG0000911	AH014347-RA	AT3G17690.1, AT3G17690.3, AT3G17690.2, AT3G17700.2, AT3G17700.1
OG0000912	AH017607-RA	AT3G47710.1
OG0000912	AH015760-RA	AT5G39860.1, AT3G28857.1
OG0000912	AH005089-RA	AT1G26945.1
OG0000913	AH004772-RA	AT1G60200.2, AT1G60200.3, AT1G60200.4, AT1G60200.1
OG0000914	AH005560-RA, AH003998-RA	AT1G26570.1
OG0000914	AH015826-RA, AH015827-RA	AT5G39320.1, AT3G29360.1, AT3G29360.2, AT5G15490.1
OG0000915	AH004444-RA	AT1G70550.2, AT1G10750.2
OG0000915	AH002509-RA, AH017951-RA	AT5G50150.1
OG0000915	AH004841-RA	AT1G70550.1, AT1G23340.1, AT1G23340.2, AT1G10750.1
OG0000916	AH019177-RA	AT5G16410.1, AT1G32910.1, AT1G78990.1
OG0000920	AH019413-RA	AT5G52330.2, AT5G52330.1, AT5G52330.3, AT5G52330.4, AT5G43560.2, AT5G43560.1
OG0000921	AH006694-RA, AH006691-RA, AH020449-RA, AH006692-RA, AH006690-RA, AH020451-RA, AH006693-RA	AT3G56970.1, AT3G56980.1, AT2G41240.1, AT2G41240.2, AT5G04150.1, AT5G04150.2
OG0000922	AH010767-RA	AT1G08800.2, AT1G08800.4, AT1G08800.1, AT1G08800.3
OG0000922	AH017761-RA	AT2G30690.2, AT2G30690.1
OG0000923	AH015441-RA	ATCG00150.1
OG0000923	AH009255-RA	ATCG00160.1
OG0000924	AH020514-RA	AT5G47430.2, AT5G47430.3, AT5G47430.1, AT5G47430.6, AT5G47430.4, AT5G47430.5, AT4G17410.6, AT4G17410.4, AT4G17410.5, AT4G17410.1, AT4G17410.3, AT4G17410.2
OG0000926	AH010119-RA, AH008023-RA	AT1G53300.1, AT3G14950.1
OG0000927	AH013241-RA	AT5G22400.1
OG0000927	AH009507-RA	AT2G46710.1
OG0000927	AH021792-RA, AH012594-RA	AT1G08340.1, AT3G11490.1
OG0000928	AH010474-RA, AH007564-RA	AT1G09020.1
OG0000929	AH006556-RA, AH006557-RA	AT4G33860.1, AT4G33840.1, AT4G33830.1
OG0000930	AH016746-RA	AT2G38660.1, AT2G38660.3
OG0000930	AH009244-RA	AT4G00620.1, AT4G00600.1
OG0000931	AH020923-RA	AT4G19720.1, AT4G19740.1, AT4G19730.1, AT4G19750.1, AT4G19760.1, AT4G19770.1, AT4G19800.1, AT4G19820.1, AT4G19810.2, AT4G19810.1
OG0000932	AH007497-RA	AT3G56580.1, AT3G56580.3, AT3G56580.2, AT2G40830.3, AT2G40830.1, AT2G40830.4, AT2G40830.2
OG0000933	AH020094-RA	AT3G22400.1
OG0000933	AH007560-RA	AT1G55020.1
OG0000935	AH005938-RA, AH003615-RA, AH023717-RA	AT2G17780.3, AT2G17780.9, AT2G17780.8, AT2G17780.4, AT2G17780.7, AT2G17780.1, AT2G17780.6, AT2G17780.10, AT2G17780.5, AT2G17780.2, AT4G35920.2, AT4G35920.3, AT4G35920.5, AT4G35920.1, AT4G35920.4
OG0000936	AH005683-RA, AH010172-RA	AT4G01600.2, AT4G01600.1, AT4G01600.3
OG0000936	AH005852-RA, AH003920-RA	AT2G22475.1, AT2G22475.2, AT4G40100.1
OG0000937	AH009402-RA	AT1G47490.1, AT1G47500.2, AT1G47490.2, AT1G47500.1
OG0000938	AH009012-RA, AH023605-RA	AT1G36990.1
OG0000939	AH021704-RA	AT2G30290.1, AT2G30290.2
OG0000939	AH014631-RA, AH021188-RA	AT2G14720.2, AT2G14720.1, AT2G14740.1, AT2G14740.2
OG0000940	AH022396-RA, AH012637-RA, AH021837-RA	AT3G44590.1, AT3G44590.2, AT2G27710.2, AT2G27710.3, AT2G27710.4, AT2G27710.1, AT2G27720.3, AT2G27720.2, AT2G27720.1, AT2G27720.4
OG0000941	AH018526-RA, AH003240-RA	AT4G19420.3
OG0000942	AH002457-RA	AT1G75060.2, AT1G75060.3, AT1G75060.1, AT1G19330.3, AT1G19330.1, AT1G19330.2
OG0000943	AH011889-RA	AT1G09980.3, AT1G09980.1, AT1G09980.2, AT1G58350.4, AT1G58350.1, AT1G58350.3, AT1G58350.2
OG0000944	AH011878-RA, AH019730-RA, AH003805-RA	AT1G75390.1, AT1G75390.2, AT4G34590.1
OG0000945	AH003871-RA, AH005703-RA	AT4G37640.1, AT2G22950.1
OG0000946	AH009587-RA	AT4G01070.2, AT4G01070.1, AT1G01390.1, AT1G01390.2, AT1G01420.1, AT1G01420.2
OG0000947	AH009769-RA, AH014875-RA	AT5G55630.1, AT5G55630.2
OG0000948	AH017013-RA, AH017012-RA	AT1G32230.3, AT1G32230.4, AT1G32230.5, AT1G32230.2, AT1G32230.6, AT1G32230.1, AT2G35510.3, AT2G35510.1, AT2G35510.2
OG0000949	AH004913-RA, AH017175-RA, AH003005-RA, AH004500-RA	AT3G04120.1, AT1G13440.1, AT1G13440.2
OG0000950	AH016044-RA, AH017099-RA	AT5G12080.2, AT5G12080.3, AT5G12080.1, AT5G19520.1, AT5G19520.2
OG0000951	AH016017-RA	AT5G24810.2, AT5G24810.1
OG0000952	AH005335-RA, AH004155-RA	AT1G24764.1, AT1G24764.3, AT1G24764.2, AT1G68060.1
OG0000953	AH023551-RA	AT4G19960.1, AT4G19960.4, AT4G19960.3, AT4G19960.2
OG0000953	AH008557-RA	AT2G35060.3, AT2G35060.2, AT2G35060.4, AT2G35060.1, AT1G31120.1
OG0000954	AH018915-RA, AH003110-RA	AT2G35840.3, AT2G35840.4, AT2G35840.1, AT2G35840.2, AT1G51420.2, AT1G51420.3, AT1G51420.4, AT1G51420.1
OG0000955	AH012757-RA	AT3G09870.1
OG0000955	AH015201-RA	AT2G28085.1
OG0000956	AH012449-RA	AT4G32010.1, AT4G32010.2
OG0000956	AH013227-RA	AT2G30470.1
OG0000958	AH021015-RA	AT5G44210.1
OG0000958	AH010083-RA	AT1G28370.2, AT1G28370.1, AT3G15210.1, AT1G53170.1
OG0000960	AH008839-RA	AT2G01710.2, AT2G01710.1
OG0000960	AH000720-RA, AH002401-RA	AT5G64360.3, AT5G64360.2, AT5G64360.7, AT5G64360.5, AT5G64360.4, AT5G64360.6, AT5G64360.1, AT5G09540.1
OG0000962	AH012195-RA	AT5G61450.1
OG0000963	AH002202-RA, AH002201-RA, AH000879-RA	AT1G75750.2, AT1G75750.1
OG0000963	AH009397-RA	AT4G09610.1, AT4G09600.1
OG0000964	AH002515-RA	AT3G48240.1, AT5G63130.1, AT5G63130.2
OG0000964	AH004814-RA	AT3G26510.5, AT3G26510.4, AT3G26510.6, AT3G26510.7, AT3G26510.1, AT3G26510.2, AT3G26510.3
OG0000965	AH004666-RA	AT1G10410.1, AT1G59650.1
OG0000966	AH022855-RA	AT1G73780.1
OG0000966	AH008995-RA, AH016516-RA, AH022854-RA, AH016517-RA, AH022853-RA	AT3G18280.1, AT3G18280.2, AT1G48750.1
OG0000967	AH005511-RA	AT2G03810.2, AT2G03810.4, AT2G03810.7, AT2G03810.1, AT2G03810.5, AT2G03810.3, AT2G03810.6
OG0000974	AH021123-RA	AT5G13640.1, AT5G13640.2, AT5G13640.3
OG0000976	AH020156-RA, AH007036-RA	AT3G21510.1
OG0000977	AH011368-RA, AH018193-RA	AT1G32860.1
OG0000978	AH010993-RA, AH007703-RA	AT5G12840.2, AT5G12840.4, AT5G12840.3, AT5G12840.1, AT5G12840.5, AT3G20910.1
OG0000980	AH017114-RA	AT4G29340.1, AT2G19770.1
OG0000980	AH014460-RA	AT5G56600.1, AT2G19760.1, AT4G29350.1
OG0000982	AH007794-RA, AH010320-RA	AT5G04870.1
OG0000982	AH018911-RA	AT2G38910.1
OG0000983	AH022409-RA	AT1G08350.1, AT1G08350.2, AT1G08350.4, AT1G08350.3
OG0000984	AH010822-RA	AT1G08770.1
OG0000984	AH013291-RA, AH022389-RA, AH013293-RA	AT3G13720.1, AT3G13710.1, AT1G55190.1
OG0000986	AH006432-RA	AT4G36040.1, AT2G17880.1
OG0000986	AH016762-RA, AH023651-RA, AH023650-RA	AT3G13310.1
OG0000987	AH016694-RA, AH008329-RA, AH001718-RA	AT4G38860.1, AT2G21220.1, AT4G34760.1
OG0000989	AH016825-RA	AT5G42250.1
OG0000990	AH008076-RA	AT1G54110.1, AT1G54110.3, AT1G54110.2, AT3G55600.1, AT3G55600.2
OG0000991	AH001725-RA	AT2G21240.2, AT2G21240.1, AT4G38910.2, AT4G38910.1
OG0000991	AH023554-RA	AT5G42520.1, AT5G42520.2, AT5G42520.3
OG0000992	AH014783-RA, AH021360-RA	AT4G18910.1
OG0000992	AH016563-RA	AT5G37810.1, AT5G37820.1, AT5G37820.2
OG0000993	AH007809-RA, AH010674-RA	AT5G04980.4, AT5G04980.1, AT5G04980.3, AT5G04980.2
OG0000993	AH005946-RA	AT5G65090.3, AT5G65090.1, AT5G65090.2
OG0000994	AH023204-RA, AH016289-RA, AH014028-RA, AH016288-RA, AH014027-RA, AH016293-RA	AT4G32295.4, AT4G32295.3, AT4G32295.2, AT4G32295.1
OG0000995	AH020987-RA	AT2G18750.2, AT2G18750.1, AT2G18750.3, AT5G57580.1
OG0000997	AH023062-RA, AH016366-RA	AT4G00430.2
OG0000998	AH019706-RA, AH008490-RA	AT1G21320.1, AT1G21320.4, AT1G21320.3, AT1G21320.5, AT1G21320.2, AT1G76940.3, AT1G76940.1, AT1G76940.2
OG0000999	AH001952-RA	AT3G15920.1
OG0001000	AH020218-RA, AH006967-RA	AT5G43930.2, AT5G43930.4, AT5G43930.1, AT5G43930.3, AT1G04140.2, AT1G04140.1
OG0001001	AH009594-RA	AT2G46370.3, AT2G46370.4, AT2G46370.1, AT2G46370.2
OG0001002	AH014418-RA, AH014419-RA	AT5G57240.4, AT5G57240.3, AT5G57240.5, AT5G57240.2, AT5G57240.1, AT4G25850.1, AT4G25850.2, AT4G25850.3, AT4G25860.2, AT4G25860.1
OG0001003	AH023088-RA	AT2G38180.1, AT3G11210.1
OG0001004	AH003252-RA, AH005022-RA	AT3G02370.2, AT3G02370.4, AT3G02370.3, AT3G02370.1, AT3G57360.1
OG0001005	AH009702-RA	AT3G61310.1
OG0001006	AH002018-RA, AH000990-RA	AT1G15460.1, AT1G15460.4, AT1G15460.2, AT1G15460.3, AT1G74810.4, AT1G74810.1, AT1G74810.7
OG0001006	AH015366-RA	AT4G32510.1, AT4G32510.2, AT5G25430.1
OG0001007	AH009252-RA	AT3G61240.2, AT3G61240.1, AT2G45810.1, AT4G00660.2, AT4G00660.1
OG0001008	AH018037-RA	AT1G64140.1
