Orthogroup	A_coerulea.proteins	A_hypochondriacus.proteins
OG0001745	Aqcoe6G099300.1.p	AH005579-RA
OG0001745	Aqcoe5G343700.1.p, Aqcoe6G224400.1.p	AH019784-RA, AH020090-RA
OG0001746	Aqcoe6G211100.1.p	AH000827-RA, AH002246-RA, AH006438-RA, AH006435-RA
OG0001747	Aqcoe5G130200.1.p	AH016794-RA, AH023706-RA
OG0001748	Aqcoe6G286600.1.p	AH014624-RA, AH021191-RA, AH008397-RA, AH005645-RA
OG0001749	Aqcoe6G147800.1.p, Aqcoe6G148000.1.p	AH003723-RA
OG0001750	Aqcoe6G174800.1.p, Aqcoe6G174900.1.p	AH000924-RA
OG0001750	Aqcoe5G120600.3.p, Aqcoe5G120600.1.p, Aqcoe5G120600.2.p, Aqcoe5G120600.4.p	AH023742-RA
OG0001751	Aqcoe6G217000.1.p, Aqcoe6G216900.1.p, Aqcoe6G217000.2.p	AH005935-RA, AH003620-RA
OG0001751	Aqcoe5G284800.1.p	AH023716-RA
OG0001752	Aqcoe6G189000.1.p	AH023669-RA
OG0001753	Aqcoe6G121900.1.p	AH005755-RA, AH003824-RA
OG0001754	Aqcoe6G009300.1.p, Aqcoe6G009300.3.p, Aqcoe6G009300.2.p	AH008700-RA
OG0001755	Aqcoe5G414700.5.p, Aqcoe5G414700.2.p, Aqcoe5G414700.4.p, Aqcoe5G414700.3.p, Aqcoe5G414700.1.p, Aqcoe6G054600.5.p, Aqcoe6G054600.2.p, Aqcoe6G054600.1.p, Aqcoe6G054600.4.p	AH008484-RA
OG0001756	Aqcoe4G051600.1.p	AH018070-RA, AH008950-RA
OG0001757	Aqcoe6G069400.1.p, Aqcoe6G069300.1.p	AH002419-RA
OG0001757	Aqcoe6G115100.1.p, Aqcoe6G069500.1.p	AH008748-RA
OG0001758	Aqcoe6G169200.4.p, Aqcoe6G169200.3.p, Aqcoe6G169200.1.p, Aqcoe6G169200.2.p, Aqcoe6G169000.1.p	AH003598-RA
OG0001759	Aqcoe6G123700.1.p, Aqcoe6G123700.2.p	AH005763-RA
OG0001759	Aqcoe5G231400.1.p	AH001797-RA, AH000576-RA
OG0001761	Aqcoe4G036400.1.p, Aqcoe1G221700.1.p	AH014806-RA, AH000422-RA
OG0001762	Aqcoe3G077900.1.p	AH010692-RA
OG0001762	Aqcoe4G029100.1.p	AH001432-RA
OG0001763	Aqcoe5G289400.1.p	AH006324-RA, AH003477-RA
OG0001763	Aqcoe4G312000.1.p, Aqcoe4G312000.4.p, Aqcoe4G312000.3.p, Aqcoe4G312000.5.p, Aqcoe4G312000.2.p	AH001209-RA
OG0001764	Aqcoe4G040400.1.p	AH021319-RA
OG0001764	Aqcoe1G197800.4.p, Aqcoe1G197800.3.p, Aqcoe1G197800.5.p, Aqcoe1G197800.1.p, Aqcoe1G197800.2.p, Aqcoe1G197900.1.p	AH007966-RA
OG0001765	Aqcoe5G133700.1.p, Aqcoe4G166200.1.p	AH016685-RA, AH008399-RA
OG0001766	Aqcoe4G163300.1.p	AH020380-RA, AH007582-RA, AH007584-RA, AH007585-RA
OG0001767	Aqcoe7G042500.1.p	AH018671-RA, AH019542-RA, AH012369-RA
OG0001768	Aqcoe7G415700.2.p, Aqcoe7G415700.1.p	AH002166-RA
OG0001769	Aqcoe7G242400.1.p	AH016997-RA
OG0001769	Aqcoe7G443100.1.p	AH017080-RA, AH021065-RA
OG0001770	Aqcoe1G464800.1.p	AH020278-RA
OG0001770	Aqcoe7G434100.1.p	AH014561-RA, AH021126-RA
OG0001771	Aqcoe7G391400.2.p, Aqcoe7G391400.1.p, Aqcoe7G216100.1.p	AH001996-RA, AH014069-RA, AH020762-RA, AH014148-RA, AH023801-RA
OG0001772	Aqcoe7G296500.1.p, Aqcoe7G296500.2.p	AH014436-RA, AH013479-RA
OG0001773	Aqcoe7G010600.9.p, Aqcoe7G010600.5.p, Aqcoe7G010600.1.p, Aqcoe7G010600.6.p, Aqcoe7G010600.4.p, Aqcoe7G010600.2.p, Aqcoe7G010600.7.p, Aqcoe7G010600.3.p, Aqcoe7G010600.8.p	AH018095-RA
OG0001774	Aqcoe5G422200.1.p, Aqcoe7G055000.1.p, Aqcoe5G421900.1.p	AH018716-RA, AH009193-RA, AH020811-RA
OG0001775	Aqcoe7G023700.1.p	AH014348-RA, AH014349-RA, AH021165-RA
OG0001776	Aqcoe7G113100.1.p, Aqcoe7G113200.1.p	AH007741-RA
OG0001777	Aqcoe5G468600.3.p, Aqcoe5G468600.2.p, Aqcoe5G468600.1.p, Aqcoe7G004300.2.p, Aqcoe7G004300.4.p, Aqcoe7G004300.1.p, Aqcoe7G004300.8.p, Aqcoe7G004300.5.p, Aqcoe7G004300.3.p, Aqcoe7G004300.6.p, Aqcoe7G004300.7.p	AH009523-RA
OG0001778	Aqcoe7G091500.2.p, Aqcoe7G091500.3.p, Aqcoe7G091500.1.p	AH011462-RA, AH018239-RA
OG0001779	Aqcoe7G284600.2.p, Aqcoe7G284600.1.p, Aqcoe7G284600.3.p	AH020944-RA
OG0001780	Aqcoe7G026500.1.p	AH017996-RA, AH011263-RA, AH017997-RA
OG0001781	Aqcoe7G038400.1.p	AH018651-RA
OG0001781	Aqcoe1G087800.1.p	AH023040-RA
OG0001782	Aqcoe1G144800.1.p, Aqcoe7G027000.1.p, Aqcoe7G027000.2.p	AH007490-RA, AH002141-RA
OG0001783	Aqcoe7G409900.1.p, Aqcoe7G409900.2.p, Aqcoe7G409900.3.p	AH002965-RA
OG0001784	Aqcoe7G304800.1.p, Aqcoe7G304800.2.p	AH002825-RA, AH021159-RA
OG0001785	Aqcoe7G125100.1.p	AH014213-RA
OG0001786	Aqcoe1G177000.3.p, Aqcoe1G177000.1.p, Aqcoe1G177000.2.p, Aqcoe1G177100.1.p, Aqcoe1G176900.1.p	AH012088-RA, AH019612-RA, AH012087-RA, AH012086-RA
OG0001787	Aqcoe1G068500.1.p	AH013870-RA
OG0001788	Aqcoe1G286400.1.p	AH021463-RA, AH009880-RA
OG0001789	Aqcoe1G316600.1.p	AH015084-RA
OG0001789	Aqcoe1G426600.1.p	AH000691-RA, AH000692-RA, AH002448-RA, AH000690-RA
OG0001790	Aqcoe1G200800.1.p, Aqcoe1G202400.1.p, Aqcoe1G202800.2.p, Aqcoe1G202800.1.p	AH011578-RA
OG0001791	Aqcoe1G292200.1.p	AH008218-RA, AH009916-RA
OG0001792	Aqcoe5G319500.1.p	AH005244-RA
OG0001792	Aqcoe1G168100.5.p, Aqcoe1G168100.6.p, Aqcoe1G168100.3.p, Aqcoe1G168100.7.p, Aqcoe1G168100.2.p, Aqcoe1G168100.4.p, Aqcoe1G168100.1.p	AH014670-RA
OG0001793	Aqcoe1G425500.1.p	AH023078-RA
OG0001793	Aqcoe1G314700.1.p	AH015078-RA, AH021633-RA
OG0001794	Aqcoe1G477400.1.p	AH021323-RA, AH014743-RA
OG0001795	Aqcoe3G152900.1.p, Aqcoe3G215200.2.p, Aqcoe3G215200.1.p, Aqcoe1G402500.1.p	AH022644-RA
OG0001796	Aqcoe1G500300.1.p	AH017142-RA, AH016106-RA, AH021694-RA, AH019300-RA
OG0001797	Aqcoe1G051600.2.p, Aqcoe1G051600.1.p	AH010594-RA, AH020290-RA
OG0001799	Aqcoe1G487500.1.p	AH021957-RA
OG0001800	Aqcoe1G072700.1.p	AH013859-RA, AH013858-RA, AH019860-RA
OG0001801	Aqcoe1G217400.1.p, Aqcoe3G418100.1.p	AH015158-RA, AH005358-RA, AH004145-RA
OG0001802	Aqcoe1G009800.1.p	AH015633-RA
OG0001803	Aqcoe5G188500.1.p	AH003823-RA, AH005756-RA
OG0001804	Aqcoe5G331200.1.p	AH005237-RA
OG0001805	Aqcoe3G238000.3.p, Aqcoe3G238000.1.p, Aqcoe3G238000.2.p	AH011487-RA, AH018369-RA
OG0001806	Aqcoe5G073700.1.p	AH007030-RA, AH020164-RA, AH020163-RA
OG0001808	Aqcoe5G343900.3.p, Aqcoe5G343900.1.p, Aqcoe5G343900.2.p, Aqcoe5G343800.3.p, Aqcoe5G343800.2.p, Aqcoe5G343800.1.p	AH017362-RA, AH002964-RA
OG0001809	Aqcoe5G478600.2.p, Aqcoe5G478600.4.p, Aqcoe5G478600.3.p, Aqcoe5G478600.6.p, Aqcoe5G478600.5.p, Aqcoe5G478600.1.p	AH007334-RA, AH007339-RA, AH019766-RA, AH007333-RA
OG0001810	Aqcoe5G042200.2.p, Aqcoe5G042200.1.p	AH017777-RA, AH002609-RA, AH010804-RA
OG0001811	Aqcoe5G041600.1.p	AH001809-RA
OG0001812	Aqcoe3G303700.1.p, Aqcoe3G109200.1.p	AH017310-RA, AH002754-RA, AH011689-RA, AH004629-RA
OG0001813	Aqcoe3G435600.1.p	AH009102-RA
OG0001814	Aqcoe3G078600.2.p, Aqcoe3G078600.1.p, Aqcoe3G078600.3.p	AH017578-RA, AH002827-RA, AH005057-RA, AH004383-RA
OG0001815	Aqcoe3G359900.1.p	AH017533-RA, AH001467-RA
OG0001815	Aqcoe3G050700.1.p	AH005565-RA
OG0001816	Aqcoe3G073400.1.p, Aqcoe3G384300.1.p, Aqcoe3G384200.1.p	AH022742-RA, AH022741-RA, AH016612-RA
OG0001817	Aqcoe3G222100.1.p	AH007245-RA, AH018406-RA
OG0001818	Aqcoe3G277300.3.p, Aqcoe3G277300.2.p, Aqcoe3G277300.1.p	AH000333-RA, AH010042-RA, AH008164-RA, AH008747-RA
OG0001819	Aqcoe3G325700.1.p	AH002795-RA, AH017622-RA
OG0001820	Aqcoe3G144800.2.p, Aqcoe3G144800.1.p	AH004822-RA
OG0001821	Aqcoe3G166900.1.p	AH007258-RA, AH018425-RA, AH011529-RA
OG0001822	Aqcoe3G266100.4.p, Aqcoe3G266100.9.p, Aqcoe3G266100.7.p, Aqcoe3G266100.10.p, Aqcoe3G266100.6.p, Aqcoe3G266100.1.p, Aqcoe3G266100.5.p, Aqcoe3G266100.8.p, Aqcoe3G266100.3.p, Aqcoe3G266100.2.p, Aqcoe3G266100.11.p	AH016157-RA
OG0001833	Aqcoe2G427200.1.p	AH017010-RA, AH017009-RA, AH017007-RA
OG0001834	Aqcoe3G279500.1.p	AH023089-RA
OG0001834	Aqcoe2G274800.1.p, Aqcoe5G343200.1.p	AH019442-RA, AH019447-RA, AH011216-RA, AH023803-RA
OG0001835	Aqcoe2G104900.2.p, Aqcoe2G165600.2.p, Aqcoe2G165600.1.p, Aqcoe2G104900.3.p, Aqcoe2G104900.1.p, Aqcoe2G165600.3.p, Aqcoe1G445600.1.p	AH003019-RA, AH017232-RA
OG0001836	Aqcoe5G056300.2.p, Aqcoe5G056300.1.p, Aqcoe2G343900.1.p	AH010828-RA, AH007765-RA
OG0001837	Aqcoe2G127900.1.p, Aqcoe1G456800.1.p	AH021843-RA, AH012657-RA
OG0001838	Aqcoe2G319900.1.p	AH012887-RA
OG0001839	Aqcoe4G182800.1.p, Aqcoe2G079800.1.p, Aqcoe2G079900.1.p	AH012500-RA, AH013395-RA
OG0001841	Aqcoe2G364300.1.p, Aqcoe2G364300.2.p, Aqcoe5G036500.1.p	AH010768-RA, AH007739-RA
OG0001842	Aqcoe2G251000.1.p, Aqcoe4G293500.1.p	AH000050-RA, AH020954-RA
OG0001842	Aqcoe1G054100.1.p, Aqcoe1G054000.1.p	AH009881-RA
OG0001843	Aqcoe2G402900.1.p, Aqcoe2G403200.1.p	AH020563-RA
OG0001844	Aqcoe2G191800.1.p	AH012534-RA, AH012530-RA, AH012535-RA, AH000977-RA
OG0001844	Aqcoe7G227300.1.p	AH015412-RA
OG0001845	Aqcoe7G174700.1.p, Aqcoe2G069500.1.p, Aqcoe7G402100.1.p, Aqcoe7G402000.1.p, Aqcoe4G104300.1.p, Aqcoe6G323000.1.p, Aqcoe6G323300.1.p	AH022887-RA
OG0001846	Aqcoe1G103200.3.p	AH022982-RA
OG0001847	Aqcoe5G461100.1.p, Aqcoe5G461100.2.p, Aqcoe2G075500.1.p, Aqcoe7G007100.2.p, Aqcoe7G007100.3.p, Aqcoe7G007100.1.p	AH019689-RA, AH011971-RA
OG0001848	Aqcoe2G183300.1.p	AH015588-RA
OG0001848	Aqcoe2G182800.1.p, Aqcoe3G040500.1.p	AH013823-RA
OG0001850	Aqcoe2G431600.1.p	AH019976-RA, AH011123-RA, AH007468-RA
OG0001851	Aqcoe5G338800.2.p, Aqcoe5G338800.1.p, Aqcoe2G315700.1.p	AH017388-RA
OG0001852	Aqcoe2G283300.1.p	AH012982-RA
OG0001852	Aqcoe3G402800.2.p, Aqcoe3G402800.3.p, Aqcoe3G402800.4.p, Aqcoe3G402800.1.p	AH005476-RA
OG0001853	Aqcoe6G124700.1.p	AH005772-RA
OG0001853	Aqcoe7G303100.1.p, Aqcoe2G236300.1.p, Aqcoe5G089800.1.p	AH009265-RA
OG0001854	Aqcoe2G080900.1.p	AH016313-RA
OG0001855	Aqcoe1G136500.2.p, Aqcoe1G136500.1.p, Aqcoe1G136500.3.p, Aqcoe2G143700.2.p, Aqcoe2G143700.1.p	AH005340-RA
OG0001856	Aqcoe5G166900.1.p, Aqcoe2G406600.1.p	AH008885-RA, AH020578-RA
OG0001857	Aqcoe2G383800.1.p, Aqcoe2G383800.2.p	AH019884-RA, AH007162-RA, AH022025-RA
OG0001858	Aqcoe2G300000.1.p	AH022314-RA, AH013429-RA
OG0001859	Aqcoe2G400000.1.p, Aqcoe2G400000.3.p, Aqcoe2G400000.2.p	AH013070-RA
OG0001860	Aqcoe6G131300.1.p	AH005813-RA
OG0001860	Aqcoe6G131400.1.p	AH023590-RA
OG0001861	Aqcoe7G068700.1.p	AH009100-RA
OG0001861	Aqcoe6G001100.1.p	AH004242-RA
OG0001862	Aqcoe5G157600.1.p, Aqcoe6G147600.2.p, Aqcoe6G147600.1.p	AH008619-RA
OG0001863	Aqcoe6G136800.2.p, Aqcoe6G136800.1.p, Aqcoe6G136900.1.p	AH006122-RA, AH001628-RA, AH000953-RA
OG0001864	Aqcoe5G196600.1.p, Aqcoe6G004500.1.p	AH016916-RA
OG0001865	Aqcoe6G304300.4.p, Aqcoe6G304300.2.p, Aqcoe6G304300.3.p, Aqcoe6G304300.10.p, Aqcoe6G304300.9.p, Aqcoe6G304300.7.p, Aqcoe6G304300.8.p, Aqcoe6G304300.6.p, Aqcoe6G304300.5.p, Aqcoe6G304300.1.p	AH002706-RA
OG0001866	Aqcoe6G103500.2.p, Aqcoe6G103500.3.p, Aqcoe6G103500.1.p, Aqcoe6G103500.4.p, Aqcoe5G205000.1.p	AH005896-RA, AH003949-RA
OG0001867	Aqcoe6G029200.1.p	AH010637-RA
OG0001867	Aqcoe7G109600.1.p, Aqcoe7G109600.2.p	AH021099-RA
OG0001868	Aqcoe6G111200.2.p, Aqcoe6G111200.1.p	AH008680-RA
OG0001869	Aqcoe6G111000.1.p	AH005583-RA, AH008676-RA
OG0001870	Aqcoe6G092800.1.p	AH008888-RA
OG0001870	Aqcoe7G320400.1.p	AH014396-RA, AH020978-RA
OG0001871	Aqcoe6G289300.2.p, Aqcoe6G289300.3.p, Aqcoe6G289300.1.p, Aqcoe5G105000.1.p, Aqcoe5G105000.2.p	AH016681-RA, AH014636-RA
OG0001872	Aqcoe5G212400.1.p	AH000815-RA
OG0001872	Aqcoe6G222700.1.p	AH006452-RA
OG0001873	Aqcoe6G135900.1.p, Aqcoe6G135900.2.p, Aqcoe6G136000.1.p	AH001632-RA, AH001633-RA, AH000955-RA, AH001630-RA, AH000957-RA, AH001635-RA
OG0001874	Aqcoe6G086800.1.p	AH003551-RA, AH006000-RA
OG0001874	Aqcoe1G415100.3.p, Aqcoe1G415100.2.p, Aqcoe1G415100.1.p	AH023767-RA
OG0001875	Aqcoe5G178200.2.p, Aqcoe5G178200.1.p	AH003766-RA, AH001742-RA, AH000591-RA
OG0001876	Aqcoe6G108600.1.p	AH005633-RA, AH005634-RA
OG0001877	Aqcoe0017s0010.1.p	AH021687-RA
OG0001878	Aqcoe4G147400.1.p	AH010013-RA, AH010014-RA
OG0001878	Aqcoe1G317700.1.p	AH015088-RA
OG0001879	Aqcoe4G080500.1.p, Aqcoe4G080500.2.p	AH006547-RA, AH020533-RA, AH006546-RA
OG0001880	Aqcoe4G010700.2.p, Aqcoe4G010700.1.p, Aqcoe4G010800.1.p, Aqcoe4G010600.1.p, Aqcoe3G410000.1.p	AH013302-RA
OG0001881	Aqcoe4G093100.2.p, Aqcoe4G093100.1.p, Aqcoe4G093100.6.p, Aqcoe4G093100.3.p, Aqcoe4G093100.5.p, Aqcoe4G093100.4.p	AH021668-RA
OG0001882	Aqcoe1G322100.4.p, Aqcoe1G322100.3.p, Aqcoe1G322100.1.p, Aqcoe1G322100.2.p, Aqcoe4G073700.1.p, Aqcoe4G075500.1.p	AH010006-RA
OG0001883	Aqcoe7G012100.1.p, Aqcoe4G045400.1.p, Aqcoe5G325600.10.p, Aqcoe5G325600.8.p, Aqcoe5G325600.9.p, Aqcoe5G325600.2.p, Aqcoe5G325600.3.p, Aqcoe5G325600.1.p, Aqcoe5G325600.4.p, Aqcoe5G325600.7.p, Aqcoe5G325600.6.p, Aqcoe5G325600.5.p	AH005140-RA, AH004270-RA
OG0001884	Aqcoe1G257000.1.p	AH001358-RA
OG0001884	Aqcoe4G091700.3.p, Aqcoe4G091700.2.p, Aqcoe4G091700.1.p	AH010074-RA
OG0001885	Aqcoe3G102500.1.p, Aqcoe3G102500.3.p, Aqcoe3G102500.2.p	AH019869-RA, AH019871-RA
OG0001885	Aqcoe5G314600.4.p, Aqcoe5G314600.3.p, Aqcoe5G314600.1.p, Aqcoe5G314600.2.p	AH004213-RA
OG0001886	Aqcoe1G035600.1.p	AH007145-RA
OG0001886	Aqcoe4G277500.2.p, Aqcoe4G277800.2.p, Aqcoe4G277500.1.p, Aqcoe4G277800.1.p	AH009736-RA
OG0001887	Aqcoe1G242500.1.p, Aqcoe4G068200.1.p	AH000287-RA, AH008027-RA, AH010109-RA
OG0001888	Aqcoe4G100000.1.p, Aqcoe5G221100.1.p	AH002191-RA, AH002190-RA
OG0001889	Aqcoe7G076300.1.p, Aqcoe7G076200.1.p	AH019457-RA, AH003223-RA, AH009129-RA
OG0001890	Aqcoe3G369400.1.p, Aqcoe3G369400.2.p, Aqcoe7G018800.2.p, Aqcoe7G018800.1.p	AH015844-RA, AH019085-RA
OG0001891	Aqcoe7G256700.1.p, Aqcoe7G256600.1.p	AH007317-RA
OG0001892	Aqcoe7G316600.2.p, Aqcoe7G316600.3.p, Aqcoe7G316600.1.p, Aqcoe7G316600.4.p	AH014434-RA, AH020950-RA
OG0001893	Aqcoe1G033500.1.p	AH022447-RA
OG0001894	Aqcoe7G054600.1.p	AH009195-RA, AH012326-RA
OG0001895	Aqcoe7G411800.1.p, Aqcoe7G159500.1.p	AH020899-RA, AH016176-RA, AH023355-RA
OG0001896	Aqcoe7G378600.1.p	AH023236-RA, AH005882-RA
OG0001897	Aqcoe7G439900.2.p, Aqcoe7G439900.1.p	AH013421-RA, AH022317-RA
OG0001898	Aqcoe7G112900.4.p, Aqcoe7G112900.1.p, Aqcoe7G112900.3.p, Aqcoe7G112900.2.p	AH014569-RA, AH013371-RA
OG0001899	Aqcoe7G352300.1.p, Aqcoe7G352300.2.p	AH021056-RA, AH014283-RA
OG0001900	Aqcoe7G378700.1.p, Aqcoe7G101700.1.p, Aqcoe7G378300.1.p	AH023235-RA
OG0001901	Aqcoe7G058100.2.p, Aqcoe7G058100.1.p	AH009169-RA
OG0001902	Aqcoe7G383900.2.p, Aqcoe7G383900.1.p	AH020702-RA, AH020700-RA
OG0001903	Aqcoe7G009000.1.p	AH009550-RA, AH011982-RA
OG0001904	Aqcoe5G195200.2.p, Aqcoe5G195200.1.p	AH000560-RA, AH001826-RA
OG0001905	Aqcoe1G501200.2.p, Aqcoe1G501200.1.p, Aqcoe1G501200.3.p, Aqcoe1G501200.4.p	AH019292-RA, AH022424-RA, AH013230-RA
OG0001906	Aqcoe1G464600.1.p	AH013660-RA, AH022498-RA, AH023454-RA
OG0001907	Aqcoe1G220200.4.p, Aqcoe1G220200.5.p, Aqcoe1G220200.3.p, Aqcoe1G220200.2.p, Aqcoe1G220200.6.p, Aqcoe1G220200.1.p	AH022335-RA
OG0001908	Aqcoe1G353100.1.p	AH000258-RA, AH008162-RA, AH022051-RA
OG0001909	Aqcoe1G413200.1.p	AH000570-RA, AH001813-RA
OG0001910	Aqcoe3G154300.1.p, Aqcoe1G489900.1.p	AH021965-RA, AH012791-RA, AH015928-RA
OG0001911	Aqcoe1G466400.1.p	AH008231-RA, AH009885-RA
OG0001912	Aqcoe1G393100.2.p, Aqcoe1G393100.1.p	AH021751-RA, AH021752-RA
OG0001913	Aqcoe5G129300.1.p, Aqcoe1G218600.1.p	AH014788-RA, AH021371-RA
OG0001914	Aqcoe1G283800.1.p	AH021405-RA, AH021404-RA, AH014847-RA
OG0001915	Aqcoe1G162800.4.p, Aqcoe1G162800.3.p, Aqcoe1G162800.5.p, Aqcoe1G162800.1.p, Aqcoe1G162800.2.p	AH012834-RA
OG0001916	Aqcoe1G472400.3.p, Aqcoe1G472400.1.p, Aqcoe1G472400.2.p	AH021885-RA, AH012726-RA
OG0001917	Aqcoe1G232700.1.p, Aqcoe1G232700.2.p, Aqcoe1G232700.3.p	AH008209-RA, AH014993-RA
OG0001918	Aqcoe1G410800.1.p	AH020957-RA
OG0001919	Aqcoe1G175900.2.p, Aqcoe1G175900.1.p	AH023321-RA, AH013641-RA
OG0001920	Aqcoe1G446000.1.p, Aqcoe1G446000.3.p, Aqcoe1G446000.2.p	AH021819-RA
OG0001921	Aqcoe1G334200.2.p, Aqcoe1G334200.3.p, Aqcoe1G334200.1.p	AH000041-RA
OG0001921	Aqcoe3G328200.1.p	AH005106-RA
OG0001922	Aqcoe5G020300.1.p	AH007184-RA, AH018949-RA
OG0001923	Aqcoe5G009200.1.p, Aqcoe5G009200.2.p	AH013011-RA
OG0001924	Aqcoe5G198500.1.p	AH003988-RA, AH005584-RA, AH010848-RA
OG0001925	Aqcoe5G143900.1.p	AH016663-RA, AH001308-RA, AH001647-RA
OG0001926	Aqcoe5G301900.2.p, Aqcoe5G301900.1.p	AH008719-RA
OG0001927	Aqcoe5G164200.3.p, Aqcoe5G164200.2.p, Aqcoe5G164200.1.p	AH000709-RA
OG0001928	Aqcoe3G312900.1.p, Aqcoe3G335100.1.p	AH019362-RA
OG0001929	Aqcoe3G014400.1.p	AH011101-RA
OG0001929	Aqcoe3G007400.1.p	AH009989-RA
OG0001930	Aqcoe3G428000.1.p	AH023430-RA
OG0001931	Aqcoe3G325400.1.p	AH002796-RA, AH017624-RA, AH014161-RA
OG0001932	Aqcoe3G249200.1.p	AH009321-RA
OG0001933	Aqcoe3G099300.1.p, Aqcoe3G317200.1.p	AH004671-RA, AH002774-RA, AH017645-RA
OG0001934	Aqcoe3G272800.2.p, Aqcoe3G272800.3.p, Aqcoe3G272800.1.p	AH012105-RA, AH019419-RA, AH012161-RA
OG0001935	Aqcoe3G122600.1.p	AH002493-RA
OG0001936	Aqcoe3G431200.1.p	AH007839-RA, AH010696-RA
OG0001937	Aqcoe3G321800.5.p, Aqcoe3G321800.4.p, Aqcoe3G321800.2.p, Aqcoe3G321800.6.p, Aqcoe3G321800.7.p, Aqcoe3G321800.1.p, Aqcoe3G321800.3.p	AH017634-RA, AH002787-RA
OG0001938	Aqcoe3G338000.1.p	AH015778-RA, AH002820-RA
OG0001939	Aqcoe3G323300.2.p, Aqcoe3G323300.3.p, Aqcoe3G323300.1.p, Aqcoe3G323300.4.p, Aqcoe3G323200.1.p, Aqcoe3G323200.2.p	AH017629-RA, AH017630-RA
OG0001958	Aqcoe2G024800.1.p, Aqcoe1G038400.1.p, Aqcoe1G038400.2.p	AH015713-RA, AH020473-RA, AH006736-RA
OG0001959	Aqcoe2G041900.2.p, Aqcoe2G041900.1.p, Aqcoe2G041900.3.p	AH004714-RA
OG0001959	Aqcoe2G381500.2.p, Aqcoe2G381500.3.p, Aqcoe2G381500.1.p	AH007175-RA
OG0001960	Aqcoe2G319700.2.p, Aqcoe2G319700.1.p	AH007526-RA, AH010570-RA, AH012886-RA
OG0001961	Aqcoe2G140500.1.p	AH022404-RA, AH013257-RA, AH019541-RA
OG0001962	Aqcoe2G194800.1.p	AH015423-RA
OG0001963	Aqcoe1G131400.1.p, Aqcoe2G206300.1.p	AH005288-RA
OG0001963	Aqcoe2G206200.1.p	AH000200-RA
OG0001964	Aqcoe1G148100.1.p, Aqcoe2G081100.1.p	AH022716-RA, AH013169-RA
OG0001964	Aqcoe1G225300.1.p, Aqcoe4G043100.1.p	AH014795-RA, AH021386-RA
OG0001966	Aqcoe2G430400.1.p, Aqcoe2G430400.6.p, Aqcoe2G430400.4.p, Aqcoe2G430400.5.p, Aqcoe2G430400.3.p, Aqcoe2G430400.2.p	AH011618-RA
OG0001967	Aqcoe2G385200.1.p, Aqcoe2G385200.2.p, Aqcoe2G385200.3.p	AH022029-RA, AH012994-RA
OG0001969	Aqcoe1G317100.1.p	AH010017-RA, AH008094-RA
OG0001970	Aqcoe6G000900.1.p	AH004245-RA, AH004243-RA
OG0001970	Aqcoe2G438500.1.p	AH007481-RA
OG0001971	Aqcoe1G357200.1.p	AH008086-RA
OG0001971	Aqcoe2G031000.1.p	AH019355-RA, AH019354-RA
OG0001972	Aqcoe1G091900.3.p, Aqcoe1G091900.2.p, Aqcoe1G091900.1.p, Aqcoe2G036600.1.p	AH013542-RA, AH022047-RA
OG0001973	Aqcoe1G477500.1.p, Aqcoe2G175400.1.p	AH013155-RA
OG0001974	Aqcoe5G014600.2.p, Aqcoe5G014600.1.p	AH014943-RA
OG0001974	Aqcoe1G123000.1.p	AH012720-RA
OG0001976	Aqcoe3G379300.1.p, Aqcoe3G379100.1.p, Aqcoe3G379000.1.p, Aqcoe3G379200.1.p, Aqcoe3G378900.1.p, Aqcoe3G379900.1.p, Aqcoe3G379900.2.p	AH022758-RA, AH022760-RA
OG0001977	Aqcoe1G401500.1.p, Aqcoe7G407400.1.p, Aqcoe2G076100.2.p, Aqcoe2G076100.1.p	AH019267-RA, AH021722-RA, AH012475-RA
OG0001978	Aqcoe5G121400.1.p, Aqcoe7G313600.1.p, Aqcoe7G313600.2.p, Aqcoe6G175700.3.p, Aqcoe6G175700.2.p, Aqcoe6G175700.4.p, Aqcoe2G107600.1.p, Aqcoe6G175700.1.p	AH002650-RA
OG0001979	Aqcoe2G287800.1.p	AH007622-RA
OG0001979	Aqcoe5G093400.1.p	AH012979-RA, AH022090-RA
OG0001980	Aqcoe1G298800.5.p, Aqcoe1G298800.3.p, Aqcoe1G298800.1.p, Aqcoe1G298800.2.p, Aqcoe1G298800.4.p, Aqcoe4G217000.1.p	AH000238-RA
OG0001981	Aqcoe2G260900.1.p	AH017275-RA, AH002735-RA
OG0001982	Aqcoe6G255700.1.p	AH001759-RA, AH000543-RA
OG0001983	Aqcoe6G218600.1.p	AH000808-RA, AH002268-RA
OG0001984	Aqcoe1G428800.2.p, Aqcoe1G428800.4.p, Aqcoe1G428800.1.p, Aqcoe1G428800.3.p	AH022680-RA
OG0001984	Aqcoe6G039000.1.p	AH006332-RA
OG0001985	Aqcoe6G298500.1.p	AH008400-RA, AH006174-RA, AH003901-RA
OG0001986	Aqcoe6G067900.1.p	AH004322-RA
OG0001987	Aqcoe6G037300.1.p	AH008666-RA
OG0001987	Aqcoe1G269500.1.p, Aqcoe7G244900.1.p, Aqcoe4G110000.1.p	AH010029-RA
OG0001988	Aqcoe5G130500.1.p, Aqcoe6G236200.1.p	AH018478-RA, AH011565-RA
OG0001989	Aqcoe6G074900.1.p	AH005859-RA
