Orthogroup	A_coerulea.proteins	D_spatulata.proteins
OG0001278	Aqcoe2G150900.1.p, Aqcoe2G150900.4.p, Aqcoe2G150900.2.p, Aqcoe2G150900.3.p, Aqcoe2G150900.5.p	Ds_00015276-RA, Ds_00010367-RA
OG0001279	Aqcoe1G454400.2.p, Aqcoe1G454400.1.p, Aqcoe2G129700.1.p	Ds_00008348-RA, Ds_00002069-RA, Ds_00002064-RA, Ds_00016975-RA, Ds_00008727-RA
OG0001280	Aqcoe5G381800.1.p	Ds_00017770-RA
OG0001280	Aqcoe2G175000.1.p, Aqcoe2G175200.1.p, Aqcoe1G454100.1.p	Ds_00010733-RA
OG0001281	Aqcoe2G283500.2.p, Aqcoe2G283500.1.p	Ds_00000961-RA, Ds_00003906-RA
OG0001282	Aqcoe2G040900.1.p, Aqcoe1G042300.1.p, Aqcoe1G042300.2.p	Ds_00012678-RA, Ds_00005773-RA
OG0001283	Aqcoe2G277000.2.p, Aqcoe2G277000.1.p, Aqcoe2G277000.3.p	Ds_00005069-RA
OG0001284	Aqcoe0043s0002.1.p, Aqcoe4G213100.1.p, Aqcoe4G154800.1.p, Aqcoe4G180500.1.p, Aqcoe4G212900.1.p, Aqcoe4G154900.1.p, Aqcoe4G180400.1.p, Aqcoe4G213000.1.p, Aqcoe0043s0001.1.p	Ds_00017192-RA, Ds_00017191-RA, Ds_00004485-RA
OG0001285	Aqcoe6G083800.1.p, Aqcoe6G083800.2.p	Ds_00008841-RA, Ds_00013029-RA, Ds_00000009-RA
OG0001286	Aqcoe5G161200.1.p, Aqcoe6G154600.1.p	Ds_00003517-RA, Ds_00014777-RA
OG0001287	Aqcoe6G323900.1.p	Ds_00011961-RA
OG0001287	Aqcoe5G113600.1.p	Ds_00016714-RA
OG0001288	Aqcoe6G100200.1.p	Ds_00006794-RA
OG0001289	Aqcoe6G127600.2.p, Aqcoe6G127600.1.p, Aqcoe3G219900.1.p, Aqcoe3G219900.2.p, Aqcoe5G187100.1.p	Ds_00011289-RA, Ds_00000359-RA, Ds_00013198-RA, Ds_00005824-RA, Ds_00013168-RA
OG0001290	Aqcoe6G176000.1.p	Ds_00007468-RA
OG0001292	Aqcoe4G002500.2.p, Aqcoe4G002500.1.p, Aqcoe3G015400.1.p, Aqcoe3G015800.1.p	Ds_00008190-RA, Ds_00001649-RA
OG0001293	Aqcoe4G050900.1.p, Aqcoe4G050900.3.p, Aqcoe4G050900.2.p	Ds_00007537-RA
OG0001294	Aqcoe5G401700.2.p, Aqcoe5G401700.1.p	Ds_00003804-RA
OG0001294	Aqcoe4G116700.1.p, Aqcoe7G128600.1.p	Ds_00002373-RA
OG0001295	Aqcoe1G266700.1.p, Aqcoe4G103500.1.p	Ds_00017984-RA, Ds_00012901-RA
OG0001297	Aqcoe7G115400.2.p, Aqcoe7G115400.1.p	Ds_00017011-RA
OG0001298	Aqcoe7G078900.1.p	Ds_00009286-RA, Ds_00015625-RA, Ds_00002151-RA
OG0001299	Aqcoe7G426200.1.p, Aqcoe7G124000.1.p	Ds_00002382-RA, Ds_00000112-RA
OG0001300	Aqcoe7G124300.2.p, Aqcoe7G124300.1.p, Aqcoe7G425800.1.p, Aqcoe7G425800.2.p	Ds_00012816-RA, Ds_00002381-RA
OG0001301	Aqcoe7G127500.1.p, Aqcoe7G127500.2.p	Ds_00000806-RA
OG0001302	Aqcoe5G251800.1.p	Ds_00013404-RA
OG0001303	Aqcoe7G307600.1.p	Ds_00003366-RA
OG0001303	Aqcoe5G265900.1.p, Aqcoe5G265900.2.p	Ds_00002252-RA
OG0001304	Aqcoe7G240500.1.p	Ds_00000459-RA, Ds_00003376-RA
OG0001305	Aqcoe7G010000.1.p, Aqcoe7G010000.2.p	Ds_00017736-RA
OG0001306	Aqcoe7G417500.1.p, Aqcoe1G294500.2.p, Aqcoe1G294500.1.p, Aqcoe3G123100.2.p, Aqcoe3G123100.1.p	Ds_00000775-RA
OG0001307	Aqcoe5G381900.1.p, Aqcoe1G418000.1.p	Ds_00011038-RA
OG0001308	Aqcoe5G037800.1.p, Aqcoe1G053300.1.p, Aqcoe3G127900.1.p	Ds_00006412-RA, Ds_00006954-RA, Ds_00007806-RA
OG0001309	Aqcoe1G425700.4.p, Aqcoe1G425700.3.p, Aqcoe1G425700.2.p, Aqcoe1G425700.1.p	Ds_00011119-RA
OG0001310	Aqcoe1G341600.1.p, Aqcoe1G341600.2.p	Ds_00004459-RA, Ds_00001710-RA, Ds_00001713-RA
OG0001311	Aqcoe1G424300.1.p	Ds_00002755-RA, Ds_00011593-RA
OG0001312	Aqcoe1G239400.1.p	Ds_00007546-RA, Ds_00001195-RA
OG0001313	Aqcoe1G079200.2.p, Aqcoe1G079200.1.p, Aqcoe1G079100.1.p	Ds_00008322-RA, Ds_00008323-RA
OG0001314	Aqcoe1G494000.1.p	Ds_00005966-RA
OG0001315	Aqcoe1G095000.2.p, Aqcoe1G095000.1.p	Ds_00007569-RA, Ds_00012354-RA, Ds_00012966-RA
OG0001316	Aqcoe1G478100.1.p	Ds_00014725-RA, Ds_00007512-RA, Ds_00010833-RA, Ds_00003264-RA
OG0001317	Aqcoe1G337200.1.p	Ds_00017207-RA, Ds_00010692-RA
OG0001318	Aqcoe1G082100.1.p	Ds_00008326-RA, Ds_00015561-RA, Ds_00015964-RA
OG0001319	Aqcoe1G033000.1.p, Aqcoe1G033000.3.p, Aqcoe1G033000.2.p	Ds_00011103-RA, Ds_00014978-RA
OG0001320	Aqcoe5G392900.1.p, Aqcoe5G393000.1.p	Ds_00004395-RA, Ds_00000460-RA
OG0001321	Aqcoe5G138300.1.p	Ds_00009428-RA, Ds_00008923-RA, Ds_00002527-RA, Ds_00000566-RA
OG0001322	Aqcoe5G062800.2.p, Aqcoe5G062800.1.p	Ds_00003119-RA, Ds_00004632-RA
OG0001323	Aqcoe5G110900.1.p, Aqcoe5G110900.3.p, Aqcoe5G110900.2.p, Aqcoe5G110900.4.p, Aqcoe5G427100.1.p	Ds_00012027-RA, Ds_00008786-RA, Ds_00012659-RA
OG0001324	Aqcoe5G184600.5.p, Aqcoe5G184600.1.p, Aqcoe5G184600.4.p, Aqcoe5G184600.3.p, Aqcoe5G184600.2.p	Ds_00000343-RA, Ds_00008886-RA
OG0001326	Aqcoe3G108500.1.p, Aqcoe3G069100.1.p	Ds_00012372-RA
OG0001328	Aqcoe3G408700.4.p, Aqcoe3G408700.1.p, Aqcoe3G408700.2.p, Aqcoe3G408700.5.p, Aqcoe3G408700.3.p, Aqcoe3G408700.6.p	Ds_00012708-RA
OG0001329	Aqcoe3G167600.1.p	Ds_00007656-RA, Ds_00005566-RA, Ds_00005110-RA
OG0001335	Aqcoe3G017500.1.p, Aqcoe4G069700.1.p	Ds_00000973-RA
OG0001336	Aqcoe1G101600.1.p, Aqcoe2G231100.1.p	Ds_00006425-RA
OG0001339	Aqcoe2G276800.1.p, Aqcoe2G202300.1.p	Ds_00006346-RA, Ds_00003918-RA, Ds_00003681-RA
OG0001340	Aqcoe3G089200.1.p	Ds_00010126-RA, Ds_00008295-RA
OG0001341	Aqcoe2G363700.1.p, Aqcoe2G363100.1.p, Aqcoe2G363100.2.p	Ds_00007808-RA, Ds_00006157-RA
OG0001342	Aqcoe5G471500.1.p, Aqcoe2G106900.2.p, Aqcoe2G106900.1.p	Ds_00015017-RA, Ds_00006342-RA, Ds_00002876-RA, Ds_00012534-RA
OG0001343	Aqcoe5G055700.1.p, Aqcoe2G345000.1.p	Ds_00006283-RA, Ds_00006937-RA, Ds_00003143-RA
OG0001344	Aqcoe2G172700.1.p, Aqcoe1G478700.1.p, Aqcoe1G478700.2.p, Aqcoe1G478700.3.p	Ds_00010328-RA, Ds_00009609-RA
OG0001345	Aqcoe2G091400.2.p, Aqcoe2G091400.4.p, Aqcoe2G091400.3.p, Aqcoe2G091400.1.p, Aqcoe1G417500.1.p	Ds_00006609-RA, Ds_00006610-RA
OG0001346	Aqcoe2G299500.1.p	Ds_00003897-RA, Ds_00003671-RA
OG0001347	Aqcoe3G250300.1.p	Ds_00004168-RA
OG0001348	Aqcoe2G084500.1.p	Ds_00001995-RA
OG0001349	Aqcoe5G023100.1.p, Aqcoe5G023100.2.p, Aqcoe5G023100.3.p, Aqcoe2G378100.2.p, Aqcoe2G378100.1.p, Aqcoe2G378100.3.p	Ds_00006254-RA, Ds_00006969-RA
OG0001350	Aqcoe2G389500.2.p, Aqcoe1G265200.1.p, Aqcoe2G389500.1.p	Ds_00000472-RA
OG0001351	Aqcoe2G205900.6.p, Aqcoe2G205900.1.p, Aqcoe2G205900.4.p, Aqcoe2G205900.3.p, Aqcoe2G205900.5.p, Aqcoe2G205900.2.p	Ds_00004130-RA
OG0001352	Aqcoe2G339500.1.p	Ds_00004651-RA
OG0001354	Aqcoe2G021200.2.p, Aqcoe2G021200.1.p	Ds_00011009-RA
OG0001356	Aqcoe6G158800.1.p, Aqcoe6G158900.1.p, Aqcoe3G161000.1.p	Ds_00004434-RA
OG0001356	Aqcoe5G346200.1.p	Ds_00007082-RA
OG0001357	Aqcoe6G096000.1.p, Aqcoe6G096000.2.p	Ds_00004357-RA, Ds_00006782-RA
OG0001358	Aqcoe6G227400.1.p	Ds_00017565-RA
OG0001358	Aqcoe3G425900.1.p	Ds_00003713-RA, Ds_00006241-RA
OG0001359	Aqcoe5G238700.3.p, Aqcoe5G238700.2.p, Aqcoe5G238700.4.p, Aqcoe5G238700.1.p	Ds_00002235-RA
OG0001359	Aqcoe6G027900.2.p, Aqcoe6G027900.4.p, Aqcoe6G027900.3.p, Aqcoe6G027900.1.p	Ds_00003628-RA
OG0001360	Aqcoe6G075200.1.p	Ds_00003605-RA, Ds_00008175-RA, Ds_00013555-RA, Ds_00012223-RA
OG0001361	Aqcoe6G241500.2.p, Aqcoe6G241500.1.p	Ds_00017562-RA
OG0001362	Aqcoe5G202000.2.p, Aqcoe5G202000.1.p, Aqcoe6G107900.1.p, Aqcoe6G107900.2.p	Ds_00011871-RA
OG0001363	Aqcoe6G086400.1.p, Aqcoe6G086400.3.p, Aqcoe6G086400.2.p	Ds_00014775-RA, Ds_00008832-RA, Ds_00001584-RA
OG0001364	Aqcoe4G312900.1.p	Ds_00001694-RA, Ds_00014058-RA
OG0001365	Aqcoe4G078600.1.p	Ds_00012307-RA
OG0001366	Aqcoe4G136000.1.p, Aqcoe4G136100.1.p, Aqcoe4G127900.1.p, Aqcoe4G135900.1.p, Aqcoe4G135800.2.p, Aqcoe4G135800.1.p, Aqcoe4G123600.1.p, Aqcoe4G136400.1.p	Ds_00007711-RA
OG0001367	Aqcoe4G045200.1.p, Aqcoe5G420100.1.p, Aqcoe5G420100.2.p, Aqcoe5G419600.3.p, Aqcoe0112s0001.1.p, Aqcoe7G078700.2.p, Aqcoe7G078700.1.p	Ds_00013472-RA, Ds_00012927-RA
OG0001368	Aqcoe3G079500.1.p, Aqcoe4G191700.1.p, Aqcoe4G192800.1.p	Ds_00012763-RA
OG0001369	Aqcoe4G025500.1.p	Ds_00014838-RA
OG0001371	Aqcoe7G102000.4.p, Aqcoe7G102000.3.p, Aqcoe7G102000.2.p, Aqcoe7G102000.5.p, Aqcoe7G102000.6.p, Aqcoe7G102000.1.p	Ds_00017896-RA
OG0001372	Aqcoe7G145100.1.p	Ds_00001551-RA, Ds_00013595-RA
OG0001372	Aqcoe3G271200.1.p	Ds_00001377-RA
OG0001373	Aqcoe1G127900.1.p	Ds_00005236-RA
OG0001374	Aqcoe7G284000.2.p, Aqcoe7G284000.1.p	Ds_00003379-RA
OG0001375	Aqcoe7G078200.1.p, Aqcoe7G078200.2.p	Ds_00002150-RA
OG0001376	Aqcoe3G024600.1.p	Ds_00005050-RA
OG0001376	Aqcoe5G084300.1.p	Ds_00003660-RA
OG0001377	Aqcoe7G376400.1.p	Ds_00007225-RA, Ds_00003683-RA
OG0001378	Aqcoe1G449900.1.p	Ds_00002080-RA
OG0001378	Aqcoe7G050900.1.p	Ds_00012024-RA
OG0001379	Aqcoe7G108600.1.p	Ds_00000468-RA, Ds_00002341-RA
OG0001379	Aqcoe7G108600.2.p	Ds_00016994-RA
OG0001380	Aqcoe7G318800.1.p, Aqcoe7G318800.2.p, Aqcoe7G318800.3.p	Ds_00007956-RA, Ds_00003418-RA
OG0001381	Aqcoe7G143900.1.p	Ds_00000216-RA, Ds_00003460-RA
OG0001382	Aqcoe7G359100.1.p	Ds_00017137-RA
OG0001382	Aqcoe3G353800.1.p	Ds_00008447-RA
OG0001383	Aqcoe7G287900.1.p	Ds_00006981-RA, Ds_00003030-RA
OG0001384	Aqcoe7G051100.2.p, Aqcoe7G051100.1.p	Ds_00002109-RA, Ds_00012022-RA
OG0001385	Aqcoe1G207500.1.p	Ds_00008670-RA
OG0001386	Aqcoe1G010800.2.p, Aqcoe1G010800.1.p	Ds_00010010-RA, Ds_00004098-RA
OG0001387	Aqcoe1G056000.1.p	Ds_00006076-RA, Ds_00002713-RA
OG0001388	Aqcoe1G280600.1.p, Aqcoe1G280600.2.p	Ds_00011750-RA, Ds_00002965-RA
OG0001389	Aqcoe1G141400.2.p, Aqcoe1G141400.1.p, Aqcoe1G141400.3.p	Ds_00014581-RA, Ds_00016435-RA, Ds_00005846-RA
OG0001390	Aqcoe1G085000.1.p, Aqcoe1G085000.2.p	Ds_00008247-RA
OG0001390	Aqcoe1G085100.1.p	Ds_00007539-RA
OG0001391	Aqcoe5G328000.1.p, Aqcoe5G328200.1.p, Aqcoe5G328100.2.p, Aqcoe5G328100.1.p, Aqcoe5G328300.1.p	Ds_00004304-RA, Ds_00009743-RA, Ds_00009745-RA
OG0001392	Aqcoe5G459700.1.p	Ds_00011645-RA
OG0001392	Aqcoe5G464300.2.p, Aqcoe5G464300.1.p	Ds_00012591-RA
OG0001393	Aqcoe5G033200.1.p	Ds_00006422-RA, Ds_00006391-RA
OG0001394	Aqcoe5G249200.2.p, Aqcoe5G249200.1.p	Ds_00016185-RA, Ds_00005354-RA
OG0001395	Aqcoe5G383100.2.p, Aqcoe5G383100.1.p, Aqcoe5G383100.3.p, Aqcoe5G383100.4.p, Aqcoe5G383100.5.p	Ds_00009694-RA
OG0001396	Aqcoe3G198200.1.p, Aqcoe5G353100.4.p, Aqcoe5G353100.3.p, Aqcoe5G353100.5.p, Aqcoe5G353100.1.p, Aqcoe5G353100.2.p	Ds_00004789-RA
OG0001397	Aqcoe3G390300.1.p, Aqcoe3G390300.3.p, Aqcoe3G390300.2.p	Ds_00008490-RA
OG0001397	Aqcoe3G054300.2.p, Aqcoe3G054300.1.p	Ds_00008408-RA
OG0001398	Aqcoe3G134300.1.p, Aqcoe3G134200.1.p, Aqcoe3G435900.1.p	Ds_00006115-RA, Ds_00006230-RA, Ds_00006130-RA, Ds_00015006-RA, Ds_00002878-RA
OG0001399	Aqcoe3G387000.1.p, Aqcoe3G386900.1.p	Ds_00009102-RA
OG0001400	Aqcoe3G114300.1.p, Aqcoe3G299000.1.p	Ds_00009020-RA, Ds_00015461-RA
OG0001400	Aqcoe3G114300.2.p	Ds_00017089-RA, Ds_00011416-RA
OG0001401	Aqcoe3G245500.1.p	Ds_00017277-RA
OG0001402	Aqcoe3G075600.1.p	Ds_00008412-RA, Ds_00012381-RA, Ds_00009982-RA
OG0001403	Aqcoe3G020600.2.p, Aqcoe3G020600.1.p	Ds_00005898-RA, Ds_00008545-RA
OG0001404	Aqcoe3G120300.1.p	Ds_00001879-RA, Ds_00018070-RA
OG0001405	Aqcoe3G007700.1.p, Aqcoe3G007700.2.p	Ds_00016243-RA, Ds_00004183-RA, Ds_00004182-RA, Ds_00002645-RA
OG0001406	Aqcoe3G315800.1.p, Aqcoe3G315800.3.p, Aqcoe3G315800.2.p	Ds_00003736-RA, Ds_00016253-RA, Ds_00015818-RA
OG0001419	Aqcoe4G243000.1.p, Aqcoe5G057100.1.p, Aqcoe2G342500.2.p, Aqcoe2G342500.1.p, Aqcoe2G342400.1.p, Aqcoe2G342300.1.p, Aqcoe2G342100.1.p, Aqcoe7G138000.1.p, Aqcoe7G137900.1.p, Aqcoe6G196200.1.p, Aqcoe7G146600.1.p, Aqcoe4G266100.1.p, Aqcoe4G266600.1.p, Aqcoe4G266300.1.p, Aqcoe4G314500.1.p, Aqcoe4G314800.1.p	Ds_00003839-RA, Ds_00003828-RA, Ds_00013882-RA
OG0001422	Aqcoe1G104600.3.p, Aqcoe1G104600.4.p, Aqcoe1G104600.2.p, Aqcoe1G104600.1.p, Aqcoe1G104600.5.p, Aqcoe2G226200.1.p	Ds_00012107-RA, Ds_00010091-RA, Ds_00009070-RA
OG0001423	Aqcoe2G422500.4.p, Aqcoe2G422500.3.p, Aqcoe2G422500.2.p, Aqcoe2G422500.1.p	Ds_00016816-RA, Ds_00013748-RA, Ds_00001115-RA, Ds_00008394-RA
OG0001424	Aqcoe2G432000.1.p	Ds_00003242-RA
OG0001425	Aqcoe5G209400.1.p, Aqcoe5G209800.1.p, Aqcoe4G166900.1.p	Ds_00000510-RA
OG0001425	Aqcoe2G009100.1.p, Aqcoe1G004300.1.p	Ds_00006088-RA
OG0001426	Aqcoe2G088200.1.p	Ds_00008282-RA
OG0001427	Aqcoe1G220600.1.p, Aqcoe1G220900.2.p, Aqcoe2G132400.2.p, Aqcoe2G132400.1.p, Aqcoe1G220900.1.p, Aqcoe3G288600.1.p	Ds_00014848-RA
OG0001428	Aqcoe4G107500.1.p, Aqcoe4G107600.1.p	Ds_00016505-RA
OG0001428	Aqcoe2G331600.1.p	Ds_00003122-RA, Ds_00004649-RA
OG0001430	Aqcoe2G028500.1.p	Ds_00005923-RA, Ds_00000137-RA
OG0001431	Aqcoe2G104100.2.p, Aqcoe2G104100.1.p	Ds_00011602-RA, Ds_00008249-RA
OG0001432	Aqcoe2G021100.1.p	Ds_00015955-RA
OG0001432	Aqcoe5G448100.1.p	Ds_00000821-RA
OG0001433	Aqcoe1G191200.1.p, Aqcoe1G190700.1.p	Ds_00009260-RA, Ds_00009491-RA, Ds_00010982-RA
OG0001433	Aqcoe2G266000.1.p	Ds_00003694-RA, Ds_00003929-RA
OG0001434	Aqcoe7G012900.2.p, Aqcoe7G012900.1.p	Ds_00009305-RA
OG0001437	Aqcoe2G327500.1.p, Aqcoe2G327500.2.p	Ds_00004635-RA
OG0001438	Aqcoe2G422800.1.p	Ds_00007335-RA
OG0001438	Aqcoe7G223800.1.p	Ds_00016817-RA
OG0001439	Aqcoe5G037700.1.p	Ds_00006953-RA, Ds_00004621-RA
OG0001441	Aqcoe6G087800.2.p, Aqcoe6G087800.1.p	Ds_00012837-RA, Ds_00003503-RA
OG0001442	Aqcoe6G112300.3.p, Aqcoe6G112300.2.p, Aqcoe6G112300.1.p	Ds_00015741-RA
OG0001442	Aqcoe5G197300.1.p	Ds_00004260-RA, Ds_00011204-RA
OG0001443	Aqcoe6G066900.1.p, Aqcoe6G066900.2.p	Ds_00000627-RA
OG0001444	Aqcoe6G141300.1.p, Aqcoe6G141400.3.p, Aqcoe6G141400.2.p	Ds_00002547-RA, Ds_00004951-RA, Ds_00012047-RA, Ds_00012049-RA, Ds_00002548-RA, Ds_00002549-RA, Ds_00011283-RA
OG0001445	Aqcoe0017s0002.1.p	Ds_00016351-RA
OG0001446	Aqcoe4G302300.2.p, Aqcoe4G302300.1.p, Aqcoe1G378700.1.p	Ds_00010019-RA, Ds_00004089-RA
OG0001447	Aqcoe4G205100.1.p, Aqcoe4G205000.1.p	Ds_00005288-RA
OG0001447	Aqcoe1G293900.1.p	Ds_00011299-RA, Ds_00004489-RA
OG0001448	Aqcoe4G261300.1.p, Aqcoe4G261100.1.p	Ds_00002205-RA, Ds_00015886-RA
OG0001449	Aqcoe1G443500.1.p, Aqcoe4G194200.1.p	Ds_00015685-RA, Ds_00001260-RA
OG0001450	Aqcoe4G043800.1.p	Ds_00001818-RA, Ds_00012317-RA, Ds_00001200-RA
OG0001451	Aqcoe5G297600.1.p, Aqcoe5G297600.11.p, Aqcoe5G297600.7.p, Aqcoe5G297600.6.p, Aqcoe5G297600.9.p, Aqcoe5G297600.5.p, Aqcoe5G297600.4.p, Aqcoe5G297600.2.p, Aqcoe5G297600.8.p, Aqcoe5G297600.12.p, Aqcoe5G297600.10.p, Aqcoe5G297600.3.p, Aqcoe0335s0001.2.p, Aqcoe0009s0001.1.p, Aqcoe4G306100.1.p, Aqcoe0335s0001.1.p, Aqcoe0335s0001.3.p, Aqcoe0335s0001.4.p	Ds_00012918-RA
OG0001452	Aqcoe4G263700.1.p, Aqcoe4G263700.2.p	Ds_00001759-RA, Ds_00015129-RA, Ds_00015888-RA
OG0001453	Aqcoe1G374600.3.p, Aqcoe1G374600.1.p, Aqcoe1G374600.2.p, Aqcoe4G310900.1.p	Ds_00014063-RA
OG0001454	Aqcoe1G260600.1.p, Aqcoe4G096300.1.p	Ds_00007581-RA, Ds_00011555-RA
OG0001455	Aqcoe4G285100.2.p, Aqcoe4G285100.1.p	Ds_00009545-RA, Ds_00014140-RA, Ds_00002974-RA
OG0001456	Aqcoe7G046200.1.p	Ds_00009962-RA, Ds_00001320-RA, Ds_00016624-RA
OG0001457	Aqcoe1G384600.1.p, Aqcoe1G384600.2.p, Aqcoe7G312300.1.p	Ds_00001756-RA, Ds_00010663-RA, Ds_00002217-RA
OG0001458	Aqcoe7G145000.3.p, Aqcoe7G145000.5.p, Aqcoe7G145000.1.p, Aqcoe7G145000.2.p, Aqcoe7G145000.4.p	Ds_00000219-RA
OG0001459	Aqcoe7G386900.1.p	Ds_00016090-RA, Ds_00016089-RA
OG0001460	Aqcoe7G002500.1.p, Aqcoe7G002500.2.p	Ds_00001383-RA
OG0001460	Aqcoe5G462100.1.p	Ds_00005612-RA
OG0001461	Aqcoe7G030800.3.p, Aqcoe7G030800.1.p, Aqcoe7G030800.2.p	Ds_00001299-RA, Ds_00003581-RA
OG0001462	Aqcoe7G020000.1.p	Ds_00015864-RA
OG0001463	Aqcoe7G052200.1.p	Ds_00008790-RA, Ds_00001328-RA
OG0001464	Aqcoe7G143500.1.p	Ds_00002269-RA
OG0001464	Aqcoe3G350500.1.p	Ds_00010545-RA
OG0001465	Aqcoe3G248500.1.p, Aqcoe3G248500.4.p, Aqcoe3G248500.3.p, Aqcoe3G248500.2.p	Ds_00013264-RA
OG0001465	Aqcoe7G095100.1.p	Ds_00016577-RA
OG0001467	Aqcoe7G047200.2.p, Aqcoe7G047200.1.p	Ds_00003563-RA
OG0001469	Aqcoe1G390700.3.p, Aqcoe1G390700.1.p, Aqcoe1G390700.2.p	Ds_00001699-RA, Ds_00001698-RA, Ds_00014044-RA
OG0001470	Aqcoe1G450000.1.p	Ds_00014563-RA, Ds_00007984-RA, Ds_00016963-RA, Ds_00008718-RA, Ds_00002076-RA, Ds_00017759-RA
OG0001471	Aqcoe1G186800.1.p	Ds_00004222-RA, Ds_00012392-RA, Ds_00004738-RA
OG0001472	Aqcoe1G205500.1.p, Aqcoe1G201900.1.p	Ds_00015592-RA, Ds_00012742-RA
OG0001473	Aqcoe1G140400.1.p	Ds_00008769-RA
OG0001474	Aqcoe5G129900.1.p	Ds_00015262-RA, Ds_00011350-RA, Ds_00011349-RA
OG0001475	Aqcoe5G030100.1.p	Ds_00006944-RA
OG0001475	Aqcoe1G487300.2.p, Aqcoe1G487300.1.p	Ds_00000028-RA
OG0001476	Aqcoe1G142900.4.p, Aqcoe1G142900.1.p, Aqcoe1G142900.3.p, Aqcoe1G142900.2.p	Ds_00005983-RA
OG0001477	Aqcoe1G166400.1.p	Ds_00005416-RA
OG0001478	Aqcoe1G127700.1.p	Ds_00008755-RA
OG0001478	Aqcoe1G472300.1.p	Ds_00014722-RA, Ds_00010057-RA
OG0001479	Aqcoe1G278800.1.p	Ds_00004511-RA
OG0001480	Aqcoe1G048500.3.p, Aqcoe1G048500.2.p, Aqcoe1G048500.1.p	Ds_00012666-RA, Ds_00014944-RA
OG0001481	Aqcoe1G017400.1.p	Ds_00016128-RA, Ds_00006099-RA, Ds_00005527-RA, Ds_00011033-RA
OG0001482	Aqcoe1G070500.1.p, Aqcoe3G083100.1.p, Aqcoe1G070500.2.p, Aqcoe1G070500.3.p, Aqcoe3G083100.2.p, Aqcoe3G082100.1.p, Aqcoe5G239200.2.p, Aqcoe5G239200.1.p	Ds_00002628-RA
OG0001483	Aqcoe3G119700.1.p, Aqcoe3G119700.2.p, Aqcoe1G199200.1.p	Ds_00004004-RA
OG0001484	Aqcoe1G009000.1.p	Ds_00006224-RA, Ds_00007016-RA, Ds_00006113-RA, Ds_00005745-RA
OG0001485	Aqcoe1G376200.1.p, Aqcoe1G376200.2.p	Ds_00004930-RA, Ds_00001679-RA
OG0001486	Aqcoe5G396700.2.p, Aqcoe5G396700.1.p, Aqcoe5G396500.1.p	Ds_00017076-RA, Ds_00005871-RA, Ds_00005889-RA, Ds_00017077-RA
OG0001487	Aqcoe5G439600.1.p	Ds_00008375-RA, Ds_00012495-RA, Ds_00000870-RA, Ds_00011366-RA, Ds_00004462-RA, Ds_00003112-RA
OG0001488	Aqcoe5G438100.1.p, Aqcoe5G438100.2.p	Ds_00004999-RA
OG0001490	Aqcoe5G299900.1.p	Ds_00002890-RA, Ds_00015005-RA, Ds_00006249-RA, Ds_00012552-RA, Ds_00002891-RA
OG0001491	Aqcoe5G414000.1.p, Aqcoe5G413800.1.p	Ds_00015868-RA, Ds_00005689-RA, Ds_00005688-RA, Ds_00017590-RA
OG0001493	Aqcoe5G135300.1.p	Ds_00005054-RA, Ds_00017568-RA, Ds_00003923-RA
OG0001494	Aqcoe5G359600.1.p, Aqcoe3G194600.1.p	Ds_00009177-RA, Ds_00010764-RA
OG0001495	Aqcoe3G310200.1.p, Aqcoe3G310400.1.p, Aqcoe3G310500.1.p	Ds_00008988-RA, Ds_00006227-RA, Ds_00013869-RA, Ds_00008991-RA, Ds_00008181-RA
OG0001496	Aqcoe3G352300.2.p, Aqcoe3G352300.1.p	Ds_00005336-RA
OG0001497	Aqcoe3G289000.3.p, Aqcoe3G289000.2.p, Aqcoe3G289000.4.p, Aqcoe3G289000.1.p, Aqcoe3G289000.5.p, Aqcoe3G289000.6.p, Aqcoe3G289000.7.p, Aqcoe3G289000.8.p	Ds_00003775-RA, Ds_00003777-RA
OG0001498	Aqcoe3G294700.2.p, Aqcoe3G294700.1.p	Ds_00003764-RA, Ds_00011404-RA, Ds_00016276-RA
OG0001500	Aqcoe3G068100.1.p, Aqcoe3G068100.2.p	Ds_00006573-RA
OG0001501	Aqcoe3G126400.2.p, Aqcoe3G126400.1.p	Ds_00005011-RA, Ds_00009059-RA
OG0001514	Aqcoe2G242700.1.p, Aqcoe2G242500.1.p, Aqcoe0444s0001.1.p, Aqcoe2G242600.1.p, Aqcoe5G287400.1.p, Aqcoe2G242300.1.p, Aqcoe5G152800.1.p, Aqcoe1G495000.1.p	Ds_00011964-RA, Ds_00006218-RA, Ds_00011963-RA, Ds_00014363-RA
OG0001515	Aqcoe2G164000.1.p	Ds_00011701-RA
OG0001515	Aqcoe7G231200.1.p, Aqcoe2G188900.1.p	Ds_00006645-RA, Ds_00012886-RA, Ds_00006646-RA
OG0001516	Aqcoe1G164200.1.p	Ds_00013874-RA
OG0001516	Aqcoe1G137100.1.p, Aqcoe2G143400.1.p	Ds_00005157-RA, Ds_00004136-RA
OG0001517	Aqcoe5G029600.1.p, Aqcoe2G370000.1.p	Ds_00003182-RA
OG0001518	Aqcoe2G092600.1.p, Aqcoe2G092600.2.p, Aqcoe1G419000.2.p, Aqcoe1G419000.1.p	Ds_00006607-RA
