Orthogroup	A_coerulea.proteins	B_vulgaris.proteins
OG0001234	Aqcoe6G167600.1.p, Aqcoe6G167600.2.p	Bevul.1G045700.1.p
OG0001235	Aqcoe6G097700.1.p	Bevul.6G066000.1.p
OG0001235	Aqcoe6G098200.1.p	Bevul.9G180700.1.p
OG0001236	Aqcoe6G316200.1.p, Aqcoe5G095600.6.p, Aqcoe5G095600.4.p, Aqcoe5G095600.3.p, Aqcoe5G095600.1.p, Aqcoe5G095600.2.p	Bevul.6G017500.1.p, Bevul.9G220200.1.p, Bevul.9G220200.3.p, Bevul.9G220200.2.p
OG0001237	Aqcoe5G169300.1.p	Bevul.1G119100.1.p, Bevul.6G059400.1.p
OG0001238	Aqcoe5G313400.1.p, Aqcoe6G078500.1.p	Bevul.1G101800.1.p, Bevul.1G105200.1.p
OG0001239	Aqcoe4G095600.1.p, Aqcoe4G010300.1.p, Aqcoe4G095500.4.p, Aqcoe4G095500.1.p, Aqcoe4G095500.2.p, Aqcoe4G095500.3.p, Aqcoe4G095700.1.p, Aqcoe4G095800.1.p	Bevul.4G064800.1.p, Bevul.4G065000.1.p, Bevul.4G065100.1.p, Bevul.7G114400.1.p, Bevul.7G114500.1.p, Bevul.7G114600.1.p
OG0001240	Aqcoe4G032700.1.p, Aqcoe4G032600.1.p, Aqcoe3G234000.1.p, Aqcoe1G395400.2.p, Aqcoe1G395400.1.p, Aqcoe1G395300.1.p	Bevul.2G186300.1.p, Bevul.2G186200.1.p
OG0001241	Aqcoe4G158700.1.p, Aqcoe4G158700.3.p, Aqcoe4G158700.4.p, Aqcoe4G158700.2.p	Bevul.8G000200.1.p
OG0001242	Aqcoe7G410100.2.p, Aqcoe7G410100.1.p, Aqcoe7G410000.2.p, Aqcoe7G410000.1.p	Bevul.6G027200.1.p, Bevul.4G238100.1.p, Bevul.4G237000.1.p
OG0001243	Aqcoe7G238600.1.p	Bevul.2G119700.2.p, Bevul.2G119700.1.p
OG0001244	Aqcoe5G470200.1.p	Bevul.1G197900.1.p
OG0001244	Aqcoe7G070600.2.p, Aqcoe7G070600.1.p	Bevul.1G131000.1.p
OG0001245	Aqcoe7G190600.3.p, Aqcoe7G190600.1.p, Aqcoe7G190600.2.p	Bevul.8G189900.1.p
OG0001246	Aqcoe7G125900.1.p	Bevul.6G041800.1.p, Bevul.7G175100.1.p
OG0001248	Aqcoe1G433300.1.p, Aqcoe3G281100.1.p	Bevul.7G178400.1.p, Bevul.7G178300.1.p
OG0001249	Aqcoe1G064200.1.p	Bevul.4G109800.1.p, Bevul.5G021300.1.p
OG0001250	Aqcoe1G033400.1.p	Bevul.3G199500.1.p
OG0001250	Aqcoe1G088000.1.p	Bevul.2G236300.1.p
OG0001251	Aqcoe1G285300.2.p, Aqcoe1G285300.1.p	Bevul.9G087700.4.p, Bevul.9G087700.2.p, Bevul.9G087700.3.p, Bevul.9G087700.5.p, Bevul.9G087700.1.p, Bevul.9G087700.6.p, Bevul.9G087700.7.p, Bevul.9G087700.9.p, Bevul.9G087700.8.p
OG0001252	Aqcoe5G393200.1.p	Bevul.7G137800.1.p, Bevul.6G175000.1.p
OG0001253	Aqcoe1G025100.2.p, Aqcoe1G025100.1.p, Aqcoe1G024900.1.p	Bevul.4G231300.1.p
OG0001254	Aqcoe5G209100.4.p, Aqcoe5G209100.3.p, Aqcoe5G209100.1.p, Aqcoe5G209100.2.p	Bevul.1G015300.1.p
OG0001255	Aqcoe5G197500.1.p, Aqcoe5G197500.2.p	Bevul.6G087700.1.p
OG0001256	Aqcoe3G424700.1.p	Bevul.9G144900.1.p
OG0001256	Aqcoe3G422600.1.p	Bevul.8G104100.1.p
OG0001257	Aqcoe3G007800.5.p, Aqcoe3G007800.1.p, Aqcoe3G007800.3.p, Aqcoe3G007800.2.p, Aqcoe3G007800.4.p	Bevul.1G009200.1.p
OG0001257	Aqcoe3G253700.1.p	Bevul.1G148500.1.p
OG0001258	Aqcoe3G348500.1.p, Aqcoe3G348400.1.p, Aqcoe3G348400.2.p, Aqcoe3G348300.1.p	Bevul.6G231400.1.p
OG0001259	Aqcoe3G224900.1.p	Bevul.5G090900.1.p, Bevul.3G013900.1.p
OG0001260	Aqcoe3G382100.2.p, Aqcoe3G382100.1.p, Aqcoe3G070300.1.p, Aqcoe3G070300.2.p, Aqcoe3G070300.3.p	Bevul.6G109300.1.p
OG0001261	Aqcoe3G370100.1.p, Aqcoe3G370100.3.p, Aqcoe3G370100.2.p, Aqcoe3G370100.5.p, Aqcoe3G370100.4.p	Bevul.5G175300.1.p
OG0001262	Aqcoe3G374100.1.p	Bevul.2G200400.1.p, Bevul.6G106600.1.p, Bevul.5G173200.1.p
OG0001263	Aqcoe3G045400.1.p, Aqcoe3G045400.2.p	Bevul.1G035000.1.p
OG0001271	Aqcoe2G415100.1.p	Bevul.7G135400.1.p, Bevul.3G228800.1.p
OG0001272	Aqcoe4G114800.1.p, Aqcoe7G435000.1.p, Aqcoe7G434700.1.p, Aqcoe2G395300.3.p, Aqcoe2G395300.2.p, Aqcoe2G395300.4.p, Aqcoe2G395300.5.p, Aqcoe2G395300.1.p, Aqcoe2G395400.1.p	Bevul.7G169100.1.p
OG0001273	Aqcoe5G045200.1.p, Aqcoe5G045200.2.p, Aqcoe2G355600.1.p	Bevul.5G239700.1.p, Bevul.9G198700.1.p, Bevul.9G198800.1.p
OG0001274	Aqcoe2G210800.1.p	Bevul.9G099000.1.p
OG0001275	Aqcoe2G391300.1.p, Aqcoe5G004900.1.p	Bevul.3G168600.1.p
OG0001275	Aqcoe7G422300.1.p	Bevul.7G176100.1.p
OG0001276	Aqcoe2G282900.1.p	Bevul.3G001500.2.p, Bevul.3G001500.1.p, Bevul.4G197500.1.p
OG0001277	Aqcoe2G109500.9.p, Aqcoe3G143500.1.p, Aqcoe3G143500.2.p, Aqcoe2G109500.2.p, Aqcoe2G109500.6.p, Aqcoe2G109500.7.p, Aqcoe2G109500.1.p, Aqcoe2G109500.12.p, Aqcoe2G109500.8.p, Aqcoe2G109500.11.p, Aqcoe2G109500.3.p, Aqcoe2G109500.5.p, Aqcoe2G109500.4.p, Aqcoe2G109500.10.p, Aqcoe5G253400.2.p, Aqcoe5G253400.1.p	Bevul.8G000900.1.p, Bevul.5G215900.1.p
OG0001278	Aqcoe2G150900.1.p, Aqcoe2G150900.4.p, Aqcoe2G150900.2.p, Aqcoe2G150900.3.p, Aqcoe2G150900.5.p	Bevul.9G042800.6.p, Bevul.9G042800.11.p, Bevul.9G042800.7.p, Bevul.9G042800.10.p, Bevul.9G042800.9.p, Bevul.9G042800.1.p, Bevul.9G042800.3.p, Bevul.9G042800.5.p, Bevul.9G042800.4.p, Bevul.9G042800.2.p, Bevul.9G042800.8.p
OG0001279	Aqcoe1G454400.2.p, Aqcoe1G454400.1.p, Aqcoe2G129700.1.p	Bevul.7G231300.1.p, Bevul.7G032700.1.p
OG0001280	Aqcoe5G381800.1.p	Bevul.6G170800.1.p
OG0001280	Aqcoe2G175000.1.p, Aqcoe2G175200.1.p, Aqcoe1G454100.1.p	Bevul.6G170400.1.p
OG0001281	Aqcoe2G283500.2.p, Aqcoe2G283500.1.p	Bevul.7G104800.1.p, Bevul.7G104800.2.p, Bevul.7G104800.3.p, Bevul.4G199100.1.p
OG0001282	Aqcoe2G040900.1.p, Aqcoe1G042300.1.p, Aqcoe1G042300.2.p	Bevul.3G209100.1.p, Bevul.2G042000.1.p
OG0001283	Aqcoe2G277000.2.p, Aqcoe2G277000.1.p, Aqcoe2G277000.3.p	Bevul.3G054100.1.p
OG0001284	Aqcoe0043s0002.1.p, Aqcoe4G213100.1.p, Aqcoe4G154800.1.p, Aqcoe4G180500.1.p, Aqcoe4G212900.1.p, Aqcoe4G154900.1.p, Aqcoe4G180400.1.p, Aqcoe4G213000.1.p, Aqcoe0043s0001.1.p	Bevul.8G050400.1.p, Bevul.8G050500.1.p
OG0001285	Aqcoe6G083800.1.p, Aqcoe6G083800.2.p	Bevul.1G101000.1.p, Bevul.9G146000.1.p
OG0001286	Aqcoe5G161200.1.p, Aqcoe6G154600.1.p	Bevul.1G113200.1.p, Bevul.6G100400.1.p
OG0001289	Aqcoe6G127600.2.p, Aqcoe6G127600.1.p, Aqcoe3G219900.1.p, Aqcoe3G219900.2.p, Aqcoe5G187100.1.p	Bevul.1G157100.1.p
OG0001290	Aqcoe6G176000.1.p	Bevul.1G041800.1.p, Bevul.9G120900.1.p
OG0001291	Aqcoe6G083900.1.p	Bevul.9G145900.1.p
OG0001291	Aqcoe1G277100.2.p, Aqcoe1G277100.1.p	Bevul.8G057300.1.p
OG0001292	Aqcoe4G002500.2.p, Aqcoe4G002500.1.p, Aqcoe3G015400.1.p, Aqcoe3G015800.1.p	Bevul.2G093200.1.p, Bevul.2G093000.1.p
OG0001293	Aqcoe4G050900.1.p, Aqcoe4G050900.3.p, Aqcoe4G050900.2.p	Bevul.4G072700.1.p
OG0001294	Aqcoe5G401700.2.p, Aqcoe5G401700.1.p	Bevul.5G219500.1.p
OG0001294	Aqcoe4G116700.1.p, Aqcoe7G128600.1.p	Bevul.7G232700.1.p
OG0001295	Aqcoe1G266700.1.p, Aqcoe4G103500.1.p	Bevul.4G094500.1.p, Bevul.8G026500.1.p
OG0001296	Aqcoe7G398100.1.p	Bevul.8G191400.1.p
OG0001297	Aqcoe7G115400.2.p, Aqcoe7G115400.1.p	Bevul.7G170700.1.p
OG0001298	Aqcoe7G078900.1.p	Bevul.3G090100.1.p, Bevul.5G007200.1.p
OG0001299	Aqcoe7G426200.1.p, Aqcoe7G124000.1.p	Bevul.7G173600.1.p, Bevul.8G131500.1.p
OG0001300	Aqcoe7G124300.2.p, Aqcoe7G124300.1.p, Aqcoe7G425800.1.p, Aqcoe7G425800.2.p	Bevul.7G173700.1.p
OG0001301	Aqcoe7G127500.1.p, Aqcoe7G127500.2.p	Bevul.7G176500.1.p
OG0001302	Aqcoe5G251800.1.p	Bevul.6G056900.1.p
OG0001303	Aqcoe7G307600.1.p	Bevul.2G004900.3.p, Bevul.2G004900.2.p, Bevul.2G004900.1.p, Bevul.2G004900.4.p
OG0001304	Aqcoe7G240500.1.p	Bevul.2G126400.1.p, Bevul.7G149900.1.p, Bevul.2G120300.1.p
OG0001305	Aqcoe7G010000.1.p, Aqcoe7G010000.2.p	Bevul.5G016400.1.p, Bevul.3G038600.1.p, Bevul.3G038700.1.p, Bevul.3G038400.1.p, Bevul.3G038500.1.p
OG0001307	Aqcoe5G381900.1.p, Aqcoe1G418000.1.p	Bevul.1G028200.1.p
OG0001308	Aqcoe5G037800.1.p, Aqcoe1G053300.1.p, Aqcoe3G127900.1.p	Bevul.5G199900.1.p, Bevul.5G242800.1.p
OG0001309	Aqcoe1G425700.4.p, Aqcoe1G425700.3.p, Aqcoe1G425700.2.p, Aqcoe1G425700.1.p	Bevul.8G102500.1.p
OG0001310	Aqcoe1G341600.1.p, Aqcoe1G341600.2.p	Bevul.8G043200.1.p, Bevul.3G072300.1.p, Bevul.4G014000.1.p
OG0001311	Aqcoe1G424300.1.p	Bevul.3G165700.1.p, Bevul.7G115400.1.p
OG0001312	Aqcoe1G239400.1.p	Bevul.4G073800.1.p, Bevul.9G084400.2.p, Bevul.9G084400.1.p
OG0001313	Aqcoe1G079200.2.p, Aqcoe1G079200.1.p, Aqcoe1G079100.1.p	Bevul.5G012400.1.p, Bevul.3G066900.1.p, Bevul.7G179800.1.p, Bevul.7G179500.1.p
OG0001314	Aqcoe1G494000.1.p	Bevul.5G101300.1.p, Bevul.2G116800.2.p, Bevul.2G116800.1.p
OG0001315	Aqcoe1G095000.2.p, Aqcoe1G095000.1.p	Bevul.1G098300.1.p, Bevul.3G075100.1.p
OG0001316	Aqcoe1G478100.1.p	Bevul.7G214200.1.p, Bevul.6G177000.1.p, Bevul.6G176900.1.p, Bevul.2G107100.1.p
OG0001317	Aqcoe1G337200.1.p	Bevul.9G021400.4.p, Bevul.9G021400.3.p, Bevul.9G021400.2.p, Bevul.9G021400.1.p, Bevul.8G047000.1.p
OG0001318	Aqcoe1G082100.1.p	Bevul.7G178700.1.p, Bevul.7G016400.1.p
OG0001319	Aqcoe1G033000.1.p, Aqcoe1G033000.3.p, Aqcoe1G033000.2.p	Bevul.9G113700.1.p, Bevul.9G113700.2.p
OG0001320	Aqcoe5G392900.1.p, Aqcoe5G393000.1.p	Bevul.4G079800.1.p, Bevul.4G080100.1.p, Bevul.4G079900.1.p, Bevul.7G148900.1.p
OG0001321	Aqcoe5G138300.1.p	Bevul.6G007600.1.p, Bevul.9G233900.1.p
OG0001322	Aqcoe3G177000.1.p	Bevul.3G132100.1.p
OG0001322	Aqcoe5G062800.2.p, Aqcoe5G062800.1.p	Bevul.3G132200.1.p
OG0001323	Aqcoe5G110900.1.p, Aqcoe5G110900.3.p, Aqcoe5G110900.2.p, Aqcoe5G110900.4.p, Aqcoe5G427100.1.p	Bevul.3G078900.1.p, Bevul.8G151100.1.p, Bevul.8G150900.1.p, Bevul.8G150800.1.p, Bevul.8G150700.1.p, Bevul.8G151000.1.p, Bevul.1G121800.1.p
OG0001324	Aqcoe5G184600.5.p, Aqcoe5G184600.1.p, Aqcoe5G184600.4.p, Aqcoe5G184600.3.p, Aqcoe5G184600.2.p	Bevul.9G166000.1.p, Bevul.9G143100.4.p, Bevul.9G143100.1.p, Bevul.9G143100.2.p, Bevul.9G143100.3.p, Bevul.9G143100.5.p
OG0001325	Aqcoe5G007900.1.p, Aqcoe5G007900.4.p, Aqcoe5G007900.7.p, Aqcoe5G007900.6.p, Aqcoe5G007900.5.p, Aqcoe5G007900.3.p, Aqcoe5G007900.2.p	Bevul.7G124400.1.p
OG0001326	Aqcoe3G069500.1.p	Bevul.5G169500.1.p
OG0001326	Aqcoe3G108500.1.p, Aqcoe3G069100.1.p	Bevul.6G109100.1.p
OG0001327	Aqcoe3G232200.1.p	Bevul.5G032400.1.p, Bevul.7G055000.1.p, Bevul.7G055100.1.p
OG0001328	Aqcoe3G408700.4.p, Aqcoe3G408700.1.p, Aqcoe3G408700.2.p, Aqcoe3G408700.5.p, Aqcoe3G408700.3.p, Aqcoe3G408700.6.p	Bevul.4G051800.1.p
OG0001329	Aqcoe3G167600.1.p	Bevul.3G015400.1.p, Bevul.5G094800.1.p
OG0001335	Aqcoe3G017500.1.p, Aqcoe4G069700.1.p	Bevul.7G106900.2.p, Bevul.7G106900.1.p
OG0001336	Aqcoe2G368400.1.p	Bevul.5G245400.1.p
OG0001336	Aqcoe1G101600.1.p, Aqcoe2G231100.1.p	Bevul.3G090400.1.p
OG0001337	Aqcoe1G488600.1.p, Aqcoe2G131200.1.p, Aqcoe2G131400.1.p	Bevul.2G113200.1.p, Bevul.9G027200.1.p, Bevul.9G027100.1.p, Bevul.2G113100.1.p
OG0001339	Aqcoe2G276800.1.p, Aqcoe2G202300.1.p	Bevul.4G195600.1.p, Bevul.3G054200.1.p, Bevul.5G253200.1.p
OG0001340	Aqcoe2G065700.3.p, Aqcoe2G065700.1.p, Aqcoe2G065700.2.p, Aqcoe2G065400.1.p	Bevul.5G119200.1.p
OG0001340	Aqcoe3G089200.1.p	Bevul.7G184600.1.p
OG0001341	Aqcoe2G363700.1.p, Aqcoe2G363100.1.p, Aqcoe2G363100.2.p	Bevul.5G242500.1.p, Bevul.4G132800.1.p
OG0001342	Aqcoe5G471500.1.p, Aqcoe2G106900.2.p, Aqcoe2G106900.1.p	Bevul.1G199500.1.p
OG0001343	Aqcoe5G055700.1.p, Aqcoe2G345000.1.p	Bevul.4G140400.1.p, Bevul.3G137600.1.p
OG0001344	Aqcoe2G172700.1.p, Aqcoe1G478700.1.p, Aqcoe1G478700.2.p, Aqcoe1G478700.3.p	Bevul.2G107600.1.p, Bevul.2G107600.2.p, Bevul.2G107600.3.p, Bevul.2G107600.4.p
OG0001345	Aqcoe2G091400.2.p, Aqcoe2G091400.4.p, Aqcoe2G091400.3.p, Aqcoe2G091400.1.p, Aqcoe1G417500.1.p	Bevul.2G243900.2.p, Bevul.2G243900.3.p, Bevul.2G243900.1.p, Bevul.5G051600.1.p
OG0001346	Aqcoe2G299500.1.p	Bevul.4G201200.1.p
OG0001346	Aqcoe7G442200.1.p, Aqcoe7G101300.1.p	Bevul.8G148900.1.p
OG0001348	Aqcoe2G084500.1.p	Bevul.5G055600.1.p
OG0001348	Aqcoe1G151900.1.p, Aqcoe4G080100.1.p, Aqcoe1G315900.1.p	Bevul.2G248800.1.p
OG0001349	Aqcoe5G023100.1.p, Aqcoe5G023100.2.p, Aqcoe5G023100.3.p, Aqcoe2G378100.2.p, Aqcoe2G378100.1.p, Aqcoe2G378100.3.p	Bevul.4G128600.1.p
OG0001350	Aqcoe2G389500.2.p, Aqcoe1G265200.1.p, Aqcoe2G389500.1.p	Bevul.7G121200.1.p
OG0001351	Aqcoe2G205900.6.p, Aqcoe2G205900.1.p, Aqcoe2G205900.4.p, Aqcoe2G205900.3.p, Aqcoe2G205900.5.p, Aqcoe2G205900.2.p	Bevul.9G043400.10.p, Bevul.9G043400.15.p, Bevul.9G043400.3.p, Bevul.9G043400.2.p, Bevul.9G043400.4.p, Bevul.9G043400.17.p, Bevul.9G043400.16.p, Bevul.9G043400.12.p, Bevul.9G043400.11.p, Bevul.9G043400.14.p, Bevul.9G043400.13.p, Bevul.9G043400.7.p, Bevul.9G043400.5.p, Bevul.9G043400.8.p, Bevul.9G043400.6.p, Bevul.9G043400.9.p, Bevul.9G043400.1.p
OG0001352	Aqcoe2G339500.1.p	Bevul.7G073200.1.p, Bevul.3G140900.1.p
OG0001353	Aqcoe2G164500.2.p, Aqcoe2G164500.1.p	Bevul.9G101800.1.p
OG0001354	Aqcoe2G021200.2.p, Aqcoe2G021200.1.p	Bevul.3G192100.1.p
OG0001355	Aqcoe3G118600.1.p, Aqcoe6G103100.1.p	Bevul.6G095000.1.p, Bevul.4G036200.1.p, Bevul.9G178400.1.p
OG0001356	Aqcoe6G158800.1.p, Aqcoe6G158900.1.p, Aqcoe3G161000.1.p	Bevul.8G038400.1.p, Bevul.8G038300.1.p
OG0001356	Aqcoe5G346200.1.p	Bevul.5G158100.1.p
OG0001357	Aqcoe6G096000.1.p, Aqcoe6G096000.2.p	Bevul.9G181800.5.p, Bevul.9G181800.8.p, Bevul.9G181800.21.p, Bevul.9G181800.19.p, Bevul.9G181800.9.p, Bevul.9G181800.6.p, Bevul.9G181800.20.p, Bevul.9G181800.3.p, Bevul.9G181800.11.p, Bevul.9G181800.4.p, Bevul.9G181800.10.p, Bevul.9G181800.2.p, Bevul.9G181800.16.p, Bevul.9G181800.7.p, Bevul.9G181800.1.p, Bevul.9G181800.18.p, Bevul.9G181800.14.p, Bevul.9G181800.17.p, Bevul.9G181800.15.p, Bevul.9G181800.13.p, Bevul.9G181800.12.p
OG0001358	Aqcoe6G227400.1.p	Bevul.1G032800.1.p
OG0001359	Aqcoe5G238700.3.p, Aqcoe5G238700.2.p, Aqcoe5G238700.4.p, Aqcoe5G238700.1.p	Bevul.1G079800.1.p
OG0001359	Aqcoe6G027900.2.p, Aqcoe6G027900.4.p, Aqcoe6G027900.3.p, Aqcoe6G027900.1.p	Bevul.6G053500.1.p
OG0001360	Aqcoe6G075200.1.p	Bevul.6G098000.1.p, Bevul.1G108100.1.p, Bevul.9G119000.1.p
OG0001361	Aqcoe6G241500.2.p, Aqcoe6G241500.1.p	Bevul.1G032100.1.p
OG0001362	Aqcoe5G202000.2.p, Aqcoe5G202000.1.p, Aqcoe6G107900.1.p, Aqcoe6G107900.2.p	Bevul.6G091300.1.p
OG0001363	Aqcoe6G086400.1.p, Aqcoe6G086400.3.p, Aqcoe6G086400.2.p	Bevul.1G099500.1.p
OG0001363	Aqcoe5G220600.4.p, Aqcoe5G220600.1.p, Aqcoe5G220600.2.p, Aqcoe5G220600.3.p	Bevul.9G145200.5.p, Bevul.9G145200.4.p, Bevul.9G145200.1.p, Bevul.9G145200.3.p, Bevul.9G145200.2.p
OG0001364	Aqcoe3G177200.1.p, Aqcoe1G099800.1.p	Bevul.2G227100.1.p
OG0001364	Aqcoe4G312900.1.p	Bevul.4G010100.1.p, Bevul.4G010300.1.p
OG0001365	Aqcoe4G078600.1.p	Bevul.9G080500.2.p, Bevul.9G080500.1.p, Bevul.9G080500.3.p
OG0001366	Aqcoe4G136000.1.p, Aqcoe4G136100.1.p, Aqcoe4G127900.1.p, Aqcoe4G135900.1.p, Aqcoe4G135800.2.p, Aqcoe4G135800.1.p, Aqcoe4G123600.1.p, Aqcoe4G136400.1.p	Bevul.8G024200.1.p
OG0001367	Aqcoe4G045200.1.p, Aqcoe5G420100.1.p, Aqcoe5G420100.2.p, Aqcoe5G419600.3.p, Aqcoe0112s0001.1.p, Aqcoe7G078700.2.p, Aqcoe7G078700.1.p	Bevul.5G007400.1.p, Bevul.3G090000.1.p
OG0001368	Aqcoe3G079500.1.p, Aqcoe4G191700.1.p, Aqcoe4G192800.1.p	Bevul.6G119200.1.p, Bevul.2G218000.1.p, Bevul.2G218000.2.p, Bevul.2G218000.3.p
OG0001369	Aqcoe4G025500.1.p	Bevul.9G100700.1.p
OG0001369	Aqcoe4G025600.1.p	Bevul.4G082200.1.p
OG0001370	Aqcoe1G228600.1.p	Bevul.3G213000.1.p
OG0001371	Aqcoe7G441200.1.p	Bevul.8G148400.1.p
OG0001371	Aqcoe7G102000.4.p, Aqcoe7G102000.3.p, Aqcoe7G102000.2.p, Aqcoe7G102000.5.p, Aqcoe7G102000.6.p, Aqcoe7G102000.1.p	Bevul.7G162000.1.p
OG0001372	Aqcoe7G145100.1.p	Bevul.8G204900.1.p
OG0001372	Aqcoe3G271200.1.p	Bevul.5G071400.1.p
OG0001373	Aqcoe1G127900.1.p	Bevul.9G040600.2.p, Bevul.9G040600.1.p, Bevul.9G040600.3.p
OG0001373	Aqcoe7G395200.2.p, Aqcoe7G395200.4.p, Aqcoe7G395200.3.p, Aqcoe7G395200.1.p	Bevul.2G015200.1.p
OG0001374	Aqcoe7G284000.2.p, Aqcoe7G284000.1.p	Bevul.2G121100.1.p, Bevul.2G121100.2.p
OG0001375	Aqcoe7G078200.1.p, Aqcoe7G078200.2.p	Bevul.5G007800.1.p, Bevul.3G089700.1.p
OG0001376	Aqcoe3G024600.1.p	Bevul.3G062600.1.p
OG0001376	Aqcoe5G084300.1.p	Bevul.4G204600.1.p
OG0001377	Aqcoe7G376400.1.p	Bevul.9G191400.1.p, Bevul.8G166700.1.p
OG0001378	Aqcoe1G449900.1.p	Bevul.7G030200.1.p
OG0001378	Aqcoe7G050900.1.p	Bevul.3G079200.1.p
OG0001379	Aqcoe7G108600.1.p	Bevul.7G166800.1.p
OG0001379	Aqcoe7G108600.2.p	Bevul.8G144800.1.p
OG0001380	Aqcoe7G318800.1.p, Aqcoe7G318800.2.p, Aqcoe7G318800.3.p	Bevul.8G211300.1.p, Bevul.2G131100.1.p
OG0001381	Aqcoe7G143900.1.p	Bevul.8G206200.1.p, Bevul.2G152300.1.p
OG0001383	Aqcoe7G287900.1.p	Bevul.5G066400.1.p, Bevul.5G066300.1.p, Bevul.5G066200.1.p, Bevul.4G122800.1.p
OG0001384	Aqcoe7G051100.2.p, Aqcoe7G051100.1.p	Bevul.5G036600.1.p, Bevul.6G106200.1.p, Bevul.3G079300.1.p
OG0001385	Aqcoe1G207500.1.p	Bevul.1G149000.1.p, Bevul.1G149200.1.p, Bevul.1G149100.1.p
OG0001386	Aqcoe1G010800.2.p, Aqcoe1G010800.1.p	Bevul.9G064400.2.p, Bevul.9G064400.3.p, Bevul.9G064400.5.p, Bevul.9G064400.8.p, Bevul.9G064400.10.p, Bevul.9G064400.14.p, Bevul.9G064400.13.p, Bevul.9G064400.7.p, Bevul.9G064400.11.p, Bevul.9G064400.9.p, Bevul.9G064400.12.p, Bevul.9G064400.1.p, Bevul.9G064400.15.p
OG0001387	Aqcoe1G056000.1.p	Bevul.4G249600.1.p, Bevul.3G175600.1.p
OG0001388	Aqcoe1G280600.1.p, Aqcoe1G280600.2.p	Bevul.8G056700.1.p, Bevul.4G034000.1.p
OG0001389	Aqcoe1G141400.2.p, Aqcoe1G141400.1.p, Aqcoe1G141400.3.p	Bevul.9G046900.1.p, Bevul.9G219200.3.p, Bevul.9G219200.4.p, Bevul.9G219200.5.p, Bevul.9G219200.6.p, Bevul.5G093500.1.p, Bevul.9G219200.1.p, Bevul.9G219200.2.p
OG0001390	Aqcoe1G085000.1.p, Aqcoe1G085000.2.p	Bevul.7G195500.1.p
OG0001390	Aqcoe1G085100.1.p	Bevul.5G046800.1.p
OG0001391	Aqcoe5G328000.1.p, Aqcoe5G328200.1.p, Aqcoe5G328100.2.p, Aqcoe5G328100.1.p, Aqcoe5G328300.1.p	Bevul.5G164900.1.p, Bevul.5G164800.1.p, Bevul.5G164700.1.p, Bevul.5G165000.1.p
OG0001392	Aqcoe5G459700.1.p	Bevul.5G015800.1.p, Bevul.1G191800.1.p
OG0001392	Aqcoe5G464300.2.p, Aqcoe5G464300.1.p	Bevul.3G037900.1.p
OG0001393	Aqcoe5G033200.1.p	Bevul.3G096300.1.p, Bevul.1G037800.1.p, Bevul.3G096500.1.p, Bevul.4G035000.1.p
OG0001394	Aqcoe5G249200.2.p, Aqcoe5G249200.1.p	Bevul.1G073900.1.p
OG0001395	Aqcoe5G383100.2.p, Aqcoe5G383100.1.p, Aqcoe5G383100.3.p, Aqcoe5G383100.4.p, Aqcoe5G383100.5.p	Bevul.7G142900.1.p
OG0001396	Aqcoe3G198200.1.p, Aqcoe5G353100.4.p, Aqcoe5G353100.3.p, Aqcoe5G353100.5.p, Aqcoe5G353100.1.p, Aqcoe5G353100.2.p	Bevul.6G205500.1.p
OG0001397	Aqcoe3G390300.1.p, Aqcoe3G390300.3.p, Aqcoe3G390300.2.p	Bevul.2G218400.1.p
OG0001397	Aqcoe3G054300.2.p, Aqcoe3G054300.1.p	Bevul.6G118000.1.p
OG0001398	Aqcoe3G134300.1.p, Aqcoe3G134200.1.p, Aqcoe3G435900.1.p	Bevul.4G118900.1.p, Bevul.4G119100.1.p, Bevul.9G026800.1.p, Bevul.4G119000.1.p
OG0001399	Aqcoe3G387000.1.p, Aqcoe3G386900.1.p	Bevul.6G114900.1.p, Bevul.6G115900.1.p, Bevul.6G115700.1.p, Bevul.6G115400.1.p, Bevul.6G115500.1.p, Bevul.6G115200.1.p, Bevul.2G222500.1.p
OG0001400	Aqcoe3G114300.1.p, Aqcoe3G299000.1.p	Bevul.6G193500.1.p
OG0001400	Aqcoe3G114300.2.p	Bevul.2G095700.1.p, Bevul.2G095700.2.p
OG0001401	Aqcoe3G245500.1.p	Bevul.1G145900.1.p
OG0001402	Aqcoe3G075600.1.p	Bevul.8G154900.1.p, Bevul.8G154800.1.p, Bevul.2G221700.1.p, Bevul.6G114600.1.p
OG0001403	Aqcoe3G020600.2.p, Aqcoe3G020600.1.p	Bevul.2G206800.2.p, Bevul.2G206800.1.p, Bevul.6G139800.1.p
OG0001404	Aqcoe3G120300.1.p	Bevul.4G095800.1.p, Bevul.5G212200.1.p
OG0001405	Aqcoe3G007700.1.p, Aqcoe3G007700.2.p	Bevul.5G196400.1.p, Bevul.9G006500.2.p, Bevul.9G006500.1.p, Bevul.9G006600.1.p
OG0001406	Aqcoe3G315800.1.p, Aqcoe3G315800.3.p, Aqcoe3G315800.2.p	Bevul.5G201500.1.p, Bevul.6G245800.1.p
