Orthogroup	A_coerulea.proteins	D_muscipula.proteins
OG0002441	Aqcoe7G163500.1.p	Dm_00005776-RA
OG0002442	Aqcoe7G129800.1.p, Aqcoe5G089100.1.p	Dm_00020641-RA, Dm_00015439-RA
OG0002443	Aqcoe7G053600.1.p, Aqcoe7G053600.2.p, Aqcoe7G063100.3.p	Dm_00019958-RA
OG0002443	Aqcoe3G012400.1.p	Dm_00013409-RA
OG0002444	Aqcoe7G414300.1.p, Aqcoe7G414300.2.p, Aqcoe7G089700.2.p, Aqcoe7G089700.1.p, Aqcoe7G089700.3.p	Dm_00010290-RA
OG0002445	Aqcoe7G354900.1.p	Dm_00015823-RA
OG0002446	Aqcoe7G210500.1.p	Dm_00019123-RA
OG0002447	Aqcoe7G237200.17.p, Aqcoe7G237200.18.p, Aqcoe7G237200.5.p, Aqcoe7G237200.13.p, Aqcoe7G237200.14.p, Aqcoe7G237200.11.p, Aqcoe7G237200.15.p, Aqcoe7G237200.7.p, Aqcoe7G237200.6.p, Aqcoe7G237200.12.p, Aqcoe7G237200.1.p, Aqcoe7G237200.4.p, Aqcoe7G237200.9.p, Aqcoe7G237200.2.p, Aqcoe7G237200.8.p, Aqcoe7G237200.3.p, Aqcoe7G237200.10.p	Dm_00011692-RA
OG0002448	Aqcoe7G211100.1.p	Dm_00007732-RA, Dm_00001058-RA, Dm_00000101-RA
OG0002449	Aqcoe7G423500.1.p	Dm_00011648-RA
OG0002450	Aqcoe7G068400.1.p	Dm_00010160-RA, Dm_00008214-RA, Dm_00019387-RA
OG0002451	Aqcoe7G115000.2.p, Aqcoe7G115000.1.p, Aqcoe5G206100.1.p	Dm_00016389-RA, Dm_00020114-RA
OG0002452	Aqcoe7G074700.1.p, Aqcoe7G074700.2.p	Dm_00010253-RA
OG0002453	Aqcoe3G388900.3.p, Aqcoe3G388900.4.p, Aqcoe3G388900.2.p, Aqcoe3G388900.1.p	Dm_00003892-RA
OG0002453	Aqcoe7G254100.2.p, Aqcoe7G254100.1.p	Dm_00000992-RA
OG0002454	Aqcoe7G348300.1.p, Aqcoe7G220700.1.p	Dm_00001003-RA, Dm_00014622-RA
OG0002455	Aqcoe7G078100.1.p	Dm_00009124-RA
OG0002456	Aqcoe7G430700.1.p	Dm_00014835-RA
OG0002457	Aqcoe7G045600.1.p	Dm_00018485-RA, Dm_00014452-RA
OG0002458	Aqcoe7G240300.1.p	Dm_00007434-RA
OG0002459	Aqcoe7G328300.1.p, Aqcoe7G328300.2.p	Dm_00007820-RA, Dm_00000761-RA
OG0002460	Aqcoe7G024500.1.p, Aqcoe7G024500.2.p	Dm_00005055-RA, Dm_00015996-RA
OG0002461	Aqcoe7G082700.1.p, Aqcoe7G082700.2.p	Dm_00000906-RA, Dm_00002093-RA
OG0002462	Aqcoe7G372700.1.p	Dm_00000258-RA, Dm_00000257-RA
OG0002463	Aqcoe5G073800.1.p	Dm_00006650-RA
OG0002463	Aqcoe7G425600.2.p, Aqcoe7G425600.1.p	Dm_00001883-RA, Dm_00001520-RA
OG0002464	Aqcoe1G424700.5.p, Aqcoe1G424700.3.p, Aqcoe1G424700.4.p, Aqcoe1G424700.2.p, Aqcoe1G424700.1.p	Dm_00007631-RA
OG0002465	Aqcoe1G330600.2.p, Aqcoe1G330600.1.p, Aqcoe5G410300.1.p	Dm_00005334-RA, Dm_00000885-RA
OG0002466	Aqcoe1G165800.9.p, Aqcoe1G165800.8.p, Aqcoe1G165800.3.p, Aqcoe1G165800.7.p, Aqcoe1G165800.5.p, Aqcoe1G165800.4.p, Aqcoe1G165800.2.p, Aqcoe1G165800.6.p, Aqcoe1G165800.1.p	Dm_00016053-RA, Dm_00013263-RA
OG0002467	Aqcoe1G023100.1.p	Dm_00009965-RA, Dm_00014072-RA, Dm_00013315-RA
OG0002468	Aqcoe1G217600.1.p	Dm_00013352-RA
OG0002469	Aqcoe1G113200.1.p	Dm_00008764-RA, Dm_00008763-RA
OG0002470	Aqcoe1G001100.1.p, Aqcoe1G001100.2.p	Dm_00005874-RA
OG0002471	Aqcoe1G103300.1.p	Dm_00013464-RA, Dm_00017085-RA, Dm_00006408-RA
OG0002472	Aqcoe1G442000.1.p	Dm_00003238-RA, Dm_00004197-RA, Dm_00004292-RA, Dm_00004290-RA
OG0002473	Aqcoe1G030700.1.p, Aqcoe1G030700.2.p	Dm_00012974-RA
OG0002474	Aqcoe1G149400.1.p	Dm_00014593-RA
OG0002475	Aqcoe1G297400.1.p, Aqcoe1G297400.4.p, Aqcoe1G297400.2.p, Aqcoe1G297400.3.p	Dm_00000243-RA
OG0002476	Aqcoe3G203000.1.p	Dm_00011944-RA
OG0002477	Aqcoe1G143300.1.p, Aqcoe1G143300.2.p	Dm_00016893-RA
OG0002478	Aqcoe5G181800.1.p	Dm_00010827-RA
OG0002479	Aqcoe5G180300.1.p, Aqcoe5G180400.1.p	Dm_00004021-RA, Dm_00019840-RA
OG0002480	Aqcoe5G417900.1.p, Aqcoe5G418000.1.p	Dm_00002097-RA, Dm_00000913-RA
OG0002481	Aqcoe5G405600.1.p, Aqcoe3G202800.1.p, Aqcoe3G202800.2.p	Dm_00015962-RA
OG0002482	Aqcoe5G339900.1.p	Dm_00000954-RA, Dm_00003251-RA
OG0002483	Aqcoe5G345800.1.p	Dm_00008444-RA
OG0002483	Aqcoe3G159700.1.p	Dm_00011002-RA, Dm_00019271-RA
OG0002484	Aqcoe5G382700.3.p, Aqcoe5G382700.2.p, Aqcoe5G382700.1.p	Dm_00001680-RA, Dm_00001441-RA
OG0002485	Aqcoe5G368200.4.p, Aqcoe5G368200.5.p, Aqcoe5G368200.2.p, Aqcoe5G368200.3.p, Aqcoe5G368200.1.p	Dm_00006884-RA
OG0002486	Aqcoe5G351500.1.p	Dm_00020319-RA
OG0002487	Aqcoe3G359200.1.p	Dm_00004837-RA, Dm_00008100-RA
OG0002488	Aqcoe5G474000.1.p, Aqcoe5G474000.2.p	Dm_00000418-RA
OG0002489	Aqcoe5G175000.3.p, Aqcoe5G175000.1.p, Aqcoe5G175000.2.p	Dm_00005606-RA, Dm_00002747-RA
OG0002490	Aqcoe5G022700.2.p, Aqcoe5G022700.1.p	Dm_00007595-RA
OG0002491	Aqcoe5G114400.1.p	Dm_00002674-RA
OG0002492	Aqcoe5G397400.1.p, Aqcoe5G397400.2.p, Aqcoe5G397400.3.p, Aqcoe3G299100.1.p	Dm_00006720-RA
OG0002493	Aqcoe5G147300.1.p, Aqcoe5G147300.2.p	Dm_00001650-RA
OG0002495	Aqcoe3G357800.1.p	Dm_00014640-RA, Dm_00014664-RA, Dm_00018166-RA
OG0002496	Aqcoe3G360300.1.p	Dm_00004833-RA, Dm_00004834-RA, Dm_00011410-RA, Dm_00018537-RA
OG0002497	Aqcoe3G134700.1.p	Dm_00019433-RA, Dm_00016041-RA
OG0002498	Aqcoe3G059400.1.p, Aqcoe3G059400.2.p	Dm_00002178-RA
OG0002500	Aqcoe3G314700.1.p	Dm_00005828-RA, Dm_00012374-RA
OG0002501	Aqcoe3G232800.1.p	Dm_00000253-RA
OG0002502	Aqcoe3G327200.1.p, Aqcoe3G091300.1.p	Dm_00007002-RA
OG0002503	Aqcoe3G385000.1.p, Aqcoe3G075000.1.p	Dm_00004623-RA
OG0002504	Aqcoe3G371200.2.p, Aqcoe3G371200.1.p	Dm_00009983-RA, Dm_00003189-RA
OG0002505	Aqcoe3G333400.1.p	Dm_00004144-RA, Dm_00002810-RA
OG0002506	Aqcoe3G436600.1.p, Aqcoe3G436600.2.p, Aqcoe3G086800.1.p	Dm_00007613-RA
OG0002507	Aqcoe3G439300.2.p, Aqcoe3G439300.1.p	Dm_00010964-RA, Dm_00004143-RA
OG0002508	Aqcoe3G252000.1.p	Dm_00013234-RA, Dm_00013232-RA
OG0002509	Aqcoe3G346200.1.p, Aqcoe3G346200.3.p, Aqcoe3G346200.4.p, Aqcoe3G346200.2.p, Aqcoe3G255900.9.p, Aqcoe3G255900.10.p, Aqcoe3G255900.3.p, Aqcoe3G255900.6.p, Aqcoe3G255900.7.p, Aqcoe3G255900.1.p, Aqcoe3G255900.4.p, Aqcoe3G255900.2.p, Aqcoe3G255900.5.p, Aqcoe3G255900.8.p	Dm_00002169-RA
OG0002510	Aqcoe3G371500.1.p	Dm_00012477-RA
OG0002511	Aqcoe3G185700.1.p, Aqcoe3G185700.2.p	Dm_00018499-RA, Dm_00019621-RA
OG0002512	Aqcoe3G151300.2.p, Aqcoe3G151300.1.p	Dm_00003331-RA, Dm_00005632-RA
OG0002513	Aqcoe3G409600.1.p, Aqcoe3G409600.2.p	Dm_00009587-RA, Dm_00009588-RA
OG0002514	Aqcoe3G364700.1.p, Aqcoe3G364700.2.p	Dm_00015117-RA
OG0002515	Aqcoe3G104000.3.p, Aqcoe3G104000.4.p, Aqcoe3G104000.2.p, Aqcoe3G104000.5.p, Aqcoe3G104000.1.p, Aqcoe3G104000.6.p	Dm_00011966-RA, Dm_00011968-RA
OG0002524	Aqcoe0223s0002.1.p, Aqcoe2G237000.4.p, Aqcoe2G237000.2.p, Aqcoe2G237000.1.p, Aqcoe2G237000.5.p, Aqcoe2G237000.3.p, Aqcoe1G071800.1.p, Aqcoe1G071800.2.p	Dm_00019616-RA
OG0002525	Aqcoe5G292900.2.p, Aqcoe5G292900.4.p, Aqcoe5G292900.3.p, Aqcoe5G292900.1.p	Dm_00009774-RA
OG0002526	Aqcoe5G218100.1.p	Dm_00011015-RA
OG0002526	Aqcoe2G343100.1.p, Aqcoe2G343000.1.p	Dm_00009603-RA
OG0002527	Aqcoe1G478200.1.p	Dm_00017419-RA
OG0002527	Aqcoe2G174200.1.p	Dm_00014633-RA
OG0002528	Aqcoe1G113100.1.p, Aqcoe2G186400.3.p, Aqcoe2G186400.2.p, Aqcoe2G186400.1.p	Dm_00017830-RA
OG0002530	Aqcoe6G030400.1.p	Dm_00005562-RA
OG0002530	Aqcoe2G231500.2.p, Aqcoe2G231500.3.p, Aqcoe2G231500.1.p	Dm_00007992-RA
OG0002531	Aqcoe3G071600.2.p, Aqcoe3G071600.1.p, Aqcoe2G273000.1.p	Dm_00006432-RA, Dm_00015565-RA
OG0002532	Aqcoe2G394900.2.p, Aqcoe2G394900.1.p	Dm_00010440-RA, Dm_00000919-RA
OG0002533	Aqcoe3G176700.1.p	Dm_00010838-RA
OG0002533	Aqcoe2G151300.1.p, Aqcoe7G242600.1.p	Dm_00020567-RA, Dm_00010837-RA
OG0002534	Aqcoe3G209500.1.p	Dm_00016913-RA, Dm_00006381-RA
OG0002537	Aqcoe2G077300.1.p, Aqcoe1G399800.1.p	Dm_00020781-RA, Dm_00000034-RA, Dm_00001579-RA
OG0002538	Aqcoe2G314600.1.p	Dm_00007903-RA
OG0002539	Aqcoe2G032600.2.p, Aqcoe2G032600.5.p, Aqcoe2G032600.1.p, Aqcoe2G032600.7.p, Aqcoe2G032600.8.p, Aqcoe2G032600.6.p, Aqcoe2G032600.4.p, Aqcoe2G032600.3.p	Dm_00009750-RA
OG0002540	Aqcoe2G241000.1.p, Aqcoe2G241000.2.p	Dm_00004908-RA
OG0002541	Aqcoe2G137200.2.p, Aqcoe2G137200.1.p	Dm_00004222-RA
OG0002542	Aqcoe2G259200.1.p	Dm_00007495-RA
OG0002543	Aqcoe1G223900.1.p	Dm_00007529-RA, Dm_00004439-RA
OG0002543	Aqcoe2G111100.1.p	Dm_00000114-RA
OG0002544	Aqcoe2G190400.1.p, Aqcoe6G325600.1.p, Aqcoe4G199700.1.p, Aqcoe4G124000.1.p	Dm_00019431-RA
OG0002545	Aqcoe2G090400.1.p	Dm_00003146-RA
OG0002545	Aqcoe2G090400.4.p, Aqcoe1G416900.2.p	Dm_00009607-RA
OG0002546	Aqcoe2G385100.1.p	Dm_00003695-RA, Dm_00005681-RA
OG0002547	Aqcoe2G180000.1.p, Aqcoe1G470700.1.p, Aqcoe1G470700.2.p, Aqcoe7G241900.1.p	Dm_00011080-RA
OG0002548	Aqcoe2G338600.1.p	Dm_00013973-RA, Dm_00016728-RA, Dm_00006765-RA
OG0002550	Aqcoe2G436100.1.p	Dm_00002399-RA
OG0002551	Aqcoe2G334400.1.p	Dm_00020891-RA
OG0002552	Aqcoe6G065300.1.p, Aqcoe5G315200.1.p	Dm_00014393-RA
OG0002553	Aqcoe3G352500.1.p, Aqcoe5G294600.1.p, Aqcoe6G225100.1.p, Aqcoe5G441900.4.p, Aqcoe5G441900.1.p, Aqcoe5G441900.3.p, Aqcoe5G441900.2.p, Aqcoe7G169600.1.p	Dm_00012372-RA
OG0002554	Aqcoe6G082600.1.p	Dm_00007942-RA
OG0002555	Aqcoe6G051900.2.p, Aqcoe6G051900.1.p, Aqcoe7G343300.1.p, Aqcoe7G343300.2.p	Dm_00001156-RA, Dm_00002727-RA
OG0002556	Aqcoe3G347200.1.p, Aqcoe3G347300.1.p, Aqcoe5G320800.1.p, Aqcoe3G351600.1.p, Aqcoe6G249700.1.p, Aqcoe3G347400.1.p, Aqcoe3G347100.1.p	Dm_00003383-RA, Dm_00011567-RA, Dm_00002173-RA
OG0002559	Aqcoe6G277800.2.p, Aqcoe6G277800.1.p, Aqcoe6G277800.3.p	Dm_00002362-RA
OG0002560	Aqcoe6G083400.1.p, Aqcoe4G047900.1.p, Aqcoe1G228100.1.p	Dm_00002302-RA
OG0002561	Aqcoe6G303000.1.p	Dm_00010339-RA, Dm_00006362-RA
OG0002562	Aqcoe6G258700.1.p	Dm_00009535-RA
OG0002562	Aqcoe1G493800.2.p, Aqcoe1G493800.1.p	Dm_00009542-RA
OG0002563	Aqcoe5G285200.2.p, Aqcoe5G285200.1.p, Aqcoe5G285300.1.p, Aqcoe1G465200.2.p, Aqcoe1G465200.1.p, Aqcoe4G138700.1.p, Aqcoe4G138200.1.p, Aqcoe4G138800.1.p, Aqcoe5G258300.2.p, Aqcoe5G258300.1.p, Aqcoe3G218000.1.p, Aqcoe3G218000.2.p, Aqcoe3G218000.4.p, Aqcoe3G218000.3.p	Dm_00015510-RA
OG0002564	Aqcoe6G014500.1.p	Dm_00010118-RA, Dm_00008112-RA
OG0002565	Aqcoe6G085400.7.p, Aqcoe6G085400.5.p, Aqcoe6G085400.6.p, Aqcoe6G085400.8.p, Aqcoe6G085400.1.p, Aqcoe6G085400.3.p, Aqcoe6G085400.2.p, Aqcoe6G085400.4.p	Dm_00011677-RA
OG0002566	Aqcoe6G095800.3.p, Aqcoe6G095800.1.p, Aqcoe6G095800.2.p	Dm_00016435-RA
OG0002567	Aqcoe5G353000.1.p, Aqcoe5G344200.1.p, Aqcoe6G045800.2.p, Aqcoe6G045800.1.p, Aqcoe4G204800.1.p, Aqcoe7G249200.1.p	Dm_00000979-RA
OG0002568	Aqcoe6G077100.4.p, Aqcoe6G077100.2.p, Aqcoe6G077100.5.p, Aqcoe6G077100.3.p, Aqcoe6G077100.1.p	Dm_00002482-RA
OG0002569	Aqcoe6G323800.1.p, Aqcoe1G498500.1.p, Aqcoe1G498500.2.p, Aqcoe1G498500.3.p	Dm_00016870-RA, Dm_00009484-RA, Dm_00004226-RA
OG0002570	Aqcoe7G355100.1.p	Dm_00008737-RA
OG0002571	Aqcoe6G311800.1.p	Dm_00019183-RA
OG0002571	Aqcoe5G143300.1.p	Dm_00001663-RA
OG0002572	Aqcoe3G055800.1.p	Dm_00009101-RA
OG0002572	Aqcoe6G292700.1.p	Dm_00002156-RA
OG0002574	Aqcoe3G123700.1.p, Aqcoe4G089500.1.p, Aqcoe3G289200.1.p	Dm_00007625-RA
OG0002575	Aqcoe4G152500.1.p, Aqcoe1G321300.1.p	Dm_00008515-RA
OG0002577	Aqcoe4G058300.3.p, Aqcoe4G058300.1.p, Aqcoe4G058300.2.p, Aqcoe5G333900.17.p, Aqcoe5G333900.12.p, Aqcoe5G333900.18.p, Aqcoe5G333900.7.p, Aqcoe5G333900.6.p, Aqcoe5G333900.16.p, Aqcoe5G333900.15.p, Aqcoe5G333900.2.p, Aqcoe5G333900.3.p, Aqcoe5G333900.13.p, Aqcoe5G333900.1.p, Aqcoe5G333900.11.p, Aqcoe5G333900.14.p, Aqcoe5G333900.10.p, Aqcoe5G333900.9.p, Aqcoe5G333900.4.p, Aqcoe5G333900.8.p, Aqcoe5G333900.5.p	Dm_00011052-RA
OG0002578	Aqcoe7G323700.1.p, Aqcoe4G279200.2.p, Aqcoe4G279200.3.p, Aqcoe4G279200.1.p	Dm_00008997-RA, Dm_00009954-RA
OG0002579	Aqcoe7G374200.2.p, Aqcoe7G374200.1.p, Aqcoe7G374300.3.p, Aqcoe7G374300.2.p, Aqcoe7G374300.1.p, Aqcoe7G374300.4.p, Aqcoe1G313500.2.p, Aqcoe1G313500.1.p, Aqcoe0117s0001.1.p	Dm_00010110-RA, Dm_00018858-RA
OG0002580	Aqcoe4G105500.1.p, Aqcoe4G105500.3.p, Aqcoe4G105500.2.p	Dm_00006382-RA
OG0002581	Aqcoe7G263200.2.p, Aqcoe7G263200.1.p, Aqcoe4G313300.1.p	Dm_00009658-RA, Dm_00002687-RA, Dm_00013347-RA
OG0002582	Aqcoe4G296700.1.p	Dm_00004809-RA, Dm_00010775-RA
OG0002583	Aqcoe1G368500.1.p	Dm_00005861-RA
OG0002584	Aqcoe4G109500.1.p, Aqcoe7G283400.1.p	Dm_00011366-RA, Dm_00003683-RA
OG0002585	Aqcoe7G363600.1.p	Dm_00018574-RA, Dm_00002320-RA, Dm_00004934-RA
OG0002586	Aqcoe7G078300.1.p	Dm_00001133-RA
OG0002587	Aqcoe7G432700.2.p, Aqcoe7G432700.1.p	Dm_00011632-RA, Dm_00020961-RA, Dm_00017098-RA
OG0002588	Aqcoe7G420300.1.p	Dm_00000661-RA
OG0002588	Aqcoe7G391900.1.p	Dm_00000094-RA
OG0002589	Aqcoe7G037700.2.p, Aqcoe7G037700.1.p	Dm_00018323-RA, Dm_00016124-RA, Dm_00016083-RA
OG0002590	Aqcoe7G072500.1.p	Dm_00004104-RA, Dm_00004260-RA
OG0002591	Aqcoe7G408700.1.p, Aqcoe7G156400.1.p, Aqcoe3G283700.1.p, Aqcoe5G114800.1.p	Dm_00008669-RA, Dm_00003460-RA
OG0002592	Aqcoe7G029900.1.p	Dm_00004364-RA
OG0002592	Aqcoe1G429600.1.p	Dm_00007349-RA
OG0002593	Aqcoe7G043000.1.p	Dm_00013162-RA, Dm_00016795-RA
OG0002594	Aqcoe3G368300.1.p, Aqcoe7G365700.1.p	Dm_00006086-RA
OG0002595	Aqcoe7G432300.4.p, Aqcoe7G432300.2.p, Aqcoe7G432300.3.p, Aqcoe7G432300.1.p	Dm_00010233-RA
OG0002598	Aqcoe3G185800.1.p, Aqcoe7G269000.1.p, Aqcoe7G269000.5.p, Aqcoe7G269000.3.p, Aqcoe7G269000.2.p, Aqcoe7G269000.4.p	Dm_00020313-RA
OG0002598	Aqcoe7G434200.1.p	Dm_00017564-RA
OG0002600	Aqcoe7G364300.1.p	Dm_00004937-RA, Dm_00014617-RA
OG0002601	Aqcoe7G436000.2.p, Aqcoe7G436000.4.p, Aqcoe7G436000.3.p, Aqcoe7G436000.1.p	Dm_00002061-RA
OG0002602	Aqcoe7G396400.4.p, Aqcoe7G396400.3.p, Aqcoe7G396400.2.p, Aqcoe7G396400.1.p	Dm_00001035-RA
OG0002603	Aqcoe7G358200.1.p	Dm_00011016-RA
OG0002604	Aqcoe7G149500.6.p, Aqcoe7G149500.4.p, Aqcoe7G149500.3.p, Aqcoe7G149500.1.p, Aqcoe7G149500.2.p	Dm_00012933-RA
OG0002605	Aqcoe7G181200.2.p, Aqcoe7G181200.1.p	Dm_00012287-RA, Dm_00006152-RA
OG0002606	Aqcoe7G213000.1.p	Dm_00004813-RA, Dm_00006920-RA, Dm_00010526-RA, Dm_00001059-RA
OG0002607	Aqcoe1G433700.3.p, Aqcoe1G433700.1.p, Aqcoe1G433700.2.p	Dm_00002533-RA
OG0002608	Aqcoe1G237800.1.p, Aqcoe1G237900.1.p, Aqcoe1G238100.1.p, Aqcoe1G238200.1.p, Aqcoe1G238000.1.p	Dm_00005205-RA
OG0002609	Aqcoe1G130200.1.p	Dm_00002915-RA
OG0002610	Aqcoe1G310100.1.p	Dm_00002894-RA, Dm_00004668-RA
OG0002611	Aqcoe1G402100.1.p	Dm_00000025-RA
OG0002611	Aqcoe1G211500.1.p	Dm_00017591-RA
OG0002612	Aqcoe3G040200.4.p	Dm_00010581-RA
OG0002613	Aqcoe1G468400.1.p, Aqcoe1G326000.1.p	Dm_00016431-RA
OG0002614	Aqcoe1G318700.2.p, Aqcoe1G318700.1.p	Dm_00001463-RA
OG0002615	Aqcoe3G442800.1.p, Aqcoe3G442700.1.p, Aqcoe1G332200.1.p	Dm_00018126-RA, Dm_00010599-RA
OG0002616	Aqcoe1G383700.2.p, Aqcoe1G383700.1.p	Dm_00019813-RA, Dm_00019812-RA
OG0002617	Aqcoe1G091100.3.p, Aqcoe1G091100.2.p, Aqcoe1G091100.1.p, Aqcoe1G091200.2.p, Aqcoe1G091200.1.p, Aqcoe1G090900.1.p, Aqcoe1G091000.1.p, Aqcoe1G091300.1.p	Dm_00004355-RA, Dm_00015356-RA, Dm_00009798-RA, Dm_00009800-RA, Dm_00009799-RA, Dm_00009801-RA
OG0002618	Aqcoe1G021500.1.p	Dm_00016388-RA, Dm_00013136-RA, Dm_00007448-RA
OG0002619	Aqcoe5G441300.1.p	Dm_00019319-RA
OG0002620	Aqcoe1G491400.1.p, Aqcoe1G491300.1.p	Dm_00016791-RA, Dm_00014542-RA
OG0002621	Aqcoe1G056500.1.p, Aqcoe1G500600.1.p, Aqcoe1G500600.2.p	Dm_00011712-RA
OG0002622	Aqcoe1G153500.3.p, Aqcoe1G153500.1.p, Aqcoe1G153500.2.p, Aqcoe1G483600.1.p	Dm_00016314-RA, Dm_00015183-RA
OG0002623	Aqcoe1G211700.1.p	Dm_00015378-RA, Dm_00011770-RA, Dm_00017470-RA, Dm_00008224-RA, Dm_00004235-RA, Dm_00004232-RA, Dm_00008225-RA, Dm_00008227-RA, Dm_00004234-RA, Dm_00020671-RA, Dm_00008226-RA, Dm_00004236-RA, Dm_00004230-RA, Dm_00004229-RA, Dm_00019623-RA, Dm_00004228-RA, Dm_00004231-RA, Dm_00004237-RA, Dm_00004233-RA, Dm_00015379-RA
OG0002624	Aqcoe5G123400.1.p, Aqcoe1G274200.1.p	Dm_00004701-RA
OG0002625	Aqcoe1G011400.2.p, Aqcoe1G011400.1.p	Dm_00012373-RA
OG0002625	Aqcoe1G227900.1.p	Dm_00000678-RA
OG0002626	Aqcoe1G399900.2.p, Aqcoe1G399900.1.p	Dm_00017801-RA
OG0002627	Aqcoe1G201700.1.p, Aqcoe1G201700.5.p, Aqcoe1G201700.3.p, Aqcoe1G201700.2.p, Aqcoe1G201700.7.p, Aqcoe1G201700.4.p, Aqcoe1G201700.6.p	Dm_00013778-RA
OG0002628	Aqcoe1G276000.2.p, Aqcoe1G276000.1.p, Aqcoe3G422500.1.p	Dm_00000847-RA
OG0002629	Aqcoe1G390000.1.p, Aqcoe1G390000.2.p	Dm_00002374-RA
OG0002630	Aqcoe1G074800.1.p	Dm_00005956-RA, Dm_00017025-RA
OG0002631	Aqcoe1G430800.1.p	Dm_00007808-RA
OG0002632	Aqcoe5G068600.1.p	Dm_00018495-RA
OG0002634	Aqcoe5G443700.1.p, Aqcoe5G443700.2.p	Dm_00006493-RA
OG0002635	Aqcoe5G309900.1.p, Aqcoe5G309900.2.p	Dm_00005149-RA
OG0002636	Aqcoe5G118400.1.p, Aqcoe5G118400.3.p, Aqcoe5G118400.2.p, Aqcoe5G118400.4.p	Dm_00011271-RA
OG0002637	Aqcoe5G017300.1.p, Aqcoe5G017300.2.p	Dm_00018266-RA
OG0002638	Aqcoe5G419000.1.p	Dm_00004293-RA, Dm_00004291-RA
OG0002639	Aqcoe5G055400.1.p, Aqcoe5G055400.3.p, Aqcoe5G055400.2.p	Dm_00016986-RA
OG0002640	Aqcoe5G138900.1.p	Dm_00002421-RA, Dm_00005321-RA, Dm_00008258-RA
OG0002641	Aqcoe5G147500.1.p	Dm_00004687-RA, Dm_00004688-RA
OG0002642	Aqcoe5G380800.1.p	Dm_00005988-RA
OG0002643	Aqcoe5G456300.9.p, Aqcoe5G456300.11.p, Aqcoe5G456300.4.p, Aqcoe5G456300.10.p, Aqcoe5G456300.6.p, Aqcoe5G456300.3.p, Aqcoe5G456300.5.p, Aqcoe5G456300.2.p, Aqcoe5G456300.1.p, Aqcoe5G456300.7.p, Aqcoe5G456300.8.p	Dm_00006744-RA
OG0002643	Aqcoe3G041900.2.p, Aqcoe3G041900.1.p, Aqcoe3G041900.3.p	Dm_00006743-RA, Dm_00007249-RA
OG0002644	Aqcoe5G075400.1.p	Dm_00020117-RA
OG0002645	Aqcoe5G357900.1.p	Dm_00000299-RA, Dm_00004227-RA, Dm_00018965-RA
OG0002647	Aqcoe5G334700.1.p, Aqcoe5G334700.2.p	Dm_00018844-RA
OG0002648	Aqcoe3G172500.1.p	Dm_00010812-RA, Dm_00008245-RA
OG0002649	Aqcoe3G331400.2.p, Aqcoe3G331400.1.p, Aqcoe3G331500.1.p, Aqcoe3G331700.1.p	Dm_00018762-RA
OG0002650	Aqcoe3G224100.1.p	Dm_00013345-RA, Dm_00015224-RA
OG0002651	Aqcoe3G009900.2.p, Aqcoe3G009900.5.p, Aqcoe3G009900.4.p, Aqcoe3G009900.1.p, Aqcoe3G009900.3.p, Aqcoe3G009900.6.p	Dm_00000379-RA
OG0002652	Aqcoe3G275600.1.p	Dm_00005337-RA, Dm_00000879-RA
OG0002653	Aqcoe3G053100.1.p, Aqcoe3G053100.2.p	Dm_00003886-RA, Dm_00012991-RA
OG0002654	Aqcoe3G088200.1.p	Dm_00012169-RA
OG0002655	Aqcoe3G311800.1.p, Aqcoe3G103100.1.p	Dm_00008389-RA
OG0002657	Aqcoe3G413300.1.p	Dm_00007946-RA
OG0002658	Aqcoe3G340000.1.p	Dm_00005374-RA
OG0002659	Aqcoe3G439200.6.p, Aqcoe3G439200.4.p, Aqcoe3G439200.1.p, Aqcoe3G439200.3.p, Aqcoe3G439200.2.p, Aqcoe3G439200.5.p	Dm_00020910-RA, Dm_00019580-RA, Dm_00005836-RA
OG0002660	Aqcoe3G412900.1.p	Dm_00008431-RA, Dm_00020544-RA
OG0002673	Aqcoe2G382500.1.p, Aqcoe2G382000.1.p	Dm_00002021-RA
OG0002674	Aqcoe2G335800.1.p, Aqcoe2G335900.1.p	Dm_00003137-RA
OG0002676	Aqcoe2G251700.3.p, Aqcoe2G251700.2.p, Aqcoe2G251700.1.p	Dm_00010615-RA
OG0002677	Aqcoe2G039400.1.p, Aqcoe2G039400.2.p	Dm_00007817-RA
OG0002678	Aqcoe2G212800.1.p	Dm_00008029-RA
OG0002678	Aqcoe1G126800.1.p	Dm_00006859-RA
OG0002679	Aqcoe2G154400.1.p	Dm_00015254-RA, Dm_00018504-RA
OG0002680	Aqcoe2G386900.1.p, Aqcoe3G009000.1.p	Dm_00001948-RA
OG0002681	Aqcoe2G078300.2.p, Aqcoe2G078300.4.p, Aqcoe2G078300.3.p, Aqcoe2G078300.1.p, Aqcoe1G017100.1.p	Dm_00002620-RA
OG0002682	Aqcoe2G026400.1.p	Dm_00001190-RA, Dm_00010503-RA
