Orthogroup	A_coerulea.proteins	A_vesiculosa.proteins
OG0000692	Aqcoe2G049700.1.p	Av_00006713-RA
OG0000693	Aqcoe6G042600.1.p	Av_00015457-RA, Av_00005636-RA
OG0000695	Aqcoe6G066700.1.p, Aqcoe6G066700.2.p	Av_00015348-RA, Av_00000414-RA, Av_00007934-RA, Av_00006848-RA, Av_00023578-RA
OG0000697	Aqcoe5G255700.4.p, Aqcoe5G255700.3.p, Aqcoe5G255700.2.p, Aqcoe5G255700.1.p, Aqcoe6G046700.1.p	Av_00003205-RA, Av_00013899-RA
OG0000698	Aqcoe4G245300.1.p, Aqcoe4G245300.2.p, Aqcoe4G002100.1.p	Av_00020958-RA, Av_00000870-RA
OG0000699	Aqcoe5G447100.2.p, Aqcoe5G447100.1.p, Aqcoe5G447100.3.p, Aqcoe7G016600.1.p	Av_00014455-RA
OG0000700	Aqcoe7G105400.1.p, Aqcoe7G439600.2.p, Aqcoe7G439600.1.p	Av_00019603-RA, Av_00004088-RA, Av_00000997-RA, Av_00008751-RA, Av_00009799-RA
OG0000701	Aqcoe7G076500.2.p, Aqcoe7G076500.1.p, Aqcoe1G150000.1.p	Av_00003848-RA, Av_00005025-RA, Av_00011968-RA, Av_00004560-RA, Av_00004326-RA
OG0000702	Aqcoe7G443300.1.p	Av_00009534-RA, Av_00009535-RA
OG0000703	Aqcoe7G031800.4.p, Aqcoe7G031800.3.p, Aqcoe7G031800.1.p, Aqcoe7G031800.2.p, Aqcoe7G031800.5.p	Av_00017404-RA, Av_00013922-RA, Av_00003228-RA, Av_00013920-RA
OG0000704	Aqcoe7G293700.1.p, Aqcoe7G293700.3.p, Aqcoe7G293700.2.p	Av_00018223-RA, Av_00001031-RA, Av_00023597-RA, Av_00011047-RA, Av_00009839-RA
OG0000704	Aqcoe3G243300.1.p	Av_00019913-RA
OG0000705	Aqcoe7G335000.1.p	Av_00003599-RA, Av_00007106-RA
OG0000705	Aqcoe3G114800.1.p	Av_00003586-RA, Av_00019162-RA
OG0000706	Aqcoe7G038100.1.p	Av_00001624-RA, Av_00012928-RA, Av_00009402-RA, Av_00009176-RA, Av_00010881-RA, Av_00015219-RA, Av_00014773-RA, Av_00014772-RA
OG0000707	Aqcoe7G374500.1.p	Av_00007373-RA, Av_00019778-RA, Av_00004000-RA, Av_00004920-RA, Av_00005831-RA, Av_00012156-RA
OG0000709	Aqcoe1G238600.4.p, Aqcoe1G238600.3.p, Aqcoe1G238600.2.p, Aqcoe1G238600.1.p	Av_00016777-RA, Av_00020354-RA
OG0000710	Aqcoe5G461900.5.p, Aqcoe5G461900.2.p, Aqcoe5G461900.3.p, Aqcoe5G461900.4.p, Aqcoe5G461900.1.p, Aqcoe1G434700.1.p	Av_00010684-RA, Av_00009479-RA
OG0000711	Aqcoe3G086900.1.p, Aqcoe3G330500.1.p	Av_00009305-RA, Av_00012420-RA, Av_00013793-RA, Av_00001754-RA, Av_00011266-RA, Av_00013868-RA, Av_00011267-RA
OG0000712	Aqcoe3G293300.1.p	Av_00022010-RA, Av_00005322-RA, Av_00008438-RA, Av_00006174-RA, Av_00017848-RA, Av_00017507-RA, Av_00020232-RA
OG0000713	Aqcoe3G326800.1.p	Av_00018492-RA, Av_00006426-RA
OG0000714	Aqcoe3G352900.1.p, Aqcoe3G352900.2.p	Av_00014256-RA, Av_00015519-RA
OG0000715	Aqcoe3G364100.2.p, Aqcoe3G364100.1.p, Aqcoe3G364100.3.p	Av_00001795-RA, Av_00013763-RA
OG0000722	Aqcoe2G252300.1.p, Aqcoe2G208900.1.p, Aqcoe2G209000.1.p, Aqcoe1G130000.1.p	Av_00014362-RA, Av_00007053-RA, Av_00011926-RA
OG0000722	Aqcoe1G130400.1.p	Av_00008182-RA, Av_00001167-RA
OG0000723	Aqcoe7G025400.1.p, Aqcoe6G162200.1.p, Aqcoe7G025400.2.p	Av_00020822-RA, Av_00014589-RA
OG0000723	Aqcoe5G436100.1.p	Av_00003234-RA
OG0000724	Aqcoe2G360500.1.p, Aqcoe5G040600.1.p	Av_00002311-RA, Av_00003428-RA, Av_00014254-RA, Av_00014255-RA, Av_00016246-RA, Av_00015131-RA, Av_00017856-RA, Av_00005120-RA
OG0000725	Aqcoe6G217500.1.p	Av_00011073-RA
OG0000725	Aqcoe2G280500.3.p, Aqcoe2G280500.1.p, Aqcoe2G280500.2.p	Av_00000749-RA
OG0000726	Aqcoe5G439200.1.p, Aqcoe2G147200.1.p, Aqcoe5G439000.2.p, Aqcoe5G439000.1.p	Av_00017519-RA, Av_00014597-RA, Av_00010448-RA, Av_00009428-RA, Av_00001642-RA, Av_00002103-RA, Av_00012951-RA
OG0000728	Aqcoe2G354000.1.p, Aqcoe2G354000.2.p	Av_00011057-RA, Av_00018346-RA, Av_00005129-RA
OG0000728	Aqcoe5G046300.1.p	Av_00018345-RA, Av_00005130-RA, Av_00005127-RA, Av_00001423-RA
OG0000729	Aqcoe6G175400.1.p	Av_00009010-RA, Av_00004068-RA
OG0000729	Aqcoe5G121300.1.p, Aqcoe5G121300.2.p	Av_00012351-RA, Av_00015898-RA, Av_00013393-RA
OG0000730	Aqcoe5G122000.1.p, Aqcoe5G122000.2.p, Aqcoe6G181700.2.p, Aqcoe6G181700.4.p, Aqcoe6G181700.1.p, Aqcoe6G181700.5.p, Aqcoe6G181700.3.p, Aqcoe6G181800.1.p	Av_00012347-RA
OG0000731	Aqcoe6G235900.1.p, Aqcoe6G235900.2.p	Av_00004877-RA
OG0000735	Aqcoe4G134500.1.p	Av_00023127-RA, Av_00005918-RA, Av_00005654-RA
OG0000736	Aqcoe7G404400.1.p, Aqcoe7G404400.3.p, Aqcoe7G404400.2.p	Av_00004244-RA
OG0000738	Aqcoe7G005100.1.p, Aqcoe7G005100.3.p, Aqcoe7G005100.2.p	Av_00022058-RA
OG0000739	Aqcoe1G345000.1.p, Aqcoe7G064200.1.p, Aqcoe7G064200.2.p	Av_00014553-RA, Av_00010391-RA, Av_00015238-RA
OG0000740	Aqcoe7G389400.1.p, Aqcoe7G389300.1.p, Aqcoe7G389200.1.p	Av_00012046-RA, Av_00004665-RA
OG0000740	Aqcoe3G217800.3.p, Aqcoe3G217800.2.p, Aqcoe3G217800.1.p	Av_00010061-RA
OG0000741	Aqcoe7G315100.1.p	Av_00008698-RA
OG0000742	Aqcoe7G157600.3.p, Aqcoe7G157600.4.p, Aqcoe7G157600.1.p, Aqcoe7G157600.2.p	Av_00006796-RA, Av_00008005-RA
OG0000744	Aqcoe5G177500.4.p, Aqcoe5G177500.3.p, Aqcoe5G177500.1.p, Aqcoe5G177500.2.p, Aqcoe1G012200.1.p	Av_00011327-RA, Av_00000973-RA
OG0000745	Aqcoe1G081200.1.p	Av_00023875-RA, Av_00013040-RA, Av_00018875-RA, Av_00009489-RA
OG0000746	Aqcoe1G111100.3.p, Aqcoe1G111100.2.p, Aqcoe1G111100.4.p, Aqcoe1G111100.5.p, Aqcoe1G111100.1.p	Av_00014674-RA, Av_00020021-RA, Av_00002920-RA, Av_00020957-RA, Av_00014675-RA
OG0000749	Aqcoe3G402000.1.p	Av_00007788-RA
OG0000749	Aqcoe3G029700.2.p, Aqcoe3G029700.1.p	Av_00021238-RA, Av_00020360-RA
OG0000753	Aqcoe1G411000.1.p, Aqcoe2G028400.1.p, Aqcoe1G283000.1.p	Av_00005887-RA, Av_00024101-RA, Av_00003643-RA
OG0000754	Aqcoe6G259700.1.p	Av_00006861-RA, Av_00007915-RA, Av_00010798-RA, Av_00010225-RA
OG0000754	Aqcoe5G019400.1.p	Av_00023909-RA, Av_00019200-RA, Av_00000572-RA, Av_00017453-RA, Av_00017050-RA
OG0000755	Aqcoe6G290600.1.p, Aqcoe4G260600.1.p	Av_00022087-RA, Av_00008733-RA
OG0000755	Aqcoe1G442600.1.p, Aqcoe1G088900.1.p, Aqcoe2G238100.1.p, Aqcoe3G439100.1.p, Aqcoe3G188200.1.p, Aqcoe3G008700.1.p	Av_00021366-RA
OG0000756	Aqcoe5G027900.1.p	Av_00002298-RA, Av_00009689-RA
OG0000758	Aqcoe2G348100.1.p, Aqcoe2G107500.1.p	Av_00012442-RA, Av_00009330-RA
OG0000759	Aqcoe3G334600.1.p	Av_00005271-RA, Av_00002703-RA, Av_00005270-RA
OG0000759	Aqcoe2G038200.1.p	Av_00006543-RA, Av_00016542-RA
OG0000760	Aqcoe2G136100.1.p, Aqcoe2G136100.2.p	Av_00001149-RA, Av_00014345-RA
OG0000761	Aqcoe1G093500.1.p	Av_00017554-RA
OG0000761	Aqcoe2G272700.1.p	Av_00017066-RA, Av_00000558-RA
OG0000762	Aqcoe2G252500.2.p, Aqcoe2G252500.3.p, Aqcoe2G252500.1.p, Aqcoe5G293500.3.p, Aqcoe5G293500.2.p, Aqcoe5G293500.1.p	Av_00009660-RA, Av_00002257-RA
OG0000763	Aqcoe1G003700.2.p, Aqcoe1G003700.1.p, Aqcoe2G008600.1.p, Aqcoe2G008600.2.p	Av_00008153-RA, Av_00014923-RA, Av_00021793-RA, Av_00019622-RA
OG0000764	Aqcoe2G352200.2.p, Aqcoe2G352200.1.p	Av_00001424-RA, Av_00000818-RA, Av_00023733-RA, Av_00000611-RA
OG0000765	Aqcoe5G025100.1.p	Av_00002184-RA
OG0000765	Aqcoe5G244000.1.p	Av_00016386-RA, Av_00012475-RA
OG0000766	Aqcoe6G234700.1.p, Aqcoe4G233600.1.p, Aqcoe7G310900.1.p, Aqcoe7G311100.1.p	Av_00003343-RA
OG0000766	Aqcoe5G408900.1.p, Aqcoe3G011800.1.p	Av_00005776-RA, Av_00004962-RA, Av_00003936-RA, Av_00009116-RA
OG0000766	Aqcoe3G408500.1.p	Av_00017056-RA
OG0000767	Aqcoe6G063400.1.p	Av_00021689-RA, Av_00000354-RA, Av_00010968-RA, Av_00023226-RA
OG0000768	Aqcoe6G090000.1.p, Aqcoe5G165700.1.p	Av_00007297-RA, Av_00023487-RA
OG0000769	Aqcoe6G134200.1.p, Aqcoe5G145800.1.p	Av_00007902-RA, Av_00006873-RA, Av_00010000-RA
OG0000770	Aqcoe5G159300.3.p, Aqcoe5G159300.1.p, Aqcoe5G159300.2.p, Aqcoe6G150300.1.p	Av_00002015-RA
OG0000771	Aqcoe6G124800.1.p	Av_00011162-RA, Av_00012273-RA
OG0000771	Aqcoe5G289800.1.p	Av_00007208-RA
OG0000772	Aqcoe6G242600.7.p, Aqcoe6G242600.4.p, Aqcoe6G242600.1.p, Aqcoe6G242600.8.p, Aqcoe6G242600.9.p, Aqcoe6G242600.2.p, Aqcoe6G242600.6.p, Aqcoe6G242600.3.p, Aqcoe6G242600.5.p	Av_00001765-RA, Av_00013783-RA, Av_00007554-RA
OG0000773	Aqcoe4G277300.1.p, Aqcoe4G277100.1.p	Av_00003708-RA, Av_00005988-RA, Av_00005591-RA, Av_00010649-RA, Av_00014161-RA, Av_00010625-RA
OG0000774	Aqcoe4G150300.1.p	Av_00002969-RA, Av_00002970-RA
OG0000775	Aqcoe4G204000.1.p	Av_00008445-RA, Av_00006180-RA
OG0000776	Aqcoe4G163700.1.p, Aqcoe4G163700.2.p	Av_00014115-RA, Av_00005928-RA, Av_00008728-RA, Av_00022091-RA
OG0000776	Aqcoe1G324800.2.p, Aqcoe1G324800.1.p, Aqcoe1G324800.4.p, Aqcoe1G324800.3.p	Av_00010863-RA, Av_00020259-RA, Av_00015832-RA
OG0000777	Aqcoe7G140600.1.p, Aqcoe5G391000.1.p, Aqcoe5G390600.1.p, Aqcoe5G390400.1.p, Aqcoe5G390900.1.p, Aqcoe7G140800.1.p, Aqcoe5G390500.1.p, Aqcoe5G390300.1.p	Av_00005355-RA
OG0000777	Aqcoe7G140500.1.p, Aqcoe7G140500.2.p, Aqcoe5G391100.1.p	Av_00023868-RA
OG0000778	Aqcoe7G428300.1.p	Av_00020918-RA, Av_00006282-RA, Av_00015839-RA
OG0000778	Aqcoe7G357400.1.p	Av_00013605-RA, Av_00020103-RA, Av_00001123-RA
OG0000779	Aqcoe7G181400.1.p	Av_00004633-RA, Av_00004252-RA
OG0000779	Aqcoe3G143300.1.p	Av_00021557-RA, Av_00007657-RA
OG0000779	Aqcoe1G373100.1.p	Av_00003048-RA
OG0000780	Aqcoe7G131600.1.p	Av_00019284-RA, Av_00008901-RA
OG0000780	Aqcoe7G060700.3.p, Aqcoe7G060700.2.p, Aqcoe7G060700.1.p	Av_00009373-RA, Av_00001600-RA
OG0000781	Aqcoe5G445600.2.p, Aqcoe5G445600.1.p	Av_00014648-RA
OG0000781	Aqcoe7G017200.1.p, Aqcoe7G017200.2.p	Av_00014790-RA, Av_00009201-RA
OG0000782	Aqcoe7G241600.2.p, Aqcoe7G241600.3.p, Aqcoe7G241600.1.p, Aqcoe7G241600.4.p, Aqcoe7G241600.5.p, Aqcoe7G241600.6.p	Av_00002625-RA, Av_00005373-RA, Av_00003360-RA, Av_00010832-RA
OG0000783	Aqcoe1G016600.1.p	Av_00005078-RA
OG0000784	Aqcoe1G371700.2.p, Aqcoe1G371700.1.p	Av_00005938-RA
OG0000784	Aqcoe1G372000.2.p, Aqcoe1G372000.1.p, Aqcoe1G371400.1.p, Aqcoe1G370100.1.p, Aqcoe1G313700.1.p, Aqcoe1G371800.1.p	Av_00005937-RA
OG0000785	Aqcoe1G096900.3.p, Aqcoe1G096900.1.p, Aqcoe1G096900.2.p	Av_00013157-RA, Av_00003879-RA
OG0000786	Aqcoe5G373400.5.p, Aqcoe5G373300.1.p, Aqcoe5G373200.1.p, Aqcoe5G373500.1.p, Aqcoe3G187800.1.p	Av_00016289-RA, Av_00021836-RA, Av_00011193-RA, Av_00020249-RA
OG0000787	Aqcoe5G443900.2.p, Aqcoe5G443900.1.p	Av_00009198-RA, Av_00014788-RA, Av_00005498-RA, Av_00020834-RA, Av_00010443-RA
OG0000788	Aqcoe3G191200.1.p	Av_00022311-RA
OG0000788	Aqcoe5G365400.1.p	Av_00013811-RA, Av_00011196-RA
OG0000789	Aqcoe3G337800.2.p, Aqcoe3G337800.1.p	Av_00007543-RA, Av_00006418-RA
OG0000797	Aqcoe2G402100.1.p, Aqcoe2G402100.2.p, Aqcoe2G402000.1.p, Aqcoe2G402000.2.p	Av_00001379-RA, Av_00015091-RA
OG0000798	Aqcoe2G134700.1.p, Aqcoe2G135400.1.p, Aqcoe2G136000.1.p	Av_00008483-RA, Av_00017360-RA, Av_00017320-RA
OG0000799	Aqcoe2G331400.1.p, Aqcoe5G062100.3.p, Aqcoe5G062100.2.p, Aqcoe5G062100.1.p	Av_00017887-RA, Av_00006459-RA
OG0000800	Aqcoe2G003200.3.p, Aqcoe2G003200.4.p, Aqcoe2G003200.1.p, Aqcoe2G003200.2.p	Av_00014892-RA, Av_00008111-RA, Av_00001229-RA
OG0000801	Aqcoe7G228200.1.p	Av_00023700-RA, Av_00024714-RA, Av_00024318-RA, Av_00024957-RA, Av_00023524-RA, Av_00024584-RA
OG0000803	Aqcoe2G360200.1.p, Aqcoe5G040500.1.p	Av_00016157-RA, Av_00021209-RA, Av_00020343-RA, Av_00009700-RA, Av_00002310-RA
OG0000804	Aqcoe6G276000.1.p, Aqcoe6G276000.2.p, Aqcoe2G123400.1.p, Aqcoe2G123400.2.p	Av_00018730-RA, Av_00008852-RA, Av_00012506-RA, Av_00016346-RA, Av_00015309-RA, Av_00000448-RA
OG0000805	Aqcoe2G027400.1.p	Av_00019804-RA
OG0000806	Aqcoe5G067500.1.p, Aqcoe2G321100.1.p, Aqcoe2G321100.2.p	Av_00001299-RA
OG0000807	Aqcoe2G258900.3.p, Aqcoe2G258900.2.p, Aqcoe2G258900.1.p	Av_00002265-RA, Av_00009664-RA
OG0000807	Aqcoe3G124400.1.p	Av_00010553-RA
OG0000809	Aqcoe4G236100.1.p, Aqcoe1G463700.1.p, Aqcoe1G012000.1.p, Aqcoe7G426600.1.p, Aqcoe3G361200.1.p, Aqcoe6G308700.1.p, Aqcoe5G086500.1.p, Aqcoe7G327900.1.p, Aqcoe5G065700.1.p, Aqcoe5G070800.1.p, Aqcoe5G070700.1.p, Aqcoe5G065600.1.p, Aqcoe5G065500.1.p, Aqcoe4G107000.1.p, Aqcoe4G127500.1.p, Aqcoe4G108700.1.p, Aqcoe4G109000.1.p	Av_00009866-RA, Av_00011075-RA, Av_00007404-RA
OG0000810	Aqcoe6G130300.9.p, Aqcoe6G130300.10.p, Aqcoe6G130300.7.p, Aqcoe6G130300.8.p, Aqcoe6G130300.6.p, Aqcoe6G130300.2.p, Aqcoe6G130300.5.p, Aqcoe6G130300.4.p, Aqcoe6G130300.3.p, Aqcoe6G130300.1.p	Av_00001952-RA, Av_00017905-RA
OG0000811	Aqcoe5G219200.1.p, Aqcoe5G219200.2.p, Aqcoe6G074600.1.p	Av_00003167-RA, Av_00015389-RA, Av_00001302-RA, Av_00016783-RA, Av_00020361-RA
OG0000812	Aqcoe6G255000.1.p, Aqcoe5G180100.1.p	Av_00012387-RA, Av_00004550-RA, Av_00018839-RA, Av_00007194-RA, Av_00011090-RA, Av_00009881-RA, Av_00021578-RA, Av_00001947-RA, Av_00017902-RA
OG0000813	Aqcoe6G156200.1.p, Aqcoe5G162800.1.p	Av_00013983-RA, Av_00003172-RA
OG0000814	Aqcoe6G171200.1.p	Av_00008595-RA, Av_00022770-RA, Av_00023448-RA
OG0000814	Aqcoe5G397200.3.p, Aqcoe5G397200.2.p, Aqcoe5G397200.1.p	Av_00010480-RA, Av_00017649-RA
OG0000815	Aqcoe6G316700.1.p, Aqcoe6G316700.2.p, Aqcoe3G134900.1.p	Av_00012511-RA, Av_00016340-RA, Av_00015945-RA, Av_00007305-RA, Av_00008846-RA
OG0000816	Aqcoe5G473400.1.p, Aqcoe5G473400.2.p, Aqcoe4G096400.1.p, Aqcoe4G099200.1.p, Aqcoe6G199300.1.p, Aqcoe4G111700.1.p	Av_00021267-RA, Av_00001075-RA, Av_00012294-RA, Av_00004419-RA, Av_00021546-RA
OG0000817	Aqcoe6G120400.1.p, Aqcoe6G120400.2.p, Aqcoe6G120400.3.p	Av_00001053-RA
OG0000818	Aqcoe1G060300.1.p, Aqcoe1G060300.2.p	Av_00008165-RA, Av_00004345-RA
OG0000819	Aqcoe1G368200.1.p, Aqcoe4G250900.1.p	Av_00011962-RA, Av_00019837-RA, Av_00000186-RA, Av_00007876-RA
OG0000820	Aqcoe7G013600.1.p, Aqcoe7G013600.3.p, Aqcoe7G013600.2.p	Av_00006605-RA
OG0000821	Aqcoe7G248400.5.p, Aqcoe7G248400.4.p, Aqcoe7G248400.2.p, Aqcoe7G248400.3.p, Aqcoe7G248400.1.p, Aqcoe7G248400.8.p, Aqcoe7G248400.6.p, Aqcoe7G248400.7.p, Aqcoe7G250300.1.p	Av_00017545-RA, Av_00015395-RA, Av_00018333-RA
OG0000822	Aqcoe0724s0001.1.p, Aqcoe1G209100.1.p	Av_00019471-RA, Av_00012649-RA, Av_00020231-RA
OG0000823	Aqcoe5G033300.1.p	Av_00008038-RA
OG0000823	Aqcoe7G121300.2.p, Aqcoe7G121300.1.p	Av_00000942-RA
OG0000824	Aqcoe1G392900.1.p	Av_00019708-RA, Av_00013372-RA, Av_00018006-RA, Av_00012632-RA, Av_00002959-RA
OG0000826	Aqcoe1G437200.1.p	Av_00005095-RA
OG0000827	Aqcoe1G155900.1.p, Aqcoe1G155900.2.p	Av_00023840-RA, Av_00009720-RA
OG0000828	Aqcoe5G272300.2.p, Aqcoe5G272300.1.p	Av_00000005-RA, Av_00022277-RA, Av_00022276-RA, Av_00000006-RA
OG0000835	Aqcoe4G170700.1.p, Aqcoe1G323500.1.p	Av_00007940-RA, Av_00006842-RA
OG0000835	Aqcoe1G049900.1.p, Aqcoe1G049900.2.p, Aqcoe2G054400.2.p, Aqcoe2G054400.1.p, Aqcoe2G054400.3.p	Av_00020289-RA, Av_00003511-RA
OG0000836	Aqcoe4G020800.1.p, Aqcoe7G306800.1.p, Aqcoe2G074200.1.p, Aqcoe2G310800.1.p, Aqcoe3G385400.1.p, Aqcoe3G385800.1.p	Av_00017166-RA
OG0000838	Aqcoe4G025300.1.p, Aqcoe2G179100.1.p, Aqcoe2G179100.2.p	Av_00023872-RA, Av_00017833-RA, Av_00015795-RA
OG0000839	Aqcoe1G047400.1.p, Aqcoe2G048500.1.p	Av_00006304-RA, Av_00023038-RA
OG0000839	Aqcoe6G151200.1.p	Av_00000291-RA, Av_00007729-RA, Av_00016368-RA
OG0000840	Aqcoe2G196200.1.p	Av_00022886-RA
OG0000840	Aqcoe2G200200.1.p, Aqcoe7G229000.1.p	Av_00023848-RA, Av_00022144-RA
OG0000841	Aqcoe6G193200.1.p	Av_00023349-RA, Av_00010717-RA, Av_00010716-RA, Av_00023350-RA
OG0000842	Aqcoe2G076500.5.p, Aqcoe2G076500.2.p, Aqcoe2G076500.1.p, Aqcoe2G076500.4.p, Aqcoe2G076500.3.p, Aqcoe2G076500.7.p, Aqcoe2G076500.6.p	Av_00002966-RA, Av_00005410-RA
OG0000844	Aqcoe6G153300.2.p, Aqcoe6G153300.1.p	Av_00013706-RA
OG0000845	Aqcoe5G127300.1.p	Av_00019990-RA
OG0000845	Aqcoe6G227000.1.p	Av_00011134-RA, Av_00009920-RA, Av_00004581-RA
OG0000846	Aqcoe1G371900.2.p, Aqcoe1G371900.1.p	Av_00006614-RA, Av_00016494-RA, Av_00011781-RA, Av_00006939-RA
OG0000847	Aqcoe6G211700.1.p	Av_00019114-RA, Av_00011696-RA, Av_00016306-RA
OG0000848	Aqcoe5G202600.2.p, Aqcoe5G202600.3.p, Aqcoe5G202600.1.p, Aqcoe4G015000.1.p, Aqcoe6G105300.1.p, Aqcoe6G105300.2.p	Av_00013405-RA, Av_00014835-RA, Av_00016606-RA
OG0000849	Aqcoe6G252200.1.p	Av_00006273-RA, Av_00020904-RA
OG0000849	Aqcoe7G034400.1.p, Aqcoe7G034400.2.p	Av_00020810-RA, Av_00005484-RA
OG0000850	Aqcoe6G096900.1.p, Aqcoe5G173000.1.p	Av_00007734-RA
OG0000850	Aqcoe5G173100.1.p	Av_00007733-RA, Av_00000286-RA, Av_00017951-RA, Av_00016370-RA, Av_00015882-RA
OG0000851	Aqcoe6G075100.1.p	Av_00011481-RA, Av_00015267-RA, Av_00010945-RA
OG0000852	Aqcoe4G002400.3.p, Aqcoe4G002400.7.p, Aqcoe4G002400.4.p, Aqcoe4G002400.2.p, Aqcoe4G002400.5.p, Aqcoe4G002400.6.p, Aqcoe4G002400.1.p, Aqcoe5G147700.4.p, Aqcoe5G147700.1.p, Aqcoe5G147700.2.p, Aqcoe5G147700.3.p, Aqcoe4G002400.8.p, Aqcoe5G147700.5.p, Aqcoe4G046400.1.p	Av_00008432-RA
OG0000853	Aqcoe1G425900.2.p, Aqcoe1G425900.1.p, Aqcoe1G426000.2.p, Aqcoe1G426000.1.p	Av_00008528-RA
OG0000853	Aqcoe4G268800.1.p, Aqcoe4G268800.2.p	Av_00007482-RA
OG0000854	Aqcoe1G232100.1.p, Aqcoe1G232100.2.p	Av_00013100-RA, Av_00012729-RA, Av_00011954-RA, Av_00014139-RA, Av_00010596-RA
OG0000855	Aqcoe4G268900.1.p, Aqcoe4G268900.2.p	Av_00003673-RA
OG0000856	Aqcoe7G290200.1.p, Aqcoe7G290200.2.p, Aqcoe7G290200.3.p	Av_00004478-RA, Av_00001030-RA, Av_00018222-RA, Av_00004477-RA, Av_00023594-RA
OG0000857	Aqcoe7G369600.2.p, Aqcoe7G369600.1.p	Av_00018271-RA, Av_00004679-RA, Av_00016472-RA, Av_00023242-RA
OG0000858	Aqcoe7G404700.1.p, Aqcoe7G404700.2.p, Aqcoe7G404700.3.p	Av_00013799-RA
OG0000859	Aqcoe7G388100.2.p, Aqcoe7G388100.1.p, Aqcoe1G164700.1.p	Av_00021208-RA
OG0000859	Aqcoe1G164800.1.p	Av_00005852-RA, Av_00020208-RA
OG0000860	Aqcoe7G222300.4.p, Aqcoe7G222300.10.p, Aqcoe7G222300.6.p, Aqcoe7G222300.7.p, Aqcoe7G222300.12.p, Aqcoe7G222300.5.p, Aqcoe7G222300.8.p, Aqcoe7G222300.13.p, Aqcoe7G222300.3.p, Aqcoe7G222300.9.p, Aqcoe7G222300.11.p, Aqcoe7G222300.2.p, Aqcoe7G222300.1.p	Av_00012309-RA, Av_00004407-RA
OG0000861	Aqcoe7G014800.1.p	Av_00003249-RA, Av_00024506-RA
OG0000862	Aqcoe7G377300.2.p, Aqcoe7G377300.1.p, Aqcoe7G377300.3.p, Aqcoe5G375500.1.p	Av_00000857-RA
OG0000863	Aqcoe1G095700.2.p, Aqcoe1G095700.3.p, Aqcoe1G095700.1.p, Aqcoe1G095800.1.p	Av_00017282-RA, Av_00005720-RA, Av_00003878-RA
OG0000864	Aqcoe1G387800.1.p, Aqcoe1G387800.2.p	Av_00010167-RA, Av_00006207-RA, Av_00012754-RA
OG0000865	Aqcoe1G185500.2.p, Aqcoe1G185500.3.p, Aqcoe1G185500.1.p	Av_00010128-RA, Av_00014286-RA
OG0000866	Aqcoe1G353700.2.p, Aqcoe1G353700.1.p	Av_00007939-RA, Av_00012168-RA, Av_00005825-RA
OG0000867	Aqcoe5G326100.3.p, Aqcoe5G326100.1.p, Aqcoe5G326100.2.p, Aqcoe5G326100.4.p	Av_00005198-RA
OG0000867	Aqcoe5G075100.1.p	Av_00018722-RA
OG0000868	Aqcoe5G303000.2.p, Aqcoe5G303000.1.p, Aqcoe5G303000.3.p, Aqcoe5G303000.4.p	Av_00006687-RA, Av_00016140-RA, Av_00016744-RA
OG0000869	Aqcoe3G437600.1.p	Av_00011831-RA
OG0000869	Aqcoe3G008400.1.p	Av_00020856-RA, Av_00001570-RA, Av_00002039-RA, Av_00006980-RA, Av_00012878-RA
OG0000870	Aqcoe3G342600.1.p	Av_00011254-RA, Av_00000537-RA, Av_00016967-RA, Av_00015515-RA, Av_00006414-RA, Av_00007551-RA, Av_00005265-RA, Av_00002705-RA
OG0000871	Aqcoe3G304200.1.p, Aqcoe3G304200.2.p, Aqcoe3G304200.4.p, Aqcoe3G304200.3.p	Av_00023092-RA, Av_00003579-RA
OG0000872	Aqcoe3G378300.1.p, Aqcoe3G068000.2.p, Aqcoe3G068000.1.p	Av_00004956-RA, Av_00018621-RA, Av_00021872-RA, Av_00013753-RA, Av_00001804-RA, Av_00024880-RA
OG0000878	Aqcoe2G042200.1.p, Aqcoe1G043100.1.p	Av_00011845-RA, Av_00006990-RA, Av_00006550-RA, Av_00016537-RA
OG0000878	Aqcoe7G258000.3.p, Aqcoe7G258000.1.p, Aqcoe7G258000.2.p	Av_00011844-RA, Av_00003174-RA, Av_00008657-RA
OG0000879	Aqcoe2G169200.2.p, Aqcoe2G169200.1.p, Aqcoe2G169200.3.p, Aqcoe4G092400.1.p, Aqcoe5G192600.1.p, Aqcoe5G194800.1.p	Av_00014336-RA
OG0000880	Aqcoe2G326700.1.p, Aqcoe2G329900.1.p, Aqcoe1G484700.1.p, Aqcoe1G488700.1.p, Aqcoe1G474300.1.p, Aqcoe1G488900.1.p	Av_00024139-RA, Av_00016275-RA, Av_00014341-RA
OG0000880	Aqcoe4G257800.1.p	Av_00014340-RA
OG0000881	Aqcoe3G283300.1.p, Aqcoe3G125700.1.p	Av_00022564-RA
OG0000881	Aqcoe1G475900.1.p	Av_00003565-RA
OG0000882	Aqcoe2G429100.2.p, Aqcoe2G429100.1.p	Av_00024419-RA, Av_00002804-RA, Av_00019588-RA
OG0000883	Aqcoe3G208900.2.p, Aqcoe3G208900.1.p	Av_00011521-RA
OG0000883	Aqcoe2G428000.1.p	Av_00006744-RA, Av_00008071-RA, Av_00000722-RA
OG0000884	Aqcoe2G162900.1.p	Av_00023570-RA, Av_00010020-RA
