Orthogroup	B_vulgaris.proteins	G_max.proteins
OG0000995	Bevul.8G003000.1.p	GmISU01.15G064100.2.p, GmISU01.15G064100.1.p, GmISU01.08G053600.1.p, GmISU01.07G160300.1.p
OG0000998	Bevul.3G032100.1.p	GmISU01.04G191300.1.p, GmISU01.06G120300.1.p
OG0000998	Bevul.1G077100.1.p	GmISU01.10G188800.1.p, GmISU01.20G128800.1.p, GmISU01.10G188700.2.p, GmISU01.10G188700.1.p, GmISU01.20G128900.1.p, GmISU01.02G075300.1.p, GmISU01.16G141900.1.p, GmISU01.16G141900.2.p
OG0000999	Bevul.9G189800.3.p, Bevul.9G189800.2.p, Bevul.9G189800.1.p	GmISU01.13G324300.2.p, GmISU01.13G324300.3.p, GmISU01.15G006100.1.p, GmISU01.13G324300.1.p
OG0001000	Bevul.3G166600.1.p	GmISU01.19G135900.19.p, GmISU01.19G135900.16.p, GmISU01.19G135900.1.p, GmISU01.19G135900.18.p, GmISU01.19G135900.3.p, GmISU01.19G135900.2.p, GmISU01.19G135900.13.p, GmISU01.19G135900.12.p, GmISU01.19G135900.17.p, GmISU01.19G135900.14.p, GmISU01.03G131800.1.p, GmISU01.03G131800.10.p, GmISU01.03G131800.2.p, GmISU01.03G131800.12.p, GmISU01.03G131800.17.p, GmISU01.03G131800.16.p, GmISU01.03G131800.13.p, GmISU01.03G131800.15.p, GmISU01.03G131800.8.p, GmISU01.03G131800.14.p, GmISU01.03G131800.9.p
OG0001001	Bevul.1G188000.1.p	GmISU01.16G024300.3.p, GmISU01.16G024300.2.p, GmISU01.16G024300.1.p, GmISU01.16G024300.4.p, GmISU01.07G053700.3.p, GmISU01.07G053700.2.p, GmISU01.03G212600.2.p, GmISU01.03G212600.1.p, GmISU01.19G213300.1.p, GmISU01.19G213300.2.p
OG0001002	Bevul.8G207400.1.p	GmISU01.15G149700.2.p, GmISU01.15G149700.1.p, GmISU01.15G149700.4.p, GmISU01.15G149700.3.p, GmISU01.15G149700.5.p, GmISU01.15G149700.7.p, GmISU01.09G053800.1.p, GmISU01.09G053800.2.p, GmISU01.17G055100.2.p, GmISU01.17G055100.1.p, GmISU01.17G055000.2.p, GmISU01.17G055000.1.p, GmISU01.17G054900.1.p, GmISU01.13G072500.2.p, GmISU01.13G072500.1.p, GmISU01.15G149900.1.p, GmISU01.09G053900.1.p
OG0001003	Bevul.2G241700.1.p	GmISU01.18G150300.1.p, GmISU01.07G131100.1.p, GmISU01.18G150100.1.p, GmISU01.07G130700.1.p, GmISU01.16G085500.1.p, GmISU01.07G130900.1.p, GmISU01.07G130900.2.p, GmISU01.18G150200.1.p, GmISU01.07G131000.1.p, GmISU01.03G045200.2.p, GmISU01.03G045200.1.p, GmISU01.01G093100.1.p, GmISU01.01G093100.2.p, GmISU01.11G208300.1.p, GmISU01.18G025800.1.p
OG0001004	Bevul.6G230900.1.p	GmISU01.03G100700.1.p
OG0001005	Bevul.5G000500.1.p	GmISU01.11G021600.1.p, GmISU01.01G177700.1.p, GmISU01.05G175900.1.p, GmISU01.08G012600.1.p
OG0001005	Bevul.1G175400.1.p	GmISU01.09G216400.4.p, GmISU01.09G216400.3.p, GmISU01.09G216400.6.p, GmISU01.09G216400.5.p, GmISU01.18G177400.1.p, GmISU01.18G177400.2.p, GmISU01.07G065700.1.p, GmISU01.07G065700.2.p, GmISU01.03G010200.4.p, GmISU01.03G010200.3.p, GmISU01.03G010200.1.p
OG0001006	Bevul.9G198000.1.p, Bevul.9G198400.1.p, Bevul.9G198200.1.p, Bevul.9G198100.1.p	GmISU01.15G010500.2.p, GmISU01.15G010500.3.p, GmISU01.15G010500.6.p, GmISU01.13G320300.9.p, GmISU01.15G010500.5.p, GmISU01.13G320300.7.p, GmISU01.13G320300.6.p
OG0001006	Bevul.2G020500.1.p	GmISU01.04G064600.7.p, GmISU01.04G064600.2.p, GmISU01.04G064600.5.p, GmISU01.06G065100.2.p, GmISU01.06G065100.3.p, GmISU01.06G065100.1.p
OG0001007	Bevul.5G031800.1.p	GmISU01.09G217100.2.p, GmISU01.09G217100.4.p, GmISU01.09G217100.5.p, GmISU01.09G217100.3.p
OG0001007	Bevul.1G165800.1.p	GmISU01.07G066400.2.p, GmISU01.07G066400.1.p, GmISU01.07G066400.3.p, GmISU01.03G011400.4.p, GmISU01.03G011400.3.p, GmISU01.03G011400.1.p, GmISU01.03G011200.2.p, GmISU01.03G011200.1.p, GmISU01.07G066200.4.p, GmISU01.07G066200.1.p, GmISU01.07G066200.2.p
OG0001008	Bevul.3G046100.1.p, Bevul.5G023600.1.p	GmISU01.05G181400.10.p, GmISU01.05G181400.12.p, GmISU01.05G181400.9.p, GmISU01.05G181400.7.p, GmISU01.05G181400.8.p, GmISU01.05G181400.5.p, GmISU01.05G181400.1.p, GmISU01.05G181400.11.p, GmISU01.05G181400.6.p, GmISU01.08G018000.7.p, GmISU01.08G018000.5.p, GmISU01.08G018000.6.p, GmISU01.08G018000.1.p, GmISU01.08G018000.8.p, GmISU01.01G181600.2.p, GmISU01.01G181600.9.p, GmISU01.01G181600.6.p, GmISU01.01G181600.8.p, GmISU01.01G181600.4.p, GmISU01.01G181600.3.p, GmISU01.01G181600.5.p, GmISU01.01G181600.7.p
OG0001009	Bevul.7G201100.1.p, Bevul.7G200900.1.p, Bevul.6G201200.1.p, Bevul.7G201200.1.p, Bevul.7G200700.1.p, Bevul.6G201400.1.p	GmISU01.18G138700.1.p, GmISU01.07G119000.1.p
OG0001010	Bevul.3G178800.1.p	GmISU01.19G116500.5.p, GmISU01.03G111300.7.p, GmISU01.03G111300.1.p, GmISU01.03G111300.6.p, GmISU01.19G116500.7.p, GmISU01.19G116500.6.p, GmISU01.19G116500.8.p, GmISU01.19G116500.9.p, GmISU01.19G116500.10.p, GmISU01.03G111300.8.p, GmISU01.03G111300.11.p, GmISU01.03G111300.9.p, GmISU01.03G111300.10.p, GmISU01.19G116500.1.p, GmISU01.02G149100.1.p, GmISU01.02G149100.2.p, GmISU01.02G149100.5.p, GmISU01.02G149100.6.p, GmISU01.09G087900.2.p, GmISU01.09G087900.3.p
OG0001011	Bevul.7G170400.1.p	GmISU01.13G286900.5.p, GmISU01.13G286900.1.p, GmISU01.12G142800.1.p, GmISU01.12G142800.2.p, GmISU01.12G062400.3.p, GmISU01.12G062400.1.p, GmISU01.12G062400.7.p, GmISU01.12G062400.6.p, GmISU01.12G062400.2.p, GmISU01.12G062400.5.p, GmISU01.12G062400.4.p, GmISU01.12G062400.9.p, GmISU01.12G062400.8.p, GmISU01.12G062400.10.p, GmISU01.12G062400.11.p, GmISU01.11G160300.6.p, GmISU01.11G160300.7.p, GmISU01.11G160300.8.p, GmISU01.11G160300.9.p, GmISU01.11G160300.4.p, GmISU01.11G160300.5.p, GmISU01.11G160300.2.p, GmISU01.11G160300.1.p
OG0001012	Bevul.2G025100.1.p, Bevul.2G025100.2.p	GmISU01.06G131600.1.p
OG0001013	Bevul.7G188800.1.p, Bevul.2G243600.1.p	GmISU01.14G015700.1.p, GmISU01.14G015700.3.p, GmISU01.02G255400.3.p, GmISU01.02G255400.1.p, GmISU01.02G255400.5.p, GmISU01.02G255400.4.p
OG0001015	Bevul.9G047500.2.p, Bevul.9G047500.1.p, Bevul.9G047500.4.p, Bevul.9G047500.3.p	GmISU01.12G144000.3.p, GmISU01.12G144000.1.p, GmISU01.12G070100.4.p, GmISU01.12G070100.12.p, GmISU01.12G070100.8.p, GmISU01.12G070100.11.p, GmISU01.12G070100.5.p, GmISU01.12G070100.1.p, GmISU01.12G070100.14.p, GmISU01.12G070100.7.p, GmISU01.12G070100.13.p, GmISU01.12G070100.6.p, GmISU01.12G070100.2.p, GmISU01.12G070100.3.p, GmISU01.12G070100.9.p, GmISU01.11G157900.10.p, GmISU01.11G157900.5.p, GmISU01.11G157900.4.p, GmISU01.11G157900.7.p, GmISU01.11G157900.8.p, GmISU01.11G157900.2.p, GmISU01.11G157900.3.p, GmISU01.11G157900.6.p, GmISU01.11G157900.11.p
OG0001016	Bevul.4G107100.1.p	GmISU01.02G163900.11.p, GmISU01.02G163900.6.p, GmISU01.02G163900.3.p, GmISU01.02G163900.7.p, GmISU01.02G163900.13.p, GmISU01.02G163900.18.p, GmISU01.02G163900.4.p, GmISU01.02G163900.8.p, GmISU01.02G163900.15.p, GmISU01.02G163900.17.p, GmISU01.02G163900.1.p, GmISU01.02G163900.5.p, GmISU01.02G163900.10.p, GmISU01.02G163900.12.p, GmISU01.02G163900.9.p, GmISU01.10G072000.1.p, GmISU01.10G072000.3.p, GmISU01.10G072000.2.p, GmISU01.03G162900.2.p, GmISU01.03G162900.3.p, GmISU01.19G165200.3.p, GmISU01.19G165200.2.p, GmISU01.19G165200.1.p
OG0001017	Bevul.9G083600.2.p, Bevul.9G083600.1.p	GmISU01.12G105300.1.p, GmISU01.06G241700.3.p, GmISU01.06G241700.1.p, GmISU01.13G255200.2.p, GmISU01.13G255200.3.p, GmISU01.13G255200.1.p, GmISU01.12G174800.1.p
OG0001018	Bevul.9G067700.1.p	GmISU01.13G269500.2.p, GmISU01.13G269500.3.p, GmISU01.13G269500.4.p, GmISU01.13G269500.1.p, GmISU01.13G269500.5.p, GmISU01.12G161400.3.p, GmISU01.12G161400.2.p, GmISU01.12G161400.1.p, GmISU01.12G161400.4.p, GmISU01.06G259400.1.p, GmISU01.06G259400.2.p, GmISU01.06G259400.3.p, GmISU01.12G090066.2.p, GmISU01.12G090066.3.p, GmISU01.12G090066.1.p, GmISU01.12G090066.4.p, GmISU01.12G090066.5.p
OG0001020	Bevul.6G203200.1.p	GmISU01.16G048600.2.p, GmISU01.16G048600.3.p, GmISU01.16G048600.6.p, GmISU01.16G048600.5.p, GmISU01.19G071400.2.p, GmISU01.19G071400.3.p, GmISU01.19G071400.5.p, GmISU01.19G071400.6.p, GmISU01.19G071400.4.p, GmISU01.19G071400.7.p
OG0001021	Bevul.3G127100.1.p, Bevul.2G123500.1.p	GmISU01.09G071500.3.p, GmISU01.09G071500.4.p, GmISU01.09G071500.2.p, GmISU01.09G071500.1.p, GmISU01.15G168000.1.p, GmISU01.15G168000.2.p, GmISU01.15G168000.3.p
OG0001021	Bevul.5G221700.1.p, Bevul.4G129600.1.p	GmISU01.02G007800.1.p, GmISU01.10G008400.4.p, GmISU01.10G008400.2.p, GmISU01.10G008400.6.p, GmISU01.10G008400.5.p, GmISU01.10G008400.3.p
OG0001022	Bevul.2G216100.1.p, Bevul.2G215600.1.p, Bevul.2G215700.1.p, Bevul.2G215900.1.p, Bevul.2G215800.1.p, Bevul.4G067300.1.p, Bevul.2G216000.1.p	GmISU01.01G067900.1.p
OG0001023	Bevul.1G192900.1.p	GmISU01.17G139100.1.p, GmISU01.05G062700.1.p, GmISU01.17G138900.1.p
OG0001023	Bevul.5G080900.1.p, Bevul.5G080800.1.p	GmISU01.17G139200.1.p, GmISU01.05G062800.1.p
OG0001023	Bevul.8G144600.1.p, Bevul.8G144700.1.p	GmISU01.03G076400.1.p
OG0001024	Bevul.6G078500.1.p	GmISU01.02G105800.3.p, GmISU01.02G105800.1.p, GmISU01.02G105800.2.p, GmISU01.01G052500.2.p, GmISU01.01G052500.1.p
OG0001025	Bevul.5G142300.1.p	GmISU01.07G091600.2.p, GmISU01.07G091600.1.p, GmISU01.09G139600.1.p
OG0001027	Bevul.6G246700.1.p	GmISU01.08G261700.5.p, GmISU01.08G261700.7.p, GmISU01.08G261700.6.p, GmISU01.08G261700.3.p, GmISU01.08G261700.8.p, GmISU01.08G261700.1.p, GmISU01.08G261700.4.p, GmISU01.18G106500.1.p, GmISU01.18G106500.2.p, GmISU01.18G106500.3.p, GmISU01.02G024100.3.p, GmISU01.02G024100.8.p, GmISU01.02G024100.10.p, GmISU01.02G024100.6.p, GmISU01.02G024100.1.p, GmISU01.02G024100.9.p, GmISU01.02G024100.11.p, GmISU01.02G024100.12.p, GmISU01.02G024100.7.p, GmISU01.02G024100.13.p, GmISU01.02G024100.4.p, GmISU01.02G024100.2.p, GmISU01.01G034700.2.p, GmISU01.01G034700.4.p, GmISU01.01G034700.7.p, GmISU01.01G034700.8.p, GmISU01.01G034700.3.p, GmISU01.01G034700.1.p, GmISU01.01G034700.6.p
OG0001028	Bevul.8G105700.1.p	GmISU01.09G133200.13.p, GmISU01.09G133200.11.p, GmISU01.09G133200.12.p, GmISU01.09G133200.9.p, GmISU01.09G133200.16.p, GmISU01.09G133200.15.p, GmISU01.09G133200.10.p, GmISU01.09G133200.14.p, GmISU01.16G187000.7.p, GmISU01.16G187000.1.p, GmISU01.16G187000.8.p, GmISU01.16G187000.3.p, GmISU01.16G187000.10.p, GmISU01.16G187000.6.p, GmISU01.16G187000.2.p, GmISU01.05G213900.3.p, GmISU01.05G213900.2.p, GmISU01.08G052200.9.p, GmISU01.08G052200.6.p, GmISU01.08G052200.2.p, GmISU01.08G052200.8.p, GmISU01.08G052200.11.p, GmISU01.08G052200.4.p, GmISU01.08G052200.1.p, GmISU01.08G052200.3.p
OG0001029	Bevul.6G081500.1.p	GmISU01.07G191700.1.p, GmISU01.20G021600.1.p, GmISU01.02G104200.1.p, GmISU01.01G050900.1.p
OG0001030	Bevul.3G013500.1.p	GmISU01.11G101000.4.p, GmISU01.11G101000.1.p, GmISU01.12G013800.3.p, GmISU01.01G192200.1.p, GmISU01.11G007800.5.p, GmISU01.11G007800.7.p, GmISU01.11G007800.6.p, GmISU01.11G007800.3.p, GmISU01.11G007800.4.p, GmISU01.11G007800.8.p, GmISU01.11G007800.1.p, GmISU01.11G007800.2.p
OG0001037	Bevul.3G131700.1.p	GmISU01.20G203100.3.p, GmISU01.20G203100.2.p, GmISU01.20G203100.1.p, GmISU01.10G252000.3.p, GmISU01.10G252000.1.p
OG0001038	Bevul.5G012300.1.p	GmISU01.07G127600.4.p, GmISU01.07G127600.3.p, GmISU01.07G127600.2.p, GmISU01.07G127600.1.p, GmISU01.01G086800.2.p, GmISU01.01G086800.1.p
OG0001039	Bevul.7G063400.1.p	GmISU01.11G133600.1.p, GmISU01.12G066400.1.p
OG0001040	Bevul.6G243400.1.p	GmISU01.08G264500.5.p, GmISU01.08G264500.2.p
OG0001040	Bevul.5G052400.1.p	GmISU01.03G043600.2.p, GmISU01.03G043600.1.p, GmISU01.03G043600.6.p, GmISU01.03G043600.7.p, GmISU01.03G043600.4.p, GmISU01.03G043600.8.p, GmISU01.01G090900.3.p
OG0001041	Bevul.7G204100.1.p	GmISU01.11G126200.14.p, GmISU01.11G126200.12.p, GmISU01.11G126200.5.p, GmISU01.11G126200.7.p, GmISU01.11G126200.3.p, GmISU01.11G126200.10.p, GmISU01.11G126200.1.p, GmISU01.11G126200.16.p, GmISU01.11G126200.4.p, GmISU01.11G126200.20.p, GmISU01.11G126200.2.p, GmISU01.11G126200.13.p, GmISU01.12G056900.1.p, GmISU01.12G056900.6.p, GmISU01.12G056900.5.p, GmISU01.12G056900.8.p, GmISU01.12G056900.3.p, GmISU01.12G056900.7.p, GmISU01.12G056900.4.p, GmISU01.11G126200.19.p, GmISU01.11G126200.15.p, GmISU01.11G126200.9.p, GmISU01.11G126200.18.p, GmISU01.13G296300.2.p, GmISU01.15G035400.1.p, GmISU01.15G035400.4.p, GmISU01.15G035400.3.p, GmISU01.15G035400.5.p, GmISU01.15G035400.2.p
OG0001044	Bevul.7G054300.1.p	GmISU01.10G053000.1.p, GmISU01.13G116500.1.p, GmISU01.19G146500.1.p, GmISU01.03G143200.1.p, GmISU01.03G143100.1.p
OG0001045	Bevul.4G203100.1.p	GmISU01.20G195000.8.p, GmISU01.20G195000.9.p, GmISU01.20G195000.7.p
OG0001046	Bevul.5G050700.1.p	GmISU01.18G150600.1.p, GmISU01.03G045000.1.p
OG0001046	Bevul.9G080400.1.p	GmISU01.06G245300.1.p, GmISU01.12G103000.1.p
OG0001047	Bevul.2G054700.1.p	GmISU01.13G044100.1.p, GmISU01.19G016400.1.p, GmISU01.09G198100.1.p, GmISU01.18G199300.1.p
OG0001047	Bevul.8G178100.1.p	GmISU01.13G139600.1.p, GmISU01.17G105800.1.p, GmISU01.06G196000.1.p, GmISU01.04G120700.1.p
OG0001047	Bevul.7G065800.1.p	GmISU01.18G116800.1.p, GmISU01.03G063600.1.p
OG0001048	Bevul.3G206500.1.p	GmISU01.19G100500.4.p, GmISU01.19G100500.3.p, GmISU01.19G100500.1.p, GmISU01.03G096900.3.p, GmISU01.03G096900.1.p, GmISU01.03G096900.5.p, GmISU01.03G096900.2.p
OG0001049	Bevul.7G184700.1.p	GmISU01.13G011800.1.p, GmISU01.13G011750.1.p, GmISU01.20G039700.1.p, GmISU01.13G011900.1.p, GmISU01.17G212900.1.p, GmISU01.17G212900.2.p, GmISU01.14G075400.1.p
OG0001050	Bevul.9G138800.1.p	GmISU01.11G097600.1.p, GmISU01.12G028600.1.p
OG0001050	Bevul.6G034400.1.p	GmISU01.02G043700.1.p, GmISU01.16G103700.1.p, GmISU01.01G128400.1.p, GmISU01.11G070800.1.p, GmISU01.04G032300.1.p
OG0001050	Bevul.1G024200.1.p	GmISU01.17G225100.1.p
OG0001051	Bevul.2G138200.1.p	GmISU01.07G155900.1.p, GmISU01.08G058100.1.p
OG0001051	Bevul.1G061400.1.p	GmISU01.08G167800.1.p, GmISU01.08G167800.2.p
OG0001052	Bevul.4G186200.1.p	GmISU01.16G176900.1.p, GmISU01.09G123600.1.p, GmISU01.16G177000.1.p, GmISU01.16G177100.1.p, GmISU01.09G123800.1.p
OG0001053	Bevul.9G190100.7.p, Bevul.9G190100.12.p, Bevul.9G190100.5.p, Bevul.9G190100.2.p, Bevul.9G190100.4.p, Bevul.9G190100.3.p, Bevul.9G190100.9.p, Bevul.9G190100.11.p, Bevul.9G190100.8.p, Bevul.9G190100.6.p, Bevul.9G190100.10.p, Bevul.9G190100.1.p	GmISU01.13G329200.1.p
OG0001053	Bevul.9G190000.1.p	GmISU01.09G018400.2.p, GmISU01.15G116000.2.p, GmISU01.15G116000.3.p
OG0001054	Bevul.9G148500.1.p, Bevul.9G148300.1.p, Bevul.9G148100.1.p	GmISU01.08G064900.1.p, GmISU01.13G023100.1.p, GmISU01.13G023100.2.p, GmISU01.13G023500.1.p, GmISU01.13G023500.2.p, GmISU01.08G065200.1.p
OG0001055	Bevul.9G168600.1.p	GmISU01.06G028100.1.p, GmISU01.04G011700.1.p, GmISU01.06G010600.1.p, GmISU01.11G063900.1.p, GmISU01.01G135200.1.p, GmISU01.01G135300.2.p, GmISU01.01G135300.1.p, GmISU01.11G063800.1.p, GmISU01.01G135100.1.p
OG0001056	Bevul.4G120900.1.p	GmISU01.15G016900.2.p, GmISU01.16G034901.1.p, GmISU01.19G085300.1.p
OG0001056	Bevul.2G090300.1.p	GmISU01.08G217200.4.p, GmISU01.08G217200.1.p, GmISU01.15G182900.3.p, GmISU01.15G182900.1.p, GmISU01.08G151700.1.p, GmISU01.08G151700.2.p, GmISU01.15G218100.1.p
OG0001057	Bevul.1G109500.1.p	GmISU01.15G053300.1.p, GmISU01.14G148400.1.p, GmISU01.02G178900.1.p, GmISU01.04G084900.1.p, GmISU01.06G086300.1.p
OG0001057	Bevul.8G083300.1.p	GmISU01.08G077000.1.p, GmISU01.05G105100.1.p
OG0001057	Bevul.1G109600.1.p	GmISU01.02G178800.4.p, GmISU01.14G148300.5.p, GmISU01.04G085000.4.p, GmISU01.06G086400.1.p
OG0001058	Bevul.2G046300.1.p	GmISU01.05G067800.1.p, GmISU01.19G067000.1.p
OG0001058	Bevul.1G107300.1.p	GmISU01.06G091500.1.p, GmISU01.14G146300.1.p, GmISU01.02G176400.1.p
OG0001059	Bevul.5G203000.1.p	GmISU01.06G171000.8.p, GmISU01.06G171000.5.p, GmISU01.06G171000.2.p, GmISU01.06G171000.3.p, GmISU01.06G171000.9.p, GmISU01.06G171000.1.p, GmISU01.06G171000.4.p, GmISU01.06G171000.7.p, GmISU01.06G171000.6.p, GmISU01.04G143400.2.p, GmISU01.04G143400.3.p, GmISU01.04G143400.1.p, GmISU01.17G086200.2.p, GmISU01.17G086200.1.p, GmISU01.05G029800.2.p, GmISU01.05G029800.3.p, GmISU01.05G029800.4.p
OG0001060	Bevul.4G125900.1.p, Bevul.4G125800.1.p	GmISU01.08G004600.1.p, GmISU01.05G167700.1.p, GmISU01.04G166500.1.p, GmISU01.06G147000.1.p, GmISU01.06G146900.1.p
OG0001062	Bevul.9G116100.2.p, Bevul.9G116100.4.p, Bevul.9G116100.3.p, Bevul.9G116100.1.p, Bevul.9G116100.5.p	GmISU01.10G078700.1.p, GmISU01.08G193900.1.p
OG0001063	Bevul.3G011200.1.p, Bevul.3G179300.1.p, Bevul.1G086000.1.p	GmISU01.01G053100.1.p
OG0001064	Bevul.9G206800.1.p	GmISU01.07G017600.1.p, GmISU01.08G190600.1.p, GmISU01.13G315500.1.p, GmISU01.15G015500.1.p
OG0001064	Bevul.8G195300.1.p	GmISU01.09G153000.1.p, GmISU01.07G076900.1.p
OG0001065	Bevul.9G226100.2.p, Bevul.9G226100.1.p	GmISU01.15G003000.2.p, GmISU01.15G003000.1.p, GmISU01.13G327700.1.p, GmISU01.08G203100.1.p, GmISU01.07G021100.1.p
OG0001066	Bevul.2G169500.4.p, Bevul.2G169500.1.p, Bevul.2G169500.2.p, Bevul.2G169500.3.p	GmISU01.13G055600.1.p, GmISU01.13G055600.2.p, GmISU01.04G056900.7.p, GmISU01.04G056900.6.p, GmISU01.04G056900.2.p, GmISU01.04G056900.3.p, GmISU01.04G056900.1.p, GmISU01.04G056900.8.p, GmISU01.04G056900.4.p, GmISU01.04G056900.9.p, GmISU01.04G056900.5.p, GmISU01.06G057000.1.p, GmISU01.06G057000.2.p, GmISU01.06G057100.4.p, GmISU01.06G057100.1.p, GmISU01.06G057100.3.p, GmISU01.04G057000.1.p, GmISU01.06G057200.7.p, GmISU01.06G057200.6.p, GmISU01.06G057200.5.p, GmISU01.06G057200.4.p, GmISU01.06G057200.2.p, GmISU01.06G057200.1.p
OG0001067	Bevul.6G248200.1.p	GmISU01.08G262500.1.p, GmISU01.18G105700.1.p, GmISU01.18G105700.2.p
OG0001067	Bevul.5G202400.1.p	GmISU01.06G171100.1.p, GmISU01.04G143300.1.p, GmISU01.05G029400.1.p, GmISU01.17G086500.1.p
OG0001068	Bevul.3G076200.1.p	GmISU01.09G115200.1.p, GmISU01.09G115200.2.p, GmISU01.16G168000.1.p, GmISU01.16G168000.2.p, GmISU01.16G168100.5.p, GmISU01.16G168100.3.p, GmISU01.16G168100.4.p, GmISU01.16G168100.2.p, GmISU01.16G168100.1.p, GmISU01.09G115500.2.p, GmISU01.09G115500.7.p, GmISU01.09G115500.6.p, GmISU01.09G115500.5.p, GmISU01.09G115500.10.p, GmISU01.09G115500.9.p, GmISU01.09G115500.8.p, GmISU01.09G115400.10.p, GmISU01.09G115400.11.p, GmISU01.09G115400.9.p, GmISU01.09G115400.6.p, GmISU01.09G115400.7.p, GmISU01.09G115400.8.p, GmISU01.09G115400.3.p, GmISU01.09G115400.1.p, GmISU01.09G115400.5.p, GmISU01.09G115400.4.p, GmISU01.09G115400.2.p
OG0001069	Bevul.3G039400.1.p	GmISU01.19G053800.1.p, GmISU01.19G053800.7.p, GmISU01.19G053800.3.p, GmISU01.19G053800.5.p, GmISU01.19G053800.6.p, GmISU01.19G053800.4.p, GmISU01.19G053800.2.p, GmISU01.04G194500.2.p, GmISU01.04G194500.3.p, GmISU01.06G116700.1.p, GmISU01.06G116700.2.p
OG0001069	Bevul.1G191100.1.p	GmISU01.16G022400.1.p, GmISU01.16G022400.2.p, GmISU01.16G022400.3.p, GmISU01.07G051900.1.p
OG0001070	Bevul.9G101400.1.p	GmISU01.12G075800.1.p, GmISU01.11G152100.1.p, GmISU01.12G147900.1.p, GmISU01.13G280900.1.p
OG0001070	Bevul.7G043800.1.p	GmISU01.03G148800.2.p, GmISU01.03G148800.1.p, GmISU01.19G152200.1.p, GmISU01.19G152200.4.p, GmISU01.13G119600.1.p, GmISU01.10G057100.1.p
OG0001071	Bevul.7G062800.7.p, Bevul.7G062800.6.p, Bevul.7G062800.8.p, Bevul.7G062800.9.p, Bevul.7G062800.1.p, Bevul.7G062800.5.p, Bevul.7G062800.3.p, Bevul.7G062800.4.p, Bevul.7G062800.2.p	GmISU01.13G109000.3.p, GmISU01.13G109000.5.p, GmISU01.13G109000.4.p, GmISU01.13G109000.2.p, GmISU01.13G109000.1.p, GmISU01.10G045300.1.p, GmISU01.10G045300.2.p, GmISU01.10G045300.5.p, GmISU01.10G045300.4.p, GmISU01.10G045300.7.p, GmISU01.10G045300.6.p, GmISU01.10G045300.8.p, GmISU01.10G045300.3.p, GmISU01.10G045300.9.p, GmISU01.10G045300.11.p, GmISU01.10G045300.12.p, GmISU01.10G045300.13.p, GmISU01.10G045300.10.p, GmISU01.10G045300.14.p, GmISU01.10G045300.15.p
OG0001072	Bevul.8G091000.1.p	GmISU01.08G089100.2.p, GmISU01.08G089100.1.p, GmISU01.08G088700.2.p, GmISU01.08G088700.1.p
OG0001072	Bevul.4G090300.1.p	GmISU01.08G163200.2.p, GmISU01.08G163200.1.p, GmISU01.08G163200.3.p, GmISU01.15G207800.4.p, GmISU01.15G207800.2.p, GmISU01.15G207800.1.p, GmISU01.15G207800.3.p
OG0001073	Bevul.3G224600.1.p	GmISU01.03G087400.1.p, GmISU01.03G087400.3.p, GmISU01.19G092700.1.p, GmISU01.14G038200.2.p, GmISU01.14G038200.5.p, GmISU01.14G038200.4.p, GmISU01.14G038200.3.p, GmISU01.14G038200.1.p, GmISU01.02G235400.3.p, GmISU01.02G235400.2.p
OG0001074	Bevul.1G202100.1.p, Bevul.1G202000.1.p	GmISU01.20G001400.1.p, GmISU01.09G238100.1.p, GmISU01.20G001400.2.p, GmISU01.09G238100.2.p, GmISU01.17G133800.1.p, GmISU01.20G074200.1.p, GmISU01.20G074200.2.p, GmISU01.10G242000.2.p, GmISU01.10G242000.1.p
OG0001075	Bevul.3G046800.1.p	GmISU01.09G100700.2.p, GmISU01.09G100700.1.p, GmISU01.16G145600.1.p
OG0001076	Bevul.4G128800.1.p	GmISU01.03G207600.2.p, GmISU01.03G207600.4.p, GmISU01.10G133500.8.p, GmISU01.20G182200.5.p, GmISU01.20G182200.3.p, GmISU01.20G182200.2.p, GmISU01.10G133500.4.p, GmISU01.10G133500.2.p, GmISU01.10G133500.3.p, GmISU01.10G133500.5.p
OG0001077	Bevul.5G057700.1.p, Bevul.2G250800.3.p, Bevul.2G250800.2.p, Bevul.2G250800.4.p, Bevul.2G250800.1.p	GmISU01.18G156000.15.p, GmISU01.18G156000.5.p, GmISU01.18G156000.14.p, GmISU01.18G156000.7.p, GmISU01.18G156000.6.p, GmISU01.18G156000.17.p, GmISU01.18G156000.8.p, GmISU01.18G156000.1.p, GmISU01.18G156000.16.p, GmISU01.18G156000.18.p, GmISU01.18G156000.3.p, GmISU01.18G156000.4.p, GmISU01.18G156000.20.p, GmISU01.18G156000.19.p
OG0001078	Bevul.5G175000.1.p	GmISU01.06G184500.1.p, GmISU01.06G184500.2.p, GmISU01.06G184500.3.p, GmISU01.04G132400.11.p, GmISU01.04G132400.1.p, GmISU01.04G132400.24.p, GmISU01.04G132400.13.p, GmISU01.04G132400.12.p, GmISU01.04G132400.23.p, GmISU01.04G132400.25.p, GmISU01.04G132400.16.p, GmISU01.04G132400.22.p, GmISU01.04G132400.19.p, GmISU01.04G132400.14.p, GmISU01.04G132400.18.p, GmISU01.04G132400.6.p, GmISU01.04G132400.3.p, GmISU01.04G132400.20.p, GmISU01.04G132400.21.p, GmISU01.04G132400.15.p, GmISU01.04G132400.17.p
