Orthogroup	B_vulgaris.proteins	A_coerulea.proteins
OG0000675	Bevul.8G172100.1.p	Aqcoe7G382800.1.p
OG0000677	Bevul.8G076700.1.p, Bevul.8G076400.1.p	Aqcoe1G209800.2.p, Aqcoe1G209800.1.p, Aqcoe1G209700.1.p
OG0000678	Bevul.4G247000.1.p, Bevul.4G246900.1.p, Bevul.4G247100.1.p	Aqcoe1G050500.2.p, Aqcoe1G050500.1.p
OG0000678	Bevul.4G121000.1.p	Aqcoe3G009300.1.p, Aqcoe3G009300.2.p
OG0000679	Bevul.7G059300.1.p, Bevul.7G059300.3.p, Bevul.7G059300.2.p	Aqcoe1G496300.2.p, Aqcoe1G496300.1.p
OG0000680	Bevul.3G117100.1.p	Aqcoe3G074900.2.p, Aqcoe3G074900.1.p, Aqcoe3G384800.1.p, Aqcoe3G384800.2.p, Aqcoe3G384800.4.p
OG0000684	Bevul.2G106200.1.p	Aqcoe1G476500.1.p
OG0000684	Bevul.7G213400.1.p	Aqcoe1G476400.1.p
OG0000684	Bevul.3G169000.1.p	Aqcoe2G392700.1.p
OG0000685	Bevul.7G092200.2.p, Bevul.7G092200.1.p	Aqcoe2G296300.1.p, Aqcoe5G086900.1.p
OG0000685	Bevul.4G112900.1.p	Aqcoe5G453400.1.p, Aqcoe5G453400.2.p
OG0000686	Bevul.7G035400.5.p, Bevul.7G035400.3.p, Bevul.7G035400.4.p, Bevul.7G035400.2.p, Bevul.7G035400.1.p	Aqcoe1G111900.2.p, Aqcoe1G111900.1.p, Aqcoe1G111900.3.p
OG0000686	Bevul.9G104600.1.p	Aqcoe2G162800.2.p, Aqcoe2G162800.3.p, Aqcoe2G162800.1.p, Aqcoe2G124200.2.p, Aqcoe2G124200.1.p
OG0000686	Bevul.7G019000.1.p	Aqcoe5G086100.1.p, Aqcoe5G086000.1.p
OG0000687	Bevul.8G179100.1.p	Aqcoe6G171600.1.p, Aqcoe7G275300.1.p
OG0000688	Bevul.6G036300.1.p, Bevul.6G036400.1.p	Aqcoe5G342400.1.p
OG0000688	Bevul.4G143700.1.p, Bevul.4G143800.1.p	Aqcoe2G311400.1.p, Aqcoe6G259500.2.p, Aqcoe6G259500.1.p, Aqcoe6G259600.8.p, Aqcoe6G259600.7.p, Aqcoe6G259600.1.p, Aqcoe6G259600.5.p, Aqcoe6G259600.9.p, Aqcoe6G259600.6.p, Aqcoe6G259600.2.p, Aqcoe6G259600.4.p, Aqcoe6G259600.10.p, Aqcoe6G259600.3.p, Aqcoe6G259600.11.p
OG0000689	Bevul.3G189100.1.p, Bevul.4G240000.1.p	Aqcoe1G061100.1.p, Aqcoe2G061100.1.p
OG0000690	Bevul.6G138000.1.p	Aqcoe3G404200.1.p, Aqcoe3G404100.1.p
OG0000690	Bevul.5G126700.1.p, Bevul.5G141000.1.p, Bevul.2G109600.1.p	Aqcoe2G188400.1.p
OG0000692	Bevul.3G174400.1.p	Aqcoe2G049700.1.p
OG0000693	Bevul.5G081300.1.p, Bevul.5G081400.1.p, Bevul.5G081500.1.p, Bevul.8G081800.1.p, Bevul.8G081900.1.p	Aqcoe6G042600.1.p
OG0000694	Bevul.3G188000.1.p, Bevul.9G123400.1.p, Bevul.9G123500.3.p, Bevul.9G123500.2.p, Bevul.9G123500.1.p	Aqcoe6G186400.1.p, Aqcoe6G186100.1.p, Aqcoe6G186200.2.p, Aqcoe6G186200.1.p, Aqcoe6G194500.1.p
OG0000695	Bevul.6G226400.1.p, Bevul.1G019700.1.p	Aqcoe6G066700.1.p, Aqcoe6G066700.2.p
OG0000696	Bevul.9G237800.1.p, Bevul.9G237700.1.p	Aqcoe7G272100.1.p, Aqcoe5G131900.1.p, Aqcoe5G131800.1.p, Aqcoe5G131700.1.p, Aqcoe5G131500.1.p, Aqcoe5G131400.1.p, Aqcoe5G138000.1.p, Aqcoe5G131600.1.p, Aqcoe7G271900.1.p, Aqcoe7G271800.1.p, Aqcoe7G272000.1.p, Aqcoe7G271600.1.p, Aqcoe7G272200.2.p, Aqcoe7G272200.1.p, Aqcoe7G272500.1.p, Aqcoe4G056300.1.p, Aqcoe4G056200.1.p, Aqcoe4G055900.1.p, Aqcoe4G056400.1.p, Aqcoe4G055800.1.p, Aqcoe0153s0004.1.p, Aqcoe4G055600.1.p, Aqcoe4G055300.1.p, Aqcoe1397s0001.1.p, Aqcoe4G055800.2.p, Aqcoe4G058900.1.p, Aqcoe0084s0001.1.p, Aqcoe4G055500.1.p, Aqcoe4G055700.1.p, Aqcoe0153s0003.1.p, Aqcoe4G056000.1.p, Aqcoe4G102600.1.p, Aqcoe4G102500.1.p, Aqcoe5G181500.1.p, Aqcoe4G053600.1.p, Aqcoe4G054200.1.p, Aqcoe6G125100.1.p
OG0000697	Bevul.1G068300.1.p	Aqcoe5G255700.4.p, Aqcoe5G255700.3.p, Aqcoe5G255700.2.p, Aqcoe5G255700.1.p, Aqcoe6G046700.1.p
OG0000698	Bevul.6G234100.1.p, Bevul.8G094800.1.p	Aqcoe4G245300.1.p, Aqcoe4G245300.2.p, Aqcoe4G002100.1.p
OG0000699	Bevul.1G187700.1.p, Bevul.5G020900.1.p	Aqcoe5G447100.2.p, Aqcoe5G447100.1.p, Aqcoe5G447100.3.p, Aqcoe7G016600.1.p
OG0000700	Bevul.7G164500.1.p, Bevul.8G148000.1.p	Aqcoe7G105400.1.p, Aqcoe7G439600.2.p, Aqcoe7G439600.1.p
OG0000701	Bevul.2G249800.1.p, Bevul.1G161400.1.p, Bevul.5G056600.1.p	Aqcoe7G076500.2.p, Aqcoe7G076500.1.p, Aqcoe1G150000.1.p
OG0000702	Bevul.8G106800.1.p	Aqcoe7G443300.1.p
OG0000703	Bevul.1G177800.1.p	Aqcoe7G031800.4.p, Aqcoe7G031800.3.p, Aqcoe7G031800.1.p, Aqcoe7G031800.2.p, Aqcoe7G031800.5.p
OG0000704	Bevul.8G207300.1.p	Aqcoe7G293700.1.p, Aqcoe7G293700.3.p, Aqcoe7G293700.2.p
OG0000704	Bevul.5G075800.1.p	Aqcoe3G243300.1.p
OG0000705	Bevul.8G159000.1.p, Bevul.2G002900.3.p, Bevul.2G002900.1.p, Bevul.2G002900.4.p, Bevul.2G002900.2.p	Aqcoe7G335000.1.p
OG0000705	Bevul.9G060800.1.p, Bevul.9G020300.1.p, Bevul.7G077500.1.p	Aqcoe3G114800.1.p
OG0000706	Bevul.5G031600.1.p, Bevul.1G165600.1.p	Aqcoe7G038100.1.p
OG0000707	Bevul.9G186900.1.p, Bevul.2G173900.3.p, Bevul.2G173900.1.p, Bevul.2G173900.2.p, Bevul.2G173900.4.p, Bevul.8G164800.1.p	Aqcoe7G374500.1.p
OG0000710	Bevul.5G061500.1.p, Bevul.5G061400.1.p, Bevul.3G031200.1.p	Aqcoe5G461900.5.p, Aqcoe5G461900.2.p, Aqcoe5G461900.3.p, Aqcoe5G461900.4.p, Aqcoe5G461900.1.p, Aqcoe1G434700.1.p
OG0000711	Bevul.5G194200.1.p	Aqcoe3G086900.1.p, Aqcoe3G330500.1.p
OG0000712	Bevul.6G190900.1.p, Bevul.9G079200.1.p, Bevul.4G068700.1.p	Aqcoe3G293300.1.p
OG0000713	Bevul.6G241500.1.p	Aqcoe3G326800.1.p
OG0000714	Bevul.6G228800.1.p, Bevul.2G065700.2.p, Bevul.2G065700.1.p	Aqcoe3G352900.1.p, Aqcoe3G352900.2.p
OG0000715	Bevul.5G179400.1.p	Aqcoe3G364100.2.p, Aqcoe3G364100.1.p, Aqcoe3G364100.3.p
OG0000722	Bevul.9G042100.1.p	Aqcoe2G252300.1.p, Aqcoe2G208900.1.p, Aqcoe2G209000.1.p, Aqcoe1G130000.1.p
OG0000722	Bevul.4G210600.1.p, Bevul.4G210700.1.p, Bevul.9G190600.1.p, Bevul.9G190700.1.p, Bevul.9G190700.2.p	Aqcoe1G130400.1.p
OG0000723	Bevul.5G027600.1.p	Aqcoe7G025400.1.p, Aqcoe6G162200.1.p, Aqcoe7G025400.2.p
OG0000723	Bevul.1G181400.1.p	Aqcoe5G436100.1.p
OG0000723	Bevul.7G220600.1.p	Aqcoe2G168900.1.p
OG0000724	Bevul.5G240400.1.p, Bevul.4G137400.1.p	Aqcoe2G360500.1.p, Aqcoe5G040600.1.p
OG0000725	Bevul.9G135100.1.p	Aqcoe6G217500.1.p
OG0000725	Bevul.7G107400.1.p, Bevul.7G107400.2.p	Aqcoe2G280500.3.p, Aqcoe2G280500.1.p, Aqcoe2G280500.2.p
OG0000726	Bevul.5G024100.1.p, Bevul.3G047200.1.p, Bevul.1G184200.1.p	Aqcoe5G439200.1.p, Aqcoe2G147200.1.p, Aqcoe5G439000.2.p, Aqcoe5G439000.1.p
OG0000728	Bevul.9G080000.1.p	Aqcoe2G354000.1.p, Aqcoe2G354000.2.p
OG0000728	Bevul.4G136200.1.p, Bevul.8G129600.1.p, Bevul.8G129300.1.p, Bevul.8G129200.1.p, Bevul.5G239000.1.p	Aqcoe5G046300.1.p
OG0000729	Bevul.1G041900.1.p	Aqcoe6G175400.1.p
OG0000729	Bevul.9G120600.1.p, Bevul.9G120600.2.p, Bevul.6G036200.1.p	Aqcoe5G121300.1.p, Aqcoe5G121300.2.p
OG0000730	Bevul.9G121300.1.p, Bevul.9G121300.3.p, Bevul.9G121300.2.p	Aqcoe5G122000.1.p, Aqcoe5G122000.2.p, Aqcoe6G181700.2.p, Aqcoe6G181700.4.p, Aqcoe6G181700.1.p, Aqcoe6G181700.5.p, Aqcoe6G181700.3.p, Aqcoe6G181800.1.p
OG0000731	Bevul.8G054700.1.p	Aqcoe1G236600.1.p
OG0000731	Bevul.1G030400.1.p	Aqcoe6G235900.1.p, Aqcoe6G235900.2.p
OG0000733	Bevul.4G172300.1.p	Aqcoe4G309700.1.p
OG0000734	Bevul.5G159000.1.p	Aqcoe4G214300.1.p, Aqcoe4G125000.1.p
OG0000735	Bevul.7G191500.1.p	Aqcoe1G424000.1.p
OG0000735	Bevul.8G028800.1.p	Aqcoe4G134500.1.p
OG0000736	Bevul.8G194500.1.p, Bevul.8G194300.1.p, Bevul.8G194400.1.p, Bevul.8G194100.1.p, Bevul.2G164400.1.p, Bevul.2G164400.2.p	Aqcoe7G404400.1.p, Aqcoe7G404400.3.p, Aqcoe7G404400.2.p
OG0000737	Bevul.2G154200.2.p, Bevul.2G154200.1.p, Bevul.2G154300.1.p	Aqcoe7G151600.1.p, Aqcoe7G151600.2.p, Aqcoe7G151700.1.p, Aqcoe7G421000.1.p
OG0000738	Bevul.5G059000.1.p, Bevul.1G194600.1.p	Aqcoe7G005100.1.p, Aqcoe7G005100.3.p, Aqcoe7G005100.2.p
OG0000739	Bevul.5G042100.1.p, Bevul.1G128400.1.p	Aqcoe1G345000.1.p, Aqcoe7G064200.1.p, Aqcoe7G064200.2.p
OG0000740	Bevul.3G011600.1.p	Aqcoe7G389400.1.p, Aqcoe7G389300.1.p, Aqcoe7G389200.1.p
OG0000741	Bevul.6G011800.1.p, Bevul.6G011700.1.p	Aqcoe5G104900.1.p
OG0000741	Bevul.2G133000.1.p, Bevul.6G040900.1.p	Aqcoe7G315100.1.p
OG0000742	Bevul.9G214200.6.p, Bevul.9G214200.4.p, Bevul.9G214200.2.p, Bevul.9G214200.3.p, Bevul.9G214200.5.p, Bevul.9G214200.1.p, Bevul.9G214200.7.p, Bevul.2G156700.1.p	Aqcoe7G157600.3.p, Aqcoe7G157600.4.p, Aqcoe7G157600.1.p, Aqcoe7G157600.2.p
OG0000743	Bevul.8G176900.1.p	Aqcoe7G267100.1.p
OG0000744	Bevul.7G203100.1.p, Bevul.9G159600.1.p, Bevul.9G159600.2.p	Aqcoe5G177500.4.p, Aqcoe5G177500.3.p, Aqcoe5G177500.1.p, Aqcoe5G177500.2.p, Aqcoe1G012200.1.p
OG0000745	Bevul.1G199800.1.p, Bevul.3G026700.1.p	Aqcoe1G081200.1.p
OG0000746	Bevul.7G034900.1.p	Aqcoe1G111100.3.p, Aqcoe1G111100.2.p, Aqcoe1G111100.4.p, Aqcoe1G111100.5.p, Aqcoe1G111100.1.p
OG0000747	Bevul.5G014200.1.p	Aqcoe5G450200.3.p, Aqcoe5G450200.2.p, Aqcoe5G450200.1.p, Aqcoe5G450100.1.p
OG0000748	Bevul.J001000.1.p	Aqcoe3G182300.1.p
OG0000749	Bevul.6G132000.1.p	Aqcoe3G402000.1.p
OG0000749	Bevul.5G146300.1.p, Bevul.4G151200.1.p	Aqcoe3G029700.2.p, Aqcoe3G029700.1.p
OG0000753	Bevul.5G053700.1.p	Aqcoe1G411000.1.p, Aqcoe2G028400.1.p
OG0000753	Bevul.8G014900.1.p	Aqcoe1G283000.1.p
OG0000754	Bevul.1G010700.1.p	Aqcoe6G259700.1.p
OG0000754	Bevul.3G004200.1.p, Bevul.3G004300.1.p	Aqcoe5G019400.1.p
OG0000755	Bevul.5G036000.1.p, Bevul.5G238700.1.p, Bevul.8G010700.1.p, Bevul.4G129200.1.p, Bevul.9G165500.1.p	Aqcoe6G290600.1.p, Aqcoe4G260600.1.p
OG0000755	Bevul.9G005800.1.p, Bevul.3G161500.1.p	Aqcoe1G442600.1.p, Aqcoe1G088900.1.p, Aqcoe2G238100.1.p, Aqcoe3G439100.1.p, Aqcoe3G188200.1.p, Aqcoe3G008700.1.p
OG0000756	Bevul.3G011300.1.p, Bevul.5G247800.1.p	Aqcoe5G027900.1.p
OG0000757	Bevul.7G216600.1.p, Bevul.7G216700.1.p, Bevul.7G216800.1.p	Aqcoe1G336000.1.p, Aqcoe7G129500.1.p, Aqcoe6G255600.1.p
OG0000757	Bevul.2G250000.1.p	Aqcoe2G082900.1.p, Aqcoe1G149600.1.p
OG0000758	Bevul.3G216000.1.p	Aqcoe2G348100.1.p, Aqcoe2G107500.1.p
OG0000758	Bevul.4G142000.1.p	Aqcoe2G347900.1.p
OG0000759	Bevul.6G239000.1.p	Aqcoe3G334600.1.p
OG0000759	Bevul.4G226600.1.p, Bevul.2G043400.1.p	Aqcoe2G038200.1.p
OG0000761	Bevul.3G057400.1.p	Aqcoe1G093500.1.p
OG0000761	Bevul.3G057600.1.p	Aqcoe2G272700.1.p
OG0000762	Bevul.3G127000.1.p, Bevul.5G037500.1.p	Aqcoe2G252500.2.p, Aqcoe2G252500.3.p, Aqcoe2G252500.1.p, Aqcoe5G293500.3.p, Aqcoe5G293500.2.p, Aqcoe5G293500.1.p
OG0000763	Bevul.4G243100.1.p, Bevul.3G183200.1.p	Aqcoe1G003700.2.p, Aqcoe1G003700.1.p, Aqcoe2G008600.1.p, Aqcoe2G008600.2.p
OG0000764	Bevul.5G237000.1.p, Bevul.3G144600.1.p	Aqcoe2G352200.2.p, Aqcoe2G352200.1.p
OG0000765	Bevul.8G147900.1.p	Aqcoe5G025100.1.p
OG0000765	Bevul.1G077200.1.p	Aqcoe5G244000.1.p
OG0000766	Bevul.1G060500.1.p	Aqcoe6G234700.1.p, Aqcoe4G233600.1.p, Aqcoe7G310900.1.p, Aqcoe7G311100.1.p
OG0000766	Bevul.2G202600.1.p	Aqcoe5G408900.1.p, Aqcoe3G011800.1.p
OG0000766	Bevul.1G170300.1.p	Aqcoe3G408500.1.p
OG0000767	Bevul.6G071400.1.p, Bevul.1G097500.1.p	Aqcoe6G063400.1.p
OG0000768	Bevul.1G169600.1.p	Aqcoe6G090000.1.p, Aqcoe5G165700.1.p
OG0000768	Bevul.7G154500.1.p	Aqcoe7G263600.2.p, Aqcoe7G263600.1.p
OG0000769	Bevul.1G001800.1.p	Aqcoe6G134200.1.p, Aqcoe5G145800.1.p
OG0000769	Bevul.1G067000.1.p	Aqcoe6G047400.1.p, Aqcoe5G256700.1.p
OG0000770	Bevul.6G064900.1.p	Aqcoe5G159300.3.p, Aqcoe5G159300.1.p, Aqcoe5G159300.2.p, Aqcoe6G150300.1.p
OG0000771	Bevul.9G168200.1.p	Aqcoe6G124800.1.p
OG0000771	Bevul.1G154800.1.p	Aqcoe5G289800.1.p
OG0000772	Bevul.5G186600.1.p, Bevul.6G233500.1.p	Aqcoe6G242600.7.p, Aqcoe6G242600.4.p, Aqcoe6G242600.1.p, Aqcoe6G242600.8.p, Aqcoe6G242600.9.p, Aqcoe6G242600.2.p, Aqcoe6G242600.6.p, Aqcoe6G242600.3.p, Aqcoe6G242600.5.p
OG0000773	Bevul.8G041200.1.p, Bevul.8G041100.1.p, Bevul.3G126800.1.p	Aqcoe4G277300.1.p, Aqcoe4G277100.1.p
OG0000775	Bevul.8G051900.1.p, Bevul.8G051600.1.p, Bevul.8G051700.1.p	Aqcoe4G204000.1.p
OG0000776	Bevul.8G000500.1.p	Aqcoe4G163700.1.p, Aqcoe4G163700.2.p
OG0000776	Bevul.9G068300.1.p, Bevul.9G068300.2.p, Bevul.9G068300.4.p, Bevul.9G068300.3.p	Aqcoe1G324800.2.p, Aqcoe1G324800.1.p, Aqcoe1G324800.4.p, Aqcoe1G324800.3.p
OG0000777	Bevul.6G173000.1.p, Bevul.9G185300.1.p, Bevul.6G173100.1.p	Aqcoe7G140500.1.p, Aqcoe7G140500.2.p, Aqcoe5G391100.1.p
OG0000778	Bevul.8G128400.1.p, Bevul.8G128600.1.p	Aqcoe7G428300.1.p
OG0000778	Bevul.5G173400.1.p	Aqcoe7G357400.1.p
OG0000779	Bevul.9G203900.1.p	Aqcoe7G181700.1.p
OG0000779	Bevul.4G005000.1.p	Aqcoe1G373100.1.p
OG0000780	Bevul.8G125700.1.p	Aqcoe7G131600.1.p
OG0000780	Bevul.3G083700.1.p	Aqcoe7G060700.3.p, Aqcoe7G060700.2.p, Aqcoe7G060700.1.p
OG0000781	Bevul.3G043900.1.p, Bevul.1G187300.1.p	Aqcoe7G017200.1.p, Aqcoe7G017200.2.p
OG0000782	Bevul.6G206500.1.p	Aqcoe7G241600.2.p, Aqcoe7G241600.3.p, Aqcoe7G241600.1.p, Aqcoe7G241600.4.p, Aqcoe7G241600.5.p, Aqcoe7G241600.6.p
OG0000783	Bevul.7G163700.1.p	Aqcoe1G016600.1.p
OG0000783	Bevul.9G025200.1.p, Bevul.9G025100.1.p, Bevul.4G140000.1.p, Bevul.4G140100.1.p	Aqcoe1G016400.1.p
OG0000784	Bevul.8G066800.1.p, Bevul.8G066700.1.p	Aqcoe1G372000.2.p, Aqcoe1G372000.1.p, Aqcoe1G371400.1.p, Aqcoe1G370100.1.p, Aqcoe1G313700.1.p, Aqcoe1G371800.1.p
OG0000785	Bevul.3G202700.1.p, Bevul.2G225900.3.p, Bevul.2G225900.4.p, Bevul.2G225900.1.p, Bevul.2G225900.2.p	Aqcoe1G096900.3.p, Aqcoe1G096900.1.p, Aqcoe1G096900.2.p
OG0000786	Bevul.4G229100.1.p, Bevul.3G170500.1.p, Bevul.3G174600.1.p, Bevul.3G123300.1.p, Bevul.6G213800.1.p	Aqcoe5G373400.5.p, Aqcoe5G373300.1.p, Aqcoe5G373200.1.p, Aqcoe5G373500.1.p, Aqcoe3G187800.1.p
OG0000787	Bevul.3G044600.1.p, Bevul.5G021800.1.p	Aqcoe5G443900.2.p, Aqcoe5G443900.1.p
OG0000788	Bevul.2G081100.1.p	Aqcoe5G365400.1.p
OG0000789	Bevul.2G060300.3.p, Bevul.2G060300.1.p, Bevul.2G060300.2.p, Bevul.6G236500.1.p	Aqcoe3G337800.2.p, Aqcoe3G337800.1.p
OG0000797	Bevul.4G144200.1.p	Aqcoe2G402100.1.p, Aqcoe2G402100.2.p, Aqcoe2G402000.1.p, Aqcoe2G402000.2.p
OG0000798	Bevul.5G038800.1.p, Bevul.8G112900.1.p, Bevul.7G229400.1.p	Aqcoe2G134700.1.p, Aqcoe2G135400.1.p, Aqcoe2G136000.1.p
OG0000799	Bevul.7G076000.2.p, Bevul.7G076000.7.p, Bevul.7G076000.3.p, Bevul.7G076000.8.p, Bevul.7G076000.6.p, Bevul.7G076000.5.p, Bevul.7G076000.1.p, Bevul.7G076000.4.p, Bevul.3G051900.1.p, Bevul.3G133500.1.p, Bevul.3G133400.1.p	Aqcoe2G331400.1.p, Aqcoe5G062100.3.p, Aqcoe5G062100.2.p, Aqcoe5G062100.1.p
OG0000800	Bevul.4G217100.1.p	Aqcoe2G003200.3.p, Aqcoe2G003200.4.p, Aqcoe2G003200.1.p, Aqcoe2G003200.2.p
OG0000801	Bevul.4G099900.1.p, Bevul.7G082900.1.p	Aqcoe7G228200.1.p
OG0000803	Bevul.4G137500.1.p, Bevul.5G240300.1.p	Aqcoe2G360200.1.p, Aqcoe5G040500.1.p
OG0000804	Bevul.3G186200.1.p, Bevul.7G073100.2.p, Bevul.7G073100.1.p	Aqcoe6G276000.1.p, Aqcoe6G276000.2.p, Aqcoe2G123400.1.p, Aqcoe2G123400.2.p
OG0000805	Bevul.2G051100.1.p, Bevul.3G199400.1.p	Aqcoe2G027400.1.p
OG0000806	Bevul.4G149200.1.p, Bevul.7G078700.5.p, Bevul.7G078700.8.p, Bevul.7G078700.7.p, Bevul.7G078700.17.p, Bevul.7G078700.4.p, Bevul.7G078700.3.p, Bevul.7G078700.6.p, Bevul.7G078700.10.p, Bevul.7G078700.9.p, Bevul.7G078700.19.p, Bevul.7G078700.21.p, Bevul.7G078700.2.p, Bevul.7G078700.18.p, Bevul.7G078700.1.p, Bevul.7G078700.11.p, Bevul.7G078700.12.p, Bevul.7G078700.16.p, Bevul.7G078700.20.p, Bevul.7G078700.14.p, Bevul.7G078700.13.p, Bevul.7G078700.15.p	Aqcoe5G067500.1.p, Aqcoe2G321100.1.p, Aqcoe2G321100.2.p
OG0000807	Bevul.5G260100.1.p	Aqcoe2G258900.3.p, Aqcoe2G258900.2.p, Aqcoe2G258900.1.p
OG0000807	Bevul.5G213800.1.p	Aqcoe3G124400.1.p
OG0000808	Bevul.5G208200.1.p	Aqcoe7G370300.1.p, Aqcoe6G085100.1.p
OG0000809	Bevul.6G063700.1.p, Bevul.6G063300.1.p	Aqcoe6G217700.1.p
OG0000809	Bevul.9G135300.1.p, Bevul.2G123900.1.p	Aqcoe4G236100.1.p, Aqcoe1G463700.1.p, Aqcoe1G012000.1.p, Aqcoe7G426600.1.p, Aqcoe3G361200.1.p, Aqcoe6G308700.1.p, Aqcoe5G086500.1.p, Aqcoe7G327900.1.p, Aqcoe5G065700.1.p, Aqcoe5G070800.1.p, Aqcoe5G070700.1.p, Aqcoe5G065600.1.p, Aqcoe5G065500.1.p, Aqcoe4G107000.1.p, Aqcoe4G127500.1.p, Aqcoe4G108700.1.p, Aqcoe4G109000.1.p
OG0000810	Bevul.7G232500.1.p	Aqcoe5G448000.3.p, Aqcoe5G448000.2.p, Aqcoe5G448000.4.p, Aqcoe5G448000.1.p, Aqcoe5G448000.5.p
OG0000810	Bevul.6G026000.1.p	Aqcoe6G130300.9.p, Aqcoe6G130300.10.p, Aqcoe6G130300.7.p, Aqcoe6G130300.8.p, Aqcoe6G130300.6.p, Aqcoe6G130300.2.p, Aqcoe6G130300.5.p, Aqcoe6G130300.4.p, Aqcoe6G130300.3.p, Aqcoe6G130300.1.p
OG0000811	Bevul.1G108500.1.p, Bevul.1G108400.1.p, Bevul.6G098400.1.p, Bevul.4G151500.1.p	Aqcoe5G219200.1.p, Aqcoe5G219200.2.p, Aqcoe6G074600.1.p
OG0000812	Bevul.9G161800.2.p, Bevul.9G161800.1.p, Bevul.6G027600.1.p	Aqcoe6G255000.1.p, Aqcoe5G180100.1.p
OG0000813	Bevul.6G099900.1.p, Bevul.1G109400.1.p	Aqcoe6G156200.1.p, Aqcoe5G162800.1.p
OG0000814	Bevul.1G195100.1.p	Aqcoe6G171200.1.p
OG0000814	Bevul.5G221500.1.p	Aqcoe5G397200.3.p, Aqcoe5G397200.2.p, Aqcoe5G397200.1.p
OG0000815	Bevul.6G017700.1.p, Bevul.9G220300.1.p	Aqcoe6G316700.1.p, Aqcoe6G316700.2.p, Aqcoe3G134900.1.p
OG0000816	Bevul.7G186100.1.p	Aqcoe5G473400.1.p, Aqcoe5G473400.2.p, Aqcoe4G096400.1.p, Aqcoe4G099200.1.p, Aqcoe6G199300.1.p, Aqcoe4G111700.1.p
OG0000817	Bevul.5G122500.1.p	Aqcoe6G120400.1.p, Aqcoe6G120400.2.p, Aqcoe6G120400.3.p
OG0000818	Bevul.8G039600.1.p	Aqcoe4G273000.1.p
OG0000819	Bevul.9G066400.3.p, Bevul.9G066400.2.p, Bevul.9G066400.1.p, Bevul.4G046000.1.p	Aqcoe1G368200.1.p, Aqcoe4G250900.1.p
OG0000820	Bevul.6G155100.1.p, Bevul.4G182600.1.p	Aqcoe7G013600.1.p, Aqcoe7G013600.3.p, Aqcoe7G013600.2.p
OG0000821	Bevul.7G147900.1.p	Aqcoe7G248400.5.p, Aqcoe7G248400.4.p, Aqcoe7G248400.2.p, Aqcoe7G248400.3.p, Aqcoe7G248400.1.p, Aqcoe7G248400.8.p, Aqcoe7G248400.6.p, Aqcoe7G248400.7.p, Aqcoe7G250300.1.p
OG0000822	Bevul.3G055200.1.p, Bevul.4G083700.1.p, Bevul.4G083800.1.p	Aqcoe0724s0001.1.p
OG0000823	Bevul.7G173000.1.p	Aqcoe5G033300.1.p
OG0000823	Bevul.8G133000.1.p	Aqcoe7G121300.2.p, Aqcoe7G121300.1.p
OG0000824	Bevul.7G221200.1.p, Bevul.7G014700.1.p	Aqcoe1G392900.1.p
OG0000825	Bevul.8G025200.1.p	Aqcoe1G260000.5.p, Aqcoe1G260000.1.p, Aqcoe1G260000.6.p, Aqcoe1G260000.3.p, Aqcoe1G260000.2.p, Aqcoe1G260000.4.p
OG0000826	Bevul.5G065100.1.p	Aqcoe5G472800.1.p
OG0000826	Bevul.7G019700.1.p	Aqcoe1G437200.1.p
OG0000827	Bevul.5G231000.1.p	Aqcoe1G155900.1.p, Aqcoe1G155900.2.p
OG0000828	Bevul.1G213700.1.p	Aqcoe5G272300.2.p, Aqcoe5G272300.1.p
OG0000829	Bevul.5G189900.1.p, Bevul.5G189600.1.p, Bevul.3G163200.1.p, Bevul.5G189400.1.p, Bevul.5G189500.1.p, Bevul.5G189200.1.p, Bevul.5G189300.1.p, Bevul.5G189000.1.p, Bevul.5G189700.1.p, Bevul.5G189800.1.p, Bevul.5G190600.1.p	Aqcoe3G337600.1.p
OG0000835	Bevul.9G225900.1.p, Bevul.9G225900.2.p	Aqcoe4G170700.1.p, Aqcoe1G323500.1.p
OG0000835	Bevul.3G213200.1.p, Bevul.3G213300.1.p	Aqcoe1G049900.1.p, Aqcoe1G049900.2.p, Aqcoe2G054400.2.p, Aqcoe2G054400.1.p, Aqcoe2G054400.3.p
OG0000836	Bevul.7G206400.1.p, Bevul.5G072800.1.p	Aqcoe4G020800.1.p, Aqcoe7G306800.1.p, Aqcoe2G074200.1.p, Aqcoe2G310800.1.p, Aqcoe3G385400.1.p, Aqcoe3G385800.1.p
OG0000837	Bevul.5G232300.1.p, Bevul.5G232200.1.p, Bevul.5G232100.1.p	Aqcoe2G346500.1.p, Aqcoe2G346300.1.p
OG0000837	Bevul.3G147900.1.p	Aqcoe5G054500.1.p, Aqcoe2G346200.1.p, Aqcoe2G346400.1.p
OG0000838	Bevul.8G018900.1.p	Aqcoe4G025300.1.p, Aqcoe2G179100.1.p, Aqcoe2G179100.2.p
OG0000839	Bevul.3G211500.1.p	Aqcoe1G047400.1.p, Aqcoe2G048500.1.p
OG0000839	Bevul.6G065200.1.p	Aqcoe6G151200.1.p
OG0000840	Bevul.5G148300.1.p	Aqcoe2G196200.1.p
OG0000840	Bevul.5G125100.1.p, Bevul.8G097600.1.p	Aqcoe2G200200.1.p, Aqcoe7G229000.1.p
OG0000841	Bevul.1G113600.1.p, Bevul.3G104700.1.p, Bevul.3G104500.1.p, Bevul.8G142400.1.p	Aqcoe6G193200.1.p
