Orthogroup	B_vulgaris.proteins	A_thaliana.proteins
OG0002062	Bevul.2G219500.1.p, Bevul.2G219400.1.p, Bevul.2G219300.1.p	AT5G15900.2, AT5G15900.1
OG0002063	Bevul.2G221900.1.p	AT3G02460.2, AT3G02460.1, AT3G02460.4, AT3G02460.5, AT3G02460.3, AT5G15930.1
OG0002064	Bevul.5G166800.1.p	AT1G18470.2, AT1G18470.1, AT1G73950.2, AT1G73950.1
OG0002065	Bevul.2G190600.1.p, Bevul.2G242500.1.p	AT1G31450.1, AT2G35615.1
OG0002066	Bevul.2G216400.3.p, Bevul.2G216400.5.p, Bevul.2G216400.4.p, Bevul.2G216400.2.p, Bevul.2G216400.1.p	AT5G38690.2, AT5G38690.1, AT1G67270.1, AT1G67780.1, AT1G67780.2
OG0002067	Bevul.5G084300.1.p	AT1G32380.2, AT1G32380.1, AT2G35390.4, AT2G35390.1, AT2G35390.2
OG0002067	Bevul.1G149500.1.p	AT2G44530.1, AT2G44530.2
OG0002068	Bevul.4G095200.1.p	AT5G40270.1, AT5G40270.2, AT5G40290.1
OG0002069	Bevul.8G036400.1.p	AT4G35450.3, AT4G35450.2, AT4G35450.5, AT4G35450.1, AT4G35450.4, AT2G17390.1
OG0002070	Bevul.2G055700.4.p, Bevul.2G055700.3.p, Bevul.2G055700.2.p, Bevul.2G055700.1.p	AT3G01310.3, AT3G01310.2, AT3G01310.1, AT5G15070.4, AT5G15070.2, AT5G15070.1, AT5G15070.5, AT5G15070.3, AT5G15070.7, AT5G15070.6
OG0002071	Bevul.2G209200.2.p, Bevul.2G209200.1.p	AT1G15040.2, AT1G15040.1
OG0002073	Bevul.7G175200.1.p	AT3G17150.1, AT3G17140.1, AT1G47960.2, AT1G47960.1
OG0002086	Bevul.5G231700.1.p, Bevul.9G076700.1.p	AT3G04920.2, AT3G04920.1, AT5G28060.1
OG0002087	Bevul.4G247800.1.p, Bevul.4G248100.1.p	AT3G13560.1, AT3G13560.2, AT3G13560.3, AT3G13560.5, AT3G13560.4
OG0002088	Bevul.6G156300.1.p, Bevul.3G186400.1.p	AT1G18540.1, AT1G74060.1, AT1G74050.1
OG0002089	Bevul.1G154100.1.p	AT1G17880.1, AT1G73230.1
OG0002090	Bevul.4G165600.1.p	AT5G26810.1
OG0002090	Bevul.4G165700.1.p	AT5G18990.1, AT3G24130.1
OG0002091	Bevul.5G248100.1.p, Bevul.3G009400.1.p	AT4G14385.3, AT4G14385.8, AT4G14385.4, AT4G14385.7, AT4G14385.6, AT4G14385.5, AT4G14385.9, AT4G14385.1, AT4G14385.2
OG0002092	Bevul.5G236600.1.p	AT4G02700.1, AT3G51895.1, AT3G51895.2
OG0002093	Bevul.8G085700.1.p	AT1G71820.1, AT1G71820.2
OG0002094	Bevul.5G001700.1.p	AT5G47490.1, AT5G47490.2, AT5G47490.3, AT5G47480.2, AT5G47480.1
OG0002095	Bevul.7G049300.1.p, Bevul.7G049300.2.p	AT1G60650.1, AT1G60650.2, AT1G60650.4, AT1G60650.3, AT5G04280.5, AT5G04280.4, AT5G04280.2, AT5G04280.3, AT5G04280.1
OG0002096	Bevul.3G148500.1.p, Bevul.8G162600.1.p	AT5G18860.1, AT5G18860.2, AT5G18890.1
OG0002097	Bevul.5G122600.1.p, Bevul.2G092400.1.p	AT1G58030.1, AT5G36940.1
OG0002097	Bevul.5G122100.1.p, Bevul.5G122000.1.p	AT3G03720.1
OG0002098	Bevul.7G188300.1.p	AT1G07180.1, AT2G29990.1
OG0002100	Bevul.7G090200.2.p, Bevul.7G090200.3.p, Bevul.7G090200.1.p	AT1G03010.3, AT1G03010.2, AT1G03010.1
OG0002101	Bevul.5G108400.1.p	AT2G07050.1, AT2G07050.2
OG0002102	Bevul.1G055600.1.p	AT3G17430.1, AT3G17430.2, AT1G48230.2, AT1G48230.1
OG0002103	Bevul.4G147400.1.p, Bevul.4G147500.1.p	AT3G06350.1
OG0002104	Bevul.5G230000.1.p, Bevul.8G207100.1.p	AT3G25520.1, AT3G25520.3, AT5G39740.1, AT5G39740.2
OG0002105	Bevul.5G220400.1.p	AT5G03415.1, AT5G03415.2
OG0002106	Bevul.9G041000.4.p, Bevul.9G041000.5.p, Bevul.9G041000.6.p, Bevul.9G041000.7.p, Bevul.9G041000.3.p, Bevul.9G041000.1.p, Bevul.9G041000.2.p	AT2G28150.2, AT2G28150.3, AT2G28150.1
OG0002108	Bevul.4G176200.1.p, Bevul.8G102100.1.p	AT3G62060.1, AT2G46930.1
OG0002109	Bevul.7G018300.1.p	AT3G11600.1, AT5G06270.2, AT5G06270.1
OG0002110	Bevul.3G228900.1.p	AT3G23670.2, AT3G23670.1, AT4G14150.1
OG0002111	Bevul.6G152300.1.p	AT1G11000.3, AT1G11000.1, AT1G11000.2
OG0002112	Bevul.7G056700.1.p, Bevul.7G056700.2.p, Bevul.7G056700.3.p, Bevul.9G161500.1.p, Bevul.1G163800.1.p	AT1G75560.1, AT1G75560.2
OG0002113	Bevul.6G056600.1.p	AT5G09880.1
OG0002113	Bevul.9G133500.1.p	AT2G16940.5, AT2G16940.4, AT2G16940.2, AT2G16940.3, AT2G16940.1
OG0002114	Bevul.1G027400.1.p	AT1G20160.2, AT1G20160.1, AT1G20160.3, AT1G20150.1
OG0002116	Bevul.9G151700.1.p	AT4G18180.1
OG0002116	Bevul.7G102600.1.p	AT1G02790.1
OG0002118	Bevul.6G071500.1.p	AT4G39780.1, AT2G22200.1
OG0002118	Bevul.1G097200.1.p	AT1G78080.1, AT1G22190.1
OG0002121	Bevul.1G098500.1.p	AT1G78130.1
OG0002121	Bevul.6G070200.1.p, Bevul.6G070100.1.p	AT5G10190.3, AT5G10190.1
OG0002122	Bevul.1G084600.1.p	AT1G21400.5, AT1G21400.6, AT1G21400.1, AT1G21400.3, AT1G21400.2, AT1G21400.4
OG0002123	Bevul.6G066800.1.p, Bevul.1G104800.1.p	AT4G08980.5, AT4G08980.4, AT4G08980.1, AT4G08980.3, AT4G08980.2
OG0002124	Bevul.8G206100.1.p	AT4G29210.1, AT4G29210.2, AT4G39640.2, AT4G39640.1, AT4G39650.1, AT1G69820.1
OG0002125	Bevul.6G073000.1.p	AT2G22125.1
OG0002126	Bevul.1G110100.1.p, Bevul.6G099500.1.p	AT5G65410.1, AT4G24660.1, AT4G24660.2
OG0002127	Bevul.1G146500.1.p	AT3G60245.1
OG0002128	Bevul.6G223500.1.p	AT4G35840.2, AT4G35840.1, AT2G17730.1, AT2G17730.2
OG0002129	Bevul.2G125100.1.p	AT4G31160.1
OG0002130	Bevul.4G184300.1.p	AT5G08790.1
OG0002132	Bevul.3G020300.1.p, Bevul.5G105400.1.p	AT3G49010.2, AT3G49010.7, AT3G49010.4, AT3G49010.6, AT3G49010.3, AT3G49010.1, AT5G23900.1
OG0002133	Bevul.8G010000.1.p	AT4G21440.1, AT4G05100.1, AT4G28110.1, AT4G28110.2
OG0002135	Bevul.4G063000.1.p	AT3G15350.1, AT3G15350.2, AT4G27480.1, AT4G27480.3, AT4G27480.2
OG0002136	Bevul.8G028400.1.p	AT4G17020.1, AT4G17020.2, AT4G17020.3
OG0002137	Bevul.9G131900.1.p, Bevul.8G136300.1.p	AT2G31670.1, AT1G51360.1
OG0002138	Bevul.5G068200.1.p	AT4G17380.2, AT4G17380.1
OG0002139	Bevul.1G095700.1.p	AT1G12790.1
OG0002140	Bevul.2G180100.1.p	AT1G80130.1, AT4G32340.1
OG0002140	Bevul.8G175500.1.p	AT5G20190.1
OG0002141	Bevul.2G174000.2.p, Bevul.2G174000.4.p, Bevul.2G174000.6.p, Bevul.2G174000.5.p, Bevul.2G174000.1.p, Bevul.2G174000.3.p	AT4G32060.1, AT4G32060.2
OG0002142	Bevul.4G106400.1.p, Bevul.9G114100.1.p	AT2G19830.1, AT2G19830.2
OG0002143	Bevul.2G171400.1.p	AT5G25170.2, AT5G25170.1
OG0002144	Bevul.3G042600.1.p	AT5G53160.2
OG0002144	Bevul.1G189400.1.p	AT1G01360.1
OG0002145	Bevul.6G025200.1.p, Bevul.8G086600.1.p	AT3G14600.1, AT1G29965.1, AT2G34480.1, AT2G34480.2
OG0002146	Bevul.8G196300.1.p	AT4G29000.1, AT2G20110.1, AT2G20110.2, AT2G20110.3
OG0002147	Bevul.6G118900.1.p	AT3G25640.1, AT3G25640.2
OG0002147	Bevul.5G168500.1.p	AT5G23100.1
OG0002148	Bevul.1G179200.1.p	AT4G00355.4, AT4G00355.3, AT4G00355.1, AT4G00355.2, AT2G45980.1
OG0002149	Bevul.1G197100.1.p	AT2G46690.1, AT3G61900.1
OG0002150	Bevul.2G134200.1.p	AT4G31470.1
OG0002150	Bevul.8G213600.1.p	AT5G57625.1, AT4G25790.1
OG0002151	Bevul.8G089400.1.p	AT1G30040.1, AT1G30040.2, AT2G34555.1, AT1G78440.1
OG0002152	Bevul.1G062800.1.p	AT1G36180.3, AT1G36180.2, AT1G36180.1, AT1G36160.1, AT1G36160.2
OG0002154	Bevul.5G011500.1.p, Bevul.5G011700.1.p	AT1G62810.1, AT3G43670.1
OG0002154	Bevul.5G011000.1.p, Bevul.5G010900.1.p	AT4G12290.1, AT4G12290.2
OG0002155	Bevul.1G178100.1.p	AT2G45910.1, AT2G45910.2
OG0002156	Bevul.2G179500.1.p	AT5G25390.1, AT5G25390.2, AT5G11190.1
OG0002157	Bevul.9G142000.1.p	AT5G13010.1
OG0002158	Bevul.8G126000.1.p, Bevul.8G126100.1.p	AT5G57150.3, AT5G57150.2, AT5G57150.4, AT5G57150.5, AT5G57150.1, AT4G29930.3, AT4G29930.7, AT4G29930.5, AT4G29930.4, AT4G29930.1, AT4G29930.2, AT4G29930.6
OG0002159	Bevul.3G178500.1.p	AT1G18370.1
OG0002159	Bevul.8G147700.1.p	AT3G43210.1, AT3G43210.5, AT3G43210.2, AT3G43210.3, AT3G43210.4
OG0002160	Bevul.8G026200.1.p	AT2G33770.1
OG0002161	Bevul.2G224000.1.p	AT2G39870.1, AT3G55690.1
OG0002162	Bevul.8G001100.1.p, Bevul.9G133800.1.p, Bevul.9G133800.2.p, Bevul.9G133600.1.p, Bevul.9G133600.2.p	AT5G05320.1, AT4G38540.1
OG0002164	Bevul.2G205700.2.p, Bevul.2G205700.1.p, Bevul.2G205600.2.p, Bevul.2G205600.1.p	AT5G37930.1
OG0002165	Bevul.2G186700.1.p, Bevul.2G186500.2.p, Bevul.2G186500.1.p	AT2G40420.1, AT3G56200.1
OG0002166	Bevul.3G190800.1.p	AT3G57650.1
OG0002166	Bevul.4G237400.1.p, Bevul.4G238400.1.p	AT1G51260.1
OG0002167	Bevul.7G012500.2.p, Bevul.7G012500.1.p	AT1G79430.1, AT1G79430.2
OG0002168	Bevul.5G113500.1.p, Bevul.7G182600.1.p	AT2G35860.1, AT3G52370.1, AT3G52370.2, AT3G11700.1, AT5G06390.1
OG0002170	Bevul.3G068800.1.p, Bevul.3G068900.1.p	AT3G54040.2, AT3G54040.1, AT5G52390.1
OG0002171	Bevul.7G209900.1.p	AT5G59290.4, AT5G59290.3, AT5G59290.2, AT5G59290.1, AT3G46440.1, AT3G46440.2, AT2G28760.2, AT2G28760.1, AT2G28760.3, AT2G28760.4
OG0002172	Bevul.8G071800.1.p	AT4G21215.2, AT4G21215.1
OG0002174	Bevul.9G078000.5.p, Bevul.9G078000.3.p, Bevul.9G078000.4.p, Bevul.9G078000.2.p, Bevul.9G078000.1.p, Bevul.9G078000.6.p	AT4G00830.2, AT4G00830.6, AT4G00830.1, AT4G00830.4, AT4G00830.5, AT4G00830.3
OG0002175	Bevul.6G004700.1.p	AT5G67170.3, AT5G67170.1, AT5G67170.2
OG0002176	Bevul.5G081100.1.p, Bevul.8G127600.1.p, Bevul.5G081000.1.p, Bevul.8G053000.1.p	AT3G03180.1, AT3G03180.2, AT3G03180.3, AT5G01430.2, AT3G49420.3, AT3G49420.2, AT3G49420.1, AT5G01430.1
OG0002177	Bevul.7G036200.1.p, Bevul.7G036200.2.p	AT5G13410.1, AT5G13410.3, AT5G13410.2
OG0002178	Bevul.6G205800.1.p	AT1G27320.1
OG0002179	Bevul.3G120400.1.p	AT2G44100.1, AT2G44100.2, AT3G59920.1
OG0002179	Bevul.9G211800.2.p, Bevul.9G211800.1.p	AT5G09550.1
OG0002180	Bevul.1G166000.1.p	AT1G01770.1
OG0002181	Bevul.3G055300.1.p, Bevul.4G012300.1.p	AT3G48480.1
OG0002183	Bevul.8G015700.1.p	AT4G18490.4, AT4G18490.5, AT4G18490.3, AT4G18490.6, AT4G18490.7, AT4G18490.1, AT4G18490.2
OG0002184	Bevul.1G043500.1.p	AT1G20750.1, AT1G20720.1, AT1G20720.2
OG0002185	Bevul.1G001000.1.p	AT4G36970.1, AT1G45207.3, AT1G45207.2
OG0002186	Bevul.2G021500.1.p, Bevul.6G140300.1.p	AT1G22990.2, AT1G22990.1, AT1G71050.1
OG0002186	Bevul.2G205000.1.p	AT5G17450.2, AT5G17450.1
OG0002187	Bevul.3G032200.1.p	AT4G27740.1
OG0002187	Bevul.3G032500.1.p, Bevul.3G032300.1.p	AT4G27745.2, AT4G27745.3, AT4G27745.1, AT4G27745.4
OG0002188	Bevul.1G082300.1.p	AT1G43850.2, AT1G43850.1
OG0002189	Bevul.2G177900.3.p, Bevul.2G177900.1.p, Bevul.2G177900.2.p	AT4G32250.3, AT4G32250.2, AT4G32250.1
OG0002190	Bevul.2G201200.1.p	AT3G02210.1, AT3G29810.1
OG0002190	Bevul.5G173800.1.p	AT5G60920.2, AT5G60920.1
OG0002191	Bevul.6G142500.1.p	AT2G18070.1, AT1G70770.2, AT1G70770.1, AT1G23170.1, AT1G23170.2
OG0002192	Bevul.9G000700.1.p	AT5G23430.2, AT5G23430.3, AT5G23430.1, AT5G08390.1
OG0002193	Bevul.5G199100.1.p	AT1G74790.1
OG0002195	Bevul.4G095700.1.p	AT5G40300.1
OG0002195	Bevul.5G212000.1.p	AT5G62820.1
OG0002196	Bevul.5G209600.1.p	AT3G48000.1
OG0002197	Bevul.6G230600.1.p, Bevul.2G064700.1.p, Bevul.3G198100.1.p	AT1G26690.1, AT1G69460.1, AT2G03040.1, AT2G03290.1
OG0002199	Bevul.6G140800.1.p	AT1G71015.1, AT1G71015.2, AT2G01340.1
OG0002200	Bevul.9G226300.2.p, Bevul.9G226300.4.p, Bevul.9G226300.5.p, Bevul.9G226300.7.p, Bevul.9G226300.10.p, Bevul.9G226300.3.p, Bevul.9G226300.9.p, Bevul.9G226300.1.p, Bevul.9G226300.6.p, Bevul.9G226300.11.p, Bevul.9G226300.8.p	AT1G15960.1, AT1G80830.2, AT1G80830.1
OG0002202	Bevul.9G082000.1.p, Bevul.8G092400.1.p	AT1G36095.1
OG0002211	Bevul.1G069300.1.p, Bevul.1G069500.1.p, Bevul.1G069600.1.p	AT1G71695.1
OG0002212	Bevul.5G049700.1.p	AT3G51860.2, AT3G51860.1, AT2G38170.2, AT2G38170.1, AT2G38170.3
OG0002213	Bevul.7G121100.1.p	AT5G48880.1, AT5G48880.3, AT5G48880.4, AT5G48880.2
OG0002213	Bevul.7G147600.1.p	AT1G04710.1, AT2G33150.1
OG0002214	Bevul.7G056900.1.p, Bevul.9G049800.1.p	AT2G37190.1, AT3G53430.1, AT5G60670.1
OG0002215	Bevul.5G120700.1.p	AT5G35910.1, AT1G54440.3, AT1G54440.5, AT1G54440.2, AT1G54440.1, AT1G54440.4
OG0002216	Bevul.7G049900.1.p	AT2G36870.1
OG0002216	Bevul.9G042700.1.p	AT3G44990.1
OG0002217	Bevul.2G191000.1.p, Bevul.2G191000.2.p	AT3G08020.1
OG0002218	Bevul.5G232800.1.p	AT3G22550.1, AT3G63210.1
OG0002219	Bevul.7G209200.1.p, Bevul.7G209400.1.p	AT3G46460.1, AT5G59300.1
OG0002220	Bevul.4G198400.1.p, Bevul.1G175000.1.p	AT2G37910.1
OG0002220	Bevul.6G143400.1.p	AT3G01610.1, AT3G01610.2
OG0002221	Bevul.1G161600.1.p	AT3G05030.1, AT3G05030.2, AT3G05030.4, AT3G05030.3, AT5G27150.1
OG0002222	Bevul.9G173100.2.p, Bevul.9G173100.3.p, Bevul.9G173100.1.p, Bevul.9G173100.4.p	AT1G11755.1
OG0002223	Bevul.1G014800.1.p, Bevul.1G014700.1.p	AT1G09950.1, AT1G58330.1
OG0002224	Bevul.7G014400.4.p, Bevul.7G014400.2.p, Bevul.7G014400.3.p, Bevul.7G014400.1.p, Bevul.7G014400.5.p	AT3G21390.2, AT3G21390.1, AT5G48970.1, AT5G48970.2
OG0002225	Bevul.2G191400.1.p	AT3G08030.1, AT3G08030.2
OG0002225	Bevul.3G194800.1.p, Bevul.3G194900.1.p, Bevul.3G195000.1.p	AT2G41810.1, AT2G41800.1
OG0002226	Bevul.6G057300.1.p	AT2G47510.1, AT2G47510.2, AT2G47510.3, AT5G50950.1, AT5G50950.4, AT5G50950.2, AT5G50950.3
OG0002229	Bevul.3G235900.1.p	AT1G04730.4, AT1G04730.2, AT1G04730.3, AT1G04730.1
OG0002230	Bevul.7G049100.2.p, Bevul.7G049100.3.p, Bevul.7G049100.1.p	AT5G04290.2, AT5G04290.1
OG0002231	Bevul.4G216600.1.p, Bevul.4G216700.1.p	AT3G13400.2, AT3G13400.1, AT1G55560.1, AT3G13390.1, AT1G55570.1
OG0002233	Bevul.7G063100.1.p, Bevul.7G063100.2.p	AT2G37050.2, AT2G37050.4, AT2G37050.1, AT2G37050.3
OG0002234	Bevul.4G237100.1.p, Bevul.4G029900.1.p, Bevul.6G079700.1.p	AT1G33390.1, AT1G33390.2
OG0002235	Bevul.2G018000.3.p, Bevul.2G018000.5.p, Bevul.2G018000.6.p, Bevul.2G018000.8.p, Bevul.2G018000.9.p, Bevul.2G018000.10.p, Bevul.2G018000.1.p, Bevul.2G018000.2.p, Bevul.2G018000.4.p, Bevul.2G018000.7.p, Bevul.2G018000.11.p	AT4G32560.1, AT4G32560.3, AT4G32560.2, AT4G32560.4
OG0002236	Bevul.3G130100.1.p	AT3G06500.2, AT3G06500.1
OG0002236	Bevul.4G169000.1.p	AT3G05820.1, AT3G05820.2, AT1G56560.1
OG0002237	Bevul.4G132200.1.p	AT2G44260.1, AT2G44260.2, AT2G44230.1
OG0002238	Bevul.2G152700.4.p, Bevul.2G152700.3.p, Bevul.2G152700.2.p, Bevul.2G152700.1.p	AT4G32820.3, AT4G32820.2, AT4G32820.1
OG0002239	Bevul.4G171900.1.p	AT4G10710.1, AT4G10710.2, AT4G10710.3
OG0002240	Bevul.7G049000.1.p, Bevul.7G049000.2.p, Bevul.7G049000.3.p	AT5G03470.1, AT3G09880.1
OG0002241	Bevul.3G001400.1.p	AT3G16857.2, AT3G16857.3, AT3G16857.1, AT4G16110.1
OG0002243	Bevul.2G226700.1.p	AT2G39770.2, AT2G39770.3, AT2G39770.1
OG0002244	Bevul.1G003100.1.p	AT4G24240.2, AT4G24240.1
OG0002244	Bevul.6G006100.1.p	AT2G23320.1
OG0002245	Bevul.1G044500.1.p	AT2G33700.1
OG0002246	Bevul.4G177000.1.p	AT5G64070.2, AT5G64070.1, AT5G09350.1
OG0002247	Bevul.1G025300.1.p	AT2G20990.1
OG0002249	Bevul.6G089500.1.p	AT2G23790.1, AT4G36820.1, AT5G66650.1
OG0002250	Bevul.8G001400.1.p	AT4G21600.1, AT4G21590.1, AT4G21590.2, AT4G21585.4, AT4G21585.1, AT4G21585.3, AT4G21585.5, AT4G21585.2, AT4G21585.6
OG0002251	Bevul.6G200100.1.p	AT4G39540.2, AT4G39540.1, AT4G39540.3, AT2G21940.6, AT2G21940.7, AT2G21940.3, AT2G21940.5, AT2G21940.2, AT2G21940.1, AT2G21940.4
OG0002253	Bevul.1G064400.1.p, Bevul.1G064300.1.p, Bevul.1G044900.1.p	AT1G09640.1, AT1G57720.1, AT1G57720.2
OG0002254	Bevul.1G119600.1.p	AT1G09720.1, AT1G58215.1
OG0002254	Bevul.6G059700.1.p	AT5G10500.1, AT2G22560.1
OG0002255	Bevul.1G084400.1.p	AT1G21410.2, AT1G21410.1, AT1G77000.3, AT1G77000.4, AT1G77000.2, AT1G77000.1
OG0002256	Bevul.1G039000.1.p	AT1G76280.2, AT1G76280.4, AT1G76280.1, AT1G76280.3, AT1G76280.5
OG0002257	Bevul.8G114300.1.p	AT4G33920.1, AT4G33920.3, AT4G33920.2
OG0002258	Bevul.1G042300.1.p	AT1G76370.1, AT1G20650.1
OG0002259	Bevul.6G015100.1.p	AT4G37680.1, AT4G38320.1, AT4G37680.2, AT4G37680.5, AT4G37680.4, AT4G37680.3
OG0002260	Bevul.1G096700.1.p	AT4G08690.1, AT4G08690.3, AT4G08690.2, AT1G22180.1, AT1G22180.3, AT1G22180.2, AT1G22180.4
OG0002261	Bevul.9G164000.1.p	AT4G39070.1
OG0002261	Bevul.1G163300.1.p	AT1G75540.1
OG0002262	Bevul.2G139000.1.p, Bevul.2G139000.2.p	AT5G26170.1
OG0002263	Bevul.9G136300.1.p, Bevul.9G136300.2.p	AT4G35030.6, AT4G35030.3, AT4G35030.1, AT4G35030.8, AT4G35030.4, AT4G35030.2, AT4G35030.7, AT4G35030.5, AT4G35030.9, AT2G16750.1, AT2G16750.2
OG0002265	Bevul.4G057700.1.p	AT5G53750.1, AT4G27460.1
OG0002266	Bevul.2G249700.1.p	AT5G20420.1, AT3G42670.1, AT3G42670.3, AT3G42670.2, AT3G42670.4
OG0002268	Bevul.4G019700.1.p	AT5G55230.1, AT5G55230.2, AT5G55230.3, AT4G26760.1
OG0002269	Bevul.9G091400.3.p, Bevul.9G091400.1.p, Bevul.9G091400.2.p, Bevul.8G005000.1.p	AT3G58630.2, AT3G58630.1
OG0002270	Bevul.7G040400.1.p	AT5G18590.1, AT5G18590.2
OG0002271	Bevul.8G005800.1.p, Bevul.4G076500.1.p	AT5G45840.1, AT5G45840.2, AT4G18640.1
OG0002272	Bevul.4G012600.1.p	AT1G50530.1
OG0002274	Bevul.6G036900.1.p	AT2G37925.1
OG0002276	Bevul.8G192300.1.p, Bevul.8G192400.1.p	AT4G13260.2, AT4G13260.1, AT4G13260.3
OG0002276	Bevul.2G165900.1.p	AT5G25620.1, AT5G25620.2
OG0002277	Bevul.2G015100.1.p, Bevul.2G015100.2.p	AT5G11460.1
OG0002278	Bevul.9G123600.1.p, Bevul.9G122100.1.p, Bevul.9G123700.1.p	AT4G10310.1
OG0002279	Bevul.5G182100.1.p, Bevul.2G053900.1.p, Bevul.7G082400.1.p, Bevul.5G128800.1.p, Bevul.6G133400.1.p, Bevul.5G107900.1.p, Bevul.8G085100.1.p, Bevul.7G083000.1.p	ATCG00900.1, ATCG01240.1
OG0002280	Bevul.6G076300.1.p	AT5G51300.2, AT5G51300.3, AT5G51300.1
OG0002281	Bevul.7G219100.1.p, Bevul.7G219000.1.p	AT1G07080.1
OG0002281	Bevul.5G054900.1.p	AT5G01580.1
OG0002282	Bevul.2G016900.1.p	AT5G25380.3, AT5G25380.1, AT5G25380.4, AT5G25380.2, AT5G11300.2, AT5G11300.1
OG0002283	Bevul.9G109900.3.p, Bevul.9G109900.1.p, Bevul.9G109900.2.p	AT5G12210.2, AT5G12210.1
OG0002284	Bevul.7G172500.1.p	AT1G67120.2, AT1G67120.1
OG0002285	Bevul.9G235200.2.p, Bevul.9G235200.1.p	AT1G17450.3, AT1G17450.1, AT1G17450.2
OG0002286	Bevul.8G157500.1.p	AT5G57800.1
OG0002287	Bevul.8G184300.1.p	AT5G55190.1
OG0002287	Bevul.2G021700.1.p	AT5G20010.1, AT5G20020.1
OG0002288	Bevul.2G175900.7.p, Bevul.2G175900.2.p, Bevul.2G175900.10.p, Bevul.2G175900.6.p, Bevul.2G175900.1.p, Bevul.2G175900.5.p, Bevul.2G175900.4.p, Bevul.2G175900.8.p, Bevul.2G175900.9.p, Bevul.2G175900.3.p, Bevul.8G168500.1.p	AT5G34850.1
OG0002289	Bevul.3G041600.1.p	AT5G53120.1, AT5G53120.7, AT5G53120.2, AT5G53120.6, AT5G53120.4, AT5G53120.5, AT5G53120.3
OG0002290	Bevul.2G016800.1.p	AT5G25510.1
OG0002291	Bevul.3G039300.1.p	AT4G27900.1, AT4G27900.2, AT5G53420.4, AT5G53420.2, AT5G53420.5, AT5G53420.3, AT5G53420.1
OG0002292	Bevul.6G156000.1.p	AT5G49890.1
OG0002293	Bevul.2G004700.1.p	AT5G24920.1, AT2G24762.1, AT4G31730.1
OG0002293	Bevul.8G214400.1.p	AT5G57685.1, AT4G25760.1
OG0002294	Bevul.2G180000.1.p	AT5G25350.1, AT2G25490.1
OG0002295	Bevul.7G001600.1.p	AT3G08560.1
OG0002295	Bevul.5G022200.1.p	AT4G11150.1, AT1G64200.2, AT1G64200.3, AT1G64200.1
OG0002296	Bevul.8G183000.1.p	AT3G25910.1
OG0002297	Bevul.9G016800.2.p, Bevul.9G016800.1.p	AT3G10260.3, AT3G10260.2, AT3G10260.1
OG0002298	Bevul.4G084300.1.p	AT2G42880.2, AT2G42880.1, AT1G53510.1, AT3G14720.1, AT3G14720.3, AT3G14720.2
OG0002299	Bevul.4G056100.1.p	AT4G27430.2, AT4G27430.1
OG0002300	Bevul.7G016700.1.p, Bevul.4G106300.1.p	AT3G52490.1
OG0002302	Bevul.4G006900.1.p	AT5G55830.1
OG0002302	Bevul.7G060100.1.p	AT5G03140.1, AT3G53380.1
OG0002303	Bevul.1G170200.1.p	AT1G07840.2, AT1G07840.1, AT1G07840.3
OG0002305	Bevul.1G106700.1.p	AT1G55250.2, AT1G55250.4, AT1G55250.5, AT1G55250.1, AT1G55250.3
OG0002307	Bevul.4G240700.1.p, Bevul.5G082700.1.p	AT5G12960.1, AT5G12950.1
OG0002308	Bevul.4G052500.1.p	AT5G54310.1
OG0002309	Bevul.7G027600.1.p	AT4G17170.1
OG0002309	Bevul.6G146500.1.p	AT4G35860.1
OG0002310	Bevul.9G086300.1.p, Bevul.9G086300.2.p, Bevul.2G027300.1.p, Bevul.2G027300.2.p, Bevul.2G027300.5.p, Bevul.2G027300.4.p, Bevul.2G027300.3.p, Bevul.2G027300.6.p, Bevul.3G209200.1.p	AT5G05240.2, AT5G05240.1
OG0002311	Bevul.7G061900.3.p, Bevul.7G061900.7.p, Bevul.7G061900.8.p, Bevul.7G061900.9.p, Bevul.7G061900.2.p, Bevul.7G061900.6.p, Bevul.7G061900.5.p, Bevul.7G061900.11.p, Bevul.7G061900.4.p, Bevul.7G061900.12.p, Bevul.7G061900.1.p, Bevul.7G061900.10.p	AT2G43190.2, AT2G43190.3, AT2G43190.1, AT2G43190.5, AT2G43190.4
OG0002312	Bevul.2G235200.1.p	AT2G39890.1, AT2G39890.2, AT2G39890.3, AT2G36590.1, AT3G55740.2, AT3G55740.3, AT3G55740.1
OG0002313	Bevul.8G023800.1.p	AT1G73650.4, AT1G73650.1, AT1G73650.5, AT1G73650.2, AT1G73650.3, AT1G18180.1, AT1G18180.2
OG0002314	Bevul.3G024100.1.p	AT5G24580.2, AT5G24580.4, AT5G24580.3, AT5G24580.1, AT5G24580.5
OG0002315	Bevul.6G056300.1.p	AT1G43160.1, AT4G06746.1
OG0002315	Bevul.5G164200.1.p	AT5G07310.1, AT5G61890.1
OG0002316	Bevul.2G231900.1.p	AT3G48670.1, AT3G48670.2, AT3G48670.3, AT4G01780.1
OG0002317	Bevul.9G130800.3.p, Bevul.9G130800.2.p, Bevul.9G130800.4.p, Bevul.9G130800.1.p	AT4G35140.1, AT4G35140.2
OG0002318	Bevul.9G121800.1.p	AT5G42400.4, AT5G42400.3, AT5G42400.5, AT5G42400.8, AT5G42400.7, AT5G42400.6, AT5G42400.1, AT5G42400.2
