Orthogroup	B_vulgaris.proteins	D_spatulata.proteins
OG0000393	Bevul.6G225000.1.p	Ds_00013395-RA
OG0000394	Bevul.1G181200.1.p	Ds_00012488-RA, Ds_00008392-RA
OG0000395	Bevul.1G175700.1.p	Ds_00016500-RA
OG0000395	Bevul.5G000600.1.p	Ds_00001305-RA
OG0000396	Bevul.8G183300.1.p	Ds_00015710-RA
OG0000396	Bevul.9G197100.1.p	Ds_00000684-RA
OG0000397	Bevul.7G131200.1.p	Ds_00007437-RA
OG0000398	Bevul.4G227800.1.p	Ds_00010974-RA
OG0000398	Bevul.3G235100.1.p, Bevul.7G126400.1.p	Ds_00000327-RA
OG0000399	Bevul.3G135400.1.p	Ds_00003126-RA
OG0000399	Bevul.5G027400.1.p	Ds_00003863-RA
OG0000400	Bevul.4G204700.1.p	Ds_00003886-RA
OG0000400	Bevul.2G205100.1.p	Ds_00011055-RA
OG0000400	Bevul.3G134800.1.p	Ds_00004646-RA
OG0000401	Bevul.5G192300.1.p	Ds_00011008-RA
OG0000401	Bevul.4G099800.1.p, Bevul.6G170700.1.p, Bevul.5G128600.1.p	Ds_00014974-RA
OG0000403	Bevul.7G188400.1.p	Ds_00017295-RA, Ds_00016024-RA
OG0000404	Bevul.5G255100.1.p	Ds_00001054-RA
OG0000404	Bevul.5G094300.1.p	Ds_00009451-RA
OG0000405	Bevul.5G029900.1.p	Ds_00013293-RA, Ds_00001298-RA
OG0000405	Bevul.3G066000.1.p	Ds_00016404-RA
OG0000406	Bevul.6G227400.1.p	Ds_00011226-RA
OG0000406	Bevul.8G165900.1.p	Ds_00008020-RA
OG0000406	Bevul.3G061500.1.p	Ds_00009567-RA
OG0000407	Bevul.8G039400.1.p	Ds_00004439-RA, Ds_00011185-RA
OG0000407	Bevul.9G030000.1.p	Ds_00018044-RA
OG0000407	Bevul.4G011800.1.p	Ds_00014045-RA
OG0000408	Bevul.8G188000.1.p	Ds_00012867-RA
OG0000408	Bevul.2G016700.4.p, Bevul.2G016700.3.p, Bevul.2G016700.5.p, Bevul.2G016700.2.p, Bevul.2G016700.1.p	Ds_00014274-RA, Ds_00009925-RA
OG0000409	Bevul.2G018200.2.p, Bevul.2G018200.3.p, Bevul.2G018200.1.p	Ds_00014279-RA, Ds_00009914-RA
OG0000409	Bevul.8G186800.1.p	Ds_00012871-RA, Ds_00007278-RA
OG0000410	Bevul.7G154800.1.p	Ds_00002276-RA
OG0000411	Bevul.3G145800.1.p	Ds_00014670-RA
OG0000412	Bevul.1G083000.1.p	Ds_00002237-RA
OG0000412	Bevul.6G233900.1.p	Ds_00010561-RA
OG0000412	Bevul.5G124200.1.p	Ds_00010819-RA
OG0000413	Bevul.9G139000.1.p	Ds_00000040-RA
OG0000413	Bevul.1G217400.1.p	Ds_00016143-RA
OG0000413	Bevul.2G240000.1.p	Ds_00006903-RA
OG0000414	Bevul.9G121100.6.p, Bevul.9G121100.1.p, Bevul.9G121100.5.p, Bevul.9G121100.3.p, Bevul.9G121100.2.p, Bevul.9G121100.4.p	Ds_00013335-RA
OG0000415	Bevul.6G076400.1.p	Ds_00016712-RA
OG0000415	Bevul.1G046600.1.p	Ds_00003041-RA
OG0000415	Bevul.9G150700.1.p, Bevul.5G200000.1.p	Ds_00013347-RA
OG0000416	Bevul.6G073600.1.p	Ds_00014021-RA
OG0000417	Bevul.5G212600.1.p, Bevul.6G238200.1.p	Ds_00002836-RA
OG0000418	Bevul.6G033700.1.p	Ds_00013210-RA
OG0000418	Bevul.6G217100.1.p	Ds_00017606-RA
OG0000418	Bevul.6G216900.1.p	Ds_00001847-RA
OG0000419	Bevul.5G242000.1.p	Ds_00014415-RA
OG0000419	Bevul.2G118000.2.p, Bevul.2G118000.1.p, Bevul.2G010000.1.p, Bevul.4G088800.1.p	Ds_00006407-RA, Ds_00006406-RA
OG0000420	Bevul.2G074200.1.p, Bevul.2G074200.3.p, Bevul.2G074200.2.p	Ds_00001895-RA
OG0000421	Bevul.3G026500.1.p	Ds_00012946-RA, Ds_00001413-RA
OG0000421	Bevul.3G045600.1.p, Bevul.3G045700.1.p	Ds_00015859-RA
OG0000421	Bevul.3G045900.1.p, Bevul.3G046000.1.p, Bevul.3G045800.1.p	Ds_00015855-RA, Ds_00012565-RA
OG0000422	Bevul.4G243000.1.p	Ds_00008001-RA
OG0000423	Bevul.1G129900.1.p	Ds_00002933-RA
OG0000423	Bevul.3G085900.1.p	Ds_00012941-RA
OG0000423	Bevul.5G042700.1.p	Ds_00001343-RA
OG0000424	Bevul.9G196100.3.p, Bevul.9G196100.1.p, Bevul.9G196100.2.p, Bevul.9G196100.4.p, Bevul.9G196100.5.p	Ds_00002356-RA
OG0000425	Bevul.6G044600.1.p, Bevul.6G044500.1.p, Bevul.6G090100.1.p, Bevul.6G090200.1.p	Ds_00015808-RA, Ds_00015807-RA, Ds_00007651-RA, Ds_00009000-RA, Ds_00008999-RA, Ds_00007768-RA, Ds_00009002-RA, Ds_00015806-RA, Ds_00015475-RA, Ds_00015476-RA
OG0000426	Bevul.8G000400.1.p	Ds_00015226-RA, Ds_00015124-RA
OG0000427	Bevul.4G113500.1.p, Bevul.4G137200.1.p, Bevul.4G113600.1.p	Ds_00001975-RA
OG0000427	Bevul.6G172600.1.p	Ds_00017080-RA
OG0000428	Bevul.3G008800.1.p	Ds_00003190-RA
OG0000428	Bevul.3G008900.1.p	Ds_00006843-RA, Ds_00006454-RA, Ds_00006453-RA, Ds_00003189-RA, Ds_00003188-RA
OG0000428	Bevul.5G248500.1.p	Ds_00001065-RA, Ds_00001050-RA, Ds_00001049-RA, Ds_00001066-RA
OG0000431	Bevul.3G154400.1.p, Bevul.2G108100.1.p	Ds_00007102-RA
OG0000432	Bevul.6G114000.1.p, Bevul.7G092300.1.p, Bevul.7G054900.1.p, Bevul.7G094200.1.p, Bevul.4G093200.1.p	Ds_00016915-RA, Ds_00012830-RA, Ds_00015745-RA, Ds_00008928-RA, Ds_00011813-RA, Ds_00015670-RA, Ds_00017722-RA, Ds_00015824-RA
OG0000433	Bevul.5G116200.1.p	Ds_00014891-RA
OG0000433	Bevul.7G183400.1.p	Ds_00010130-RA, Ds_00011569-RA
OG0000434	Bevul.7G125800.1.p	Ds_00001021-RA
OG0000435	Bevul.3G096700.1.p	Ds_00006424-RA
OG0000435	Bevul.5G138100.1.p, Bevul.5G088300.1.p, Bevul.2G227700.1.p, Bevul.5G245200.1.p	Ds_00015308-RA
OG0000436	Bevul.5G154700.1.p	Ds_00013760-RA
OG0000436	Bevul.6G079600.1.p	Ds_00009134-RA, Ds_00010506-RA
OG0000437	Bevul.6G086500.1.p	Ds_00011211-RA
OG0000437	Bevul.7G017700.1.p	Ds_00015573-RA, Ds_00015960-RA
OG0000437	Bevul.8G192700.1.p	Ds_00000266-RA
OG0000438	Bevul.1G001700.1.p	Ds_00002512-RA
OG0000439	Bevul.6G081100.1.p	Ds_00010514-RA
OG0000440	Bevul.1G162600.1.p	Ds_00011298-RA, Ds_00000130-RA
OG0000440	Bevul.9G164700.1.p	Ds_00000338-RA
OG0000441	Bevul.4G012400.1.p	Ds_00001700-RA
OG0000441	Bevul.8G040100.1.p	Ds_00004442-RA
OG0000441	Bevul.9G028900.1.p	Ds_00005274-RA
OG0000442	Bevul.2G049400.1.p	Ds_00011766-RA, Ds_00004496-RA, Ds_00005294-RA, Ds_00010237-RA
OG0000442	Bevul.4G029800.1.p, Bevul.8G053500.1.p	Ds_00012259-RA, Ds_00009511-RA
OG0000443	Bevul.4G005700.1.p	Ds_00001690-RA, Ds_00014076-RA
OG0000443	Bevul.4G138900.1.p, Bevul.5G112400.1.p	Ds_00005830-RA
OG0000444	Bevul.9G107200.2.p, Bevul.9G107200.1.p, Bevul.9G107400.1.p	Ds_00000796-RA
OG0000444	Bevul.2G148000.5.p, Bevul.2G148000.4.p, Bevul.2G148000.2.p, Bevul.2G148000.3.p, Bevul.2G148000.1.p	Ds_00011312-RA
OG0000445	Bevul.8G174900.1.p	Ds_00015364-RA
OG0000445	Bevul.7G182000.1.p	Ds_00008308-RA
OG0000446	Bevul.7G146100.1.p, Bevul.9G214900.3.p, Bevul.9G214900.1.p, Bevul.9G214900.2.p	Ds_00016054-RA
OG0000446	Bevul.3G066200.1.p	Ds_00006067-RA
OG0000448	Bevul.2G189600.1.p, Bevul.2G189600.2.p	Ds_00011095-RA, Ds_00015949-RA
OG0000449	Bevul.4G114200.1.p	Ds_00006114-RA
OG0000450	Bevul.9G092300.1.p, Bevul.9G092300.3.p, Bevul.9G092300.2.p, Bevul.9G092300.4.p	Ds_00014850-RA
OG0000450	Bevul.8G005500.1.p	Ds_00000485-RA, Ds_00011495-RA
OG0000453	Bevul.2G229500.1.p, Bevul.2G229700.1.p, Bevul.2G229600.1.p	Ds_00010361-RA
OG0000453	Bevul.7G033600.1.p, Bevul.7G033800.1.p	Ds_00014901-RA
OG0000453	Bevul.7G202300.1.p, Bevul.7G202400.1.p	Ds_00015500-RA, Ds_00015494-RA
OG0000454	Bevul.7G227700.1.p	Ds_00015688-RA
OG0000455	Bevul.9G135200.1.p	Ds_00000058-RA
OG0000456	Bevul.6G146900.1.p	Ds_00008534-RA
OG0000456	Bevul.1G208100.1.p	Ds_00017614-RA
OG0000457	Bevul.6G091100.1.p	Ds_00011872-RA
OG0000458	Bevul.6G096200.1.p, Bevul.1G105400.1.p	Ds_00001594-RA
OG0000458	Bevul.2G215400.1.p, Bevul.2G215400.2.p, Bevul.6G123800.1.p	Ds_00008484-RA, Ds_00008590-RA, Ds_00006488-RA
OG0000459	Bevul.8G000100.1.p	Ds_00015223-RA
OG0000459	Bevul.9G069300.4.p, Bevul.9G069300.9.p, Bevul.9G069300.13.p, Bevul.9G069300.10.p, Bevul.9G069300.5.p, Bevul.9G069300.8.p, Bevul.9G069300.7.p, Bevul.9G069300.11.p, Bevul.9G069300.1.p, Bevul.9G069300.3.p, Bevul.9G069300.12.p, Bevul.9G069300.6.p, Bevul.9G069300.2.p	Ds_00016324-RA
OG0000460	Bevul.4G002200.1.p	Ds_00004936-RA
OG0000460	Bevul.2G083200.1.p	Ds_00001900-RA
OG0000461	Bevul.3G044300.1.p	Ds_00005678-RA
OG0000461	Bevul.1G187200.1.p	Ds_00011667-RA, Ds_00002817-RA
OG0000462	Bevul.7G053300.1.p	Ds_00010279-RA
OG0000462	Bevul.2G091000.3.p, Bevul.2G091000.2.p, Bevul.2G091000.4.p, Bevul.2G091000.1.p	Ds_00011335-RA, Ds_00005984-RA, Ds_00008774-RA
OG0000463	Bevul.3G042200.1.p	Ds_00005662-RA
OG0000463	Bevul.5G156300.1.p	Ds_00003862-RA, Ds_00009725-RA
OG0000463	Bevul.6G206100.1.p	Ds_00010770-RA
OG0000466	Bevul.7G107600.1.p	Ds_00006536-RA, Ds_00000984-RA
OG0000467	Bevul.9G078200.1.p	Ds_00001167-RA
OG0000469	Bevul.5G233200.1.p	Ds_00004676-RA
OG0000470	Bevul.3G024900.1.p, Bevul.3G024800.1.p	Ds_00005592-RA
OG0000470	Bevul.4G172000.1.p	Ds_00003939-RA, Ds_00014445-RA
OG0000471	Bevul.7G028600.1.p, Bevul.7G028700.1.p, Bevul.7G028800.1.p, Bevul.7G028500.1.p	Ds_00002085-RA, Ds_00017766-RA
OG0000472	Bevul.4G102300.1.p, Bevul.4G099200.1.p	Ds_00014170-RA, Ds_00008053-RA
OG0000472	Bevul.3G129100.1.p	Ds_00005010-RA
OG0000473	Bevul.7G080600.2.p, Bevul.7G080600.1.p, Bevul.7G080600.4.p, Bevul.7G080600.5.p, Bevul.7G080600.3.p	Ds_00005220-RA
OG0000474	Bevul.9G206100.1.p	Ds_00010402-RA
OG0000475	Bevul.4G005500.1.p, Bevul.4G005600.1.p	Ds_00007700-RA, Ds_00002101-RA
OG0000476	Bevul.1G106300.1.p, Bevul.1G106200.1.p, Bevul.1G106100.1.p, Bevul.1G106000.1.p, Bevul.1G106400.1.p, Bevul.1G190300.1.p, Bevul.1G105900.1.p	Ds_00017200-RA
OG0000477	Bevul.8G160600.1.p	Ds_00014999-RA, Ds_00009684-RA
OG0000477	Bevul.4G013800.1.p, Bevul.4G013900.1.p	Ds_00001709-RA, Ds_00014039-RA
OG0000479	Bevul.1G123500.1.p	Ds_00003554-RA
OG0000480	Bevul.9G213400.1.p, Bevul.9G213500.1.p, Bevul.9G213600.1.p, Bevul.9G213900.1.p	Ds_00002401-RA
OG0000481	Bevul.8G205200.1.p	Ds_00014397-RA
OG0000481	Bevul.9G115200.1.p	Ds_00000773-RA
OG0000481	Bevul.2G153300.1.p	Ds_00003453-RA
OG0000483	Bevul.2G112800.8.p, Bevul.2G112800.1.p, Bevul.2G112800.2.p, Bevul.2G112800.3.p, Bevul.2G112800.6.p, Bevul.2G112800.7.p, Bevul.2G112800.5.p, Bevul.2G112800.4.p	Ds_00005956-RA
OG0000484	Bevul.7G058500.2.p, Bevul.7G058500.1.p, Bevul.7G058500.3.p	Ds_00002009-RA, Ds_00010284-RA, Ds_00008777-RA
OG0000484	Bevul.9G051500.1.p, Bevul.9G051500.3.p, Bevul.9G051500.6.p, Bevul.9G051500.4.p, Bevul.9G051500.2.p, Bevul.9G051500.5.p, Bevul.9G051500.7.p, Bevul.9G051500.10.p, Bevul.9G051500.9.p, Bevul.9G051500.8.p	Ds_00004120-RA
OG0000485	Bevul.6G117000.1.p	Ds_00009103-RA, Ds_00008409-RA
OG0000485	Bevul.5G168900.1.p	Ds_00014111-RA
OG0000485	Bevul.4G096900.1.p	Ds_00008941-RA
OG0000486	Bevul.9G190900.1.p	Ds_00007211-RA
OG0000486	Bevul.9G190800.1.p, Bevul.9G191100.1.p	Ds_00007212-RA
OG0000488	Bevul.2G109500.1.p, Bevul.5G126800.1.p, Bevul.5G129600.1.p, Bevul.5G140900.1.p, Bevul.3G104600.1.p	Ds_00016955-RA
OG0000489	Bevul.7G113400.1.p, Bevul.4G190700.1.p	Ds_00000993-RA
OG0000490	Bevul.5G235900.1.p	Ds_00004543-RA, Ds_00001092-RA
OG0000491	Bevul.5G153200.1.p	Ds_00009714-RA
OG0000492	Bevul.2G237800.1.p	Ds_00005817-RA
OG0000494	Bevul.6G087100.1.p, Bevul.9G134100.1.p	Ds_00000064-RA, Ds_00011208-RA
OG0000494	Bevul.8G029200.1.p	Ds_00015204-RA
OG0000495	Bevul.5G006100.1.p	Ds_00011323-RA
OG0000495	Bevul.2G177400.1.p	Ds_00002601-RA, Ds_00004233-RA
OG0000496	Bevul.7G118500.1.p	Ds_00001005-RA, Ds_00006554-RA
OG0000496	Bevul.4G191600.1.p	Ds_00018052-RA, Ds_00004024-RA
OG0000497	Bevul.3G075300.1.p	Ds_00012967-RA
OG0000497	Bevul.5G036100.1.p	Ds_00015000-RA, Ds_00001324-RA
OG0000498	Bevul.8G195000.1.p	Ds_00000259-RA, Ds_00013051-RA
OG0000498	Bevul.6G084900.1.p	Ds_00010904-RA
OG0000498	Bevul.6G056500.1.p	Ds_00013405-RA
OG0000499	Bevul.8G134100.1.p	Ds_00008867-RA, Ds_00000102-RA
OG0000499	Bevul.6G160000.1.p	Ds_00008090-RA
OG0000500	Bevul.2G044800.15.p, Bevul.2G044800.16.p, Bevul.2G044800.11.p, Bevul.2G044800.10.p, Bevul.2G044800.3.p, Bevul.2G044800.12.p, Bevul.2G044800.9.p, Bevul.2G044800.13.p, Bevul.2G044800.8.p, Bevul.2G044800.19.p, Bevul.2G044800.2.p, Bevul.2G044800.7.p, Bevul.2G044800.18.p, Bevul.2G044800.6.p, Bevul.2G044800.1.p, Bevul.2G044800.21.p, Bevul.2G044800.20.p, Bevul.2G044800.14.p, Bevul.2G044800.17.p, Bevul.2G044800.5.p, Bevul.2G044800.4.p	Ds_00013605-RA
OG0000501	Bevul.4G145800.1.p	Ds_00006922-RA
OG0000501	Bevul.5G162300.1.p	Ds_00009761-RA
OG0000502	Bevul.6G091700.1.p	Ds_00011868-RA
OG0000503	Bevul.5G195300.1.p	Ds_00012442-RA
OG0000503	Bevul.6G241200.1.p	Ds_00004320-RA
OG0000503	Bevul.2G056500.1.p	Ds_00014962-RA
OG0000504	Bevul.6G187800.1.p	Ds_00015445-RA
OG0000504	Bevul.5G214400.1.p	Ds_00013806-RA
OG0000508	Bevul.2G115500.1.p, Bevul.2G114900.1.p, Bevul.2G115300.1.p, Bevul.2G115200.1.p, Bevul.2G115400.1.p	Ds_00014578-RA, Ds_00005224-RA, Ds_00012232-RA
OG0000509	Bevul.2G119300.1.p, Bevul.2G119300.4.p, Bevul.2G119300.2.p, Bevul.2G119300.10.p, Bevul.2G119300.6.p, Bevul.2G119300.3.p, Bevul.2G119300.7.p, Bevul.2G119300.5.p, Bevul.2G119300.8.p, Bevul.2G119300.9.p	Ds_00006001-RA
OG0000509	Bevul.7G056200.2.p, Bevul.7G056200.3.p, Bevul.7G056200.1.p	Ds_00013720-RA
OG0000510	Bevul.5G222700.1.p, Bevul.5G222600.1.p, Bevul.5G223100.1.p, Bevul.5G223200.1.p, Bevul.5G223300.1.p, Bevul.5G222900.1.p, Bevul.5G222800.1.p, Bevul.5G223000.1.p	Ds_00006471-RA
OG0000511	Bevul.3G226400.1.p, Bevul.3G226500.1.p	Ds_00012627-RA
OG0000512	Bevul.9G181600.8.p	Ds_00011851-RA
OG0000513	Bevul.8G153100.1.p	Ds_00002508-RA
OG0000514	Bevul.1G043000.1.p	Ds_00007474-RA, Ds_00015033-RA
OG0000515	Bevul.8G115500.1.p	Ds_00012141-RA
OG0000516	Bevul.4G074900.1.p	Ds_00014546-RA, Ds_00001816-RA
OG0000517	Bevul.8G011000.1.p	Ds_00010184-RA, Ds_00015083-RA
OG0000519	Bevul.9G202700.2.p, Bevul.9G202700.1.p	Ds_00000710-RA, Ds_00010387-RA
OG0000520	Bevul.5G224400.1.p	Ds_00008395-RA
OG0000520	Bevul.3G089800.1.p	Ds_00012928-RA
OG0000520	Bevul.5G007500.1.p	Ds_00013474-RA, Ds_00001352-RA
OG0000521	Bevul.1G191500.1.p, Bevul.1G191400.1.p	Ds_00011647-RA
OG0000521	Bevul.3G039100.1.p	Ds_00016886-RA, Ds_00005642-RA, Ds_00005643-RA, Ds_00005645-RA, Ds_00005646-RA, Ds_00005651-RA, Ds_00005649-RA, Ds_00005648-RA, Ds_00005650-RA, Ds_00018008-RA, Ds_00005676-RA
OG0000522	Bevul.6G244500.1.p, Bevul.6G244700.1.p, Bevul.6G244600.1.p, Bevul.6G244800.1.p	Ds_00015819-RA, Ds_00004339-RA, Ds_00004336-RA, Ds_00015176-RA, Ds_00015175-RA, Ds_00004340-RA, Ds_00004337-RA, Ds_00004338-RA, Ds_00000989-RA, Ds_00006417-RA
OG0000523	Bevul.6G109200.1.p	Ds_00008417-RA
OG0000523	Bevul.4G051000.1.p	Ds_00015243-RA
OG0000528	Bevul.7G211900.1.p	Ds_00010060-RA
OG0000528	Bevul.2G103200.1.p	Ds_00009606-RA, Ds_00015149-RA
OG0000529	Bevul.5G078700.1.p, Bevul.5G078800.1.p	Ds_00004898-RA
OG0000530	Bevul.4G132100.1.p	Ds_00006263-RA, Ds_00006159-RA
OG0000531	Bevul.9G062000.1.p	Ds_00005741-RA, Ds_00012639-RA
OG0000532	Bevul.5G247700.1.p	Ds_00007822-RA, Ds_00014094-RA
OG0000532	Bevul.3G011500.1.p	Ds_00006443-RA
OG0000533	Bevul.1G175300.1.p	Ds_00016498-RA
OG0000533	Bevul.1G164400.1.p	Ds_00004592-RA
OG0000534	Bevul.7G029300.1.p	Ds_00008714-RA, Ds_00002082-RA, Ds_00017764-RA
OG0000534	Bevul.5G041800.1.p	Ds_00009897-RA
OG0000535	Bevul.6G135700.1.p	Ds_00005885-RA
OG0000535	Bevul.6G136000.1.p	Ds_00005884-RA
OG0000535	Bevul.4G180300.1.p	Ds_00003969-RA
OG0000536	Bevul.9G043800.1.p	Ds_00005856-RA
OG0000536	Bevul.7G051100.1.p	Ds_00002022-RA, Ds_00013711-RA
OG0000537	Bevul.9G148800.1.p	Ds_00000008-RA
OG0000537	Bevul.1G151200.1.p	Ds_00012195-RA, Ds_00014380-RA
OG0000538	Bevul.5G249300.1.p	Ds_00012326-RA
OG0000538	Bevul.4G128500.1.p	Ds_00006968-RA, Ds_00006142-RA
OG0000538	Bevul.3G007600.1.p	Ds_00003198-RA
OG0000539	Bevul.1G108800.1.p	Ds_00008180-RA, Ds_00008177-RA, Ds_00008178-RA, Ds_00001601-RA
OG0000539	Bevul.6G099100.1.p, Bevul.6G099200.1.p, Bevul.6G099000.1.p	Ds_00008179-RA
OG0000540	Bevul.2G202400.1.p, Bevul.2G172700.1.p	Ds_00013724-RA, Ds_00016647-RA
OG0000541	Bevul.6G066500.1.p	Ds_00010959-RA
OG0000541	Bevul.5G049100.1.p	Ds_00002945-RA
OG0000541	Bevul.9G148000.1.p, Bevul.9G148000.3.p, Bevul.9G148000.2.p	Ds_00013030-RA
OG0000542	Bevul.6G224400.1.p, Bevul.6G224300.1.p, Bevul.6G224200.1.p	Ds_00011245-RA
OG0000542	Bevul.1G171000.1.p	Ds_00007637-RA
OG0000542	Bevul.1G170900.1.p	Ds_00000239-RA
OG0000543	Bevul.1G068600.1.p	Ds_00006591-RA
OG0000543	Bevul.2G036800.5.p, Bevul.2G036800.4.p, Bevul.2G036800.7.p, Bevul.2G036800.12.p, Bevul.2G036800.2.p, Bevul.2G036800.9.p, Bevul.2G036800.3.p, Bevul.2G036800.10.p, Bevul.2G036800.8.p, Bevul.2G036800.11.p, Bevul.2G036800.14.p, Bevul.2G036800.13.p, Bevul.2G036800.16.p, Bevul.2G036800.15.p, Bevul.2G036800.1.p, Bevul.2G036800.6.p, Bevul.2G037000.3.p, Bevul.2G037000.1.p, Bevul.2G037000.5.p, Bevul.2G037000.2.p, Bevul.2G037000.6.p, Bevul.2G037000.4.p	Ds_00009087-RA
OG0000544	Bevul.5G220500.1.p	Ds_00017483-RA
OG0000544	Bevul.7G007400.1.p	Ds_00006840-RA
OG0000545	Bevul.8G034100.1.p	Ds_00007720-RA
OG0000545	Bevul.9G002100.1.p, Bevul.9G002100.2.p	Ds_00017331-RA, Ds_00004193-RA
OG0000547	Bevul.9G075600.1.p, Bevul.6G101100.1.p, Bevul.9G072000.1.p	Ds_00016304-RA
OG0000548	Bevul.6G193300.1.p	Ds_00009022-RA
OG0000548	Bevul.2G002700.1.p, Bevul.2G002700.3.p, Bevul.2G002700.2.p	Ds_00009094-RA
OG0000550	Bevul.7G001200.1.p	Ds_00015994-RA
OG0000551	Bevul.4G233500.1.p, Bevul.4G233400.1.p, Bevul.4G233200.1.p, Bevul.4G233000.1.p, Bevul.4G233100.1.p	Ds_00013951-RA, Ds_00014752-RA
OG0000552	Bevul.6G215000.1.p	Ds_00017387-RA, Ds_00010735-RA
OG0000552	Bevul.6G214900.1.p	Ds_00001989-RA
OG0000554	Bevul.3G106700.1.p	Ds_00010610-RA
OG0000555	Bevul.2G055600.1.p	Ds_00006402-RA, Ds_00013466-RA, Ds_00013257-RA, Ds_00008684-RA, Ds_00017171-RA, Ds_00011337-RA, Ds_00011025-RA, Ds_00007358-RA, Ds_00012105-RA
OG0000558	Bevul.3G146400.1.p	Ds_00014666-RA, Ds_00003153-RA
OG0000558	Bevul.5G235000.1.p	Ds_00001099-RA
OG0000560	Bevul.4G230700.1.p	Ds_00013944-RA, Ds_00014929-RA, Ds_00008005-RA
OG0000561	Bevul.8G082200.1.p, Bevul.7G217400.1.p	Ds_00005945-RA, Ds_00012741-RA, Ds_00005944-RA
OG0000562	Bevul.4G190100.1.p	Ds_00004033-RA
OG0000562	Bevul.7G112300.1.p	Ds_00006534-RA
OG0000563	Bevul.6G170600.1.p	Ds_00011711-RA, Ds_00000740-RA, Ds_00010784-RA, Ds_00016958-RA
OG0000564	Bevul.2G031400.3.p, Bevul.2G031400.1.p, Bevul.2G031400.4.p, Bevul.2G031400.2.p, Bevul.2G031400.5.p, Bevul.2G031400.6.p	Ds_00013863-RA
OG0000564	Bevul.7G095700.1.p	Ds_00004708-RA
OG0000565	Bevul.3G209000.1.p	Ds_00005774-RA
OG0000565	Bevul.4G223100.1.p	Ds_00017740-RA
OG0000566	Bevul.8G047800.1.p	Ds_00010689-RA
OG0000566	Bevul.7G126700.1.p	Ds_00012366-RA
OG0000567	Bevul.4G234600.1.p	Ds_00013956-RA, Ds_00014759-RA, Ds_00007994-RA
OG0000567	Bevul.3G193400.1.p	Ds_00011005-RA
OG0000567	Bevul.3G065200.1.p	Ds_00014643-RA
OG0000568	Bevul.1G194100.1.p, Bevul.1G189000.1.p	Ds_00012980-RA
OG0000570	Bevul.9G217700.1.p	Ds_00013045-RA
OG0000570	Bevul.1G019400.1.p	Ds_00000628-RA, Ds_00002474-RA
OG0000571	Bevul.7G126100.1.p	Ds_00012368-RA
OG0000572	Bevul.2G154400.1.p	Ds_00008685-RA, Ds_00001508-RA
OG0000573	Bevul.4G184000.1.p	Ds_00014420-RA, Ds_00003711-RA
OG0000573	Bevul.1G115700.1.p	Ds_00001514-RA
OG0000574	Bevul.6G114200.1.p	Ds_00008413-RA
OG0000574	Bevul.2G195800.1.p, Bevul.2G195600.1.p	Ds_00012378-RA, Ds_00009801-RA
OG0000574	Bevul.1G053100.1.p	Ds_00009800-RA, Ds_00009802-RA
OG0000575	Bevul.5G070800.1.p	Ds_00017229-RA
OG0000576	Bevul.7G233100.1.p	Ds_00000803-RA
OG0000576	Bevul.8G127900.1.p	Ds_00017289-RA, Ds_00000190-RA
OG0000578	Bevul.2G140800.1.p, Bevul.9G008600.1.p	Ds_00012817-RA, Ds_00017131-RA
OG0000579	Bevul.1G189600.1.p	Ds_00002838-RA
OG0000580	Bevul.1G198300.1.p	Ds_00002870-RA
OG0000580	Bevul.7G011700.1.p	Ds_00006396-RA
OG0000580	Bevul.8G185300.1.p	Ds_00012876-RA
OG0000580	Bevul.2G019900.2.p, Bevul.2G019900.1.p	Ds_00014283-RA
OG0000581	Bevul.5G029100.1.p, Bevul.1G179700.1.p	Ds_00003588-RA
OG0000581	Bevul.5G208700.1.p	Ds_00016272-RA
OG0000582	Bevul.2G089800.1.p	Ds_00011444-RA
OG0000583	Bevul.2G200300.1.p, Bevul.2G200300.2.p	Ds_00013497-RA, Ds_00015252-RA
OG0000584	Bevul.6G182600.1.p, Bevul.6G182500.1.p	Ds_00009065-RA
OG0000584	Bevul.5G217600.1.p	Ds_00013793-RA, Ds_00003797-RA
OG0000585	Bevul.5G211500.1.p	Ds_00011402-RA
OG0000585	Bevul.6G191000.1.p	Ds_00009042-RA, Ds_00009041-RA, Ds_00014696-RA, Ds_00009037-RA, Ds_00009032-RA, Ds_00009033-RA, Ds_00009038-RA, Ds_00014695-RA, Ds_00009035-RA, Ds_00009039-RA, Ds_00009034-RA
OG0000586	Bevul.6G193900.1.p	Ds_00009017-RA
OG0000587	Bevul.9G119400.1.p, Bevul.6G125600.1.p, Bevul.7G051500.1.p, Bevul.2G070000.1.p, Bevul.6G146000.1.p, Bevul.5G109800.1.p	Ds_00014351-RA, Ds_00005767-RA
OG0000593	Bevul.7G207600.1.p	Ds_00003271-RA, Ds_00003270-RA
OG0000594	Bevul.9G230900.1.p, Bevul.9G230800.1.p	Ds_00017414-RA, Ds_00017413-RA, Ds_00010319-RA, Ds_00010318-RA, Ds_00008911-RA, Ds_00008913-RA, Ds_00017492-RA, Ds_00008910-RA, Ds_00008909-RA, Ds_00008912-RA, Ds_00013639-RA
OG0000596	Bevul.3G225700.1.p	Ds_00005734-RA, Ds_00009351-RA
OG0000597	Bevul.1G047400.1.p	Ds_00003043-RA
OG0000597	Bevul.4G153300.1.p	Ds_00003865-RA
OG0000597	Bevul.4G153400.1.p	Ds_00003866-RA
