Orthogroup	B_vulgaris.proteins	L_sativa.proteins
OG0001631	Bevul.1G102200.1.p, Bevul.5G127500.1.p, Bevul.7G083300.1.p, Bevul.7G083200.1.p	Lsat_1_v5_gn_5_861.2, Lsat_1_v5_gn_3_45960.1, Lsat_1_v5_gn_8_11001.1, Lsat_1_v5_gn_9_51000.1, Lsat_1_v5_gn_5_861.1, Lsat_1_v5_gn_5_50320.1
OG0001632	Bevul.2G117100.1.p, Bevul.2G117100.3.p, Bevul.2G117100.2.p	Lsat_1_v5_gn_2_113740.1
OG0001633	Bevul.6G005100.1.p	Lsat_1_v5_gn_1_21881.2, Lsat_1_v5_gn_1_21881.1, Lsat_1_v5_gn_4_127080.1
OG0001634	Bevul.7G000900.1.p	Lsat_1_v5_gn_9_39781.1, Lsat_1_v5_gn_9_39781.3, Lsat_1_v5_gn_2_106941.2, Lsat_1_v5_gn_2_106941.1, Lsat_1_v5_gn_8_109621.1, Lsat_1_v5_gn_8_109621.3
OG0001635	Bevul.1G116000.1.p, Bevul.3G104400.1.p, Bevul.3G104100.1.p, Bevul.3G104000.1.p	Lsat_1_v5_gn_1_97781.1, Lsat_1_v5_gn_1_43600.2, Lsat_1_v5_gn_1_43600.3, Lsat_1_v5_gn_1_43600.1, Lsat_1_v5_gn_1_43540.1, Lsat_1_v5_gn_5_32880.2, Lsat_1_v5_gn_5_32880.1, Lsat_1_v5_gn_3_109740.2, Lsat_1_v5_gn_3_109740.1, Lsat_1_v5_gn_1_43960.1, Lsat_1_v5_gn_1_43960.3, Lsat_1_v5_gn_1_43660.1, Lsat_1_v5_gn_5_32880.4
OG0001636	Bevul.7G026300.3.p, Bevul.7G026300.2.p, Bevul.7G026300.1.p	Lsat_1_v5_gn_8_77420.3, Lsat_1_v5_gn_8_77420.1, Lsat_1_v5_gn_5_165000.1, Lsat_1_v5_gn_5_165000.2
OG0001637	Bevul.1G057100.1.p	Lsat_1_v5_gn_1_19221.1, Lsat_1_v5_gn_1_19221.3, Lsat_1_v5_gn_4_123240.1
OG0001637	Bevul.1G037700.1.p	Lsat_1_v5_gn_8_27720.1, Lsat_1_v5_gn_8_27720.3
OG0001637	Bevul.9G128000.1.p	Lsat_1_v5_gn_4_70741.1, Lsat_1_v5_gn_4_70660.1, Lsat_1_v5_gn_4_70620.1
OG0001638	Bevul.6G150100.1.p	Lsat_1_v5_gn_9_119221.1, Lsat_1_v5_gn_9_119221.2, Lsat_1_v5_gn_9_119221.3, Lsat_1_v5_gn_5_105121.1, Lsat_1_v5_gn_5_105121.3
OG0001639	Bevul.4G212800.1.p	Lsat_1_v5_gn_8_109320.1, Lsat_1_v5_gn_9_13861.6
OG0001640	Bevul.2G055900.1.p, Bevul.2G055900.2.p, Bevul.2G055900.4.p, Bevul.2G055900.5.p, Bevul.2G055900.3.p	Lsat_1_v5_gn_9_80260.3, Lsat_1_v5_gn_9_80260.1, Lsat_1_v5_gn_6_108361.1
OG0001641	Bevul.4G030800.1.p	Lsat_1_v5_gn_7_92181.1, Lsat_1_v5_gn_9_93860.3, Lsat_1_v5_gn_9_93860.1
OG0001642	Bevul.6G068700.1.p	Lsat_1_v5_gn_5_48440.1, Lsat_1_v5_gn_5_48440.3
OG0001643	Bevul.2G078900.2.p, Bevul.2G078900.1.p	Lsat_1_v5_gn_3_64421.1
OG0001643	Bevul.6G014500.1.p	Lsat_1_v5_gn_3_86821.1, Lsat_1_v5_gn_4_161601.1, Lsat_1_v5_gn_2_82701.1
OG0001644	Bevul.8G152900.1.p	Lsat_1_v5_gn_7_49601.1
OG0001646	Bevul.7G074500.1.p	Lsat_1_v5_gn_5_190120.1, Lsat_1_v5_gn_5_190180.1, Lsat_1_v5_gn_5_190180.2, Lsat_1_v5_gn_5_190081.1
OG0001647	Bevul.1G198200.1.p	Lsat_1_v5_gn_4_31741.1, Lsat_1_v5_gn_4_31741.3
OG0001647	Bevul.8G092900.1.p	Lsat_1_v5_gn_7_27541.1, Lsat_1_v5_gn_7_27541.3
OG0001648	Bevul.4G022600.1.p	Lsat_1_v5_gn_8_89420.3, Lsat_1_v5_gn_8_89420.1
OG0001649	Bevul.1G156400.1.p	Lsat_1_v5_gn_8_20841.2, Lsat_1_v5_gn_8_20841.3, Lsat_1_v5_gn_8_20841.1
OG0001650	Bevul.7G137200.1.p, Bevul.7G137300.1.p	Lsat_1_v5_gn_9_13261.2, Lsat_1_v5_gn_9_13261.1
OG0001651	Bevul.4G003400.1.p	Lsat_1_v5_gn_9_88901.1
OG0001652	Bevul.8G040700.1.p	Lsat_1_v5_gn_0_13921.1, Lsat_1_v5_gn_4_63321.3, Lsat_1_v5_gn_4_63321.1
OG0001652	Bevul.9G028300.1.p	Lsat_1_v5_gn_7_96001.2, Lsat_1_v5_gn_7_96001.1, Lsat_1_v5_gn_9_104481.1, Lsat_1_v5_gn_9_104441.1, Lsat_1_v5_gn_9_104401.1, Lsat_1_v5_gn_5_123120.1
OG0001654	Bevul.5G202200.1.p	Lsat_1_v5_gn_4_74340.1
OG0001654	Bevul.2G030100.1.p, Bevul.2G030100.2.p, Bevul.2G030100.3.p, Bevul.2G030100.4.p	Lsat_1_v5_gn_9_39560.1, Lsat_1_v5_gn_9_39560.2, Lsat_1_v5_gn_4_31040.1, Lsat_1_v5_gn_5_152080.1
OG0001655	Bevul.5G034100.1.p	Lsat_1_v5_gn_3_5281.1
OG0001655	Bevul.1G168000.1.p	Lsat_1_v5_gn_7_5561.1, Lsat_1_v5_gn_7_5561.3, Lsat_1_v5_gn_3_136160.1
OG0001656	Bevul.8G146700.1.p	Lsat_1_v5_gn_5_139061.3, Lsat_1_v5_gn_5_139061.1
OG0001657	Bevul.5G030300.1.p, Bevul.5G030200.1.p, Bevul.5G030100.1.p	Lsat_1_v5_gn_7_64221.1, Lsat_1_v5_gn_6_6281.3, Lsat_1_v5_gn_6_6281.4, Lsat_1_v5_gn_6_6181.1, Lsat_1_v5_gn_6_6141.2, Lsat_1_v5_gn_6_6141.1
OG0001658	Bevul.2G170400.1.p	Lsat_1_v5_gn_1_42601.4, Lsat_1_v5_gn_6_19540.1
OG0001659	Bevul.1G131200.1.p	Lsat_1_v5_gn_7_7001.2, Lsat_1_v5_gn_7_7001.1
OG0001660	Bevul.9G226700.1.p	Lsat_1_v5_gn_4_87060.1, Lsat_1_v5_gn_4_87060.2, Lsat_1_v5_gn_1_32120.3, Lsat_1_v5_gn_1_32120.1, Lsat_1_v5_gn_1_32120.2, Lsat_1_v5_gn_5_8180.2, Lsat_1_v5_gn_5_8180.1
OG0001661	Bevul.2G171100.1.p, Bevul.2G171100.4.p, Bevul.2G171100.3.p, Bevul.2G171100.2.p	Lsat_1_v5_gn_5_39921.3, Lsat_1_v5_gn_5_39921.1
OG0001662	Bevul.2G002500.3.p, Bevul.2G002500.1.p, Bevul.2G002500.2.p	Lsat_1_v5_gn_5_61021.1
OG0001663	Bevul.2G139100.1.p	Lsat_1_v5_gn_7_60780.3, Lsat_1_v5_gn_7_60780.1
OG0001663	Bevul.4G115000.1.p	Lsat_1_v5_gn_7_34780.1
OG0001664	Bevul.3G081900.1.p, Bevul.3G082000.1.p, Bevul.5G039700.1.p	Lsat_1_v5_gn_9_53541.1, Lsat_1_v5_gn_9_53541.3, Lsat_1_v5_gn_2_130100.2, Lsat_1_v5_gn_2_130100.1
OG0001665	Bevul.3G224900.1.p, Bevul.2G110000.3.p, Bevul.2G110000.1.p, Bevul.2G110000.2.p	Lsat_1_v5_gn_2_115260.3, Lsat_1_v5_gn_2_115260.1
OG0001666	Bevul.3G067600.1.p	Lsat_1_v5_gn_9_55340.1
OG0001667	Bevul.1G177400.1.p	Lsat_1_v5_gn_3_137080.3, Lsat_1_v5_gn_3_137080.1, Lsat_1_v5_gn_7_4700.1
OG0001668	Bevul.7G167600.1.p	Lsat_1_v5_gn_4_92761.3, Lsat_1_v5_gn_4_92761.1
OG0001668	Bevul.8G142100.1.p	Lsat_1_v5_gn_8_85660.1, Lsat_1_v5_gn_8_85660.2, Lsat_1_v5_gn_5_139861.1, Lsat_1_v5_gn_5_139861.3
OG0001669	Bevul.3G002400.1.p	Lsat_1_v5_gn_6_76180.3, Lsat_1_v5_gn_6_76180.5
OG0001669	Bevul.7G167700.1.p	Lsat_1_v5_gn_4_92880.2, Lsat_1_v5_gn_4_92880.1, Lsat_1_v5_gn_5_115820.4, Lsat_1_v5_gn_5_115820.1
OG0001670	Bevul.7G056300.2.p, Bevul.7G056300.1.p, Bevul.7G056300.4.p, Bevul.7G056300.3.p	Lsat_1_v5_gn_4_137281.1
OG0001671	Bevul.8G023200.1.p	Lsat_1_v5_gn_1_124381.1, Lsat_1_v5_gn_1_124381.3, Lsat_1_v5_gn_7_20960.1, Lsat_1_v5_gn_7_20960.2, Lsat_1_v5_gn_7_20960.3
OG0001672	Bevul.9G018500.1.p	Lsat_1_v5_gn_3_34861.3, Lsat_1_v5_gn_3_34861.1, Lsat_1_v5_gn_3_35021.4, Lsat_1_v5_gn_3_35021.1, Lsat_1_v5_gn_3_35101.1, Lsat_1_v5_gn_3_35101.4, Lsat_1_v5_gn_4_27061.3, Lsat_1_v5_gn_4_27061.2, Lsat_1_v5_gn_4_27061.1
OG0001673	Bevul.4G197600.1.p	Lsat_1_v5_gn_9_123001.1, Lsat_1_v5_gn_5_102260.1
OG0001674	Bevul.3G211200.1.p	Lsat_1_v5_gn_5_155800.1
OG0001674	Bevul.5G137200.1.p, Bevul.3G211100.1.p	Lsat_1_v5_gn_2_14960.1
OG0001675	Bevul.4G106500.1.p	Lsat_1_v5_gn_8_21741.1, Lsat_1_v5_gn_8_21741.2, Lsat_1_v5_gn_3_53181.3, Lsat_1_v5_gn_3_53181.1
OG0001675	Bevul.7G016200.1.p	Lsat_1_v5_gn_6_35461.3, Lsat_1_v5_gn_6_35461.2, Lsat_1_v5_gn_6_35461.1
OG0001676	Bevul.5G073500.1.p, Bevul.1G144800.1.p	Lsat_1_v5_gn_6_94060.2, Lsat_1_v5_gn_6_94060.1, Lsat_1_v5_gn_6_68740.3, Lsat_1_v5_gn_6_68740.1, Lsat_1_v5_gn_6_68740.2
OG0001677	Bevul.6G167300.1.p, Bevul.8G093500.1.p	Lsat_1_v5_gn_4_29840.1
OG0001679	Bevul.5G056900.1.p	Lsat_1_v5_gn_8_103460.1, Lsat_1_v5_gn_5_149240.1
OG0001679	Bevul.2G250400.1.p	Lsat_1_v5_gn_8_13281.1, Lsat_1_v5_gn_5_173741.1
OG0001681	Bevul.1G215300.1.p	Lsat_1_v5_gn_4_135540.2, Lsat_1_v5_gn_4_135540.1
OG0001682	Bevul.9G178100.1.p	Lsat_1_v5_gn_3_26481.1, Lsat_1_v5_gn_7_88460.1, Lsat_1_v5_gn_5_117261.1, Lsat_1_v5_gn_5_117301.1
OG0001682	Bevul.3G122800.1.p	Lsat_1_v5_gn_4_122741.1, Lsat_1_v5_gn_4_122621.1, Lsat_1_v5_gn_1_19560.1
OG0001683	Bevul.5G013800.1.p	Lsat_1_v5_gn_6_83361.3, Lsat_1_v5_gn_6_83361.2, Lsat_1_v5_gn_6_83361.1, Lsat_1_v5_gn_3_40061.1, Lsat_1_v5_gn_5_82800.1, Lsat_1_v5_gn_9_112141.1
OG0001684	Bevul.6G145600.1.p	Lsat_1_v5_gn_9_120281.1, Lsat_1_v5_gn_9_120281.2, Lsat_1_v5_gn_9_120281.5, Lsat_1_v5_gn_9_120520.3, Lsat_1_v5_gn_9_120520.1, Lsat_1_v5_gn_9_120321.1, Lsat_1_v5_gn_9_120321.2
OG0001685	Bevul.4G077000.1.p	Lsat_1_v5_gn_2_41820.1, Lsat_1_v5_gn_3_99000.1, Lsat_1_v5_gn_6_61721.3, Lsat_1_v5_gn_6_61721.1
OG0001685	Bevul.7G117200.1.p	Lsat_1_v5_gn_9_11920.1, Lsat_1_v5_gn_5_179241.1, Lsat_1_v5_gn_8_90501.1
OG0001686	Bevul.5G200100.1.p	Lsat_1_v5_gn_3_125500.1, Lsat_1_v5_gn_3_125500.3, Lsat_1_v5_gn_3_125500.4
OG0001686	Bevul.5G242900.1.p	Lsat_1_v5_gn_8_91560.3, Lsat_1_v5_gn_8_91560.1
OG0001687	Bevul.1G056900.1.p	Lsat_1_v5_gn_4_117960.3, Lsat_1_v5_gn_4_117960.1, Lsat_1_v5_gn_4_117960.2
OG0001688	Bevul.8G175600.1.p	Lsat_1_v5_gn_8_87660.4, Lsat_1_v5_gn_8_87660.1, Lsat_1_v5_gn_8_87660.2, Lsat_1_v5_gn_8_87660.3, Lsat_1_v5_gn_7_37081.1, Lsat_1_v5_gn_7_37081.2, Lsat_1_v5_gn_5_142520.3, Lsat_1_v5_gn_5_142520.2, Lsat_1_v5_gn_5_142520.1
OG0001689	Bevul.7G038400.1.p	Lsat_1_v5_gn_4_182341.2, Lsat_1_v5_gn_4_182341.1, Lsat_1_v5_gn_2_92160.3, Lsat_1_v5_gn_2_92160.1
OG0001689	Bevul.4G134500.1.p	Lsat_1_v5_gn_9_4501.5, Lsat_1_v5_gn_9_4501.4, Lsat_1_v5_gn_9_4501.2
OG0001690	Bevul.1G217000.1.p	Lsat_1_v5_gn_1_8300.3, Lsat_1_v5_gn_1_8300.1, Lsat_1_v5_gn_6_112781.3, Lsat_1_v5_gn_6_112781.1, Lsat_1_v5_gn_6_112781.2
OG0001691	Bevul.7G118300.1.p	Lsat_1_v5_gn_9_12080.1, Lsat_1_v5_gn_9_12080.2, Lsat_1_v5_gn_8_90361.1
OG0001692	Bevul.4G204800.1.p	Lsat_1_v5_gn_1_29841.1, Lsat_1_v5_gn_1_30481.3, Lsat_1_v5_gn_1_30481.1, Lsat_1_v5_gn_5_9460.3, Lsat_1_v5_gn_5_9460.1
OG0001693	Bevul.4G164600.1.p	Lsat_1_v5_gn_7_74900.1
OG0001696	Bevul.3G111100.1.p	Lsat_1_v5_gn_2_58761.1, Lsat_1_v5_gn_6_37901.1, Lsat_1_v5_gn_6_37901.2
OG0001696	Bevul.5G186200.1.p	Lsat_1_v5_gn_9_27121.1
OG0001697	Bevul.6G210500.1.p	Lsat_1_v5_gn_3_29721.3, Lsat_1_v5_gn_3_29721.1, Lsat_1_v5_gn_8_149900.1
OG0001698	Bevul.3G015300.1.p, Bevul.6G165700.1.p, Bevul.5G094700.1.p	Lsat_1_v5_gn_6_95781.1, Lsat_1_v5_gn_6_95781.4, Lsat_1_v5_gn_3_19561.1, Lsat_1_v5_gn_6_3421.2, Lsat_1_v5_gn_6_3421.1
OG0001699	Bevul.9G011600.2.p, Bevul.9G011600.1.p	Lsat_1_v5_gn_0_9300.1, Lsat_1_v5_gn_0_9300.2, Lsat_1_v5_gn_0_9300.4
OG0001700	Bevul.6G082300.1.p	Lsat_1_v5_gn_8_47521.1, Lsat_1_v5_gn_8_47501.1
OG0001700	Bevul.5G180500.1.p	Lsat_1_v5_gn_5_21920.2, Lsat_1_v5_gn_5_21920.3, Lsat_1_v5_gn_5_21920.1, Lsat_1_v5_gn_1_13660.1, Lsat_1_v5_gn_4_109861.1
OG0001701	Bevul.1G086900.1.p	Lsat_1_v5_gn_1_7940.2, Lsat_1_v5_gn_1_7940.1, Lsat_1_v5_gn_1_7940.3
OG0001702	Bevul.7G131100.1.p	Lsat_1_v5_gn_9_14941.1, Lsat_1_v5_gn_8_89281.1, Lsat_1_v5_gn_8_89281.3
OG0001702	Bevul.2G196400.2.p, Bevul.2G196400.1.p	Lsat_1_v5_gn_4_174880.1, Lsat_1_v5_gn_2_86040.1
OG0001703	Bevul.5G147000.1.p	Lsat_1_v5_gn_2_12241.2, Lsat_1_v5_gn_2_12241.1
OG0001704	Bevul.2G230900.1.p	Lsat_1_v5_gn_8_15301.3, Lsat_1_v5_gn_8_15301.1, Lsat_1_v5_gn_2_118901.1
OG0001705	Bevul.5G204600.1.p, Bevul.4G058600.1.p, Bevul.2G217800.1.p, Bevul.4G097800.1.p, Bevul.5G246800.1.p, Bevul.2G218600.1.p, Bevul.2G218700.1.p, Bevul.1G031700.1.p, Bevul.9G086800.3.p, Bevul.9G086800.4.p, Bevul.9G086800.1.p, Bevul.9G086800.2.p	Lsat_1_v5_gn_9_61961.1, Lsat_1_v5_gn_9_62000.2, Lsat_1_v5_gn_9_62000.1, Lsat_1_v5_gn_9_61981.2, Lsat_1_v5_gn_9_61981.1, Lsat_1_v5_gn_9_62120.1, Lsat_1_v5_gn_9_62080.1, Lsat_1_v5_gn_9_61920.1, Lsat_1_v5_gn_9_62101.1, Lsat_1_v5_gn_9_61940.1, Lsat_1_v5_gn_8_12640.1
OG0001717	Bevul.3G043600.1.p, Bevul.2G154600.1.p	Lsat_1_v5_gn_3_64560.1
OG0001718	Bevul.4G170500.1.p	Lsat_1_v5_gn_8_71660.2, Lsat_1_v5_gn_8_71660.1
OG0001718	Bevul.5G260200.1.p	Lsat_1_v5_gn_8_167581.3, Lsat_1_v5_gn_8_167581.1, Lsat_1_v5_gn_8_167541.1, Lsat_1_v5_gn_8_167541.2
OG0001719	Bevul.4G105800.1.p	Lsat_1_v5_gn_2_105620.1, Lsat_1_v5_gn_9_47160.1, Lsat_1_v5_gn_9_47160.2
OG0001721	Bevul.6G020600.1.p	Lsat_1_v5_gn_3_76141.1, Lsat_1_v5_gn_3_76141.2, Lsat_1_v5_gn_3_76181.2, Lsat_1_v5_gn_3_76181.1, Lsat_1_v5_gn_2_76580.1
OG0001723	Bevul.2G032200.1.p	Lsat_1_v5_gn_8_10841.2, Lsat_1_v5_gn_8_10841.1, Lsat_1_v5_gn_9_60500.2, Lsat_1_v5_gn_9_60500.1
OG0001724	Bevul.7G078000.5.p, Bevul.7G078000.1.p, Bevul.7G078000.2.p, Bevul.7G078000.3.p, Bevul.7G078000.4.p	Lsat_1_v5_gn_8_55460.1, Lsat_1_v5_gn_8_55460.4, Lsat_1_v5_gn_8_55460.2, Lsat_1_v5_gn_9_1821.1, Lsat_1_v5_gn_9_1821.3
OG0001725	Bevul.8G142300.1.p, Bevul.7G218600.1.p, Bevul.5G055300.1.p	Lsat_1_v5_gn_9_37241.3, Lsat_1_v5_gn_9_37241.1, Lsat_1_v5_gn_9_37241.2, Lsat_1_v5_gn_8_102800.2, Lsat_1_v5_gn_8_102800.1, Lsat_1_v5_gn_5_149541.1
OG0001726	Bevul.6G051000.1.p, Bevul.6G051200.1.p, Bevul.6G051100.1.p, Bevul.6G051300.1.p	Lsat_1_v5_gn_4_134780.1, Lsat_1_v5_gn_4_134780.2, Lsat_1_v5_gn_6_97321.3, Lsat_1_v5_gn_6_97321.1, Lsat_1_v5_gn_6_97521.1, Lsat_1_v5_gn_8_117280.1, Lsat_1_v5_gn_6_97361.1, Lsat_1_v5_gn_6_97421.1, Lsat_1_v5_gn_6_97761.1, Lsat_1_v5_gn_6_97000.1, Lsat_1_v5_gn_6_96960.1, Lsat_1_v5_gn_1_9481.1
OG0001727	Bevul.5G118500.1.p, Bevul.5G118700.1.p	Lsat_1_v5_gn_1_56241.1
OG0001727	Bevul.4G108800.1.p	Lsat_1_v5_gn_1_25141.1, Lsat_1_v5_gn_1_87140.1
OG0001727	Bevul.7G184400.1.p, Bevul.7G184300.1.p	Lsat_1_v5_gn_7_14200.1, Lsat_1_v5_gn_4_63061.1
OG0001728	Bevul.7G098600.4.p, Bevul.7G098600.2.p, Bevul.7G098600.7.p, Bevul.7G098600.8.p, Bevul.7G098600.3.p, Bevul.7G098600.14.p, Bevul.7G098600.13.p, Bevul.7G098600.10.p, Bevul.7G098600.5.p, Bevul.7G098600.11.p, Bevul.7G098600.12.p, Bevul.7G098600.1.p, Bevul.7G098600.9.p, Bevul.7G098600.6.p	Lsat_1_v5_gn_9_43261.1, Lsat_1_v5_gn_9_43261.2, Lsat_1_v5_gn_8_164240.2, Lsat_1_v5_gn_8_164240.4, Lsat_1_v5_gn_8_164240.1, Lsat_1_v5_gn_8_164240.3
OG0001729	Bevul.3G096200.1.p	Lsat_1_v5_gn_5_172180.1, Lsat_1_v5_gn_5_72621.2, Lsat_1_v5_gn_5_72621.1, Lsat_1_v5_gn_5_71460.1, Lsat_1_v5_gn_5_72601.1, Lsat_1_v5_gn_5_72601.3, Lsat_1_v5_gn_5_71460.4, Lsat_1_v5_gn_5_71460.3, Lsat_1_v5_gn_7_62061.1, Lsat_1_v5_gn_7_62061.3, Lsat_1_v5_gn_7_62061.2, Lsat_1_v5_gn_2_69300.1
OG0001730	Bevul.4G138100.1.p	Lsat_1_v5_gn_5_186681.1, Lsat_1_v5_gn_8_91881.1, Lsat_1_v5_gn_8_91881.3
OG0001731	Bevul.4G107300.1.p	Lsat_1_v5_gn_2_105960.1, Lsat_1_v5_gn_2_106121.1, Lsat_1_v5_gn_2_106121.3
OG0001732	Bevul.4G153200.1.p	Lsat_1_v5_gn_5_74780.1, Lsat_1_v5_gn_2_64201.1
OG0001734	Bevul.2G044000.1.p	Lsat_1_v5_gn_1_115140.1
OG0001734	Bevul.3G207400.1.p	Lsat_1_v5_gn_5_158661.1
OG0001735	Bevul.2G237700.1.p	Lsat_1_v5_gn_8_12380.1
OG0001735	Bevul.5G022100.1.p	Lsat_1_v5_gn_9_25840.1, Lsat_1_v5_gn_8_71281.1
OG0001736	Bevul.3G114700.1.p	Lsat_1_v5_gn_1_74260.1, Lsat_1_v5_gn_1_74260.2
OG0001736	Bevul.9G059400.1.p	Lsat_1_v5_gn_8_76860.1, Lsat_1_v5_gn_8_76860.2, Lsat_1_v5_gn_8_76860.3, Lsat_1_v5_gn_9_20480.3, Lsat_1_v5_gn_9_20480.1
OG0001737	Bevul.3G230700.1.p	Lsat_1_v5_gn_2_47921.1, Lsat_1_v5_gn_2_47921.3
OG0001738	Bevul.3G170900.1.p	Lsat_1_v5_gn_1_72481.2, Lsat_1_v5_gn_1_72481.1
OG0001738	Bevul.7G126900.1.p	Lsat_1_v5_gn_6_60180.1
OG0001739	Bevul.7G101100.1.p	Lsat_1_v5_gn_5_190920.1, Lsat_1_v5_gn_5_190920.2, Lsat_1_v5_gn_8_163860.1
OG0001739	Bevul.7G101000.1.p	Lsat_1_v5_gn_9_5481.1, Lsat_1_v5_gn_9_5481.2
OG0001740	Bevul.9G189400.1.p	Lsat_1_v5_gn_5_131461.1, Lsat_1_v5_gn_4_87681.3, Lsat_1_v5_gn_4_87681.1
OG0001740	Bevul.8G172000.1.p	Lsat_1_v5_gn_7_44280.1, Lsat_1_v5_gn_7_44280.2
OG0001741	Bevul.9G218200.1.p	Lsat_1_v5_gn_7_83200.1
OG0001743	Bevul.5G071200.1.p, Bevul.5G071300.1.p	Lsat_1_v5_gn_4_107280.1, Lsat_1_v5_gn_4_107300.1, Lsat_1_v5_gn_4_107501.1, Lsat_1_v5_gn_4_110101.1, Lsat_1_v5_gn_4_110101.3, Lsat_1_v5_gn_4_110101.2, Lsat_1_v5_gn_4_107541.3, Lsat_1_v5_gn_4_107541.1, Lsat_1_v5_gn_4_107461.1
OG0001744	Bevul.5G130100.1.p, Bevul.7G133500.1.p, Bevul.8G097200.1.p	Lsat_1_v5_gn_8_89101.1, Lsat_1_v5_gn_8_89101.4, Lsat_1_v5_gn_8_89101.3, Lsat_1_v5_gn_8_89101.2
OG0001745	Bevul.3G059900.1.p	Lsat_1_v5_gn_6_116440.3, Lsat_1_v5_gn_6_116460.2, Lsat_1_v5_gn_6_116460.1
OG0001746	Bevul.9G139100.2.p, Bevul.9G139100.1.p	Lsat_1_v5_gn_3_46880.3, Lsat_1_v5_gn_3_46880.1
OG0001746	Bevul.6G034600.1.p	Lsat_1_v5_gn_3_73060.1, Lsat_1_v5_gn_3_73060.3
OG0001747	Bevul.1G030700.1.p	Lsat_1_v5_gn_2_6741.1
OG0001747	Bevul.6G223400.1.p	Lsat_1_v5_gn_2_75420.1, Lsat_1_v5_gn_4_143641.1, Lsat_1_v5_gn_3_71581.1
OG0001748	Bevul.8G111700.1.p	Lsat_1_v5_gn_1_24181.1, Lsat_1_v5_gn_4_130320.1
OG0001749	Bevul.6G064500.1.p	Lsat_1_v5_gn_4_167560.1
OG0001749	Bevul.6G064700.1.p	Lsat_1_v5_gn_3_91460.1, Lsat_1_v5_gn_3_91380.3, Lsat_1_v5_gn_3_91380.1, Lsat_1_v5_gn_3_91901.1, Lsat_1_v5_gn_4_167680.1
OG0001750	Bevul.9G149500.3.p, Bevul.9G149500.2.p, Bevul.9G149500.1.p	Lsat_1_v5_gn_8_65101.1, Lsat_1_v5_gn_9_104040.1, Lsat_1_v5_gn_4_71461.1, Lsat_1_v5_gn_4_71461.2
OG0001750	Bevul.1G042800.1.p	Lsat_1_v5_gn_9_45401.1
OG0001751	Bevul.6G062800.1.p	Lsat_1_v5_gn_4_144940.1, Lsat_1_v5_gn_3_71281.1, Lsat_1_v5_gn_2_75581.1
OG0001751	Bevul.1G027600.1.p	Lsat_1_v5_gn_3_71121.1, Lsat_1_v5_gn_3_71121.3, Lsat_1_v5_gn_3_71141.1, Lsat_1_v5_gn_3_71141.3
OG0001752	Bevul.1G038800.1.p	Lsat_1_v5_gn_4_70980.4
OG0001752	Bevul.9G124300.1.p, Bevul.9G124300.2.p	Lsat_1_v5_gn_8_120241.1, Lsat_1_v5_gn_8_120241.3, Lsat_1_v5_gn_4_70980.2, Lsat_1_v5_gn_4_70980.1
OG0001753	Bevul.6G020400.1.p	Lsat_1_v5_gn_2_76460.1, Lsat_1_v5_gn_2_76460.2
OG0001754	Bevul.1G107000.1.p	Lsat_1_v5_gn_1_3061.2, Lsat_1_v5_gn_1_3061.1, Lsat_1_v5_gn_9_73921.1
OG0001755	Bevul.1G077600.1.p	Lsat_1_v5_gn_8_41841.1, Lsat_1_v5_gn_8_41841.3, Lsat_1_v5_gn_3_56601.1, Lsat_1_v5_gn_3_56601.2
OG0001757	Bevul.9G216500.1.p	Lsat_1_v5_gn_7_84100.1
OG0001758	Bevul.6G076000.1.p	Lsat_1_v5_gn_3_69940.3, Lsat_1_v5_gn_3_69940.1, Lsat_1_v5_gn_3_69920.3, Lsat_1_v5_gn_3_69920.1, Lsat_1_v5_gn_2_73961.2, Lsat_1_v5_gn_2_73961.4, Lsat_1_v5_gn_2_73941.1, Lsat_1_v5_gn_2_73961.1, Lsat_1_v5_gn_2_73961.3, Lsat_1_v5_gn_3_69900.1, Lsat_1_v5_gn_3_69900.2
OG0001759	Bevul.6G021600.1.p	Lsat_1_v5_gn_4_117761.2, Lsat_1_v5_gn_4_117761.1
OG0001759	Bevul.9G168500.1.p	Lsat_1_v5_gn_9_108881.1, Lsat_1_v5_gn_7_91001.2
OG0001761	Bevul.8G006700.1.p	Lsat_1_v5_gn_7_24321.3, Lsat_1_v5_gn_7_24321.2, Lsat_1_v5_gn_7_24321.1, Lsat_1_v5_gn_1_109401.2, Lsat_1_v5_gn_1_109401.3, Lsat_1_v5_gn_1_109401.1
OG0001762	Bevul.9G096300.1.p	Lsat_1_v5_gn_8_142340.3, Lsat_1_v5_gn_8_142340.1
OG0001763	Bevul.6G049800.1.p	Lsat_1_v5_gn_9_83701.3, Lsat_1_v5_gn_9_83701.1
OG0001763	Bevul.9G034500.1.p	Lsat_1_v5_gn_7_96941.3
OG0001764	Bevul.8G083800.1.p	Lsat_1_v5_gn_2_98661.1, Lsat_1_v5_gn_7_32880.1, Lsat_1_v5_gn_7_32880.3, Lsat_1_v5_gn_7_32880.2
OG0001764	Bevul.4G087400.1.p	Lsat_1_v5_gn_5_126221.1, Lsat_1_v5_gn_5_126221.3
OG0001765	Bevul.1G006200.1.p	Lsat_1_v5_gn_1_23940.1, Lsat_1_v5_gn_4_130081.1
