Orthogroup	B_vulgaris.proteins	A_hypochondriacus.proteins
OG0000889	Bevul.4G045800.1.p	AH009949-RA
OG0000889	Bevul.8G068100.1.p	AH021555-RA, AH015202-RA
OG0000890	Bevul.9G092100.1.p	AH000249-RA, AH001413-RA
OG0000891	Bevul.8G026100.1.p	AH021652-RA, AH015230-RA
OG0000893	Bevul.1G191900.1.p	AH009553-RA
OG0000893	Bevul.5G016000.1.p	AH018103-RA, AH011328-RA
OG0000893	Bevul.3G038100.1.p	AH011986-RA, AH019680-RA
OG0000894	Bevul.9G192700.1.p	AH001969-RA
OG0000894	Bevul.8G174500.1.p	AH014035-RA, AH020718-RA
OG0000895	Bevul.5G022400.1.p	AH018045-RA
OG0000895	Bevul.7G066000.1.p	AH019629-RA, AH019628-RA
OG0000895	Bevul.3G045300.1.p	AH012049-RA
OG0000895	Bevul.3G045100.1.p, Bevul.3G045000.1.p	AH012046-RA, AH019630-RA
OG0000896	Bevul.1G180100.1.p	AH009663-RA
OG0000896	Bevul.5G028900.1.p	AH017994-RA
OG0000897	Bevul.8G144500.1.p	AH014315-RA, AH021089-RA
OG0000897	Bevul.7G166900.1.p	AH013392-RA, AH022341-RA
OG0000898	Bevul.1G194400.1.p	AH009533-RA
OG0000898	Bevul.3G033800.1.p	AH019700-RA, AH011948-RA
OG0000899	Bevul.6G003400.1.p	AH003744-RA, AH006115-RA
OG0000899	Bevul.1G001300.1.p	AH016676-RA
OG0000899	Bevul.1G181800.1.p	AH009647-RA
OG0000900	Bevul.1G146700.1.p	AH009348-RA
OG0000900	Bevul.8G039700.1.p	AH014886-RA
OG0000901	Bevul.9G204400.3.p, Bevul.9G204400.4.p, Bevul.9G204400.1.p, Bevul.9G204400.2.p	AH002075-RA
OG0000901	Bevul.8G191800.1.p	AH014198-RA
OG0000902	Bevul.8G055700.1.p	AH015007-RA
OG0000903	Bevul.7G071000.1.p	AH021948-RA
OG0000903	Bevul.2G111000.1.p, Bevul.2G111000.4.p, Bevul.2G111000.2.p, Bevul.2G111000.3.p	AH015935-RA
OG0000904	Bevul.7G034800.11.p, Bevul.7G034800.5.p, Bevul.7G034800.3.p, Bevul.7G034800.9.p, Bevul.7G034800.1.p, Bevul.7G034800.12.p, Bevul.7G034800.10.p, Bevul.7G034800.6.p, Bevul.7G034800.4.p, Bevul.7G034800.7.p, Bevul.7G034800.8.p, Bevul.7G034800.2.p	AH021849-RA, AH012664-RA
OG0000905	Bevul.8G037400.1.p	AH014870-RA
OG0000905	Bevul.5G157400.1.p	AH017347-RA
OG0000906	Bevul.7G171100.1.p	AH013363-RA
OG0000906	Bevul.7G171200.1.p	AH022216-RA, AH013361-RA
OG0000906	Bevul.6G186500.1.p, Bevul.6G186400.1.p, Bevul.6G186100.1.p, Bevul.6G186200.1.p, Bevul.6G186000.1.p	AH004807-RA
OG0000907	Bevul.2G127800.4.p, Bevul.8G143400.1.p, Bevul.2G127800.6.p, Bevul.2G127800.5.p, Bevul.2G127800.1.p, Bevul.2G127800.2.p, Bevul.2G127800.7.p, Bevul.2G127800.8.p, Bevul.2G127800.3.p	AH007372-RA
OG0000908	Bevul.2G224700.1.p	AH023009-RA, AH016455-RA
OG0000908	Bevul.7G198100.1.p	AH022698-RA
OG0000909	Bevul.8G081600.1.p	AH014741-RA
OG0000909	Bevul.3G062300.1.p	AH019801-RA
OG0000911	Bevul.8G101400.1.p	AH014347-RA
OG0000912	Bevul.5G193300.1.p	AH017607-RA
OG0000912	Bevul.2G058700.1.p	AH015760-RA
OG0000912	Bevul.6G153000.1.p	AH005089-RA
OG0000913	Bevul.6G191700.1.p	AH004772-RA
OG0000914	Bevul.7G162200.1.p	AH005560-RA, AH003998-RA
OG0000914	Bevul.9G018700.1.p, Bevul.9G018700.2.p, Bevul.9G018700.3.p	AH015826-RA, AH015827-RA
OG0000915	Bevul.5G216700.1.p	AH002509-RA, AH017951-RA
OG0000915	Bevul.6G183000.1.p	AH004841-RA
OG0000916	Bevul.8G016600.1.p	AH019177-RA
OG0000920	Bevul.3G096100.1.p	AH019414-RA, AH012149-RA
OG0000921	Bevul.3G208400.1.p, Bevul.3G208200.1.p	AH006694-RA
OG0000921	Bevul.3G208700.1.p, Bevul.3G208500.1.p	AH006691-RA, AH020449-RA
OG0000922	Bevul.4G131700.1.p	AH010767-RA
OG0000922	Bevul.5G243300.1.p	AH017761-RA
OG0000923	Bevul.5G125300.1.p	AH015441-RA
OG0000923	Bevul.5G125500.1.p	AH009255-RA
OG0000924	Bevul.5G068700.1.p, Bevul.3G221100.1.p	AH020514-RA
OG0000925	Bevul.5G125800.1.p	AH015445-RA, AH007236-RA, AH015610-RA
OG0000926	Bevul.4G071400.1.p	AH010119-RA, AH008023-RA
OG0000927	Bevul.7G226200.1.p	AH013241-RA
OG0000927	Bevul.1G197500.1.p	AH009507-RA
OG0000927	Bevul.7G025400.1.p	AH021792-RA, AH012594-RA
OG0000928	Bevul.4G160200.1.p	AH010474-RA, AH007564-RA
OG0000929	Bevul.6G230700.1.p	AH006556-RA
OG0000929	Bevul.3G224300.1.p	AH006557-RA
OG0000929	Bevul.9G225100.1.p	AH002472-RA
OG0000930	Bevul.1G020000.1.p	AH016746-RA
OG0000930	Bevul.7G205900.1.p	AH013687-RA
OG0000930	Bevul.1G166600.1.p	AH009244-RA
OG0000931	Bevul.8G203900.1.p, Bevul.8G204000.1.p	AH020923-RA
OG0000932	Bevul.4G217400.1.p	AH007497-RA
OG0000933	Bevul.3G139300.1.p	AH020094-RA
OG0000933	Bevul.4G157100.1.p, Bevul.4G156700.1.p, Bevul.4G157400.1.p	AH007560-RA
OG0000934	Bevul.3G193800.1.p	AH020388-RA
OG0000935	Bevul.6G063800.1.p	AH005938-RA, AH003615-RA
OG0000935	Bevul.1G026900.1.p	AH023717-RA
OG0000936	Bevul.9G069900.1.p	AH005683-RA, AH010172-RA
OG0000936	Bevul.6G099400.1.p	AH005852-RA, AH003920-RA
OG0000937	Bevul.1G055700.1.p	AH009402-RA
OG0000938	Bevul.1G215200.1.p	AH009012-RA, AH023605-RA
OG0000939	Bevul.7G004000.1.p	AH021704-RA
OG0000939	Bevul.8G112500.1.p	AH014631-RA, AH021188-RA
OG0000940	Bevul.7G230400.1.p	AH022396-RA
OG0000940	Bevul.7G031300.1.p	AH012637-RA, AH021837-RA
OG0000942	Bevul.5G028800.1.p	AH002457-RA
OG0000943	Bevul.3G024300.1.p	AH011889-RA
OG0000944	Bevul.1G157400.1.p	AH015606-RA
OG0000944	Bevul.3G026100.1.p	AH011878-RA, AH019730-RA
OG0000944	Bevul.6G024200.1.p	AH003805-RA
OG0000945	Bevul.6G013400.1.p	AH003871-RA, AH005703-RA
OG0000946	Bevul.1G188700.1.p	AH009587-RA
OG0000946	Bevul.1G188400.1.p, Bevul.1G188500.1.p	AH009590-RA
OG0000946	Bevul.5G019600.1.p	AH018068-RA
OG0000947	Bevul.4G009800.1.p, Bevul.4G009700.1.p	AH009769-RA
OG0000947	Bevul.8G037800.1.p	AH014875-RA
OG0000948	Bevul.2G121800.1.p	AH017013-RA, AH017012-RA
OG0000949	Bevul.5G150700.1.p	AH004913-RA, AH017175-RA, AH003005-RA, AH004500-RA
OG0000950	Bevul.8G135700.1.p	AH021127-RA
OG0000950	Bevul.8G135800.1.p	AH014562-RA
OG0000950	Bevul.4G134200.1.p, Bevul.2G137500.1.p	AH016044-RA, AH017099-RA
OG0000951	Bevul.2G128400.1.p, Bevul.2G128400.2.p, Bevul.2G128400.3.p	AH016017-RA
OG0000952	Bevul.3G210000.1.p	AH006674-RA
OG0000952	Bevul.6G142300.1.p	AH005335-RA, AH004155-RA
OG0000953	Bevul.1G067300.1.p	AH023551-RA
OG0000954	Bevul.4G108400.1.p	AH010318-RA
OG0000954	Bevul.5G113800.1.p	AH018915-RA, AH003110-RA
OG0000955	Bevul.7G052300.1.p	AH012757-RA
OG0000955	Bevul.8G068000.1.p	AH015201-RA
OG0000956	Bevul.7G004800.1.p	AH012449-RA
OG0000956	Bevul.7G224200.1.p	AH013227-RA
OG0000958	Bevul.8G022200.1.p	AH021674-RA, AH015249-RA
OG0000958	Bevul.9G078700.1.p	AH021015-RA
OG0000958	Bevul.4G067700.1.p	AH010083-RA
OG0000959	Bevul.1G006300.1.p	AH002739-RA
OG0000960	Bevul.1G113800.1.p	AH008839-RA
OG0000960	Bevul.9G212000.1.p	AH000720-RA, AH002401-RA
OG0000962	Bevul.3G091600.1.p	AH012195-RA
OG0000963	Bevul.9G143300.1.p, Bevul.9G143300.2.p	AH002202-RA
OG0000963	Bevul.9G143400.1.p	AH002201-RA, AH000879-RA
OG0000963	Bevul.2G158800.1.p, Bevul.1G021100.1.p, Bevul.1G021300.1.p, Bevul.1G021400.1.p	AH023642-RA
OG0000963	Bevul.5G122300.1.p	AH008336-RA
OG0000963	Bevul.1G210600.1.p, Bevul.8G038000.1.p	AH009397-RA
OG0000964	Bevul.6G179500.1.p	AH004814-RA
OG0000965	Bevul.2G053300.1.p	AH015734-RA
OG0000965	Bevul.6G245600.1.p	AH004666-RA
OG0000966	Bevul.2G113700.1.p	AH015989-RA
OG0000966	Bevul.2G208800.1.p, Bevul.2G208700.1.p	AH008995-RA, AH016516-RA
OG0000966	Bevul.2G208900.1.p	AH022854-RA, AH016517-RA
OG0000967	Bevul.6G108000.1.p	AH005511-RA
OG0000974	Bevul.7G171800.1.p	AH013355-RA
OG0000974	Bevul.8G134500.1.p	AH021123-RA
OG0000975	Bevul.J000100.1.p, Bevul.J000200.1.p, Bevul.3G192400.1.p, Bevul.3G192600.1.p, Bevul.3G192700.1.p, Bevul.3G192500.1.p, Bevul.3G192900.1.p	AH014335-RA, AH004708-RA, AH020381-RA, AH004727-RA, AH004720-RA, AH006704-RA, AH009923-RA
OG0000976	Bevul.4G149000.1.p	AH010567-RA
OG0000977	Bevul.5G064400.1.p	AH011368-RA, AH018193-RA
OG0000978	Bevul.4G235000.1.p	AH010993-RA
OG0000979	Bevul.3G230300.1.p	AH020559-RA
OG0000980	Bevul.2G153500.1.p, Bevul.2G153600.1.p	AH017114-RA
OG0000980	Bevul.8G203600.1.p	AH014460-RA
OG0000982	Bevul.4G108100.1.p	AH007794-RA, AH010320-RA
OG0000982	Bevul.5G114300.1.p	AH018911-RA
OG0000982	Bevul.5G113200.1.p	AH018891-RA
OG0000983	Bevul.9G236100.1.p, Bevul.9G236200.1.p	AH000971-RA
OG0000983	Bevul.7G227600.1.p	AH022409-RA
OG0000984	Bevul.4G138300.1.p	AH010822-RA
OG0000984	Bevul.7G232200.1.p	AH013291-RA, AH022389-RA, AH013293-RA
OG0000986	Bevul.1G023600.1.p	AH016762-RA, AH023651-RA, AH023650-RA
OG0000987	Bevul.1G017000.1.p	AH016694-RA, AH008329-RA
OG0000987	Bevul.9G157800.1.p	AH001718-RA
OG0000988	Bevul.1G159000.1.p	AH009719-RA
OG0000989	Bevul.1G036900.1.p, Bevul.1G035700.1.p	AH016825-RA
OG0000990	Bevul.5G143200.1.p, Bevul.4G053200.1.p	AH008076-RA
OG0000991	Bevul.9G158900.5.p, Bevul.9G158900.6.p, Bevul.9G158900.1.p, Bevul.9G158900.2.p, Bevul.9G158900.4.p, Bevul.9G158900.3.p	AH001725-RA
OG0000991	Bevul.1G173600.1.p	AH023554-RA
OG0000992	Bevul.8G074100.1.p	AH014783-RA, AH021360-RA
OG0000992	Bevul.2G203400.1.p	AH016563-RA
OG0000993	Bevul.4G112300.1.p	AH007809-RA, AH010674-RA
OG0000993	Bevul.6G071900.1.p	AH005946-RA
OG0000994	Bevul.2G180700.2.p, Bevul.2G180700.1.p, Bevul.2G180700.3.p	AH023204-RA, AH016289-RA
OG0000995	Bevul.8G213000.1.p	AH020987-RA
OG0000995	Bevul.8G003000.1.p	AH021595-RA, AH015124-RA
OG0000996	Bevul.2G166000.1.p	AH023290-RA
OG0000996	Bevul.2G166200.1.p	AH023288-RA
OG0000997	Bevul.2G239400.1.p	AH023062-RA, AH016366-RA
OG0000997	Bevul.1G178700.1.p	AH009677-RA
OG0000998	Bevul.3G032100.1.p	AH019706-RA
OG0000998	Bevul.1G077100.1.p	AH008490-RA
OG0000999	Bevul.2G177300.1.p, Bevul.2G177300.2.p	AH016268-RA
OG0000999	Bevul.9G189800.3.p, Bevul.9G189800.2.p, Bevul.9G189800.1.p	AH001952-RA
OG0001000	Bevul.3G166600.1.p	AH020218-RA, AH006967-RA
OG0001001	Bevul.1G188000.1.p	AH009594-RA
OG0001002	Bevul.8G207400.1.p	AH014418-RA, AH014419-RA
OG0001003	Bevul.2G241700.1.p	AH023088-RA
OG0001004	Bevul.6G230900.1.p	AH003252-RA, AH005022-RA
OG0001005	Bevul.5G000500.1.p	AH003175-RA, AH018625-RA, AH018626-RA
OG0001005	Bevul.1G175400.1.p	AH009702-RA
OG0001006	Bevul.9G198000.1.p	AH002018-RA
OG0001006	Bevul.9G198400.1.p, Bevul.9G198200.1.p, Bevul.9G198100.1.p	AH000990-RA
OG0001006	Bevul.9G196500.1.p	AH002015-RA
OG0001006	Bevul.2G020500.1.p	AH015366-RA
OG0001007	Bevul.5G031800.1.p	AH018650-RA, AH003163-RA
OG0001007	Bevul.1G165800.1.p	AH009252-RA
OG0001008	Bevul.5G023600.1.p	AH018037-RA
OG0001009	Bevul.7G200800.1.p, Bevul.7G201000.1.p, Bevul.6G201300.1.p	AH022585-RA
OG0001009	Bevul.7G201100.1.p, Bevul.7G200900.1.p	AH013731-RA
OG0001009	Bevul.6G201200.1.p	AH022584-RA
OG0001009	Bevul.7G201200.1.p	AH013730-RA
OG0001009	Bevul.7G200700.1.p, Bevul.6G201400.1.p	AH013733-RA, AH013732-RA, AH013737-RA, AH013736-RA, AH013781-RA, AH013729-RA
OG0001010	Bevul.3G178800.1.p	AH020302-RA
OG0001011	Bevul.7G170400.1.p	AH013367-RA, AH022218-RA
OG0001012	Bevul.2G025100.1.p, Bevul.2G025100.2.p	AH019262-RA
OG0001013	Bevul.7G188800.1.p	AH013820-RA, AH015590-RA
OG0001013	Bevul.2G243600.1.p	AH023105-RA, AH016384-RA
OG0001015	Bevul.9G047500.2.p, Bevul.9G047500.1.p, Bevul.9G047500.4.p, Bevul.9G047500.3.p	AH000187-RA
OG0001016	Bevul.4G107100.1.p	AH007788-RA
OG0001017	Bevul.9G083600.2.p, Bevul.9G083600.1.p	AH000283-RA
OG0001018	Bevul.9G067700.1.p	AH000257-RA, AH001276-RA
OG0001020	Bevul.6G203200.1.p	AH004562-RA, AH004561-RA
OG0001021	Bevul.5G221700.1.p, Bevul.4G129600.1.p	AH017287-RA, AH002744-RA
OG0001022	Bevul.2G215600.1.p, Bevul.2G215700.1.p, Bevul.2G215900.1.p, Bevul.2G215800.1.p	AH022913-RA
OG0001022	Bevul.4G067300.1.p, Bevul.2G216000.1.p	AH022908-RA
OG0001023	Bevul.8G144600.1.p	AH014316-RA
OG0001023	Bevul.8G144700.1.p	AH014317-RA
OG0001024	Bevul.6G078500.1.p	AH004034-RA, AH005537-RA
OG0001026	Bevul.2G065800.1.p	AH019124-RA
OG0001026	Bevul.2G062100.1.p, Bevul.2G062100.2.p	AH015781-RA, AH015782-RA
OG0001026	Bevul.2G062000.1.p	AH018951-RA
OG0001026	Bevul.6G052100.1.p, Bevul.5G245800.1.p	AH002647-RA
OG0001027	Bevul.6G246700.1.p	AH004656-RA
OG0001028	Bevul.8G105700.1.p	AH007056-RA, AH019832-RA
OG0001029	Bevul.6G081500.1.p	AH005550-RA
OG0001029	Bevul.5G178800.1.p	AH002878-RA, AH017514-RA
OG0001030	Bevul.3G013500.1.p	AH007241-RA
OG0001031	Bevul.3G074600.1.p, Bevul.1G163700.1.p	AH012205-RB, AH012205-RA, AH012248-RA, AH012332-RA, AH022544-RA, AH012204-RA, AH012207-RA, AH001133-RA, AH012206-RA, AH012203-RA, AH009153-RA, AH001206-RA, AH012247-RA, AH012243-RA, AH012233-RA, AH012179-RA, AH017829-RA, AH017833-RA, AH017834-RA, AH017831-RA, AH021996-RA, AH005984-RA, AH022464-RA, AH022463-RA, AH021464-RA, AH019424-RA, AH010079-RA, AH019207-RA, AH018917-RA, AH018899-RA, AH018893-RA, AH018919-RA, AH018894-RA, AH018897-RA, AH017830-RA, AH017832-RA, AH001204-RA, AH009154-RA, AH012249-RA, AH012176-RA, AH012178-RA, AH012234-RA, AH012217-RA, AH018898-RA, AH012157-RA, AH010078-RA
OG0001037	Bevul.3G131700.1.p	AH020150-RA, AH011835-RA
OG0001038	Bevul.5G012300.1.p	AH003043-RA, AH018864-RA, AH018862-RA
OG0001039	Bevul.9G059300.1.p, Bevul.9G201500.1.p	AH000101-RA, AH001293-RA
OG0001039	Bevul.7G063400.1.p	AH012796-RA
OG0001040	Bevul.6G243400.1.p	AH004683-RA
OG0001040	Bevul.5G052400.1.p	AH018815-RA, AH003066-RA
OG0001041	Bevul.7G204100.1.p	AH013706-RA, AH022551-RA
OG0001042	Bevul.7G208100.1.p, Bevul.7G208200.1.p	AH022521-RA, AH013663-RA
OG0001043	Bevul.4G093900.1.p	AH022186-RA
OG0001043	Bevul.8G197500.1.p	AH014506-RA
OG0001044	Bevul.7G054300.1.p	AH022004-RA, AH012767-RA
OG0001045	Bevul.7G096900.1.p	AH022111-RA, AH012922-RA
OG0001045	Bevul.4G203100.1.p	AH007610-RA
OG0001046	Bevul.5G050700.1.p	AH018798-RA, AH015860-RA
OG0001046	Bevul.9G080400.1.p	AH000304-RA
OG0001047	Bevul.2G054700.1.p	AH019370-RA
OG0001047	Bevul.8G178100.1.p	AH014081-RA, AH020727-RA
OG0001047	Bevul.7G065800.1.p	AH012801-RA
OG0001048	Bevul.3G206500.1.p	AH006702-RA, AH020456-RA
OG0001049	Bevul.7G184700.1.p	AH013877-RA
OG0001050	Bevul.6G034400.1.p	AH006441-RA
OG0001050	Bevul.1G024200.1.p	AH023655-RA
OG0001051	Bevul.2G138200.1.p	AH002743-RA, AH017286-RA
OG0001052	Bevul.1G111400.1.p	AH008801-RA
OG0001052	Bevul.4G186200.1.p	AH003285-RA
OG0001053	Bevul.9G190100.7.p, Bevul.9G190100.12.p, Bevul.9G190100.5.p, Bevul.9G190100.2.p, Bevul.9G190100.4.p, Bevul.9G190100.3.p, Bevul.9G190100.9.p, Bevul.9G190100.11.p, Bevul.9G190100.8.p, Bevul.9G190100.6.p, Bevul.9G190100.10.p, Bevul.9G190100.1.p	AH001950-RA, AH000607-RA
OG0001054	Bevul.5G038400.1.p	AH003184-RA
OG0001054	Bevul.6G066400.1.p	AH006029-RA
OG0001054	Bevul.9G148500.1.p, Bevul.9G148300.1.p, Bevul.9G148100.1.p	AH000916-RA, AH006723-RA
OG0001055	Bevul.9G168600.1.p	AH010816-RA, AH001798-RA
OG0001056	Bevul.4G120900.1.p	AH010702-RA, AH007848-RA
OG0001056	Bevul.2G090300.1.p	AH021197-RA, AH014620-RA
OG0001057	Bevul.1G109600.1.p	AH008820-RA
OG0001057	Bevul.9G212900.1.p	AH002407-RA, AH000724-RA
OG0001058	Bevul.2G046300.1.p	AH017346-RA
OG0001058	Bevul.1G107300.1.p	AH008698-RA
OG0001058	Bevul.6G195400.1.p	AH004752-RA
OG0001059	Bevul.5G203000.1.p	AH017341-RA, AH002759-RA
OG0001060	Bevul.7G109000.1.p, Bevul.5G201200.1.p, Bevul.5G201100.1.p, Bevul.5G200800.1.p, Bevul.5G200900.1.p, Bevul.5G201000.1.p	AH017647-RA
OG0001062	Bevul.9G116100.2.p, Bevul.9G116100.4.p, Bevul.9G116100.3.p, Bevul.9G116100.1.p, Bevul.9G116100.5.p	AH000503-RA, AH001574-RA
OG0001063	Bevul.1G086000.1.p	AH008625-RA, AH008626-RA
OG0001064	Bevul.9G206800.1.p	AH002099-RA
OG0001064	Bevul.8G195300.1.p	AH014518-RA, AH020871-RA
OG0001065	Bevul.9G226100.2.p, Bevul.9G226100.1.p	AH000655-RA
OG0001065	Bevul.2G168900.1.p	AH023284-RA, AH016225-RA
OG0001066	Bevul.2G169500.4.p, Bevul.2G169500.1.p, Bevul.2G169500.2.p, Bevul.2G169500.3.p	AH023279-RA, AH023283-RA, AH016227-RA
OG0001067	Bevul.6G248200.1.p	AH004643-RA, AH004700-RA
OG0001067	Bevul.5G202400.1.p	AH017255-RA, AH002765-RA
OG0001068	Bevul.3G076200.1.p	AH019530-RA, AH012352-RA
OG0001069	Bevul.3G039400.1.p	AH011997-RA
OG0001069	Bevul.1G191100.1.p	AH016305-RA
OG0001070	Bevul.9G101400.1.p	AH000393-RA, AH001453-RA
OG0001070	Bevul.7G043800.1.p	AH012697-RA, AH021874-RA
OG0001071	Bevul.7G062800.7.p, Bevul.7G062800.6.p, Bevul.7G062800.8.p, Bevul.7G062800.9.p, Bevul.7G062800.1.p, Bevul.7G062800.5.p, Bevul.7G062800.3.p, Bevul.7G062800.4.p, Bevul.7G062800.2.p	AH012794-RA
OG0001072	Bevul.8G091000.1.p	AH010282-RA
OG0001072	Bevul.4G090300.1.p	AH007944-RA
OG0001073	Bevul.3G224600.1.p	AH006552-RA
OG0001074	Bevul.1G202100.1.p, Bevul.1G202000.1.p	AH009467-RA
OG0001075	Bevul.3G046800.1.p	AH016701-RA, AH012074-RA, AH019618-RA
OG0001076	Bevul.4G128800.1.p	AH010746-RA, AH007881-RA
OG0001077	Bevul.2G250800.3.p, Bevul.2G250800.2.p, Bevul.2G250800.4.p, Bevul.2G250800.1.p	AH016316-RA
OG0001078	Bevul.5G175000.1.p	AH017489-RA
OG0001079	Bevul.5G185700.1.p	AH017564-RA, AH002840-RA
OG0001080	Bevul.5G084100.1.p	AH018328-RA
OG0001082	Bevul.5G122800.1.p	AH019060-RA, AH019061-RA, AH003097-RA
OG0001083	Bevul.5G183400.1.p	AH002859-RA, AH017552-RA
OG0001084	Bevul.1G088900.1.p, Bevul.5G111200.1.p, Bevul.6G199600.1.p, Bevul.1G102900.1.p, Bevul.4G200400.1.p	AH000959-RA, AH023579-RA, AH023473-RA
OG0001084	Bevul.9G076000.1.p	AH001013-RA, AH005857-RA, AH003633-RA, AH006181-RA, AH009138-RA, AH008993-RA, AH005853-RA, AH007205-RA, AH019002-RA, AH016670-RA, AH016747-RA, AH014113-RA, AH020663-RA, AH000961-RA, AH002491-RA, AH004587-RA, AH014136-RA, AH019465-RA, AH000940-RA, AH008962-RA, AH019492-RA, AH014150-RA, AH020662-RA, AH015647-RA, AH000939-RA, AH016669-RA, AH000960-RA
OG0001085	Bevul.9G002600.1.p, Bevul.9G009400.1.p, Bevul.9G009400.2.p, Bevul.9G002900.1.p	AH022566-RA, AH022569-RA, AH022571-RA, AH022565-RA, AH022563-RA, AH022545-RA, AH022568-RA, AH000637-RA
OG0001085	Bevul.9G041800.1.p, Bevul.9G041900.1.p	AH001661-RA, AH001663-RA
OG0001085	Bevul.9G196200.1.p	AH002001-RA
OG0001086	Bevul.1G212200.1.p	AH009366-RA
OG0001086	Bevul.1G211900.1.p	AH009364-RA
OG0001092	Bevul.2G243800.3.p, Bevul.2G243800.1.p, Bevul.2G243800.2.p, Bevul.2G243800.4.p	AH016385-RA
OG0001094	Bevul.2G044900.1.p	AH015698-RA
OG0001094	Bevul.2G045000.1.p, Bevul.2G045200.1.p	AH019173-RA, AH015699-RA
OG0001094	Bevul.4G224600.1.p, Bevul.4G226800.1.p	AH011026-RA
OG0001095	Bevul.2G241500.1.p, Bevul.2G241400.1.p	AH023086-RA
OG0001095	Bevul.7G086400.1.p	AH012875-RA
OG0001096	Bevul.4G213300.1.p	AH011126-RA
OG0001096	Bevul.4G240200.1.p	AH010935-RA
OG0001097	Bevul.7G203000.1.p	AH022557-RA
OG0001097	Bevul.6G204600.1.p	AH002582-RA, AH017924-RA
OG0001098	Bevul.8G103900.1.p, Bevul.8G103800.1.p, Bevul.7G052900.1.p	AH012761-RA, AH021226-RA
OG0001099	Bevul.3G232600.1.p	AH020576-RA, AH006491-RA
OG0001099	Bevul.5G177500.1.p	AH002885-RA
OG0001100	Bevul.6G131300.1.p	AH005467-RA
OG0001100	Bevul.2G175300.2.p, Bevul.2G175300.1.p, Bevul.2G175300.3.p	AH023245-RA
OG0001102	Bevul.9G218800.1.p, Bevul.9G218900.2.p, Bevul.9G218900.1.p	AH002437-RA
OG0001102	Bevul.6G227300.1.p	AH004330-RA
OG0001103	Bevul.9G159400.1.p, Bevul.1G174400.1.p	AH008942-RA
OG0001107	Bevul.8G148300.1.p	AH014299-RA
OG0001107	Bevul.7G162900.1.p, Bevul.7G162800.1.p	AH013425-RA
OG0001108	Bevul.9G064100.1.p	AH001285-RA, AH000239-RA
OG0001108	Bevul.8G051500.1.p	AH014965-RA, AH021490-RA
OG0001109	Bevul.7G173800.1.p	AH022211-RA, AH013337-RA
OG0001110	Bevul.3G084200.1.p	AH012288-RA
OG0001110	Bevul.5G041000.1.p	AH018727-RA
OG0001111	Bevul.7G173500.1.p	AH013340-RA
OG0001111	Bevul.2G140900.1.p	AH016064-RA
OG0001111	Bevul.8G131600.1.p	AH014211-RA
OG0001113	Bevul.2G133600.1.p	AH016027-RA, AH017036-RA
OG0001113	Bevul.5G181800.1.p	AH002866-RA
OG0001114	Bevul.1G168300.1.p	AH009228-RA
OG0001115	Bevul.2G172200.2.p, Bevul.2G172200.1.p	AH016248-RA
OG0001116	Bevul.2G164000.2.p, Bevul.2G164000.3.p, Bevul.2G164000.1.p	AH023316-RA
OG0001117	Bevul.2G133500.7.p, Bevul.2G133500.2.p, Bevul.2G133500.3.p, Bevul.2G133500.6.p, Bevul.2G133500.5.p, Bevul.2G133500.4.p, Bevul.2G133500.1.p	AH016026-RA, AH017035-RA
OG0001118	Bevul.9G054000.2.p, Bevul.9G054000.3.p, Bevul.9G054000.1.p, Bevul.9G054000.4.p	AH001326-RA, AH000153-RA
OG0001119	Bevul.2G109800.6.p, Bevul.2G109800.7.p, Bevul.2G109800.5.p, Bevul.2G109800.2.p, Bevul.2G109800.3.p, Bevul.2G109800.4.p, Bevul.2G109800.1.p	AH015942-RA
OG0001120	Bevul.6G240400.1.p	AH005099-RA, AH004603-RA
OG0001121	Bevul.7G208700.1.p	AH013657-RA
OG0001121	Bevul.2G099500.1.p	AH023457-RA
OG0001122	Bevul.8G079600.1.p	AH014754-RA
OG0001123	Bevul.3G173700.1.p	AH006921-RA, AH020258-RA
OG0001124	Bevul.8G165700.1.p	AH013963-RA
OG0001124	Bevul.2G174100.1.p	AH023252-RA, AH016259-RA
OG0001125	Bevul.2G063300.1.p, Bevul.2G063300.2.p	AH015790-RA
OG0001125	Bevul.3G042800.1.p	AH012028-RA
OG0001126	Bevul.1G071500.1.p, Bevul.1G071700.1.p, Bevul.1G071600.1.p	AH008528-RA
OG0001126	Bevul.1G071200.1.p	AH008529-RA, AH008530-RA
OG0001128	Bevul.1G054200.1.p	AH016955-RA
OG0001129	Bevul.6G211100.1.p	AH004516-RA
OG0001129	Bevul.2G082800.1.p, Bevul.2G082800.2.p	AH015879-RA
OG0001130	Bevul.6G172400.1.p	AH004473-RA, AH004879-RA
OG0001131	Bevul.2G200700.1.p	AH022782-RA, AH016587-RA
OG0001131	Bevul.5G173500.1.p	AH002901-RA, AH017471-RA
OG0001132	Bevul.2G213900.1.p	AH016532-RA, AH022880-RA
OG0001132	Bevul.6G128500.1.p	AH004159-RA, AH005388-RA
OG0001133	Bevul.2G078700.1.p	AH015851-RA
OG0001133	Bevul.6G144900.1.p	AH004152-RA, AH005363-RA
OG0001134	Bevul.6G239700.1.p	AH005090-RA
OG0001135	Bevul.9G017000.3.p, Bevul.9G017000.2.p, Bevul.9G017000.5.p, Bevul.9G017000.4.p, Bevul.9G017000.6.p, Bevul.9G017000.1.p	AH001124-RA, AH000067-RA
