Orthogroup	S_lycopersicum.proteins	A_vesiculosa.proteins
OG0000434	Solyc09g060090.3.1	Av_00001463-RA, Av_00002248-RA
OG0000435	Solyc09g089590.1.1, Solyc06g053720.2.1	Av_00019216-RA
OG0000435	Solyc09g011120.1.1, Solyc00g015730.2.1, Solyc08g077000.1.1, Solyc06g061160.1.1	Av_00002304-RA
OG0000437	Solyc02g085500.3.1, Solyc03g034100.3.1	Av_00001879-RA
OG0000437	Solyc10g082050.1.1, Solyc01g007800.3.1	Av_00012626-RA, Av_00024237-RA, Av_00022960-RA
OG0000438	Solyc12g088740.2.1, Solyc04g078680.3.1	Av_00016005-RA, Av_00004190-RA, Av_00010804-RA, Av_00010218-RA
OG0000440	Solyc02g062400.3.1, Solyc02g084680.2.1	Av_00016320-RA, Av_00000465-RA, Av_00021580-RA, Av_00024180-RA, Av_00024704-RA
OG0000440	Solyc10g054070.1.1	Av_00000964-RA
OG0000441	Solyc10g006050.3.1, Solyc12g014600.2.1	Av_00015730-RA, Av_00002542-RA, Av_00000151-RA, Av_00011558-RA
OG0000441	Solyc11g012470.2.1, Solyc04g014820.3.1	Av_00021925-RA, Av_00008973-RA, Av_00003711-RA, Av_00007458-RA
OG0000441	Solyc12g006180.2.1, Solyc07g048030.3.1	Av_00011712-RA
OG0000442	Solyc10g006270.3.1, Solyc07g064680.3.1	Av_00011953-RA, Av_00012730-RA, Av_00013099-RA
OG0000443	Solyc07g045340.3.1, Solyc12g006080.2.1, Solyc07g065640.3.1	Av_00015721-RA, Av_00003056-RA, Av_00018657-RA, Av_00008400-RA
OG0000443	Solyc02g093670.3.1	Av_00021849-RA
OG0000444	Solyc06g062540.3.1, Solyc06g062560.2.1, Solyc06g062550.4.1, Solyc03g121420.3.1	Av_00006775-RA
OG0000445	Solyc12g009580.2.1	Av_00009049-RA, Av_00021639-RA, Av_00003792-RA, Av_00004904-RA, Av_00004021-RA, Av_00012145-RA
OG0000446	Solyc05g010240.3.1	Av_00021504-RA
OG0000446	Solyc01g028810.3.1	Av_00004346-RA, Av_00013676-RA, Av_00006496-RA
OG0000450	Solyc12g013960.2.1, Solyc07g055140.3.1	Av_00008457-RA, Av_00021514-RA, Av_00017393-RA
OG0000450	Solyc02g076680.3.1	Av_00008706-RA, Av_00023114-RA
OG0000453	Solyc09g011960.2.1	Av_00017840-RA
OG0000453	Solyc09g011970.2.1	Av_00014071-RA
OG0000454	Solyc11g068370.2.1	Av_00017352-RA, Av_00008491-RA
OG0000455	Solyc01g104780.3.1	Av_00011074-RA, Av_00007262-RA, Av_00018315-RA
OG0000456	Solyc05g007960.3.1	Av_00006339-RA, Av_00002579-RA, Av_00018448-RA
OG0000456	Solyc04g045470.3.1	Av_00014616-RA, Av_00008579-RA
OG0000457	Solyc04g079840.3.1	Av_00016437-RA, Av_00020763-RA, Av_00016436-RA
OG0000457	Solyc02g089930.3.1	Av_00012490-RA, Av_00016375-RA
OG0000458	Solyc12g057110.2.1, Solyc04g012120.3.1, Solyc11g010200.2.1, Solyc04g074510.3.1	Av_00010950-RA, Av_00015271-RA, Av_00013989-RA, Av_00003163-RA
OG0000458	Solyc03g034180.3.1, Solyc02g063070.3.1	Av_00008833-RA, Av_00009123-RA, Av_00005399-RA, Av_00007607-RA
OG0000459	Solyc02g078780.3.1	Av_00022095-RA
OG0000459	Solyc12g010745.1.1	Av_00021434-RA
OG0000460	Solyc10g005880.3.1, Solyc07g065890.3.1	Av_00021304-RA
OG0000460	Solyc02g067880.2.1	Av_00000320-RA
OG0000460	Solyc06g065580.3.1	Av_00011607-RA
OG0000461	Solyc06g051840.1.1, Solyc03g007460.2.1	Av_00001649-RA, Av_00022254-RA, Av_00022901-RA, Av_00009199-RA
OG0000461	Solyc01g095500.3.1	Av_00000025-RA, Av_00011418-RA, Av_00010274-RA, Av_00017424-RA, Av_00003247-RA, Av_00013943-RA
OG0000461	Solyc08g081960.2.1	Av_00005496-RA, Av_00020832-RA, Av_00010442-RA
OG0000462	Solyc09g007810.3.1	Av_00021350-RA, Av_00018395-RA, Av_00012568-RA, Av_00002881-RA
OG0000462	Solyc10g086130.2.1	Av_00001156-RA, Av_00014351-RA
OG0000463	Solyc03g007280.3.1	Av_00001653-RA, Av_00009439-RA
OG0000463	Solyc01g044270.3.1	Av_00021832-RA, Av_00012240-RA
OG0000467	Solyc11g062130.2.1, Solyc11g062190.2.1, Solyc01g087070.3.1	Av_00011864-RA, Av_00007003-RA, Av_00014912-RA
OG0000467	Solyc07g053830.3.1	Av_00017440-RA, Av_00023240-RA
OG0000469	Solyc09g065410.3.1, Solyc06g084190.3.1	Av_00021799-RA
OG0000470	Solyc11g007220.2.1, Solyc11g007210.2.1, Solyc05g055320.3.1	Av_00021051-RA, Av_00006931-RA, Av_00014845-RA, Av_00016631-RA, Av_00016632-RA, Av_00001334-RA
OG0000472	Solyc02g086660.3.1, Solyc12g035130.2.1	Av_00011761-RA, Av_00022832-RA
OG0000472	Solyc01g057760.3.1	Av_00013542-RA, Av_00001562-RA
OG0000473	Solyc09g074330.3.1	Av_00020704-RA, Av_00012711-RA
OG0000475	Solyc07g065660.3.1	Av_00024012-RA, Av_00013033-RA, Av_00015720-RA
OG0000477	Solyc02g014490.3.1, Solyc02g014530.3.1	Av_00009071-RA
OG0000477	Solyc07g065120.3.1, Solyc12g014570.2.1	Av_00000154-RA, Av_00011561-RA, Av_00002519-RA, Av_00003066-RA
OG0000480	Solyc03g120930.1.1, Solyc06g066500.1.1, Solyc06g066520.1.1, Solyc06g066490.1.1, Solyc06g066510.1.1, Solyc12g044420.1.1	Av_00018127-RA, Av_00024727-RA, Av_00004131-RA
OG0000481	Solyc04g072580.1.1, Solyc04g072605.1.1, Solyc07g045160.3.1	Av_00019078-RA, Av_00006297-RA, Av_00019287-RA, Av_00008891-RA
OG0000481	Solyc03g093520.3.1	Av_00018125-RA
OG0000481	Solyc08g066100.3.1, Solyc12g095880.2.1	Av_00004637-RA
OG0000482	Solyc06g070950.2.1, Solyc06g070920.3.1	Av_00009306-RA
OG0000483	Solyc10g084340.2.1, Solyc09g007260.3.1	Av_00016417-RA, Av_00013450-RA
OG0000483	Solyc04g049800.3.1	Av_00007071-RA, Av_00003554-RA
OG0000484	Solyc11g069350.2.1, Solyc06g016770.3.1	Av_00004733-RA, Av_00016926-RA
OG0000485	Solyc05g010120.3.1, Solyc04g006940.3.1	Av_00006371-RA, Av_00003296-RA, Av_00016997-RA
OG0000485	Solyc02g086800.3.1	Av_00007812-RA
OG0000488	Solyc01g060085.1.1	Av_00001028-RA
OG0000488	Solyc04g039840.1.1	Av_00023886-RA
OG0000488	Solyc12g062540.2.1	Av_00019433-RA
OG0000488	Solyc00g203660.2.1, Solyc12g062550.1.1	Av_00024946-RA
OG0000489	Solyc11g020280.2.1, Solyc06g065260.3.1	Av_00014623-RA
OG0000490	Solyc09g065550.3.1	Av_00002325-RA, Av_00000819-RA, Av_00004807-RA, Av_00003422-RA, Av_00001434-RA
OG0000491	Solyc03g110900.3.1	Av_00009261-RA, Av_00011012-RA, Av_00011199-RA, Av_00013816-RA
OG0000492	Solyc05g052610.3.1, Solyc03g096350.3.1	Av_00003867-RA, Av_00005014-RA
OG0000494	Solyc12g008750.2.1, Solyc02g085570.3.1, Solyc02g062920.3.1	Av_00009860-RA, Av_00011070-RA, Av_00018319-RA, Av_00024395-RA, Av_00001880-RA
OG0000495	Solyc08g079020.3.1	Av_00018580-RA, Av_00010693-RA, Av_00005451-RA, Av_00003025-RA
OG0000496	Solyc09g063060.3.1, Solyc06g083650.3.1	Av_00004847-RA, Av_00000763-RA
OG0000496	Solyc04g050570.3.1, Solyc04g050730.3.1	Av_00006957-RA, Av_00011804-RA, Av_00006590-RA, Av_00016646-RA
OG0000497	Solyc03g124110.2.1, Solyc03g026280.3.1, Solyc03g026270.3.1	Av_00009164-RA, Av_00009383-RA
OG0000498	Solyc12g007130.2.1	Av_00020929-RA, Av_00008871-RA
OG0000498	Solyc04g051340.3.1, Solyc04g071710.3.1	Av_00001896-RA
OG0000499	Solyc01g102750.3.1, Solyc01g102760.3.1	Av_00023108-RA, Av_00019995-RA
OG0000500	Solyc01g068560.3.1	Av_00003741-RA, Av_00007433-RA
OG0000501	Solyc05g023767.1.1	Av_00002764-RA
OG0000501	Solyc10g037930.1.1	Av_00016263-RA
OG0000501	Solyc03g118390.3.1	Av_00009242-RA, Av_00015034-RA
OG0000502	Solyc02g089970.3.1	Av_00024904-RA
OG0000503	Solyc06g071020.3.1, Solyc03g113150.3.1	Av_00013797-RA, Av_00001752-RA
OG0000503	Solyc03g058910.3.1	Av_00015504-RA
OG0000503	Solyc05g007085.1.1, Solyc01g010740.3.1	Av_00024052-RA, Av_00023343-RA
OG0000504	Solyc06g005250.3.1	Av_00021476-RA, Av_00002662-RA
OG0000504	Solyc03g112840.2.1, Solyc06g071540.3.1	Av_00010557-RA, Av_00013849-RA, Av_00011301-RA
OG0000509	Solyc11g069820.2.1, Solyc06g075020.3.1	Av_00016912-RA
OG0000509	Solyc09g008000.3.1	Av_00015708-RA, Av_00018389-RA, Av_00018706-RA
OG0000510	Solyc01g066910.3.1	Av_00001401-RA
OG0000511	Solyc09g097980.3.1, Solyc09g097960.3.1, Solyc09g097970.3.1, Solyc09g098000.3.1	Av_00003497-RA, Av_00013032-RA, Av_00024013-RA, Av_00020569-RA
OG0000512	Solyc02g090390.3.1, Solyc11g027930.1.1	Av_00017950-RA, Av_00002018-RA, Av_00007732-RA, Av_00000288-RA
OG0000513	Solyc04g078740.2.1, Solyc12g088760.1.1, Solyc12g088770.1.1	Av_00007905-RA
OG0000514	Solyc02g082700.3.1	Av_00019428-RA, Av_00012106-RA, Av_00004866-RA, Av_00004069-RA, Av_00003757-RA, Av_00009009-RA, Av_00021608-RA
OG0000515	Solyc10g047170.2.1	Av_00019050-RA
OG0000516	Solyc07g055060.3.1	Av_00002344-RA, Av_00012646-RA, Av_00015306-RA, Av_00022288-RA
OG0000517	Solyc02g079170.3.1	Av_00003664-RA
OG0000517	Solyc07g054640.1.1, Solyc10g008630.3.1	Av_00013112-RA
OG0000519	Solyc12g043000.2.1, Solyc03g120270.3.1, Solyc06g066730.3.1	Av_00022838-RA, Av_00018150-RA
OG0000520	Solyc09g055930.3.1	Av_00009728-RA
OG0000520	Solyc03g083900.3.1	Av_00001583-RA, Av_00013569-RA
OG0000520	Solyc08g079090.3.1	Av_00006071-RA, Av_00010697-RA, Av_00010374-RA
OG0000521	Solyc10g009430.3.1, Solyc01g011490.1.1, Solyc01g011430.3.1	Av_00008601-RA, Av_00014643-RA
OG0000521	Solyc03g083380.3.1	Av_00001658-RA, Av_00009453-RA, Av_00009206-RA
OG0000522	Solyc05g026210.1.1, Solyc05g026220.2.1, Solyc05g006730.3.1, Solyc05g006750.3.1, Solyc05g006740.3.1	Av_00006440-RA, Av_00015499-RA, Av_00016954-RA
OG0000523	Solyc05g010590.3.1	Av_00015534-RA
OG0000523	Solyc02g065660.3.1	Av_00005791-RA, Av_00005792-RA
OG0000528	Solyc11g073060.2.1, Solyc06g075780.2.1	Av_00018633-RA, Av_00022455-RA
OG0000529	Solyc08g062070.1.1, Solyc08g077600.1.1, Solyc08g077670.2.1, Solyc08g074710.1.1, Solyc08g061350.1.1, Solyc01g049740.1.1, Solyc08g077590.1.1, Solyc08g061340.1.1, Solyc08g022040.1.1, Solyc03g061640.1.1, Solyc08g061420.1.1, Solyc08g062060.1.1, Solyc08g061370.1.1, Solyc08g062080.1.1, Solyc08g061390.2.1, Solyc08g062040.1.1, Solyc08g074705.1.1, Solyc01g060460.2.1, Solyc01g060455.1.1, Solyc08g077690.3.1, Solyc08g077685.1.1, Solyc01g068300.2.1, Solyc08g061400.1.1, Solyc03g061630.1.1, Solyc08g077660.1.1, Solyc08g077640.2.1, Solyc08g077580.2.1, Solyc08g062050.1.1, Solyc08g077570.2.1, Solyc08g061990.1.1, Solyc08g062000.2.1, Solyc08g061410.2.1, Solyc08g077610.2.1, Solyc02g033050.2.1, Solyc01g068320.2.1, Solyc04g054440.2.1	Av_00000519-RA
OG0000530	Solyc01g097120.3.1	Av_00016242-RA
OG0000531	Solyc03g098050.3.1	Av_00004742-RA
OG0000531	Solyc10g081170.2.1	Av_00023468-RA, Av_00020292-RA, Av_00003499-RA
OG0000532	Solyc09g066350.1.1	Av_00002299-RA, Av_00009691-RA
OG0000533	Solyc05g042020.1.1	Av_00003225-RA
OG0000534	Solyc01g005180.1.1, Solyc11g007100.1.1	Av_00005079-RA, Av_00015660-RA, Av_00002930-RA, Av_00012609-RA, Av_00010280-RA, Av_00018031-RA
OG0000534	Solyc08g079690.3.1, Solyc08g007570.3.1	Av_00014556-RA
OG0000535	Solyc05g008770.3.1	Av_00006936-RA, Av_00006938-RA
OG0000536	Solyc06g074930.2.1, Solyc11g069070.2.1	Av_00022874-RA, Av_00010137-RA, Av_00010136-RA
OG0000536	Solyc09g008200.3.1, Solyc10g086280.2.1, Solyc10g084000.2.1	Av_00019328-RA, Av_00013480-RA, Av_00021179-RA, Av_00024343-RA, Av_00011733-RA
OG0000537	Solyc01g106720.1.1	Av_00007290-RA, Av_00008832-RA, Av_00024534-RA, Av_00023482-RA
OG0000537	Solyc01g106710.1.1	Av_00004615-RA, Av_00004618-RA
OG0000538	Solyc06g053560.3.1, Solyc09g090250.3.1	Av_00019203-RA, Av_00000579-RA
OG0000539	Solyc04g074840.3.1, Solyc04g074850.3.1	Av_00013985-RA, Av_00003168-RA, Av_00015266-RA
OG0000539	Solyc11g010380.2.1	Av_00000374-RA
OG0000541	Solyc11g009090.2.1	Av_00001841-RA, Av_00013716-RA, Av_00021697-RA
OG0000541	Solyc03g094060.3.1, Solyc03g094040.3.1, Solyc03g094080.3.1	Av_00014055-RA
OG0000541	Solyc10g047360.2.1	Av_00015956-RA
OG0000542	Solyc11g011310.2.1, Solyc04g014440.3.1	Av_00014220-RA, Av_00000416-RA
OG0000542	Solyc12g088050.2.1, Solyc04g076630.3.1, Solyc04g076640.2.1, Solyc04g076660.3.1, Solyc04g076650.2.1	Av_00008900-RA, Av_00019080-RA
OG0000543	Solyc04g072020.3.1	Av_00003864-RA
OG0000544	Solyc02g093410.3.1	Av_00010475-RA, Av_00017647-RA, Av_00007698-RA
OG0000544	Solyc09g018060.3.1	Av_00010309-RA
OG0000545	Solyc03g006570.3.1	Av_00003656-RA
OG0000545	Solyc02g050280.3.1	Av_00023659-RA, Av_00004695-RA
OG0000548	Solyc08g069120.3.1	Av_00008314-RA
OG0000550	Solyc10g074890.2.1	Av_00002979-RA, Av_00005419-RA
OG0000551	Solyc01g087640.3.1	Av_00005809-RA
OG0000554	Solyc03g058470.2.1	Av_00010495-RA, Av_00021137-RA
OG0000558	Solyc09g082370.3.1, Solyc06g054010.3.1	Av_00020642-RA, Av_00000613-RA
OG0000558	Solyc09g065480.2.1	Av_00004809-RA, Av_00003421-RA, Av_00009714-RA, Av_00023834-RA
OG0000559	Solyc09g063015.1.1, Solyc06g008030.3.1, Solyc09g063010.3.1	Av_00002240-RA
OG0000560	Solyc01g008600.3.1, Solyc11g065320.2.1	Av_00014404-RA, Av_00001208-RA, Av_00011856-RA, Av_00006997-RA, Av_00016550-RA, Av_00006538-RA
OG0000561	Solyc02g070970.1.1, Solyc02g070980.1.1, Solyc02g070940.1.1, Solyc02g071010.1.1, Solyc02g071030.2.1, Solyc02g070950.1.1, Solyc02g070990.1.1, Solyc02g071000.1.1, Solyc03g005760.1.1, Solyc03g005770.3.1, Solyc03g005780.3.1	Av_00002559-RA, Av_00018473-RA, Av_00007673-RA, Av_00024122-RA, Av_00024121-RA, Av_00007674-RA
OG0000562	Solyc09g090630.2.1	Av_00011798-RA, Av_00006954-RA, Av_00011800-RA, Av_00011799-RA
OG0000562	Solyc09g072890.2.1, Solyc06g083760.3.1	Av_00000745-RA
OG0000563	Solyc11g056340.1.1, Solyc03g013500.1.1, Solyc11g030830.1.1, Solyc02g010610.1.1	Av_00003519-RA
OG0000563	Solyc02g011990.1.1, Solyc02g021290.1.1, Solyc01g097530.2.1	Av_00018043-RA
OG0000563	Solyc12g039030.1.1	Av_00021371-RA
OG0000563	Solyc05g016120.2.1	Av_00020430-RA
OG0000563	Solyc00g277510.2.1	Av_00017996-RA
OG0000564	Solyc06g048510.3.1	Av_00002833-RA
OG0000565	Solyc12g019960.2.1, Solyc10g080740.2.1	Av_00021468-RA, Av_00003524-RA, Av_00020284-RA, Av_00006549-RA, Av_00016538-RA
OG0000566	Solyc06g007880.1.1, Solyc09g059990.1.1	Av_00024560-RA, Av_00001462-RA, Av_00004839-RA, Av_00003456-RA, Av_00000769-RA
OG0000567	Solyc11g065660.2.1, Solyc01g008440.3.1	Av_00001202-RA, Av_00016556-RA, Av_00006531-RA, Av_00014401-RA
OG0000567	Solyc10g079130.2.1	Av_00019489-RA, Av_00012670-RA
OG0000567	Solyc06g073350.3.1	Av_00014740-RA
OG0000568	Solyc01g067100.3.1, Solyc01g067140.2.1, Solyc05g018040.2.1	Av_00001619-RA, Av_00009398-RA
OG0000569	Solyc02g067030.3.1	Av_00014825-RA, Av_00022749-RA, Av_00022947-RA
OG0000570	Solyc04g076830.3.1	Av_00010778-RA
OG0000571	Solyc09g060080.3.1, Solyc06g083420.2.1	Av_00002251-RA, Av_00009656-RA, Av_00000768-RA, Av_00003457-RA, Av_00004840-RA
OG0000572	Solyc06g060110.3.1, Solyc11g005070.2.1	Av_00021423-RA, Av_00020895-RA, Av_00024696-RA, Av_00009355-RA
OG0000573	Solyc06g060250.3.1	Av_00009353-RA, Av_00012463-RA
OG0000574	Solyc04g005900.3.1	Av_00005223-RA
OG0000574	Solyc04g079800.3.1, Solyc04g079810.2.1	Av_00004451-RA
OG0000575	Solyc08g078310.3.1	Av_00018587-RA
OG0000575	Solyc04g007340.3.1, Solyc04g007350.3.1, Solyc05g009200.2.1	Av_00017105-RA, Av_00009828-RA, Av_00007621-RA
OG0000576	Solyc12g008840.2.1	Av_00020059-RA, Av_00004223-RA, Av_00006283-RA, Av_00008911-RA
OG0000577	Solyc08g078560.3.1	Av_00010689-RA
OG0000578	Solyc06g062800.3.1, Solyc07g040750.2.1, Solyc12g096000.2.1, Solyc08g062800.3.1, Solyc12g095990.2.1	Av_00008036-RA, Av_00006765-RA, Av_00020777-RA, Av_00021759-RA, Av_00023783-RA, Av_00004108-RA
OG0000579	Solyc01g095730.3.1, Solyc10g009490.2.1	Av_00024508-RA, Av_00000022-RA, Av_00013948-RA
OG0000580	Solyc12g006820.1.1	Av_00009038-RA
OG0000580	Solyc08g067410.2.1, Solyc06g065560.2.1	Av_00010083-RA, Av_00004656-RA, Av_00018248-RA
OG0000581	Solyc01g094810.3.1, Solyc10g012240.3.1	Av_00000038-RA, Av_00010878-RA, Av_00015215-RA, Av_00003232-RA, Av_00013925-RA
OG0000581	Solyc11g071870.2.1	Av_00012406-RA, Av_00009292-RA
OG0000582	Solyc02g031860.3.1, Solyc02g031900.2.1	Av_00008231-RA, Av_00023259-RA, Av_00001112-RA
OG0000583	Solyc02g089210.3.1, Solyc02g065730.2.1	Av_00004958-RA, Av_00003944-RA
OG0000583	Solyc05g056620.2.1	Av_00006384-RA
OG0000584	Solyc01g017620.1.1	Av_00002660-RA
OG0000584	Solyc01g017610.1.1, Solyc05g031600.2.1	Av_00005339-RA
OG0000584	Solyc03g112460.3.1, Solyc06g071640.3.1	Av_00017707-RA, Av_00001703-RA
OG0000585	Solyc03g114240.3.1	Av_00009285-RA
OG0000585	Solyc06g073165.1.1	Av_00021485-RA, Av_00022007-RA, Av_00021486-RA
OG0000595	Solyc07g021170.2.1, Solyc12g044760.2.1, Solyc08g041770.3.1	Av_00004678-RA, Av_00018270-RA, Av_00014306-RA, Av_00010097-RA
OG0000595	Solyc11g064850.2.1	Av_00006547-RA
OG0000596	Solyc10g005730.3.1	Av_00011542-RA
OG0000596	Solyc09g098330.3.1, Solyc12g098690.2.1	Av_00000718-RA, Av_00020570-RA
OG0000597	Solyc04g082740.3.1, Solyc04g082720.3.1	Av_00009006-RA
OG0000597	Solyc01g098810.3.1	Av_00016177-RA
OG0000599	Solyc12g014340.1.1, Solyc07g062310.3.1	Av_00000221-RA, Av_00007825-RA, Av_00018861-RA, Av_00012035-RA, Av_00020237-RA, Av_00019183-RA
OG0000600	Solyc03g006270.3.1, Solyc10g008840.3.1	Av_00023115-RA
OG0000600	Solyc07g055290.3.1	Av_00021465-RA
OG0000601	Solyc01g007780.3.1, Solyc10g082040.2.1	Av_00005069-RA, Av_00024238-RA
OG0000601	Solyc04g081340.3.1, Solyc12g089290.2.1	Av_00010200-RA, Av_00004208-RA, Av_00019115-RA
OG0000603	Solyc12g095910.2.1, Solyc08g065610.3.1	Av_00014942-RA
OG0000603	Solyc08g079160.3.1	Av_00010375-RA
OG0000603	Solyc08g065780.2.1	Av_00023058-RA, Av_00023667-RA
OG0000605	Solyc10g080260.2.1, Solyc03g063680.2.1, Solyc10g079120.2.1	Av_00024155-RA, Av_00013179-RA
OG0000605	Solyc01g087170.3.1	Av_00004941-RA, Av_00003969-RA, Av_00005811-RA, Av_00012180-RA, Av_00018609-RA
OG0000606	Solyc07g063120.3.1, Solyc12g013840.2.1	Av_00011210-RA, Av_00016432-RA
OG0000607	Solyc05g055470.3.1, Solyc11g008000.2.1	Av_00007047-RA, Av_00004355-RA, Av_00014363-RA
OG0000607	Solyc11g008010.2.1, Solyc05g055480.3.1	Av_00011922-RA, Av_00007048-RA, Av_00006477-RA, Av_00013659-RA
OG0000608	Solyc04g078840.3.1	Av_00022305-RA, Av_00015992-RA
OG0000609	Solyc03g097715.1.1	Av_00010997-RA, Av_00009245-RA
OG0000611	Solyc02g088910.3.1	Av_00020067-RA
OG0000611	Solyc05g012210.3.1, Solyc04g005380.3.1	Av_00002734-RA, Av_00016713-RA, Av_00024197-RA
OG0000612	Solyc11g045350.2.1, Solyc08g013900.3.1	Av_00001558-RA
OG0000613	Solyc04g005255.1.1, Solyc05g010810.1.1	Av_00015533-RA, Av_00005228-RA, Av_00002740-RA, Av_00006381-RA
OG0000614	Solyc03g093643.1.1	Av_00016831-RA, Av_00020124-RA
OG0000620	Solyc01g107490.2.1	Av_00009758-RA
OG0000621	Solyc09g075440.3.1	Av_00000229-RA, Av_00024211-RA
OG0000621	Solyc12g011330.3.1, Solyc07g056580.3.1	Av_00011765-RA
OG0000622	Solyc04g015500.3.1, Solyc10g049820.2.1	Av_00004756-RA
OG0000623	Solyc05g055500.1.1	Av_00008178-RA, Av_00001168-RA, Av_00006475-RA, Av_00013657-RA, Av_00007049-RA
OG0000623	Solyc09g008440.1.1	Av_00013486-RA, Av_00021172-RA, Av_00019323-RA, Av_00005100-RA, Av_00015695-RA
OG0000624	Solyc01g060415.1.1	Av_00023904-RA, Av_00002127-RA, Av_00013513-RA, Av_00023903-RA, Av_00001539-RA
OG0000624	Solyc01g100290.3.1	Av_00001324-RA, Av_00015118-RA
OG0000625	Solyc09g064200.3.1, Solyc06g008090.3.1	Av_00022997-RA, Av_00003469-RA, Av_00004850-RA
OG0000627	Solyc01g103370.3.1	Av_00020923-RA
OG0000627	Solyc05g052070.3.1	Av_00008693-RA, Av_00014712-RA, Av_00014959-RA
OG0000628	Solyc01g107990.3.1	Av_00017767-RA
OG0000628	Solyc02g093310.3.1	Av_00000302-RA
OG0000629	Solyc04g081760.3.1, Solyc04g081770.3.1, Solyc04g081780.3.1, Solyc04g081755.1.1, Solyc12g089350.2.1, Solyc06g048670.3.1	Av_00023296-RA, Av_00018694-RA, Av_00019309-RA
OG0000630	Solyc01g110060.3.1, Solyc01g110050.1.1	Av_00011093-RA
OG0000631	Solyc07g053160.3.1	Av_00019346-RA, Av_00019379-RA
OG0000631	Solyc01g104500.2.1	Av_00017581-RA, Av_00006240-RA, Av_00009552-RA, Av_00018924-RA
OG0000632	Solyc05g051360.1.1, Solyc11g010740.2.1, Solyc11g010760.1.1	Av_00007098-RA
OG0000632	Solyc02g070020.1.1	Av_00002783-RA, Av_00005179-RA, Av_00003515-RA, Av_00001685-RA, Av_00001684-RA, Av_00017711-RA
OG0000633	Solyc01g109380.3.1, Solyc01g016600.1.1, Solyc01g016580.1.1	Av_00001069-RA, Av_00015149-RA, Av_00024942-RA, Av_00024995-RA, Av_00022534-RA, Av_00022537-RA, Av_00024994-RA, Av_00024971-RA
OG0000634	Solyc01g109830.3.1	Av_00004435-RA
OG0000635	Solyc02g084510.3.1, Solyc02g062370.3.1, Solyc02g062375.1.1, Solyc02g084520.3.1	Av_00001945-RA, Av_00017901-RA
OG0000635	Solyc11g062220.2.1	Av_00018838-RA, Av_00007193-RA, Av_00012386-RA, Av_00004549-RA, Av_00012385-RA
OG0000636	Solyc04g076770.3.1, Solyc04g080760.3.1	Av_00004328-RA, Av_00004557-RA, Av_00000958-RA
OG0000637	Solyc03g043880.3.1, Solyc02g091970.3.1	Av_00000398-RA, Av_00015370-RA
OG0000637	Solyc07g021630.3.1, Solyc12g088220.2.1	Av_00007920-RA, Av_00010022-RA
OG0000640	Solyc12g088100.2.1	Av_00013031-RA
OG0000640	Solyc08g082990.3.1	Av_00024874-RA
OG0000641	Solyc09g018840.3.1	Av_00003419-RA
OG0000642	Solyc01g096860.2.1, Solyc06g068570.3.1	Av_00015145-RA, Av_00001368-RA
OG0000643	Solyc04g072000.3.1, Solyc06g053380.3.1	Av_00009634-RA, Av_00004848-RA
OG0000644	Solyc10g005080.3.1	Av_00013969-RA, Av_00003274-RA
OG0000646	Solyc09g065570.3.1	Av_00001425-RA
OG0000647	Solyc01g094970.3.1, Solyc05g049980.3.1	Av_00020821-RA
OG0000647	Solyc03g007950.3.1, Solyc03g007940.3.1	Av_00009194-RA, Av_00012945-RA, Av_00002097-RA
OG0000648	Solyc08g077230.3.1, Solyc06g061030.3.1	Av_00024887-RA
OG0000649	Solyc02g021230.3.1	Av_00024369-RA
OG0000649	Solyc08g074495.1.1	Av_00020900-RA, Av_00019269-RA
OG0000650	Solyc06g069450.3.1, Solyc03g114980.3.1	Av_00013758-RA
OG0000650	Solyc02g065790.3.1	Av_00023198-RA
OG0000659	Solyc09g061620.3.1	Av_00002225-RA
OG0000659	Solyc12g098180.2.1, Solyc09g091610.3.1	Av_00008049-RA, Av_00003477-RA, Av_00020307-RA
OG0000659	Solyc01g066940.3.1	Av_00022655-RA
OG0000659	Solyc02g069150.3.1	Av_00001246-RA, Av_00014869-RA, Av_00016514-RA
OG0000660	Solyc04g011580.3.1	Av_00005731-RA, Av_00017290-RA, Av_00003887-RA, Av_00005000-RA
OG0000660	Solyc06g076340.3.1, Solyc06g005670.3.1	Av_00013323-RA
OG0000661	Solyc01g065720.3.1	Av_00000656-RA, Av_00021752-RA
OG0000661	Solyc01g100020.3.1	Av_00006917-RA, Av_00021031-RA
OG0000662	Solyc01g066360.3.1, Solyc12g099410.2.1, Solyc01g066390.3.1, Solyc01g066420.2.1, Solyc01g066410.1.1, Solyc05g054360.3.1	Av_00018427-RA, Av_00012092-RA, Av_00024184-RA
OG0000663	Solyc12g044730.2.1, Solyc03g121370.3.1	Av_00014468-RA, Av_00012658-RA
OG0000664	Solyc01g010290.3.1, Solyc04g005410.2.1, Solyc05g012330.3.1	Av_00007580-RA, Av_00005239-RA
OG0000665	Solyc12g088910.2.1	Av_00012254-RA, Av_00004459-RA
OG0000665	Solyc03g044510.3.1, Solyc02g090620.3.1	Av_00022029-RA, Av_00016367-RA
OG0000665	Solyc01g108510.3.1, Solyc10g050870.2.1	Av_00012300-RA
OG0000666	Solyc01g107730.3.1	Av_00012368-RA, Av_00008795-RA, Av_00009760-RA, Av_00007171-RA
