Orthogroup	S_lycopersicum.proteins	A_hypochondriacus.proteins
OG0000913	Solyc05g005620.3.1	AH004772-RA
OG0000914	Solyc06g069550.1.1, Solyc03g115380.2.1	AH005560-RA, AH003998-RA
OG0000914	Solyc02g067080.3.1, Solyc02g088690.3.1	AH015826-RA, AH015827-RA
OG0000915	Solyc06g071590.3.1, Solyc03g112620.4.1	AH004444-RA, AH002509-RA, AH017951-RA
OG0000915	Solyc05g005010.3.1	AH004841-RA
OG0000916	Solyc00g134620.2.1, Solyc00g135260.2.1, Solyc00g040390.2.1, Solyc00g040290.2.1, Solyc07g017320.1.1, Solyc07g014580.3.1, Solyc02g079490.3.1	AH019177-RA
OG0000920	Solyc09g089560.3.1, Solyc03g005430.3.1, Solyc06g053750.3.1	AH019414-RA, AH012149-RA
OG0000921	Solyc10g079660.2.1, Solyc10g079650.2.1, Solyc10g079680.2.1	AH006694-RA, AH006691-RA, AH020449-RA, AH006692-RA, AH006690-RA, AH020451-RA, AH006693-RA
OG0000922	Solyc01g097040.3.1	AH010767-RA
OG0000922	Solyc09g066140.3.1	AH017761-RA
OG0000923	Solyc07g021280.1.1, Solyc12g062595.1.1, Solyc08g028880.2.1	AH009255-RA
OG0000923	Solyc01g017530.1.1	AH018309-RA
OG0000923	Solyc12g062640.1.1, Solyc08g028890.1.1	AH015524-RA
OG0000924	Solyc10g083150.2.1	AH020514-RA
OG0000925	Solyc01g017360.2.1, Solyc12g037940.2.1	AH007236-RA
OG0000926	Solyc10g007430.2.1, Solyc10g007230.2.1, Solyc10g007240.2.1, Solyc10g007420.4.1, Solyc10g007225.1.1, Solyc10g007250.1.1, Solyc07g062580.3.1	AH010119-RA, AH008023-RA
OG0000927	Solyc11g068520.2.1, Solyc09g009970.3.1	AH013241-RA
OG0000927	Solyc01g096360.3.1	AH009507-RA
OG0000928	Solyc01g099280.3.1	AH010474-RA, AH007564-RA
OG0000929	Solyc01g105500.3.1, Solyc11g043160.2.1	AH006556-RA, AH006557-RA
OG0000929	Solyc01g106990.2.1, Solyc01g106980.2.1, Solyc01g107000.2.1, Solyc05g051260.3.1	AH002472-RA
OG0000930	Solyc08g048240.3.1	AH016746-RA
OG0000930	Solyc01g094280.3.1	AH009244-RA
OG0000931	Solyc07g005100.3.1	AH020923-RA
OG0000932	Solyc01g009000.3.1	AH007497-RA
OG0000933	Solyc09g075870.2.1, Solyc09g075860.3.1	AH020094-RA
OG0000933	Solyc01g099200.3.1, Solyc01g099210.3.1, Solyc08g014000.3.1, Solyc08g029000.3.1, Solyc01g099190.3.1, Solyc01g099180.3.1, Solyc01g099150.4.1, Solyc01g099160.3.1	AH007560-RA
OG0000934	Solyc01g087210.3.1	AH020388-RA
OG0000935	Solyc02g083540.3.1	AH005938-RA, AH003615-RA, AH023717-RA
OG0000936	Solyc04g014250.3.1, Solyc11g010440.2.1	AH005852-RA, AH003920-RA
OG0000937	Solyc04g079315.1.1	AH009402-RA
OG0000938	Solyc11g013760.2.1	AH009012-RA, AH023605-RA
OG0000939	Solyc10g074980.2.1, Solyc09g015670.3.1	AH021704-RA
OG0000939	Solyc01g107130.3.1	AH014631-RA, AH021188-RA
OG0000942	Solyc08g081310.3.1	AH002457-RA
OG0000944	Solyc04g080740.1.1	AH015606-RA
OG0000944	Solyc02g084860.1.1, Solyc03g033730.1.1	AH011878-RA, AH019730-RA, AH003805-RA
OG0000945	Solyc02g092450.3.1, Solyc02g064680.3.1	AH003871-RA, AH005703-RA
OG0000946	Solyc10g009580.3.1, Solyc01g095620.3.1	AH009587-RA
OG0000947	Solyc07g065450.3.1, Solyc10g006010.3.1	AH009769-RA
OG0000947	Solyc04g014880.3.1	AH014875-RA
OG0000948	Solyc08g005270.3.1	AH017013-RA, AH017012-RA
OG0000949	Solyc06g071920.3.1, Solyc03g111010.3.1	AH004913-RA, AH017175-RA, AH003005-RA, AH004500-RA
OG0000950	Solyc08g061980.3.1	AH016044-RA, AH017099-RA
OG0000951	Solyc08g074280.3.1	AH016017-RA
OG0000952	Solyc05g017980.3.1, Solyc04g008040.3.1, Solyc01g005330.3.1	AH005335-RA, AH004155-RA
OG0000953	Solyc02g031840.3.1, Solyc02g068590.3.1	AH023551-RA, AH008557-RA
OG0000954	Solyc01g006740.3.1, Solyc10g081660.2.1	AH010318-RA, AH018915-RA, AH003110-RA
OG0000955	Solyc10g084010.1.1	AH012757-RA
OG0000955	Solyc11g069095.1.1, Solyc06g074950.1.1	AH015201-RA
OG0000956	Solyc10g075035.1.1	AH012449-RA
OG0000956	Solyc06g082520.3.1	AH013227-RA
OG0000958	Solyc07g053740.1.1	AH021015-RA
OG0000959	Solyc07g021350.1.1, Solyc12g062700.1.1, Solyc07g021360.1.1, Solyc09g064770.1.1, Solyc09g015500.1.1, Solyc08g022130.2.1	AH002739-RA
OG0000960	Solyc01g105780.3.1, Solyc07g007230.3.1, Solyc11g006170.2.1, Solyc11g006140.1.1	AH008839-RA, AH000720-RA, AH002401-RA
OG0000962	Solyc03g093300.3.1	AH012195-RA
OG0000963	Solyc01g111075.1.1	AH002202-RA, AH002201-RA, AH000879-RA
OG0000963	Solyc12g089300.2.1	AH008336-RA
OG0000964	Solyc03g112297.1.1, Solyc06g071750.3.1, Solyc03g112300.3.1	AH002515-RA
OG0000964	Solyc05g013530.3.1	AH004814-RA
OG0000965	Solyc02g087480.3.1	AH015734-RA
OG0000965	Solyc05g006660.3.1, Solyc04g005860.3.1	AH004666-RA
OG0000966	Solyc02g086310.1.1	AH022855-RA
OG0000966	Solyc05g008895.1.1	AH015989-RA
OG0000966	Solyc03g034330.1.1, Solyc03g034380.1.1, Solyc03g034390.1.1, Solyc03g034375.1.1	AH008995-RA, AH016516-RA, AH022854-RA, AH016517-RA, AH022853-RA
OG0000967	Solyc05g011830.3.1, Solyc04g005290.3.1, Solyc01g010140.1.1	AH005511-RA
OG0000974	Solyc07g041210.3.1	AH021123-RA
OG0000975	Solyc07g005760.3.1	AH014335-RA, AH004708-RA, AH020381-RA, AH004727-RA, AH004720-RA, AH006704-RA, AH009923-RA
OG0000976	Solyc01g080540.3.1	AH020156-RA, AH007036-RA
OG0000976	Solyc01g098400.3.1	AH010567-RA
OG0000977	Solyc12g055840.2.1, Solyc08g083310.3.1	AH011368-RA, AH018193-RA
OG0000978	Solyc01g008493.1.1, Solyc11g065700.2.1, Solyc01g008490.3.1	AH010993-RA, AH007703-RA
OG0000979	Solyc01g080430.3.1	AH020559-RA
OG0000980	Solyc12g044630.2.1, Solyc06g066410.3.1	AH017114-RA
OG0000980	Solyc11g070130.2.1, Solyc11g071205.1.1, Solyc08g066110.3.1, Solyc12g008590.2.1	AH014460-RA
OG0000982	Solyc11g006370.2.1, Solyc04g009800.3.1	AH007794-RA, AH010320-RA
OG0000982	Solyc01g006840.3.1, Solyc10g081740.2.1	AH018891-RA
OG0000983	Solyc04g014570.3.1, Solyc05g054040.3.1, Solyc11g011910.2.1	AH000971-RA, AH001658-RA, AH022409-RA
OG0000984	Solyc03g121460.1.1	AH013291-RA, AH022389-RA, AH013293-RA
OG0000986	Solyc02g062160.1.1, Solyc02g083835.1.1	AH006432-RA
OG0000987	Solyc01g110620.1.1, Solyc01g110570.3.1, Solyc04g081270.1.1, Solyc10g054720.1.1	AH001718-RA
OG0000988	Solyc01g109980.3.1, Solyc04g080790.3.1	AH009719-RA
OG0000989	Solyc12g094500.2.1, Solyc04g082180.4.1, Solyc04g082170.3.1	AH016825-RA
OG0000990	Solyc02g069380.3.1, Solyc02g062120.3.1	AH008076-RA
OG0000991	Solyc01g110470.3.1	AH001725-RA
OG0000991	Solyc04g081170.3.1	AH023554-RA
OG0000992	Solyc02g071920.3.1, Solyc03g005980.3.1	AH014783-RA, AH021360-RA
OG0000992	Solyc02g091420.3.1	AH016563-RA
OG0000993	Solyc04g054830.3.1	AH005946-RA
OG0000994	Solyc08g059700.2.1	AH023204-RA, AH016289-RA, AH014028-RA, AH016288-RA, AH014027-RA, AH016293-RA
OG0000995	Solyc07g006830.3.1	AH020987-RA
OG0000995	Solyc02g079040.3.1, Solyc10g009210.3.1	AH021595-RA, AH015124-RA
OG0000996	Solyc08g068150.3.1	AH023290-RA, AH023288-RA
OG0000997	Solyc01g094690.3.1	AH009677-RA
OG0000998	Solyc04g071060.2.1, Solyc04g071050.3.1, Solyc03g082710.3.1, Solyc06g052080.3.1	AH019706-RA, AH008490-RA
OG0000999	Solyc03g116830.3.1	AH001952-RA
OG0001000	Solyc05g053130.3.1, Solyc09g091020.3.1	AH020218-RA, AH006967-RA
OG0001001	Solyc01g095580.3.1, Solyc05g050280.3.1, Solyc10g009600.1.1, Solyc10g010650.1.1, Solyc00g254910.1.1, Solyc00g212260.2.1, Solyc10g009620.2.1, Solyc10g009610.2.1, Solyc06g048710.2.1, Solyc10g011650.3.1, Solyc10g009640.2.1, Solyc10g011660.3.1	AH009594-RA
OG0001002	Solyc07g008920.3.1	AH014418-RA, AH014419-RA
OG0001003	Solyc10g085170.2.1, Solyc10g076740.2.1, Solyc06g051720.3.1	AH023088-RA
OG0001004	Solyc10g079310.2.1, Solyc03g096220.3.1	AH003252-RA, AH005022-RA
OG0001005	Solyc08g080960.3.1, Solyc08g008030.3.1	AH003175-RA, AH018625-RA, AH018626-RA
OG0001005	Solyc01g094460.3.1	AH009702-RA
OG0001006	Solyc03g120020.3.1	AH002018-RA, AH000990-RA
OG0001006	Solyc08g066960.3.1	AH015366-RA
OG0001007	Solyc05g048850.3.1	AH018650-RA, AH003163-RA
OG0001007	Solyc01g094350.3.1, Solyc10g017530.3.1	AH009252-RA
OG0001008	Solyc08g081760.2.1, Solyc08g008180.2.1	AH018037-RA
OG0001009	Solyc09g011990.1.1, Solyc09g011060.2.1, Solyc09g012000.1.1	AH013731-RA, AH022584-RA, AH013730-RA, AH013733-RA, AH013732-RA, AH013737-RA, AH013736-RA, AH013781-RA, AH013729-RA
OG0001010	Solyc03g053080.2.1, Solyc03g053100.3.1	AH020302-RA
OG0001011	Solyc11g069300.2.1	AH013367-RA, AH022218-RA
OG0001012	Solyc06g050130.3.1	AH019262-RA
OG0001015	Solyc11g069590.2.1	AH000187-RA
OG0001016	Solyc10g081840.2.1, Solyc01g006930.3.1	AH007788-RA
OG0001017	Solyc07g053410.3.1	AH008294-RA, AH000283-RA
OG0001018	Solyc07g052400.3.1, Solyc05g045650.3.1	AH000257-RA, AH001276-RA
OG0001019	Solyc01g028860.3.1	AH007635-RA
OG0001020	Solyc05g015930.3.1, Solyc05g015920.3.1	AH004562-RA, AH004561-RA
OG0001021	Solyc01g068100.3.1	AH017287-RA, AH002744-RA
OG0001022	Solyc05g009620.3.1, Solyc12g037950.2.1	AH016506-RA, AH022913-RA, AH022908-RA
OG0001023	Solyc01g088590.4.1, Solyc01g088580.1.1	AH014316-RA, AH014317-RA, AH000943-RA
OG0001024	Solyc05g012160.3.1, Solyc01g010270.3.1	AH004034-RA, AH005537-RA
OG0001025	Solyc10g007505.1.1	AH017213-RA
OG0001026	Solyc06g061260.1.1	AH019124-RA
OG0001027	Solyc05g006490.3.1, Solyc04g005060.3.1	AH004656-RA
OG0001028	Solyc03g098150.3.1, Solyc06g072340.3.1	AH007056-RA, AH019832-RA
OG0001029	Solyc04g005420.3.1	AH005550-RA
OG0001030	Solyc03g097260.3.1	AH007241-RA
OG0001037	Solyc12g098820.2.1	AH020150-RA, AH011835-RA
OG0001038	Solyc09g014220.3.1, Solyc09g005380.2.1	AH003043-RA, AH018864-RA, AH018862-RA
OG0001039	Solyc06g005150.3.1, Solyc06g005160.3.1	AH000101-RA, AH001293-RA
OG0001039	Solyc09g007270.3.1	AH012796-RA
OG0001040	Solyc05g006910.3.1	AH004683-RA
OG0001040	Solyc09g014770.3.1	AH018815-RA, AH003066-RA
OG0001041	Solyc06g005590.3.1, Solyc06g076270.3.1	AH013706-RA, AH022551-RA
OG0001042	Solyc05g054510.2.1	AH022521-RA, AH013663-RA
OG0001043	Solyc09g074800.2.1, Solyc09g074790.2.1, Solyc09g074820.3.1	AH006172-RA, AH022186-RA, AH014506-RA
OG0001044	Solyc10g086180.2.1, Solyc09g007890.1.1, Solyc09g007910.3.1, Solyc09g007920.3.1, Solyc09g007900.3.1, Solyc00g282510.2.1	AH022004-RA, AH012767-RA
OG0001045	Solyc09g075090.1.1, Solyc06g009060.3.1	AH022111-RA, AH012922-RA
OG0001045	Solyc01g099810.3.1	AH007610-RA
OG0001046	Solyc09g005350.3.1	AH018798-RA, AH015860-RA
OG0001047	Solyc02g087550.3.1, Solyc03g077910.3.1	AH019370-RA
OG0001047	Solyc12g055960.1.1, Solyc12g006490.2.1	AH014081-RA, AH020727-RA
OG0001047	Solyc09g010660.3.1, Solyc00g024670.1.1	AH012801-RA
OG0001048	Solyc10g079710.2.1, Solyc10g079590.1.1, Solyc01g005640.3.1	AH006702-RA, AH020456-RA
OG0001049	Solyc01g108480.1.1, Solyc01g108460.1.1, Solyc01g108470.2.1, Solyc01g108450.3.1	AH013877-RA
OG0001050	Solyc04g081560.3.1	AH023655-RA
OG0001051	Solyc06g073280.3.1	AH002743-RA, AH017286-RA
OG0001052	Solyc10g054780.2.1	AH003285-RA
OG0001053	Solyc06g068210.2.1	AH001950-RA, AH000607-RA
OG0001054	Solyc05g051530.3.1	AH006029-RA, AH003185-RA
OG0001054	Solyc01g105450.3.1	AH000916-RA, AH006723-RA
OG0001055	Solyc03g033970.1.1	AH010816-RA
OG0001056	Solyc02g036440.3.1	AH010702-RA, AH007848-RA
OG0001056	Solyc05g054800.2.1	AH021197-RA, AH014620-RA
OG0001057	Solyc04g076030.2.1, Solyc12g087890.2.1	AH008820-RA
OG0001058	Solyc02g094050.3.1	AH017346-RA
OG0001058	Solyc04g074740.3.1	AH008698-RA
OG0001058	Solyc07g008420.3.1	AH004752-RA
OG0001059	Solyc03g113680.3.1	AH017341-RA, AH002759-RA
OG0001060	Solyc04g072470.3.1	AH019749-RA, AH017647-RA
OG0001062	Solyc06g067870.3.1, Solyc06g067860.3.1	AH000503-RA, AH001574-RA
OG0001064	Solyc03g120650.3.1, Solyc06g066650.3.1, Solyc12g044270.2.1	AH002099-RA
OG0001064	Solyc12g007150.2.1, Solyc07g032730.3.1	AH014518-RA, AH020871-RA
OG0001065	Solyc06g068460.3.1, Solyc03g116890.3.1	AH000655-RA
OG0001065	Solyc12g042590.2.1	AH023284-RA, AH016225-RA
OG0001066	Solyc06g065710.3.1	AH011438-RA, AH023279-RA, AH023283-RA, AH016227-RA
OG0001067	Solyc04g005100.3.1	AH004643-RA, AH004700-RA
OG0001067	Solyc03g113620.3.1, Solyc06g071230.3.1	AH017255-RA, AH002765-RA
OG0001068	Solyc03g026190.3.1	AH019530-RA, AH012352-RA
OG0001069	Solyc03g083410.3.1, Solyc06g024325.1.1	AH011997-RA
OG0001069	Solyc01g095890.3.1	AH016305-RA
OG0001070	Solyc11g066620.2.1	AH000393-RA, AH001453-RA
OG0001070	Solyc09g008600.3.1	AH012697-RA, AH021874-RA
OG0001071	Solyc09g007310.3.1	AH012794-RA
OG0001072	Solyc08g048250.3.1, Solyc10g007600.3.1	AH010282-RA
OG0001072	Solyc07g056540.3.1	AH007944-RA
OG0001073	Solyc01g008970.3.1	AH006552-RA
OG0001074	Solyc04g007590.2.1	AH009467-RA
OG0001075	Solyc09g014610.3.1, Solyc06g036440.2.1, Solyc03g007770.3.1	AH016701-RA, AH012074-RA, AH019618-RA
OG0001076	Solyc04g009960.3.1	AH010746-RA, AH007881-RA
OG0001077	Solyc06g050610.2.1	AH016316-RA
OG0001078	Solyc03g115000.3.1	AH017489-RA
OG0001079	Solyc02g088180.3.1	AH017564-RA, AH002840-RA
OG0001080	Solyc08g007080.3.1, Solyc08g077210.3.1	AH018328-RA
OG0001081	Solyc10g006760.3.1, Solyc07g063680.3.1	AH009977-RA
OG0001081	Solyc02g079410.2.1, Solyc03g006680.3.1	AH001266-RA
OG0001083	Solyc03g115680.3.1, Solyc03g115660.3.1	AH002859-RA, AH017552-RA
OG0001085	Solyc09g009480.1.1	AH000636-RA, AH022566-RA, AH022569-RA, AH022571-RA, AH022565-RA, AH022563-RA, AH022545-RA, AH022568-RA, AH000637-RA, AH001661-RA, AH001663-RA
OG0001085	Solyc07g044920.1.1	AH002001-RA
OG0001086	Solyc11g017010.2.1	AH009366-RA
OG0001091	Solyc09g031550.2.1	AH011452-RA
OG0001095	Solyc02g005410.2.1, Solyc02g005395.1.1, Solyc02g005390.1.1, Solyc09g091725.1.1, Solyc02g005400.2.1, Solyc08g065700.2.1, Solyc09g091870.1.1, Solyc09g091720.1.1	AH023086-RA
OG0001095	Solyc09g074430.3.1	AH012875-RA
OG0001096	Solyc11g008560.2.1	AH011126-RA
OG0001096	Solyc11g061750.2.1	AH010935-RA
OG0001097	Solyc06g076300.3.1	AH022557-RA
OG0001097	Solyc05g011880.2.1, Solyc09g010940.3.1	AH002582-RA, AH017924-RA
OG0001098	Solyc03g112590.3.1	AH012761-RA, AH021226-RA
OG0001099	Solyc09g092320.3.1, Solyc05g053780.3.1	AH020576-RA, AH006491-RA
OG0001099	Solyc10g081180.2.1	AH002885-RA
OG0001100	Solyc05g009190.3.1	AH005467-RA
OG0001100	Solyc04g076390.3.1	AH023245-RA
OG0001102	Solyc01g106460.3.1	AH002437-RA
OG0001102	Solyc02g091800.3.1	AH004330-RA
OG0001103	Solyc02g084360.3.1, Solyc04g081090.3.1, Solyc10g054560.2.1, Solyc10g054590.2.1, Solyc10g054570.2.1	AH008942-RA
OG0001107	Solyc03g005970.3.1	AH014299-RA
OG0001107	Solyc06g068640.2.1, Solyc03g115920.3.1, Solyc03g117860.3.1	AH013425-RA
OG0001108	Solyc02g032930.3.1, Solyc02g080870.2.1	AH001285-RA, AH000239-RA
OG0001108	Solyc10g053910.2.1	AH010575-RA, AH003448-RA, AH009907-RA
OG0001109	Solyc12g044910.2.1, Solyc02g071170.3.1	AH022211-RA, AH013337-RA
OG0001110	Solyc08g079760.3.1	AH018727-RA
OG0001111	Solyc12g049210.1.1	AH013340-RA
OG0001111	Solyc08g062810.1.1	AH016064-RA
OG0001112	Solyc12g056210.2.1	AH017995-RA
OG0001113	Solyc08g006440.3.1, Solyc12g096400.2.1, Solyc08g069020.1.1	AH016027-RA, AH017036-RA
OG0001113	Solyc06g069630.3.1	AH002866-RA
OG0001114	Solyc03g026070.3.1	AH009228-RA
OG0001115	Solyc04g045600.3.1	AH016248-RA
OG0001116	Solyc08g068320.3.1, Solyc11g071300.2.1	AH023316-RA
OG0001117	Solyc12g096420.2.1, Solyc08g006460.3.1	AH016026-RA, AH017035-RA
OG0001118	Solyc11g069163.1.1	AH001326-RA, AH000153-RA
OG0001118	Solyc06g010000.3.1, Solyc11g069160.2.1	AH000155-RA
OG0001119	Solyc09g005980.3.1, Solyc05g054920.3.1	AH015942-RA
OG0001120	Solyc06g070980.3.1	AH005099-RA, AH004603-RA
OG0001120	Solyc03g113100.3.1	AH002798-RA
OG0001121	Solyc11g066090.1.1	AH013657-RA
OG0001121	Solyc04g011460.2.1	AH023457-RA
OG0001122	Solyc02g071270.2.1	AH014754-RA
OG0001123	Solyc10g078550.3.1, Solyc05g052100.3.1, Solyc03g094010.3.1, Solyc06g033860.2.1	AH006921-RA, AH020258-RA
OG0001124	Solyc07g007390.3.1	AH013963-RA
OG0001124	Solyc06g065910.3.1, Solyc08g029190.3.1	AH023252-RA, AH016259-RA
OG0001125	Solyc02g088115.1.1	AH015790-RA
OG0001125	Solyc03g007320.3.1	AH012028-RA
OG0001126	Solyc04g071620.3.1, Solyc04g071615.1.1	AH008528-RA, AH008527-RA
OG0001126	Solyc04g071600.3.1, Solyc04g071590.3.1, Solyc04g071610.3.1, Solyc04g071580.3.1	AH008529-RA, AH008530-RA
OG0001129	Solyc05g015050.3.1, Solyc02g092870.2.1	AH004516-RA
OG0001129	Solyc03g005060.3.1, Solyc02g093980.3.1	AH015879-RA
OG0001130	Solyc05g013880.1.1, Solyc09g060120.1.1	AH004473-RA, AH004879-RA
OG0001131	Solyc03g070390.3.1, Solyc02g089170.3.1, Solyc02g065740.3.1	AH022782-RA, AH016587-RA
OG0001132	Solyc11g008103.1.1, Solyc05g009360.3.1, Solyc04g007220.3.1	AH004159-RA, AH005388-RA
OG0001133	Solyc08g005000.3.1	AH015851-RA
OG0001133	Solyc04g007910.3.1	AH004152-RA, AH005363-RA
OG0001134	Solyc02g067410.2.1, Solyc02g087840.3.1, Solyc01g010600.3.1	AH015764-RA
OG0001134	Solyc05g007180.3.1	AH005090-RA
OG0001135	Solyc01g011350.3.1, Solyc04g008690.3.1	AH001124-RA, AH000067-RA
OG0001136	Solyc06g072370.3.1	AH015798-RA, AH015799-RA
OG0001141	Solyc10g054667.1.1, Solyc10g054665.1.1, Solyc10g054670.2.1	AH006389-RA, AH023250-RA
OG0001142	Solyc01g067090.3.1	AH007571-RA
OG0001143	Solyc09g056385.1.1	AH013596-RA
OG0001143	Solyc09g056360.3.1	AH013595-RA
OG0001144	Solyc03g071550.2.1, Solyc09g031580.3.1, Solyc06g082050.2.1	AH002146-RA, AH015584-RA
OG0001145	Solyc03g118410.3.1	AH002687-RA
OG0001146	Solyc00g015733.1.1	AH018876-RA
OG0001146	Solyc09g011240.3.1	AH011698-RA
OG0001147	Solyc09g009600.2.1	AH021829-RA, AH021828-RA
OG0001147	Solyc09g009610.2.1	AH021827-RA, AH012620-RA
OG0001148	Solyc04g008740.3.1	AH013387-RA
OG0001149	Solyc03g080160.3.1	AH011884-RA
OG0001149	Solyc10g081030.2.1, Solyc10g078150.2.1	AH010685-RA, AH007824-RA
OG0001150	Solyc10g080890.2.1, Solyc10g080900.2.1, Solyc12g100280.2.1, Solyc12g036510.1.1, Solyc12g100220.2.1, Solyc10g006860.3.1, Solyc12g044940.2.1, Solyc12g045030.2.1	AH020477-RA
OG0001151	Solyc09g061230.3.1, Solyc06g083440.3.1, Solyc06g007930.3.1	AH013071-RA
OG0001151	Solyc03g082600.3.1	AH019718-RA, AH011930-RA
OG0001151	Solyc01g096270.3.1	AH009515-RA
OG0001152	Solyc09g008840.3.1	AH021862-RA, AH012678-RA
OG0001153	Solyc12g100290.2.1, Solyc01g006220.2.1	AH011761-RA
OG0001154	Solyc12g019860.2.1	AH006933-RA
OG0001155	Solyc02g092050.3.1	AH003848-RA, AH005731-RA
OG0001155	Solyc04g077490.3.1	AH016711-RA
OG0001156	Solyc02g092830.3.1	AH003904-RA
OG0001157	Solyc02g092640.3.1	AH003889-RA
OG0001157	Solyc02g064700.3.1	AH005694-RA, AH003879-RA
OG0001158	Solyc02g093160.3.1	AH006127-RA
OG0001159	Solyc05g056460.3.1	AH003277-RA
OG0001159	Solyc01g104160.3.1	AH004048-RA
OG0001160	Solyc08g075810.3.1, Solyc08g075800.1.1, Solyc10g012100.1.1, Solyc06g008920.3.1	AH023721-RA, AH023722-RA
OG0001160	Solyc07g043660.3.1, Solyc07g043650.2.1, Solyc07g043630.2.1, Solyc07g043640.3.1, Solyc02g082880.2.1, Solyc02g082870.3.1, Solyc03g032210.3.1	AH004290-RA, AH004943-RA
OG0001161	Solyc07g066675.1.1	AH001620-RA
OG0001162	Solyc04g082620.3.1	AH016893-RA
OG0001162	Solyc02g082470.3.1	AH003595-RA
OG0001163	Solyc09g008540.1.1, Solyc06g073240.3.1	AH001668-RA
OG0001163	Solyc12g088640.2.1, Solyc12g057020.2.1, Solyc04g074110.3.1, Solyc01g102330.3.1	AH016942-RA
OG0001164	Solyc03g119290.3.1, Solyc12g036410.2.1	AH017026-RA
OG0001165	Solyc04g081260.3.1	AH008325-RA, AH016691-RA
OG0001166	Solyc06g066630.1.1	AH007858-RA
OG0001168	Solyc01g090780.3.1	AH009076-RA
OG0001169	Solyc03g032190.3.1, Solyc02g082820.3.1	AH006416-RA
OG0001169	Solyc12g094600.2.1, Solyc04g082430.3.1, Solyc04g081660.2.1	AH023725-RA
OG0001170	Solyc01g109610.3.1	AH001817-RA
OG0001171	Solyc01g112090.3.1	AH002354-RA
OG0001172	Solyc07g065250.3.1, Solyc08g082980.2.1	AH009743-RA
OG0001172	Solyc07g047990.1.1, Solyc05g041420.3.1	AH000090-RA, AH001173-RA
OG0001173	Solyc05g045670.3.1	AH015023-RA
OG0001173	Solyc07g052450.2.1, Solyc07g064270.3.1	AH008168-RA, AH009928-RA
OG0001174	Solyc10g008770.3.1	AH015288-RA
OG0001175	Solyc10g078860.2.1, Solyc10g078880.2.1	AH001342-RA, AH000334-RA
OG0001176	Solyc11g012020.2.1	AH021471-RA, AH014932-RA
OG0001176	Solyc10g006110.3.1, Solyc12g014460.2.1, Solyc07g064910.3.1	AH009878-RA
OG0001177	Solyc08g007800.3.1, Solyc12g056440.2.1	AH003150-RA, AH018700-RA
OG0001178	Solyc03g111720.3.1	AH022370-RA
OG0001178	Solyc06g034020.3.1, Solyc03g093690.3.1	AH018244-RA, AH011465-RA
OG0001179	Solyc06g062880.2.1	AH013358-RA
OG0001179	Solyc07g041230.3.1	AH014557-RA
OG0001180	Solyc01g005460.3.1	AH005365-RA
OG0001180	Solyc00g052545.1.1, Solyc12g006630.2.1	AH014071-RA
OG0001182	Solyc01g091750.3.1	AH009218-RA
OG0001182	Solyc11g072340.2.1	AH012348-RA, AH019533-RA
OG0001183	Solyc06g036305.1.1	AH012097-RA
OG0001183	Solyc01g095030.3.1	AH009641-RA
OG0001184	Solyc06g073460.3.1	AH011608-RA
OG0001184	Solyc12g056230.2.1, Solyc12g056240.2.1	AH003173-RA
OG0001186	Solyc07g007420.3.1, Solyc12g009870.2.1	AH013962-RA
OG0001187	Solyc08g075460.3.1, Solyc08g075470.3.1, Solyc08g075450.3.1, Solyc12g096160.2.1	AH018784-RA
OG0001188	Solyc08g081290.3.1	AH017993-RA
OG0001188	Solyc10g012210.2.1, Solyc05g049960.3.1, Solyc01g094820.3.1	AH009666-RA
OG0001189	Solyc08g078530.3.1	AH018210-RA
OG0001190	Solyc10g008490.3.1, Solyc07g054300.3.1	AH000448-RA, AH000447-RA
OG0001191	Solyc11g068950.2.1, Solyc06g074120.3.1	AH022626-RA
OG0001192	Solyc10g005360.3.1, Solyc02g080120.2.1	AH021523-RA, AH015039-RA
OG0001193	Solyc10g085560.2.1, Solyc09g009030.3.1	AH021851-RA
OG0001193	Solyc11g066840.2.1	AH000382-RA, AH001500-RA
OG0001194	Solyc10g006120.2.1, Solyc07g064900.3.1, Solyc12g014450.2.1	AH009883-RA, AH008232-RA, AH009884-RA
OG0001194	Solyc11g012000.2.1	AH021473-RA, AH014934-RA
OG0001195	Solyc06g050840.3.1	AH016309-RA, AH023167-RA
OG0001196	Solyc10g083340.2.1, Solyc10g085620.2.1	AH006827-RA, AH020348-RA
OG0001197	Solyc05g016240.3.1, Solyc12g006420.2.1	AH012810-RA
OG0001197	Solyc12g017260.2.1	AH023431-RA
OG0001198	Solyc01g087590.3.1	AH022726-RA, AH017490-RA
OG0001200	Solyc03g118340.3.1	AH002957-RA
OG0001201	Solyc05g007030.3.1	AH004686-RA
OG0001202	Solyc01g080230.3.1	AH011829-RA, AH011828-RA, AH011830-RA
OG0001203	Solyc05g006870.3.1, Solyc05g006860.3.1, Solyc05g006830.3.1, Solyc04g005810.3.1, Solyc05g006833.1.1, Solyc05g006850.3.1	AH014538-RA, AH014539-RA
OG0001203	Solyc02g087630.3.1	AH015747-RA, AH019376-RA
OG0001204	Solyc01g090410.3.1, Solyc04g025473.1.1	AH018315-RA
OG0001205	Solyc03g096820.3.1, Solyc06g072920.2.1	AH005407-RA
OG0001207	Solyc04g078410.3.1	AH004429-RA
OG0001216	Solyc06g073520.3.1	AH021831-RA
OG0001217	Solyc01g065700.3.1	AH019882-RA
