Orthogroup	S_lycopersicum.proteins	D_spatulata.proteins
OG0001219	Solyc11g073260.2.1, Solyc11g073250.2.1	Ds_00010346-RA
OG0001220	Solyc06g082960.3.1, Solyc05g052990.3.1, Solyc09g047930.1.1	Ds_00004573-RA
OG0001221	Solyc07g039220.1.1, Solyc01g057750.1.1, Solyc01g057650.1.1, Solyc01g067780.1.1	Ds_00003077-RA, Ds_00013239-RA
OG0001222	Solyc11g066520.2.1	Ds_00014843-RA, Ds_00001221-RA
OG0001223	Solyc04g015100.3.1	Ds_00000911-RA
OG0001223	Solyc05g017760.3.1, Solyc07g045350.3.1	Ds_00004083-RA
OG0001224	Solyc01g005990.3.1, Solyc01g073680.3.1	Ds_00005517-RA
OG0001225	Solyc06g069640.3.1	Ds_00005334-RA
OG0001225	Solyc09g090300.3.1	Ds_00005105-RA
OG0001225	Solyc09g097930.3.1	Ds_00009347-RA, Ds_00012621-RA
OG0001226	Solyc04g082360.2.1, Solyc09g007343.1.1, Solyc08g082517.1.1, Solyc08g082335.1.1, Solyc08g079580.1.1, Solyc08g061380.1.1, Solyc08g061375.1.1, Solyc00g042840.1.1, Solyc08g082510.1.1, Solyc08g082520.1.1, Solyc06g068630.3.1, Solyc09g007220.1.1, Solyc03g112780.1.1, Solyc08g082350.3.1, Solyc03g113160.1.1, Solyc04g017620.3.1, Solyc03g115420.2.1, Solyc04g055203.1.1, Solyc04g055220.1.1, Solyc04g055240.1.1	Ds_00004867-RA
OG0001227	Solyc06g071520.1.1, Solyc03g112890.1.1	Ds_00003783-RA
OG0001227	Solyc09g055650.2.1, Solyc06g076840.2.1	Ds_00011595-RA, Ds_00011746-RA
OG0001228	Solyc02g032100.3.1	Ds_00006468-RA, Ds_00002348-RA
OG0001229	Solyc01g034150.3.1	Ds_00017872-RA
OG0001230	Solyc02g014430.3.1	Ds_00016308-RA
OG0001230	Solyc10g005450.2.1, Solyc02g079350.3.1, Solyc02g079330.3.1	Ds_00015890-RA
OG0001231	Solyc04g079880.3.1	Ds_00007883-RA
OG0001232	Solyc04g080290.3.1, Solyc12g089130.2.1	Ds_00015353-RA
OG0001232	Solyc02g085300.3.1	Ds_00013190-RA
OG0001233	Solyc04g074290.3.1	Ds_00008847-RA
OG0001234	Solyc00g007200.3.1, Solyc02g082430.3.1	Ds_00013425-RA, Ds_00016711-RA
OG0001234	Solyc08g067760.3.1	Ds_00003036-RA
OG0001236	Solyc01g106570.3.1, Solyc10g048010.2.1	Ds_00012187-RA
OG0001237	Solyc04g076303.1.1	Ds_00011954-RA
OG0001237	Solyc11g010610.2.1	Ds_00010938-RA
OG0001238	Solyc08g074240.3.1, Solyc08g006040.3.1, Solyc12g096300.2.1	Ds_00001593-RA, Ds_00003496-RA
OG0001239	Solyc10g007080.3.1	Ds_00017463-RA
OG0001240	Solyc10g085430.2.1, Solyc09g014800.2.1, Solyc09g014595.1.1, Solyc09g014830.2.1, Solyc09g014833.1.1, Solyc09g014860.3.1, Solyc09g014820.3.1, Solyc06g050810.3.1, Solyc09g014910.3.1	Ds_00005016-RA, Ds_00014640-RA
OG0001241	Solyc02g078800.3.1, Solyc02g078805.1.1	Ds_00015123-RA
OG0001242	Solyc02g084640.3.1	Ds_00014501-RA, Ds_00001466-RA
OG0001243	Solyc07g042680.3.1, Solyc12g016080.1.1, Solyc12g009340.2.1, Solyc07g042890.3.1	Ds_00013635-RA, Ds_00003370-RA
OG0001244	Solyc05g047610.3.1	Ds_00012527-RA
OG0001244	Solyc10g018160.2.1, Solyc01g091280.3.1	Ds_00006355-RA
OG0001245	Solyc05g018390.3.1	Ds_00012860-RA
OG0001246	Solyc05g018810.3.1	Ds_00012806-RA
OG0001247	Solyc05g056330.3.1, Solyc12g036860.2.1, Solyc06g051665.1.1	Ds_00010392-RA, Ds_00006212-RA, Ds_00012864-RA
OG0001248	Solyc06g074010.3.1, Solyc11g068800.2.1	Ds_00015673-RA, Ds_00010146-RA, Ds_00008330-RA
OG0001249	Solyc01g096940.3.1	Ds_00007032-RA
OG0001250	Solyc04g016280.3.1, Solyc10g079910.2.1, Solyc10g079280.2.1	Ds_00000836-RA
OG0001250	Solyc05g052790.3.1	Ds_00006585-RA
OG0001252	Solyc03g112050.3.1	Ds_00013788-RA, Ds_00003813-RA
OG0001253	Solyc11g065350.2.1, Solyc11g065360.2.1	Ds_00000831-RA, Ds_00014749-RA, Ds_00014750-RA, Ds_00013948-RA
OG0001255	Solyc02g062950.3.1, Solyc02g085610.3.1	Ds_00011202-RA
OG0001256	Solyc11g011920.2.1, Solyc05g054050.3.1	Ds_00000015-RA
OG0001257	Solyc01g005310.3.1	Ds_00012699-RA
OG0001257	Solyc08g077360.3.1	Ds_00004901-RA
OG0001259	Solyc06g061240.3.1, Solyc08g005100.3.1, Solyc08g076860.3.1	Ds_00016418-RA
OG0001260	Solyc04g005223.1.1, Solyc04g005220.2.1, Solyc05g010610.3.1, Solyc01g010135.1.1, Solyc04g005227.1.1	Ds_00008418-RA, Ds_00012374-RA
OG0001261	Solyc03g115010.2.1, Solyc06g069460.2.1	Ds_00005317-RA, Ds_00013077-RA
OG0001261	Solyc02g065800.2.1, Solyc00g217560.1.1	Ds_00012724-RA
OG0001262	Solyc04g005320.3.1, Solyc05g012020.3.1	Ds_00009126-RA
OG0001262	Solyc03g114840.3.1, Solyc12g038510.2.1	Ds_00010628-RA
OG0001271	Solyc09g057710.3.1, Solyc06g083170.3.1	Ds_00001130-RA
OG0001272	Solyc03g122350.3.1, Solyc03g122360.3.1	Ds_00017016-RA
OG0001273	Solyc06g084090.3.1, Solyc09g065755.1.1	Ds_00001084-RA
OG0001273	Solyc12g006830.2.1	Ds_00000694-RA
OG0001274	Solyc10g031560.1.1, Solyc01g017470.2.1	Ds_00008239-RA
OG0001275	Solyc05g053470.3.1, Solyc09g091180.3.1	Ds_00013254-RA
OG0001275	Solyc03g121640.3.1	Ds_00012801-RA
OG0001276	Solyc01g065550.3.1, Solyc12g099390.2.1	Ds_00005077-RA
OG0001277	Solyc04g051600.3.1	Ds_00015482-RA
OG0001278	Solyc10g084760.2.1, Solyc09g010830.3.1	Ds_00015276-RA, Ds_00010367-RA
OG0001279	Solyc11g066970.2.1	Ds_00008348-RA
OG0001279	Solyc11g007330.2.1, Solyc09g009210.3.1, Solyc10g083520.2.1	Ds_00002069-RA, Ds_00002064-RA, Ds_00016975-RA, Ds_00008727-RA
OG0001280	Solyc02g093640.3.1	Ds_00017770-RA
OG0001280	Solyc05g014150.3.1	Ds_00010733-RA
OG0001281	Solyc06g009780.3.1, Solyc09g075480.3.1	Ds_00000961-RA
OG0001281	Solyc01g100120.3.1	Ds_00003906-RA
OG0001282	Solyc12g019880.1.1, Solyc10g078460.2.1, Solyc10g080750.2.1	Ds_00012678-RA, Ds_00005773-RA
OG0001283	Solyc12g099340.2.1, Solyc01g060140.3.1	Ds_00005069-RA
OG0001285	Solyc04g074190.3.1	Ds_00008841-RA
OG0001285	Solyc01g105280.3.1, Solyc10g047290.2.1	Ds_00013029-RA, Ds_00000009-RA
OG0001286	Solyc04g076210.2.1	Ds_00003517-RA, Ds_00014777-RA
OG0001287	Solyc03g032010.3.1, Solyc03g032020.3.1, Solyc02g082260.3.1, Solyc02g038740.3.1	Ds_00016714-RA
OG0001288	Solyc06g073980.3.1, Solyc06g074160.2.1	Ds_00006794-RA
OG0001289	Solyc04g080730.3.1	Ds_00011289-RA, Ds_00000359-RA
OG0001289	Solyc02g084870.3.1	Ds_00013198-RA, Ds_00005824-RA, Ds_00013168-RA
OG0001290	Solyc04g082490.3.1	Ds_00007468-RA
OG0001292	Solyc08g062920.3.1, Solyc08g062915.1.1, Solyc08g062910.3.1	Ds_00008190-RA, Ds_00001649-RA
OG0001293	Solyc07g062605.1.1	Ds_00007537-RA
OG0001294	Solyc03g112350.3.1	Ds_00003804-RA
OG0001294	Solyc12g044860.2.1	Ds_00002373-RA
OG0001295	Solyc07g053980.3.1	Ds_00017984-RA
OG0001295	Solyc02g078230.2.1	Ds_00012901-RA
OG0001297	Solyc03g121990.3.1	Ds_00017011-RA
OG0001298	Solyc03g083960.3.1	Ds_00009286-RA, Ds_00015625-RA
OG0001298	Solyc06g060600.2.1	Ds_00002151-RA
OG0001299	Solyc05g016410.3.1, Solyc07g040720.3.1	Ds_00000112-RA
OG0001300	Solyc12g044920.2.1, Solyc03g121810.2.1, Solyc06g062780.3.1	Ds_00012816-RA, Ds_00002381-RA
OG0001301	Solyc03g121610.3.1	Ds_00000806-RA
OG0001302	Solyc01g104590.3.1	Ds_00013404-RA
OG0001303	Solyc12g096520.2.1	Ds_00005139-RA, Ds_00012567-RA, Ds_00003366-RA
OG0001303	Solyc04g064500.3.1	Ds_00002252-RA
OG0001304	Solyc07g017230.3.1, Solyc05g047570.2.1	Ds_00000459-RA, Ds_00003376-RA
OG0001305	Solyc08g082450.3.1	Ds_00017736-RA
OG0001307	Solyc06g051410.3.1, Solyc02g076760.3.1	Ds_00011038-RA
OG0001308	Solyc09g083380.3.1	Ds_00006412-RA
OG0001308	Solyc06g084020.3.1, Solyc09g066100.3.1	Ds_00007806-RA
OG0001309	Solyc09g014440.3.1	Ds_00011119-RA
OG0001310	Solyc11g012270.2.1, Solyc04g014760.3.1, Solyc05g054110.3.1	Ds_00004459-RA, Ds_00001710-RA, Ds_00001713-RA
OG0001311	Solyc04g050440.3.1	Ds_00015536-RA
OG0001311	Solyc03g045070.1.1	Ds_00011593-RA
OG0001312	Solyc07g062660.3.1, Solyc12g014170.2.1	Ds_00007546-RA
OG0001312	Solyc10g008070.3.1	Ds_00001195-RA
OG0001313	Solyc11g071350.1.1, Solyc06g074100.1.1	Ds_00008323-RA
OG0001314	Solyc05g056080.3.1	Ds_00005966-RA
OG0001315	Solyc11g011200.2.1	Ds_00007569-RA
OG0001315	Solyc06g035690.3.1, Solyc03g026290.3.1, Solyc03g026300.3.1	Ds_00012354-RA, Ds_00012966-RA
OG0001316	Solyc11g072980.1.1, Solyc11g072990.1.1	Ds_00014725-RA, Ds_00007512-RA
OG0001317	Solyc12g005950.2.1	Ds_00017207-RA
OG0001317	Solyc11g011980.3.1	Ds_00010692-RA
OG0001318	Solyc06g074040.1.1, Solyc11g068890.1.1	Ds_00008326-RA
OG0001318	Solyc01g007220.3.1, Solyc10g081955.1.1	Ds_00015561-RA, Ds_00015964-RA
OG0001319	Solyc01g086890.3.1	Ds_00011103-RA, Ds_00014978-RA
OG0001320	Solyc07g042900.3.1	Ds_00004395-RA
OG0001320	Solyc07g042905.1.1, Solyc07g042695.1.1	Ds_00000460-RA
OG0001322	Solyc09g072980.2.1, Solyc01g080250.3.1	Ds_00003119-RA, Ds_00004632-RA
OG0001323	Solyc03g026350.3.1	Ds_00012027-RA, Ds_00008786-RA, Ds_00012659-RA
OG0001324	Solyc01g109970.3.1	Ds_00000343-RA, Ds_00008886-RA
OG0001326	Solyc05g010710.2.1	Ds_00012372-RA
OG0001328	Solyc11g011890.2.1, Solyc04g014540.2.1	Ds_00012708-RA
OG0001329	Solyc06g072770.3.1	Ds_00007656-RA, Ds_00005566-RA
OG0001329	Solyc08g076530.3.1	Ds_00005110-RA
OG0001330	Solyc06g062450.3.1	Ds_00000777-RA, Ds_00000776-RA
OG0001335	Solyc09g075610.3.1	Ds_00000973-RA
OG0001336	Solyc09g011110.1.1, Solyc10g084910.2.1, Solyc09g089600.1.1	Ds_00006425-RA
OG0001339	Solyc06g009660.3.1, Solyc01g079540.3.1, Solyc01g100350.3.1, Solyc01g060130.3.1	Ds_00006346-RA, Ds_00003918-RA, Ds_00003681-RA
OG0001340	Solyc01g009180.3.1	Ds_00010126-RA, Ds_00008295-RA
OG0001341	Solyc09g066010.3.1, Solyc06g008610.3.1	Ds_00007808-RA
OG0001342	Solyc03g082363.1.1, Solyc02g005490.3.1	Ds_00012534-RA
OG0001343	Solyc09g076000.3.1	Ds_00006283-RA, Ds_00006937-RA, Ds_00003143-RA
OG0001344	Solyc09g005890.3.1	Ds_00010328-RA
OG0001344	Solyc04g010220.3.1	Ds_00009609-RA
OG0001345	Solyc06g051380.2.1	Ds_00006610-RA
OG0001346	Solyc01g099960.3.1	Ds_00003897-RA, Ds_00003671-RA
OG0001347	Solyc00g201160.3.1	Ds_00004168-RA
OG0001349	Solyc05g054980.3.1, Solyc04g010070.3.1	Ds_00006254-RA, Ds_00006969-RA
OG0001350	Solyc09g091460.3.1	Ds_00000472-RA
OG0001352	Solyc06g084250.3.1, Solyc09g065210.3.1	Ds_00004651-RA
OG0001353	Solyc09g008790.3.1, Solyc10g085720.2.1	Ds_00017149-RA
OG0001354	Solyc10g079140.2.1, Solyc03g063600.4.1	Ds_00011009-RA
OG0001356	Solyc11g006850.2.1, Solyc11g012650.2.1, Solyc11g005845.1.1	Ds_00004434-RA
OG0001356	Solyc03g097530.3.1	Ds_00007082-RA
OG0001357	Solyc02g065160.2.1	Ds_00004357-RA
OG0001357	Solyc01g108290.3.1	Ds_00006782-RA
OG0001358	Solyc12g094430.1.1	Ds_00017565-RA
OG0001358	Solyc02g081340.3.1	Ds_00003713-RA, Ds_00006241-RA
OG0001359	Solyc04g064790.3.1	Ds_00002235-RA
OG0001359	Solyc11g005760.2.1	Ds_00003628-RA
OG0001360	Solyc04g014220.1.1, Solyc11g010330.2.1	Ds_00003605-RA
OG0001360	Solyc01g105610.1.1, Solyc01g105620.3.1	Ds_00008175-RA, Ds_00013555-RA, Ds_00012223-RA
OG0001361	Solyc02g061850.3.1	Ds_00001435-RA
OG0001361	Solyc04g082000.3.1	Ds_00017562-RA
OG0001362	Solyc02g065490.3.1, Solyc02g089940.3.1, Solyc04g079830.2.1	Ds_00011871-RA
OG0001363	Solyc04g074040.3.1	Ds_00014775-RA, Ds_00008832-RA, Ds_00001584-RA
OG0001364	Solyc01g105110.1.1	Ds_00018023-RA
OG0001364	Solyc07g065410.1.1	Ds_00001694-RA, Ds_00014058-RA
OG0001365	Solyc07g053610.3.1, Solyc02g077660.3.1	Ds_00012307-RA
OG0001366	Solyc02g078570.3.1	Ds_00007711-RA
OG0001367	Solyc08g079080.4.1	Ds_00013472-RA
OG0001367	Solyc03g083910.4.1	Ds_00012927-RA
OG0001368	Solyc02g089800.3.1, Solyc03g045050.3.1	Ds_00012763-RA
OG0001369	Solyc07g055780.3.1, Solyc07g055790.2.1, Solyc07g055730.3.1	Ds_00014838-RA
OG0001369	Solyc12g044450.2.1, Solyc10g007450.2.1	Ds_00006867-RA
OG0001370	Solyc07g062480.1.1, Solyc07g062490.1.1	Ds_00017515-RA
OG0001371	Solyc03g123570.3.1, Solyc12g049590.2.1	Ds_00017896-RA
OG0001372	Solyc12g008620.2.1	Ds_00001551-RA, Ds_00013595-RA
OG0001372	Solyc06g066760.3.1, Solyc08g078270.3.1	Ds_00001377-RA
OG0001374	Solyc07g016180.3.1, Solyc05g047460.3.1	Ds_00003379-RA
OG0001375	Solyc06g034340.2.1, Solyc03g083880.3.1	Ds_00002150-RA
OG0001376	Solyc05g053350.3.1	Ds_00005050-RA
OG0001376	Solyc09g014310.3.1, Solyc01g099570.3.1, Solyc01g099580.2.1	Ds_00003660-RA
OG0001377	Solyc12g009840.2.1, Solyc07g007600.3.1	Ds_00007225-RA
OG0001377	Solyc01g100390.3.1	Ds_00003683-RA
OG0001378	Solyc10g083410.1.1	Ds_00002080-RA
OG0001378	Solyc03g026370.1.1, Solyc03g026360.1.1	Ds_00012024-RA
OG0001379	Solyc06g063000.3.1, Solyc03g122180.3.1	Ds_00000468-RA, Ds_00002341-RA
OG0001379	Solyc07g042180.3.1, Solyc12g009230.2.1	Ds_00016994-RA
OG0001380	Solyc10g081830.2.1	Ds_00007956-RA
OG0001380	Solyc07g018300.3.1	Ds_00003418-RA
OG0001381	Solyc05g026080.3.1	Ds_00000216-RA
OG0001381	Solyc08g065980.3.1	Ds_00003460-RA
OG0001382	Solyc12g010060.2.1	Ds_00017137-RA
OG0001382	Solyc05g006890.1.1, Solyc04g005510.3.1, Solyc01g011000.3.1, Solyc07g005560.3.1	Ds_00010533-RA
OG0001382	Solyc03g115650.3.1	Ds_00008447-RA
OG0001383	Solyc07g015800.1.1, Solyc03g117270.1.1	Ds_00006981-RA, Ds_00003030-RA
OG0001384	Solyc08g080190.3.1, Solyc08g080200.3.1	Ds_00002109-RA
OG0001384	Solyc06g035580.3.1	Ds_00012022-RA
OG0001385	Solyc01g088400.3.1, Solyc01g088430.3.1, Solyc12g100270.2.1	Ds_00008670-RA
OG0001386	Solyc11g062410.2.1, Solyc01g008850.3.1	Ds_00010010-RA, Ds_00004098-RA
OG0001387	Solyc01g044360.3.1	Ds_00006076-RA
OG0001388	Solyc07g064510.3.1	Ds_00011750-RA, Ds_00002965-RA
OG0001389	Solyc09g007840.3.1	Ds_00014581-RA, Ds_00016435-RA, Ds_00005846-RA
OG0001390	Solyc09g031705.1.1, Solyc09g031700.3.1	Ds_00008247-RA
OG0001390	Solyc09g013150.3.1	Ds_00007539-RA
OG0001391	Solyc03g118150.3.1, Solyc06g068800.3.1	Ds_00004304-RA, Ds_00009743-RA, Ds_00009745-RA
OG0001392	Solyc03g083320.3.1, Solyc06g051970.3.1	Ds_00012591-RA
OG0001393	Solyc00g030000.1.1, Solyc03g005450.3.1	Ds_00006422-RA, Ds_00006391-RA
OG0001394	Solyc04g071440.3.1	Ds_00016185-RA, Ds_00005354-RA
OG0001395	Solyc03g111680.3.1	Ds_00009694-RA
OG0001396	Solyc12g035520.2.1, Solyc05g015650.3.1	Ds_00004789-RA
OG0001397	Solyc02g065590.3.1	Ds_00008408-RA
OG0001398	Solyc03g031940.3.1	Ds_00006115-RA, Ds_00006230-RA, Ds_00006130-RA, Ds_00015006-RA, Ds_00002878-RA
OG0001399	Solyc05g010475.1.1	Ds_00009102-RA
OG0001400	Solyc05g005740.3.1, Solyc04g025880.3.1	Ds_00009020-RA, Ds_00015461-RA
OG0001400	Solyc02g087000.3.1	Ds_00017089-RA, Ds_00011416-RA
OG0001401	Solyc10g062180.2.1, Solyc10g062340.2.1, Solyc01g088800.3.1	Ds_00017277-RA
OG0001402	Solyc05g010420.2.1, Solyc01g010050.3.1	Ds_00008412-RA, Ds_00012381-RA, Ds_00009982-RA
OG0001403	Solyc05g008390.3.1, Solyc04g007600.3.1	Ds_00005898-RA, Ds_00008545-RA
OG0001404	Solyc02g086840.3.1	Ds_00001879-RA
OG0001405	Solyc08g065820.2.1, Solyc04g049140.3.1, Solyc09g091490.2.1	Ds_00016243-RA, Ds_00004183-RA, Ds_00004182-RA, Ds_00002645-RA
OG0001406	Solyc04g005130.3.1, Solyc05g006650.3.1	Ds_00015818-RA
OG0001407	Solyc09g010360.3.1, Solyc12g098280.2.1	Ds_00010342-RA
OG0001419	Solyc06g084240.2.1	Ds_00003839-RA, Ds_00003828-RA, Ds_00013882-RA
OG0001422	Solyc06g005680.3.1, Solyc06g076350.3.1	Ds_00012107-RA, Ds_00010091-RA, Ds_00009070-RA
OG0001423	Solyc06g083030.3.1, Solyc06g083040.3.1, Solyc06g083050.3.1, Solyc06g083020.2.1	Ds_00016816-RA, Ds_00013748-RA
OG0001424	Solyc09g098520.3.1	Ds_00003242-RA
OG0001425	Solyc10g044880.1.1	Ds_00006088-RA
OG0001427	Solyc02g086240.3.1, Solyc10g007980.3.1, Solyc12g010930.2.1	Ds_00014848-RA
OG0001428	Solyc09g064910.1.1	Ds_00016505-RA
OG0001428	Solyc01g080150.3.1	Ds_00003122-RA, Ds_00004649-RA
OG0001430	Solyc11g011360.2.1, Solyc04g014500.3.1, Solyc01g005390.3.1	Ds_00005923-RA
OG0001430	Solyc12g040870.2.1, Solyc03g118470.3.1, Solyc06g068900.3.1	Ds_00000137-RA
OG0001431	Solyc06g076700.1.1	Ds_00011602-RA, Ds_00008249-RA
OG0001432	Solyc01g087280.1.1	Ds_00015955-RA
OG0001432	Solyc04g015530.2.1, Solyc10g080210.2.1	Ds_00000821-RA
OG0001433	Solyc02g070500.1.1, Solyc08g016580.1.1	Ds_00009260-RA, Ds_00009491-RA, Ds_00010982-RA
OG0001433	Solyc01g100750.2.1, Solyc01g100770.2.1, Solyc01g100760.2.1	Ds_00003694-RA, Ds_00003929-RA
OG0001434	Solyc06g053400.3.1, Solyc08g014130.3.1	Ds_00009305-RA
OG0001435	Solyc06g076220.3.1, Solyc06g005560.3.1, Solyc06g051800.3.1	Ds_00015490-RA
OG0001437	Solyc01g080270.3.1	Ds_00004635-RA
OG0001438	Solyc09g098340.3.1, Solyc05g053900.3.1	Ds_00007335-RA
OG0001438	Solyc03g058400.3.1, Solyc05g055800.3.1, Solyc04g056590.3.1	Ds_00016817-RA
OG0001441	Solyc04g055160.3.1, Solyc03g078610.3.1, Solyc05g051970.3.1	Ds_00012837-RA
OG0001441	Solyc04g073970.3.1	Ds_00003503-RA
OG0001442	Solyc04g080090.3.1, Solyc12g089090.2.1	Ds_00015741-RA
OG0001442	Solyc12g005190.2.1, Solyc07g064310.2.1	Ds_00004260-RA, Ds_00011204-RA
OG0001443	Solyc00g050430.3.1, Solyc12g088130.2.1	Ds_00000627-RA
OG0001444	Solyc04g078930.3.1, Solyc03g095710.3.1	Ds_00002547-RA, Ds_00004951-RA, Ds_00012047-RA, Ds_00012049-RA, Ds_00002548-RA, Ds_00002549-RA, Ds_00011283-RA
OG0001445	Solyc03g095260.3.1, Solyc06g048480.3.1	Ds_00016351-RA
OG0001446	Solyc12g006240.2.1	Ds_00010019-RA, Ds_00004089-RA
OG0001447	Solyc07g051950.3.1	Ds_00005288-RA
OG0001447	Solyc04g080990.2.1	Ds_00011299-RA
OG0001447	Solyc03g031590.3.1	Ds_00004489-RA
OG0001448	Solyc07g063630.3.1	Ds_00002205-RA
OG0001448	Solyc02g079230.3.1	Ds_00015886-RA
OG0001449	Solyc10g052660.3.1, Solyc02g069850.3.1	Ds_00015685-RA, Ds_00001260-RA
OG0001450	Solyc12g014260.1.1, Solyc10g007310.1.1, Solyc07g062470.3.1	Ds_00001818-RA
OG0001450	Solyc10g008000.1.1	Ds_00012317-RA, Ds_00001200-RA
OG0001451	Solyc05g053260.3.1	Ds_00012918-RA
OG0001452	Solyc03g006660.3.1, Solyc02g084400.3.1	Ds_00015129-RA, Ds_00015888-RA
OG0001453	Solyc10g006000.3.1, Solyc07g065490.3.1	Ds_00014063-RA
OG0001454	Solyc07g063070.1.1	Ds_00007581-RA
OG0001454	Solyc02g078030.2.1	Ds_00011555-RA
OG0001455	Solyc07g065040.3.1, Solyc10g006100.3.1	Ds_00002974-RA
OG0001456	Solyc12g056410.2.1, Solyc08g080360.3.1	Ds_00001320-RA, Ds_00016624-RA
OG0001457	Solyc10g006755.1.1	Ds_00001756-RA, Ds_00010663-RA, Ds_00002217-RA
OG0001458	Solyc05g026180.2.1	Ds_00000219-RA
OG0001459	Solyc00g006540.1.1	Ds_00016090-RA
OG0001459	Solyc06g066030.3.1, Solyc08g059800.3.1	Ds_00016089-RA
OG0001460	Solyc06g053190.3.1	Ds_00005612-RA
OG0001461	Solyc08g081180.3.1	Ds_00001299-RA
OG0001461	Solyc10g012430.3.1, Solyc01g094680.3.1	Ds_00003581-RA
OG0001462	Solyc03g007760.3.1	Ds_00015864-RA
OG0001463	Solyc01g091910.4.1	Ds_00008790-RA
OG0001463	Solyc08g080130.3.1	Ds_00001328-RA
OG0001464	Solyc03g115760.3.1	Ds_00002269-RA
OG0001464	Solyc05g013050.3.1	Ds_00010545-RA
OG0001465	Solyc08g077630.3.1, Solyc08g077560.3.1	Ds_00013264-RA
OG0001465	Solyc01g088690.3.1, Solyc11g031980.1.1, Solyc02g014320.1.1	Ds_00016577-RA
OG0001467	Solyc10g017850.3.1, Solyc01g091730.3.1	Ds_00003563-RA
OG0001469	Solyc12g014610.2.1, Solyc07g065260.3.1	Ds_00001698-RA, Ds_00014044-RA
OG0001470	Solyc11g007180.2.1	Ds_00014563-RA, Ds_00007984-RA
OG0001470	Solyc09g009700.3.1	Ds_00016963-RA, Ds_00008718-RA, Ds_00002076-RA, Ds_00017759-RA
OG0001471	Solyc01g008580.1.1	Ds_00004222-RA, Ds_00012392-RA, Ds_00004738-RA
OG0001473	Solyc09g007870.3.1, Solyc09g005543.1.1, Solyc09g005540.2.1, Solyc09g005527.1.1	Ds_00008769-RA
OG0001474	Solyc04g011610.2.1	Ds_00015262-RA, Ds_00011350-RA, Ds_00011349-RA
OG0001475	Solyc11g006070.2.1	Ds_00006944-RA
OG0001475	Solyc01g111170.3.1, Solyc10g054910.1.1	Ds_00000028-RA
OG0001476	Solyc04g005030.3.1	Ds_00005983-RA
OG0001477	Solyc07g043320.3.1	Ds_00005416-RA
OG0001478	Solyc06g074820.3.1, Solyc10g083880.2.1	Ds_00008755-RA
OG0001478	Solyc06g075650.3.1	Ds_00014722-RA, Ds_00010057-RA
OG0001479	Solyc02g080400.2.1	Ds_00004511-RA
OG0001480	Solyc01g080170.3.1	Ds_00012666-RA
OG0001481	Solyc07g045250.1.1	Ds_00016128-RA
OG0001481	Solyc10g080450.2.1, Solyc10g078710.1.1	Ds_00011033-RA
OG0001482	Solyc03g114300.3.1	Ds_00002628-RA
OG0001484	Solyc10g077070.2.1, Solyc09g082050.3.1	Ds_00006224-RA, Ds_00007016-RA, Ds_00006113-RA, Ds_00005745-RA
OG0001485	Solyc10g005920.3.1, Solyc07g065950.3.1	Ds_00004930-RA, Ds_00001679-RA
OG0001486	Solyc05g013680.3.1	Ds_00017076-RA
OG0001486	Solyc05g013690.3.1	Ds_00005871-RA, Ds_00005889-RA, Ds_00017077-RA
OG0001487	Solyc10g011815.1.1	Ds_00008375-RA
OG0001487	Solyc08g063090.2.1	Ds_00000870-RA, Ds_00011366-RA, Ds_00004462-RA, Ds_00003112-RA
OG0001488	Solyc08g014280.3.1, Solyc06g053455.1.1	Ds_00004999-RA
OG0001490	Solyc11g027880.2.1	Ds_00015005-RA
OG0001490	Solyc06g064940.3.1, Solyc11g051160.2.1	Ds_00012552-RA, Ds_00002891-RA
OG0001493	Solyc01g058670.3.1	Ds_00005054-RA
OG0001493	Solyc01g100660.3.1	Ds_00017568-RA, Ds_00003923-RA
OG0001494	Solyc06g071880.3.1, Solyc06g071870.3.1, Solyc03g111230.3.1	Ds_00009177-RA, Ds_00010764-RA
OG0001496	Solyc06g069660.2.1	Ds_00005336-RA
OG0001497	Solyc03g112950.3.1	Ds_00003775-RA, Ds_00003777-RA
OG0001498	Solyc06g071400.3.1, Solyc03g114200.3.1	Ds_00003764-RA, Ds_00011404-RA, Ds_00016276-RA
OG0001500	Solyc05g011810.3.1, Solyc04g005280.3.1	Ds_00006573-RA
OG0001501	Solyc01g101040.3.1	Ds_00005011-RA
OG0001501	Solyc05g005160.3.1, Solyc04g039670.3.1	Ds_00009059-RA
OG0001504	Solyc01g102700.3.1, Solyc01g102680.3.1, Solyc01g102685.1.1, Solyc02g024065.1.1	Ds_00014533-RA, Ds_00007071-RA
OG0001514	Solyc01g102260.3.1	Ds_00006218-RA, Ds_00011963-RA, Ds_00014363-RA
OG0001515	Solyc05g023720.1.1, Solyc11g020315.1.1	Ds_00006646-RA
OG0001516	Solyc02g068730.3.1	Ds_00013874-RA
OG0001516	Solyc11g069790.2.1, Solyc06g075010.3.1	Ds_00005157-RA, Ds_00004136-RA
OG0001517	Solyc03g005470.3.1, Solyc09g089670.3.1	Ds_00003182-RA
OG0001518	Solyc03g096050.3.1	Ds_00006607-RA
OG0001519	Solyc06g050990.3.1, Solyc05g052480.3.1	Ds_00009188-RA
OG0001521	Solyc01g067550.3.1, Solyc06g054625.1.1	Ds_00014519-RA
OG0001521	Solyc09g074640.3.1, Solyc06g008740.3.1	Ds_00000915-RA
