Orthogroup	S_lycopersicum.proteins	B_vulgaris.proteins
OG0002459	Solyc07g006760.3.1	Bevul.8G213300.1.p
OG0002460	Solyc10g012070.3.1, Solyc01g094950.3.1	Bevul.1G181700.1.p
OG0002461	Solyc10g018350.2.1, Solyc01g090910.3.1	Bevul.1G136000.1.p
OG0002461	Solyc08g078690.3.1	Bevul.5G000900.1.p
OG0002462	Solyc06g036720.3.1	Bevul.8G163800.1.p
OG0002463	Solyc07g045240.3.1	Bevul.9G037100.1.p
OG0002463	Solyc12g035310.2.1	Bevul.4G003800.1.p
OG0002464	Solyc06g051760.3.1	Bevul.2G240700.2.p, Bevul.2G240700.1.p
OG0002465	Solyc06g060400.3.1, Solyc06g064630.3.1	Bevul.8G049500.1.p, Bevul.5G068300.1.p
OG0002467	Solyc10g080390.2.1, Solyc03g059250.3.1	Bevul.3G189300.1.p
OG0002467	Solyc11g061965.1.1, Solyc11g061960.2.1	Bevul.4G239900.1.p
OG0002468	Solyc06g036590.1.1	Bevul.2G107900.2.p, Bevul.2G107900.1.p
OG0002469	Solyc11g066780.2.1, Solyc06g074640.2.1	Bevul.9G103300.1.p
OG0002470	Solyc10g081350.2.1, Solyc10g076920.2.1	Bevul.3G224500.1.p
OG0002471	Solyc05g053010.1.1	Bevul.2G228600.1.p
OG0002471	Solyc09g011070.1.1, Solyc10g084860.1.1	Bevul.5G138400.1.p
OG0002472	Solyc05g050550.3.1, Solyc10g009380.3.1, Solyc01g096080.3.1	Bevul.1G193300.1.p
OG0002472	Solyc03g083050.3.1	Bevul.3G036100.1.p
OG0002473	Solyc03g051790.3.1	Bevul.3G188800.1.p
OG0002474	Solyc09g015170.3.1	Bevul.2G250300.1.p, Bevul.5G057000.1.p
OG0002475	Solyc07g045330.3.1	Bevul.3G013300.1.p
OG0002476	Solyc07g056330.3.1, Solyc10g007760.3.1	Bevul.9G038100.1.p
OG0002476	Solyc04g039650.3.1	Bevul.6G182000.1.p
OG0002477	Solyc00g006490.3.1, Solyc11g069490.2.1, Solyc06g075160.3.1	Bevul.9G049100.1.p
OG0002478	Solyc07g056010.3.1	Bevul.7G052600.17.p, Bevul.7G052600.16.p, Bevul.7G052600.1.p, Bevul.7G052600.6.p, Bevul.7G052600.4.p, Bevul.7G052600.14.p, Bevul.7G052600.13.p, Bevul.7G052600.15.p, Bevul.7G052600.9.p, Bevul.7G052600.11.p, Bevul.7G052600.8.p, Bevul.7G052600.10.p, Bevul.7G052600.12.p, Bevul.7G052600.3.p, Bevul.7G052600.5.p, Bevul.7G052600.7.p, Bevul.7G052600.2.p
OG0002479	Solyc10g054100.2.1, Solyc01g110280.3.1	Bevul.9G162600.1.p, Bevul.9G162600.2.p, Bevul.9G162500.1.p, Bevul.9G162500.2.p
OG0002480	Solyc08g078800.1.1	Bevul.5G002900.1.p
OG0002481	Solyc06g071660.2.1	Bevul.5G218000.1.p
OG0002482	Solyc06g068880.3.1, Solyc03g118370.3.1	Bevul.5G162400.1.p
OG0002483	Solyc05g015910.1.1, Solyc01g009910.1.1, Solyc01g009900.3.1, Solyc01g009890.1.1	Bevul.6G202300.1.p
OG0002484	Solyc03g111640.3.1, Solyc03g111630.3.1	Bevul.7G143200.1.p
OG0002485	Solyc02g093940.3.1	Bevul.1G028500.1.p
OG0002486	Solyc05g015840.3.1	Bevul.6G204800.1.p
OG0002488	Solyc03g080080.3.1	Bevul.3G023800.1.p
OG0002489	Solyc10g053970.2.1, Solyc01g109870.3.1	Bevul.9G167300.1.p
OG0002490	Solyc09g090270.3.1	Bevul.3G007400.1.p
OG0002491	Solyc12g010210.2.1	Bevul.7G105900.1.p
OG0002491	Solyc12g015790.1.1, Solyc00g007270.3.1	Bevul.7G106000.1.p
OG0002492	Solyc02g093490.3.1	Bevul.4G098700.1.p
OG0002493	Solyc02g093280.2.1	Bevul.6G003700.1.p
OG0002494	Solyc01g068590.3.1	Bevul.5G262600.1.p
OG0002495	Solyc01g011030.3.1, Solyc05g012560.2.1	Bevul.5G181900.1.p
OG0002496	Solyc05g012500.3.1	Bevul.6G082400.1.p, Bevul.5G257600.1.p
OG0002497	Solyc05g014030.3.1	Bevul.6G171200.1.p
OG0002498	Solyc02g088300.3.1	Bevul.2G065100.1.p, Bevul.2G065100.2.p
OG0002499	Solyc09g030370.3.1, Solyc12g010560.2.1, Solyc00g058900.2.1, Solyc04g007440.1.1	Bevul.7G216100.1.p
OG0002500	Solyc06g082900.3.1, Solyc06g082895.1.1, Solyc06g007660.2.1, Solyc09g020010.2.1	Bevul.5G229600.1.p
OG0002501	Solyc03g097190.3.1, Solyc06g072730.3.1	Bevul.8G007300.1.p
OG0002502	Solyc01g010760.3.1	Bevul.6G241400.1.p
OG0002502	Solyc03g058920.3.1, Solyc02g067460.3.1	Bevul.2G056400.1.p
OG0002503	Solyc02g089550.3.1, Solyc05g010400.3.1, Solyc04g005910.3.1	Bevul.6G114300.1.p
OG0002504	Solyc05g012040.3.1	Bevul.6G077100.1.p
OG0002504	Solyc03g114850.3.1, Solyc12g038520.2.1	Bevul.5G173300.1.p
OG0002505	Solyc04g005865.1.1	Bevul.6G239400.1.p
OG0002506	Solyc03g113070.3.1	Bevul.9G039400.4.p, Bevul.9G039400.1.p, Bevul.9G039400.3.p, Bevul.9G039400.2.p, Bevul.9G051000.1.p
OG0002507	Solyc03g119740.3.1	Bevul.3G222900.1.p
OG0002507	Solyc04g008870.3.1	Bevul.1G171500.1.p
OG0002508	Solyc08g077300.3.1	Bevul.4G248900.1.p
OG0002509	Solyc05g007755.1.1	Bevul.6G232100.1.p, Bevul.2G145900.1.p
OG0002510	Solyc06g048960.3.1, Solyc11g008540.2.1, Solyc11g008520.2.1, Solyc11g008530.2.1	Bevul.4G213000.1.p
OG0002511	Solyc08g005490.3.1, Solyc08g075870.3.1	Bevul.5G101400.1.p
OG0002512	Solyc03g112660.3.1	Bevul.5G216200.1.p
OG0002513	Solyc05g017893.1.1	Bevul.6G142000.1.p
OG0002514	Solyc03g115247.1.1	Bevul.5G179300.1.p
OG0002515	Solyc01g007140.3.1	Bevul.5G012700.1.p
OG0002516	Solyc01g008977.1.1, Solyc01g008980.3.1	Bevul.9G062200.7.p, Bevul.9G062200.10.p, Bevul.9G062200.2.p, Bevul.9G062200.9.p, Bevul.9G062200.6.p, Bevul.9G062200.8.p, Bevul.9G062200.13.p, Bevul.9G062200.14.p, Bevul.9G062200.15.p, Bevul.9G062200.11.p, Bevul.9G062200.3.p, Bevul.9G062200.16.p, Bevul.9G062200.5.p, Bevul.9G062200.12.p, Bevul.9G062200.4.p, Bevul.9G062200.1.p
OG0002524	Solyc01g006700.3.1	Bevul.5G114500.1.p
OG0002525	Solyc02g088850.3.1, Solyc02g088870.1.1, Solyc02g088880.1.1, Solyc02g088860.2.1	Bevul.8G093200.1.p
OG0002526	Solyc02g091790.3.1	Bevul.4G215300.1.p
OG0002526	Solyc00g059100.3.1	Bevul.5G231400.1.p
OG0002527	Solyc05g054830.3.1	Bevul.2G107400.1.p
OG0002528	Solyc09g008930.3.1	Bevul.7G038100.1.p
OG0002530	Solyc04g058180.3.1	Bevul.1G087000.1.p
OG0002530	Solyc05g052970.3.1	Bevul.2G227300.2.p, Bevul.2G227300.3.p, Bevul.2G227300.1.p
OG0002531	Solyc06g009600.1.1, Solyc01g079350.3.1, Solyc01g100540.3.1	Bevul.5G255500.1.p, Bevul.3G056200.1.p
OG0002532	Solyc02g072120.3.1	Bevul.8G009000.1.p
OG0002533	Solyc11g020040.2.1	Bevul.1G202400.1.p
OG0002534	Solyc01g009090.3.1	Bevul.7G186300.1.p
OG0002535	Solyc06g084510.3.1	Bevul.7G088600.1.p
OG0002535	Solyc06g054540.3.1, Solyc01g067360.3.1	Bevul.3G153000.1.p
OG0002536	Solyc02g077230.3.1, Solyc07g062800.1.1	Bevul.4G068600.1.p
OG0002536	Solyc10g008050.2.1	Bevul.9G084600.1.p
OG0002537	Solyc06g007440.3.1, Solyc06g082440.1.1	Bevul.7G223400.1.p
OG0002537	Solyc10g085450.2.1, Solyc10g085440.1.1, Solyc09g018280.1.1	Bevul.7G009400.1.p
OG0002539	Solyc01g008930.4.1	Bevul.3G182400.1.p
OG0002540	Solyc01g102300.3.1	Bevul.4G175400.1.p
OG0002541	Solyc11g072520.2.1	Bevul.9G058600.8.p, Bevul.9G058600.2.p, Bevul.9G058600.9.p, Bevul.9G058600.5.p, Bevul.9G058600.10.p, Bevul.9G058600.7.p, Bevul.9G058600.4.p, Bevul.9G058600.3.p, Bevul.9G058600.11.p, Bevul.9G058600.1.p, Bevul.9G058600.6.p, Bevul.9G058100.1.p
OG0002542	Solyc04g055190.3.1	Bevul.8G023600.1.p
OG0002543	Solyc12g014290.2.1, Solyc07g062400.3.1, Solyc09g055470.1.1, Solyc10g007350.3.1	Bevul.4G076300.1.p
OG0002543	Solyc01g104740.3.1	Bevul.8G189300.1.p
OG0002544	Solyc12g035880.1.1	Bevul.5G128400.1.p, Bevul.4G099600.1.p, Bevul.5G129000.1.p
OG0002545	Solyc12g010340.2.1	Bevul.1G153700.1.p
OG0002546	Solyc09g064540.3.1	Bevul.7G113100.1.p, Bevul.2G226900.1.p
OG0002546	Solyc04g050140.3.1	Bevul.4G190400.1.p
OG0002547	Solyc09g010410.3.1, Solyc10g086360.2.1	Bevul.9G092800.1.p
OG0002548	Solyc01g079680.3.1	Bevul.1G210400.1.p
OG0002549	Solyc06g073080.3.1, Solyc03g080190.3.1	Bevul.3G025900.1.p
OG0002550	Solyc06g053480.3.1	Bevul.3G113400.1.p
OG0002551	Solyc09g065030.3.1, Solyc06g084290.3.1	Bevul.7G074300.2.p, Bevul.7G074300.1.p
OG0002552	Solyc11g044270.2.1, Solyc01g106420.3.1	Bevul.9G218400.1.p, Bevul.9G218400.2.p
OG0002553	Solyc02g064595.1.1, Solyc02g064590.2.1	Bevul.2G187200.1.p
OG0002554	Solyc01g105330.3.1	Bevul.9G147000.1.p, Bevul.9G147000.2.p
OG0002554	Solyc04g074250.2.1	Bevul.1G101300.1.p
OG0002555	Solyc11g006660.2.1, Solyc05g055210.2.1	Bevul.5G199400.1.p
OG0002555	Solyc12g010520.2.1	Bevul.4G092800.1.p, Bevul.4G091000.1.p
OG0002559	Solyc04g077830.2.1	Bevul.1G007700.1.p
OG0002560	Solyc03g006170.3.1	Bevul.8G004600.1.p
OG0002561	Solyc07g007550.3.1	Bevul.8G167800.1.p
OG0002561	Solyc10g085225.1.1	Bevul.2G175200.1.p
OG0002562	Solyc07g032090.3.1	Bevul.1G162300.1.p
OG0002562	Solyc10g054400.1.1	Bevul.2G116700.1.p
OG0002563	Solyc04g082060.3.1	Bevul.1G033600.1.p
OG0002564	Solyc05g056570.3.1, Solyc04g049160.3.1	Bevul.4G190000.1.p
OG0002564	Solyc06g065380.3.1, Solyc11g018610.2.1	Bevul.1G209800.1.p
OG0002565	Solyc04g074120.3.1	Bevul.1G100100.1.p
OG0002567	Solyc12g032933.1.1, Solyc03g019680.3.1, Solyc06g072050.3.1	Bevul.5G156600.1.p
OG0002568	Solyc05g051490.3.1, Solyc01g105510.3.1	Bevul.6G096900.1.p
OG0002569	Solyc01g108140.3.1	Bevul.9G183300.1.p
OG0002570	Solyc07g005700.3.1, Solyc07g005710.3.1	Bevul.8G149800.1.p
OG0002571	Solyc01g107760.3.1	Bevul.9G237600.1.p
OG0002571	Solyc12g088670.2.1, Solyc04g078540.3.1	Bevul.1G003300.1.p
OG0002572	Solyc02g088610.3.1	Bevul.2G070900.1.p
OG0002572	Solyc06g011370.3.1	Bevul.2G170200.2.p, Bevul.2G170200.1.p
OG0002573	Solyc05g050010.3.1, Solyc01g095080.3.1	Bevul.1G182800.1.p
OG0002577	Solyc12g014190.2.1	Bevul.4G073500.1.p
OG0002579	Solyc11g030600.3.1	Bevul.8G210800.1.p
OG0002580	Solyc06g073670.3.1	Bevul.7G186200.1.p
OG0002581	Solyc07g065370.3.1	Bevul.8G038600.1.p, Bevul.4G010900.1.p
OG0002583	Solyc05g046130.3.1, Solyc07g052910.3.1, Solyc12g005700.2.1	Bevul.9G066300.1.p
OG0002583	Solyc02g079940.3.1	Bevul.8G067600.1.p
OG0002584	Solyc09g063020.3.1, Solyc06g083630.3.1	Bevul.3G102900.1.p
OG0002585	Solyc06g065800.3.1	Bevul.2G171300.1.p, Bevul.2G171300.3.p, Bevul.2G171300.2.p
OG0002585	Solyc03g117080.3.1	Bevul.9G227900.1.p
OG0002586	Solyc08g079100.3.1	Bevul.5G007600.1.p
OG0002587	Solyc08g061320.3.1	Bevul.2G001500.2.p, Bevul.2G001500.1.p, Bevul.2G001500.4.p, Bevul.2G001500.3.p
OG0002588	Solyc08g066160.3.1	Bevul.2G153700.1.p
OG0002589	Solyc08g007970.3.1, Solyc08g080780.3.1	Bevul.5G031400.1.p
OG0002590	Solyc01g091200.3.1, Solyc05g050990.1.1, Solyc10g018260.1.1	Bevul.1G132200.1.p
OG0002590	Solyc03g083550.1.1, Solyc08g079440.1.1	Bevul.5G045200.1.p
OG0002591	Solyc03g120980.3.1	Bevul.9G118100.2.p, Bevul.9G118100.1.p
OG0002592	Solyc01g094720.3.1	Bevul.1G178900.1.p
OG0002592	Solyc09g031750.3.1	Bevul.7G193700.1.p, Bevul.7G193300.1.p
OG0002593	Solyc03g026110.3.1	Bevul.3G078500.1.p
OG0002594	Solyc07g005050.3.1, Solyc12g010350.2.1	Bevul.2G171800.1.p
OG0002595	Solyc02g094420.3.1	Bevul.6G037000.1.p
OG0002596	Solyc03g121620.1.1, Solyc11g069970.1.1, Solyc12g095980.2.1, Solyc08g065140.1.1	Bevul.2G143900.1.p
OG0002597	Solyc11g044770.1.1, Solyc04g049540.3.1, Solyc06g034260.1.1, Solyc03g121160.1.1, Solyc09g066330.2.1, Solyc11g020555.1.1, Solyc12g019477.1.1	Bevul.5G195100.1.p, Bevul.6G110400.1.p, Bevul.7G139300.1.p, Bevul.3G110100.1.p, Bevul.6G031400.1.p, Bevul.5G175500.1.p, Bevul.2G126100.1.p, Bevul.1G039200.1.p, Bevul.4G205800.1.p, Bevul.5G095200.1.p, Bevul.2G021900.1.p, Bevul.8G154700.1.p, Bevul.4G167200.1.p, Bevul.2G168200.1.p, Bevul.6G181800.1.p
OG0002598	Solyc08g075840.3.1	Bevul.5G101200.1.p
OG0002598	Solyc05g025590.3.1	Bevul.8G135900.1.p
OG0002599	Solyc11g021180.1.1, Solyc05g047440.1.1	Bevul.9G168000.1.p
OG0002599	Solyc01g017480.1.1	Bevul.7G015600.1.p
OG0002600	Solyc06g065820.3.1	Bevul.2G171600.1.p
OG0002601	Solyc08g061500.2.1, Solyc08g061520.3.1	Bevul.2G134600.1.p, Bevul.2G134600.2.p
OG0002602	Solyc07g022880.3.1	Bevul.8G188900.1.p
OG0002603	Solyc11g008770.2.1	Bevul.4G215100.1.p
OG0002603	Solyc12g096810.2.1	Bevul.3G116200.1.p
OG0002604	Solyc12g095850.2.1	Bevul.5G099300.1.p
OG0002607	Solyc01g007790.3.1	Bevul.7G017600.6.p, Bevul.7G017600.7.p, Bevul.7G017600.3.p, Bevul.7G017600.2.p, Bevul.7G017600.4.p, Bevul.7G017600.1.p, Bevul.7G017600.5.p
OG0002608	Solyc12g005000.1.1	Bevul.4G032500.1.p, Bevul.4G032600.1.p
OG0002609	Solyc01g006230.3.1	Bevul.3G120900.1.p
OG0002610	Solyc02g079010.3.1, Solyc03g006620.3.1	Bevul.8G002400.1.p
OG0002610	Solyc07g063560.3.1	Bevul.4G052400.1.p
OG0002611	Solyc10g085710.2.1, Solyc09g018030.3.1	Bevul.7G007300.2.p, Bevul.7G007300.1.p
OG0002611	Solyc02g071780.3.1	Bevul.8G074500.1.p
OG0002612	Solyc01g068080.3.1	Bevul.6G126800.1.p
OG0002613	Solyc04g011380.3.1	Bevul.2G101600.21.p, Bevul.2G101600.13.p, Bevul.2G101600.18.p, Bevul.2G101600.14.p, Bevul.2G101600.12.p, Bevul.2G101600.11.p, Bevul.2G101600.17.p, Bevul.2G101600.15.p, Bevul.2G101600.7.p, Bevul.2G101600.8.p, Bevul.2G101600.9.p, Bevul.2G101600.16.p, Bevul.2G101600.20.p, Bevul.2G101600.10.p, Bevul.2G101600.4.p, Bevul.2G101600.5.p, Bevul.2G101600.6.p, Bevul.2G101600.1.p, Bevul.2G101600.3.p, Bevul.2G101600.2.p, Bevul.2G101600.19.p
OG0002614	Solyc10g009140.3.1, Solyc03g006530.3.1, Solyc02g078660.3.1, Solyc02g078665.1.1	Bevul.8G032900.1.p
OG0002615	Solyc07g063490.3.1	Bevul.4G053900.1.p
OG0002616	Solyc04g015300.3.1	Bevul.8G035000.1.p
OG0002617	Solyc05g043360.2.1, Solyc07g049460.3.1	Bevul.5G162800.1.p
OG0002618	Solyc03g064020.3.1, Solyc10g079030.2.1, Solyc10g050040.1.1	Bevul.3G187800.1.p
OG0002618	Solyc01g086850.3.1	Bevul.2G187800.1.p, Bevul.2G187800.2.p, Bevul.2G187800.3.p
OG0002619	Solyc08g081790.2.1	Bevul.7G160900.1.p, Bevul.5G023400.1.p
OG0002620	Solyc09g007390.3.1, Solyc05g016253.1.1, Solyc10g086040.2.1	Bevul.7G061700.1.p
OG0002620	Solyc06g072330.3.1	Bevul.6G017800.1.p
OG0002621	Solyc06g082580.3.1	Bevul.8G055500.1.p, Bevul.2G030200.2.p, Bevul.2G030200.1.p, Bevul.2G030200.3.p, Bevul.2G030200.4.p
OG0002622	Solyc09g018450.3.1	Bevul.5G054700.1.p
OG0002622	Solyc06g007320.3.1	Bevul.7G219600.1.p
OG0002624	Solyc02g082900.3.1	Bevul.6G219700.1.p, Bevul.6G219800.1.p
OG0002625	Solyc07g055010.3.1	Bevul.9G090400.1.p, Bevul.9G090500.1.p
OG0002626	Solyc06g050210.3.1	Bevul.2G183000.1.p, Bevul.2G183000.4.p, Bevul.2G183000.8.p, Bevul.2G183000.9.p, Bevul.2G183000.2.p, Bevul.2G183000.5.p, Bevul.2G183000.3.p, Bevul.2G183000.10.p, Bevul.2G183000.11.p, Bevul.2G183000.12.p, Bevul.2G183000.6.p, Bevul.2G183000.7.p
OG0002627	Solyc02g021480.3.1, Solyc10g007740.3.1	Bevul.8G080600.1.p
OG0002628	Solyc07g064330.3.1	Bevul.3G208900.1.p
OG0002629	Solyc12g015640.2.1	Bevul.4G011500.1.p
OG0002630	Solyc11g006410.2.1, Solyc04g009795.1.1	Bevul.4G107700.1.p
OG0002631	Solyc04g005650.2.1	Bevul.6G052600.1.p
OG0002632	Solyc02g093900.3.1	Bevul.5G207300.1.p
OG0002633	Solyc01g106680.3.1	Bevul.3G131000.1.p
OG0002634	Solyc05g050220.3.1, Solyc01g095460.3.1	Bevul.1G186600.1.p
OG0002636	Solyc01g112245.1.1	Bevul.9G149900.4.p, Bevul.9G149900.3.p, Bevul.9G149900.5.p, Bevul.9G149900.7.p, Bevul.9G149900.2.p, Bevul.9G149900.6.p, Bevul.9G149900.1.p
OG0002637	Solyc12g096940.2.1, Solyc09g090650.3.1	Bevul.3G003200.1.p
OG0002638	Solyc03g083060.3.1	Bevul.3G036000.1.p
OG0002639	Solyc09g076010.3.1, Solyc03g005170.3.1	Bevul.3G137500.1.p
OG0002640	Solyc02g092940.3.1	Bevul.6G007400.1.p
OG0002640	Solyc01g107650.3.1	Bevul.9G234400.1.p
OG0002641	Solyc01g107968.1.1, Solyc01g107966.1.1, Solyc01g020180.1.1, Solyc01g107961.1.1, Solyc01g107970.1.1, Solyc01g020170.1.1, Solyc12g036430.2.1, Solyc01g107960.3.1, Solyc01g107962.1.1, Solyc01g057300.2.1, Solyc01g107950.2.1, Solyc01g014960.1.1, Solyc09g018150.1.1, Solyc01g014910.2.1, Solyc09g018130.2.1, Solyc01g020155.1.1, Solyc01g020160.1.1, Solyc01g107964.1.1	Bevul.9G155600.1.p
OG0002642	Solyc03g111510.3.1	Bevul.7G144800.1.p
OG0002642	Solyc05g014230.3.1	Bevul.6G169300.1.p
OG0002643	Solyc05g009540.3.1	Bevul.6G124800.1.p
OG0002645	Solyc05g015420.3.1	Bevul.6G207600.1.p
OG0002646	Solyc01g090200.3.1	Bevul.7G158000.1.p
OG0002647	Solyc06g068720.3.1, Solyc03g118090.3.1	Bevul.6G167100.1.p
OG0002648	Solyc08g005290.3.1, Solyc08g076100.3.1	Bevul.5G098100.1.p
OG0002649	Solyc02g087790.2.1, Solyc02g087820.1.1, Solyc04g024785.1.1, Solyc10g049920.2.1, Solyc11g017435.1.1, Solyc02g087810.3.1, Solyc02g087800.3.1, Solyc02g087780.3.1, Solyc02g087770.3.1	Bevul.2G057700.1.p
OG0002650	Solyc01g081040.3.1	Bevul.1G151600.1.p
OG0002650	Solyc08g076830.1.1, Solyc06g061250.2.1	Bevul.5G091200.1.p
OG0002651	Solyc07g008850.3.1	Bevul.2G029900.3.p, Bevul.2G029900.2.p, Bevul.2G029900.1.p
OG0002652	Solyc08g078400.3.1, Solyc08g078390.3.1	Bevul.5G069800.1.p
OG0002653	Solyc03g045060.3.1	Bevul.6G118800.1.p, Bevul.5G147200.1.p
OG0002654	Solyc06g070990.3.1, Solyc03g113120.3.1	Bevul.5G194800.1.p
OG0002654	Solyc02g067430.3.1	Bevul.2G057300.1.p
OG0002655	Solyc06g071270.3.1, Solyc03g113700.3.1	Bevul.5G203400.1.p
OG0002657	Solyc05g051220.3.1, Solyc11g011500.2.1	Bevul.2G081400.2.p, Bevul.2G081400.3.p, Bevul.2G081400.1.p, Bevul.2G067300.1.p
OG0002658	Solyc05g007940.3.1	Bevul.6G235600.1.p
OG0002661	Solyc10g079070.2.1	Bevul.3G188400.1.p
OG0002673	Solyc09g090590.3.1, Solyc12g096930.2.1	Bevul.3G003500.1.p
OG0002674	Solyc01g098850.3.1	Bevul.4G154100.1.p, Bevul.4G154200.1.p
OG0002676	Solyc01g101130.3.1	Bevul.4G173500.1.p
OG0002677	Solyc11g064790.2.1, Solyc01g008820.3.1	Bevul.4G223400.1.p
OG0002678	Solyc09g008460.3.1	Bevul.7G046900.1.p
OG0002679	Solyc12g044540.2.1, Solyc01g050010.3.1, Solyc03g063440.1.1	Bevul.6G077600.1.p
OG0002680	Solyc05g051270.3.1, Solyc11g011000.2.1	Bevul.9G206500.1.p
OG0002681	Solyc10g080350.2.1	Bevul.1G153800.1.p, Bevul.1G154600.1.p, Bevul.2G092300.2.p, Bevul.2G092300.1.p
OG0002682	Solyc01g088150.3.1	Bevul.9G095600.1.p
OG0002682	Solyc04g016330.3.1	Bevul.3G199800.1.p
OG0002684	Solyc08g081680.2.1	Bevul.5G024600.1.p
OG0002685	Solyc01g058320.3.1, Solyc05g053360.3.1, Solyc01g100690.3.1	Bevul.5G258200.1.p, Bevul.3G061400.1.p
OG0002686	Solyc08g007900.2.1, Solyc08g080430.2.1	Bevul.5G034600.1.p
OG0002688	Solyc06g007620.3.1, Solyc03g078160.3.1	Bevul.5G224300.1.p
OG0002689	Solyc03g095780.2.1, Solyc06g050500.2.1, Solyc05g052420.2.1	Bevul.5G056100.1.p, Bevul.2G249600.1.p
OG0002690	Solyc10g008870.3.1, Solyc02g077440.3.1	Bevul.8G019000.1.p
OG0002691	Solyc09g008560.3.1	Bevul.7G045100.2.p, Bevul.7G045100.1.p
OG0002692	Solyc09g018370.3.1	Bevul.4G141600.1.p
OG0002693	Solyc01g098610.3.1	Bevul.4G150100.1.p
OG0002694	Solyc01g006150.3.1, Solyc12g100300.2.1	Bevul.4G244300.1.p
OG0002695	Solyc05g018760.2.1, Solyc07g045190.2.1, Solyc12g006230.2.1	Bevul.6G177200.1.p
OG0002696	Solyc08g043170.3.1, Solyc06g019170.3.1	Bevul.2G226300.2.p, Bevul.2G226300.1.p
OG0002698	Solyc01g099220.3.1	Bevul.4G157500.1.p
OG0002699	Solyc11g007200.2.1	Bevul.4G102900.1.p
OG0002700	Solyc11g010910.2.1	Bevul.1G174200.1.p
OG0002701	Solyc12g057120.3.1	Bevul.1G105700.1.p
OG0002701	Solyc07g006270.3.1	Bevul.8G157100.1.p
OG0002702	Solyc05g056295.1.1	Bevul.1G097900.1.p, Bevul.5G249600.1.p
OG0002703	Solyc05g007590.3.1	Bevul.4G174200.1.p
OG0002704	Solyc05g056390.2.1, Solyc07g008800.3.1	Bevul.3G211800.1.p
OG0002706	Solyc09g010820.3.1	Bevul.5G138900.1.p
OG0002706	Solyc08g080580.3.1	Bevul.5G033500.1.p
OG0002707	Solyc06g009140.3.1, Solyc09g075210.3.1	Bevul.7G100700.1.p
OG0002708	Solyc06g081980.1.1	Bevul.7G189700.1.p
OG0002708	Solyc03g120090.1.1	Bevul.9G205000.1.p, Bevul.9G204800.1.p
OG0002709	Solyc11g066790.2.1	Bevul.9G103500.1.p, Bevul.9G103500.3.p, Bevul.9G103500.2.p, Bevul.9G103500.4.p
OG0002710	Solyc06g005620.3.1	Bevul.7G202200.1.p
OG0002710	Solyc07g065380.4.1	Bevul.4G010400.1.p
OG0002711	Solyc12g099760.2.1, Solyc11g065110.2.1	Bevul.4G223700.1.p, Bevul.4G223500.1.p, Bevul.4G224100.1.p, Bevul.4G226100.1.p
OG0002712	Solyc10g085670.2.1	Bevul.1G005300.1.p
OG0002713	Solyc01g080640.3.1	Bevul.3G156200.1.p
OG0002713	Solyc09g075020.3.1	Bevul.7G093600.1.p, Bevul.7G093600.3.p, Bevul.7G093600.4.p, Bevul.7G093600.2.p
OG0002714	Solyc09g066150.1.1, Solyc07g006890.1.1, Solyc11g065770.1.1	Bevul.5G243400.1.p, Bevul.5G243600.1.p, Bevul.5G243500.1.p
OG0002715	Solyc09g009590.1.1, Solyc10g083460.1.1	Bevul.7G029800.1.p
OG0002716	Solyc11g013000.2.1	Bevul.4G167600.1.p
OG0002716	Solyc01g104220.3.1, Solyc10g045640.2.1	Bevul.6G150300.1.p
OG0002717	Solyc01g110480.3.1	Bevul.9G158400.1.p, Bevul.9G158400.2.p
OG0002719	Solyc06g060380.3.1	Bevul.1G118700.1.p
OG0002720	Solyc09g091440.3.1	Bevul.9G176200.1.p, Bevul.9G176200.4.p, Bevul.9G176200.2.p, Bevul.9G176200.3.p
OG0002722	Solyc01g105000.3.1	Bevul.8G115800.1.p
OG0002722	Solyc12g006997.1.1	Bevul.8G190100.1.p
OG0002723	Solyc03g033640.3.1, Solyc02g084530.2.1	Bevul.6G028200.1.p
OG0002725	Solyc04g049630.3.1, Solyc10g050840.2.1	Bevul.1G052300.1.p
OG0002726	Solyc11g005730.2.1	Bevul.6G053700.1.p
OG0002726	Solyc03g082860.3.1	Bevul.3G033700.1.p
OG0002727	Solyc10g077110.1.1	Bevul.3G220200.1.p
OG0002729	Solyc12g088190.2.1, Solyc04g077050.3.1	Bevul.2G154500.1.p, Bevul.9G222600.1.p, Bevul.1G013900.1.p
OG0002730	Solyc01g090180.3.1, Solyc11g072550.2.1	Bevul.4G187200.1.p, Bevul.2G184200.1.p, Bevul.4G188100.1.p, Bevul.4G187500.1.p, Bevul.4G187600.1.p
OG0002731	Solyc02g090190.1.1	Bevul.6G066200.1.p
OG0002732	Solyc01g108300.3.1	Bevul.9G181900.1.p
OG0002733	Solyc04g079550.3.1	Bevul.1G051000.1.p
OG0002734	Solyc01g109700.3.1, Solyc03g034000.3.1, Solyc02g062690.3.1	Bevul.9G169100.1.p
