Orthogroup	S_lycopersicum.proteins	A_thaliana.proteins
OG0000948	Solyc08g005270.3.1	AT1G32230.3, AT1G32230.4, AT1G32230.5, AT1G32230.2, AT1G32230.6, AT1G32230.1, AT2G35510.3, AT2G35510.1, AT2G35510.2
OG0000949	Solyc06g071920.3.1, Solyc03g111010.3.1	AT3G04120.1, AT1G13440.1, AT1G13440.2
OG0000950	Solyc08g061980.3.1	AT5G12080.2, AT5G12080.3, AT5G12080.1, AT5G19520.1, AT5G19520.2
OG0000951	Solyc08g074280.3.1	AT5G24810.2, AT5G24810.1
OG0000952	Solyc05g017980.3.1, Solyc04g008040.3.1, Solyc01g005330.3.1	AT1G24764.1, AT1G24764.3, AT1G24764.2, AT1G68060.1
OG0000953	Solyc02g031840.3.1, Solyc02g068590.3.1	AT4G19960.1, AT4G19960.4, AT4G19960.3, AT4G19960.2, AT2G35060.3, AT2G35060.2, AT2G35060.4, AT2G35060.1, AT1G31120.1
OG0000954	Solyc01g006740.3.1, Solyc10g081660.2.1	AT2G35840.3, AT2G35840.4, AT2G35840.1, AT2G35840.2, AT1G51420.2, AT1G51420.3, AT1G51420.4, AT1G51420.1
OG0000955	Solyc10g084010.1.1	AT3G09870.1
OG0000955	Solyc11g069095.1.1, Solyc06g074950.1.1	AT2G28085.1
OG0000956	Solyc10g075035.1.1	AT4G32010.1, AT4G32010.2
OG0000956	Solyc06g082520.3.1	AT2G30470.1
OG0000957	Solyc12g015880.2.1, Solyc07g065840.2.1	AT5G56030.1, AT5G56030.2, AT5G56010.1, AT5G56000.1
OG0000957	Solyc03g007890.3.1, Solyc06g036290.3.1	AT5G52640.1
OG0000958	Solyc07g053740.1.1	AT5G44210.1
OG0000959	Solyc12g049100.2.1, Solyc12g088613.1.1, Solyc12g088620.1.1, Solyc05g014460.2.1, Solyc12g088570.2.1, Solyc05g014420.2.1, Solyc12g088540.2.1, Solyc12g088630.1.1, Solyc12g088617.1.1, Solyc05g014465.1.1	AT5G67320.1
OG0000960	Solyc01g105780.3.1, Solyc07g007230.3.1, Solyc11g006170.2.1, Solyc11g006140.1.1	AT2G01710.2, AT2G01710.1, AT5G64360.3, AT5G64360.2, AT5G64360.7, AT5G64360.5, AT5G64360.4, AT5G64360.6, AT5G64360.1, AT5G09540.1
OG0000962	Solyc03g093300.3.1	AT5G61450.1
OG0000963	Solyc01g111075.1.1	AT1G75750.2, AT1G75750.1
OG0000964	Solyc03g112297.1.1, Solyc06g071750.3.1, Solyc03g112300.3.1	AT3G48240.1, AT5G63130.1, AT5G63130.2
OG0000964	Solyc05g013530.3.1	AT3G26510.5, AT3G26510.4, AT3G26510.6, AT3G26510.7, AT3G26510.1, AT3G26510.2, AT3G26510.3, AT1G70640.1
OG0000965	Solyc05g006660.3.1, Solyc04g005860.3.1	AT1G10410.1, AT1G59650.1
OG0000966	Solyc02g086310.1.1	AT1G73780.1
OG0000966	Solyc03g034330.1.1, Solyc03g034380.1.1, Solyc03g034390.1.1, Solyc03g034375.1.1	AT3G18280.1, AT3G18280.2, AT1G48750.1
OG0000967	Solyc05g011830.3.1, Solyc04g005290.3.1, Solyc01g010140.1.1	AT2G03810.2, AT2G03810.4, AT2G03810.7, AT2G03810.1, AT2G03810.5, AT2G03810.3, AT2G03810.6
OG0000974	Solyc06g074680.3.1, Solyc11g066710.2.1, Solyc02g080465.1.1	AT3G44830.1
OG0000974	Solyc06g062870.3.1, Solyc03g121960.3.1, Solyc07g041210.3.1	AT5G13640.1, AT5G13640.2, AT5G13640.3
OG0000975	Solyc03g117600.3.1	AT5G48930.1
OG0000976	Solyc01g080540.3.1	AT3G21510.1
OG0000977	Solyc11g068440.2.1	AT2G27500.3, AT2G27500.1, AT2G27500.2
OG0000977	Solyc12g055840.2.1, Solyc08g083310.3.1	AT1G32860.1
OG0000978	Solyc01g008493.1.1, Solyc11g065700.2.1, Solyc01g008490.3.1	AT5G12840.2, AT5G12840.4, AT5G12840.3, AT5G12840.1, AT5G12840.5, AT3G20910.1
OG0000979	Solyc01g080430.3.1	AT4G03000.6, AT4G03000.4, AT4G03000.3, AT4G03000.5, AT4G03000.2, AT4G03000.1, AT1G03365.1, AT1G03365.2
OG0000980	Solyc12g044630.2.1, Solyc06g066410.3.1	AT4G29340.1, AT2G19770.1
OG0000980	Solyc11g070130.2.1, Solyc11g071205.1.1, Solyc08g066110.3.1, Solyc12g008590.2.1	AT5G56600.1, AT2G19760.1, AT4G29350.1
OG0000982	Solyc11g006370.2.1, Solyc04g009800.3.1	AT5G04870.1
OG0000983	Solyc04g014570.3.1, Solyc05g054040.3.1, Solyc11g011910.2.1	AT1G14670.1, AT2G01970.1, AT1G08350.1, AT1G08350.2, AT1G08350.4, AT1G08350.3, AT5G37310.2, AT5G37310.1
OG0000984	Solyc03g121460.1.1	AT3G13720.1, AT3G13710.1, AT1G55190.1
OG0000986	Solyc02g062160.1.1, Solyc02g083835.1.1	AT4G36040.1, AT2G17880.1
OG0000986	Solyc07g065960.1.1, Solyc07g065970.1.1	AT3G13310.1
OG0000987	Solyc02g062230.1.1, Solyc02g084005.1.1, Solyc02g084010.1.1, Solyc03g033590.1.1, Solyc01g110620.1.1, Solyc01g110570.3.1, Solyc04g081270.1.1, Solyc10g054720.1.1	AT4G38860.1, AT2G21220.1, AT4G34760.1
OG0000989	Solyc04g074540.2.1, Solyc04g074530.3.1	AT1G22440.1, AT1G22430.2, AT1G22430.1
OG0000989	Solyc12g094500.2.1, Solyc04g082180.4.1, Solyc04g082170.3.1	AT5G42250.1
OG0000990	Solyc02g069380.3.1, Solyc02g062120.3.1	AT1G54110.1, AT1G54110.3, AT1G54110.2, AT3G55600.1, AT3G55600.2
OG0000991	Solyc01g110470.3.1	AT2G21240.2, AT2G21240.1, AT4G38910.2, AT4G38910.1
OG0000991	Solyc04g081170.3.1	AT5G42520.1, AT5G42520.2, AT5G42520.3
OG0000992	Solyc02g071920.3.1, Solyc03g005980.3.1	AT4G18910.1
OG0000992	Solyc02g091420.3.1	AT5G37810.1, AT5G37820.1, AT5G37820.2
OG0000993	Solyc04g054830.3.1	AT5G65090.3, AT5G65090.1, AT5G65090.2
OG0000994	Solyc07g008100.3.1	AT3G24150.2, AT3G24150.1
OG0000994	Solyc08g059700.2.1	AT4G32295.4, AT4G32295.3, AT4G32295.2, AT4G32295.1
OG0000995	Solyc07g006830.3.1	AT2G18750.2, AT2G18750.1, AT2G18750.3, AT5G57580.1
OG0000996	Solyc08g068150.3.1	AT5G25610.1
OG0000997	Solyc03g096290.3.1, Solyc08g008050.3.1, Solyc12g056220.2.1, Solyc08g081190.3.1	AT4G23400.1, AT3G61430.1, AT3G61430.2, AT2G45960.2, AT2G45960.1, AT4G00430.1, AT1G01620.1
OG0000998	Solyc04g071060.2.1, Solyc04g071050.3.1, Solyc03g082710.3.1, Solyc06g052080.3.1	AT1G21320.1, AT1G21320.4, AT1G21320.3, AT1G21320.5, AT1G21320.2, AT1G76940.3, AT1G76940.1, AT1G76940.2
OG0000999	Solyc08g042130.2.1	AT2G25350.4, AT2G25350.5, AT2G25350.3, AT2G25350.2, AT2G25350.1, AT4G32160.1
OG0000999	Solyc03g116830.3.1	AT3G15920.1
OG0001000	Solyc05g053130.3.1, Solyc09g091020.3.1	AT5G43930.2, AT5G43930.4, AT5G43930.1, AT5G43930.3, AT1G04140.2, AT1G04140.1
OG0001001	Solyc01g095580.3.1, Solyc05g050280.3.1, Solyc10g009600.1.1, Solyc10g010650.1.1, Solyc00g254910.1.1, Solyc00g212260.2.1, Solyc10g009620.2.1, Solyc10g009610.2.1, Solyc06g048710.2.1, Solyc10g011650.3.1, Solyc10g009640.2.1, Solyc10g011660.3.1	AT2G46370.3, AT2G46370.4, AT2G46370.1, AT2G46370.2
OG0001002	Solyc07g008920.3.1	AT5G57240.4, AT5G57240.3, AT5G57240.5, AT5G57240.2, AT5G57240.1, AT4G25850.1, AT4G25850.2, AT4G25850.3, AT4G25860.2, AT4G25860.1
OG0001003	Solyc10g085170.2.1	AT2G38180.1
OG0001003	Solyc06g051720.3.1	AT3G11210.1
OG0001004	Solyc10g079310.2.1, Solyc03g096220.3.1	AT3G02370.2, AT3G02370.4, AT3G02370.3, AT3G02370.1, AT3G57360.1
OG0001005	Solyc01g094460.3.1	AT3G61310.1
OG0001006	Solyc03g120020.3.1	AT1G15460.1, AT1G15460.4, AT1G15460.2, AT1G15460.3, AT1G74810.4, AT1G74810.1, AT1G74810.7
OG0001006	Solyc08g066960.3.1	AT4G32510.1, AT4G32510.2, AT5G25430.1
OG0001007	Solyc01g094350.3.1, Solyc10g017530.3.1	AT3G61240.2, AT3G61240.1, AT2G45810.1, AT4G00660.2, AT4G00660.1
OG0001008	Solyc08g081760.2.1, Solyc08g008180.2.1	AT1G64140.1
OG0001009	Solyc09g011990.1.1, Solyc09g011060.2.1, Solyc09g012000.1.1	AT2G37710.1, AT4G02420.1, AT4G02410.1, AT3G53810.1
OG0001010	Solyc03g053080.2.1	AT5G06670.1, AT5G06670.6, AT5G06670.3, AT5G06670.2, AT5G06670.4, AT5G06670.7, AT5G06670.8, AT5G06670.5, AT3G12020.3, AT3G12020.2, AT3G12020.4, AT3G12020.1
OG0001011	Solyc11g069300.2.1	AT3G45240.3, AT3G45240.2, AT3G45240.1, AT5G60550.1
OG0001012	Solyc06g050130.3.1	AT3G56310.2, AT3G56310.1
OG0001014	Solyc02g069740.3.1	AT2G34880.1, AT1G30810.2, AT1G30810.3, AT1G30810.1, AT4G20400.1, AT4G20400.2
OG0001015	Solyc11g069590.2.1	AT2G28250.1, AT2G28250.4, AT2G28250.2, AT2G28250.6, AT2G28250.3, AT2G28250.5
OG0001016	Solyc10g081840.2.1, Solyc01g006930.3.1	AT5G06510.4, AT5G06510.7, AT5G06510.3, AT5G06510.2, AT5G06510.1, AT5G06510.5, AT5G06510.6, AT3G05690.1, AT3G05690.2
OG0001017	Solyc07g053410.3.1	AT2G31070.1
OG0001017	Solyc12g014140.2.1, Solyc07g062680.2.1	AT3G15030.2, AT3G15030.1, AT3G15030.4, AT3G15030.3, AT1G53230.2, AT1G53230.1
OG0001018	Solyc07g052400.3.1, Solyc05g045650.3.1	AT1G05200.2, AT1G05200.6, AT1G05200.1, AT1G05200.7, AT1G05200.3, AT2G32390.5, AT2G32390.1, AT2G32390.2
OG0001019	Solyc01g028860.3.1	AT1G55500.3, AT1G55500.1, AT1G55500.6, AT1G55500.5, AT1G55500.2, AT1G55500.4, AT3G13460.1, AT3G13460.4, AT3G13460.3, AT3G13460.2
OG0001020	Solyc05g015930.3.1, Solyc05g015920.3.1	AT1G24300.1, AT1G24300.2, AT1G24300.3, AT1G27430.1, AT1G27430.3, AT1G27430.2
OG0001021	Solyc05g053240.3.1, Solyc01g068100.3.1	AT2G47070.1, AT2G47070.2, AT3G60030.1
OG0001022	Solyc05g009620.3.1	AT1G58320.1
OG0001022	Solyc12g037950.2.1	AT1G68630.1
OG0001023	Solyc08g077400.2.1	AT5G38610.1
OG0001024	Solyc05g012160.3.1, Solyc01g010270.3.1	AT1G69230.1, AT1G69230.2, AT1G26355.1
OG0001025	Solyc10g007505.1.1	AT1G18150.2, AT1G18150.3, AT1G18150.1, AT1G73670.1
OG0001025	Solyc12g040680.2.1, Solyc06g068990.4.1	AT3G18040.4, AT3G18040.3, AT3G18040.1, AT3G18040.2, AT3G18040.5
OG0001025	Solyc05g008020.3.1, Solyc04g007710.3.1	AT2G01450.3, AT2G01450.4, AT2G01450.2, AT2G01450.1
OG0001026	Solyc03g013160.3.1	AT5G15240.3, AT5G15240.2, AT5G15240.1
OG0001027	Solyc05g006490.3.1, Solyc04g005060.3.1	AT1G70100.4, AT1G70100.5, AT1G70100.2, AT1G70100.1, AT1G70100.6, AT1G70100.3, AT1G24160.2, AT1G24160.1
OG0001028	Solyc03g098150.3.1, Solyc06g072340.3.1	AT3G17750.1, AT1G73460.2, AT1G73460.1, AT1G73450.1
OG0001029	Solyc04g005420.3.1	AT2G03505.1, AT2G03505.4, AT2G03505.2, AT2G03505.3, AT1G13830.2, AT1G13830.1
OG0001029	Solyc01g010310.3.1, Solyc05g012380.3.1	AT1G18650.2, AT1G18650.1
OG0001030	Solyc03g097260.3.1	AT3G02890.4, AT3G02890.3, AT3G02890.1, AT3G02890.2, AT5G16680.1, AT5G16680.2
OG0001037	Solyc12g098820.2.1	AT1G06700.1, AT1G06700.3, AT1G06700.2, AT2G30740.3, AT2G30740.11, AT2G30740.14, AT2G30740.15, AT2G30740.2, AT2G30740.4, AT2G30740.10, AT2G30740.12, AT2G30740.7, AT2G30740.1, AT2G30740.8, AT2G30740.6, AT2G30740.5, AT2G30740.9, AT2G30740.13, AT3G59350.3, AT3G59350.4, AT3G59350.5, AT3G59350.1, AT3G59350.6, AT3G59350.2, AT2G43230.2, AT2G43230.1
OG0001038	Solyc09g014220.3.1, Solyc09g005380.2.1	AT3G54140.2, AT3G54140.1, AT5G01180.1, AT5G01180.3, AT5G01180.2
OG0001039	Solyc06g005150.3.1, Solyc06g005160.3.1	AT1G07890.5, AT1G07890.1, AT1G07890.7, AT1G07890.2, AT1G07890.8, AT1G07890.3, AT1G07890.4, AT1G07890.6
OG0001039	Solyc09g007270.3.1	AT3G09640.2, AT3G09640.1
OG0001040	Solyc09g014770.3.1	AT2G38280.2, AT2G38280.1
OG0001041	Solyc06g005590.3.1, Solyc06g076270.3.1	AT1G07540.1
OG0001042	Solyc09g010680.3.1, Solyc10g086440.2.1, Solyc00g024680.2.1	AT2G37590.1
OG0001043	Solyc12g005680.3.1, Solyc12g005670.2.1	AT4G13420.1
OG0001044	Solyc10g086180.2.1, Solyc09g007890.1.1, Solyc09g007910.3.1, Solyc09g007920.3.1, Solyc09g007900.3.1, Solyc00g282510.2.1	AT3G53260.1, AT2G37040.1, AT3G10340.1
OG0001045	Solyc09g075090.1.1, Solyc06g009060.3.1	AT4G02430.2, AT4G02430.3, AT4G02430.4, AT4G02430.1
OG0001045	Solyc01g099810.3.1	AT1G09140.2, AT1G09140.1, AT1G09140.3
OG0001046	Solyc09g005350.3.1	AT3G08910.1, AT5G01390.1
OG0001046	Solyc10g084300.1.1, Solyc03g007650.1.1	AT2G20550.1, AT2G20550.2
OG0001047	Solyc02g087550.3.1, Solyc03g077910.3.1	AT5G39990.1, AT5G15050.1
OG0001047	Solyc09g010660.3.1, Solyc00g024670.1.1	AT2G37585.1
OG0001048	Solyc10g079710.2.1, Solyc10g079590.1.1, Solyc01g005640.3.1	AT3G10250.3, AT3G10250.4, AT3G10250.5, AT3G10250.1, AT3G10250.2, AT5G04090.6, AT5G04090.4, AT5G04090.7, AT5G04090.3, AT5G04090.1, AT5G04090.5, AT5G04090.2
OG0001050	Solyc04g081560.3.1	AT4G24180.1, AT4G24180.2, AT4G24180.5, AT4G24180.6, AT4G24180.4, AT4G24180.3
OG0001051	Solyc06g073280.3.1	AT4G33680.1
OG0001051	Solyc11g044840.2.1	AT2G13810.1
OG0001052	Solyc10g054780.2.1	AT5G23530.1
OG0001053	Solyc06g068195.1.1, Solyc06g068200.1.1, Solyc06g068210.2.1	AT1G80010.1
OG0001053	Solyc03g117520.2.1	AT1G52520.1
OG0001055	Solyc04g080550.3.1	AT1G19540.2, AT1G19540.1, AT1G75300.1, AT1G75290.2, AT1G75290.1, AT1G75280.1
OG0001055	Solyc10g052510.2.1, Solyc10g052500.2.1, Solyc10g052490.2.1	AT4G39230.1
OG0001056	Solyc02g036440.3.1, Solyc05g054800.2.1	AT1G79450.2, AT1G79450.1, AT1G16360.1, AT1G16360.4, AT1G16360.2, AT1G54320.1, AT3G12740.1
OG0001057	Solyc12g087893.1.1, Solyc01g105700.3.1	AT5G50010.uORF2
OG0001057	Solyc02g070877.1.1	AT1G29950.uORF2
OG0001057	Solyc04g076030.2.1, Solyc12g087890.2.1	AT5G64340.1, AT5G09460.1
OG0001058	Solyc10g037880.2.1, Solyc01g090120.3.1	AT3G60270.1, AT3G60280.1, AT2G44790.1
OG0001058	Solyc02g094050.3.1	AT3G27200.1
OG0001059	Solyc03g113680.3.1	AT5G62580.2, AT5G62580.1
OG0001059	Solyc05g006550.3.1	AT1G27210.1, AT1G59850.1
OG0001060	Solyc11g006260.2.1, Solyc11g006950.2.1	AT5G63660.1
OG0001060	Solyc04g072470.3.1	AT2G02130.1, AT2G02100.1, AT2G02120.1, AT2G02140.1, AT2G02147.1, AT1G61070.1
OG0001062	Solyc06g066830.3.1, Solyc06g066840.3.1, Solyc06g066860.1.1	AT4G03070.1, AT1G52820.1, AT1G52820.2
OG0001062	Solyc06g067870.3.1	AT1G52790.1
OG0001062	Solyc06g067860.3.1	AT1G52800.1
OG0001063	Solyc01g009540.1.1	AT5G43390.1, AT5G43400.1
OG0001064	Solyc03g120650.3.1, Solyc06g066650.3.1, Solyc12g044270.2.1	AT1G79860.1, AT1G52240.1
OG0001064	Solyc12g007150.2.1, Solyc07g032730.3.1	AT3G24620.1, AT4G13240.1
OG0001065	Solyc08g067340.3.1, Solyc08g067360.3.1	AT2G25000.4, AT2G25000.2, AT2G25000.1, AT2G25000.3, AT4G31800.2, AT4G31800.1, AT4G31800.3
OG0001065	Solyc12g042590.2.1	AT3G32090.1, AT1G80840.1
OG0001066	Solyc06g065710.3.1	AT4G31880.1, AT4G31880.2
OG0001067	Solyc03g113620.3.1, Solyc06g071230.3.1	AT1G74840.1, AT1G74840.2, AT1G19000.1, AT1G19000.2
OG0001068	Solyc03g026190.3.1	AT5G62090.2, AT5G62090.3, AT5G62090.1
OG0001069	Solyc03g083410.3.1, Solyc06g024325.1.1	AT4G27910.1, AT5G53430.1
OG0001069	Solyc01g095890.3.1	AT3G61740.1, AT3G61740.2
OG0001070	Solyc11g066620.2.1	AT5G22850.1
OG0001070	Solyc09g008600.3.1	AT2G36670.3, AT2G36670.4, AT2G36670.1, AT2G36670.2
OG0001071	Solyc09g007310.3.1	AT5G02880.1, AT5G02880.2
OG0001072	Solyc10g007600.3.1	AT4G18360.1, AT4G18360.4, AT4G18360.3, AT4G18360.2
OG0001072	Solyc07g056540.3.1	AT3G14420.1, AT3G14420.2, AT3G14420.3, AT3G14420.4, AT3G14415.1, AT3G14415.3, AT3G14415.2
OG0001073	Solyc01g008970.3.1	AT2G41060.2, AT2G41060.1, AT2G41060.3, AT3G56860.10, AT3G56860.5, AT3G56860.6, AT3G56860.3, AT3G56860.9, AT3G56860.2, AT3G56860.11, AT3G56860.7, AT3G56860.4, AT3G56860.8, AT3G56860.1
OG0001074	Solyc12g099580.2.1, Solyc01g066850.3.1, Solyc04g007590.2.1	AT4G01450.3, AT4G01450.4, AT4G01450.2, AT4G01450.1, AT4G01440.3, AT4G01440.5, AT4G01440.2, AT4G01440.1, AT4G01440.4, AT3G30340.1, AT3G30340.2
OG0001075	Solyc09g014610.3.1, Solyc06g036440.2.1, Solyc03g007770.3.1	AT4G27970.5, AT4G27970.3, AT4G27970.1, AT4G27970.6, AT4G27970.2, AT4G27970.4, AT5G24030.2, AT5G24030.1
OG0001076	Solyc04g009960.3.1	AT3G04520.1, AT3G04520.3, AT3G04520.2, AT1G08630.7, AT1G08630.6, AT1G08630.2, AT1G08630.3, AT1G08630.4, AT1G08630.1, AT1G08630.5
OG0001077	Solyc10g076330.2.1	AT5G01660.1, AT5G01660.2, AT5G01660.3
OG0001078	Solyc03g115000.3.1	AT1G18620.5, AT1G18620.3, AT1G18620.4, AT1G18620.1, AT1G18620.2, AT1G74160.1, AT1G74160.3, AT1G74160.2
OG0001079	Solyc02g088180.3.1	AT5G39610.1, AT3G29035.1
OG0001080	Solyc08g007080.3.1, Solyc08g077210.3.1	AT4G18010.2, AT4G18010.1
OG0001081	Solyc10g006760.3.1, Solyc07g063680.3.1	AT4G27320.1, AT4G27320.2, AT5G54430.5, AT5G54430.2, AT5G54430.6, AT5G54430.3, AT5G54430.4, AT5G54430.1
OG0001082	Solyc02g069580.3.1, Solyc02g030230.3.1	AT1G30620.6, AT1G30620.4, AT1G30620.2, AT1G30620.5, AT1G30620.1, AT1G30620.3
OG0001082	Solyc07g043550.3.1, Solyc12g006410.2.1	AT5G44480.2, AT5G44480.4, AT5G44480.3, AT5G44480.1, AT4G20460.1
OG0001083	Solyc02g088340.3.1, Solyc03g104790.2.1	AT5G39420.1
OG0001083	Solyc03g115680.3.1, Solyc03g115660.3.1	AT1G74330.2, AT1G74330.1, AT1G74330.3, AT1G18670.2, AT1G18670.1, AT1G18670.3
OG0001086	Solyc11g017010.2.1	AT2G14670.1, AT1G66570.1, AT1G66570.2, AT1G66570.3, AT5G43610.1, AT5G06170.1, AT1G71880.1, AT1G71890.1, AT1G22710.1
OG0001091	Solyc00g014830.3.1, Solyc09g031550.2.1, Solyc09g031565.1.1, Solyc12g036590.1.1, Solyc01g065810.2.1, Solyc01g065795.1.1, Solyc12g036595.1.1, Solyc01g065770.2.1, Solyc09g009360.1.1, Solyc07g042310.1.1, Solyc10g052800.1.1	ATMG00510.1
OG0001092	Solyc06g007140.3.1, Solyc06g007130.4.1	AT2G29980.1, AT2G29980.2
OG0001092	Solyc06g051400.3.1	AT3G11170.1, AT5G05580.2, AT5G05580.1
OG0001093	Solyc04g076880.3.1, Solyc12g088160.2.1	AT4G37870.1
OG0001095	Solyc02g005410.2.1, Solyc02g005395.1.1, Solyc02g005390.1.1, Solyc09g091725.1.1, Solyc02g005400.2.1, Solyc08g065700.2.1, Solyc09g091870.1.1, Solyc09g091720.1.1	AT1G48910.1, AT1G21430.1
OG0001096	Solyc11g008560.2.1	AT5G17430.2, AT5G17430.1
OG0001096	Solyc07g018290.3.1	AT5G57390.1, AT5G57390.2
OG0001096	Solyc11g061750.2.1	AT1G51190.1, AT3G20840.1
OG0001097	Solyc06g076300.3.1	AT5G59480.5, AT5G59480.1, AT5G59480.4, AT5G59480.3, AT5G59480.2
OG0001097	Solyc05g011880.2.1, Solyc09g010940.3.1	AT5G02230.2, AT5G02230.1, AT5G02230.3
OG0001098	Solyc06g074980.3.1, Solyc11g069720.2.1, Solyc09g008070.3.1, Solyc10g084050.2.1	AT3G53230.1, AT5G03340.1, AT3G09840.1
OG0001099	Solyc09g092320.3.1, Solyc05g053780.3.1	AT4G13850.3, AT4G13850.1, AT4G13850.2, AT4G13850.4, AT3G23830.2, AT3G23830.1
OG0001099	Solyc10g081180.2.1	AT5G61030.1, AT5G61030.2
OG0001100	Solyc05g009190.3.1	AT5G38830.1
OG0001100	Solyc04g076390.3.1	AT2G31170.2, AT2G31170.3, AT2G31170.1
OG0001101	Solyc11g005410.2.1, Solyc11g005350.2.1	AT1G25270.1, AT1G68170.2, AT1G68170.1
OG0001102	Solyc02g091800.3.1	AT2G22770.1
OG0001103	Solyc02g084360.3.1, Solyc04g081090.3.1, Solyc10g054560.2.1, Solyc10g054590.2.1, Solyc10g054570.2.1	AT1G19910.1, AT4G38920.1, AT4G34720.1, AT2G16510.1, AT1G75630.1
OG0001107	Solyc03g005970.3.1	AT3G53690.1
OG0001107	Solyc06g068640.2.1, Solyc03g115920.3.1, Solyc03g117860.3.1	AT3G14250.1
OG0001108	Solyc02g032930.3.1, Solyc02g080870.2.1	AT5G42570.1
OG0001108	Solyc10g053910.2.1	AT3G20450.1
OG0001109	Solyc02g071170.3.1	AT1G60970.1
OG0001110	Solyc06g035440.3.1, Solyc03g007060.3.1, Solyc08g079760.3.1	AT4G11990.1, AT4G22860.2, AT4G22860.1, AT4G22860.3
OG0001111	Solyc08g062810.1.1	AT2G19460.2, AT2G19460.1
OG0001112	Solyc10g012080.3.1	AT1G63830.4
OG0001112	Solyc12g056210.2.1	AT1G63830.5, AT1G63830.3, AT1G63830.2, AT1G63830.1, AT5G41390.2, AT5G41390.1, AT4G23470.2, AT4G23470.4, AT4G23470.1, AT4G23470.3
OG0001113	Solyc02g088590.3.1	AT5G15430.2, AT5G15430.1, AT5G39380.3, AT5G39380.4, AT5G39380.5, AT5G39380.1, AT5G39380.2
OG0001114	Solyc03g026070.3.1	AT3G61150.1
OG0001115	Solyc04g045600.3.1	AT4G32000.1, AT4G32000.2, AT4G32000.4, AT4G32000.3, AT2G25220.2, AT2G25220.1, AT2G25220.6, AT2G25220.3, AT2G25220.4, AT2G25220.5, AT5G11020.3, AT5G11020.1, AT5G11020.2, AT5G11020.4
OG0001116	Solyc08g068320.3.1, Solyc11g071300.2.1	AT4G32730.3, AT4G32730.5, AT4G32730.2, AT4G32730.4, AT4G32730.1
OG0001117	Solyc12g096420.2.1, Solyc08g006460.3.1	AT5G24870.3, AT5G24870.2, AT5G24870.1, AT5G10650.3, AT5G10650.1, AT5G10650.2
OG0001118	Solyc11g069163.1.1, Solyc06g010000.3.1, Solyc11g069160.2.1	AT5G60410.1, AT5G60410.6, AT5G60410.2, AT5G60410.5, AT5G60410.3, AT5G60410.4
OG0001119	Solyc09g005980.3.1, Solyc05g054920.3.1	AT2G37340.1, AT2G37340.6, AT2G37340.4, AT2G37340.2, AT2G37340.5, AT2G37340.3, AT3G53500.2, AT3G53500.3, AT3G53500.1
OG0001120	Solyc06g070980.3.1	AT2G02760.1, AT2G02760.2, AT1G14400.2, AT1G14400.1, AT2G02760.3, AT2G02760.4
OG0001121	Solyc09g010640.2.1, Solyc10g086420.1.1	AT2G37570.1, AT2G37570.2
OG0001121	Solyc04g011460.2.1	AT3G12570.4, AT3G12570.2, AT3G12570.1, AT3G12570.3
OG0001122	Solyc02g071270.2.1	AT1G29400.3, AT1G29400.1, AT1G29400.2
OG0001123	Solyc10g078550.3.1	AT3G03910.1, AT3G03910.2, AT5G18170.1
OG0001123	Solyc05g052100.3.1, Solyc03g094010.3.1, Solyc06g033860.2.1	AT5G07440.1, AT5G07440.2
OG0001124	Solyc06g065910.3.1, Solyc08g029190.3.1	AT2G25290.1, AT2G25290.4, AT2G25290.2, AT2G25290.3, AT4G32070.2, AT4G32070.1
OG0001125	Solyc02g088115.1.1	AT3G01150.3, AT3G01150.1
OG0001125	Solyc03g007320.3.1	AT5G53180.1
OG0001127	Solyc09g083390.2.1	AT5G43630.1, AT5G43630.3, AT5G43630.2, AT5G43630.4
OG0001128	Solyc12g089000.2.1, Solyc04g079780.3.1, Solyc01g109280.3.1	AT2G16090.5, AT2G16090.2, AT2G16090.3, AT2G16090.4, AT2G16090.1, AT4G34370.2, AT4G34370.1, AT3G27710.1, AT3G27720.1
OG0001129	Solyc05g015050.3.1, Solyc02g092870.2.1	AT5G43230.1
OG0001129	Solyc03g005060.3.1, Solyc02g093980.3.1	AT3G01810.3, AT3G01810.1, AT3G01810.2
OG0001130	Solyc05g013880.1.1, Solyc09g060120.1.1	AT1G24530.1
OG0001130	Solyc03g113850.1.1	AT5G50120.1
OG0001130	Solyc05g006340.3.1, Solyc04g005020.3.1	AT1G24130.1
OG0001131	Solyc03g070390.3.1, Solyc02g089170.3.1, Solyc02g065740.3.1	AT3G02230.1, AT5G15650.1
OG0001132	Solyc04g007220.3.1	AT1G68490.1
OG0001133	Solyc08g005000.3.1	AT1G66250.1
OG0001133	Solyc04g007910.3.1	AT2G01630.3, AT2G01630.1
OG0001134	Solyc02g067410.2.1, Solyc02g087840.3.1, Solyc01g010600.3.1	AT3G01220.1, AT5G15150.1
OG0001134	Solyc05g007180.3.1	AT1G69780.1
OG0001135	Solyc01g011350.3.1, Solyc04g008690.3.1	AT1G10820.2, AT1G10820.1, AT1G60670.3, AT1G60670.2, AT1G60670.5, AT1G60670.1, AT1G60670.4, AT1G68160.1
OG0001136	Solyc04g008380.3.1	AT2G01930.2, AT2G01930.1, AT1G14685.1, AT1G14685.3, AT1G14685.2, AT1G14685.4, AT1G68120.1
OG0001141	Solyc10g054667.1.1, Solyc10g054665.1.1, Solyc10g054670.2.1	AT4G32090.1
