Orthogroup	A_hypochondriacus.proteins	A_coerulea.proteins
OG0002578	AH014903-RA, AH021451-RA	Aqcoe7G323700.1.p, Aqcoe4G279200.2.p, Aqcoe4G279200.3.p, Aqcoe4G279200.1.p
OG0002579	AH001971-RA	Aqcoe4G148700.1.p
OG0002579	AH006822-RA	Aqcoe7G374200.2.p, Aqcoe7G374200.1.p, Aqcoe7G374300.3.p, Aqcoe7G374300.2.p, Aqcoe7G374300.1.p, Aqcoe7G374300.4.p, Aqcoe1G313500.2.p, Aqcoe1G313500.1.p, Aqcoe0117s0001.1.p
OG0002580	AH013891-RA	Aqcoe4G105500.1.p, Aqcoe4G105500.3.p, Aqcoe4G105500.2.p
OG0002581	AH021436-RA, AH008282-RA	Aqcoe7G263200.2.p, Aqcoe7G263200.1.p, Aqcoe4G313300.1.p
OG0002582	AH000054-RA	Aqcoe4G296700.1.p
OG0002583	AH001271-RA	Aqcoe4G252100.1.p
OG0002583	AH015198-RA	Aqcoe1G368500.1.p
OG0002584	AH015111-RA, AH003874-RA	Aqcoe4G109500.1.p, Aqcoe7G283400.1.p
OG0002585	AH016242-RA	Aqcoe7G363600.1.p
OG0002586	AH018558-RA	Aqcoe7G078300.1.p
OG0002587	AH019039-RA	Aqcoe7G432700.2.p, Aqcoe7G432700.1.p
OG0002588	AH016132-RA	Aqcoe7G420300.1.p
OG0002588	AH014059-RA	Aqcoe7G391900.1.p
OG0002589	AH012386-RA, AH018646-RA, AH003164-RA	Aqcoe7G037700.2.p, Aqcoe7G037700.1.p
OG0002590	AH009113-RA, AH018761-RA	Aqcoe7G072500.1.p
OG0002591	AH002158-RA	Aqcoe7G408700.1.p, Aqcoe7G156400.1.p, Aqcoe3G283700.1.p, Aqcoe5G114800.1.p
OG0002592	AH009675-RA	Aqcoe7G029900.1.p
OG0002593	AH018678-RA, AH018679-RA, AH019536-RA	Aqcoe7G043000.1.p
OG0002595	AH009761-RA	Aqcoe7G432300.4.p, Aqcoe7G432300.2.p, Aqcoe7G432300.3.p, Aqcoe7G432300.1.p
OG0002596	AH017157-RA, AH017158-RA, AH016081-RA	Aqcoe7G127000.1.p, Aqcoe7G127000.2.p
OG0002598	AH018481-RA, AH011567-RA	Aqcoe3G185800.1.p, Aqcoe7G269000.1.p, Aqcoe7G269000.5.p, Aqcoe7G269000.3.p, Aqcoe7G269000.2.p, Aqcoe7G269000.4.p
OG0002598	AH014563-RA	Aqcoe7G434200.1.p
OG0002599	AH009189-RA	Aqcoe7G226300.1.p
OG0002600	AH023263-RA, AH016245-RA	Aqcoe7G364300.1.p
OG0002601	AH016030-RA	Aqcoe7G436000.2.p, Aqcoe7G436000.4.p, Aqcoe7G436000.3.p, Aqcoe7G436000.1.p
OG0002602	AH020826-RA, AH014177-RA	Aqcoe7G396400.4.p, Aqcoe7G396400.3.p, Aqcoe7G396400.2.p, Aqcoe7G396400.1.p
OG0002603	AH007478-RA, AH011728-RA	Aqcoe7G358200.1.p
OG0002604	AH011559-RA	Aqcoe7G149500.6.p, Aqcoe7G149500.4.p, Aqcoe7G149500.3.p, Aqcoe7G149500.1.p, Aqcoe7G149500.2.p
OG0002606	AH002011-RA, AH014046-RA	Aqcoe7G213000.1.p
OG0002607	AH012555-RA	Aqcoe1G433700.3.p, Aqcoe1G433700.1.p, Aqcoe1G433700.2.p
OG0002608	AH015003-RA, AH008201-RA, AH008199-RA, AH008200-RA, AH008202-RA	Aqcoe1G237800.1.p, Aqcoe1G237900.1.p, Aqcoe1G238100.1.p, Aqcoe1G238200.1.p, Aqcoe1G238000.1.p
OG0002609	AH019997-RA, AH011760-RA	Aqcoe1G130200.1.p
OG0002610	AH021600-RA, AH015120-RA, AH009993-RA, AH008136-RA	Aqcoe1G310100.1.p
OG0002611	AH012471-RA	Aqcoe1G402100.1.p
OG0002611	AH021356-RA, AH014779-RA	Aqcoe1G211500.1.p
OG0002612	AH005397-RA, AH005395-RA	Aqcoe1G290000.3.p, Aqcoe1G290000.4.p, Aqcoe1G290000.2.p, Aqcoe1G290000.10.p, Aqcoe1G290000.8.p, Aqcoe1G290000.5.p, Aqcoe1G290000.7.p, Aqcoe1G290000.1.p, Aqcoe1G290000.9.p, Aqcoe1G290000.6.p, Aqcoe1G290000.11.p, Aqcoe3G040200.1.p, Aqcoe3G040200.2.p, Aqcoe3G040200.3.p
OG0002613	AH023475-RA	Aqcoe1G468400.1.p, Aqcoe1G326000.1.p
OG0002614	AH015091-RA, AH021622-RA	Aqcoe1G318700.2.p, Aqcoe1G318700.1.p
OG0002615	AH008081-RA	Aqcoe3G442800.1.p, Aqcoe3G442700.1.p, Aqcoe1G332200.1.p
OG0002616	AH021422-RA	Aqcoe1G383700.2.p, Aqcoe1G383700.1.p
OG0002617	AH017385-RA	Aqcoe1G091100.3.p, Aqcoe1G091100.2.p, Aqcoe1G091100.1.p, Aqcoe1G091200.2.p, Aqcoe1G091200.1.p, Aqcoe1G090900.1.p, Aqcoe1G091000.1.p, Aqcoe1G091300.1.p
OG0002618	AH020351-RA, AH016637-RA	Aqcoe1G021500.1.p
OG0002619	AH018039-RA	Aqcoe5G441300.1.p
OG0002620	AH015921-RA, AH021967-RA	Aqcoe1G491400.1.p, Aqcoe1G491300.1.p
OG0002621	AH015006-RA, AH015390-RA	Aqcoe1G056500.1.p, Aqcoe1G500600.1.p, Aqcoe1G500600.2.p
OG0002622	AH018832-RA, AH022456-RA	Aqcoe1G153500.3.p, Aqcoe1G153500.1.p, Aqcoe1G153500.2.p, Aqcoe1G483600.1.p
OG0002623	AH020765-RA	Aqcoe1G211700.1.p
OG0002624	AH004944-RA	Aqcoe5G123400.1.p, Aqcoe1G274200.1.p
OG0002625	AH001408-RA	Aqcoe1G227900.1.p
OG0002626	AH023184-RA	Aqcoe1G399900.2.p, Aqcoe1G399900.1.p
OG0002627	AH014747-RA	Aqcoe1G201700.1.p, Aqcoe1G201700.5.p, Aqcoe1G201700.3.p, Aqcoe1G201700.2.p, Aqcoe1G201700.7.p, Aqcoe1G201700.4.p, Aqcoe1G201700.6.p
OG0002628	AH006685-RA, AH020447-RA	Aqcoe1G276000.2.p, Aqcoe1G276000.1.p, Aqcoe3G422500.1.p
OG0002629	AH008278-RA	Aqcoe1G390000.1.p, Aqcoe1G390000.2.p
OG0002630	AH018882-RA, AH007790-RA	Aqcoe1G074800.1.p
OG0002631	AH016355-RA, AH006221-RA	Aqcoe1G430800.1.p
OG0002632	AH017308-RA	Aqcoe5G068600.1.p
OG0002633	AH000684-RA, AH002459-RA	Aqcoe5G314700.1.p
OG0002634	AH009607-RA	Aqcoe5G443700.1.p, Aqcoe5G443700.2.p
OG0002635	AH002685-RA, AH010402-RA	Aqcoe5G309900.1.p, Aqcoe5G309900.2.p
OG0002636	AH000927-RA, AH000926-RA, AH000925-RA	Aqcoe5G118400.1.p, Aqcoe5G118400.3.p, Aqcoe5G118400.2.p, Aqcoe5G118400.4.p
OG0002637	AH007167-RA	Aqcoe5G017300.1.p, Aqcoe5G017300.2.p
OG0002638	AH011970-RA	Aqcoe5G419000.1.p
OG0002639	AH020088-RA	Aqcoe5G055400.1.p, Aqcoe5G055400.3.p, Aqcoe5G055400.2.p
OG0002640	AH006160-RA, AH001669-RA	Aqcoe5G138900.1.p
OG0002641	AH001625-RA, AH001626-RA	Aqcoe5G147500.1.p
OG0002642	AH013550-RA, AH022362-RA, AH004901-RA	Aqcoe5G380800.1.p
OG0002643	AH005405-RA	Aqcoe5G456300.9.p, Aqcoe5G456300.11.p, Aqcoe5G456300.4.p, Aqcoe5G456300.10.p, Aqcoe5G456300.6.p, Aqcoe5G456300.3.p, Aqcoe5G456300.5.p, Aqcoe5G456300.2.p, Aqcoe5G456300.1.p, Aqcoe5G456300.7.p, Aqcoe5G456300.8.p, Aqcoe3G041900.2.p, Aqcoe3G041900.1.p, Aqcoe3G041900.3.p
OG0002644	AH012880-RA, AH022163-RA	Aqcoe5G075400.1.p
OG0002645	AH004549-RA, AH005178-RA	Aqcoe5G357900.1.p
OG0002646	AH022285-RA	Aqcoe5G447500.1.p, Aqcoe5G447500.2.p
OG0002647	AH005138-RA, AH004263-RA	Aqcoe5G334700.1.p, Aqcoe5G334700.2.p
OG0002648	AH018454-RA, AH011554-RA	Aqcoe3G172500.1.p
OG0002649	AH015765-RA	Aqcoe3G086600.1.p
OG0002650	AH009298-RA, AH018405-RA	Aqcoe3G224100.1.p
OG0002651	AH004169-RA	Aqcoe3G009900.2.p, Aqcoe3G009900.5.p, Aqcoe3G009900.4.p, Aqcoe3G009900.1.p, Aqcoe3G009900.3.p, Aqcoe3G009900.6.p
OG0002652	AH018303-RA, AH011399-RA	Aqcoe3G275600.1.p
OG0002653	AH005436-RA, AH003001-RA	Aqcoe3G053100.1.p, Aqcoe3G053100.2.p
OG0002654	AH017616-RA	Aqcoe3G088200.1.p
OG0002654	AH015752-RA	Aqcoe3G329400.1.p
OG0002655	AH017340-RA, AH002761-RA, AH022942-RA	Aqcoe3G311800.1.p, Aqcoe3G103100.1.p
OG0002656	AH001035-RA	Aqcoe3G008800.2.p, Aqcoe3G008800.1.p
OG0002657	AH015864-RA	Aqcoe3G413300.1.p
OG0002658	AH005054-RA, AH005053-RA	Aqcoe3G340000.1.p
OG0002659	AH014341-RA, AH001055-RA	Aqcoe3G439200.6.p, Aqcoe3G439200.4.p, Aqcoe3G439200.1.p, Aqcoe3G439200.3.p, Aqcoe3G439200.2.p, Aqcoe3G439200.5.p
OG0002673	AH007170-RA	Aqcoe5G018300.1.p
OG0002674	AH007071-RA, AH010449-RA, AH010450-RA	Aqcoe2G335800.1.p, Aqcoe2G335900.1.p
OG0002676	AH010606-RA	Aqcoe2G251700.3.p, Aqcoe2G251700.2.p, Aqcoe2G251700.1.p
OG0002677	AH011029-RA, AH007709-RA	Aqcoe2G039400.1.p, Aqcoe2G039400.2.p
OG0002678	AH021886-RA, AH012727-RA	Aqcoe1G126800.1.p
OG0002680	AH002095-RA	Aqcoe2G386900.1.p, Aqcoe3G009000.1.p
OG0002681	AH019741-RA	Aqcoe2G078300.2.p, Aqcoe2G078300.4.p, Aqcoe2G078300.3.p, Aqcoe2G078300.1.p, Aqcoe1G017100.1.p
OG0002682	AH019357-RA, AH006746-RA	Aqcoe2G026400.1.p
OG0002684	AH018025-RA	Aqcoe2G071800.1.p
OG0002685	AH017661-RA	Aqcoe5G307100.1.p, Aqcoe5G307100.3.p, Aqcoe5G307100.2.p, Aqcoe5G307100.4.p, Aqcoe6G143100.1.p
OG0002685	AH011599-RA, AH019800-RA	Aqcoe2G268000.1.p, Aqcoe2G268200.1.p
OG0002686	AH018682-RA	Aqcoe5G245500.1.p, Aqcoe4G250300.1.p, Aqcoe1G050900.4.p, Aqcoe1G050900.3.p, Aqcoe1G050900.2.p, Aqcoe1G050900.1.p, Aqcoe1G050800.1.p, Aqcoe4G162700.1.p, Aqcoe2G283400.1.p, Aqcoe7G044900.1.p, Aqcoe6G243700.1.p
OG0002688	AH002573-RA, AH017894-RA	Aqcoe2G423700.1.p, Aqcoe3G128200.1.p
OG0002689	AH003049-RA, AH016326-RA, AH023145-RA	Aqcoe2G083100.1.p, Aqcoe1G150400.1.p
OG0002690	AH015273-RA	Aqcoe2G049900.1.p, Aqcoe4G071700.3.p, Aqcoe4G071700.2.p, Aqcoe4G071700.4.p, Aqcoe4G071700.5.p, Aqcoe4G071700.1.p
OG0002691	AH012710-RA	Aqcoe2G156700.1.p
OG0002692	AH007774-RA	Aqcoe2G346100.1.p
OG0002693	AH010557-RA	Aqcoe2G324300.1.p, Aqcoe2G324300.2.p, Aqcoe5G065000.2.p, Aqcoe5G065000.1.p
OG0002694	AH010891-RA	Aqcoe2G010100.1.p
OG0002695	AH004852-RA, AH004458-RA	Aqcoe4G302500.1.p, Aqcoe2G104200.1.p
OG0002696	AH022993-RA, AH016447-RA	Aqcoe1G098700.1.p, Aqcoe2G232300.1.p
OG0002697	AH006344-RA, AH003490-RA	Aqcoe2G310300.1.p, Aqcoe1G076400.2.p, Aqcoe1G076400.1.p
OG0002697	AH013203-RA	Aqcoe1G147600.1.p
OG0002698	AH007561-RA	Aqcoe2G308800.11.p, Aqcoe2G308800.3.p, Aqcoe2G308800.14.p, Aqcoe2G308800.12.p, Aqcoe2G308800.13.p, Aqcoe2G308800.10.p, Aqcoe2G308800.1.p, Aqcoe2G308800.2.p, Aqcoe2G308800.4.p, Aqcoe2G308800.5.p, Aqcoe2G308800.9.p, Aqcoe2G308800.6.p, Aqcoe2G308800.7.p, Aqcoe2G308800.8.p
OG0002699	AH010311-RA, AH007743-RA	Aqcoe2G133000.1.p
OG0002700	AH008939-RA	Aqcoe4G216400.2.p, Aqcoe2G169800.7.p, Aqcoe2G169800.3.p, Aqcoe2G169800.6.p, Aqcoe4G217600.1.p, Aqcoe4G216400.1.p, Aqcoe4G227100.1.p, Aqcoe1G320900.1.p, Aqcoe4G169200.1.p, Aqcoe7G309300.1.p, Aqcoe6G219000.1.p, Aqcoe2G169800.2.p, Aqcoe2G169800.4.p, Aqcoe0418s0001.2.p, Aqcoe0418s0001.1.p, Aqcoe2G169800.1.p, Aqcoe2G169800.5.p, Aqcoe2G315900.2.p, Aqcoe2G315900.1.p
OG0002701	AH008708-RA	Aqcoe2G393000.1.p, Aqcoe5G069500.1.p
OG0002702	AH008764-RA, AH017724-RA	Aqcoe2G423000.1.p, Aqcoe2G423000.2.p
OG0002703	AH010609-RA	Aqcoe5G290800.1.p
OG0002704	AH007508-RA, AH011064-RA, AH006662-RA	Aqcoe2G049200.1.p, Aqcoe1G048400.1.p
OG0002705	AH012570-RA	Aqcoe2G117200.2.p, Aqcoe2G117200.1.p
OG0002706	AH019117-RA	Aqcoe2G150600.1.p
OG0002706	AH018666-RA	Aqcoe7G041000.2.p, Aqcoe7G041000.1.p
OG0002707	AH022093-RA, AH012945-RA	Aqcoe2G291100.1.p
OG0002708	AH022665-RA	Aqcoe2G095300.1.p
OG0002708	AH002082-RA	Aqcoe7G180000.1.p
OG0002709	AH000384-RA, AH001493-RA	Aqcoe1G113000.2.p, Aqcoe1G113000.1.p
OG0002710	AH009765-RA	Aqcoe7G323900.1.p, Aqcoe7G323900.2.p
OG0002711	AH011028-RA	Aqcoe2G038800.2.p, Aqcoe2G038800.1.p
OG0002712	AH014851-RA	Aqcoe2G067900.1.p
OG0002713	AH006974-RA, AH022118-RA	Aqcoe5G087000.2.p, Aqcoe5G087000.3.p, Aqcoe5G087000.1.p, Aqcoe2G296000.3.p, Aqcoe2G296000.2.p, Aqcoe2G296000.1.p
OG0002714	AH002626-RA, AH017760-RA, AH017759-RA, AH017317-RA	Aqcoe5G035400.1.p, Aqcoe2G365300.1.p
OG0002715	AH021830-RA	Aqcoe5G046700.1.p, Aqcoe4G266500.1.p, Aqcoe2G137900.1.p, Aqcoe2G137900.2.p, Aqcoe1G449300.1.p
OG0002716	AH019936-RA, AH004047-RA	Aqcoe6G019200.1.p
OG0002717	AH001722-RA	Aqcoe5G176100.1.p, Aqcoe6G244100.1.p
OG0002718	AH008785-RA	Aqcoe6G005700.2.p, Aqcoe6G005700.1.p
OG0002719	AH008874-RA	Aqcoe6G021700.1.p, Aqcoe6G021700.2.p, Aqcoe7G379100.1.p
OG0002720	AH010319-RA	Aqcoe6G258300.1.p, Aqcoe6G258300.2.p
OG0002722	AH014648-RA	Aqcoe6G059200.1.p
OG0002722	AH015571-RA, AH020834-RA	Aqcoe7G190400.2.p, Aqcoe7G190400.1.p, Aqcoe7G190400.3.p
OG0002723	AH005796-RA	Aqcoe5G179600.1.p
OG0002724	AH016488-RA, AH022928-RA, AH016434-RA	Aqcoe6G067300.1.p, Aqcoe6G067300.2.p, Aqcoe6G279300.1.p, Aqcoe3G077300.1.p
OG0002725	AH016980-RA	Aqcoe6G151300.1.p
OG0002726	AH006215-RA, AH003508-RA	Aqcoe6G041100.1.p
OG0002726	AH011947-RA, AH019702-RA	Aqcoe7G005300.1.p
OG0002727	AH006588-RA, AH021917-RA, AH006595-RA	Aqcoe4G180200.1.p, Aqcoe6G155200.1.p, Aqcoe3G421100.1.p, Aqcoe3G421100.2.p, Aqcoe3G375100.1.p, Aqcoe3G375100.2.p, Aqcoe3G375100.3.p, Aqcoe3G375100.4.p
OG0002728	AH005684-RA, AH003533-RA	Aqcoe6G040800.1.p
OG0002729	AH016155-RA, AH016149-RA, AH016150-RA, AH002466-RA, AH008348-RA	Aqcoe6G159400.1.p, Aqcoe6G159400.3.p, Aqcoe6G159400.2.p, Aqcoe6G159400.4.p
OG0002730	AH010348-RA, AH023177-RA, AH010349-RA	Aqcoe6G010400.1.p
OG0002731	AH003689-RA	Aqcoe6G099700.1.p, Aqcoe6G099700.2.p, Aqcoe6G099800.1.p
OG0002732	AH001894-RA	Aqcoe6G095900.1.p, Aqcoe6G095900.2.p
OG0002733	AH016982-RA	Aqcoe6G098800.1.p
OG0002734	AH001802-RA	Aqcoe5G188900.2.p, Aqcoe5G188900.1.p, Aqcoe6G122000.1.p
OG0002735	AH020376-RA	Aqcoe7G417300.1.p
OG0002735	AH012155-RA	Aqcoe4G251500.2.p, Aqcoe4G251500.1.p, Aqcoe3G266600.1.p
OG0002736	AH015199-RA, AH009951-RA, AH008144-RA	Aqcoe1G368400.1.p, Aqcoe4G251700.1.p
OG0002737	AH014939-RA	Aqcoe1G337900.1.p
OG0002737	AH000058-RA, AH001141-RA	Aqcoe4G297100.2.p
OG0002738	AH014762-RA	Aqcoe7G119300.1.p, Aqcoe1G492600.1.p, Aqcoe1G492600.2.p, Aqcoe4G020000.2.p, Aqcoe4G020000.3.p, Aqcoe4G020000.1.p, Aqcoe4G020000.4.p, Aqcoe4G020000.5.p
OG0002739	AH006853-RA	Aqcoe1G017700.2.p, Aqcoe1G017700.4.p, Aqcoe1G017700.3.p, Aqcoe1G017700.1.p, Aqcoe4G287100.1.p, Aqcoe4G246400.1.p, Aqcoe4G287000.1.p
OG0002740	AH002002-RA	Aqcoe4G035700.1.p, Aqcoe1G233100.1.p, Aqcoe7G178900.1.p
OG0002741	AH010018-RA, AH015071-RA	Aqcoe4G128600.1.p
OG0002742	AH021266-RA, AH014676-RA	Aqcoe4G000900.1.p, Aqcoe4G000900.3.p, Aqcoe4G000900.2.p
OG0002743	AH022328-RA, AH022953-RA, AH016041-RA	Aqcoe7G439500.1.p, Aqcoe7G105500.1.p
OG0002744	AH004924-RA, AH004510-RA, AH012279-RA	Aqcoe7G066300.1.p
OG0002745	AH018996-RA	Aqcoe7G347800.1.p
OG0002747	AH009222-RA	Aqcoe7G046300.4.p, Aqcoe7G046300.3.p, Aqcoe7G046300.1.p, Aqcoe7G046300.2.p
OG0002748	AH001976-RA	Aqcoe7G387600.1.p, Aqcoe7G264800.1.p
OG0002749	AH017144-RA, AH007950-RA	Aqcoe7G133900.1.p
OG0002750	AH002060-RA	Aqcoe7G395000.1.p
OG0002750	AH015565-RA	Aqcoe7G186100.2.p, Aqcoe7G186100.1.p
OG0002751	AH011347-RA	Aqcoe7G004900.1.p
OG0002751	AH003074-RA	Aqcoe1G078600.1.p
OG0002752	AH002052-RA, AH000532-RA	Aqcoe7G190300.1.p
OG0002753	AH009212-RA	Aqcoe7G049900.1.p
OG0002754	AH000481-RA, AH002118-RA, AH020884-RA	Aqcoe7G164600.1.p
OG0002755	AH019184-RA, AH020994-RA, AH014379-RA	Aqcoe7G333000.1.p
OG0002756	AH013391-RA, AH022346-RA	Aqcoe7G432200.1.p
OG0002757	AH016101-RA	Aqcoe7G132900.1.p, Aqcoe7G132900.2.p
OG0002758	AH009220-RA	Aqcoe7G047300.3.p, Aqcoe7G047300.2.p, Aqcoe7G047300.1.p
OG0002759	AH017133-RA, AH002013-RA	Aqcoe7G148800.1.p, Aqcoe7G148800.5.p, Aqcoe7G148800.6.p, Aqcoe7G148800.4.p, Aqcoe7G148800.2.p, Aqcoe7G148800.7.p, Aqcoe7G148800.3.p
OG0002760	AH020938-RA	Aqcoe7G296000.1.p
OG0002761	AH002575-RA, AH017897-RA, AH023036-RA, AH016403-RA	Aqcoe1G089000.1.p, Aqcoe7G427900.2.p, Aqcoe7G427900.1.p
OG0002762	AH023533-RA, AH023532-RA	Aqcoe7G339300.1.p
OG0002763	AH009419-RA	Aqcoe7G043100.6.p, Aqcoe7G043100.4.p, Aqcoe7G043100.7.p, Aqcoe7G043100.1.p, Aqcoe7G043100.5.p, Aqcoe7G043100.2.p, Aqcoe7G043100.3.p, Aqcoe7G043100.8.p
OG0002764	AH000504-RA, AH001575-RA	Aqcoe7G151100.1.p
OG0002766	AH012948-RA, AH022084-RA, AH007630-RA	Aqcoe7G105000.1.p, Aqcoe5G091500.1.p
OG0002767	AH007855-RA	Aqcoe3G421400.2.p, Aqcoe3G421400.1.p, Aqcoe7G392800.1.p
OG0002768	AH011354-RA, AH018171-RA	Aqcoe7G003200.1.p, Aqcoe7G003200.2.p
OG0002769	AH011252-RA, AH011251-RA	Aqcoe7G028100.1.p
OG0002770	AH014481-RA, AH014480-RA	Aqcoe7G408200.3.p, Aqcoe7G408200.1.p, Aqcoe7G408200.2.p
OG0002771	AH021092-RA, AH014323-RA	Aqcoe7G107700.1.p
OG0002772	AH019661-RA, AH012002-RA	Aqcoe7G010900.1.p, Aqcoe7G010900.2.p, Aqcoe7G010900.4.p, Aqcoe7G010900.3.p
OG0002773	AH022305-RA, AH013437-RA	Aqcoe7G101200.1.p, Aqcoe7G101200.2.p
OG0002774	AH005034-RA	Aqcoe3G344400.1.p
OG0002774	AH022841-RA, AH016546-RA	Aqcoe7G094100.2.p, Aqcoe7G094100.1.p
OG0002775	AH023014-RA	Aqcoe7G266200.1.p, Aqcoe1G093300.2.p, Aqcoe1G093300.1.p
OG0002776	AH017086-RA	Aqcoe7G099500.2.p, Aqcoe7G099500.1.p
OG0002777	AH022337-RA	Aqcoe7G430600.1.p
OG0002778	AH009858-RA, AH006589-RA, AH006598-RA	Aqcoe1G119300.1.p
OG0002780	AH021818-RA	Aqcoe1G445800.1.p
OG0002781	AH018926-RA	Aqcoe1G068000.3.p, Aqcoe1G068000.1.p, Aqcoe1G068000.2.p
OG0002782	AH012718-RA, AH000404-RA	Aqcoe1G122900.1.p
OG0002783	AH023229-RA, AH023230-RA, AH016266-RA, AH016885-RA	Aqcoe1G340100.2.p, Aqcoe1G340100.1.p, Aqcoe1G340100.3.p
OG0002784	AH002961-RA, AH017371-RA	Aqcoe1G391100.1.p, Aqcoe3G178700.1.p
OG0002785	AH016586-RA, AH022783-RA	Aqcoe3G063100.1.p, Aqcoe3G063100.2.p, Aqcoe1G468600.1.p
OG0002786	AH022336-RA	Aqcoe1G253400.1.p
OG0002787	AH015090-RA, AH021624-RA, AH021623-RA	Aqcoe1G318200.1.p
OG0002788	AH021728-RA, AH021728-RB, AH012479-RA, AH013222-RA	Aqcoe1G400700.1.p
OG0002789	AH001418-RA	Aqcoe1G163900.1.p
OG0002790	AH008214-RA	Aqcoe1G231300.8.p, Aqcoe1G231300.5.p, Aqcoe1G231300.4.p, Aqcoe1G231300.3.p, Aqcoe1G231300.1.p, Aqcoe1G231300.6.p, Aqcoe1G231300.7.p, Aqcoe1G231300.2.p
OG0002791	AH023455-RA	Aqcoe3G418700.1.p
OG0002791	AH015952-RA	Aqcoe1G476000.1.p, Aqcoe1G476000.2.p
OG0002792	AH012826-RA	Aqcoe1G476200.1.p
OG0002793	AH018539-RA, AH023012-RA, AH016457-RA	Aqcoe1G093800.1.p
OG0002794	AH008279-RA	Aqcoe1G389900.2.p, Aqcoe1G389900.1.p
OG0002795	AH008239-RA, AH000043-RA	Aqcoe1G334400.2.p, Aqcoe1G334400.1.p
OG0002796	AH010181-RA, AH008198-RA	Aqcoe1G237300.1.p, Aqcoe1G237300.2.p
OG0002797	AH009938-RA, AH008152-RA	Aqcoe1G357100.1.p
OG0002798	AH006305-RA	Aqcoe1G161600.2.p, Aqcoe1G161600.1.p
OG0002799	AH020438-RA	Aqcoe1G044000.1.p, Aqcoe1G044000.2.p
OG0002800	AH001442-RA, AH000401-RA	Aqcoe1G210600.2.p, Aqcoe1G210600.3.p, Aqcoe1G210600.4.p, Aqcoe1G210600.1.p
OG0002801	AH001127-RA	Aqcoe1G169600.1.p, Aqcoe1G169600.2.p, Aqcoe1G169600.3.p
OG0002802	AH004625-RA	Aqcoe1G123200.1.p
OG0002803	AH004461-RA	Aqcoe5G395000.1.p, Aqcoe5G394800.1.p, Aqcoe5G394800.5.p, Aqcoe5G394800.7.p, Aqcoe5G394800.6.p, Aqcoe5G394800.8.p, Aqcoe5G394800.4.p, Aqcoe5G394800.2.p, Aqcoe5G394800.3.p, Aqcoe3G140600.1.p, Aqcoe3G140600.2.p
OG0002804	AH006320-RA, AH003475-RA	Aqcoe5G308000.4.p, Aqcoe5G308000.1.p, Aqcoe5G308000.2.p, Aqcoe5G308000.3.p
OG0002805	AH007878-RA	Aqcoe5G269600.1.p, Aqcoe5G269600.2.p
OG0002806	AH002372-RA	Aqcoe5G122100.2.p, Aqcoe5G122100.1.p
OG0002808	AH006892-RA, AH020296-RA	Aqcoe5G311300.1.p, Aqcoe3G434100.1.p
OG0002809	AH009000-RA	Aqcoe5G448700.1.p
OG0002810	AH005846-RA	Aqcoe5G184700.3.p, Aqcoe5G184700.1.p, Aqcoe5G184700.4.p, Aqcoe5G184700.5.p, Aqcoe5G184700.2.p, Aqcoe5G184700.6.p
OG0002812	AH006218-RA	Aqcoe5G239800.1.p
OG0002813	AH003306-RA	Aqcoe5G016100.2.p, Aqcoe5G016100.3.p, Aqcoe5G016100.1.p
OG0002814	AH017351-RA	Aqcoe3G161100.1.p, Aqcoe5G346300.1.p
OG0002815	AH004265-RA, AH005236-RA	Aqcoe5G331100.1.p
OG0002816	AH016593-RA, AH022770-RA	Aqcoe5G346800.1.p, Aqcoe3G377300.1.p
OG0002817	AH011449-RA, AH018228-RA	Aqcoe3G258900.1.p, Aqcoe5G365900.1.p
OG0002818	AH009574-RA	Aqcoe5G456600.2.p, Aqcoe5G456600.1.p
OG0002819	AH018819-RA, AH018818-RA	Aqcoe5G047000.1.p
OG0002820	AH007255-RA, AH001830-RA, AH000557-RA	Aqcoe5G195900.1.p, Aqcoe5G194400.1.p
OG0002821	AH008515-RA	Aqcoe5G249700.1.p
OG0002822	AH005017-RA	Aqcoe5G305200.1.p
OG0002823	AH011629-RA	Aqcoe5G001300.2.p, Aqcoe5G001300.4.p, Aqcoe5G001300.3.p, Aqcoe5G001300.1.p
OG0002824	AH021700-RA	Aqcoe5G318500.3.p, Aqcoe5G318500.1.p, Aqcoe5G318500.2.p
OG0002825	AH018428-RA	Aqcoe3G055000.1.p
OG0002826	AH002996-RA	Aqcoe3G029000.1.p
OG0002827	AH022925-RA, AH022924-RA, AH016491-RA	Aqcoe3G076700.1.p, Aqcoe3G076700.3.p, Aqcoe3G076700.4.p, Aqcoe3G076700.2.p, Aqcoe3G076600.1.p
OG0002828	AH017435-RA, AH016499-RA, AH022916-RA	Aqcoe3G047900.1.p, Aqcoe3G394300.1.p
OG0002829	AH010582-RA	Aqcoe3G283500.1.p
OG0002829	AH017969-RA	Aqcoe3G125400.1.p
OG0002830	AH005007-RA, AH015804-RA	Aqcoe3G353200.2.p, Aqcoe3G353200.1.p, Aqcoe3G353200.3.p
OG0002831	AH022902-RA	Aqcoe3G046500.2.p, Aqcoe3G046500.1.p, Aqcoe3G046500.4.p, Aqcoe3G046500.3.p, Aqcoe3G398000.2.p, Aqcoe3G398000.1.p
OG0002832	AH008379-RA	Aqcoe3G056800.1.p
OG0002833	AH017560-RA, AH002849-RA	Aqcoe3G350300.1.p
OG0002834	AH014600-RA	Aqcoe3G299300.1.p
