Orthogroup	A_hypochondriacus.proteins	L_sativa.proteins
OG0001770	AH020278-RA	Lsat_1_v5_gn_8_38240.1, Lsat_1_v5_gn_8_38240.2
OG0001770	AH014561-RA, AH021126-RA	Lsat_1_v5_gn_7_34921.1, Lsat_1_v5_gn_5_141840.1
OG0001771	AH001996-RA	Lsat_1_v5_gn_5_132361.1
OG0001771	AH014069-RA, AH020762-RA, AH014148-RA, AH023801-RA	Lsat_1_v5_gn_5_97080.2, Lsat_1_v5_gn_5_97080.1, Lsat_1_v5_gn_7_45781.1
OG0001772	AH014436-RA	Lsat_1_v5_gn_8_69300.1, Lsat_1_v5_gn_8_69300.2, Lsat_1_v5_gn_7_56340.1, Lsat_1_v5_gn_7_56340.2
OG0001773	AH018095-RA	Lsat_1_v5_gn_3_10900.3, Lsat_1_v5_gn_6_83941.1
OG0001774	AH018716-RA	Lsat_1_v5_gn_3_4541.5, Lsat_1_v5_gn_3_4541.4, Lsat_1_v5_gn_3_4541.1
OG0001774	AH009193-RA, AH020811-RA	Lsat_1_v5_gn_7_6320.1, Lsat_1_v5_gn_7_6320.3, Lsat_1_v5_gn_7_6300.3, Lsat_1_v5_gn_7_6300.1
OG0001775	AH014348-RA, AH014349-RA, AH021165-RA	Lsat_1_v5_gn_6_11320.1, Lsat_1_v5_gn_6_11320.3
OG0001776	AH007741-RA	Lsat_1_v5_gn_7_35041.1, Lsat_1_v5_gn_7_35041.2
OG0001777	AH009523-RA	Lsat_1_v5_gn_3_140160.1, Lsat_1_v5_gn_3_140160.2
OG0001779	AH020944-RA	Lsat_1_v5_gn_7_59241.3, Lsat_1_v5_gn_7_59241.1, Lsat_1_v5_gn_7_59241.2, Lsat_1_v5_gn_5_78880.5, Lsat_1_v5_gn_5_78880.4
OG0001780	AH017996-RA, AH011263-RA, AH017997-RA	Lsat_1_v5_gn_6_85320.1, Lsat_1_v5_gn_6_5080.1, Lsat_1_v5_gn_3_6040.3, Lsat_1_v5_gn_3_6040.1
OG0001781	AH018651-RA	Lsat_1_v5_gn_6_87140.1, Lsat_1_v5_gn_6_87140.2, Lsat_1_v5_gn_3_7641.2, Lsat_1_v5_gn_3_7641.1
OG0001781	AH023040-RA	Lsat_1_v5_gn_2_120401.2, Lsat_1_v5_gn_2_120401.1, Lsat_1_v5_gn_8_12560.1
OG0001782	AH007490-RA, AH002141-RA	Lsat_1_v5_gn_9_69300.1, Lsat_1_v5_gn_2_114260.1
OG0001783	AH002965-RA	Lsat_1_v5_gn_7_28060.3, Lsat_1_v5_gn_7_28060.2, Lsat_1_v5_gn_7_28060.1
OG0001784	AH021159-RA	Lsat_1_v5_gn_8_68460.3, Lsat_1_v5_gn_8_68460.1
OG0001785	AH014213-RA	Lsat_1_v5_gn_5_143000.1, Lsat_1_v5_gn_5_143000.2, Lsat_1_v5_gn_8_86641.1
OG0001786	AH012088-RA, AH019612-RA, AH012087-RA, AH012086-RA	Lsat_1_v5_gn_4_150800.1, Lsat_1_v5_gn_4_150800.3, Lsat_1_v5_gn_4_150741.1
OG0001787	AH013870-RA	Lsat_1_v5_gn_6_28341.1
OG0001788	AH009880-RA	Lsat_1_v5_gn_0_24181.2
OG0001789	AH015084-RA	Lsat_1_v5_gn_7_19261.3, Lsat_1_v5_gn_7_19261.1, Lsat_1_v5_gn_4_54580.1
OG0001789	AH000691-RA, AH000692-RA, AH002448-RA, AH000690-RA	Lsat_1_v5_gn_9_33741.1, Lsat_1_v5_gn_5_155220.3, Lsat_1_v5_gn_5_155220.1
OG0001790	AH011578-RA	Lsat_1_v5_gn_3_21161.1, Lsat_1_v5_gn_3_21161.2, Lsat_1_v5_gn_8_47821.1, Lsat_1_v5_gn_8_47821.3
OG0001791	AH008218-RA, AH009916-RA	Lsat_1_v5_gn_7_110060.1, Lsat_1_v5_gn_7_110060.3, Lsat_1_v5_gn_5_2920.1
OG0001792	AH005244-RA	Lsat_1_v5_gn_2_95221.1
OG0001793	AH023078-RA	Lsat_1_v5_gn_2_122741.1, Lsat_1_v5_gn_9_33780.1
OG0001793	AH015078-RA, AH021633-RA	Lsat_1_v5_gn_7_19041.1
OG0001794	AH021323-RA, AH014743-RA	Lsat_1_v5_gn_2_115601.2, Lsat_1_v5_gn_2_115601.1, Lsat_1_v5_gn_9_66241.3, Lsat_1_v5_gn_9_66241.1, Lsat_1_v5_gn_9_66241.2, Lsat_1_v5_gn_8_18241.2, Lsat_1_v5_gn_8_18241.3, Lsat_1_v5_gn_8_18241.1
OG0001795	AH022644-RA	Lsat_1_v5_gn_1_47181.1
OG0001796	AH017142-RA, AH016106-RA, AH021694-RA, AH019300-RA	Lsat_1_v5_gn_8_11360.2, Lsat_1_v5_gn_8_11360.1
OG0001797	AH010594-RA, AH020290-RA	Lsat_1_v5_gn_1_58760.1, Lsat_1_v5_gn_1_58760.3
OG0001799	AH021957-RA	Lsat_1_v5_gn_2_109801.1, Lsat_1_v5_gn_2_109801.3
OG0001800	AH013859-RA, AH013858-RA	Lsat_1_v5_gn_6_34001.1, Lsat_1_v5_gn_6_34001.2, Lsat_1_v5_gn_1_56861.1, Lsat_1_v5_gn_2_101961.1
OG0001801	AH015158-RA	Lsat_1_v5_gn_4_156861.1, Lsat_1_v5_gn_3_82320.1
OG0001801	AH005358-RA, AH004145-RA	Lsat_1_v5_gn_3_55500.1, Lsat_1_v5_gn_4_13761.1, Lsat_1_v5_gn_8_44801.1
OG0001802	AH015633-RA	Lsat_1_v5_gn_5_51740.1, Lsat_1_v5_gn_5_51740.3, Lsat_1_v5_gn_5_51780.1
OG0001803	AH003823-RA, AH005756-RA	Lsat_1_v5_gn_2_76561.1, Lsat_1_v5_gn_2_76561.3, Lsat_1_v5_gn_3_76640.1, Lsat_1_v5_gn_3_76640.3
OG0001804	AH005237-RA	Lsat_1_v5_gn_3_53840.1, Lsat_1_v5_gn_8_46420.1
OG0001805	AH018369-RA	Lsat_1_v5_gn_4_148880.5
OG0001806	AH007030-RA	Lsat_1_v5_gn_8_137440.2, Lsat_1_v5_gn_8_137440.1
OG0001806	AH020163-RA	Lsat_1_v5_gn_8_53980.1
OG0001808	AH017362-RA, AH002964-RA	Lsat_1_v5_gn_4_101.3, Lsat_1_v5_gn_4_101.1, Lsat_1_v5_gn_8_146120.1, Lsat_1_v5_gn_8_146120.2, Lsat_1_v5_gn_3_31601.1
OG0001809	AH007339-RA, AH019766-RA, AH007333-RA	Lsat_1_v5_gn_6_117360.1, Lsat_1_v5_gn_6_117360.3, Lsat_1_v5_gn_5_115820.2
OG0001810	AH017777-RA, AH002609-RA	Lsat_1_v5_gn_9_8180.2, Lsat_1_v5_gn_9_8180.1
OG0001810	AH010804-RA	Lsat_1_v5_gn_5_67340.1
OG0001811	AH001809-RA	Lsat_1_v5_gn_2_88861.2, Lsat_1_v5_gn_2_88861.1
OG0001812	AH011689-RA, AH004629-RA	Lsat_1_v5_gn_3_49060.1, Lsat_1_v5_gn_8_160040.1
OG0001814	AH005057-RA, AH004383-RA	Lsat_1_v5_gn_4_9820.1
OG0001815	AH017533-RA, AH001467-RA	Lsat_1_v5_gn_1_13680.1, Lsat_1_v5_gn_4_110181.1
OG0001815	AH005565-RA	Lsat_1_v5_gn_8_47381.2, Lsat_1_v5_gn_8_47381.3, Lsat_1_v5_gn_8_47381.1
OG0001816	AH022741-RA, AH016612-RA	Lsat_1_v5_gn_4_174621.2, Lsat_1_v5_gn_4_174621.1
OG0001817	AH007245-RA	Lsat_1_v5_gn_8_109060.2, Lsat_1_v5_gn_8_109060.1, Lsat_1_v5_gn_8_108940.1
OG0001818	AH010042-RA, AH008164-RA, AH008747-RA	Lsat_1_v5_gn_9_88520.1
OG0001819	AH002795-RA, AH017622-RA	Lsat_1_v5_gn_4_107341.2, Lsat_1_v5_gn_4_107341.1, Lsat_1_v5_gn_4_107341.3
OG0001820	AH004822-RA	Lsat_1_v5_gn_8_152141.6, Lsat_1_v5_gn_8_152141.5, Lsat_1_v5_gn_8_152141.4, Lsat_1_v5_gn_7_88920.1
OG0001821	AH018425-RA, AH011529-RA	Lsat_1_v5_gn_3_19100.3, Lsat_1_v5_gn_3_19100.1
OG0001822	AH016157-RA	Lsat_1_v5_gn_1_77661.3, Lsat_1_v5_gn_1_77661.1, Lsat_1_v5_gn_1_77661.4, Lsat_1_v5_gn_1_77661.2
OG0001823	AH023370-RA, AH023366-RA, AH023367-RA	Lsat_1_v5_gn_5_78760.3, Lsat_1_v5_gn_5_78760.1, Lsat_1_v5_gn_5_78720.1
OG0001825	AH013354-RA	Lsat_1_v5_gn_1_37160.2, Lsat_1_v5_gn_1_37160.1
OG0001833	AH017010-RA, AH017009-RA, AH017007-RA	Lsat_1_v5_gn_7_57600.1, Lsat_1_v5_gn_7_57600.3
OG0001834	AH023089-RA, AH019442-RA, AH019447-RA, AH011216-RA, AH023803-RA	Lsat_1_v5_gn_3_12840.3, Lsat_1_v5_gn_3_12840.1, Lsat_1_v5_gn_3_12840.2, Lsat_1_v5_gn_6_83381.2
OG0001835	AH003019-RA, AH017232-RA	Lsat_1_v5_gn_2_95040.4, Lsat_1_v5_gn_1_59281.4
OG0001836	AH010828-RA, AH007765-RA	Lsat_1_v5_gn_5_184180.1, Lsat_1_v5_gn_5_184180.3, Lsat_1_v5_gn_5_184180.2, Lsat_1_v5_gn_9_3440.1, Lsat_1_v5_gn_9_3440.2, Lsat_1_v5_gn_8_56501.1
OG0001837	AH021843-RA, AH012657-RA	Lsat_1_v5_gn_2_21280.1, Lsat_1_v5_gn_1_50200.1, Lsat_1_v5_gn_6_70881.1
OG0001838	AH012887-RA	Lsat_1_v5_gn_9_1680.1, Lsat_1_v5_gn_9_1680.2
OG0001839	AH012500-RA, AH013395-RA	Lsat_1_v5_gn_1_49781.3, Lsat_1_v5_gn_1_49781.1
OG0001841	AH010768-RA, AH007739-RA	Lsat_1_v5_gn_4_138841.1, Lsat_1_v5_gn_4_138841.2
OG0001842	AH009881-RA	Lsat_1_v5_gn_9_92020.3, Lsat_1_v5_gn_9_92020.1
OG0001843	AH020563-RA	Lsat_1_v5_gn_2_45941.1, Lsat_1_v5_gn_2_46001.1, Lsat_1_v5_gn_2_46060.1
OG0001844	AH012534-RA, AH012530-RA, AH012535-RA, AH000977-RA, AH012533-RA	Lsat_1_v5_gn_9_49240.1, Lsat_1_v5_gn_9_49240.4
OG0001844	AH015412-RA	Lsat_1_v5_gn_4_33860.1, Lsat_1_v5_gn_9_115440.1, Lsat_1_v5_gn_9_115440.3, Lsat_1_v5_gn_5_821.3, Lsat_1_v5_gn_5_66001.1, Lsat_1_v5_gn_5_821.1, Lsat_1_v5_gn_5_124461.1, Lsat_1_v5_gn_6_87021.1, Lsat_1_v5_gn_8_137301.1, Lsat_1_v5_gn_4_118061.2, Lsat_1_v5_gn_4_118061.1
OG0001845	AH022887-RA	Lsat_1_v5_gn_9_81640.1, Lsat_1_v5_gn_9_82841.6, Lsat_1_v5_gn_9_82841.1, Lsat_1_v5_gn_9_82841.5, Lsat_1_v5_gn_9_82641.2, Lsat_1_v5_gn_9_82641.1
OG0001847	AH019689-RA, AH011971-RA	Lsat_1_v5_gn_8_5340.1
OG0001848	AH013823-RA	Lsat_1_v5_gn_4_17901.1, Lsat_1_v5_gn_8_40020.4, Lsat_1_v5_gn_8_40020.1, Lsat_1_v5_gn_3_59401.1, Lsat_1_v5_gn_3_59401.2
OG0001850	AH019976-RA	Lsat_1_v5_gn_6_55141.2, Lsat_1_v5_gn_6_55141.1
OG0001850	AH011123-RA, AH007468-RA	Lsat_1_v5_gn_0_14541.1
OG0001851	AH017388-RA	Lsat_1_v5_gn_5_9980.1, Lsat_1_v5_gn_5_9980.3, Lsat_1_v5_gn_1_32200.1, Lsat_1_v5_gn_1_32200.2
OG0001852	AH012982-RA	Lsat_1_v5_gn_9_421.1, Lsat_1_v5_gn_9_421.2
OG0001852	AH005476-RA	Lsat_1_v5_gn_3_62580.1, Lsat_1_v5_gn_8_40161.3, Lsat_1_v5_gn_8_40161.1
OG0001853	AH005772-RA	Lsat_1_v5_gn_2_77500.1
OG0001853	AH009265-RA	Lsat_1_v5_gn_5_157381.2, Lsat_1_v5_gn_5_157381.1, Lsat_1_v5_gn_5_157381.3
OG0001854	AH016313-RA	Lsat_1_v5_gn_8_13321.1
OG0001855	AH005340-RA	Lsat_1_v5_gn_2_112901.1
OG0001856	AH008885-RA	Lsat_1_v5_gn_6_106421.1, Lsat_1_v5_gn_6_106421.2
OG0001857	AH019884-RA, AH007162-RA	Lsat_1_v5_gn_2_41401.2, Lsat_1_v5_gn_2_41401.3, Lsat_1_v5_gn_2_41401.1, Lsat_1_v5_gn_6_66060.2, Lsat_1_v5_gn_6_66060.1, Lsat_1_v5_gn_6_66060.3
OG0001857	AH022025-RA	Lsat_1_v5_gn_8_92061.2, Lsat_1_v5_gn_8_92061.1
OG0001858	AH018645-RA, AH018644-RA	Lsat_1_v5_gn_3_7761.3, Lsat_1_v5_gn_3_7761.1
OG0001860	AH005813-RA	Lsat_1_v5_gn_3_75181.3, Lsat_1_v5_gn_3_75181.1
OG0001860	AH023590-RA	Lsat_1_v5_gn_4_116621.1, Lsat_1_v5_gn_3_21820.1, Lsat_1_v5_gn_4_116761.1, Lsat_1_v5_gn_4_116721.1, Lsat_1_v5_gn_5_99920.1
OG0001861	AH004242-RA	Lsat_1_v5_gn_7_69741.2, Lsat_1_v5_gn_9_81781.1, Lsat_1_v5_gn_9_81781.2, Lsat_1_v5_gn_9_81821.1, Lsat_1_v5_gn_9_81781.3, Lsat_1_v5_gn_9_81801.1, Lsat_1_v5_gn_7_69741.1
OG0001862	AH008619-RA	Lsat_1_v5_gn_6_113580.2, Lsat_1_v5_gn_6_113580.3, Lsat_1_v5_gn_6_113580.1, Lsat_1_v5_gn_6_113580.4, Lsat_1_v5_gn_4_124081.1, Lsat_1_v5_gn_4_124081.3
OG0001863	AH006122-RA, AH001628-RA, AH000953-RA	Lsat_1_v5_gn_5_112200.1, Lsat_1_v5_gn_3_89440.3, Lsat_1_v5_gn_3_89440.1, Lsat_1_v5_gn_2_85160.1, Lsat_1_v5_gn_2_85100.1, Lsat_1_v5_gn_2_85140.1, Lsat_1_v5_gn_9_67881.3, Lsat_1_v5_gn_9_67881.1, Lsat_1_v5_gn_9_67821.1, Lsat_1_v5_gn_9_67821.3, Lsat_1_v5_gn_2_85040.1, Lsat_1_v5_gn_2_83940.1, Lsat_1_v5_gn_2_85000.1, Lsat_1_v5_gn_2_85000.5
OG0001864	AH016916-RA	Lsat_1_v5_gn_5_79701.4, Lsat_1_v5_gn_5_78841.3
OG0001865	AH002706-RA	Lsat_1_v5_gn_1_61501.1
OG0001866	AH005896-RA, AH003949-RA	Lsat_1_v5_gn_3_94041.1, Lsat_1_v5_gn_2_87261.1
OG0001867	AH021099-RA	Lsat_1_v5_gn_5_139981.1, Lsat_1_v5_gn_7_35180.1
OG0001868	AH008680-RA	Lsat_1_v5_gn_4_121761.1, Lsat_1_v5_gn_1_18261.1, Lsat_1_v5_gn_1_18261.3
OG0001869	AH005583-RA	Lsat_1_v5_gn_2_79760.3, Lsat_1_v5_gn_2_79760.1
OG0001869	AH008676-RA	Lsat_1_v5_gn_4_122280.1, Lsat_1_v5_gn_5_29981.1
OG0001870	AH014396-RA, AH020978-RA	Lsat_1_v5_gn_7_54581.3, Lsat_1_v5_gn_7_54581.1, Lsat_1_v5_gn_8_67661.1, Lsat_1_v5_gn_5_85441.2, Lsat_1_v5_gn_5_85441.1
OG0001871	AH016681-RA	Lsat_1_v5_gn_1_22761.1, Lsat_1_v5_gn_1_22761.3, Lsat_1_v5_gn_1_22761.2
OG0001871	AH014636-RA	Lsat_1_v5_gn_9_112320.1, Lsat_1_v5_gn_9_112320.2, Lsat_1_v5_gn_7_85641.1, Lsat_1_v5_gn_7_85641.3, Lsat_1_v5_gn_9_111641.1, Lsat_1_v5_gn_9_111641.2
OG0001872	AH000815-RA	Lsat_1_v5_gn_8_124000.3, Lsat_1_v5_gn_8_124000.1, Lsat_1_v5_gn_3_46320.1
OG0001873	AH001632-RA, AH001633-RA, AH000955-RA, AH001630-RA, AH000957-RA, AH001635-RA	Lsat_1_v5_gn_5_113581.1, Lsat_1_v5_gn_0_4181.1, Lsat_1_v5_gn_5_115600.3, Lsat_1_v5_gn_5_115600.1, Lsat_1_v5_gn_5_115640.1
OG0001874	AH003551-RA, AH006000-RA	Lsat_1_v5_gn_5_45700.3, Lsat_1_v5_gn_5_45700.1
OG0001874	AH023767-RA	Lsat_1_v5_gn_9_19881.1, Lsat_1_v5_gn_9_19881.2
OG0001875	AH003766-RA, AH001742-RA, AH000591-RA	Lsat_1_v5_gn_8_128741.3
OG0001876	AH005633-RA, AH005634-RA	Lsat_1_v5_gn_3_93260.1
OG0001877	AH021687-RA	Lsat_1_v5_gn_8_108440.3, Lsat_1_v5_gn_8_108440.2, Lsat_1_v5_gn_8_108440.1
OG0001878	AH010013-RA, AH010014-RA	Lsat_1_v5_gn_5_6540.1, Lsat_1_v5_gn_5_6540.3
OG0001878	AH015088-RA	Lsat_1_v5_gn_4_54460.3, Lsat_1_v5_gn_4_54460.1
OG0001879	AH006547-RA, AH020533-RA, AH006546-RA	Lsat_1_v5_gn_3_78181.1, Lsat_1_v5_gn_7_5320.1, Lsat_1_v5_gn_4_71160.1, Lsat_1_v5_gn_1_70701.1, Lsat_1_v5_gn_9_41861.1, Lsat_1_v5_gn_7_88480.3, Lsat_1_v5_gn_7_88480.1, Lsat_1_v5_gn_3_83101.1, Lsat_1_v5_gn_8_11861.1, Lsat_1_v5_gn_8_11861.2, Lsat_1_v5_gn_5_114100.3, Lsat_1_v5_gn_5_114100.1, Lsat_1_v5_gn_6_32340.1, Lsat_1_v5_gn_6_32340.2, Lsat_1_v5_gn_5_28101.1, Lsat_1_v5_gn_5_28101.2, Lsat_1_v5_gn_3_107140.1, Lsat_1_v5_gn_3_107140.3, Lsat_1_v5_gn_4_83901.1, Lsat_1_v5_gn_9_26841.1, Lsat_1_v5_gn_2_118881.1, Lsat_1_v5_gn_2_118881.2, Lsat_1_v5_gn_7_5320.2, Lsat_1_v5_gn_1_109980.1, Lsat_1_v5_gn_4_83901.3, Lsat_1_v5_gn_5_163900.1, Lsat_1_v5_gn_3_81380.1, Lsat_1_v5_gn_3_11941.1
OG0001880	AH013302-RA	Lsat_1_v5_gn_8_1461.1
OG0001881	AH021668-RA	Lsat_1_v5_gn_1_128461.3, Lsat_1_v5_gn_1_128461.1
OG0001882	AH010006-RA	Lsat_1_v5_gn_4_70141.1
OG0001883	AH005140-RA, AH004270-RA	Lsat_1_v5_gn_3_106460.2, Lsat_1_v5_gn_3_106460.1
OG0001884	AH010074-RA	Lsat_1_v5_gn_5_128101.3, Lsat_1_v5_gn_5_128101.1, Lsat_1_v5_gn_5_128101.2, Lsat_1_v5_gn_7_104700.1
OG0001886	AH007145-RA	Lsat_1_v5_gn_3_111920.2, Lsat_1_v5_gn_3_111920.1
OG0001886	AH009736-RA	Lsat_1_v5_gn_7_113021.1, Lsat_1_v5_gn_7_113021.2
OG0001887	AH000287-RA	Lsat_1_v5_gn_8_137641.1
OG0001887	AH008027-RA, AH010109-RA	Lsat_1_v5_gn_7_102940.1, Lsat_1_v5_gn_7_102900.1, Lsat_1_v5_gn_9_99081.3, Lsat_1_v5_gn_9_99081.1
OG0001888	AH002191-RA, AH002190-RA	Lsat_1_v5_gn_5_107861.1
OG0001889	AH019457-RA	Lsat_1_v5_gn_8_9221.1, Lsat_1_v5_gn_8_9221.3, Lsat_1_v5_gn_2_128840.1
OG0001890	AH015844-RA	Lsat_1_v5_gn_4_172000.1, Lsat_1_v5_gn_2_90160.1
OG0001890	AH019085-RA	Lsat_1_v5_gn_6_25160.1, Lsat_1_v5_gn_6_25160.3
OG0001892	AH014434-RA, AH020950-RA	Lsat_1_v5_gn_8_68241.1, Lsat_1_v5_gn_8_68241.2
OG0001893	AH022447-RA	Lsat_1_v5_gn_2_85500.3, Lsat_1_v5_gn_2_85500.1, Lsat_1_v5_gn_8_21361.2, Lsat_1_v5_gn_8_21361.1, Lsat_1_v5_gn_8_21361.3, Lsat_1_v5_gn_8_21361.6, Lsat_1_v5_gn_8_42161.1, Lsat_1_v5_gn_8_42161.2, Lsat_1_v5_gn_8_42161.4, Lsat_1_v5_gn_8_42141.2, Lsat_1_v5_gn_8_42141.1
OG0001894	AH009195-RA	Lsat_1_v5_gn_4_37400.1, Lsat_1_v5_gn_7_6160.1
OG0001894	AH012326-RA	Lsat_1_v5_gn_9_53021.1, Lsat_1_v5_gn_8_7780.1
OG0001895	AH016176-RA, AH023355-RA	Lsat_1_v5_gn_1_46601.1
OG0001896	AH005882-RA	Lsat_1_v5_gn_7_43720.1, Lsat_1_v5_gn_7_43720.3, Lsat_1_v5_gn_5_93700.1
OG0001897	AH013421-RA, AH022317-RA	Lsat_1_v5_gn_5_136680.1, Lsat_1_v5_gn_5_136680.3, Lsat_1_v5_gn_0_41681.1, Lsat_1_v5_gn_0_41681.2, Lsat_1_v5_gn_1_38561.1
OG0001898	AH014569-RA, AH013371-RA	Lsat_1_v5_gn_8_86361.3, Lsat_1_v5_gn_8_86361.1, Lsat_1_v5_gn_5_141200.1, Lsat_1_v5_gn_5_141200.3, Lsat_1_v5_gn_5_141200.2
OG0001899	AH021056-RA, AH014283-RA	Lsat_1_v5_gn_5_89401.1, Lsat_1_v5_gn_5_89401.3, Lsat_1_v5_gn_8_63840.1
OG0001900	AH023235-RA	Lsat_1_v5_gn_6_20700.1
OG0001901	AH009169-RA	Lsat_1_v5_gn_3_135480.1, Lsat_1_v5_gn_3_135480.3, Lsat_1_v5_gn_7_7601.2, Lsat_1_v5_gn_7_7601.1, Lsat_1_v5_gn_7_7601.3
OG0001902	AH020702-RA, AH020700-RA	Lsat_1_v5_gn_8_62521.1, Lsat_1_v5_gn_8_62521.3, Lsat_1_v5_gn_7_44181.4, Lsat_1_v5_gn_7_44181.1
OG0001903	AH011982-RA	Lsat_1_v5_gn_3_140341.1
OG0001904	AH000560-RA, AH001826-RA	Lsat_1_v5_gn_5_118760.1
OG0001905	AH022424-RA, AH013230-RA	Lsat_1_v5_gn_5_175081.2, Lsat_1_v5_gn_5_175081.1
OG0001906	AH013660-RA, AH022498-RA	Lsat_1_v5_gn_9_22761.1, Lsat_1_v5_gn_8_78080.1, Lsat_1_v5_gn_8_78080.2, Lsat_1_v5_gn_5_167800.2, Lsat_1_v5_gn_5_167800.1, Lsat_1_v5_gn_5_167800.3
OG0001906	AH023454-RA	Lsat_1_v5_gn_4_95361.1
OG0001907	AH022335-RA	Lsat_1_v5_gn_5_136860.1, Lsat_1_v5_gn_5_136840.3, Lsat_1_v5_gn_5_136840.1
OG0001908	AH000258-RA	Lsat_1_v5_gn_8_128540.3, Lsat_1_v5_gn_8_128540.1, Lsat_1_v5_gn_8_128540.2
OG0001908	AH008162-RA, AH022051-RA	Lsat_1_v5_gn_5_5060.1, Lsat_1_v5_gn_5_5060.3
OG0001909	AH000570-RA, AH001813-RA	Lsat_1_v5_gn_7_91241.1, Lsat_1_v5_gn_5_119120.3, Lsat_1_v5_gn_5_119120.1, Lsat_1_v5_gn_7_91261.1
OG0001910	AH021965-RA, AH012791-RA, AH015928-RA	Lsat_1_v5_gn_6_29681.3
OG0001911	AH008231-RA, AH009885-RA	Lsat_1_v5_gn_5_123361.1, Lsat_1_v5_gn_9_105221.1, Lsat_1_v5_gn_5_2400.1, Lsat_1_v5_gn_5_2400.2, Lsat_1_v5_gn_9_93200.1, Lsat_1_v5_gn_7_114601.1, Lsat_1_v5_gn_7_114601.3
OG0001912	AH021751-RA, AH021752-RA	Lsat_1_v5_gn_9_37021.1, Lsat_1_v5_gn_9_37021.3, Lsat_1_v5_gn_9_37021.4
OG0001913	AH014788-RA, AH021371-RA	Lsat_1_v5_gn_1_111600.1, Lsat_1_v5_gn_1_111600.3, Lsat_1_v5_gn_4_49221.1, Lsat_1_v5_gn_4_49221.2
OG0001914	AH021405-RA, AH021404-RA, AH014847-RA	Lsat_1_v5_gn_1_117460.3, Lsat_1_v5_gn_1_117460.1, Lsat_1_v5_gn_1_117180.1, Lsat_1_v5_gn_1_117280.1
OG0001915	AH012834-RA	Lsat_1_v5_gn_3_107981.4, Lsat_1_v5_gn_3_107981.1, Lsat_1_v5_gn_3_107981.3, Lsat_1_v5_gn_4_139440.2, Lsat_1_v5_gn_4_139440.1
OG0001917	AH008209-RA	Lsat_1_v5_gn_7_109900.1, Lsat_1_v5_gn_7_109900.3
OG0001918	AH020957-RA	Lsat_1_v5_gn_9_105201.2, Lsat_1_v5_gn_9_105201.1, Lsat_1_v5_gn_5_123321.1
OG0001919	AH023321-RA, AH013641-RA	Lsat_1_v5_gn_6_25801.2, Lsat_1_v5_gn_1_129161.1, Lsat_1_v5_gn_6_25801.3, Lsat_1_v5_gn_6_25801.1, Lsat_1_v5_gn_2_30141.3, Lsat_1_v5_gn_2_30141.1, Lsat_1_v5_gn_2_30141.2
OG0001920	AH021819-RA	Lsat_1_v5_gn_9_20520.2, Lsat_1_v5_gn_9_20520.1, Lsat_1_v5_gn_5_166181.1, Lsat_1_v5_gn_5_166181.3
OG0001921	AH000041-RA	Lsat_1_v5_gn_9_105360.1
OG0001921	AH005106-RA	Lsat_1_v5_gn_3_19241.1, Lsat_1_v5_gn_6_3540.3, Lsat_1_v5_gn_6_3540.1
OG0001922	AH007184-RA	Lsat_1_v5_gn_2_39660.1
OG0001922	AH018949-RA	Lsat_1_v5_gn_8_92281.1, Lsat_1_v5_gn_9_10100.1, Lsat_1_v5_gn_9_10100.3, Lsat_1_v5_gn_5_183180.1
OG0001923	AH013011-RA	Lsat_1_v5_gn_5_180061.3, Lsat_1_v5_gn_5_180061.1, Lsat_1_v5_gn_9_11760.2, Lsat_1_v5_gn_9_11760.3, Lsat_1_v5_gn_9_11760.1
OG0001925	AH001308-RA, AH001647-RA	Lsat_1_v5_gn_5_116101.1, Lsat_1_v5_gn_5_114061.1, Lsat_1_v5_gn_5_116021.1, Lsat_1_v5_gn_5_115981.3, Lsat_1_v5_gn_5_116141.1
OG0001926	AH008719-RA	Lsat_1_v5_gn_6_104161.1, Lsat_1_v5_gn_9_73401.2, Lsat_1_v5_gn_9_73401.1, Lsat_1_v5_gn_1_3320.3, Lsat_1_v5_gn_1_3320.1
OG0001927	AH000709-RA	Lsat_1_v5_gn_7_83520.1
OG0001928	AH019362-RA	Lsat_1_v5_gn_2_90700.1, Lsat_1_v5_gn_2_90660.1, Lsat_1_v5_gn_2_90660.2, Lsat_1_v5_gn_2_90700.2
OG0001929	AH011101-RA	Lsat_1_v5_gn_8_44400.1, Lsat_1_v5_gn_3_55821.1
OG0001929	AH009989-RA	Lsat_1_v5_gn_3_64520.3, Lsat_1_v5_gn_3_64520.1
OG0001930	AH023430-RA	Lsat_1_v5_gn_7_71321.1, Lsat_1_v5_gn_7_71321.2
OG0001931	AH002796-RA, AH017624-RA, AH014161-RA	Lsat_1_v5_gn_4_106901.1, Lsat_1_v5_gn_1_10781.1
OG0001932	AH009321-RA	Lsat_1_v5_gn_5_31221.2, Lsat_1_v5_gn_5_31221.1
OG0001933	AH002774-RA, AH017645-RA	Lsat_1_v5_gn_5_18581.1, Lsat_1_v5_gn_4_105621.1
OG0001934	AH012105-RA, AH019419-RA, AH012161-RA	Lsat_1_v5_gn_2_127720.1, Lsat_1_v5_gn_2_127720.2, Lsat_1_v5_gn_2_127720.4
OG0001935	AH002493-RA	Lsat_1_v5_gn_4_75180.1
