Orthogroup	A_coerulea.proteins	S_lycopersicum.proteins
OG0000601	Aqcoe5G207900.1.p, Aqcoe7G304400.1.p, Aqcoe7G304400.3.p, Aqcoe7G304400.2.p	Solyc04g081340.3.1, Solyc12g089290.2.1
OG0000602	Aqcoe7G040400.1.p, Aqcoe3G114100.1.p	Solyc08g080600.1.1, Solyc11g044400.1.1, Solyc08g080590.3.1, Solyc08g080585.1.1
OG0000602	Aqcoe3G114200.1.p, Aqcoe7G040800.1.p, Aqcoe7G040600.1.p, Aqcoe7G040700.1.p	Solyc12g056370.1.1, Solyc12g056390.1.1, Solyc11g044390.1.1, Solyc08g080640.2.1, Solyc08g080650.3.1, Solyc08g080620.1.1, Solyc08g080670.1.1, Solyc08g080660.1.1, Solyc08g080610.1.1
OG0000603	Aqcoe7G415500.1.p	Solyc12g095910.2.1, Solyc08g065610.3.1
OG0000604	Aqcoe1G352900.1.p	Solyc10g006740.3.1, Solyc07g063690.1.1
OG0000604	Aqcoe1G244500.1.p	Solyc10g006700.1.1, Solyc10g006660.3.1
OG0000605	Aqcoe1G030100.2.p, Aqcoe1G030100.1.p, Aqcoe1G030100.3.p	Solyc10g080260.2.1, Solyc03g063680.2.1, Solyc10g079120.2.1, Solyc01g087170.3.1
OG0000606	Aqcoe1G262400.5.p, Aqcoe1G262400.3.p, Aqcoe1G262400.15.p, Aqcoe1G262400.13.p, Aqcoe1G262400.14.p, Aqcoe1G262400.7.p, Aqcoe1G262400.8.p, Aqcoe1G262400.11.p, Aqcoe1G262400.12.p, Aqcoe1G262400.10.p, Aqcoe1G262400.9.p, Aqcoe1G262400.4.p, Aqcoe1G262400.1.p, Aqcoe1G262400.6.p, Aqcoe1G262400.2.p	Solyc07g063120.3.1, Solyc12g013840.2.1
OG0000607	Aqcoe1G126700.1.p, Aqcoe1G126700.3.p, Aqcoe1G126700.2.p	Solyc05g055470.3.1, Solyc11g008000.2.1, Solyc11g008010.2.1, Solyc05g055480.3.1
OG0000608	Aqcoe5G151400.10.p, Aqcoe5G151400.8.p, Aqcoe5G151400.3.p, Aqcoe5G151400.6.p, Aqcoe5G151400.5.p, Aqcoe5G151400.1.p, Aqcoe5G151400.9.p, Aqcoe5G151400.2.p, Aqcoe5G151400.12.p, Aqcoe5G151400.13.p, Aqcoe5G151400.14.p, Aqcoe5G151400.11.p, Aqcoe5G151400.4.p, Aqcoe5G151400.7.p	Solyc04g078840.3.1, Solyc01g108087.1.1, Solyc11g044560.2.1, Solyc10g050210.2.1
OG0000609	Aqcoe5G343300.1.p, Aqcoe5G343300.5.p, Aqcoe5G343300.4.p, Aqcoe5G343300.2.p, Aqcoe5G343300.3.p	Solyc03g097715.1.1
OG0000610	Aqcoe3G149500.2.p, Aqcoe3G149500.3.p, Aqcoe3G149500.1.p, Aqcoe3G149200.2.p, Aqcoe3G149200.1.p, Aqcoe3G280000.1.p	Solyc01g007980.3.1, Solyc01g007970.2.1, Solyc01g007990.3.1, Solyc01g007960.3.1, Solyc05g005070.2.1
OG0000610	Aqcoe3G279900.1.p	Solyc02g067780.3.1
OG0000611	Aqcoe3G064600.1.p	Solyc02g088910.3.1, Solyc02g030620.1.1, Solyc02g030630.1.1, Solyc02g030650.1.1, Solyc02g032670.1.1, Solyc02g066900.2.1, Solyc02g066890.1.1, Solyc02g032720.2.1, Solyc02g066850.1.1, Solyc02g030635.1.1, Solyc02g066870.1.1, Solyc01g058740.2.1, Solyc02g030655.1.1, Solyc02g030610.2.1, Solyc02g030605.1.1, Solyc02g066860.2.1, Solyc02g032680.2.1, Solyc02g033020.1.1, Solyc02g030640.1.1, Solyc02g066880.1.1, Solyc02g066840.1.1, Solyc02g030600.1.1, Solyc01g059740.1.1, Solyc01g059780.1.1, Solyc02g032730.1.1, Solyc05g013120.3.1, Solyc05g012210.3.1, Solyc04g005380.3.1
OG0000612	Aqcoe3G052100.1.p	Solyc11g045350.2.1, Solyc08g013900.3.1
OG0000613	Aqcoe3G378800.1.p, Aqcoe3G068200.2.p, Aqcoe3G068200.1.p	Solyc04g005255.1.1, Solyc05g010810.1.1
OG0000614	Aqcoe3G266000.1.p, Aqcoe3G266000.2.p, Aqcoe3G266000.3.p	Solyc03g093640.3.1, Solyc03g093643.1.1
OG0000620	Aqcoe6G303600.2.p, Aqcoe6G303600.1.p	Solyc01g107490.2.1
OG0000620	Aqcoe2G178300.1.p	Solyc01g058400.2.1, Solyc03g120530.3.1, Solyc06g066580.3.1
OG0000620	Aqcoe2G435000.5.p, Aqcoe2G435000.6.p, Aqcoe2G435000.4.p, Aqcoe2G435000.3.p, Aqcoe2G435000.2.p, Aqcoe2G435000.1.p, Aqcoe2G425900.1.p	Solyc08g014120.3.1
OG0000621	Aqcoe2G285900.1.p, Aqcoe3G077200.2.p, Aqcoe3G077200.1.p	Solyc09g075440.3.1
OG0000621	Aqcoe6G298300.2.p, Aqcoe6G298300.1.p	Solyc12g011330.3.1, Solyc07g056580.3.1
OG0000622	Aqcoe2G125400.1.p, Aqcoe6G299200.1.p, Aqcoe6G299200.2.p, Aqcoe2G102400.1.p, Aqcoe2G102300.1.p, Aqcoe2G102300.2.p, Aqcoe6G101300.2.p, Aqcoe6G101300.7.p, Aqcoe6G101300.1.p, Aqcoe6G101300.6.p, Aqcoe6G101300.5.p, Aqcoe6G101300.4.p, Aqcoe6G101300.3.p, Aqcoe1G451800.1.p	Solyc04g015500.3.1, Solyc10g049820.2.1
OG0000623	Aqcoe1G127500.1.p, Aqcoe2G212600.1.p	Solyc06g074800.1.1, Solyc11g066400.1.1, Solyc05g055500.1.1, Solyc09g008440.1.1
OG0000624	Aqcoe2G279500.2.p, Aqcoe2G279500.1.p	Solyc01g060415.1.1, Solyc01g100290.3.1
OG0000625	Aqcoe2G391200.1.p, Aqcoe2G391200.3.p, Aqcoe2G391200.2.p, Aqcoe2G391200.4.p, Aqcoe1G241900.1.p	Solyc09g064200.3.1, Solyc06g008090.3.1
OG0000627	Aqcoe6G008100.1.p	Solyc01g103370.3.1
OG0000627	Aqcoe3G265400.1.p	Solyc08g078070.3.1
OG0000628	Aqcoe5G148300.1.p, Aqcoe5G148400.1.p	Solyc01g107990.3.1
OG0000628	Aqcoe6G138500.4.p, Aqcoe6G138500.3.p, Aqcoe6G138500.2.p, Aqcoe6G191500.2.p, Aqcoe6G191500.1.p, Aqcoe6G138500.1.p	Solyc02g093310.3.1
OG0000629	Aqcoe6G220300.1.p, Aqcoe6G220300.2.p	Solyc04g081760.3.1, Solyc04g081770.3.1, Solyc04g081780.3.1, Solyc04g081755.1.1, Solyc12g089350.2.1, Solyc06g048670.3.1, Solyc04g081800.2.1, Solyc04g081790.3.1
OG0000630	Aqcoe6G313000.1.p	Solyc01g110060.3.1, Solyc01g110050.1.1
OG0000630	Aqcoe6G312800.1.p, Aqcoe6G312700.1.p	Solyc07g053070.2.1
OG0000631	Aqcoe5G278100.1.p, Aqcoe6G017000.1.p, Aqcoe6G017000.4.p, Aqcoe6G017000.2.p, Aqcoe6G017000.3.p	Solyc07g053160.3.1, Solyc01g104500.2.1
OG0000632	Aqcoe6G090700.1.p, Aqcoe6G091300.1.p, Aqcoe6G090800.1.p, Aqcoe4G219700.1.p, Aqcoe6G090600.1.p	Solyc05g051360.1.1, Solyc11g010740.2.1, Solyc11g010760.1.1, Solyc11g010810.1.1, Solyc11g010790.1.1, Solyc11g010800.2.1, Solyc11g010780.1.1, Solyc00g227860.1.1
OG0000632	Aqcoe5G141500.1.p, Aqcoe5G141400.1.p, Aqcoe6G090500.1.p, Aqcoe6G091100.1.p, Aqcoe6G091400.1.p, Aqcoe5G409800.1.p	Solyc02g070020.1.1
OG0000633	Aqcoe5G199400.1.p, Aqcoe5G199400.2.p, Aqcoe6G109700.2.p, Aqcoe6G109700.1.p, Aqcoe6G109700.3.p, Aqcoe6G109700.4.p	Solyc01g109380.3.1, Solyc01g016600.1.1, Solyc01g016580.1.1
OG0000634	Aqcoe5G174600.1.p, Aqcoe5G174600.2.p, Aqcoe5G174600.5.p, Aqcoe5G174600.8.p, Aqcoe5G174600.6.p, Aqcoe5G174600.7.p, Aqcoe5G174600.4.p, Aqcoe5G174600.3.p	Solyc01g109830.3.1
OG0000635	Aqcoe6G253600.1.p	Solyc11g062220.2.1
OG0000636	Aqcoe5G185500.1.p	Solyc04g076770.3.1, Solyc04g080760.3.1
OG0000636	Aqcoe6G129400.1.p, Aqcoe5G185400.1.p	Solyc03g033695.1.1, Solyc03g033710.3.1, Solyc03g033690.2.1, Solyc02g062510.3.1, Solyc12g017660.2.1, Solyc02g084800.3.1, Solyc12g017635.1.1, Solyc02g084780.3.1, Solyc02g084790.3.1
OG0000637	Aqcoe7G430100.1.p, Aqcoe7G430100.3.p, Aqcoe7G430100.4.p, Aqcoe7G430100.2.p, Aqcoe7G150300.1.p, Aqcoe4G265400.1.p, Aqcoe4G223700.1.p	Solyc03g043880.3.1, Solyc02g091970.3.1
OG0000637	Aqcoe7G150500.1.p	Solyc07g021630.3.1, Solyc12g088220.2.1
OG0000638	Aqcoe5G237300.1.p, Aqcoe4G101300.1.p	Solyc05g041340.2.1, Solyc05g041590.3.1, Solyc05g041440.3.1
OG0000640	Aqcoe5G211200.4.p, Aqcoe5G211200.5.p, Aqcoe5G211200.2.p, Aqcoe5G211200.6.p, Aqcoe5G211200.3.p, Aqcoe5G211200.1.p	Solyc03g033460.3.1
OG0000640	Aqcoe5G468700.1.p	Solyc12g088100.2.1, Solyc02g083740.2.1, Solyc08g082990.3.1
OG0000641	Aqcoe7G009300.1.p	Solyc01g102520.3.1
OG0000641	Aqcoe7G286500.1.p	Solyc09g018840.3.1
OG0000642	Aqcoe3G328100.1.p, Aqcoe3G089900.1.p	Solyc08g076380.2.1, Solyc06g066390.2.1
OG0000642	Aqcoe1G010100.1.p, Aqcoe1G010100.2.p	Solyc01g096860.2.1, Solyc06g068570.3.1
OG0000642	Aqcoe7G221500.1.p, Aqcoe7G345400.1.p	Solyc03g117720.3.1, Solyc12g010490.2.1
OG0000643	Aqcoe7G269900.1.p, Aqcoe7G270100.1.p	Solyc04g072000.3.1, Solyc06g053380.3.1
OG0000644	Aqcoe7G000100.3.p, Aqcoe7G000100.1.p, Aqcoe7G000100.2.p	Solyc10g005080.3.1
OG0000645	Aqcoe1G401700.1.p, Aqcoe1G401700.2.p	Solyc06g049070.3.1, Solyc06g082500.3.1
OG0000645	Aqcoe1G142000.1.p	Solyc11g069540.2.1
OG0000646	Aqcoe5G049200.2.p, Aqcoe5G049200.1.p	Solyc09g065570.3.1
OG0000647	Aqcoe5G435100.1.p	Solyc01g094970.3.1, Solyc05g049980.3.1
OG0000647	Aqcoe5G435000.1.p, Aqcoe5G435000.2.p	Solyc03g007950.3.1, Solyc03g007940.3.1
OG0000648	Aqcoe3G249500.4.p, Aqcoe3G249500.3.p, Aqcoe3G249500.2.p, Aqcoe3G249500.1.p	Solyc08g077230.3.1, Solyc06g061030.3.1
OG0000649	Aqcoe3G428100.1.p, Aqcoe3G428100.2.p	Solyc02g021230.3.1
OG0000649	Aqcoe3G194400.1.p	Solyc08g074495.1.1
OG0000650	Aqcoe3G369800.1.p	Solyc06g069450.3.1, Solyc03g114980.3.1, Solyc09g008960.2.1, Solyc09g008950.1.1, Solyc02g065790.3.1
OG0000659	Aqcoe2G386500.1.p	Solyc09g061620.3.1
OG0000659	Aqcoe5G006400.1.p	Solyc12g098180.2.1, Solyc09g091610.3.1
OG0000659	Aqcoe2G301100.1.p	Solyc01g066940.3.1
OG0000660	Aqcoe2G226100.1.p, Aqcoe1G104900.1.p	Solyc04g011580.3.1, Solyc06g076340.3.1, Solyc06g005670.3.1
OG0000661	Aqcoe2G286200.3.p, Aqcoe2G286200.5.p, Aqcoe2G286200.4.p, Aqcoe2G286200.2.p, Aqcoe2G286200.1.p	Solyc01g065720.3.1, Solyc01g100020.3.1
OG0000662	Aqcoe5G092000.1.p	Solyc01g066360.3.1, Solyc12g099410.2.1, Solyc01g066390.3.1, Solyc01g066420.2.1, Solyc01g066410.1.1, Solyc05g054360.3.1
OG0000663	Aqcoe7G137400.1.p, Aqcoe7G137100.2.p, Aqcoe7G137100.1.p, Aqcoe1G108700.1.p	Solyc12g044730.2.1, Solyc03g121370.3.1
OG0000664	Aqcoe3G366400.1.p, Aqcoe5G369800.1.p, Aqcoe3G061500.1.p, Aqcoe3G061500.2.p, Aqcoe3G061500.6.p, Aqcoe3G061500.5.p, Aqcoe3G061500.4.p, Aqcoe3G061500.3.p, Aqcoe6G034100.1.p	Solyc01g010290.3.1, Solyc04g005410.2.1, Solyc05g012330.3.1
OG0000665	Aqcoe6G147200.1.p, Aqcoe5G157500.1.p	Solyc12g088910.2.1, Solyc03g044510.3.1, Solyc02g090620.3.1, Solyc01g108510.3.1, Solyc10g050870.2.1
OG0000666	Aqcoe5G142000.1.p	Solyc01g107730.3.1
OG0000666	Aqcoe6G309900.2.p, Aqcoe6G309900.1.p	Solyc02g092980.3.1, Solyc02g064860.2.1, Solyc02g064910.2.1, Solyc02g064900.2.1, Solyc04g078470.3.1, Solyc12g088650.2.1
OG0000667	Aqcoe5G292700.1.p, Aqcoe5G292700.2.p, Aqcoe5G292500.1.p, Aqcoe4G240400.1.p, Aqcoe6G242100.1.p, Aqcoe6G242000.1.p	Solyc06g084620.1.1, Solyc01g068120.3.1
OG0000668	Aqcoe6G172100.2.p, Aqcoe6G172100.1.p	Solyc04g082560.3.1, Solyc02g082540.3.1, Solyc00g007120.3.1
OG0000669	Aqcoe5G182400.1.p, Aqcoe5G182400.3.p, Aqcoe6G131200.1.p	Solyc02g084720.3.1
OG0000669	Aqcoe5G182400.2.p	Solyc01g110000.3.1, Solyc04g080840.2.1
OG0000671	Aqcoe1G258000.1.p	Solyc07g062980.3.1
OG0000671	Aqcoe4G093200.1.p	Solyc07g053810.3.1
OG0000672	Aqcoe7G109700.3.p, Aqcoe7G109700.1.p, Aqcoe7G109700.2.p, Aqcoe7G109700.4.p, Aqcoe7G196100.3.p, Aqcoe7G196100.1.p, Aqcoe7G196100.2.p	Solyc10g006090.3.1, Solyc10g051140.2.1
OG0000673	Aqcoe7G080100.1.p	Solyc08g078960.3.1
OG0000674	Aqcoe7G162800.1.p, Aqcoe7G162800.2.p	Solyc12g007310.2.1, Solyc08g066850.3.1
OG0000674	Aqcoe1G230500.2.p, Aqcoe1G230500.1.p, Aqcoe1G230500.3.p	Solyc02g080630.3.1
OG0000675	Aqcoe7G382800.1.p	Solyc07g007980.3.1
OG0000677	Aqcoe1G209800.2.p, Aqcoe1G209800.1.p, Aqcoe1G209700.1.p	Solyc02g071620.3.1, Solyc02g071610.3.1, Solyc02g071685.1.1, Solyc02g071640.2.1, Solyc02g071680.1.1, Solyc06g007490.2.1, Solyc02g071700.3.1, Solyc02g071690.2.1, Solyc03g005910.3.1, Solyc02g071710.2.1, Solyc02g071720.2.1
OG0000678	Aqcoe1G050500.2.p, Aqcoe1G050500.1.p	Solyc01g005940.3.1
OG0000678	Aqcoe3G009300.1.p, Aqcoe3G009300.2.p	Solyc03g031860.3.1, Solyc02g081330.4.1
OG0000679	Aqcoe1G496300.2.p, Aqcoe1G496300.1.p	Solyc09g007530.3.1
OG0000680	Aqcoe3G074900.2.p, Aqcoe3G074900.1.p, Aqcoe3G384800.1.p, Aqcoe3G384800.2.p, Aqcoe3G384800.4.p	Solyc05g010340.3.1, Solyc03g114580.3.1
OG0000684	Aqcoe1G476500.1.p	Solyc05g054780.2.1, Solyc04g010270.1.1
OG0000684	Aqcoe1G476400.1.p	Solyc06g075630.3.1, Solyc11g073040.1.1
OG0000684	Aqcoe2G392700.1.p	Solyc09g091210.3.1, Solyc12g097095.1.1
OG0000685	Aqcoe2G296300.1.p, Aqcoe5G086900.1.p	Solyc09g075010.3.1
OG0000685	Aqcoe5G453400.1.p, Aqcoe5G453400.2.p	Solyc04g072160.3.1
OG0000686	Aqcoe1G111900.2.p, Aqcoe1G111900.1.p, Aqcoe1G111900.3.p	Solyc10g083640.2.1
OG0000686	Aqcoe2G162800.2.p, Aqcoe2G162800.3.p, Aqcoe2G162800.1.p, Aqcoe2G124200.2.p, Aqcoe2G124200.1.p	Solyc11g066830.2.1
OG0000687	Aqcoe1G050300.1.p, Aqcoe1G050300.3.p, Aqcoe1G050300.2.p, Aqcoe1G050300.4.p	Solyc01g005960.3.1
OG0000688	Aqcoe5G342400.1.p	Solyc02g094430.3.1
OG0000688	Aqcoe2G311400.1.p, Aqcoe6G259500.2.p, Aqcoe6G259500.1.p, Aqcoe6G259600.8.p, Aqcoe6G259600.7.p, Aqcoe6G259600.1.p, Aqcoe6G259600.5.p, Aqcoe6G259600.9.p, Aqcoe6G259600.6.p, Aqcoe6G259600.2.p, Aqcoe6G259600.4.p, Aqcoe6G259600.10.p, Aqcoe6G259600.3.p, Aqcoe6G259600.11.p	Solyc01g098110.3.1
OG0000689	Aqcoe1G061100.1.p, Aqcoe2G061100.1.p	Solyc11g061770.2.1, Solyc01g014180.3.1, Solyc10g079080.2.1, Solyc01g086970.3.1
OG0000690	Aqcoe3G404200.1.p, Aqcoe3G404100.1.p	Solyc02g091130.3.1, Solyc04g007550.3.1, Solyc05g008460.3.1
OG0000690	Aqcoe2G188400.1.p	Solyc07g021180.2.1, Solyc12g062530.2.1, Solyc04g039850.1.1, Solyc00g042140.1.1
OG0000691	Aqcoe3G123800.1.p	Solyc01g100830.2.1
OG0000691	Aqcoe2G257100.1.p	Solyc01g079170.3.1
OG0000692	Aqcoe2G049700.1.p	Solyc01g005575.1.1, Solyc01g005570.3.1
OG0000692	Aqcoe7G141600.2.p, Aqcoe7G141600.1.p	Solyc08g065840.3.1
OG0000693	Aqcoe6G042600.1.p	Solyc08g077380.3.1, Solyc08g077370.3.1, Solyc06g034050.1.1, Solyc02g071110.3.1, Solyc03g005810.3.1
OG0000694	Aqcoe6G186400.1.p, Aqcoe6G186100.1.p, Aqcoe6G186200.2.p, Aqcoe6G186200.1.p, Aqcoe6G194500.1.p	Solyc07g007290.1.1, Solyc01g112120.3.1, Solyc01g112140.3.1, Solyc01g112130.3.1, Solyc01g112100.3.1
OG0000695	Aqcoe6G066700.1.p, Aqcoe6G066700.2.p	Solyc04g076850.3.1
OG0000696	Aqcoe6G125300.1.p, Aqcoe6G125200.1.p	Solyc07g009260.3.1
OG0000696	Aqcoe7G272100.1.p, Aqcoe5G131900.1.p, Aqcoe5G131800.1.p, Aqcoe5G131700.1.p, Aqcoe5G131500.1.p, Aqcoe5G131400.1.p, Aqcoe5G138000.1.p, Aqcoe5G131600.1.p, Aqcoe7G271900.1.p, Aqcoe7G271800.1.p, Aqcoe7G272000.1.p, Aqcoe7G271600.1.p, Aqcoe7G272200.2.p, Aqcoe7G272200.1.p, Aqcoe7G272500.1.p, Aqcoe4G056300.1.p, Aqcoe4G056200.1.p, Aqcoe4G055900.1.p, Aqcoe4G056400.1.p, Aqcoe4G055800.1.p, Aqcoe0153s0004.1.p, Aqcoe4G055600.1.p, Aqcoe4G055300.1.p, Aqcoe1397s0001.1.p, Aqcoe4G055800.2.p, Aqcoe4G058900.1.p, Aqcoe0084s0001.1.p, Aqcoe4G055500.1.p, Aqcoe4G055700.1.p, Aqcoe0153s0003.1.p, Aqcoe4G056000.1.p, Aqcoe4G102600.1.p, Aqcoe4G102500.1.p, Aqcoe5G181500.1.p, Aqcoe4G053600.1.p, Aqcoe4G054200.1.p, Aqcoe6G125100.1.p	Solyc07g009235.1.1
OG0000697	Aqcoe5G255700.4.p, Aqcoe5G255700.3.p, Aqcoe5G255700.2.p, Aqcoe5G255700.1.p, Aqcoe6G046700.1.p	Solyc00g009110.3.1
OG0000698	Aqcoe4G245300.1.p, Aqcoe4G245300.2.p, Aqcoe4G002100.1.p	Solyc12g036160.2.1, Solyc08g006880.3.1
OG0000699	Aqcoe5G447100.2.p, Aqcoe5G447100.1.p, Aqcoe5G447100.3.p, Aqcoe7G016600.1.p	Solyc10g011690.3.1, Solyc08g081990.3.1
OG0000700	Aqcoe7G105400.1.p, Aqcoe7G439600.2.p, Aqcoe7G439600.1.p	Solyc03g123520.3.1, Solyc12g049540.2.1, Solyc07g017430.3.1
OG0000701	Aqcoe7G076500.2.p, Aqcoe7G076500.1.p, Aqcoe1G150000.1.p	Solyc05g052410.2.1, Solyc06g050520.2.1, Solyc04g050750.1.1, Solyc10g076370.2.1, Solyc10g076380.2.1
OG0000702	Aqcoe7G443300.1.p	Solyc12g011070.2.1, Solyc07g056110.3.1, Solyc03g123790.3.1, Solyc12g055750.2.1, Solyc12g011080.2.1
OG0000703	Aqcoe7G031800.4.p, Aqcoe7G031800.3.p, Aqcoe7G031800.1.p, Aqcoe7G031800.2.p, Aqcoe7G031800.5.p	Solyc01g094640.3.1
OG0000704	Aqcoe7G293700.1.p, Aqcoe7G293700.3.p, Aqcoe7G293700.2.p	Solyc07g008900.3.1
OG0000704	Aqcoe3G243300.1.p	Solyc08g077860.3.1
OG0000705	Aqcoe7G335000.1.p	Solyc08g069140.3.1, Solyc07g006510.3.1
OG0000705	Aqcoe3G114800.1.p	Solyc02g086990.3.1, Solyc03g114110.3.1
OG0000706	Aqcoe7G038100.1.p	Solyc06g035920.3.1, Solyc06g035910.1.1, Solyc06g035900.1.1, Solyc01g094370.3.1, Solyc05g048820.3.1, Solyc10g017540.3.1
OG0000707	Aqcoe7G374500.1.p	Solyc06g068330.1.1, Solyc07g007325.1.1, Solyc07g007330.1.1, Solyc12g009880.1.1, Solyc06g065900.3.1
OG0000708	Aqcoe1G180300.1.p	Solyc12g056160.2.1
OG0000708	Aqcoe5G064500.1.p	Solyc02g071070.3.1, Solyc08g008190.3.1, Solyc08g081810.3.1, Solyc08g081820.3.1, Solyc08g008200.2.1
OG0000709	Aqcoe1G238600.4.p, Aqcoe1G238600.3.p, Aqcoe1G238600.2.p, Aqcoe1G238600.1.p, Aqcoe3G105600.1.p, Aqcoe3G105600.2.p, Aqcoe3G105600.3.p, Aqcoe3G105600.4.p	Solyc01g098350.3.1
OG0000710	Aqcoe5G461900.5.p, Aqcoe5G461900.2.p, Aqcoe5G461900.3.p, Aqcoe5G461900.4.p, Aqcoe5G461900.1.p, Aqcoe1G434700.1.p	Solyc08g083060.3.1, Solyc03g082620.3.1
OG0000711	Aqcoe3G086900.1.p, Aqcoe3G330500.1.p	Solyc05g007130.3.1, Solyc02g087760.3.1
OG0000712	Aqcoe3G293300.1.p	Solyc05g006215.1.1, Solyc05g005510.3.1, Solyc02g077740.3.1, Solyc10g008190.3.1, Solyc07g053690.3.1
OG0000713	Aqcoe3G326800.1.p	Solyc02g067470.3.1
OG0000713	Aqcoe3G091500.2.p, Aqcoe3G091500.1.p, Aqcoe3G091400.1.p	Solyc03g113220.3.1, Solyc06g071050.3.1
OG0000714	Aqcoe3G352900.1.p, Aqcoe3G352900.2.p	Solyc05g012780.3.1, Solyc03g065205.1.1, Solyc03g065200.3.1, Solyc02g067040.3.1
OG0000715	Aqcoe3G364100.2.p, Aqcoe3G364100.1.p, Aqcoe3G364100.3.p	Solyc12g038490.2.1, Solyc06g069500.3.1, Solyc03g115250.3.1
OG0000722	Aqcoe2G252300.1.p, Aqcoe2G208900.1.p, Aqcoe2G209000.1.p, Aqcoe1G130000.1.p	Solyc06g011590.2.1, Solyc11g066330.1.1
OG0000722	Aqcoe1G130400.1.p	Solyc10g083940.1.1, Solyc09g008370.1.1, Solyc10g083950.1.1, Solyc11g008200.1.1, Solyc05g055540.2.1
OG0000723	Aqcoe5G436100.1.p	Solyc01g094990.2.1
OG0000723	Aqcoe2G168900.1.p	Solyc06g075560.1.1, Solyc11g072700.1.1
OG0000724	Aqcoe2G360500.1.p, Aqcoe5G040600.1.p	Solyc09g065850.3.1, Solyc06g084070.3.1, Solyc06g008580.3.1, Solyc09g083280.3.1, Solyc06g053840.3.1, Solyc03g005355.1.1, Solyc04g054280.2.1
OG0000725	Aqcoe6G217500.1.p	Solyc10g055620.2.1
OG0000725	Aqcoe2G280500.3.p, Aqcoe2G280500.1.p, Aqcoe2G280500.2.p	Solyc06g084590.3.1
OG0000725	Aqcoe5G310400.1.p, Aqcoe7G396100.1.p	Solyc11g040150.2.1
OG0000726	Aqcoe5G439200.1.p, Aqcoe2G147200.1.p, Aqcoe5G439000.2.p, Aqcoe5G439000.1.p	Solyc08g081730.3.1, Solyc06g036430.3.1, Solyc03g007740.3.1, Solyc01g095200.3.1, Solyc10g011870.3.1
OG0000727	Aqcoe1G066800.1.p, Aqcoe1G066700.1.p, Aqcoe1G066900.1.p, Aqcoe2G065800.1.p, Aqcoe2G066100.1.p, Aqcoe2G065900.1.p, Aqcoe1G067300.1.p, Aqcoe2G240100.1.p, Aqcoe7G062100.1.p, Aqcoe3G008200.1.p	Solyc12g056500.1.1, Solyc08g079780.2.1
OG0000728	Aqcoe2G354000.1.p, Aqcoe2G354000.2.p	Solyc01g097400.1.1
OG0000729	Aqcoe6G175400.1.p	Solyc04g082500.3.1
OG0000729	Aqcoe5G121300.1.p, Aqcoe5G121300.2.p	Solyc01g112220.3.1, Solyc00g007060.3.1, Solyc03g032150.3.1
OG0000730	Aqcoe6G181700.2.p, Aqcoe6G181700.4.p, Aqcoe6G181700.1.p, Aqcoe6G181700.5.p, Aqcoe6G181700.3.p, Aqcoe6G181800.1.p	Solyc04g082450.3.1, Solyc04g082460.3.1
OG0000731	Aqcoe1G236600.1.p	Solyc03g031670.3.1
OG0000731	Aqcoe6G235900.1.p, Aqcoe6G235900.2.p	Solyc04g081910.3.1
OG0000732	Aqcoe4G166700.1.p, Aqcoe4G021600.4.p, Aqcoe4G021600.1.p, Aqcoe4G021600.5.p, Aqcoe4G021600.6.p, Aqcoe4G021600.3.p, Aqcoe4G021600.2.p, Aqcoe4G067700.1.p, Aqcoe0031s0004.1.p, Aqcoe4G021400.1.p, Aqcoe4G035400.1.p, Aqcoe4G021500.1.p, Aqcoe4G115100.1.p, Aqcoe4G067900.1.p, Aqcoe4G022300.1.p, Aqcoe4G021800.2.p, Aqcoe4G021800.1.p, Aqcoe4G286100.1.p, Aqcoe4G229000.1.p, Aqcoe4G039600.1.p, Aqcoe4G039600.2.p, Aqcoe4G054900.3.p, Aqcoe4G054900.2.p, Aqcoe4G054900.1.p, Aqcoe4G040200.1.p, Aqcoe4G146800.1.p, Aqcoe4G146800.3.p, Aqcoe4G146800.2.p, Aqcoe4G147200.1.p	Solyc12g096920.1.1
OG0000733	Aqcoe3G225300.3.p, Aqcoe3G225300.2.p, Aqcoe3G225300.1.p, Aqcoe3G225600.1.p, Aqcoe3G235200.1.p, Aqcoe3G225500.1.p, Aqcoe3G235100.1.p	Solyc01g014510.1.1, Solyc01g150007.1.1, Solyc01g014640.1.1, Solyc01g014540.2.1
OG0000733	Aqcoe4G309700.1.p	Solyc01g006530.1.1, Solyc01g006520.3.1, Solyc01g006590.2.1
OG0000735	Aqcoe1G424000.2.p	Solyc10g085130.2.1
OG0000735	Aqcoe4G134500.1.p	Solyc02g078460.3.1, Solyc10g009020.3.1
OG0000736	Aqcoe7G404400.1.p, Aqcoe7G404400.3.p, Aqcoe7G404400.2.p	Solyc08g068230.3.1, Solyc07g032385.1.1
OG0000737	Aqcoe7G151600.1.p, Aqcoe7G151600.2.p, Aqcoe7G151700.1.p, Aqcoe7G421000.1.p	Solyc12g008500.2.1, Solyc08g066210.3.1, Solyc08g066300.2.1, Solyc08g066320.3.1, Solyc08g066270.2.1, Solyc08g066310.2.1
OG0000738	Aqcoe7G005100.1.p, Aqcoe7G005100.3.p, Aqcoe7G005100.2.p	Solyc08g082910.2.1, Solyc01g096120.3.1, Solyc10g009360.3.1, Solyc08g008500.3.1, Solyc03g082840.3.1
