Orthogroup	A_coerulea.proteins	A_thaliana.proteins
OG0001154	Aqcoe2G061400.1.p	AT5G18230.3, AT5G18230.2, AT5G18230.1, AT5G18230.4
OG0001155	Aqcoe5G094800.1.p, Aqcoe6G259300.2.p, Aqcoe2G302300.1.p, Aqcoe6G259300.1.p	AT4G37750.1
OG0001156	Aqcoe6G302700.1.p	AT2G15000.7, AT2G15000.6, AT2G15000.5, AT2G15000.4, AT2G15000.1, AT2G15000.2, AT2G15000.3, AT4G34265.4, AT4G34265.5, AT4G34265.3, AT4G34265.6, AT4G34265.1, AT4G34265.2
OG0001157	Aqcoe5G073000.1.p	AT5G67380.2, AT5G67380.1, AT3G50000.1
OG0001157	Aqcoe6G287100.1.p	AT2G23070.1
OG0001158	Aqcoe5G146300.1.p, Aqcoe4G002300.1.p, Aqcoe6G135500.3.p, Aqcoe6G135500.1.p, Aqcoe6G135500.2.p, Aqcoe6G135500.4.p	AT2G23360.1
OG0001159	Aqcoe6G019900.2.p, Aqcoe6G019900.3.p, Aqcoe6G019900.5.p, Aqcoe6G019900.1.p, Aqcoe6G019900.4.p, Aqcoe6G019900.6.p	AT1G10890.3, AT1G10890.2, AT1G10890.1, AT1G10890.4, AT5G13340.1
OG0001160	Aqcoe6G185800.1.p	AT1G20560.1, AT1G20560.2
OG0001160	Aqcoe6G185700.1.p	AT2G17650.1
OG0001161	Aqcoe4G299300.1.p, Aqcoe4G299400.1.p, Aqcoe4G242800.2.p, Aqcoe4G242800.1.p, Aqcoe4G242800.3.p, Aqcoe6G034800.1.p, Aqcoe4G250100.1.p	AT1G79460.1
OG0001162	Aqcoe1G353000.1.p, Aqcoe6G170000.1.p	AT5G24360.2, AT5G24360.3, AT5G24360.1, AT2G17520.1
OG0001163	Aqcoe5G139000.1.p	AT4G34215.1, AT4G34215.2
OG0001163	Aqcoe5G139100.1.p	AT3G53010.1
OG0001164	Aqcoe7G249600.3.p, Aqcoe7G249600.2.p, Aqcoe7G249600.1.p, Aqcoe6G293300.2.p, Aqcoe6G293300.1.p, Aqcoe6G293300.3.p	AT5G10630.4, AT5G10630.3, AT5G10630.2, AT5G10630.5, AT5G10630.1
OG0001165	Aqcoe6G206500.3.p, Aqcoe6G206500.4.p, Aqcoe6G206500.1.p, Aqcoe6G206500.2.p	AT1G19835.2, AT1G19835.3, AT1G19835.6, AT1G19835.1, AT1G19835.5, AT1G19835.4, AT1G47900.2, AT1G47900.1, AT1G47900.3
OG0001166	Aqcoe6G313200.1.p, Aqcoe4G283700.1.p	AT3G51970.1
OG0001166	Aqcoe1G414800.1.p, Aqcoe1G414700.1.p, Aqcoe1G414600.1.p, Aqcoe1G415000.1.p	AT5G55370.1, AT5G55380.1
OG0001167	Aqcoe1G178200.2.p, Aqcoe1G178200.1.p	AT5G45160.1
OG0001168	Aqcoe7G084600.6.p, Aqcoe7G084600.2.p, Aqcoe7G084600.4.p, Aqcoe7G084600.5.p, Aqcoe7G084600.1.p, Aqcoe7G084600.3.p, Aqcoe6G268700.3.p, Aqcoe6G268700.4.p, Aqcoe6G268700.2.p, Aqcoe6G268700.1.p	AT1G02080.2, AT1G02080.3, AT1G02080.1
OG0001169	Aqcoe5G122300.1.p	AT1G76310.1, AT1G76310.4, AT1G76310.2, AT1G76310.3, AT1G20610.1
OG0001170	Aqcoe6G118900.5.p, Aqcoe6G118900.8.p, Aqcoe6G118900.1.p, Aqcoe6G118900.6.p, Aqcoe6G118900.4.p, Aqcoe6G118900.7.p, Aqcoe6G118900.2.p, Aqcoe6G118900.3.p	AT1G75180.2, AT1G75180.4, AT1G75180.1, AT1G75180.3, AT1G19400.4, AT1G19400.1, AT1G19400.3, AT1G19400.2
OG0001171	Aqcoe6G187200.4.p, Aqcoe6G187200.5.p, Aqcoe6G187200.2.p, Aqcoe6G187200.3.p, Aqcoe6G187200.6.p, Aqcoe6G187200.1.p	AT4G38380.2, AT4G38380.1, AT4G38380.5, AT4G38380.3, AT4G38380.4
OG0001172	Aqcoe7G401000.1.p	AT1G64630.1
OG0001172	Aqcoe1G391200.1.p, Aqcoe3G383500.1.p, Aqcoe3G383500.2.p, Aqcoe1G215200.1.p, Aqcoe4G227300.1.p, Aqcoe4G273600.1.p, Aqcoe5G157300.1.p	AT5G55560.1
OG0001173	Aqcoe4G238300.1.p	AT1G61800.2, AT1G61800.1
OG0001173	Aqcoe1G360000.2.p, Aqcoe1G360000.1.p, Aqcoe1G360000.3.p, Aqcoe1G347900.1.p, Aqcoe1G347900.3.p, Aqcoe1G347900.2.p	AT5G54800.1
OG0001174	Aqcoe4G059900.2.p, Aqcoe4G059900.1.p	AT5G45940.2, AT5G45940.3, AT5G45940.1, AT1G28960.6, AT1G28960.7, AT1G28960.3, AT1G28960.1, AT1G28960.5, AT2G33980.2, AT2G33980.4, AT2G33980.3, AT2G33980.1
OG0001175	Aqcoe4G158300.4.p, Aqcoe4G158300.1.p, Aqcoe4G158300.3.p, Aqcoe4G158300.2.p, Aqcoe3G273500.2.p, Aqcoe3G273500.1.p	AT5G45140.3, AT5G45140.2, AT5G45140.1
OG0001176	Aqcoe4G294400.1.p	AT4G05520.2, AT4G05520.1
OG0001176	Aqcoe4G295100.2.p, Aqcoe4G295100.3.p, Aqcoe4G295100.1.p	AT3G20290.2, AT3G20290.1, AT3G20290.3
OG0001177	Aqcoe7G051000.2.p, Aqcoe7G051000.1.p, Aqcoe5G434700.1.p	AT1G63010.1, AT1G63010.3, AT1G63010.5, AT1G63010.6, AT1G63010.4, AT1G63010.7, AT1G63010.2, AT4G22990.1, AT4G22990.2, AT4G22990.3, AT4G11810.3, AT4G11810.2, AT4G11810.1
OG0001178	Aqcoe3G135900.1.p	AT5G07460.1
OG0001178	Aqcoe7G094800.1.p	AT4G25130.1
OG0001179	Aqcoe7G433600.1.p	AT1G54180.1, AT1G54180.2, AT3G14000.2, AT3G14000.1, AT5G20540.1
OG0001180	Aqcoe1G044400.1.p	AT1G23220.1
OG0001180	Aqcoe7G272700.3.p, Aqcoe7G272700.2.p, Aqcoe7G272700.1.p	AT5G20110.1, AT5G20110.2
OG0001182	Aqcoe7G047400.2.p, Aqcoe7G047400.1.p, Aqcoe7G047500.2.p, Aqcoe7G047500.1.p	AT5G52040.1, AT5G52040.2, AT5G52040.7, AT5G52040.5, AT5G52040.3, AT5G52040.6, AT5G52040.4
OG0001183	Aqcoe7G019800.2.p, Aqcoe7G019800.1.p, Aqcoe7G019800.3.p, Aqcoe7G019800.4.p	AT5G52660.2, AT5G52660.1, AT4G01280.1, AT4G01280.2
OG0001184	Aqcoe7G036300.1.p	AT4G11600.1, AT2G31570.1, AT1G63460.1
OG0001185	Aqcoe7G337500.1.p, Aqcoe7G337700.1.p, Aqcoe7G337800.1.p, Aqcoe7G337900.1.p, Aqcoe5G405900.1.p	AT4G30380.1, AT4G30380.2, AT2G18660.1
OG0001186	Aqcoe7G281900.1.p	AT1G15740.1
OG0001187	Aqcoe3G267700.5.p, Aqcoe3G267700.3.p, Aqcoe3G267700.2.p, Aqcoe3G267700.4.p, Aqcoe3G267700.8.p, Aqcoe3G267700.7.p, Aqcoe3G267800.1.p, Aqcoe3G267900.1.p, Aqcoe3G267700.6.p, Aqcoe3G267700.1.p	AT5G45370.4, AT5G45370.3, AT5G45370.6, AT5G45370.5, AT5G45370.2, AT5G45370.1, AT4G19185.1, AT4G19185.2, AT3G45870.8, AT3G45870.9, AT3G45870.1
OG0001188	Aqcoe7G027900.2.p, Aqcoe7G027900.3.p, Aqcoe7G027900.1.p	AT4G11400.1, AT4G11400.2, AT2G46040.3, AT2G46040.1, AT2G46040.2
OG0001189	Aqcoe7G087500.1.p	AT4G17330.3, AT4G17330.2, AT4G17330.1
OG0001190	Aqcoe1G321600.2.p, Aqcoe1G321600.1.p	AT1G03590.1, AT4G03415.3, AT4G03415.1, AT4G03415.2
OG0001191	Aqcoe1G078800.1.p, Aqcoe1G078800.3.p, Aqcoe1G078800.2.p	AT2G35940.2, AT2G35940.3, AT2G35940.1
OG0001192	Aqcoe3G430100.1.p, Aqcoe1G355800.2.p, Aqcoe1G355800.1.p	AT1G50960.1
OG0001193	Aqcoe1G111700.4.p, Aqcoe1G111700.3.p, Aqcoe1G111700.1.p, Aqcoe1G111700.2.p, Aqcoe1G402400.1.p	AT5G03740.1, AT3G44750.2, AT3G44750.1
OG0001194	Aqcoe1G336300.1.p, Aqcoe1G336100.1.p, Aqcoe1G336200.2.p, Aqcoe1G336200.1.p, Aqcoe1G336200.3.p	AT1G50630.1, AT1G50630.2, AT3G20300.1, AT4G22270.2, AT4G22270.1
OG0001195	Aqcoe1G396700.1.p, Aqcoe1G396700.3.p, Aqcoe1G396700.2.p, Aqcoe1G396700.4.p	AT2G40435.3, AT2G40435.2, AT2G40435.1, AT3G56220.2, AT3G56220.1
OG0001196	Aqcoe1G443600.1.p	AT5G18240.1, AT5G18240.4, AT5G18240.3, AT5G18240.6, AT5G18240.2, AT5G18240.5, AT3G04030.3, AT3G04030.4, AT3G04030.5, AT3G04030.2, AT3G04030.1
OG0001197	Aqcoe1G167600.1.p	AT4G14990.1, AT4G14990.2, AT3G22270.1, AT1G79090.2, AT1G79090.1, AT1G79090.3
OG0001198	Aqcoe1G029700.3.p, Aqcoe1G029700.1.p, Aqcoe1G029700.2.p, Aqcoe1G029700.4.p	AT5G13700.1
OG0001199	Aqcoe1G255700.2.p, Aqcoe1G255700.1.p	AT1G53165.3, AT1G53165.2, AT1G53165.1, AT3G15220.1
OG0001200	Aqcoe5G339300.1.p	AT3G48870.3, AT3G48870.4, AT3G48870.1, AT3G48870.2, AT5G50920.1
OG0001201	Aqcoe5G020000.2.p, Aqcoe5G020000.1.p	AT3G17900.2, AT3G17900.1
OG0001202	Aqcoe5G062500.1.p, Aqcoe5G062400.1.p	AT3G23570.1, AT3G23570.3, AT3G23570.2, AT3G23600.1, AT3G23600.2
OG0001203	Aqcoe3G094200.1.p, Aqcoe3G094200.2.p, Aqcoe3G322300.1.p	AT5G39950.1
OG0001204	Aqcoe3G270100.2.p, Aqcoe3G270100.1.p	AT4G17470.2, AT4G17470.4, AT4G17470.1, AT4G17470.3, AT4G17480.2, AT4G17480.1, AT4G17480.3, AT4G17480.4, AT4G17483.2, AT4G17483.3, AT4G17483.4, AT4G17483.5, AT4G17483.1, AT5G47350.1, AT5G47330.1, AT5G47340.1, AT3G60340.2, AT3G60340.1
OG0001205	Aqcoe3G400700.1.p	AT1G25480.1, AT1G68600.1, AT2G17470.1, AT2G17470.2, AT3G18440.1, AT1G18420.2, AT1G18420.1
OG0001216	Aqcoe2G432400.1.p	AT3G59310.3, AT3G59310.2, AT3G59310.1, AT3G59340.3, AT3G59340.4, AT3G59340.2, AT3G59340.1, AT3G59320.2, AT3G59320.1, AT3G59330.1, AT3G59330.3, AT3G59330.2
OG0001217	Aqcoe2G286000.3.p, Aqcoe2G286000.4.p, Aqcoe2G286000.1.p, Aqcoe2G286000.2.p	AT5G27930.3, AT5G27930.1, AT5G27930.2, AT3G05640.2, AT3G05640.3, AT3G05640.1
OG0001218	Aqcoe5G024300.1.p, Aqcoe2G375400.1.p	AT1G08620.1, AT1G08620.2, AT1G08620.4, AT1G08620.3
OG0001219	Aqcoe1G470800.1.p, Aqcoe2G179800.1.p	AT5G02560.1, AT5G27670.1
OG0001220	Aqcoe1G093900.1.p, Aqcoe1G094000.1.p, Aqcoe2G056800.1.p	AT2G01580.1, AT3G46890.1, AT5G05950.1
OG0001220	Aqcoe6G106600.1.p	AT3G07510.3, AT3G07510.1, AT3G07510.2
OG0001221	Aqcoe2G316600.1.p, Aqcoe2G316400.1.p, Aqcoe2G316300.1.p, Aqcoe2G316300.2.p	AT5G18750.1, AT3G06340.4, AT3G06340.2, AT3G06340.3, AT3G06340.1
OG0001222	Aqcoe2G158800.3.p, Aqcoe2G158800.1.p, Aqcoe2G158800.2.p, Aqcoe0024s0005.1.p, Aqcoe2G158900.1.p, Aqcoe0024s0004.1.p, Aqcoe0024s0003.1.p, Aqcoe2G159000.1.p	AT2G27920.1, AT2G27920.2, AT2G27920.3
OG0001223	Aqcoe2G230700.2.p, Aqcoe2G230700.4.p, Aqcoe2G230700.1.p, Aqcoe2G230700.7.p, Aqcoe2G230700.6.p, Aqcoe2G230700.3.p, Aqcoe2G230700.5.p, Aqcoe4G309200.1.p	AT5G47720.2, AT5G47720.4, AT5G47720.3, AT5G47720.1, AT5G47720.5, AT5G48230.1, AT5G48230.2
OG0001224	Aqcoe2G005000.2.p, Aqcoe2G005000.1.p, Aqcoe2G005100.1.p, Aqcoe1G007700.1.p	AT2G44290.1, AT2G44300.1
OG0001225	Aqcoe2G409400.1.p	AT3G25400.1
OG0001227	Aqcoe3G124700.1.p	AT4G18770.1
OG0001227	Aqcoe2G099900.1.p, Aqcoe1G428700.1.p	AT5G58850.1, AT5G11050.1
OG0001227	Aqcoe6G294300.1.p, Aqcoe6G297400.1.p	AT3G27785.1, AT5G40360.1
OG0001228	Aqcoe2G097000.1.p	AT3G12750.1, AT1G05300.2, AT1G05300.1, AT2G32270.1
OG0001229	Aqcoe2G421500.2.p, Aqcoe2G421500.1.p	AT5G44740.1, AT5G44740.3, AT5G44740.2
OG0001230	Aqcoe6G158400.9.p, Aqcoe6G158400.10.p, Aqcoe6G158400.4.p, Aqcoe6G158400.7.p, Aqcoe6G158400.8.p, Aqcoe6G158400.3.p, Aqcoe6G158400.6.p, Aqcoe6G158400.1.p, Aqcoe6G158400.2.p, Aqcoe6G158400.5.p	AT4G05140.1, AT4G05120.1, AT4G05120.2, AT4G05110.3, AT4G05110.1, AT4G05110.2
OG0001231	Aqcoe6G108800.5.p, Aqcoe6G108800.2.p, Aqcoe6G108800.4.p, Aqcoe6G108800.6.p, Aqcoe6G108800.3.p, Aqcoe6G108800.1.p, Aqcoe5G199700.1.p, Aqcoe5G199700.2.p	AT3G18850.1, AT3G18850.4, AT3G18850.2, AT3G18850.6, AT3G18850.5, AT3G18850.3, AT1G75020.1, AT1G75020.2
OG0001232	Aqcoe6G118800.2.p, Aqcoe6G118800.1.p, Aqcoe5G193100.3.p, Aqcoe5G193100.1.p, Aqcoe5G193100.2.p	AT1G75170.1, AT1G75170.2, AT1G75170.3, AT4G36640.2, AT4G36640.1, AT4G36640.3
OG0001233	Aqcoe6G082400.1.p, Aqcoe6G082400.2.p, Aqcoe6G082500.3.p, Aqcoe6G082500.2.p, Aqcoe6G082500.1.p	AT1G78240.1, AT1G78240.2
OG0001234	Aqcoe5G115700.2.p, Aqcoe5G115700.1.p	AT2G17430.1, AT5G65970.2, AT5G65970.1, AT2G17480.1
OG0001234	Aqcoe6G167600.1.p, Aqcoe6G167600.2.p	AT1G42560.2, AT1G42560.1, AT2G33670.1
OG0001235	Aqcoe6G097700.1.p	AT3G50440.1
OG0001236	Aqcoe6G316200.1.p, Aqcoe5G095600.6.p, Aqcoe5G095600.4.p, Aqcoe5G095600.3.p, Aqcoe5G095600.1.p, Aqcoe5G095600.2.p	AT4G33700.3, AT4G33700.1, AT2G14520.3, AT2G14520.4, AT2G14520.1, AT2G14520.2
OG0001237	Aqcoe5G169300.1.p	AT1G58200.2, AT1G58200.1, AT5G10490.1, AT5G10490.3, AT5G10490.2
OG0001238	Aqcoe5G313400.1.p, Aqcoe6G078500.1.p	AT5G10360.1, AT4G31700.1
OG0001238	Aqcoe6G078500.2.p	AT4G31700.2
OG0001239	Aqcoe4G095600.1.p, Aqcoe4G010300.1.p, Aqcoe4G095500.4.p, Aqcoe4G095500.1.p, Aqcoe4G095500.2.p, Aqcoe4G095500.3.p, Aqcoe4G095700.1.p, Aqcoe4G095800.1.p	AT3G23550.1, AT3G23560.2, AT3G23560.1
OG0001240	Aqcoe4G032700.1.p, Aqcoe4G032600.1.p, Aqcoe3G234000.1.p, Aqcoe1G395400.2.p, Aqcoe1G395400.1.p, Aqcoe1G395300.1.p	AT3G16900.1, AT3G10986.1, AT3G56180.2, AT3G56180.1, AT5G01750.2, AT5G01750.1, AT2G14560.4, AT2G14560.2, AT2G14560.1, AT2G14560.3, AT1G33840.2, AT1G33840.1, AT3G11740.1
OG0001242	Aqcoe7G410100.2.p, Aqcoe7G410100.1.p, Aqcoe7G410000.2.p, Aqcoe7G410000.1.p	AT4G36250.1
OG0001243	Aqcoe7G238600.1.p	AT4G31170.8, AT4G31170.5, AT4G31170.7, AT4G31170.4, AT4G31170.10, AT4G31170.9, AT4G31170.6, AT4G31170.2, AT4G31170.3, AT4G31170.1, AT2G24360.1
OG0001244	Aqcoe5G470200.1.p	AT4G00840.2, AT4G00840.1
OG0001244	Aqcoe7G070600.2.p, Aqcoe7G070600.1.p	AT3G60800.1
OG0001245	Aqcoe7G190600.3.p, Aqcoe7G190600.1.p, Aqcoe7G190600.2.p	AT3G24440.1, AT3G24440.2
OG0001246	Aqcoe7G125900.1.p	AT2G19480.2, AT2G19480.3, AT2G19480.1, AT4G26110.2, AT4G26110.1, AT5G56950.1
OG0001248	Aqcoe1G433300.1.p, Aqcoe3G281100.1.p	AT5G22220.2, AT5G22220.3
OG0001249	Aqcoe1G064200.1.p	AT3G03770.2, AT3G03770.3, AT3G03770.1
OG0001250	Aqcoe1G033400.1.p	AT3G10290.1, AT5G04160.1
OG0001250	Aqcoe1G088000.1.p	AT3G11320.1, AT5G05820.1
OG0001251	Aqcoe1G285300.2.p, Aqcoe1G285300.1.p	AT2G31130.1, AT2G31130.4, AT2G31130.2, AT2G31130.6, AT2G31130.5, AT2G31130.7, AT2G31130.3
OG0001252	Aqcoe5G393200.2.p	AT4G24740.9, AT4G24740.6, AT4G24740.2, AT4G24740.3, AT4G24740.1, AT4G24740.7
OG0001252	Aqcoe1G475000.2.p, Aqcoe1G475000.1.p, Aqcoe1G475000.3.p	AT3G53570.4, AT3G53570.2, AT3G53570.1, AT3G53570.3, AT3G53570.5
OG0001253	Aqcoe1G025100.2.p, Aqcoe1G025100.1.p, Aqcoe1G024900.1.p	AT3G21090.1, AT1G51500.1
OG0001254	Aqcoe5G209100.4.p, Aqcoe5G209100.3.p, Aqcoe5G209100.1.p, Aqcoe5G209100.2.p	AT1G75730.1, AT1G75730.2
OG0001255	Aqcoe5G197500.1.p, Aqcoe5G197500.2.p	AT4G36730.1, AT4G36730.2
OG0001256	Aqcoe3G424700.1.p	AT5G17330.1
OG0001256	Aqcoe3G425100.1.p, Aqcoe3G425000.1.p	AT3G17760.2, AT3G17760.1
OG0001257	Aqcoe3G007800.5.p, Aqcoe3G007800.1.p, Aqcoe3G007800.3.p, Aqcoe3G007800.2.p, Aqcoe3G007800.4.p	AT1G14830.1
OG0001257	Aqcoe3G007800.6.p, Aqcoe3G253700.1.p	AT2G44590.3, AT3G60190.1
OG0001258	Aqcoe3G348500.1.p, Aqcoe3G348400.1.p, Aqcoe3G348400.2.p, Aqcoe3G348300.1.p	AT2G03240.1, AT1G14040.1, AT2G03260.1, AT2G03260.2, AT3G29060.1, AT1G69480.2, AT1G69480.1, AT4G25350.1, AT1G26730.1, AT1G26730.2, AT1G35350.1, AT1G35350.2
OG0001259	Aqcoe3G224900.1.p	AT1G32700.1, AT1G32700.2, AT4G17900.2, AT4G17900.1
OG0001260	Aqcoe3G382100.2.p, Aqcoe3G382100.1.p, Aqcoe3G070300.1.p, Aqcoe3G070300.2.p, Aqcoe3G070300.3.p	AT1G68920.4, AT1G68920.2, AT1G68920.1, AT1G68920.3
OG0001261	Aqcoe3G370100.1.p, Aqcoe3G370100.3.p, Aqcoe3G370100.2.p, Aqcoe3G370100.5.p, Aqcoe3G370100.4.p	AT5G08070.2, AT5G08070.1, AT5G60970.1, AT3G02150.2, AT3G02150.1
OG0001262	Aqcoe3G374100.1.p	AT5G15800.1, AT5G15800.2, AT3G02310.1, AT3G02310.2
OG0001263	Aqcoe3G045400.1.p, Aqcoe3G045400.2.p	AT5G42220.1, AT5G42220.2
OG0001271	Aqcoe2G415100.1.p	AT3G07340.2, AT3G07340.1, AT5G48560.2, AT5G48560.1
OG0001273	Aqcoe5G045200.1.p, Aqcoe5G045200.2.p, Aqcoe2G355600.1.p	AT1G52740.1, AT2G38810.2, AT2G38810.1, AT2G38810.3, AT2G38810.4, AT3G54560.2, AT3G54560.1
OG0001274	Aqcoe2G210800.1.p	ATCG00180.1
OG0001275	Aqcoe2G391300.1.p, Aqcoe5G004900.1.p	AT2G33210.1, AT2G33210.2, AT3G23990.1
OG0001275	Aqcoe7G422300.1.p	AT3G13860.1
OG0001276	Aqcoe2G282900.1.p	AT3G06760.1, AT3G06760.2, AT5G49230.1, AT5G49230.2, AT3G05700.1, AT3G05700.2, AT5G26990.1
OG0001277	Aqcoe2G109500.9.p, Aqcoe3G143500.1.p, Aqcoe3G143500.2.p, Aqcoe2G109500.2.p, Aqcoe2G109500.6.p, Aqcoe2G109500.7.p, Aqcoe2G109500.1.p, Aqcoe2G109500.12.p, Aqcoe2G109500.8.p, Aqcoe2G109500.11.p, Aqcoe2G109500.3.p, Aqcoe2G109500.5.p, Aqcoe2G109500.4.p, Aqcoe2G109500.10.p, Aqcoe5G253400.2.p, Aqcoe5G253400.1.p	AT2G32320.1, AT2G32320.2, AT2G32320.3, AT2G31580.5, AT2G31580.3, AT2G31580.1, AT2G31580.2, AT2G31580.4
OG0001278	Aqcoe2G150900.1.p, Aqcoe2G150900.4.p, Aqcoe2G150900.2.p, Aqcoe2G150900.3.p, Aqcoe2G150900.5.p	AT5G02310.1, AT5G02310.3, AT5G02310.2
OG0001279	Aqcoe1G454400.2.p, Aqcoe1G454400.1.p, Aqcoe2G129700.1.p	AT2G27740.2, AT2G27740.1, AT3G52920.2, AT3G52920.1, AT3G09980.1
OG0001280	Aqcoe5G381800.1.p	AT1G67730.1
OG0001280	Aqcoe5G381700.1.p	AT1G24470.1
OG0001281	Aqcoe2G283500.2.p, Aqcoe2G283500.1.p	AT2G47500.1, AT2G47500.2, AT5G27000.1
OG0001282	Aqcoe2G040900.1.p, Aqcoe1G042300.1.p, Aqcoe1G042300.2.p	AT2G41210.1, AT3G56960.2, AT3G56960.1, AT3G07960.2, AT3G07960.4, AT3G07960.3, AT3G07960.1
OG0001283	Aqcoe2G277000.2.p, Aqcoe2G277000.1.p, Aqcoe2G277000.3.p	AT4G16150.1, AT3G16940.2, AT3G16940.3, AT3G16940.1
OG0001284	Aqcoe0043s0002.1.p, Aqcoe4G213100.1.p, Aqcoe4G154800.1.p, Aqcoe4G180500.1.p, Aqcoe4G212900.1.p, Aqcoe4G154900.1.p, Aqcoe4G180400.1.p, Aqcoe4G213000.1.p, Aqcoe0043s0001.1.p	AT1G11925.1
OG0001285	Aqcoe6G083800.1.p, Aqcoe6G083800.2.p	AT1G22280.3, AT1G22280.1, AT1G34750.4, AT1G34750.2, AT1G34750.1, AT1G34750.3
OG0001286	Aqcoe5G161200.1.p, Aqcoe6G154600.1.p	AT5G65450.2, AT5G65450.1, AT4G24560.1
OG0001287	Aqcoe6G323900.1.p	AT2G17370.1
OG0001287	Aqcoe5G113600.1.p	AT1G76490.1
OG0001288	Aqcoe6G101400.3.p, Aqcoe6G101400.2.p, Aqcoe6G101400.1.p	AT5G66980.1
OG0001289	Aqcoe6G127600.2.p, Aqcoe6G127600.1.p, Aqcoe3G219900.1.p, Aqcoe3G219900.2.p, Aqcoe5G187100.1.p	AT1G10210.3, AT1G10210.1, AT1G10210.2, AT1G59580.1, AT1G59580.2, AT4G36450.1, AT2G18170.1
OG0001290	Aqcoe6G176000.1.p	AT1G42470.1, AT4G38350.1, AT4G38350.2
OG0001291	Aqcoe6G083900.1.p, Aqcoe1G277100.2.p, Aqcoe1G277100.1.p	AT4G21790.1
OG0001292	Aqcoe4G002500.2.p, Aqcoe4G002500.1.p, Aqcoe3G015400.1.p, Aqcoe3G015800.1.p	AT1G56070.2, AT1G56070.1, AT1G56070.3, AT3G12915.2, AT3G12915.1
OG0001293	Aqcoe4G050900.1.p, Aqcoe4G050900.3.p, Aqcoe4G050900.2.p	AT3G14980.4, AT3G14980.3, AT3G14980.1, AT3G14980.2, AT3G14980.6, AT3G14980.5
OG0001294	Aqcoe5G401700.2.p, Aqcoe5G401700.1.p	AT5G63120.3, AT5G63120.4, AT5G63120.5, AT5G63120.1, AT5G63120.2
OG0001294	Aqcoe4G116700.1.p, Aqcoe7G128600.1.p	AT1G55150.2, AT1G55150.1
OG0001295	Aqcoe1G266700.1.p, Aqcoe4G103500.1.p	AT4G03550.1, AT4G04970.1
OG0001296	Aqcoe7G143200.1.p, Aqcoe7G398100.1.p	AT5G53250.1, AT5G24105.1
OG0001297	Aqcoe7G115400.2.p, Aqcoe7G115400.1.p	AT1G17460.1, AT1G17460.2, AT1G17460.3, AT1G72650.1, AT1G72650.2
OG0001298	Aqcoe7G078900.1.p	AT5G51460.1, AT5G51460.5, AT5G51460.3, AT5G51460.2, AT5G51460.4, AT4G12430.1, AT4G22590.1
OG0001299	Aqcoe7G426200.1.p, Aqcoe7G124000.1.p	AT1G72710.1, AT2G19470.1, AT5G57015.1, AT4G26100.1
OG0001300	Aqcoe7G124300.2.p, Aqcoe7G124300.1.p, Aqcoe7G425800.1.p, Aqcoe7G425800.2.p	AT1G72700.3, AT1G72700.1, AT1G72700.2, AT1G17500.2, AT1G17500.1, AT1G54280.3, AT1G54280.2, AT1G54280.1, AT3G13900.1, AT3G13900.3, AT3G13900.2
OG0001301	Aqcoe7G127500.1.p, Aqcoe7G127500.2.p	AT5G56890.1
OG0001302	Aqcoe7G320300.1.p, Aqcoe7G320300.2.p	AT1G61580.1, AT1G43170.8, AT1G43170.2, AT1G43170.7, AT1G43170.1, AT1G43170.9, AT1G43170.3, AT1G43170.6, AT1G43170.5, AT1G43170.4
OG0001303	Aqcoe7G307600.1.p	AT5G10740.1, AT5G10740.2, AT5G24940.1, AT4G31750.1, AT4G31750.3, AT4G31750.2
OG0001303	Aqcoe5G265900.1.p, Aqcoe5G265900.2.p	AT1G43900.1
OG0001304	Aqcoe7G240500.1.p	AT4G31250.1, AT3G20190.2, AT3G20190.1, AT1G50610.1, AT5G35390.1, AT2G07040.1
OG0001305	Aqcoe7G010000.1.p, Aqcoe7G010000.2.p	AT4G10955.1, AT4G10955.2, AT2G05260.2, AT2G05260.1, AT5G24230.2, AT5G24230.1, AT5G24230.3
OG0001306	Aqcoe7G417400.2.p, Aqcoe7G417400.1.p, Aqcoe7G417400.3.p	AT1G14520.1, AT1G14520.4, AT1G14520.3, AT1G14520.2
OG0001307	Aqcoe5G381900.1.p, Aqcoe1G418000.1.p	AT1G07780.7, AT1G07780.12, AT1G07780.10, AT1G07780.9, AT5G05590.1, AT1G07780.13, AT1G07780.1, AT1G07780.2, AT1G29410.6, AT1G29410.1, AT1G29410.2, AT1G29410.4, AT1G29410.5, AT1G29410.3, AT1G29410.7, AT1G07780.4, AT5G05590.3, AT1G07780.11, AT5G05590.2, AT5G05590.4, AT1G07780.6, AT1G07780.8, AT1G07780.5, AT1G07780.3
OG0001308	Aqcoe5G037800.1.p, Aqcoe1G053300.1.p, Aqcoe3G127900.1.p	AT2G30620.1, AT2G30620.2
OG0001309	Aqcoe1G425700.4.p, Aqcoe1G425700.3.p, Aqcoe1G425700.2.p, Aqcoe1G425700.1.p	AT5G01270.2, AT5G01270.1
OG0001310	Aqcoe1G341600.1.p, Aqcoe1G341600.2.p	AT3G07880.1, AT1G62450.1
OG0001311	Aqcoe5G010700.1.p	AT1G64780.1
OG0001311	Aqcoe1G424300.1.p	AT3G24300.1, AT3G24290.1, AT4G13510.1, AT4G28700.1
OG0001312	Aqcoe1G239400.1.p	AT1G06230.4, AT1G06230.1, AT1G06230.3, AT1G06230.2
