Orthogroup	A_coerulea.proteins	L_sativa.proteins
OG0000743	Aqcoe5G234000.1.p	Lsat_1_v5_gn_7_80360.1, Lsat_1_v5_gn_7_80360.3, Lsat_1_v5_gn_5_105980.1, Lsat_1_v5_gn_5_105980.2
OG0000743	Aqcoe7G267100.1.p	Lsat_1_v5_gn_5_95980.1
OG0000744	Aqcoe5G177500.4.p, Aqcoe5G177500.3.p, Aqcoe5G177500.1.p, Aqcoe5G177500.2.p, Aqcoe1G012200.1.p	Lsat_1_v5_gn_5_169381.2, Lsat_1_v5_gn_5_169381.3, Lsat_1_v5_gn_5_169381.1, Lsat_1_v5_gn_8_128041.3, Lsat_1_v5_gn_8_128041.1, Lsat_1_v5_gn_8_128041.2, Lsat_1_v5_gn_4_67401.1, Lsat_1_v5_gn_4_67401.2
OG0000745	Aqcoe1G081200.1.p	Lsat_1_v5_gn_8_4341.1, Lsat_1_v5_gn_8_4341.3
OG0000746	Aqcoe1G111100.3.p, Aqcoe1G111100.2.p, Aqcoe1G111100.4.p, Aqcoe1G111100.5.p, Aqcoe1G111100.1.p	Lsat_1_v5_gn_2_102681.1, Lsat_1_v5_gn_0_17001.3, Lsat_1_v5_gn_0_17001.1, Lsat_1_v5_gn_5_106621.1, Lsat_1_v5_gn_2_21401.3, Lsat_1_v5_gn_2_21401.2, Lsat_1_v5_gn_2_21401.1, Lsat_1_v5_gn_6_27040.1
OG0000747	Aqcoe5G450200.3.p, Aqcoe5G450200.2.p, Aqcoe5G450200.1.p, Aqcoe5G450100.1.p	Lsat_1_v5_gn_3_11980.1, Lsat_1_v5_gn_3_49981.2, Lsat_1_v5_gn_3_49981.1, Lsat_1_v5_gn_2_15841.2, Lsat_1_v5_gn_2_15841.1, Lsat_1_v5_gn_3_11741.1, Lsat_1_v5_gn_3_11741.3, Lsat_1_v5_gn_3_11920.1, Lsat_1_v5_gn_3_11920.3, Lsat_1_v5_gn_3_12921.3, Lsat_1_v5_gn_3_12921.1, Lsat_1_v5_gn_6_83320.3, Lsat_1_v5_gn_6_83320.1, Lsat_1_v5_gn_6_83340.1
OG0000748	Aqcoe3G182300.1.p	Lsat_1_v5_gn_4_82400.1
OG0000748	Aqcoe5G348100.1.p, Aqcoe5G348800.1.p, Aqcoe5G348500.1.p, Aqcoe5G348300.1.p, Aqcoe5G348300.2.p, Aqcoe5G348300.3.p, Aqcoe5G363400.2.p, Aqcoe5G363400.1.p, Aqcoe5G363400.3.p, Aqcoe5G363400.4.p, Aqcoe5G348700.1.p, Aqcoe5G348400.1.p, Aqcoe5G348400.2.p, Aqcoe5G349000.1.p, Aqcoe5G348900.1.p, Aqcoe5G348000.1.p	Lsat_1_v5_gn_5_11960.1, Lsat_1_v5_gn_4_82500.1
OG0000749	Aqcoe3G402000.1.p	Lsat_1_v5_gn_4_16101.1, Lsat_1_v5_gn_4_16101.2
OG0000749	Aqcoe3G029700.2.p, Aqcoe3G029700.1.p	Lsat_1_v5_gn_8_145141.3, Lsat_1_v5_gn_8_145141.1, Lsat_1_v5_gn_8_40201.1, Lsat_1_v5_gn_3_57701.3, Lsat_1_v5_gn_3_57701.1, Lsat_1_v5_gn_4_16061.1, Lsat_1_v5_gn_4_16061.3
OG0000753	Aqcoe1G411000.1.p, Aqcoe2G028400.1.p	Lsat_1_v5_gn_2_52200.3, Lsat_1_v5_gn_2_52200.1, Lsat_1_v5_gn_2_52260.1, Lsat_1_v5_gn_2_52260.3, Lsat_1_v5_gn_2_52280.1, Lsat_1_v5_gn_2_52320.3, Lsat_1_v5_gn_2_52320.1, Lsat_1_v5_gn_9_34941.1
OG0000753	Aqcoe1G283000.1.p	Lsat_1_v5_gn_4_50141.2, Lsat_1_v5_gn_4_50121.3, Lsat_1_v5_gn_4_50121.1, Lsat_1_v5_gn_4_50141.1
OG0000754	Aqcoe6G259700.1.p	Lsat_1_v5_gn_0_800.1
OG0000754	Aqcoe5G019400.1.p	Lsat_1_v5_gn_9_10141.1, Lsat_1_v5_gn_9_10141.3
OG0000755	Aqcoe6G290600.1.p, Aqcoe4G260600.1.p	Lsat_1_v5_gn_7_20701.1, Lsat_1_v5_gn_4_56760.3, Lsat_1_v5_gn_4_56760.1, Lsat_1_v5_gn_6_7321.1
OG0000756	Aqcoe2G371900.1.p	Lsat_1_v5_gn_1_15641.3, Lsat_1_v5_gn_9_8601.1, Lsat_1_v5_gn_1_15641.1, Lsat_1_v5_gn_5_182420.1
OG0000756	Aqcoe5G027900.1.p	Lsat_1_v5_gn_3_121961.1, Lsat_1_v5_gn_3_121961.2, Lsat_1_v5_gn_2_70481.1, Lsat_1_v5_gn_0_300.1, Lsat_1_v5_gn_0_300.3, Lsat_1_v5_gn_2_107780.1, Lsat_1_v5_gn_2_107840.1, Lsat_1_v5_gn_2_107800.1
OG0000757	Aqcoe1G336000.1.p, Aqcoe7G129500.1.p, Aqcoe6G255600.1.p	Lsat_1_v5_gn_9_14760.1, Lsat_1_v5_gn_9_18180.2, Lsat_1_v5_gn_9_18180.3, Lsat_1_v5_gn_9_18180.1, Lsat_1_v5_gn_5_173681.2, Lsat_1_v5_gn_5_173681.1
OG0000757	Aqcoe2G082900.1.p, Aqcoe1G149600.1.p	Lsat_1_v5_gn_8_13161.1, Lsat_1_v5_gn_2_125601.2, Lsat_1_v5_gn_2_125601.1, Lsat_1_v5_gn_2_125601.3, Lsat_1_v5_gn_9_60720.2, Lsat_1_v5_gn_9_60720.1, Lsat_1_v5_gn_9_60720.3
OG0000759	Aqcoe2G038200.1.p	Lsat_1_v5_gn_2_33921.1, Lsat_1_v5_gn_3_110861.3, Lsat_1_v5_gn_3_110861.1, Lsat_1_v5_gn_3_110861.2
OG0000760	Aqcoe1G495700.1.p	Lsat_1_v5_gn_1_65921.1
OG0000760	Aqcoe2G136100.1.p, Aqcoe2G136100.2.p	Lsat_1_v5_gn_9_68620.1, Lsat_1_v5_gn_9_68540.1
OG0000761	Aqcoe1G093500.1.p	Lsat_1_v5_gn_9_30421.2, Lsat_1_v5_gn_9_30421.1, Lsat_1_v5_gn_8_84020.1
OG0000761	Aqcoe3G423200.1.p, Aqcoe3G423100.1.p	Lsat_1_v5_gn_3_67180.2, Lsat_1_v5_gn_3_67180.1
OG0000761	Aqcoe2G272700.1.p	Lsat_1_v5_gn_6_116261.1
OG0000762	Aqcoe2G252500.2.p, Aqcoe2G252500.3.p, Aqcoe2G252500.1.p, Aqcoe5G293500.3.p, Aqcoe5G293500.2.p, Aqcoe5G293500.1.p	Lsat_1_v5_gn_1_39880.8, Lsat_1_v5_gn_1_39880.7
OG0000763	Aqcoe1G003700.2.p, Aqcoe1G003700.1.p, Aqcoe2G008600.1.p, Aqcoe2G008600.2.p	Lsat_1_v5_gn_6_50740.1, Lsat_1_v5_gn_1_110800.2, Lsat_1_v5_gn_1_110800.1, Lsat_1_v5_gn_5_146141.1, Lsat_1_v5_gn_5_146141.2
OG0000764	Aqcoe2G352200.2.p, Aqcoe2G352200.1.p	Lsat_1_v5_gn_5_184701.1, Lsat_1_v5_gn_5_184701.3, Lsat_1_v5_gn_8_57160.3, Lsat_1_v5_gn_8_57160.1, Lsat_1_v5_gn_7_64420.1
OG0000765	Aqcoe5G025100.1.p	Lsat_1_v5_gn_3_118321.1, Lsat_1_v5_gn_3_118321.3, Lsat_1_v5_gn_5_64821.2, Lsat_1_v5_gn_5_64821.1
OG0000765	Aqcoe5G244000.1.p	Lsat_1_v5_gn_6_98720.2, Lsat_1_v5_gn_6_98720.1, Lsat_1_v5_gn_1_8600.1
OG0000766	Aqcoe6G234700.1.p, Aqcoe4G233600.1.p, Aqcoe7G310900.1.p, Aqcoe7G311100.1.p	Lsat_1_v5_gn_4_12520.1, Lsat_1_v5_gn_3_53361.1, Lsat_1_v5_gn_8_46221.2, Lsat_1_v5_gn_8_46221.1
OG0000766	Aqcoe3G408500.1.p	Lsat_1_v5_gn_3_53980.1, Lsat_1_v5_gn_8_41821.1, Lsat_1_v5_gn_4_156941.1
OG0000767	Aqcoe6G063400.1.p	Lsat_1_v5_gn_4_142020.1, Lsat_1_v5_gn_4_142020.2, Lsat_1_v5_gn_6_103900.1, Lsat_1_v5_gn_6_103900.3, Lsat_1_v5_gn_6_103900.2
OG0000768	Aqcoe6G090000.1.p, Aqcoe5G165700.1.p	Lsat_1_v5_gn_9_79080.1, Lsat_1_v5_gn_9_79080.3, Lsat_1_v5_gn_7_83621.2, Lsat_1_v5_gn_7_83621.1, Lsat_1_v5_gn_5_110200.1, Lsat_1_v5_gn_5_110200.3
OG0000768	Aqcoe7G263600.2.p, Aqcoe7G263600.1.p	Lsat_1_v5_gn_4_88520.1, Lsat_1_v5_gn_4_88520.3
OG0000769	Aqcoe6G134200.1.p, Aqcoe5G145800.1.p	Lsat_1_v5_gn_4_126881.1, Lsat_1_v5_gn_1_21861.1, Lsat_1_v5_gn_1_21861.2
OG0000769	Aqcoe6G047400.1.p, Aqcoe5G256700.1.p	Lsat_1_v5_gn_5_115801.1, Lsat_1_v5_gn_5_115801.2, Lsat_1_v5_gn_0_4140.3, Lsat_1_v5_gn_0_4140.1
OG0000770	Aqcoe5G159300.3.p, Aqcoe5G159300.1.p, Aqcoe5G159300.2.p, Aqcoe6G150300.1.p	Lsat_1_v5_gn_1_20540.1, Lsat_1_v5_gn_4_167461.2
OG0000771	Aqcoe6G124800.1.p	Lsat_1_v5_gn_9_108380.2, Lsat_1_v5_gn_9_108380.1, Lsat_1_v5_gn_9_108380.3
OG0000771	Aqcoe5G289800.1.p	Lsat_1_v5_gn_5_27340.1
OG0000772	Aqcoe6G242600.7.p, Aqcoe6G242600.4.p, Aqcoe6G242600.1.p, Aqcoe6G242600.8.p, Aqcoe6G242600.9.p, Aqcoe6G242600.2.p, Aqcoe6G242600.6.p, Aqcoe6G242600.3.p, Aqcoe6G242600.5.p	Lsat_1_v5_gn_9_27060.1, Lsat_1_v5_gn_9_27060.3, Lsat_1_v5_gn_9_27060.2
OG0000773	Aqcoe4G276700.1.p	Lsat_1_v5_gn_1_114741.1, Lsat_1_v5_gn_1_114540.3, Lsat_1_v5_gn_1_114540.1, Lsat_1_v5_gn_1_114580.1, Lsat_1_v5_gn_1_114580.3, Lsat_1_v5_gn_1_114780.1
OG0000773	Aqcoe4G277300.1.p, Aqcoe4G277100.1.p	Lsat_1_v5_gn_4_140981.1
OG0000775	Aqcoe4G204000.1.p	Lsat_1_v5_gn_7_16501.1, Lsat_1_v5_gn_7_16521.1, Lsat_1_v5_gn_7_16541.1
OG0000776	Aqcoe4G163700.1.p, Aqcoe4G163700.2.p	Lsat_1_v5_gn_1_125001.3, Lsat_1_v5_gn_1_125001.1, Lsat_1_v5_gn_7_19881.1, Lsat_1_v5_gn_4_56060.1
OG0000777	Aqcoe7G140500.1.p, Aqcoe7G140500.2.p, Aqcoe5G391100.1.p	Lsat_1_v5_gn_3_30141.1, Lsat_1_v5_gn_8_152900.1
OG0000778	Aqcoe7G428300.1.p	Lsat_1_v5_gn_5_135341.2, Lsat_1_v5_gn_5_135341.1, Lsat_1_v5_gn_4_95221.1
OG0000778	Aqcoe7G357400.1.p	Lsat_1_v5_gn_8_63381.2, Lsat_1_v5_gn_8_63381.1, Lsat_1_v5_gn_5_91201.1
OG0000779	Aqcoe7G181700.1.p	Lsat_1_v5_gn_4_103641.1, Lsat_1_v5_gn_5_101501.1
OG0000779	Aqcoe7G181400.1.p	Lsat_1_v5_gn_8_95580.1
OG0000779	Aqcoe3G143300.1.p	Lsat_1_v5_gn_4_4161.1
OG0000779	Aqcoe1G373100.1.p	Lsat_1_v5_gn_5_122340.1
OG0000780	Aqcoe7G131600.1.p	Lsat_1_v5_gn_7_37560.1, Lsat_1_v5_gn_7_37560.3, Lsat_1_v5_gn_7_37560.2
OG0000780	Aqcoe7G060700.3.p, Aqcoe7G060700.2.p, Aqcoe7G060700.1.p	Lsat_1_v5_gn_8_8000.1
OG0000781	Aqcoe7G017200.1.p, Aqcoe7G017200.2.p	Lsat_1_v5_gn_2_134241.3, Lsat_1_v5_gn_2_134241.1, Lsat_1_v5_gn_5_177020.1, Lsat_1_v5_gn_0_45920.1, Lsat_1_v5_gn_5_177020.3, Lsat_1_v5_gn_3_139060.1, Lsat_1_v5_gn_3_139060.3
OG0000782	Aqcoe7G241600.2.p, Aqcoe7G241600.3.p, Aqcoe7G241600.1.p, Aqcoe7G241600.4.p, Aqcoe7G241600.5.p, Aqcoe7G241600.6.p	Lsat_1_v5_gn_3_31000.2, Lsat_1_v5_gn_3_31000.1, Lsat_1_v5_gn_4_421.1, Lsat_1_v5_gn_4_421.3
OG0000783	Aqcoe1G016600.1.p	Lsat_1_v5_gn_3_4101.3, Lsat_1_v5_gn_3_4101.4, Lsat_1_v5_gn_3_4101.1, Lsat_1_v5_gn_1_56441.2, Lsat_1_v5_gn_7_33641.3, Lsat_1_v5_gn_1_56441.1, Lsat_1_v5_gn_8_151781.1, Lsat_1_v5_gn_7_33641.1, Lsat_1_v5_gn_4_42441.1
OG0000783	Aqcoe1G016400.1.p	Lsat_1_v5_gn_7_94500.1, Lsat_1_v5_gn_5_114921.3, Lsat_1_v5_gn_5_114921.1
OG0000784	Aqcoe1G372000.2.p, Aqcoe1G372000.1.p, Aqcoe1G371400.1.p, Aqcoe1G370100.1.p, Aqcoe1G313700.1.p, Aqcoe1G371800.1.p	Lsat_1_v5_gn_4_170740.1, Lsat_1_v5_gn_4_58141.3, Lsat_1_v5_gn_4_58141.1, Lsat_1_v5_gn_4_58221.1, Lsat_1_v5_gn_4_58221.2, Lsat_1_v5_gn_4_58221.3, Lsat_1_v5_gn_4_58141.2
OG0000785	Aqcoe1G096900.3.p, Aqcoe1G096900.1.p, Aqcoe1G096900.2.p	Lsat_1_v5_gn_9_31960.2, Lsat_1_v5_gn_9_31960.3, Lsat_1_v5_gn_9_31960.1, Lsat_1_v5_gn_8_14661.2, Lsat_1_v5_gn_8_14661.1, Lsat_1_v5_gn_9_63441.3, Lsat_1_v5_gn_9_63441.2, Lsat_1_v5_gn_9_63441.1
OG0000786	Aqcoe5G373400.5.p, Aqcoe5G373300.1.p, Aqcoe5G373200.1.p, Aqcoe5G373500.1.p, Aqcoe3G187800.1.p	Lsat_1_v5_gn_0_8541.1, Lsat_1_v5_gn_0_8541.3, Lsat_1_v5_gn_0_8541.5, Lsat_1_v5_gn_2_93720.2, Lsat_1_v5_gn_2_93720.4, Lsat_1_v5_gn_2_93720.1, Lsat_1_v5_gn_4_185601.3, Lsat_1_v5_gn_4_185601.1
OG0000787	Aqcoe5G443900.2.p, Aqcoe5G443900.1.p	Lsat_1_v5_gn_2_134361.2, Lsat_1_v5_gn_2_134361.1, Lsat_1_v5_gn_6_86121.2, Lsat_1_v5_gn_6_86121.1
OG0000788	Aqcoe3G191200.1.p	Lsat_1_v5_gn_2_94020.1, Lsat_1_v5_gn_4_185381.2, Lsat_1_v5_gn_4_185381.1
OG0000788	Aqcoe5G365400.1.p	Lsat_1_v5_gn_4_76660.1, Lsat_1_v5_gn_4_76660.2
OG0000789	Aqcoe3G337800.2.p, Aqcoe3G337800.1.p	Lsat_1_v5_gn_3_100660.1, Lsat_1_v5_gn_3_100660.3, Lsat_1_v5_gn_8_52301.1, Lsat_1_v5_gn_8_52301.3
OG0000797	Aqcoe2G402100.1.p, Aqcoe2G402100.2.p, Aqcoe2G402000.1.p, Aqcoe2G402000.2.p	Lsat_1_v5_gn_3_103780.1, Lsat_1_v5_gn_3_103780.2, Lsat_1_v5_gn_8_34720.1, Lsat_1_v5_gn_8_34720.3, Lsat_1_v5_gn_1_109681.2, Lsat_1_v5_gn_1_109681.1, Lsat_1_v5_gn_1_109681.3
OG0000798	Aqcoe2G134700.1.p, Aqcoe2G135400.1.p, Aqcoe2G136000.1.p	Lsat_1_v5_gn_6_41001.1, Lsat_1_v5_gn_2_95941.1, Lsat_1_v5_gn_2_95941.3, Lsat_1_v5_gn_2_96001.3, Lsat_1_v5_gn_2_96001.1, Lsat_1_v5_gn_6_40981.1
OG0000799	Aqcoe2G331400.1.p, Aqcoe5G062100.3.p, Aqcoe5G062100.2.p, Aqcoe5G062100.1.p	Lsat_1_v5_gn_9_4280.4, Lsat_1_v5_gn_9_4280.5, Lsat_1_v5_gn_1_118440.1, Lsat_1_v5_gn_5_76861.5, Lsat_1_v5_gn_5_76861.2, Lsat_1_v5_gn_5_76861.3, Lsat_1_v5_gn_5_76861.4, Lsat_1_v5_gn_5_76861.1, Lsat_1_v5_gn_4_149820.1, Lsat_1_v5_gn_4_149820.3
OG0000800	Aqcoe2G003200.3.p, Aqcoe2G003200.4.p, Aqcoe2G003200.1.p, Aqcoe2G003200.2.p	Lsat_1_v5_gn_0_39281.3, Lsat_1_v5_gn_0_39281.1
OG0000801	Aqcoe7G228200.1.p	Lsat_1_v5_gn_6_40880.1, Lsat_1_v5_gn_3_14201.1
OG0000801	Aqcoe7G225500.1.p, Aqcoe2G195200.1.p, Aqcoe2G190900.1.p	Lsat_1_v5_gn_3_112740.1, Lsat_1_v5_gn_6_37880.1, Lsat_1_v5_gn_4_11820.1, Lsat_1_v5_gn_9_18660.1, Lsat_1_v5_gn_3_92301.1, Lsat_1_v5_gn_5_163541.1
OG0000802	Aqcoe2G178800.1.p	Lsat_1_v5_gn_6_32460.1, Lsat_1_v5_gn_1_55860.1
OG0000803	Aqcoe2G360200.1.p, Aqcoe5G040500.1.p	Lsat_1_v5_gn_9_10001.3, Lsat_1_v5_gn_9_10001.1, Lsat_1_v5_gn_3_125741.1, Lsat_1_v5_gn_3_125741.3, Lsat_1_v5_gn_5_66981.1, Lsat_1_v5_gn_5_66981.2
OG0000804	Aqcoe6G276000.1.p, Aqcoe6G276000.2.p, Aqcoe2G123400.1.p, Aqcoe2G123400.2.p	Lsat_1_v5_gn_5_113860.1, Lsat_1_v5_gn_5_113860.3, Lsat_1_v5_gn_0_28181.1, Lsat_1_v5_gn_0_28181.2
OG0000805	Aqcoe2G027400.1.p	Lsat_1_v5_gn_1_99900.1, Lsat_1_v5_gn_1_99900.3, Lsat_1_v5_gn_4_131720.2, Lsat_1_v5_gn_9_30940.3, Lsat_1_v5_gn_9_30940.1, Lsat_1_v5_gn_8_82040.1, Lsat_1_v5_gn_8_82040.3, Lsat_1_v5_gn_8_82040.2
OG0000806	Aqcoe5G067500.1.p, Aqcoe2G321100.1.p, Aqcoe2G321100.2.p	Lsat_1_v5_gn_5_39200.1, Lsat_1_v5_gn_5_39200.2, Lsat_1_v5_gn_5_39220.1, Lsat_1_v5_gn_5_39220.3, Lsat_1_v5_gn_3_26640.2, Lsat_1_v5_gn_3_26640.3, Lsat_1_v5_gn_3_26640.1, Lsat_1_v5_gn_5_188341.2, Lsat_1_v5_gn_5_188341.1
OG0000807	Aqcoe2G258900.3.p, Aqcoe2G258900.2.p, Aqcoe2G258900.1.p	Lsat_1_v5_gn_9_7340.1
OG0000807	Aqcoe3G124400.1.p	Lsat_1_v5_gn_4_75041.1, Lsat_1_v5_gn_5_14880.1
OG0000808	Aqcoe0370s0001.1.p, Aqcoe2G387300.1.p	Lsat_1_v5_gn_1_85400.3
OG0000809	Aqcoe4G236100.1.p, Aqcoe1G463700.1.p, Aqcoe1G012000.1.p, Aqcoe7G426600.1.p, Aqcoe3G361200.1.p, Aqcoe6G308700.1.p, Aqcoe5G086500.1.p, Aqcoe7G327900.1.p, Aqcoe5G065700.1.p, Aqcoe5G070800.1.p, Aqcoe5G070700.1.p, Aqcoe5G065600.1.p, Aqcoe5G065500.1.p, Aqcoe4G107000.1.p, Aqcoe4G127500.1.p, Aqcoe4G108700.1.p, Aqcoe4G109000.1.p	Lsat_1_v5_gn_3_47680.1, Lsat_1_v5_gn_8_123241.1, Lsat_1_v5_gn_4_71740.1
OG0000810	Aqcoe5G448000.3.p, Aqcoe5G448000.2.p, Aqcoe5G448000.4.p, Aqcoe5G448000.1.p, Aqcoe5G448000.5.p	Lsat_1_v5_gn_5_133500.2, Lsat_1_v5_gn_5_133500.1
OG0000810	Aqcoe6G130300.9.p, Aqcoe6G130300.10.p, Aqcoe6G130300.7.p, Aqcoe6G130300.8.p, Aqcoe6G130300.6.p, Aqcoe6G130300.2.p, Aqcoe6G130300.5.p, Aqcoe6G130300.4.p, Aqcoe6G130300.3.p, Aqcoe6G130300.1.p	Lsat_1_v5_gn_3_75140.2, Lsat_1_v5_gn_3_75120.1, Lsat_1_v5_gn_3_75140.3, Lsat_1_v5_gn_3_75120.3, Lsat_1_v5_gn_3_75140.1, Lsat_1_v5_gn_3_75120.2
OG0000811	Aqcoe5G219200.1.p, Aqcoe5G219200.2.p, Aqcoe6G074600.1.p	Lsat_1_v5_gn_2_65920.2, Lsat_1_v5_gn_2_65920.1, Lsat_1_v5_gn_4_139200.1, Lsat_1_v5_gn_5_40061.1
OG0000812	Aqcoe6G255000.1.p, Aqcoe5G180100.1.p	Lsat_1_v5_gn_4_67040.3, Lsat_1_v5_gn_4_67040.1, Lsat_1_v5_gn_3_44100.1, Lsat_1_v5_gn_3_44100.3, Lsat_1_v5_gn_3_75520.1, Lsat_1_v5_gn_2_78320.1, Lsat_1_v5_gn_2_78320.3
OG0000813	Aqcoe6G156200.1.p, Aqcoe5G162800.1.p	Lsat_1_v5_gn_1_1541.2, Lsat_1_v5_gn_1_1541.1, Lsat_1_v5_gn_1_1541.3, Lsat_1_v5_gn_9_74400.1, Lsat_1_v5_gn_6_104761.1
OG0000814	Aqcoe6G171200.1.p	Lsat_1_v5_gn_4_30821.1, Lsat_1_v5_gn_6_9080.2, Lsat_1_v5_gn_6_9080.1
OG0000814	Aqcoe5G397200.3.p, Aqcoe5G397200.2.p, Aqcoe5G397200.1.p	Lsat_1_v5_gn_1_27540.2, Lsat_1_v5_gn_1_27540.1, Lsat_1_v5_gn_5_14401.1, Lsat_1_v5_gn_5_14401.2
OG0000815	Aqcoe6G316700.1.p, Aqcoe6G316700.2.p, Aqcoe3G134900.1.p	Lsat_1_v5_gn_4_158361.1, Lsat_1_v5_gn_4_158361.2, Lsat_1_v5_gn_7_84280.1, Lsat_1_v5_gn_9_113581.2, Lsat_1_v5_gn_9_113581.1, Lsat_1_v5_gn_9_113581.3, Lsat_1_v5_gn_3_90041.1
OG0000816	Aqcoe5G473400.1.p, Aqcoe5G473400.2.p, Aqcoe4G096400.1.p, Aqcoe4G099200.1.p, Aqcoe6G199300.1.p, Aqcoe4G111700.1.p	Lsat_1_v5_gn_6_55920.1, Lsat_1_v5_gn_6_55920.2
OG0000817	Aqcoe6G120400.1.p, Aqcoe6G120400.2.p, Aqcoe6G120400.3.p	Lsat_1_v5_gn_1_18761.1, Lsat_1_v5_gn_2_76281.2, Lsat_1_v5_gn_2_76281.1
OG0000818	Aqcoe1G060300.1.p, Aqcoe1G060300.2.p	Lsat_1_v5_gn_1_68720.1, Lsat_1_v5_gn_1_68720.3
OG0000819	Aqcoe1G368200.1.p, Aqcoe4G250900.1.p	Lsat_1_v5_gn_4_69241.1, Lsat_1_v5_gn_4_69241.2, Lsat_1_v5_gn_5_4561.3, Lsat_1_v5_gn_0_7001.3, Lsat_1_v5_gn_0_7001.1
OG0000820	Aqcoe7G013600.1.p, Aqcoe7G013600.3.p, Aqcoe7G013600.2.p	Lsat_1_v5_gn_9_121500.3, Lsat_1_v5_gn_9_121500.2, Lsat_1_v5_gn_9_121500.1
OG0000821	Aqcoe7G248400.5.p, Aqcoe7G248400.4.p, Aqcoe7G248400.2.p, Aqcoe7G248400.3.p, Aqcoe7G248400.1.p, Aqcoe7G248400.8.p, Aqcoe7G248400.6.p, Aqcoe7G248400.7.p, Aqcoe7G250300.1.p	Lsat_1_v5_gn_6_111241.1, Lsat_1_v5_gn_6_111241.3, Lsat_1_v5_gn_4_131340.1, Lsat_1_v5_gn_4_131340.4
OG0000822	Aqcoe0724s0001.1.p, Aqcoe1G209100.1.p	Lsat_1_v5_gn_7_100181.3, Lsat_1_v5_gn_7_100181.2, Lsat_1_v5_gn_7_100181.1, Lsat_1_v5_gn_7_100160.3, Lsat_1_v5_gn_7_100160.1, Lsat_1_v5_gn_9_101680.1
OG0000822	Aqcoe7G338100.1.p, Aqcoe7G338100.3.p, Aqcoe7G338100.5.p, Aqcoe7G338100.2.p, Aqcoe7G338100.6.p, Aqcoe7G338100.4.p	Lsat_1_v5_gn_6_15640.1
OG0000823	Aqcoe5G033300.1.p	Lsat_1_v5_gn_5_135620.1, Lsat_1_v5_gn_5_135620.3
OG0000823	Aqcoe7G121300.2.p, Aqcoe7G121300.1.p	Lsat_1_v5_gn_8_86200.3, Lsat_1_v5_gn_8_86200.1, Lsat_1_v5_gn_8_86200.2, Lsat_1_v5_gn_5_143500.1, Lsat_1_v5_gn_5_143500.3, Lsat_1_v5_gn_5_143500.2
OG0000824	Aqcoe1G392900.1.p	Lsat_1_v5_gn_9_14580.1, Lsat_1_v5_gn_9_14580.3, Lsat_1_v5_gn_5_173860.1, Lsat_1_v5_gn_8_103681.3, Lsat_1_v5_gn_8_103681.1, Lsat_1_v5_gn_4_10320.1
OG0000825	Aqcoe1G260000.5.p, Aqcoe1G260000.1.p, Aqcoe1G260000.6.p, Aqcoe1G260000.3.p, Aqcoe1G260000.2.p, Aqcoe1G260000.4.p	Lsat_1_v5_gn_4_52281.1, Lsat_1_v5_gn_4_52281.3
OG0000826	Aqcoe5G472800.1.p	Lsat_1_v5_gn_6_80741.1, Lsat_1_v5_gn_3_15160.1
OG0000826	Aqcoe1G437200.1.p	Lsat_1_v5_gn_2_56260.1, Lsat_1_v5_gn_2_56260.3
OG0000827	Aqcoe1G155900.1.p, Aqcoe1G155900.2.p	Lsat_1_v5_gn_2_59481.3, Lsat_1_v5_gn_2_59481.1, Lsat_1_v5_gn_3_103521.1, Lsat_1_v5_gn_3_103521.3
OG0000828	Aqcoe5G272300.2.p, Aqcoe5G272300.1.p	Lsat_1_v5_gn_1_13121.1, Lsat_1_v5_gn_1_13121.3, Lsat_1_v5_gn_4_135081.1, Lsat_1_v5_gn_4_135081.3
OG0000835	Aqcoe1G049900.1.p, Aqcoe1G049900.2.p, Aqcoe2G054400.2.p, Aqcoe2G054400.1.p, Aqcoe2G054400.3.p	Lsat_1_v5_gn_7_62121.1
OG0000836	Aqcoe4G020800.1.p, Aqcoe7G306800.1.p, Aqcoe2G074200.1.p, Aqcoe2G310800.1.p, Aqcoe3G385400.1.p, Aqcoe3G385800.1.p	Lsat_1_v5_gn_5_55381.1, Lsat_1_v5_gn_5_55381.2, Lsat_1_v5_gn_5_55441.1, Lsat_1_v5_gn_5_55461.3, Lsat_1_v5_gn_5_55461.1, Lsat_1_v5_gn_4_112740.2, Lsat_1_v5_gn_4_112740.1, Lsat_1_v5_gn_4_112780.1, Lsat_1_v5_gn_4_111541.3, Lsat_1_v5_gn_4_111541.1, Lsat_1_v5_gn_0_27721.1
OG0000837	Aqcoe2G346500.1.p, Aqcoe2G346300.1.p	Lsat_1_v5_gn_8_56641.1
OG0000837	Aqcoe5G054500.1.p, Aqcoe2G346200.1.p, Aqcoe2G346400.1.p	Lsat_1_v5_gn_8_25740.1, Lsat_1_v5_gn_8_25740.3
OG0000838	Aqcoe4G025300.1.p, Aqcoe2G179100.1.p, Aqcoe2G179100.2.p	Lsat_1_v5_gn_9_22121.3, Lsat_1_v5_gn_9_22121.1, Lsat_1_v5_gn_9_22121.2, Lsat_1_v5_gn_1_55881.2, Lsat_1_v5_gn_1_55881.1
OG0000839	Aqcoe1G047400.1.p, Aqcoe2G048500.1.p	Lsat_1_v5_gn_5_156020.1
OG0000839	Aqcoe6G151200.1.p	Lsat_1_v5_gn_4_167020.1, Lsat_1_v5_gn_3_91700.1
OG0000840	Aqcoe2G196200.1.p	Lsat_1_v5_gn_8_134580.1
