Orthogroup	A_coerulea.proteins	V_vinifera.proteins
OG0000788	Aqcoe3G191200.1.p	VIT_214s0171g00180.1
OG0000788	Aqcoe5G365400.1.p	VIT_217s0000g01700.2, VIT_217s0000g01700.7, VIT_217s0000g01700.5, VIT_217s0000g01700.9, VIT_217s0000g01700.6, VIT_217s0000g01700.8, VIT_217s0000g01700.3, VIT_217s0000g01700.1, VIT_217s0000g01700.4
OG0000789	Aqcoe3G337800.2.p, Aqcoe3G337800.1.p	VIT_214s0108g00840.4, VIT_214s0108g00840.6, VIT_214s0108g00840.5, VIT_214s0108g00840.2, VIT_214s0108g00840.1, VIT_214s0108g00840.3, VIT_201s0026g02420.3, VIT_201s0026g02420.1, VIT_201s0026g02420.2
OG0000797	Aqcoe2G402100.1.p, Aqcoe2G402100.2.p, Aqcoe2G402000.1.p, Aqcoe2G402000.2.p	VIT_201s0011g06290.4, VIT_201s0011g06290.3, VIT_201s0011g06290.2
OG0000798	Aqcoe2G134700.1.p, Aqcoe2G135400.1.p, Aqcoe2G136000.1.p	VIT_206s0080g00120.3, VIT_206s0080g00120.2, VIT_206s0080g00120.1, VIT_206s0080g00110.1, VIT_208s0058g00180.1
OG0000799	Aqcoe2G331400.1.p, Aqcoe5G062100.3.p, Aqcoe5G062100.2.p, Aqcoe5G062100.1.p	VIT_207s0104g00300.2, VIT_207s0104g00300.1, VIT_205s0020g02610.1
OG0000800	Aqcoe2G003200.3.p, Aqcoe2G003200.4.p, Aqcoe2G003200.1.p, Aqcoe2G003200.2.p	VIT_213s0067g01630.1, VIT_206s0009g02480.4, VIT_206s0009g02480.2, VIT_206s0009g02480.1, VIT_206s0009g02480.3
OG0000801	Aqcoe7G228200.1.p	VIT_214s0108g01640.1
OG0000802	Aqcoe1G127200.1.p	VIT_208s0007g04750.3, VIT_208s0007g04750.2
OG0000802	Aqcoe4G024700.1.p	VIT_208s0040g02490.3, VIT_208s0040g02490.1, VIT_208s0040g02490.2
OG0000802	Aqcoe2G178800.1.p	VIT_213s0019g00520.2, VIT_213s0019g00520.4, VIT_213s0019g00520.1, VIT_213s0019g00520.3
OG0000803	Aqcoe2G360200.1.p, Aqcoe5G040500.1.p	VIT_205s0020g04690.3, VIT_205s0020g04690.2, VIT_205s0020g04690.1, VIT_207s0141g00290.2, VIT_207s0141g00290.1, VIT_214s0081g00010.1
OG0000804	Aqcoe6G276000.1.p, Aqcoe6G276000.2.p, Aqcoe2G123400.1.p, Aqcoe2G123400.2.p	VIT_203s0091g01030.2, VIT_203s0091g01030.4, VIT_203s0091g01030.1, VIT_203s0091g01030.3, VIT_200s1311g00020.1, VIT_207s0151g00480.1
OG0000805	Aqcoe2G027400.1.p	VIT_213s0158g00360.1, VIT_213s0158g00360.3, VIT_213s0158g00360.2, VIT_208s0007g08960.8, VIT_208s0007g08960.6, VIT_208s0007g08960.13, VIT_208s0007g08960.3, VIT_208s0007g08960.7, VIT_208s0007g08960.12, VIT_208s0007g08960.2, VIT_208s0007g08960.1
OG0000806	Aqcoe5G067500.1.p, Aqcoe2G321100.1.p, Aqcoe2G321100.2.p	VIT_214s0030g00390.1, VIT_214s0030g00390.2, VIT_207s0104g00850.3, VIT_207s0104g00850.2, VIT_207s0104g00850.1
OG0000807	Aqcoe2G258900.3.p, Aqcoe2G258900.2.p, Aqcoe2G258900.1.p	VIT_207s0005g02060.1
OG0000807	Aqcoe3G124400.1.p	VIT_205s0020g00440.5, VIT_205s0020g00440.3, VIT_205s0020g00440.1, VIT_205s0020g00440.6, VIT_205s0020g00440.2, VIT_217s0000g08530.2, VIT_217s0000g08530.1, VIT_217s0000g08530.3
OG0000809	Aqcoe6G217700.1.p	VIT_218s0001g14860.3, VIT_218s0001g14860.2
OG0000809	Aqcoe4G236100.1.p, Aqcoe1G463700.1.p, Aqcoe1G012000.1.p, Aqcoe7G426600.1.p, Aqcoe3G361200.1.p, Aqcoe6G308700.1.p, Aqcoe5G086500.1.p, Aqcoe7G327900.1.p, Aqcoe5G065700.1.p, Aqcoe5G070800.1.p, Aqcoe5G070700.1.p, Aqcoe5G065600.1.p, Aqcoe5G065500.1.p, Aqcoe4G107000.1.p, Aqcoe4G127500.1.p, Aqcoe4G108700.1.p, Aqcoe4G109000.1.p	VIT_203s0038g02500.1
OG0000810	Aqcoe5G448000.3.p, Aqcoe5G448000.2.p, Aqcoe5G448000.4.p, Aqcoe5G448000.1.p, Aqcoe5G448000.5.p	VIT_209s0002g02080.1, VIT_209s0002g02080.2
OG0000810	Aqcoe6G130300.9.p, Aqcoe6G130300.10.p, Aqcoe6G130300.7.p, Aqcoe6G130300.8.p, Aqcoe6G130300.6.p, Aqcoe6G130300.2.p, Aqcoe6G130300.5.p, Aqcoe6G130300.4.p, Aqcoe6G130300.3.p, Aqcoe6G130300.1.p	VIT_204s0023g02650.1, VIT_204s0023g02650.3, VIT_204s0023g02650.4, VIT_204s0023g02650.2
OG0000811	Aqcoe5G219200.1.p, Aqcoe5G219200.2.p, Aqcoe6G074600.1.p	VIT_218s0001g06670.1, VIT_214s0128g00120.1
OG0000812	Aqcoe6G255000.1.p, Aqcoe5G180100.1.p	VIT_204s0023g02880.1, VIT_203s0038g00490.2, VIT_203s0038g00490.1
OG0000813	Aqcoe6G156200.1.p, Aqcoe5G162800.1.p	VIT_200s0199g00210.1, VIT_200s0199g00210.2, VIT_205s0136g00190.1, VIT_218s0001g07220.1, VIT_218s0001g07220.3, VIT_218s0001g07220.2
OG0000814	Aqcoe6G171200.1.p	VIT_215s0046g00100.2, VIT_215s0046g00100.1
OG0000814	Aqcoe5G397200.3.p, Aqcoe5G397200.2.p, Aqcoe5G397200.1.p	VIT_217s0000g09380.1, VIT_217s0000g09380.2
OG0000815	Aqcoe6G316700.1.p, Aqcoe6G316700.2.p, Aqcoe3G134900.1.p	VIT_218s0001g08530.2, VIT_218s0001g08530.5, VIT_218s0001g08530.4, VIT_218s0001g08530.7, VIT_218s0001g08530.1, VIT_218s0001g08530.3, VIT_218s0001g08530.6, VIT_200s0771g00020.1, VIT_203s0088g00960.1, VIT_203s0088g00960.3, VIT_203s0088g00960.2
OG0000816	Aqcoe5G473400.1.p, Aqcoe5G473400.2.p, Aqcoe4G096400.1.p, Aqcoe4G099200.1.p, Aqcoe6G199300.1.p, Aqcoe4G111700.1.p	VIT_206s0004g00180.1
OG0000817	Aqcoe6G120400.1.p, Aqcoe6G120400.2.p, Aqcoe6G120400.3.p	VIT_218s0001g12540.3, VIT_218s0001g12540.4, VIT_218s0001g12540.5, VIT_218s0001g12540.8, VIT_218s0001g12540.6, VIT_218s0001g12540.7, VIT_218s0001g12540.2, VIT_218s0001g12540.1, VIT_204s0023g01800.9, VIT_204s0023g01800.1, VIT_204s0023g01800.2, VIT_204s0023g01800.5, VIT_204s0023g01800.3, VIT_204s0023g01800.8, VIT_204s0023g01800.7, VIT_204s0023g01800.4, VIT_204s0023g01800.6
OG0000818	Aqcoe1G060300.1.p, Aqcoe1G060300.2.p	VIT_206s0004g00250.2, VIT_206s0004g00250.1, VIT_206s0004g00250.4, VIT_206s0004g00250.7, VIT_206s0004g00250.8, VIT_206s0004g00250.6, VIT_206s0004g00250.5, VIT_206s0004g00250.3
OG0000819	Aqcoe1G368200.1.p, Aqcoe4G250900.1.p	VIT_212s0059g02680.1, VIT_219s0014g05040.1, VIT_219s0014g05040.2, VIT_219s0014g05040.3
OG0000820	Aqcoe7G013600.1.p, Aqcoe7G013600.3.p, Aqcoe7G013600.2.p	VIT_212s0035g01430.1
OG0000820	Aqcoe4G179900.16.p, Aqcoe4G179900.17.p, Aqcoe4G179900.15.p, Aqcoe5G164800.4.p, Aqcoe5G164800.3.p, Aqcoe5G164800.1.p, Aqcoe5G164800.2.p, Aqcoe5G164800.6.p, Aqcoe5G164800.5.p, Aqcoe4G179900.2.p, Aqcoe4G179900.5.p, Aqcoe4G179900.7.p, Aqcoe4G179900.4.p, Aqcoe4G179900.6.p, Aqcoe4G179900.1.p, Aqcoe4G179900.3.p, Aqcoe4G179900.8.p, Aqcoe4G179900.11.p, Aqcoe4G179900.10.p, Aqcoe4G179900.14.p, Aqcoe4G179900.13.p, Aqcoe4G179900.12.p, Aqcoe4G179900.9.p, Aqcoe4G150000.1.p, Aqcoe4G150000.3.p, Aqcoe4G150000.2.p	VIT_207s0130g00460.1
OG0000821	Aqcoe7G248400.5.p, Aqcoe7G248400.4.p, Aqcoe7G248400.2.p, Aqcoe7G248400.3.p, Aqcoe7G248400.1.p, Aqcoe7G248400.8.p, Aqcoe7G248400.6.p, Aqcoe7G248400.7.p, Aqcoe7G250300.1.p	VIT_209s0054g01780.2, VIT_200s2310g00005.1, VIT_212s0034g00573.1, VIT_209s0054g01780.1
OG0000822	Aqcoe0724s0001.1.p, Aqcoe1G209100.1.p	VIT_219s0014g00290.1
OG0000822	Aqcoe7G338100.1.p, Aqcoe7G338100.3.p, Aqcoe7G338100.5.p, Aqcoe7G338100.2.p, Aqcoe7G338100.6.p, Aqcoe7G338100.4.p	VIT_204s0069g00830.1
OG0000823	Aqcoe5G033300.1.p	VIT_214s0081g00610.1, VIT_209s0002g01880.1
OG0000823	Aqcoe7G121300.2.p, Aqcoe7G121300.1.p	VIT_211s0016g01750.1, VIT_211s0016g01750.2
OG0000824	Aqcoe1G392900.1.p	VIT_208s0058g00690.2, VIT_208s0058g00690.3, VIT_208s0058g00690.1, VIT_206s0004g07500.1
OG0000825	Aqcoe1G260000.5.p, Aqcoe1G260000.1.p, Aqcoe1G260000.6.p, Aqcoe1G260000.3.p, Aqcoe1G260000.2.p, Aqcoe1G260000.4.p	VIT_200s0527g00010.1, VIT_200s0527g00010.3, VIT_200s0527g00010.4, VIT_200s0527g00010.6, VIT_200s0527g00010.7, VIT_200s0527g00010.5, VIT_200s0527g00010.2
OG0000826	Aqcoe5G472800.1.p	VIT_202s0025g03000.1, VIT_215s0048g02370.1
OG0000826	Aqcoe1G437200.1.p	VIT_208s0007g02810.1
OG0000827	Aqcoe1G155900.1.p, Aqcoe1G155900.2.p	VIT_219s0085g01200.3, VIT_219s0085g01200.2, VIT_219s0085g01200.1, VIT_201s0010g00240.5, VIT_201s0010g00240.1, VIT_201s0010g00240.4, VIT_201s0010g00240.2, VIT_201s0010g00240.3, VIT_207s0005g01150.4
OG0000828	Aqcoe5G272300.2.p, Aqcoe5G272300.1.p	VIT_218s0086g00710.3, VIT_218s0086g00710.4, VIT_218s0086g00710.5, VIT_218s0086g00710.2, VIT_218s0086g00710.1
OG0000829	Aqcoe3G337600.1.p	VIT_217s0000g06140.1, VIT_217s0000g06150.1, VIT_217s0000g06110.2, VIT_217s0000g06110.1, VIT_217s0000g06110.3, VIT_217s0000g06145.1, VIT_217s0000g06120.1, VIT_201s0026g02400.1, VIT_201s0026g02370.1, VIT_201s0026g02390.1
OG0000835	Aqcoe1G049900.1.p, Aqcoe1G049900.2.p, Aqcoe2G054400.2.p, Aqcoe2G054400.1.p, Aqcoe2G054400.3.p	VIT_213s0067g01420.1, VIT_213s0067g01420.2, VIT_208s0040g00930.1, VIT_208s0040g00930.3, VIT_208s0040g00930.2
OG0000836	Aqcoe4G020800.1.p, Aqcoe7G306800.1.p, Aqcoe2G074200.1.p, Aqcoe2G310800.1.p, Aqcoe3G385400.1.p, Aqcoe3G385800.1.p	VIT_217s0000g04595.1, VIT_217s0000g04610.1, VIT_217s0000g04590.1, VIT_217s0000g04600.1, VIT_217s0000g04585.1, VIT_217s0000g04580.1, VIT_210s0071g00020.1, VIT_200s0575g00010.1, VIT_210s0042g00020.1, VIT_210s0042g00010.1, VIT_200s0575g00020.1, VIT_210s0042g00050.1, VIT_210s0071g00010.1, VIT_213s0074g00080.1, VIT_213s0074g00070.1, VIT_210s0042g00030.1, VIT_210s0071g00250.1
OG0000837	Aqcoe2G346500.1.p, Aqcoe2G346300.1.p	VIT_207s0151g00840.1
OG0000837	Aqcoe5G054500.1.p, Aqcoe2G346200.1.p, Aqcoe2G346400.1.p	VIT_205s0020g03530.1
OG0000838	Aqcoe4G025300.1.p, Aqcoe2G179100.1.p, Aqcoe2G179100.2.p	VIT_206s0004g04190.3, VIT_206s0004g04190.1, VIT_206s0004g04190.4, VIT_206s0004g04190.2, VIT_206s0004g04190.5, VIT_208s0040g02510.2, VIT_208s0040g02510.3, VIT_208s0040g02510.6, VIT_208s0040g02510.7, VIT_208s0040g02510.1, VIT_208s0040g02510.5, VIT_208s0040g02510.4
OG0000839	Aqcoe1G047400.1.p, Aqcoe2G048500.1.p	VIT_208s0040g01250.1
OG0000840	Aqcoe2G196200.1.p	VIT_200s0733g00010.1
OG0000841	Aqcoe2G242200.1.p	VIT_207s0005g02560.1
OG0000841	Aqcoe6G193200.1.p	VIT_204s0008g00120.1, VIT_204s0008g00140.1, VIT_203s0038g03400.1
OG0000842	Aqcoe2G076500.5.p, Aqcoe2G076500.2.p, Aqcoe2G076500.1.p, Aqcoe2G076500.4.p, Aqcoe2G076500.3.p, Aqcoe2G076500.7.p, Aqcoe2G076500.6.p	VIT_206s0004g07930.1, VIT_208s0058g01140.3, VIT_208s0058g01140.4, VIT_208s0058g01140.1, VIT_208s0058g01140.2
OG0000843	Aqcoe3G164900.1.p	VIT_216s0039g01800.1
OG0000843	Aqcoe6G080600.1.p, Aqcoe6G080700.1.p	VIT_218s0001g06150.1
OG0000844	Aqcoe6G153300.2.p, Aqcoe6G153300.1.p	VIT_200s0313g00080.2, VIT_200s0313g00080.3, VIT_200s0313g00080.1
OG0000845	Aqcoe5G127300.1.p	VIT_218s0001g00720.3, VIT_218s0001g00720.2, VIT_218s0001g00720.6, VIT_218s0001g00720.1, VIT_218s0001g00720.4, VIT_218s0001g00720.5
OG0000845	Aqcoe6G227000.1.p	VIT_203s0038g03040.1
OG0000846	Aqcoe1G371900.2.p, Aqcoe1G371900.1.p	VIT_216s0115g00460.1, VIT_210s0116g01350.1, VIT_200s0279g00030.1, VIT_215s0045g00250.1, VIT_200s0279g00040.1, VIT_200s0188g00190.1, VIT_207s0031g02350.1, VIT_200s0230g00050.1, VIT_207s0031g02350.2
OG0000846	Aqcoe6G034000.1.p	VIT_210s0116g01370.1
OG0000847	Aqcoe6G211700.1.p	VIT_218s0001g14480.2, VIT_218s0001g14480.1, VIT_203s0038g02160.1, VIT_204s0023g03540.1
OG0000848	Aqcoe5G202600.2.p, Aqcoe5G202600.3.p, Aqcoe5G202600.1.p, Aqcoe4G015000.1.p, Aqcoe6G105300.1.p, Aqcoe6G105300.2.p	VIT_200s0207g00150.2, VIT_200s0207g00150.1, VIT_200s0207g00120.1, VIT_200s0207g00120.2, VIT_203s0063g01990.2, VIT_203s0063g01990.1
OG0000849	Aqcoe6G252200.1.p	VIT_217s0000g03700.1
OG0000849	Aqcoe7G034400.1.p, Aqcoe7G034400.2.p	VIT_202s0025g03480.4, VIT_202s0025g03480.3, VIT_202s0025g03480.2, VIT_202s0025g03480.1, VIT_202s0025g03480.5, VIT_202s0025g03480.6
OG0000850	Aqcoe6G096900.1.p, Aqcoe5G173000.1.p	VIT_200s0253g00050.2, VIT_200s0253g00050.1
OG0000850	Aqcoe5G173100.1.p	VIT_200s0253g00040.1, VIT_200s0253g00040.2
OG0000851	Aqcoe3G223800.2.p, Aqcoe3G223800.1.p, Aqcoe3G223800.3.p	VIT_202s0012g01450.1
OG0000851	Aqcoe6G075100.1.p	VIT_207s0191g00240.1, VIT_218s0001g06650.1, VIT_218s0001g06650.2, VIT_214s0128g00110.1, VIT_214s0128g00110.2
OG0000852	Aqcoe4G002400.3.p, Aqcoe4G002400.7.p, Aqcoe4G002400.4.p, Aqcoe4G002400.2.p, Aqcoe4G002400.5.p, Aqcoe4G002400.6.p, Aqcoe4G002400.1.p, Aqcoe5G147700.4.p, Aqcoe5G147700.1.p, Aqcoe5G147700.2.p, Aqcoe5G147700.3.p, Aqcoe4G002400.8.p, Aqcoe5G147700.5.p, Aqcoe4G046400.1.p	VIT_208s0056g01250.1, VIT_208s0056g01250.3, VIT_208s0056g01250.2
OG0000853	Aqcoe1G425900.2.p, Aqcoe1G425900.1.p, Aqcoe1G426000.2.p, Aqcoe1G426000.1.p	VIT_206s0004g06340.1
OG0000853	Aqcoe4G268800.1.p, Aqcoe4G268800.2.p	VIT_219s0014g04660.1
OG0000854	Aqcoe4G195900.1.p	VIT_212s0059g00640.4, VIT_212s0059g00640.8
OG0000854	Aqcoe1G232100.1.p, Aqcoe1G232100.2.p	VIT_212s0059g00640.3, VIT_212s0059g00640.2, VIT_212s0059g00640.1, VIT_212s0059g00640.9, VIT_212s0059g00640.7, VIT_212s0059g00640.6, VIT_212s0059g00640.5, VIT_210s0116g01710.3, VIT_210s0116g01710.1, VIT_219s0090g00560.1
OG0000855	Aqcoe4G268900.1.p, Aqcoe4G268900.2.p	VIT_219s0014g04670.1, VIT_219s0014g04670.5, VIT_219s0014g04670.6, VIT_219s0014g04670.4, VIT_219s0014g04670.2, VIT_219s0014g04670.3, VIT_200s0274g00070.3, VIT_200s0274g00070.6, VIT_200s0274g00070.2, VIT_200s0274g00070.4, VIT_200s0274g00070.1, VIT_200s0274g00070.5, VIT_200s0274g00070.7
OG0000856	Aqcoe7G290200.1.p, Aqcoe7G290200.2.p, Aqcoe7G290200.3.p	VIT_205s0062g00010.8, VIT_205s0062g00010.9, VIT_205s0062g00010.3, VIT_205s0062g00010.4, VIT_205s0062g00010.2, VIT_205s0062g00010.6, VIT_205s0062g00010.10, VIT_205s0062g00010.12, VIT_205s0062g00010.11, VIT_205s0062g00010.5, VIT_205s0062g00010.7, VIT_205s0062g00010.1, VIT_211s0078g00460.1
OG0000857	Aqcoe7G369600.2.p, Aqcoe7G369600.1.p	VIT_215s0024g01500.1, VIT_211s0118g00800.1, VIT_211s0118g00800.4, VIT_211s0118g00800.2, VIT_211s0118g00800.3, VIT_204s0008g06130.2, VIT_204s0008g06130.1, VIT_204s0008g06130.3
OG0000858	Aqcoe7G404700.1.p, Aqcoe7G404700.2.p, Aqcoe7G404700.3.p	VIT_211s0016g03860.13, VIT_211s0016g03860.11, VIT_211s0016g03860.12, VIT_211s0016g03860.15, VIT_211s0016g03860.16, VIT_211s0016g03860.9, VIT_211s0016g03860.17, VIT_211s0016g03860.6, VIT_211s0016g03860.8, VIT_211s0016g03860.10, VIT_211s0016g03860.14, VIT_211s0016g03860.7, VIT_211s0016g03860.5, VIT_211s0016g03860.4, VIT_211s0016g03860.2, VIT_211s0016g03860.3, VIT_211s0016g03860.1
OG0000859	Aqcoe7G388100.2.p, Aqcoe7G388100.1.p, Aqcoe1G164700.1.p	VIT_209s0002g06760.1, VIT_209s0002g06760.3
OG0000860	Aqcoe7G222300.4.p, Aqcoe7G222300.10.p, Aqcoe7G222300.6.p, Aqcoe7G222300.7.p, Aqcoe7G222300.12.p, Aqcoe7G222300.5.p, Aqcoe7G222300.8.p, Aqcoe7G222300.13.p, Aqcoe7G222300.3.p, Aqcoe7G222300.9.p, Aqcoe7G222300.11.p, Aqcoe7G222300.2.p, Aqcoe7G222300.1.p	VIT_204s0008g02550.3, VIT_204s0008g02550.2, VIT_204s0008g02550.1, VIT_204s0008g02550.4
OG0000861	Aqcoe7G014800.1.p	VIT_215s0046g01140.3, VIT_215s0046g01140.2, VIT_215s0046g01140.1, VIT_202s0025g01280.1, VIT_216s0050g02510.1
OG0000862	Aqcoe7G377300.2.p, Aqcoe7G377300.1.p, Aqcoe7G377300.3.p, Aqcoe5G375500.1.p	VIT_201s0011g02040.1
OG0000863	Aqcoe1G095700.2.p, Aqcoe1G095700.3.p, Aqcoe1G095700.1.p, Aqcoe1G095800.1.p	VIT_213s0019g02440.1, VIT_213s0019g02440.15, VIT_213s0019g02440.11, VIT_213s0019g02440.5, VIT_213s0019g02440.7, VIT_213s0019g02440.10, VIT_213s0019g02440.9, VIT_213s0019g02440.3, VIT_213s0019g02440.4, VIT_213s0019g02440.2, VIT_213s0019g02440.6, VIT_213s0019g02440.16, VIT_213s0019g02440.13, VIT_213s0019g02440.8, VIT_213s0019g02440.12, VIT_213s0019g02440.14, VIT_208s0007g01280.2, VIT_208s0007g01280.3, VIT_208s0007g01280.1
OG0000864	Aqcoe1G387800.1.p, Aqcoe1G387800.2.p	VIT_212s0057g00680.1, VIT_212s0057g00680.2, VIT_212s0057g00680.3, VIT_212s0057g00680.4
OG0000865	Aqcoe1G185500.2.p, Aqcoe1G185500.3.p, Aqcoe1G185500.1.p	VIT_212s0028g01170.1, VIT_210s0003g04100.2, VIT_210s0003g04100.1
OG0000866	Aqcoe1G353700.2.p, Aqcoe1G353700.1.p	VIT_209s0018g00410.1, VIT_211s0037g00230.1
OG0000867	Aqcoe5G326100.3.p, Aqcoe5G326100.1.p, Aqcoe5G326100.2.p, Aqcoe5G326100.4.p	VIT_201s0150g00110.1, VIT_201s0150g00110.2, VIT_214s0068g01060.2, VIT_214s0068g01060.1
OG0000867	Aqcoe5G075100.1.p	VIT_214s0030g00575.1, VIT_214s0030g00560.1, VIT_214s0030g00620.2, VIT_214s0030g00620.3, VIT_214s0030g00620.1
OG0000868	Aqcoe5G303000.2.p, Aqcoe5G303000.1.p, Aqcoe5G303000.3.p, Aqcoe5G303000.4.p	VIT_203s0038g01940.1, VIT_203s0038g01940.2, VIT_218s0086g00190.1, VIT_218s0086g00190.7, VIT_218s0086g00190.2, VIT_218s0086g00190.3, VIT_218s0086g00190.4, VIT_218s0086g00190.5, VIT_218s0086g00190.6, VIT_207s0031g02960.5, VIT_207s0031g02960.2, VIT_207s0031g02960.1, VIT_207s0031g02960.4, VIT_207s0031g02960.3
OG0000869	Aqcoe3G437600.1.p	VIT_200s0220g00160.2, VIT_200s0220g00160.3, VIT_200s0220g00160.4, VIT_200s0220g00160.1
OG0000869	Aqcoe3G008400.1.p	VIT_205s0094g01330.2, VIT_205s0094g01330.1
OG0000870	Aqcoe3G342600.1.p	VIT_214s0108g00980.1, VIT_217s0000g06310.1, VIT_201s0026g02580.1
OG0000871	Aqcoe3G304200.1.p, Aqcoe3G304200.2.p, Aqcoe3G304200.4.p, Aqcoe3G304200.3.p	VIT_201s0026g00690.4, VIT_201s0026g00690.2, VIT_201s0026g00690.1, VIT_201s0026g00690.5, VIT_201s0026g00690.6, VIT_201s0026g00690.3, VIT_214s0066g01765.6, VIT_214s0066g01765.5, VIT_214s0066g01765.4, VIT_214s0066g01765.2, VIT_214s0066g01765.3, VIT_214s0066g01765.1
OG0000872	Aqcoe3G378300.1.p, Aqcoe3G068000.2.p, Aqcoe3G068000.1.p	VIT_214s0083g00940.3, VIT_214s0083g00940.1, VIT_214s0083g00940.2, VIT_217s0000g04810.1
OG0000878	Aqcoe2G042200.1.p, Aqcoe1G043100.1.p	VIT_206s0009g03240.1, VIT_206s0009g03240.2
OG0000878	Aqcoe7G258000.3.p, Aqcoe7G258000.1.p, Aqcoe7G258000.2.p	VIT_218s0001g07310.2, VIT_218s0001g07310.1, VIT_218s0001g07310.3, VIT_215s0024g00670.1, VIT_200s0199g00070.1
OG0000879	Aqcoe2G169200.2.p, Aqcoe2G169200.1.p, Aqcoe2G169200.3.p, Aqcoe4G092400.1.p, Aqcoe5G192600.1.p, Aqcoe5G194800.1.p	VIT_213s0067g03470.2, VIT_213s0067g03470.3, VIT_213s0067g03470.1
OG0000879	Aqcoe2G169100.1.p	VIT_206s0004g03690.2, VIT_206s0004g03690.4, VIT_206s0004g03690.3, VIT_206s0004g03690.6, VIT_206s0004g03690.5, VIT_206s0004g03690.1
OG0000880	Aqcoe2G326700.1.p, Aqcoe2G329900.1.p, Aqcoe1G484700.1.p, Aqcoe1G488700.1.p, Aqcoe1G474300.1.p, Aqcoe1G488900.1.p	VIT_211s0016g01140.1, VIT_213s0019g03580.1
OG0000881	Aqcoe3G283300.1.p, Aqcoe3G125700.1.p	VIT_201s0127g00340.1
OG0000881	Aqcoe1G475900.1.p	VIT_200s0317g00030.1, VIT_200s0317g00030.2, VIT_200s0317g00020.2, VIT_200s0317g00020.1, VIT_214s0036g00440.1
OG0000882	Aqcoe2G429100.2.p, Aqcoe2G429100.1.p	VIT_205s0124g00030.1
OG0000883	Aqcoe3G208900.2.p, Aqcoe3G208900.1.p	VIT_215s0045g00540.2, VIT_215s0045g00540.1
OG0000883	Aqcoe2G428000.1.p	VIT_205s0062g00130.2, VIT_205s0062g00130.1
OG0000884	Aqcoe2G162900.1.p	VIT_203s0017g01010.1
OG0000884	Aqcoe3G258500.1.p, Aqcoe3G258500.2.p	VIT_215s0021g00990.1, VIT_215s0021g00990.2
OG0000885	Aqcoe7G320700.1.p	VIT_204s0008g02610.1
OG0000885	Aqcoe2G301200.1.p	VIT_205s0020g01420.1
OG0000886	Aqcoe6G120800.2.p, Aqcoe6G120800.1.p, Aqcoe5G190500.2.p, Aqcoe5G190500.1.p, Aqcoe5G190500.4.p, Aqcoe5G190500.3.p	VIT_219s0027g01670.1, VIT_219s0027g01670.2, VIT_200s0125g00270.5, VIT_200s0125g00270.9, VIT_200s0125g00270.10, VIT_200s0125g00270.7, VIT_200s0125g00270.8, VIT_200s0125g00270.11, VIT_200s0125g00270.4, VIT_200s0125g00270.3, VIT_200s0125g00270.6, VIT_200s0125g00270.1, VIT_200s0125g00270.2
OG0000887	Aqcoe7G008700.3.p, Aqcoe7G008700.1.p, Aqcoe7G008700.2.p	VIT_216s0098g01860.1
OG0000887	Aqcoe6G002600.1.p, Aqcoe6G002600.2.p	VIT_218s0089g01240.2, VIT_218s0089g01240.1
OG0000888	Aqcoe7G133500.2.p	VIT_204s0008g00820.1, VIT_204s0008g00820.2
OG0000889	Aqcoe4G248800.1.p, Aqcoe4G248800.6.p, Aqcoe4G248800.5.p, Aqcoe4G248800.4.p, Aqcoe4G248800.3.p, Aqcoe4G248800.2.p, Aqcoe4G249000.1.p, Aqcoe6G017900.1.p	VIT_219s0014g05070.1, VIT_219s0014g05070.2, VIT_200s0532g00020.1, VIT_200s0532g00020.4, VIT_200s0532g00020.2, VIT_200s0532g00020.3
OG0000890	Aqcoe4G042700.4.p, Aqcoe4G042700.1.p, Aqcoe4G042700.2.p, Aqcoe4G042700.3.p	VIT_212s0028g02130.1
OG0000891	Aqcoe1G263200.1.p, Aqcoe1G263200.2.p, Aqcoe4G100500.1.p	VIT_219s0014g02710.4, VIT_219s0014g02710.6, VIT_219s0014g02710.5, VIT_219s0014g02710.3, VIT_219s0014g02710.1, VIT_219s0014g02710.2, VIT_200s2564g00010.1, VIT_200s0265g00120.1
OG0000892	Aqcoe4G239000.1.p	VIT_210s0116g00500.1, VIT_212s0059g02360.1, VIT_212s0059g02360.3, VIT_212s0059g02360.2
OG0000892	Aqcoe1G235300.1.p, Aqcoe1G235200.1.p	VIT_210s0116g01760.2, VIT_210s0116g01760.1
OG0000892	Aqcoe7G014600.1.p, Aqcoe7G014700.2.p, Aqcoe7G014700.1.p, Aqcoe7G014700.3.p, Aqcoe5G451500.1.p, Aqcoe4G279900.1.p	VIT_215s0046g01130.1
OG0000893	Aqcoe5G460000.1.p, Aqcoe7G009500.1.p	VIT_215s0046g00440.1, VIT_202s0025g01610.1, VIT_202s0025g01610.2, VIT_216s0098g01890.2, VIT_216s0098g01890.1
OG0000894	Aqcoe7G232500.1.p	VIT_209s0002g06880.1, VIT_209s0002g06880.2
OG0000894	Aqcoe7G385800.3.p, Aqcoe7G385800.1.p, Aqcoe7G385800.2.p	VIT_211s0016g05560.6, VIT_211s0016g05560.5, VIT_211s0016g05560.1, VIT_211s0016g05560.4, VIT_211s0016g05560.3, VIT_211s0016g05560.2
