Orthogroup	A_coerulea.proteins	P_amilis.proteins
OG0001136	Aqcoe3G406100.2.p, Aqcoe3G406100.3.p, Aqcoe3G406100.1.p	FUN_002046-T1, FUN_016946-T1
OG0001141	Aqcoe2G175500.1.p	FUN_020922-T1
OG0001141	Aqcoe5G323900.1.p, Aqcoe4G100600.1.p	FUN_020609-T1, FUN_020616-T1, FUN_020615-T1, FUN_018726-T1
OG0001142	Aqcoe5G082200.2.p, Aqcoe5G082200.3.p, Aqcoe5G082200.1.p, Aqcoe5G082200.4.p	FUN_034188-T1, FUN_051463-T1
OG0001143	Aqcoe1G422100.1.p, Aqcoe2G372100.1.p, Aqcoe2G409800.1.p	FUN_050385-T1, FUN_050391-T1, FUN_025061-T1, FUN_014138-T1, FUN_050381-T1
OG0001144	Aqcoe3G017800.1.p, Aqcoe5G036000.1.p, Aqcoe2G090300.2.p, Aqcoe2G090300.1.p	FUN_049000-T1, FUN_023887-T1, FUN_049002-T1
OG0001145	Aqcoe3G204800.1.p	FUN_047041-T1
OG0001146	Aqcoe1G098900.1.p	FUN_042082-T1, FUN_008098-T1, FUN_008098-T2
OG0001146	Aqcoe2G232200.1.p, Aqcoe2G232200.2.p	FUN_039759-T1
OG0001147	Aqcoe2G138500.2.p, Aqcoe2G138500.1.p	FUN_018526-T1, FUN_039096-T1
OG0001147	Aqcoe1G448900.1.p	FUN_043661-T1, FUN_039094-T1
OG0001148	Aqcoe3G443200.2.p, Aqcoe3G443200.1.p	FUN_027916-T1, FUN_027912-T2, FUN_027912-T1
OG0001149	Aqcoe5G472400.1.p	FUN_045099-T1
OG0001149	Aqcoe1G009400.1.p, Aqcoe2G002500.1.p	FUN_019545-T1
OG0001150	Aqcoe1G017900.1.p, Aqcoe2G128700.2.p, Aqcoe2G128700.1.p	FUN_033944-T1, FUN_033945-T1, FUN_033943-T1, FUN_004432-T1
OG0001151	Aqcoe2G399800.1.p, Aqcoe2G399700.1.p	FUN_024980-T1, FUN_043503-T1
OG0001151	Aqcoe7G002700.1.p	FUN_008781-T1, FUN_044974-T1
OG0001152	Aqcoe2G184400.2.p, Aqcoe2G184400.1.p, Aqcoe2G184400.3.p	FUN_002070-T1, FUN_002070-T2
OG0001152	Aqcoe1G115100.1.p	FUN_020539-T2, FUN_020539-T1, FUN_020538-T1, FUN_020538-T2
OG0001153	Aqcoe2G172400.1.p, Aqcoe2G172400.2.p	FUN_014668-T2, FUN_014668-T1
OG0001154	Aqcoe2G061400.1.p	FUN_033077-T1
OG0001155	Aqcoe5G094800.1.p, Aqcoe6G259300.2.p, Aqcoe2G302300.1.p, Aqcoe6G259300.1.p	FUN_030620-T1, FUN_024355-T1
OG0001156	Aqcoe5G133300.3.p, Aqcoe5G133300.2.p, Aqcoe5G133300.4.p, Aqcoe5G133300.1.p	FUN_052782-T1
OG0001157	Aqcoe5G073000.1.p	FUN_017806-T1
OG0001157	Aqcoe6G287100.1.p	FUN_013125-T2, FUN_013125-T1
OG0001158	Aqcoe5G146300.1.p, Aqcoe4G002300.1.p, Aqcoe6G135500.3.p, Aqcoe6G135500.1.p, Aqcoe6G135500.2.p, Aqcoe6G135500.4.p	FUN_029394-T1, FUN_029394-T3, FUN_029394-T2
OG0001159	Aqcoe6G019900.2.p, Aqcoe6G019900.3.p, Aqcoe6G019900.5.p, Aqcoe6G019900.1.p, Aqcoe6G019900.4.p, Aqcoe6G019900.6.p	FUN_021693-T1, FUN_031397-T1
OG0001160	Aqcoe6G185800.1.p	FUN_025650-T1, FUN_025651-T1
OG0001160	Aqcoe6G185700.1.p	FUN_012796-T1
OG0001161	Aqcoe4G265600.1.p, Aqcoe4G265900.1.p	FUN_047159-T2, FUN_047159-T4, FUN_047159-T3, FUN_047159-T1, FUN_047157-T1
OG0001161	Aqcoe4G299300.1.p, Aqcoe4G299400.1.p, Aqcoe4G242800.2.p, Aqcoe4G242800.1.p, Aqcoe4G242800.3.p, Aqcoe6G034800.1.p, Aqcoe4G250100.1.p	FUN_016672-T1
OG0001162	Aqcoe1G353000.1.p, Aqcoe6G170000.1.p	FUN_042640-T1, FUN_042640-T4, FUN_042640-T3, FUN_042640-T5, FUN_042640-T6, FUN_042640-T2, FUN_007797-T1, FUN_007797-T3, FUN_007797-T2
OG0001163	Aqcoe5G139000.1.p	FUN_047236-T1, FUN_047231-T1
OG0001163	Aqcoe6G309300.1.p, Aqcoe6G309400.1.p	FUN_024531-T1
OG0001163	Aqcoe5G139100.1.p	FUN_042708-T2, FUN_042708-T1
OG0001164	Aqcoe7G249600.3.p, Aqcoe7G249600.2.p, Aqcoe7G249600.1.p, Aqcoe6G293300.2.p, Aqcoe6G293300.1.p, Aqcoe6G293300.3.p	FUN_006127-T4, FUN_006127-T2, FUN_006127-T3, FUN_006127-T1
OG0001165	Aqcoe6G206500.3.p, Aqcoe6G206500.4.p, Aqcoe6G206500.1.p, Aqcoe6G206500.2.p	FUN_024164-T2, FUN_024164-T1, FUN_024164-T3
OG0001166	Aqcoe6G313200.1.p, Aqcoe4G283700.1.p	FUN_012173-T1, FUN_012229-T1, FUN_035770-T1
OG0001166	Aqcoe1G414800.1.p, Aqcoe1G414700.1.p, Aqcoe1G414600.1.p, Aqcoe1G415000.1.p	FUN_047291-T1, FUN_047289-T1
OG0001167	Aqcoe6G178100.1.p	FUN_020084-T2, FUN_020084-T1, FUN_049990-T1
OG0001168	Aqcoe7G084600.6.p, Aqcoe7G084600.2.p, Aqcoe7G084600.4.p, Aqcoe7G084600.5.p, Aqcoe7G084600.1.p, Aqcoe7G084600.3.p, Aqcoe6G268700.3.p, Aqcoe6G268700.4.p, Aqcoe6G268700.2.p, Aqcoe6G268700.1.p	FUN_036907-T1
OG0001169	Aqcoe5G122300.1.p	FUN_025662-T1
OG0001170	Aqcoe6G118900.5.p, Aqcoe6G118900.8.p, Aqcoe6G118900.1.p, Aqcoe6G118900.6.p, Aqcoe6G118900.4.p, Aqcoe6G118900.7.p, Aqcoe6G118900.2.p, Aqcoe6G118900.3.p	FUN_002262-T1
OG0001171	Aqcoe6G187200.4.p, Aqcoe6G187200.5.p, Aqcoe6G187200.2.p, Aqcoe6G187200.3.p, Aqcoe6G187200.6.p, Aqcoe6G187200.1.p	FUN_002412-T2, FUN_002412-T3, FUN_002412-T1
OG0001172	Aqcoe7G401000.1.p	FUN_046299-T1, FUN_046299-T2
OG0001173	Aqcoe4G238300.1.p	FUN_012440-T1, FUN_035277-T1, FUN_035278-T1
OG0001173	Aqcoe1G360000.2.p, Aqcoe1G360000.1.p, Aqcoe1G360000.3.p, Aqcoe1G347900.1.p, Aqcoe1G347900.3.p, Aqcoe1G347900.2.p	FUN_049865-T1, FUN_045959-T1
OG0001174	Aqcoe4G059900.2.p, Aqcoe4G059900.1.p	FUN_036755-T2, FUN_036755-T1, FUN_036755-T3, FUN_043394-T1
OG0001175	Aqcoe4G158300.4.p, Aqcoe4G158300.1.p, Aqcoe4G158300.3.p, Aqcoe4G158300.2.p, Aqcoe3G273500.2.p, Aqcoe3G273500.1.p	FUN_007924-T1, FUN_042644-T1, FUN_042644-T2
OG0001176	Aqcoe4G294400.1.p	FUN_012248-T1, FUN_012248-T2, FUN_035799-T1
OG0001176	Aqcoe4G295100.2.p, Aqcoe4G295100.3.p, Aqcoe4G295100.1.p	FUN_044106-T1, FUN_046177-T1
OG0001177	Aqcoe7G051000.2.p, Aqcoe7G051000.1.p, Aqcoe5G434700.1.p	FUN_049226-T2, FUN_049226-T1, FUN_018740-T1
OG0001178	Aqcoe3G135900.1.p	FUN_050313-T1
OG0001178	Aqcoe7G094800.1.p	FUN_017345-T1, FUN_041330-T1
OG0001179	Aqcoe7G433600.1.p	FUN_050047-T1, FUN_049964-T1
OG0001180	Aqcoe1G044400.1.p	FUN_033322-T1
OG0001180	Aqcoe7G272700.3.p, Aqcoe7G272700.2.p, Aqcoe7G272700.1.p	FUN_007862-T1
OG0001182	Aqcoe7G047400.2.p, Aqcoe7G047400.1.p, Aqcoe7G047500.2.p, Aqcoe7G047500.1.p	FUN_037114-T1, FUN_022104-T1, FUN_022104-T2
OG0001183	Aqcoe7G019800.2.p, Aqcoe7G019800.1.p, Aqcoe7G019800.3.p, Aqcoe7G019800.4.p	FUN_009081-T3, FUN_009081-T2, FUN_009081-T4, FUN_009081-T1, FUN_013787-T1, FUN_048062-T1, FUN_037299-T1
OG0001184	Aqcoe7G036300.1.p	FUN_040847-T1, FUN_014820-T1, FUN_007951-T1
OG0001185	Aqcoe7G337500.1.p, Aqcoe7G337700.1.p, Aqcoe7G337800.1.p, Aqcoe7G337900.1.p, Aqcoe5G405900.1.p	FUN_026888-T1, FUN_026887-T1, FUN_026891-T1, FUN_026894-T1
OG0001186	Aqcoe7G281900.1.p	FUN_001787-T1
OG0001187	Aqcoe3G267700.5.p, Aqcoe3G267700.3.p, Aqcoe3G267700.2.p, Aqcoe3G267700.4.p, Aqcoe3G267700.8.p, Aqcoe3G267700.7.p, Aqcoe3G267800.1.p, Aqcoe3G267900.1.p, Aqcoe3G267700.6.p, Aqcoe3G267700.1.p, Aqcoe7G118000.1.p, Aqcoe7G098200.1.p	FUN_041898-T1, FUN_041896-T1
OG0001188	Aqcoe7G027900.2.p, Aqcoe7G027900.3.p, Aqcoe7G027900.1.p	FUN_040937-T1, FUN_040937-T2, FUN_048039-T1
OG0001189	Aqcoe7G087500.1.p	FUN_019268-T2, FUN_019268-T1
OG0001190	Aqcoe1G321600.2.p, Aqcoe1G321600.1.p	FUN_015688-T1, FUN_015687-T2, FUN_015687-T1
OG0001191	Aqcoe1G078800.1.p, Aqcoe1G078800.3.p, Aqcoe1G078800.2.p	FUN_042063-T1, FUN_048893-T1
OG0001193	Aqcoe1G111700.4.p, Aqcoe1G111700.3.p, Aqcoe1G111700.1.p, Aqcoe1G111700.2.p, Aqcoe1G402400.1.p	FUN_005809-T2, FUN_005809-T1, FUN_015676-T1
OG0001194	Aqcoe1G336300.1.p, Aqcoe1G336100.1.p, Aqcoe1G336200.2.p, Aqcoe1G336200.1.p, Aqcoe1G336200.3.p	FUN_046176-T1, FUN_044141-T1, FUN_012249-T3, FUN_012249-T1, FUN_012249-T2
OG0001195	Aqcoe1G396700.1.p, Aqcoe1G396700.3.p, Aqcoe1G396700.2.p, Aqcoe1G396700.4.p	FUN_029327-T1, FUN_019009-T1, FUN_003990-T1
OG0001196	Aqcoe1G443600.1.p	FUN_005713-T1
OG0001197	Aqcoe1G167600.1.p	FUN_002011-T2, FUN_002011-T1, FUN_002888-T1
OG0001198	Aqcoe3G119100.1.p, Aqcoe3G119000.1.p, Aqcoe3G119200.1.p, Aqcoe3G119200.2.p	FUN_010844-T1, FUN_047412-T1
OG0001199	Aqcoe1G255700.2.p, Aqcoe1G255700.1.p	FUN_046642-T1
OG0001200	Aqcoe5G339300.1.p	FUN_011346-T2, FUN_047048-T1, FUN_047048-T2
OG0001200	Aqcoe5G339600.1.p, Aqcoe5G339700.1.p	FUN_011346-T1
OG0001201	Aqcoe5G020000.2.p, Aqcoe5G020000.1.p	FUN_032446-T1, FUN_032446-T2, FUN_023065-T1, FUN_023146-T1, FUN_023146-T3, FUN_023146-T4, FUN_023146-T2
OG0001202	Aqcoe5G062500.1.p, Aqcoe5G062400.1.p	FUN_014299-T1, FUN_014300-T1, FUN_014305-T1
OG0001203	Aqcoe3G094200.1.p, Aqcoe3G094200.2.p, Aqcoe3G322300.1.p	FUN_032423-T1, FUN_032420-T1, FUN_023066-T1, FUN_023063-T1, FUN_030900-T1, FUN_032427-T2, FUN_032427-T1
OG0001204	Aqcoe3G270100.2.p, Aqcoe3G270100.1.p	FUN_017211-T1, FUN_040029-T1
OG0001205	Aqcoe3G400700.1.p	FUN_023867-T1, FUN_033599-T1, FUN_010507-T1, FUN_046866-T1
OG0001217	Aqcoe2G286000.3.p, Aqcoe2G286000.4.p, Aqcoe2G286000.1.p, Aqcoe2G286000.2.p	FUN_034385-T1, FUN_051521-T2, FUN_051521-T4, FUN_051521-T3, FUN_051521-T1
OG0001218	Aqcoe5G024300.1.p, Aqcoe2G375400.1.p	FUN_002697-T1, FUN_002697-T2, FUN_000208-T4, FUN_000208-T3, FUN_000208-T1, FUN_000208-T5, FUN_000208-T2
OG0001219	Aqcoe1G470800.1.p, Aqcoe2G179800.1.p	FUN_013103-T1, FUN_049294-T1, FUN_049299-T1, FUN_051472-T1
OG0001220	Aqcoe1G093900.1.p, Aqcoe1G094000.1.p, Aqcoe2G056800.1.p	FUN_048006-T1, FUN_003850-T1
OG0001220	Aqcoe6G106600.1.p	FUN_047283-T1
OG0001221	Aqcoe2G316600.1.p, Aqcoe2G316400.1.p, Aqcoe2G316300.1.p, Aqcoe2G316300.2.p	FUN_047832-T1, FUN_020199-T1
OG0001222	Aqcoe2G158800.3.p, Aqcoe2G158800.1.p, Aqcoe2G158800.2.p, Aqcoe0024s0005.1.p, Aqcoe2G158900.1.p, Aqcoe0024s0004.1.p, Aqcoe0024s0003.1.p, Aqcoe2G159000.1.p	FUN_015600-T2, FUN_015600-T3, FUN_015600-T1
OG0001223	Aqcoe2G230700.2.p, Aqcoe2G230700.4.p, Aqcoe2G230700.1.p, Aqcoe2G230700.7.p, Aqcoe2G230700.6.p, Aqcoe2G230700.3.p, Aqcoe2G230700.5.p, Aqcoe4G309200.1.p	FUN_046383-T2, FUN_046383-T1, FUN_041198-T2
OG0001224	Aqcoe2G005000.2.p, Aqcoe2G005000.1.p, Aqcoe2G005100.1.p, Aqcoe1G007700.1.p	FUN_003125-T1, FUN_035705-T2, FUN_035705-T1, FUN_033030-T1
OG0001225	Aqcoe2G409400.1.p	FUN_010711-T1, FUN_045388-T1, FUN_015088-T1, FUN_003555-T1
OG0001227	Aqcoe3G124700.1.p	FUN_010803-T1, FUN_047388-T1
OG0001227	Aqcoe2G099900.1.p, Aqcoe1G428700.1.p	FUN_049048-T1
OG0001228	Aqcoe2G097000.1.p	FUN_001800-T1, FUN_006336-T1, FUN_039346-T1, FUN_039343-T1
OG0001229	Aqcoe2G421500.2.p, Aqcoe2G421500.1.p	FUN_042762-T1
OG0001230	Aqcoe2G153900.3.p, Aqcoe2G153900.4.p, Aqcoe2G153900.2.p, Aqcoe2G153900.1.p	FUN_027399-T1
OG0001230	Aqcoe6G158400.9.p, Aqcoe6G158400.10.p, Aqcoe6G158400.4.p, Aqcoe6G158400.7.p, Aqcoe6G158400.8.p, Aqcoe6G158400.3.p, Aqcoe6G158400.6.p, Aqcoe6G158400.1.p, Aqcoe6G158400.2.p, Aqcoe6G158400.5.p	FUN_008564-T1, FUN_035491-T2, FUN_035491-T1, FUN_035501-T1
OG0001231	Aqcoe6G108800.5.p, Aqcoe6G108800.2.p, Aqcoe6G108800.4.p, Aqcoe6G108800.6.p, Aqcoe6G108800.3.p, Aqcoe6G108800.1.p, Aqcoe5G199700.1.p, Aqcoe5G199700.2.p	FUN_050969-T1, FUN_001581-T1
OG0001232	Aqcoe6G118800.2.p, Aqcoe6G118800.1.p, Aqcoe5G193100.3.p, Aqcoe5G193100.1.p, Aqcoe5G193100.2.p	FUN_009494-T1, FUN_030652-T1
OG0001233	Aqcoe6G082400.1.p, Aqcoe6G082400.2.p, Aqcoe6G082500.3.p, Aqcoe6G082500.2.p, Aqcoe6G082500.1.p	FUN_038395-T1, FUN_038395-T2, FUN_048625-T2, FUN_048625-T1
OG0001234	Aqcoe5G115700.2.p, Aqcoe5G115700.1.p	FUN_004189-T1
OG0001234	Aqcoe6G167600.1.p, Aqcoe6G167600.2.p	FUN_025624-T1, FUN_025624-T2, FUN_042611-T1
OG0001235	Aqcoe6G097700.1.p	FUN_029512-T1
OG0001235	Aqcoe6G098200.1.p	FUN_046008-T1, FUN_046005-T1, FUN_046007-T1, FUN_046004-T1, FUN_046011-T1, FUN_009917-T1, FUN_046003-T1, FUN_009921-T1, FUN_033352-T1
OG0001236	Aqcoe6G316200.1.p, Aqcoe5G095600.6.p, Aqcoe5G095600.4.p, Aqcoe5G095600.3.p, Aqcoe5G095600.1.p, Aqcoe5G095600.2.p	FUN_014302-T1, FUN_052095-T1, FUN_005617-T1
OG0001237	Aqcoe5G169300.1.p	FUN_025489-T1, FUN_031176-T1
OG0001238	Aqcoe5G313400.1.p, Aqcoe6G078500.1.p	FUN_048610-T1, FUN_038129-T1
OG0001238	Aqcoe6G078500.2.p	FUN_048610-T2, FUN_038129-T2
OG0001239	Aqcoe4G095600.1.p, Aqcoe4G010300.1.p, Aqcoe4G095500.4.p, Aqcoe4G095500.1.p, Aqcoe4G095500.2.p, Aqcoe4G095500.3.p, Aqcoe4G095700.1.p, Aqcoe4G095800.1.p	FUN_046632-T1, FUN_046633-T1, FUN_011927-T1
OG0001241	Aqcoe4G158700.1.p, Aqcoe4G158700.3.p, Aqcoe4G158700.4.p, Aqcoe4G158700.2.p	FUN_035602-T1, FUN_035602-T3, FUN_035602-T2, FUN_008688-T1
OG0001242	Aqcoe7G410100.2.p, Aqcoe7G410100.1.p, Aqcoe7G410000.2.p, Aqcoe7G410000.1.p	FUN_031038-T1, FUN_031038-T3, FUN_031038-T2, FUN_036437-T2, FUN_036437-T1, FUN_036436-T1, FUN_052759-T2, FUN_036436-T2, FUN_052759-T1
OG0001243	Aqcoe7G238600.1.p	FUN_019399-T1
OG0001244	Aqcoe5G470200.1.p	FUN_048248-T1
OG0001244	Aqcoe7G070600.2.p, Aqcoe7G070600.1.p	FUN_049707-T1
OG0001245	Aqcoe7G190600.3.p, Aqcoe7G190600.1.p, Aqcoe7G190600.2.p	FUN_026370-T1
OG0001246	Aqcoe7G125900.1.p	FUN_020085-T2, FUN_020085-T1, FUN_013715-T1, FUN_011433-T2, FUN_011433-T1
OG0001247	Aqcoe5G301100.1.p	FUN_052875-T1
OG0001247	Aqcoe7G209800.1.p	FUN_053063-T2
OG0001248	Aqcoe1G433300.1.p, Aqcoe3G281100.1.p	FUN_020060-T2, FUN_020060-T1, FUN_048828-T2, FUN_048828-T1, FUN_048828-T3
OG0001249	Aqcoe1G064200.1.p	FUN_021934-T1, FUN_008121-T1, FUN_008121-T2
OG0001250	Aqcoe1G033400.1.p	FUN_004563-T1
OG0001252	Aqcoe5G393200.2.p	FUN_050370-T1
OG0001252	Aqcoe5G393200.1.p	FUN_025073-T1
OG0001253	Aqcoe1G025100.2.p, Aqcoe1G025100.1.p, Aqcoe1G024900.1.p	FUN_036395-T2, FUN_036395-T1, FUN_036396-T1, FUN_036396-T3, FUN_036396-T2, FUN_052709-T1
OG0001254	Aqcoe5G209100.4.p, Aqcoe5G209100.3.p, Aqcoe5G209100.1.p, Aqcoe5G209100.2.p	FUN_024206-T1
OG0001255	Aqcoe5G197500.1.p, Aqcoe5G197500.2.p	FUN_001118-T1
OG0001256	Aqcoe3G424700.1.p	FUN_045629-T1
OG0001256	Aqcoe3G422600.1.p	FUN_002057-T1
OG0001257	Aqcoe3G007800.5.p, Aqcoe3G007800.1.p, Aqcoe3G007800.3.p, Aqcoe3G007800.2.p, Aqcoe3G007800.4.p	FUN_024435-T1
OG0001257	Aqcoe3G253700.1.p	FUN_017397-T1, FUN_049457-T1
OG0001258	Aqcoe3G348500.1.p, Aqcoe3G348400.1.p, Aqcoe3G348400.2.p, Aqcoe3G348300.1.p	FUN_023430-T1, FUN_023429-T1
OG0001259	Aqcoe3G224900.1.p	FUN_041592-T1, FUN_017582-T1
OG0001260	Aqcoe3G382100.2.p, Aqcoe3G382100.1.p, Aqcoe3G070300.1.p, Aqcoe3G070300.2.p, Aqcoe3G070300.3.p	FUN_023606-T1, FUN_023606-T2
OG0001261	Aqcoe3G370100.1.p, Aqcoe3G370100.3.p, Aqcoe3G370100.2.p, Aqcoe3G370100.5.p, Aqcoe3G370100.4.p	FUN_045514-T1, FUN_011216-T1
OG0001262	Aqcoe3G374100.1.p	FUN_029726-T1, FUN_016842-T1, FUN_033813-T1, FUN_011246-T1
OG0001263	Aqcoe3G045400.1.p, Aqcoe3G045400.2.p	FUN_025691-T1
OG0001271	Aqcoe2G415100.1.p	FUN_050410-T2, FUN_050410-T1, FUN_034066-T2, FUN_034066-T1, FUN_003550-T1
OG0001272	Aqcoe4G114800.1.p, Aqcoe7G435000.1.p, Aqcoe7G434700.1.p, Aqcoe2G395300.3.p, Aqcoe2G395300.2.p, Aqcoe2G395300.4.p, Aqcoe2G395300.5.p, Aqcoe2G395300.1.p, Aqcoe2G395400.1.p	FUN_023923-T1, FUN_023924-T1, FUN_003946-T1, FUN_023929-T1, FUN_023963-T1
OG0001273	Aqcoe5G045200.1.p, Aqcoe5G045200.2.p, Aqcoe2G355600.1.p	FUN_016084-T1, FUN_011552-T1
OG0001275	Aqcoe2G391300.1.p, Aqcoe5G004900.1.p	FUN_005753-T2, FUN_005753-T1, FUN_033099-T2, FUN_033099-T1
OG0001275	Aqcoe7G422300.1.p	FUN_020083-T1, FUN_020083-T2
OG0001276	Aqcoe2G282900.1.p	FUN_014998-T1, FUN_034430-T2, FUN_034430-T1, FUN_051537-T1, FUN_051538-T1
OG0001277	Aqcoe2G109500.9.p, Aqcoe3G143500.1.p, Aqcoe3G143500.2.p, Aqcoe2G109500.2.p, Aqcoe2G109500.6.p, Aqcoe2G109500.7.p, Aqcoe2G109500.1.p, Aqcoe2G109500.12.p, Aqcoe2G109500.8.p, Aqcoe2G109500.11.p, Aqcoe2G109500.3.p, Aqcoe2G109500.5.p, Aqcoe2G109500.4.p, Aqcoe2G109500.10.p, Aqcoe5G253400.2.p, Aqcoe5G253400.1.p	FUN_033928-T3, FUN_033928-T1, FUN_033928-T2
OG0001278	Aqcoe2G150900.1.p, Aqcoe2G150900.4.p, Aqcoe2G150900.2.p, Aqcoe2G150900.3.p, Aqcoe2G150900.5.p	FUN_008196-T1
OG0001279	Aqcoe1G454400.2.p, Aqcoe1G454400.1.p, Aqcoe2G129700.1.p	FUN_049966-T1, FUN_005854-T1
OG0001280	Aqcoe5G381800.1.p	FUN_032022-T1, FUN_025383-T1
OG0001280	Aqcoe2G175000.1.p, Aqcoe2G175200.1.p, Aqcoe1G454100.1.p	FUN_025381-T1, FUN_004298-T1, FUN_025382-T2, FUN_025382-T1, FUN_032021-T1
OG0001281	Aqcoe2G283500.2.p, Aqcoe2G283500.1.p	FUN_043072-T1, FUN_024799-T1, FUN_034413-T1
OG0001282	Aqcoe2G040900.1.p, Aqcoe1G042300.1.p, Aqcoe1G042300.2.p	FUN_032690-T1, FUN_004461-T1, FUN_030772-T1, FUN_018866-T1
OG0001283	Aqcoe2G277000.2.p, Aqcoe2G277000.1.p, Aqcoe2G277000.3.p	FUN_007530-T1, FUN_007529-T1, FUN_007529-T2
OG0001284	Aqcoe0043s0002.1.p, Aqcoe4G213100.1.p, Aqcoe4G154800.1.p, Aqcoe4G180500.1.p, Aqcoe4G212900.1.p, Aqcoe4G154900.1.p, Aqcoe4G180400.1.p, Aqcoe4G213000.1.p, Aqcoe0043s0001.1.p	FUN_035117-T1, FUN_035123-T1
OG0001285	Aqcoe6G083800.1.p, Aqcoe6G083800.2.p	FUN_038385-T1, FUN_051829-T1
OG0001286	Aqcoe5G161200.1.p, Aqcoe6G154600.1.p	FUN_037999-T1, FUN_037999-T2, FUN_048531-T2, FUN_048531-T1, FUN_025476-T1
OG0001287	Aqcoe6G323900.1.p	FUN_025611-T1, FUN_025611-T2
OG0001289	Aqcoe6G127600.2.p, Aqcoe6G127600.1.p, Aqcoe3G219900.1.p, Aqcoe3G219900.2.p, Aqcoe5G187100.1.p	FUN_038442-T1
OG0001290	Aqcoe6G176000.1.p	FUN_025644-T1, FUN_025644-T3, FUN_025644-T2, FUN_025644-T4, FUN_041645-T2, FUN_041645-T3, FUN_041645-T1
OG0001291	Aqcoe6G083900.1.p	FUN_045620-T1, FUN_051828-T1, FUN_051828-T2
OG0001292	Aqcoe4G002500.2.p, Aqcoe4G002500.1.p, Aqcoe3G015400.1.p, Aqcoe3G015800.1.p	FUN_002844-T1
OG0001293	Aqcoe4G050900.1.p, Aqcoe4G050900.3.p, Aqcoe4G050900.2.p	FUN_046690-T1
OG0001294	Aqcoe5G401700.2.p, Aqcoe5G401700.1.p	FUN_010744-T2, FUN_010744-T3, FUN_010744-T1
OG0001294	Aqcoe4G116700.1.p, Aqcoe7G128600.1.p	FUN_049979-T2, FUN_049979-T1
OG0001295	Aqcoe1G266700.1.p, Aqcoe4G103500.1.p	FUN_012611-T1, FUN_027372-T1, FUN_036647-T1, FUN_043188-T1
OG0001297	Aqcoe7G115400.2.p, Aqcoe7G115400.1.p	FUN_023912-T2, FUN_023912-T1
OG0001298	Aqcoe7G078900.1.p	FUN_015325-T2, FUN_015325-T1, FUN_040283-T1, FUN_018468-T2, FUN_018468-T1
OG0001299	Aqcoe7G426200.1.p, Aqcoe7G124000.1.p	FUN_020158-T1, FUN_050025-T1, FUN_001865-T1, FUN_001865-T2, FUN_001865-T3
OG0001300	Aqcoe7G124300.2.p, Aqcoe7G124300.1.p, Aqcoe7G425800.1.p, Aqcoe7G425800.2.p	FUN_020160-T2, FUN_020160-T3, FUN_050024-T1
OG0001301	Aqcoe7G127500.1.p, Aqcoe7G127500.2.p	FUN_049995-T2, FUN_049995-T1, FUN_049995-T3, FUN_049995-T4
OG0001302	Aqcoe7G320300.1.p, Aqcoe7G320300.2.p	FUN_033340-T2
OG0001302	Aqcoe5G251800.1.p	FUN_033340-T1
OG0001303	Aqcoe7G307600.1.p	FUN_020485-T1
OG0001303	Aqcoe5G265900.1.p, Aqcoe5G265900.2.p	FUN_038843-T1
OG0001304	Aqcoe7G240500.1.p	FUN_006044-T1, FUN_025180-T1, FUN_050255-T1, FUN_019373-T1, FUN_005975-T1
OG0001305	Aqcoe7G010000.1.p, Aqcoe7G010000.2.p	FUN_041200-T1, FUN_013664-T1, FUN_008881-T1
OG0001306	Aqcoe7G417500.1.p, Aqcoe1G294500.2.p, Aqcoe1G294500.1.p, Aqcoe3G123100.2.p, Aqcoe3G123100.1.p	FUN_006470-T1, FUN_006470-T2
OG0001307	Aqcoe5G381900.1.p, Aqcoe1G418000.1.p	FUN_030367-T1
OG0001308	Aqcoe5G037800.1.p, Aqcoe1G053300.1.p, Aqcoe3G127900.1.p	FUN_010986-T1, FUN_011601-T1, FUN_002380-T1, FUN_027141-T1, FUN_027141-T2
OG0001309	Aqcoe1G425700.4.p, Aqcoe1G425700.3.p, Aqcoe1G425700.2.p, Aqcoe1G425700.1.p	FUN_040418-T5, FUN_040418-T4, FUN_040418-T3, FUN_040418-T1, FUN_040418-T2
OG0001310	Aqcoe1G341600.1.p, Aqcoe1G341600.2.p	FUN_043405-T2, FUN_035769-T1, FUN_046277-T1
OG0001311	Aqcoe5G010700.1.p	FUN_051623-T1
OG0001311	Aqcoe1G424300.1.p	FUN_033113-T1, FUN_026784-T1, FUN_026784-T2, FUN_024932-T1
OG0001312	Aqcoe1G239400.1.p	FUN_011867-T1, FUN_011868-T2, FUN_011868-T1, FUN_012645-T1
OG0001313	Aqcoe1G079200.2.p, Aqcoe1G079200.1.p, Aqcoe1G079100.1.p	FUN_042057-T1, FUN_048878-T1, FUN_048884-T1, FUN_048870-T1, FUN_048869-T1, FUN_020069-T1
OG0001314	Aqcoe1G494000.1.p	FUN_017802-T1, FUN_005931-T1, FUN_000823-T2, FUN_000823-T1
OG0001315	Aqcoe1G095000.2.p, Aqcoe1G095000.1.p	FUN_002853-T2, FUN_002853-T1, FUN_022604-T1, FUN_017660-T1, FUN_017660-T2
OG0001316	Aqcoe1G478100.1.p	FUN_042540-T1, FUN_049325-T1, FUN_000961-T1
OG0001317	Aqcoe1G337200.1.p	FUN_027551-T2, FUN_027551-T5, FUN_027551-T4, FUN_027551-T3, FUN_027551-T1
