"Dm_00000013-RA",2	"Dm_00000013-RA",1
"Dm_00013079-RA",2	"Dm_00013079-RA",5
"Dm_00013145-RA",2	"Dm_00013145-RA",8
"Dm_00013158-RA",2	"Dm_00013158-RA",5
"Dm_00013162-RA",2	"Dm_00013162-RA",5
"Dm_00013182-RA",2	"Dm_00013182-RA",5
"Dm_00013212-RA",2	"Dm_00013212-RA",2
"Dm_00013260-RA",2	"Dm_00013260-RA",3
"Dm_00013278-RA",2	"Dm_00013278-RA",2
"Dm_00013309-RA",2	"Dm_00013309-RA",2
"Dm_00013313-RA",2	"Dm_00013313-RA",2
"Dm_00013325-RA",2	"Dm_00013325-RA",8
"Dm_00013342-RA",2	"Dm_00013342-RA",2
"Dm_00013350-RA",2	"Dm_00013350-RA",1
"Dm_00013409-RA",2	"Dm_00013409-RA",7
"Dm_00013551-RA",2	"Dm_00013551-RA",8
"Dm_00013557-RA",2	"Dm_00013557-RA",3
"Dm_00013565-RA",2	"Dm_00013565-RA",2
"Dm_00013567-RA",2	"Dm_00013567-RA",8
"Dm_00013600-RA",2	"Dm_00013600-RA",1
"Dm_00013606-RA",2	"Dm_00013606-RA",1
"Dm_00013646-RA",2	"Dm_00013646-RA",2
"Dm_00013656-RA",2	"Dm_00013656-RA",7
"Dm_00013832-RA",2	"Dm_00013832-RA",8
"Dm_00013854-RA",2	"Dm_00013854-RA",4
"Dm_00013870-RA",2	"Dm_00013870-RA",5
"Dm_00013980-RA",2	"Dm_00013980-RA",2
"Dm_00013993-RA",2	"Dm_00013993-RA",5
"Dm_00014119-RA",2	"Dm_00014119-RA",7
"Dm_00014180-RA",2	"Dm_00014180-RA",2
"Dm_00014262-RA",2	"Dm_00014262-RA",1
"Dm_00014282-RA",2	"Dm_00014282-RA",1
"Dm_00014283-RA",2	"Dm_00014283-RA",1
"Dm_00014338-RA",2	"Dm_00014338-RA",8
"Dm_00014356-RA",2	"Dm_00014356-RA",3
"Dm_00014366-RA",2	"Dm_00014366-RA",2
"Dm_00014392-RA",2	"Dm_00014392-RA",2
"Dm_00014413-RA",2	"Dm_00014413-RA",1
"Dm_00014489-RA",2	"Dm_00014489-RA",5
"Dm_00014669-RA",2	"Dm_00014669-RA",2
"Dm_00014690-RA",2	"Dm_00014690-RA",2
"Dm_00014701-RA",2	"Dm_00014701-RA",5
"Dm_00014726-RA",2	"Dm_00014726-RA",2
"Dm_00014758-RA",2	"Dm_00014758-RA",2
"Dm_00014761-RA",2	"Dm_00014761-RA",3
"Dm_00014767-RA",2	"Dm_00014767-RA",5
"Dm_00014782-RA",2	"Dm_00014782-RA",2
"Dm_00014785-RA",2	"Dm_00014785-RA",2
"Dm_00014796-RA",2	"Dm_00014796-RA",3
"Dm_00014803-RA",2	"Dm_00014803-RA",1
"Dm_00014810-RA",2	"Dm_00014810-RA",1
"Dm_00014896-RA",2	"Dm_00014896-RA",1
"Dm_00015080-RA",2	"Dm_00015080-RA",5
"Dm_00015098-RA",2	"Dm_00015098-RA",2
"Dm_00015199-RA",2	"Dm_00015199-RA",2
"Dm_00015211-RA",2	"Dm_00015211-RA",2
"Dm_00015225-RA",2	"Dm_00015225-RA",7
"Dm_00015232-RA",2	"Dm_00015232-RA",8
"Dm_00015327-RA",2	"Dm_00015327-RA",2
"Dm_00015363-RA",2	"Dm_00015363-RA",1
"Dm_00015376-RA",2	"Dm_00015376-RA",6
"Dm_00015386-RA",2	"Dm_00015386-RA",8
"Dm_00015394-RA",2	"Dm_00015394-RA",3
"Dm_00015398-RA",2	"Dm_00015398-RA",8
"Dm_00015417-RA",2	"Dm_00015417-RA",3
"Dm_00015419-RA",2	"Dm_00015419-RA",2
"Dm_00015439-RA",2	"Dm_00015439-RA",1
"Dm_00015490-RA",2	"Dm_00015490-RA",5
"Dm_00015696-RA",2	"Dm_00015696-RA",7
"Dm_00015698-RA",2	"Dm_00015698-RA",2
"Dm_00015771-RA",2	"Dm_00015771-RA",1
"Dm_00015786-RA",2	"Dm_00015786-RA",1
"Dm_00015827-RA",2	"Dm_00015827-RA",2
"Dm_00015888-RA",2	"Dm_00015888-RA",2
"Dm_00015937-RA",2	"Dm_00015937-RA",2
"Dm_00015946-RA",2	"Dm_00015946-RA",1
"Dm_00015992-RA",2	"Dm_00015992-RA",1
"Dm_00016000-RA",2	"Dm_00016000-RA",5
"Dm_00016050-RA",2	"Dm_00016050-RA",1
"Dm_00016062-RA",2	"Dm_00016062-RA",2
"Dm_00016099-RA",2	"Dm_00016099-RA",2
"Dm_00016105-RA",2	"Dm_00016105-RA",5
"Dm_00016261-RA",2	"Dm_00016261-RA",7
"Dm_00016339-RA",2	"Dm_00016339-RA",8
"Dm_00016347-RA",2	"Dm_00016347-RA",1
"Dm_00016349-RA",2	"Dm_00016349-RA",2
"Dm_00016379-RA",2	"Dm_00016379-RA",2
"Dm_00016383-RA",2	"Dm_00016383-RA",8
"Dm_00016390-RA",2	"Dm_00016390-RA",5
"Dm_00016421-RA",2	"Dm_00016421-RA",2
"Dm_00016447-RA",2	"Dm_00016447-RA",2
"Dm_00016479-RA",2	"Dm_00016479-RA",2
"Dm_00016481-RA",2	"Dm_00016481-RA",1
"Dm_00016483-RA",2	"Dm_00016483-RA",2
"Dm_00016523-RA",2	"Dm_00016523-RA",2
"Dm_00016527-RA",2	"Dm_00016527-RA",4
"Dm_00016530-RA",2	"Dm_00016530-RA",2
"Dm_00016581-RA",2	"Dm_00016581-RA",7
"Dm_00016591-RA",2	"Dm_00016591-RA",4
"Dm_00016611-RA",2	"Dm_00016611-RA",2
"Dm_00016651-RA",2	"Dm_00016651-RA",1
"Dm_00016664-RA",2	"Dm_00016664-RA",2
"Dm_00016675-RA",2	"Dm_00016675-RA",8
"Dm_00016748-RA",2	"Dm_00016748-RA",1
"Dm_00016803-RA",2	"Dm_00016803-RA",2
"Dm_00016820-RA",2	"Dm_00016820-RA",2
"Dm_00016821-RA",2	"Dm_00016821-RA",1
"Dm_00016825-RA",2	"Dm_00016825-RA",2
"Dm_00016884-RA",2	"Dm_00016884-RA",2
"Dm_00016891-RA",2	"Dm_00016891-RA",2
"Dm_00016894-RA",2	"Dm_00016894-RA",5
"Dm_00016899-RA",2	"Dm_00016899-RA",6
"Dm_00016996-RA",2	"Dm_00016996-RA",2
"Dm_00017058-RA",2	"Dm_00017058-RA",2
"Dm_00017091-RA",2	"Dm_00017091-RA",7
"Dm_00017131-RA",2	"Dm_00017131-RA",5
"Dm_00017236-RA",2	"Dm_00017236-RA",5
"Dm_00017254-RA",2	"Dm_00017254-RA",1
"Dm_00017304-RA",2	"Dm_00017304-RA",8
"Dm_00017335-RA",2	"Dm_00017335-RA",7
"Dm_00017343-RA",2	"Dm_00017343-RA",8
"Dm_00017384-RA",2	"Dm_00017384-RA",2
"Dm_00017562-RA",2	"Dm_00017562-RA",8
"Dm_00017582-RA",2	"Dm_00017582-RA",5
"Dm_00017620-RA",2	"Dm_00017620-RA",7
"Dm_00017632-RA",2	"Dm_00017632-RA",2
"Dm_00017651-RA",2	"Dm_00017651-RA",2
"Dm_00017694-RA",2	"Dm_00017694-RA",1
"Dm_00017695-RA",2	"Dm_00017695-RA",8
"Dm_00017780-RA",2	"Dm_00017780-RA",6
"Dm_00017781-RA",2	"Dm_00017781-RA",6
"Dm_00017787-RA",2	"Dm_00017787-RA",2
"Dm_00017810-RA",2	"Dm_00017810-RA",7
"Dm_00017967-RA",2	"Dm_00017967-RA",8
"Dm_00017975-RA",2	"Dm_00017975-RA",1
"Dm_00018048-RA",2	"Dm_00018048-RA",4
"Dm_00018051-RA",2	"Dm_00018051-RA",2
"Dm_00018068-RA",2	"Dm_00018068-RA",2
"Dm_00018077-RA",2	"Dm_00018077-RA",8
"Dm_00018130-RA",2	"Dm_00018130-RA",6
"Dm_00018141-RA",2	"Dm_00018141-RA",7
"Dm_00018144-RA",2	"Dm_00018144-RA",1
"Dm_00018222-RA",2	"Dm_00018222-RA",1
"Dm_00018313-RA",2	"Dm_00018313-RA",6
"Dm_00018338-RA",2	"Dm_00018338-RA",2
"Dm_00018343-RA",2	"Dm_00018343-RA",1
"Dm_00018387-RA",2	"Dm_00018387-RA",8
"Dm_00018389-RA",2	"Dm_00018389-RA",2
"Dm_00018428-RA",2	"Dm_00018428-RA",8
"Dm_00018495-RA",2	"Dm_00018495-RA",8
"Dm_00018514-RA",2	"Dm_00018514-RA",8
"Dm_00018536-RA",2	"Dm_00018536-RA",7
"Dm_00018574-RA",2	"Dm_00018574-RA",3
"Dm_00018575-RA",2	"Dm_00018575-RA",5
"Dm_00018606-RA",2	"Dm_00018606-RA",5
"Dm_00018615-RA",2	"Dm_00018615-RA",2
"Dm_00018637-RA",2	"Dm_00018637-RA",5
"Dm_00018647-RA",2	"Dm_00018647-RA",2
"Dm_00018650-RA",2	"Dm_00018650-RA",2
"Dm_00018680-RA",2	"Dm_00018680-RA",3
"Dm_00018692-RA",2	"Dm_00018692-RA",3
"Dm_00018695-RA",2	"Dm_00018695-RA",2
"Dm_00018794-RA",2	"Dm_00018794-RA",2
"Dm_00018812-RA",2	"Dm_00018812-RA",3
"Dm_00018840-RA",2	"Dm_00018840-RA",2
"Dm_00018845-RA",2	"Dm_00018845-RA",4
"Dm_00018969-RA",2	"Dm_00018969-RA",2
"Dm_00018986-RA",2	"Dm_00018986-RA",4
"Dm_00019001-RA",2	"Dm_00019001-RA",8
"Dm_00019056-RA",2	"Dm_00019056-RA",2
"Dm_00019080-RA",2	"Dm_00019080-RA",2
"Dm_00019103-RA",2	"Dm_00019103-RA",2
"Dm_00019117-RA",2	"Dm_00019117-RA",7
"Dm_00019135-RA",2	"Dm_00019135-RA",2
"Dm_00019145-RA",2	"Dm_00019145-RA",1
"Dm_00019198-RA",2	"Dm_00019198-RA",1
"Dm_00019216-RA",2	"Dm_00019216-RA",2
"Dm_00019224-RA",2	"Dm_00019224-RA",2
"Dm_00019230-RA",2	"Dm_00019230-RA",3
"Dm_00019244-RA",2	"Dm_00019244-RA",5
"Dm_00019279-RA",2	"Dm_00019279-RA",2
"Dm_00019298-RA",2	"Dm_00019298-RA",2
"Dm_00019309-RA",2	"Dm_00019309-RA",5
"Dm_00019331-RA",2	"Dm_00019331-RA",1
"Dm_00019359-RA",2	"Dm_00019359-RA",2
"Dm_00019497-RA",2	"Dm_00019497-RA",2
"Dm_00019502-RA",2	"Dm_00019502-RA",8
"Dm_00019560-RA",2	"Dm_00019560-RA",2
"Dm_00019614-RA",2	"Dm_00019614-RA",4
"Dm_00019617-RA",2	"Dm_00019617-RA",1
"Dm_00019668-RA",2	"Dm_00019668-RA",2
"Dm_00019708-RA",2	"Dm_00019708-RA",2
"Dm_00019718-RA",2	"Dm_00019718-RA",2
"Dm_00019742-RA",2	"Dm_00019742-RA",7
"Dm_00019759-RA",2	"Dm_00019759-RA",8
"Dm_00019763-RA",2	"Dm_00019763-RA",2
"Dm_00019769-RA",2	"Dm_00019769-RA",2
"Dm_00019774-RA",2	"Dm_00019774-RA",2
"Dm_00019782-RA",2	"Dm_00019782-RA",2
"Dm_00019830-RA",2	"Dm_00019830-RA",8
"Dm_00019980-RA",2	"Dm_00019980-RA",2
"Dm_00019983-RA",2	"Dm_00019983-RA",2
"Dm_00019998-RA",2	"Dm_00019998-RA",1
"Dm_00020000-RA",2	"Dm_00020000-RA",2
"Dm_00020013-RA",2	"Dm_00020013-RA",2
"Dm_00020022-RA",2	"Dm_00020022-RA",1
"Dm_00020094-RA",2	"Dm_00020094-RA",2
"Dm_00020222-RA",2	"Dm_00020222-RA",5
"Dm_00020237-RA",2	"Dm_00020237-RA",1
"Dm_00020324-RA",2	"Dm_00020324-RA",5
"Dm_00020338-RA",2	"Dm_00020338-RA",2
"Dm_00020358-RA",2	"Dm_00020358-RA",1
"Dm_00020379-RA",2	"Dm_00020379-RA",6
"Dm_00020427-RA",2	"Dm_00020427-RA",2
"Dm_00020444-RA",2	"Dm_00020444-RA",4
"Dm_00020511-RA",2	"Dm_00020511-RA",2
"Dm_00020569-RA",2	"Dm_00020569-RA",8
"Dm_00020641-RA",2	"Dm_00020641-RA",1
"Dm_00020642-RA",2	"Dm_00020642-RA",2
"Dm_00020676-RA",2	"Dm_00020676-RA",5
"Dm_00020716-RA",2	"Dm_00020716-RA",7
"Dm_00020766-RA",2	"Dm_00020766-RA",2
"Dm_00020767-RA",2	"Dm_00020767-RA",2
"Dm_00020779-RA",2	"Dm_00020779-RA",1
"Dm_00020781-RA",2	"Dm_00020781-RA",5
"Dm_00020813-RA",2	"Dm_00020813-RA",2
"Dm_00020839-RA",2	"Dm_00020839-RA",6
"Dm_00020865-RA",2	"Dm_00020865-RA",7
"Dm_00020954-RA",2	"Dm_00020954-RA",8
"Dm_00020970-RA",2	"Dm_00020970-RA",8
"Dm_00020993-RA",2	"Dm_00020993-RA",2
"Dm_00021005-RA",2	"Dm_00021005-RA",2
"Dm_00021051-RA",2	"Dm_00021051-RA",2
"Dm_00021052-RA",2	"Dm_00021052-RA",3
"Dm_00021089-RA",2	"Dm_00021089-RA",3
"Dm_00021120-RA",2	"Dm_00021120-RA",2
"Dm_00021132-RA",2	"Dm_00021132-RA",5
