Orthogroup	G_max.proteins	V_vinifera.proteins
OG0001501	GmISU01.03G187300.1.p	VIT_214s0060g00550.1, VIT_214s0060g00550.2
OG0001501	GmISU01.02G033000.1.p, GmISU01.01G027000.1.p, GmISU01.08G148200.2.p, GmISU01.08G148200.1.p	VIT_201s0127g00260.1, VIT_201s0127g00260.2
OG0001503	GmISU01.09G012800.1.p, GmISU01.15G109500.2.p, GmISU01.07G229700.1.p, GmISU01.17G005200.1.p, GmISU01.17G005200.2.p	VIT_200s0259g00100.4, VIT_200s0259g00100.1, VIT_200s0259g00100.3, VIT_200s0259g00100.2, VIT_200s0259g00070.2, VIT_200s0259g00070.1, VIT_200s0259g00010.2, VIT_200s0259g00010.1, VIT_200s2419g00010.1, VIT_200s0194g00340.1, VIT_200s0194g00340.2, VIT_200s0194g00300.1, VIT_200s0194g00330.1, VIT_200s0194g00330.2, VIT_200s0753g00010.1
OG0001512	GmISU01.02G232000.3.p, GmISU01.02G232000.2.p, GmISU01.02G232000.6.p, GmISU01.02G232000.7.p, GmISU01.02G232000.5.p, GmISU01.02G232000.1.p, GmISU01.02G232000.4.p, GmISU01.14G041500.4.p, GmISU01.14G041500.5.p, GmISU01.14G041500.3.p, GmISU01.14G041500.2.p, GmISU01.14G041500.1.p	VIT_204s0069g00890.2, VIT_204s0069g00890.1, VIT_204s0069g00890.4, VIT_204s0069g00890.5, VIT_204s0069g00890.3
OG0001513	GmISU01.15G190500.1.p	VIT_219s0085g00440.1
OG0001514	GmISU01.11G170000.1.p, GmISU01.18G049600.1.p, GmISU01.18G039500.1.p, GmISU01.11G195200.1.p	VIT_214s0060g00300.1
OG0001515	GmISU01.14G098650.1.p	VIT_211s0016g02030.1
OG0001516	GmISU01.07G188200.2.p, GmISU01.07G188200.3.p, GmISU01.07G188200.1.p, GmISU01.20G016400.1.p, GmISU01.07G188200.4.p, GmISU01.20G016400.2.p	VIT_201s0011g01680.2, VIT_201s0011g01680.1, VIT_201s0011g01680.5, VIT_201s0011g01680.6, VIT_201s0011g01680.4, VIT_201s0011g01680.3
OG0001516	GmISU01.11G156600.4.p, GmISU01.11G156600.3.p, GmISU01.12G071000.1.p, GmISU01.11G156600.2.p	VIT_206s0061g00270.1
OG0001517	GmISU01.20G060500.1.p, GmISU01.10G007100.1.p, GmISU01.02G256300.1.p, GmISU01.10G153300.1.p, GmISU01.20G163100.1.p	VIT_205s0049g00200.1
OG0001517	GmISU01.03G124900.1.p, GmISU01.19G128900.2.p, GmISU01.19G128900.1.p, GmISU01.13G093700.1.p, GmISU01.10G032400.1.p	VIT_205s0049g00210.2, VIT_205s0049g00210.1, VIT_205s0049g00210.3
OG0001518	GmISU01.18G150900.1.p, GmISU01.07G131500.1.p, GmISU01.03G044800.1.p, GmISU01.01G092100.1.p	VIT_208s0105g00380.1, VIT_208s0105g00380.2
OG0001518	GmISU01.11G209600.1.p, GmISU01.18G024500.1.p, GmISU01.02G219200.1.p, GmISU01.02G219200.2.p, GmISU01.14G054600.1.p	VIT_213s0067g01020.2, VIT_213s0067g01020.1
OG0001519	GmISU01.18G022800.3.p, GmISU01.18G022800.4.p, GmISU01.18G022800.2.p, GmISU01.18G022800.7.p, GmISU01.18G022800.6.p, GmISU01.18G022800.5.p, GmISU01.05G070000.2.p, GmISU01.05G070000.1.p	VIT_213s0067g01780.6, VIT_213s0067g01780.3, VIT_213s0067g01780.9, VIT_213s0067g01780.7, VIT_213s0067g01780.1, VIT_213s0067g01780.2, VIT_213s0067g01780.4, VIT_213s0067g01800.2, VIT_213s0067g01800.4, VIT_213s0067g01800.1, VIT_213s0067g01800.3
OG0001520	GmISU01.03G057900.2.p, GmISU01.01G084600.1.p, GmISU01.03G057900.4.p, GmISU01.03G057900.3.p, GmISU01.01G084600.2.p	VIT_213s0067g03370.1
OG0001520	GmISU01.14G058500.1.p, GmISU01.02G215300.1.p, GmISU01.18G029200.1.p, GmISU01.11G205000.1.p	VIT_213s0019g03230.9, VIT_213s0019g03230.8, VIT_213s0019g03230.6, VIT_213s0019g03230.11, VIT_213s0019g03230.2, VIT_213s0019g03230.3, VIT_213s0019g03230.12, VIT_213s0019g03230.1, VIT_213s0019g03230.4, VIT_213s0019g03230.10, VIT_213s0019g03230.7, VIT_213s0019g03230.5
OG0001521	GmISU01.17G021500.2.p, GmISU01.17G021500.1.p, GmISU01.07G212600.2.p, GmISU01.07G212600.1.p, GmISU01.13G184100.1.p, GmISU01.15G088900.1.p	VIT_205s0020g01650.1, VIT_205s0020g01650.3, VIT_205s0020g01650.2
OG0001521	GmISU01.10G019000.1.p, GmISU01.02G138400.6.p, GmISU01.02G138300.1.p, GmISU01.10G019100.1.p, GmISU01.02G138400.1.p	VIT_207s0104g01460.1
OG0001523	GmISU01.10G251400.2.p, GmISU01.10G251400.1.p, GmISU01.20G202500.8.p	VIT_206s0004g01200.1
OG0001523	GmISU01.06G159200.3.p, GmISU01.06G159200.2.p, GmISU01.04G154600.1.p, GmISU01.06G159200.1.p	VIT_217s0000g10010.3, VIT_217s0000g10010.4, VIT_217s0000g10010.1, VIT_217s0000g10010.2
OG0001524	GmISU01.06G040600.9.p, GmISU01.06G040600.1.p, GmISU01.06G040600.10.p, GmISU01.06G040600.8.p, GmISU01.06G040600.6.p, GmISU01.06G040600.3.p, GmISU01.06G040600.4.p, GmISU01.06G040600.2.p, GmISU01.06G040600.5.p, GmISU01.06G040600.7.p, GmISU01.04G041400.1.p, GmISU01.04G041400.4.p, GmISU01.04G041400.2.p, GmISU01.04G041400.6.p, GmISU01.04G041400.7.p, GmISU01.04G041400.3.p, GmISU01.04G041400.5.p, GmISU01.17G205800.6.p, GmISU01.14G082200.3.p, GmISU01.17G205800.3.p, GmISU01.14G082200.1.p	VIT_218s0001g09310.3, VIT_218s0001g09310.2, VIT_218s0001g09310.1
OG0001525	GmISU01.19G106400.3.p, GmISU01.19G106400.2.p, GmISU01.19G106400.1.p, GmISU01.19G106400.5.p, GmISU01.19G106400.4.p, GmISU01.03G102500.6.p, GmISU01.10G081700.6.p, GmISU01.10G081700.3.p, GmISU01.10G081700.5.p, GmISU01.10G081700.2.p, GmISU01.10G081700.4.p, GmISU01.02G158100.2.p	VIT_208s0007g08690.2, VIT_208s0007g08690.1
OG0001526	GmISU01.15G171500.1.p, GmISU01.13G031000.1.p, GmISU01.03G157600.1.p, GmISU01.08G105000.1.p, GmISU01.11G205700.1.p, GmISU01.08G104900.1.p, GmISU01.05G130300.2.p	VIT_210s0003g02650.3, VIT_210s0003g02650.1, VIT_210s0003g02650.2
OG0001527	GmISU01.03G198700.1.p, GmISU01.03G198900.1.p, GmISU01.13G184300.1.p, GmISU01.19G199800.1.p, GmISU01.19G200000.1.p, GmISU01.15G088700.1.p	VIT_206s0080g00740.1, VIT_208s0007g03020.3
OG0001528	GmISU01.08G322800.1.p, GmISU01.08G322800.8.p, GmISU01.08G322800.7.p, GmISU01.08G322800.6.p, GmISU01.18G241000.1.p	VIT_206s0004g01270.1
OG0001528	GmISU01.08G145800.2.p, GmISU01.08G145800.1.p, GmISU01.15G222900.1.p	VIT_213s0156g00210.1
OG0001529	GmISU01.20G114000.1.p, GmISU01.20G114000.2.p, GmISU01.10G206900.3.p, GmISU01.10G206900.2.p, GmISU01.10G206900.4.p, GmISU01.10G206900.1.p, GmISU01.01G194000.2.p, GmISU01.11G006200.2.p, GmISU01.01G194000.1.p, GmISU01.11G006200.1.p	VIT_214s0030g01800.5, VIT_214s0030g01800.4, VIT_214s0030g01800.3, VIT_214s0030g01800.7, VIT_214s0030g01800.6, VIT_214s0030g01800.2, VIT_214s0030g01800.1, VIT_205s0020g03880.1, VIT_205s0020g03880.3, VIT_205s0020g03880.2
OG0001530	GmISU01.12G048700.4.p, GmISU01.12G048700.5.p, GmISU01.12G048700.1.p, GmISU01.12G048700.2.p, GmISU01.11G118000.2.p, GmISU01.11G118000.1.p, GmISU01.15G029600.1.p, GmISU01.13G302300.1.p	VIT_205s0102g00160.1, VIT_205s0102g00160.2
OG0001531	GmISU01.20G036300.6.p, GmISU01.20G036300.7.p, GmISU01.20G036300.4.p, GmISU01.20G036300.3.p, GmISU01.20G036300.2.p, GmISU01.20G036300.5.p, GmISU01.20G036300.1.p, GmISU01.13G052000.1.p, GmISU01.13G052000.2.p, GmISU01.02G234300.3.p, GmISU01.02G234300.6.p, GmISU01.02G234300.5.p, GmISU01.02G234300.4.p, GmISU01.02G234300.2.p, GmISU01.14G039100.2.p, GmISU01.14G039100.5.p, GmISU01.14G039100.8.p, GmISU01.14G039100.4.p, GmISU01.14G039100.3.p, GmISU01.14G039100.1.p, GmISU01.14G039100.6.p, GmISU01.14G039100.7.p	VIT_206s0009g01600.1, VIT_218s0117g00580.1
OG0001532	GmISU01.19G156000.2.p, GmISU01.19G156000.1.p	VIT_208s0007g03710.1
OG0001533	GmISU01.07G203100.2.p, GmISU01.07G203100.3.p, GmISU01.07G203100.1.p, GmISU01.07G203100.4.p, GmISU01.17G030100.2.p, GmISU01.17G030100.3.p, GmISU01.17G030100.10.p, GmISU01.17G030100.9.p, GmISU01.09G033400.4.p, GmISU01.09G033400.2.p	VIT_205s0077g00920.2, VIT_205s0077g00920.3, VIT_205s0077g00920.1, VIT_205s0077g00920.4, VIT_205s0077g00920.5
OG0001534	GmISU01.05G130800.2.p, GmISU01.05G130800.1.p, GmISU01.08G105500.1.p, GmISU01.08G105500.2.p, GmISU01.18G000400.1.p	VIT_206s0004g00690.2, VIT_206s0004g00690.1
OG0001534	GmISU01.02G147500.1.p, GmISU01.02G147500.2.p, GmISU01.09G086000.2.p	VIT_208s0007g07190.2, VIT_208s0007g07190.1
OG0001535	GmISU01.14G053000.3.p, GmISU01.14G053000.1.p, GmISU01.02G225000.3.p, GmISU01.02G225000.1.p, GmISU01.02G225000.2.p, GmISU01.11G210900.1.p, GmISU01.18G023100.1.p, GmISU01.18G023100.2.p	VIT_213s0067g01550.1
OG0001535	GmISU01.18G055000.1.p, GmISU01.11G175200.1.p	VIT_206s0004g07030.1, VIT_206s0004g07030.2, VIT_206s0004g07030.3
OG0001536	GmISU01.06G221400.1.p	VIT_200s0286g00100.1, VIT_200s0286g00030.1, VIT_200s0286g00050.1
OG0001537	GmISU01.11G203400.2.p, GmISU01.11G203400.3.p, GmISU01.11G203400.1.p, GmISU01.18G031600.1.p, GmISU01.18G031700.1.p	VIT_213s0019g02460.2, VIT_213s0019g02460.7, VIT_213s0019g02460.6, VIT_213s0019g02460.5, VIT_213s0019g02460.3, VIT_213s0019g02460.4, VIT_213s0019g02460.1
OG0001537	GmISU01.18G141700.1.p, GmISU01.07G122200.2.p, GmISU01.07G122200.1.p, GmISU01.03G053700.1.p, GmISU01.01G081200.1.p	VIT_208s0007g01320.1
OG0001539	GmISU01.13G146000.4.p, GmISU01.13G146000.5.p, GmISU01.13G146000.13.p, GmISU01.13G146000.12.p, GmISU01.13G146000.11.p, GmISU01.13G146000.10.p, GmISU01.13G146000.9.p, GmISU01.13G146000.6.p, GmISU01.13G146000.7.p, GmISU01.13G146000.1.p, GmISU01.13G146000.3.p, GmISU01.13G146000.2.p, GmISU01.13G146000.8.p	VIT_215s0024g00240.3, VIT_215s0024g00240.4, VIT_215s0024g00240.2, VIT_215s0024g00240.5, VIT_215s0024g00240.1
OG0001540	GmISU01.14G010300.1.p, GmISU01.02G261600.1.p	VIT_219s0015g01350.1, VIT_219s0015g01350.3
OG0001540	GmISU01.03G103600.4.p, GmISU01.03G103600.1.p, GmISU01.03G103600.3.p	VIT_208s0007g08310.7, VIT_208s0007g08310.2, VIT_208s0007g08310.1, VIT_208s0007g08310.8, VIT_208s0007g08310.9, VIT_208s0007g08310.6, VIT_208s0007g08310.4, VIT_208s0007g08310.3, VIT_208s0007g08310.5
OG0001541	GmISU01.17G133300.1.p, GmISU01.05G058100.1.p, GmISU01.01G166300.1.p, GmISU01.11G033000.1.p	VIT_216s0013g00900.1, VIT_216s0013g01030.1, VIT_216s0013g00990.1, VIT_216s0013g00970.1, VIT_216s0013g01064.1, VIT_216s0013g01070.1, VIT_216s0013g01050.1, VIT_216s0013g01060.1, VIT_216s0013g00980.1, VIT_216s0013g00950.1, VIT_216s0013g01090.1, VIT_216s0013g01000.1, VIT_216s0013g01110.1, VIT_216s0013g01080.1
OG0001542	GmISU01.15G165300.1.p, GmISU01.15G165500.1.p, GmISU01.09G070400.1.p, GmISU01.15G165400.1.p, GmISU01.09G070500.1.p, GmISU01.13G089600.1.p, GmISU01.17G038100.1.p	VIT_205s0020g01010.1, VIT_205s0020g01000.1, VIT_205s0020g00980.1, VIT_205s0020g01030.1
OG0001543	GmISU01.20G074900.3.p, GmISU01.20G074900.2.p, GmISU01.20G074900.1.p, GmISU01.10G241600.1.p	VIT_203s0038g02980.2, VIT_203s0038g02980.1, VIT_203s0038g03030.1
OG0001544	GmISU01.08G125100.1.p, GmISU01.05G149400.1.p	VIT_200s0983g00010.1, VIT_200s0324g00020.2, VIT_200s0817g00010.1, VIT_200s0324g00020.1
OG0001544	GmISU01.13G062500.1.p	VIT_218s0001g05710.1, VIT_218s0001g05710.4, VIT_218s0001g05710.3, VIT_218s0001g05710.2
OG0001544	GmISU01.08G166000.1.p, GmISU01.15G050600.1.p	VIT_212s0028g00540.1
OG0001545	GmISU01.14G082700.1.p, GmISU01.17G205300.1.p	VIT_218s0001g09210.1
OG0001545	GmISU01.10G217900.1.p, GmISU01.20G100500.1.p, GmISU01.20G100400.1.p, GmISU01.10G218000.1.p	VIT_203s0091g00730.1
OG0001546	GmISU01.02G120800.4.p, GmISU01.02G120800.2.p, GmISU01.02G120800.3.p, GmISU01.02G120800.6.p, GmISU01.02G120800.8.p, GmISU01.02G120800.1.p, GmISU01.02G120800.7.p, GmISU01.07G178300.2.p, GmISU01.07G178300.1.p	VIT_203s0063g01030.2, VIT_203s0063g01030.3, VIT_203s0063g01030.1
OG0001547	GmISU01.20G007700.1.p, GmISU01.07G150800.1.p	VIT_203s0063g01340.1
OG0001548	GmISU01.06G081900.1.p, GmISU01.04G080200.1.p	VIT_218s0001g08310.1
OG0001549	GmISU01.05G150200.1.p, GmISU01.08G126000.1.p, GmISU01.18G015700.1.p	VIT_200s0665g00040.1
OG0001549	GmISU01.11G036300.1.p, GmISU01.01G162100.1.p	VIT_202s0012g00710.1, VIT_215s0021g00640.1, VIT_215s0021g00640.3
OG0001550	GmISU01.07G196700.2.p, GmISU01.07G196700.1.p, GmISU01.20G030100.1.p	VIT_213s0047g01180.1
OG0001551	GmISU01.19G114800.1.p, GmISU01.03G109800.1.p	VIT_208s0007g05730.1, VIT_206s0004g01230.1
OG0001552	GmISU01.10G239800.6.p, GmISU01.10G239800.9.p, GmISU01.10G239800.1.p, GmISU01.10G239800.7.p, GmISU01.10G239800.2.p, GmISU01.10G239800.4.p, GmISU01.10G239800.5.p, GmISU01.20G076600.6.p, GmISU01.20G076600.4.p, GmISU01.20G076600.10.p, GmISU01.20G076600.2.p, GmISU01.20G076600.5.p, GmISU01.20G076600.8.p, GmISU01.20G076600.9.p, GmISU01.20G076600.1.p, GmISU01.20G076600.7.p, GmISU01.20G076600.3.p	VIT_203s0038g02570.4, VIT_203s0038g02570.3, VIT_203s0038g02570.1, VIT_203s0038g02570.2
OG0001553	GmISU01.06G037400.1.p, GmISU01.04G037900.1.p, GmISU01.04G053800.1.p, GmISU01.04G037800.1.p, GmISU01.08G003000.1.p, GmISU01.04G037700.1.p, GmISU01.06G037500.1.p, GmISU01.04G037500.1.p, GmISU01.04G037600.1.p	VIT_218s0001g10180.1
OG0001554	GmISU01.11G093500.1.p, GmISU01.11G093500.4.p, GmISU01.11G093500.6.p, GmISU01.11G093500.2.p, GmISU01.11G093500.3.p, GmISU01.11G093500.5.p, GmISU01.12G025100.8.p, GmISU01.12G025100.9.p, GmISU01.12G025100.4.p, GmISU01.12G025100.7.p, GmISU01.12G025100.6.p, GmISU01.12G025100.1.p, GmISU01.12G025100.5.p, GmISU01.12G025100.3.p, GmISU01.12G025100.13.p, GmISU01.12G025100.12.p, GmISU01.12G025100.16.p, GmISU01.12G025100.15.p, GmISU01.12G025100.17.p, GmISU01.12G025100.14.p, GmISU01.12G025100.10.p, GmISU01.12G025100.11.p	VIT_201s0011g02220.1
OG0001555	GmISU01.11G009100.1.p	VIT_204s0023g01440.5, VIT_204s0023g01440.3, VIT_204s0023g01440.6, VIT_204s0023g01440.8, VIT_204s0023g01440.2, VIT_204s0023g01440.1, VIT_204s0023g01440.4, VIT_204s0023g01440.7, VIT_204s0023g01440.10, VIT_204s0023g01440.9
OG0001556	GmISU01.15G174500.1.p, GmISU01.09G079700.1.p, GmISU01.13G136800.1.p, GmISU01.17G097700.1.p	VIT_211s0118g00600.1
OG0001556	GmISU01.11G140000.1.p, GmISU01.11G140000.3.p, GmISU01.01G063900.1.p	VIT_215s0048g00580.1
OG0001557	GmISU01.12G191700.4.p, GmISU01.12G191700.3.p, GmISU01.12G191700.2.p, GmISU01.13G235600.2.p, GmISU01.13G235600.1.p, GmISU01.13G007500.6.p, GmISU01.13G007500.7.p, GmISU01.13G007500.5.p, GmISU01.13G007500.2.p, GmISU01.13G007500.4.p, GmISU01.13G007500.3.p, GmISU01.13G007500.1.p	VIT_219s0014g01810.5, VIT_219s0014g01810.3, VIT_219s0014g01810.2, VIT_219s0014g01810.1, VIT_219s0014g01810.4
OG0001558	GmISU01.10G061500.1.p, GmISU01.10G061500.6.p, GmISU01.10G061500.5.p, GmISU01.10G061500.8.p	VIT_213s0064g01150.1
OG0001559	GmISU01.17G104500.1.p, GmISU01.13G138000.2.p, GmISU01.13G138000.1.p	VIT_211s0016g05420.1, VIT_211s0016g05420.3, VIT_211s0016g05420.2
OG0001559	GmISU01.04G082700.1.p, GmISU01.06G084000.1.p, GmISU01.02G182800.1.p	VIT_218s0001g07980.4, VIT_218s0001g07980.2, VIT_218s0001g07980.5, VIT_218s0001g07980.6, VIT_218s0001g07980.1, VIT_218s0001g07980.3
OG0001560	GmISU01.06G021400.1.p	VIT_200s0216g00040.1
OG0001560	GmISU01.11G090100.1.p, GmISU01.12G022100.1.p, GmISU01.04G005600.1.p, GmISU01.04G005600.4.p, GmISU01.06G005100.1.p	VIT_203s0038g01470.1
OG0001561	GmISU01.19G062400.2.p, GmISU01.19G062400.3.p, GmISU01.19G062400.1.p, GmISU01.19G062400.4.p, GmISU01.16G056900.2.p, GmISU01.16G056900.4.p, GmISU01.16G056900.1.p, GmISU01.16G056900.5.p, GmISU01.16G056900.3.p, GmISU01.19G059300.1.p, GmISU01.19G059300.2.p	VIT_214s0171g00490.3, VIT_214s0171g00490.4, VIT_214s0171g00490.6, VIT_214s0171g00490.9, VIT_214s0171g00490.1, VIT_214s0171g00490.5, VIT_214s0171g00490.8, VIT_214s0171g00490.7, VIT_214s0171g00490.11, VIT_214s0171g00490.12, VIT_214s0171g00490.10, VIT_214s0171g00490.2
OG0001562	GmISU01.07G053400.1.p, GmISU01.16G024000.1.p, GmISU01.19G213600.1.p, GmISU01.03G212800.1.p	VIT_215s0046g01230.2, VIT_215s0046g01230.1
OG0001562	GmISU01.05G183200.1.p, GmISU01.08G019600.1.p, GmISU01.08G019700.1.p	VIT_202s0025g01200.2, VIT_202s0025g01200.4, VIT_202s0025g01200.1, VIT_202s0025g01200.3
OG0001563	GmISU01.08G023700.1.p, GmISU01.05G187600.1.p, GmISU01.05G187600.3.p, GmISU01.05G187400.1.p, GmISU01.08G023500.1.p	VIT_216s0098g01580.2, VIT_202s0025g02140.2, VIT_216s0098g01580.1, VIT_202s0025g02140.1
OG0001564	GmISU01.08G210300.3.p, GmISU01.08G210300.5.p, GmISU01.08G210300.1.p, GmISU01.07G000700.1.p	VIT_209s0054g01600.1
OG0001566	GmISU01.14G092100.1.p, GmISU01.17G196300.2.p, GmISU01.17G196300.1.p, GmISU01.04G048400.1.p	VIT_204s0008g01110.4, VIT_204s0008g01110.3, VIT_204s0008g01110.2, VIT_204s0008g01110.1
OG0001567	GmISU01.04G170900.2.p, GmISU01.04G170900.1.p, GmISU01.06G142200.1.p	VIT_204s0044g01560.1, VIT_204s0044g01560.5, VIT_204s0044g01560.4, VIT_204s0044g01560.3, VIT_204s0044g01560.2
OG0001568	GmISU01.20G125000.5.p, GmISU01.20G125000.2.p, GmISU01.20G125000.3.p, GmISU01.20G125000.6.p, GmISU01.20G125000.4.p, GmISU01.20G125000.1.p, GmISU01.10G195000.3.p, GmISU01.10G195000.6.p, GmISU01.10G195000.2.p, GmISU01.10G195000.4.p, GmISU01.16G152600.2.p, GmISU01.16G152600.1.p, GmISU01.16G152600.3.p, GmISU01.09G107000.2.p, GmISU01.09G107000.3.p, GmISU01.09G107000.1.p	VIT_216s0050g00770.6, VIT_216s0050g00770.5, VIT_216s0050g00770.7, VIT_216s0050g00770.2, VIT_216s0050g00770.3, VIT_216s0050g00770.4, VIT_216s0050g00770.1
OG0001569	GmISU01.08G186400.1.p, GmISU01.07G013300.2.p, GmISU01.07G013300.1.p	VIT_209s0002g03360.1
OG0001569	GmISU01.05G193500.3.p, GmISU01.05G193500.2.p, GmISU01.05G193500.1.p, GmISU01.08G030600.2.p, GmISU01.08G030600.1.p, GmISU01.07G110000.1.p, GmISU01.01G006500.2.p, GmISU01.01G006500.1.p	VIT_211s0016g03030.3, VIT_211s0016g03030.1, VIT_211s0016g03030.2
OG0001570	GmISU01.20G030600.2.p, GmISU01.20G030600.1.p, GmISU01.05G110500.9.p, GmISU01.05G110500.10.p, GmISU01.05G110500.6.p, GmISU01.05G110500.13.p, GmISU01.05G110500.11.p, GmISU01.05G110500.8.p, GmISU01.05G110500.14.p, GmISU01.05G110500.12.p, GmISU01.05G110500.16.p, GmISU01.05G110500.17.p, GmISU01.05G110500.15.p, GmISU01.08G082400.1.p	VIT_201s0010g01850.2, VIT_201s0010g01850.1, VIT_201s0010g01850.3, VIT_201s0010g01830.1
OG0001571	GmISU01.05G198600.6.p, GmISU01.05G198600.4.p, GmISU01.05G198600.3.p, GmISU01.05G198600.5.p, GmISU01.05G198600.2.p, GmISU01.05G198600.1.p, GmISU01.08G036400.1.p, GmISU01.09G149600.1.p, GmISU01.09G149600.3.p, GmISU01.07G080100.1.p, GmISU01.07G080100.3.p	VIT_209s0002g04860.7, VIT_209s0002g04860.8, VIT_209s0002g04860.6, VIT_209s0002g04860.5, VIT_209s0002g04860.10, VIT_209s0002g04860.2, VIT_209s0002g04860.1, VIT_209s0002g04860.4, VIT_209s0002g04860.3, VIT_209s0002g04860.9, VIT_211s0016g04210.3, VIT_211s0016g04210.4, VIT_211s0016g04210.1, VIT_211s0016g04210.2, VIT_211s0016g04210.5
OG0001572	GmISU01.13G323200.2.p, GmISU01.13G323200.1.p, GmISU01.15G007200.1.p	VIT_211s0016g05580.2, VIT_211s0016g05580.5, VIT_211s0016g05580.1, VIT_211s0016g05580.4, VIT_211s0016g05580.3, VIT_209s0002g06870.1, VIT_209s0002g06870.2
OG0001573	GmISU01.01G170700.2.p, GmISU01.01G170700.1.p, GmISU01.11G027300.1.p, GmISU01.11G027300.2.p	VIT_202s0241g00120.1
OG0001573	GmISU01.10G143700.1.p, GmISU01.20G172500.1.p, GmISU01.16G174200.1.p, GmISU01.09G121300.1.p	VIT_215s0048g00680.2, VIT_215s0048g00680.1
OG0001574	GmISU01.12G140500.6.p, GmISU01.12G140500.16.p, GmISU01.12G140500.17.p, GmISU01.12G140500.5.p, GmISU01.12G140500.7.p, GmISU01.12G140500.2.p, GmISU01.12G140500.9.p, GmISU01.12G140500.1.p, GmISU01.13G288000.2.p, GmISU01.12G140500.4.p, GmISU01.12G140500.8.p, GmISU01.12G140500.14.p, GmISU01.12G140500.15.p, GmISU01.12G140500.12.p, GmISU01.12G140500.13.p, GmISU01.11G135800.8.p, GmISU01.11G135800.7.p, GmISU01.11G135800.3.p, GmISU01.11G135800.4.p, GmISU01.11G135800.1.p, GmISU01.11G135800.2.p, GmISU01.12G064400.1.p, GmISU01.12G064400.2.p, GmISU01.12G064400.5.p	VIT_206s0004g03130.1
OG0001575	GmISU01.05G085800.3.p, GmISU01.05G085800.1.p, GmISU01.17G147300.1.p, GmISU01.01G154900.2.p, GmISU01.11G042900.1.p	VIT_203s0091g00870.3
OG0001575	GmISU01.16G036900.1.p, GmISU01.16G036900.2.p, GmISU01.19G083600.1.p	VIT_208s0007g07370.2, VIT_208s0007g07370.1
OG0001576	GmISU01.07G045800.5.p, GmISU01.07G045800.2.p, GmISU01.07G045800.1.p, GmISU01.07G045800.3.p, GmISU01.16G015500.2.p	VIT_215s0048g02520.3, VIT_215s0048g02520.1, VIT_215s0048g02520.2, VIT_215s0048g02520.4
OG0001576	GmISU01.11G123400.1.p, GmISU01.12G053700.1.p	VIT_206s0004g05540.1
OG0001577	GmISU01.12G066800.1.p, GmISU01.12G066800.2.p, GmISU01.11G133200.1.p	VIT_206s0004g03620.1
OG0001577	GmISU01.09G211900.1.p, GmISU01.18G182500.1.p, GmISU01.07G060600.2.p, GmISU01.07G060600.1.p, GmISU01.16G029600.1.p	VIT_215s0046g02010.2, VIT_215s0046g02010.1, VIT_215s0046g02010.3
OG0001577	GmISU01.05G179400.1.p, GmISU01.08G016000.1.p, GmISU01.01G180100.1.p	VIT_202s0025g00270.1
OG0001578	GmISU01.10G073500.3.p, GmISU01.10G073500.1.p, GmISU01.10G073500.5.p, GmISU01.10G073500.6.p, GmISU01.02G162400.4.p, GmISU01.02G162400.1.p, GmISU01.13G271400.1.p, GmISU01.12G158000.1.p	VIT_206s0009g01000.1, VIT_206s0009g01000.2, VIT_206s0009g01000.3
OG0001579	GmISU01.02G243000.4.p, GmISU01.02G243000.5.p, GmISU01.02G243000.2.p, GmISU01.02G243000.3.p, GmISU01.02G243000.8.p, GmISU01.02G243000.6.p, GmISU01.02G243000.7.p, GmISU01.14G029800.1.p, GmISU01.08G272600.1.p, GmISU01.18G094800.1.p	VIT_212s0028g01000.1
OG0001580	GmISU01.13G119800.8.p, GmISU01.13G119800.9.p, GmISU01.13G119800.6.p, GmISU01.13G119800.7.p, GmISU01.13G119800.11.p, GmISU01.13G119800.10.p, GmISU01.13G119800.4.p, GmISU01.13G119800.5.p, GmISU01.13G119800.3.p, GmISU01.13G119800.2.p, GmISU01.13G119800.13.p, GmISU01.13G119800.12.p, GmISU01.03G149000.6.p, GmISU01.03G149000.3.p, GmISU01.03G149000.1.p, GmISU01.03G149000.5.p, GmISU01.19G152400.2.p, GmISU01.19G152400.1.p, GmISU01.03G149000.7.p, GmISU01.03G149000.4.p, GmISU01.03G149000.2.p	VIT_208s0007g04370.1, VIT_208s0007g04370.2, VIT_208s0007g04370.3
OG0001581	GmISU01.13G267800.22.p, GmISU01.13G267800.1.p, GmISU01.13G267800.21.p, GmISU01.13G267800.16.p, GmISU01.13G267800.20.p, GmISU01.13G267800.14.p, GmISU01.13G267800.6.p, GmISU01.13G267800.8.p, GmISU01.13G267800.10.p, GmISU01.13G267800.7.p, GmISU01.13G267800.13.p, GmISU01.13G267800.24.p, GmISU01.13G267800.19.p, GmISU01.13G267800.17.p, GmISU01.13G267800.4.p, GmISU01.13G267800.23.p, GmISU01.13G267800.2.p, GmISU01.13G267800.5.p, GmISU01.13G267800.12.p, GmISU01.13G267800.9.p, GmISU01.13G267800.15.p, GmISU01.12G163000.9.p, GmISU01.12G163000.5.p, GmISU01.12G163000.6.p, GmISU01.12G163000.8.p, GmISU01.12G163000.7.p, GmISU01.12G163000.2.p, GmISU01.12G163000.3.p, GmISU01.12G163000.1.p, GmISU01.12G163000.10.p, GmISU01.12G163000.4.p	VIT_212s0059g02500.1
