Orthogroup	G_max.proteins	P_amilis.proteins
OG0000185	GmISU01.07G175400.1.p	FUN_019414-T1
OG0000185	GmISU01.10G127900.12.p, GmISU01.10G127900.1.p, GmISU01.15G217300.3.p, GmISU01.15G217300.1.p, GmISU01.15G217300.2.p, GmISU01.20G187600.1.p, GmISU01.20G187600.2.p, GmISU01.20G187600.3.p	FUN_002527-T1, FUN_002528-T1
OG0000187	GmISU01.11G229300.1.p, GmISU01.05G122600.1.p	FUN_031838-T1
OG0000188	GmISU01.10G192600.1.p, GmISU01.20G126400.1.p, GmISU01.09G103700.1.p, GmISU01.09G103700.2.p, GmISU01.16G149900.1.p, GmISU01.16G149700.1.p, GmISU01.09G103400.1.p, GmISU01.09G103500.1.p, GmISU01.16G149800.1.p, GmISU01.09G104000.1.p, GmISU01.16G150200.1.p, GmISU01.16G150000.7.p, GmISU01.16G150000.6.p, GmISU01.16G150000.5.p, GmISU01.16G150000.4.p, GmISU01.16G150100.1.p, GmISU01.09G103900.1.p, GmISU01.10G192700.1.p, GmISU01.09G103300.1.p, GmISU01.16G149600.1.p, GmISU01.09G103800.2.p, GmISU01.10G192800.1.p	FUN_013789-T1, FUN_013788-T1, FUN_013790-T1
OG0000188	GmISU01.18G183500.1.p, GmISU01.09G211000.1.p, GmISU01.07G059700.1.p, GmISU01.16G029100.1.p	FUN_037306-T1, FUN_048070-T1
OG0000189	GmISU01.08G302600.1.p, GmISU01.01G063200.1.p, GmISU01.11G182800.1.p, GmISU01.11G182800.2.p, GmISU01.19G010500.4.p, GmISU01.13G048600.1.p	FUN_002920-T1
OG0000189	GmISU01.06G112400.3.p, GmISU01.06G112400.2.p, GmISU01.06G112400.1.p	FUN_032302-T1
OG0000189	GmISU01.05G031900.1.p, GmISU01.05G031900.3.p, GmISU01.05G031900.2.p, GmISU01.05G031801.1.p, GmISU01.17G084200.1.p, GmISU01.17G084200.2.p	FUN_039258-T1, FUN_039259-T1
OG0000191	GmISU01.05G100250.1.p	FUN_004704-T1, FUN_004703-T1, FUN_030770-T1, FUN_032916-T1, FUN_032926-T1, FUN_032930-T1, FUN_032931-T1, FUN_032929-T1, FUN_032925-T1, FUN_032920-T1, FUN_032921-T1, FUN_032924-T1, FUN_032939-T1, FUN_032918-T1, FUN_003730-T1, FUN_004709-T1
OG0000191	GmISU01.19G111700.1.p, GmISU01.15G180400.1.p, GmISU01.15G180500.1.p	FUN_004706-T1
OG0000192	GmISU01.15G172100.1.p, GmISU01.09G074000.1.p	FUN_014158-T1
OG0000192	GmISU01.03G073800.1.p, GmISU01.20G019400.1.p, GmISU01.07G190000.1.p	FUN_014157-T1, FUN_011632-T1, FUN_014152-T1, FUN_018457-T1, FUN_014154-T1, FUN_014162-T1, FUN_000731-T1, FUN_014151-T1
OG0000193	GmISU01.07G156500.1.p, GmISU01.13G218000.1.p, GmISU01.15G058800.1.p, GmISU01.13G217700.1.p, GmISU01.13G217200.1.p, GmISU01.13G217100.1.p, GmISU01.13G217800.1.p, GmISU01.15G059300.1.p, GmISU01.13G217500.2.p, GmISU01.13G217300.1.p, GmISU01.15G058900.1.p, GmISU01.15G059100.1.p, GmISU01.15G059000.1.p, GmISU01.15G059400.1.p	FUN_005601-T1
OG0000194	GmISU01.19G062900.1.p	FUN_000947-T1, FUN_045570-T1
OG0000194	GmISU01.12G124600.1.p	FUN_007780-T1, FUN_001862-T1, FUN_023638-T1, FUN_029700-T1, FUN_009717-T1, FUN_048957-T1, FUN_047616-T1, FUN_011561-T1
OG0000195	GmISU01.17G219700.1.p	FUN_014798-T1, FUN_006321-T1, FUN_009454-T1, FUN_035702-T1, FUN_020865-T1, FUN_041834-T1, FUN_036807-T1, FUN_009222-T1, FUN_000647-T1, FUN_009455-T1, FUN_025865-T1, FUN_050374-T1, FUN_008225-T1, FUN_015720-T1, FUN_036808-T1, FUN_006382-T1, FUN_007497-T1, FUN_017591-T1, FUN_003376-T1, FUN_008217-T1, FUN_034852-T1, FUN_032699-T1, FUN_052286-T1, FUN_045748-T1, FUN_000012-T1, FUN_012563-T1, FUN_030963-T1, FUN_005630-T1, FUN_031598-T1, FUN_023723-T1, FUN_040633-T1, FUN_023570-T1, FUN_050373-T1, FUN_013547-T1, FUN_038189-T1, FUN_000020-T1, FUN_013241-T1, FUN_039644-T1, FUN_034853-T1, FUN_040807-T1, FUN_002421-T1, FUN_052287-T1, FUN_041835-T1, FUN_049602-T1, FUN_030380-T1, FUN_034109-T1, FUN_022146-T1, FUN_022928-T1, FUN_017661-T1, FUN_009301-T1, FUN_043050-T1, FUN_017608-T1, FUN_004037-T1, FUN_015476-T1, FUN_028792-T1, FUN_013334-T1, FUN_007157-T1, FUN_019763-T1, FUN_051322-T1, FUN_043567-T1, FUN_017544-T1, FUN_019729-T1, FUN_042149-T1, FUN_015070-T1, FUN_016291-T1, FUN_015780-T1, FUN_039085-T1, FUN_021248-T1, FUN_045468-T1, FUN_020864-T1, FUN_025762-T1, FUN_037382-T1, FUN_035825-T1, FUN_029765-T1, FUN_050029-T1, FUN_002144-T1, FUN_002322-T1, FUN_015353-T1, FUN_022034-T1, FUN_001074-T1, FUN_034942-T1, FUN_019516-T1, FUN_030777-T1, FUN_028134-T1, FUN_004258-T1, FUN_004918-T1, FUN_023569-T1, FUN_030022-T1, FUN_000133-T1, FUN_013418-T1, FUN_044556-T1
OG0000198	GmISU01.18G231300.1.p	FUN_049268-T1, FUN_001052-T1, FUN_001051-T1, FUN_001035-T1
OG0000198	GmISU01.17G066700.1.p, GmISU01.17G066700.2.p	FUN_048833-T1, FUN_048406-T1
OG0000199	GmISU01.20G114400.1.p, GmISU01.10G206500.1.p	FUN_014541-T1
OG0000199	GmISU01.12G101600.1.p, GmISU01.06G247000.1.p	FUN_015797-T1
OG0000199	GmISU01.07G141700.1.p, GmISU01.20G007300.1.p	FUN_027090-T1
OG0000199	GmISU01.08G036200.1.p, GmISU01.09G149800.1.p, GmISU01.07G079900.1.p, GmISU01.07G079900.5.p	FUN_015552-T1, FUN_026377-T1
OG0000200	GmISU01.02G048900.1.p, GmISU01.16G109200.1.p	FUN_030984-T1, FUN_030981-T1, FUN_009419-T1
OG0000200	GmISU01.12G193100.1.p	FUN_026457-T1
OG0000200	GmISU01.11G065200.2.p, GmISU01.11G065200.1.p, GmISU01.01G133800.1.p, GmISU01.02G048800.1.p, GmISU01.16G109100.1.p	FUN_009412-T1
OG0000201	GmISU01.18G239000.1.p	FUN_052561-T2, FUN_052561-T1
OG0000201	GmISU01.03G073100.1.p, GmISU01.03G073700.1.p, GmISU01.03G073900.1.p, GmISU01.03G074000.1.p, GmISU01.03G070000.1.p	FUN_014150-T1, FUN_014149-T1
OG0000202	GmISU01.03G026300.1.p, GmISU01.03G027200.1.p, GmISU01.03G027100.1.p, GmISU01.03G026900.1.p, GmISU01.03G026600.1.p, GmISU01.03G026700.1.p, GmISU01.03G027300.1.p, GmISU01.03G027600.1.p, GmISU01.11G139800.1.p, GmISU01.01G063600.1.p, GmISU01.18G086200.1.p	FUN_049851-T1, FUN_049834-T1, FUN_049844-T1, FUN_049835-T1, FUN_049424-T1, FUN_049841-T1, FUN_049843-T1, FUN_049849-T1, FUN_049845-T1
OG0000203	GmISU01.07G063400.3.p, GmISU01.07G063400.2.p, GmISU01.07G063400.1.p, GmISU01.07G063400.5.p, GmISU01.07G063400.4.p, GmISU01.07G063400.6.p, GmISU01.07G063400.7.p, GmISU01.03G007900.25.p, GmISU01.03G007900.26.p, GmISU01.03G007900.27.p, GmISU01.03G007900.12.p, GmISU01.03G007900.13.p, GmISU01.03G007900.14.p, GmISU01.03G007900.16.p, GmISU01.03G007900.15.p, GmISU01.03G007900.10.p, GmISU01.03G007900.11.p, GmISU01.03G007900.18.p, GmISU01.03G007900.19.p, GmISU01.03G007900.21.p, GmISU01.03G007900.20.p, GmISU01.03G007900.22.p, GmISU01.03G007900.23.p, GmISU01.03G007900.24.p, GmISU01.03G007900.17.p, GmISU01.03G007900.1.p, GmISU01.03G007900.3.p, GmISU01.03G007900.2.p	FUN_013872-T2, FUN_013872-T1
OG0000203	GmISU01.18G179500.3.p, GmISU01.18G179500.2.p, GmISU01.18G179500.8.p, GmISU01.18G179500.11.p, GmISU01.18G179500.9.p, GmISU01.18G179500.10.p, GmISU01.18G179500.13.p, GmISU01.18G179500.12.p, GmISU01.18G179500.14.p, GmISU01.18G179500.15.p, GmISU01.18G179500.7.p, GmISU01.09G214700.2.p, GmISU01.18G179500.6.p, GmISU01.18G179500.5.p, GmISU01.18G179500.1.p, GmISU01.18G179500.4.p, GmISU01.09G214700.1.p	FUN_037249-T1
OG0000206	GmISU01.13G301600.1.p, GmISU01.13G301600.2.p, GmISU01.15G030100.1.p, GmISU01.15G030100.2.p	FUN_036480-T1, FUN_036480-T2
OG0000206	GmISU01.13G052100.1.p, GmISU01.13G052100.2.p, GmISU01.20G036500.1.p, GmISU01.20G036500.3.p, GmISU01.20G036500.2.p, GmISU01.20G036500.5.p, GmISU01.20G036500.4.p, GmISU01.13G052200.3.p, GmISU01.13G052200.2.p, GmISU01.13G052200.1.p, GmISU01.14G038800.4.p, GmISU01.14G038800.1.p, GmISU01.02G234600.1.p	FUN_027480-T1
OG0000206	GmISU01.08G128200.1.p, GmISU01.05G151900.1.p, GmISU01.11G217100.1.p, GmISU01.18G017100.2.p	FUN_033784-T1, FUN_033785-T1, FUN_033786-T1
OG0000207	GmISU01.19G128600.1.p, GmISU01.03G124700.1.p, GmISU01.10G032100.1.p, GmISU01.13G093400.1.p	FUN_051161-T1
OG0000207	GmISU01.14G062600.1.p, GmISU01.02G211700.1.p	FUN_030105-T1
OG0000207	GmISU01.19G092300.1.p, GmISU01.10G074600.1.p, GmISU01.02G146600.1.p	FUN_039910-T1
OG0000207	GmISU01.03G020000.1.p, GmISU01.01G109000.1.p, GmISU01.09G223700.1.p, GmISU01.18G168400.1.p	FUN_049718-T1, FUN_037042-T1
OG0000207	GmISU01.01G108900.1.p, GmISU01.03G020100.1.p	FUN_037044-T1, FUN_049716-T1
OG0000208	GmISU01.16G010800.1.p, GmISU01.07G040900.1.p	FUN_024051-T1, FUN_024050-T1, FUN_024052-T1, FUN_050145-T1, FUN_024055-T1
OG0000208	GmISU01.19G060800.2.p, GmISU01.03G220300.2.p, GmISU01.19G221700.1.p, GmISU01.15G218800.1.p, GmISU01.15G218900.1.p, GmISU01.07G040800.1.p	FUN_050137-T1, FUN_024044-T1
OG0000211	GmISU01.04G180900.1.p, GmISU01.06G130800.1.p, GmISU01.06G130800.2.p, GmISU01.18G049800.1.p, GmISU01.11G169800.1.p, GmISU01.14G168800.1.p	FUN_029249-T1, FUN_018978-T1, FUN_018975-T1, FUN_029248-T1
OG0000211	GmISU01.17G092900.2.p, GmISU01.04G136900.1.p, GmISU01.06G177500.1.p	FUN_011092-T1
OG0000211	GmISU01.18G204600.3.p, GmISU01.19G021300.3.p	FUN_032601-T1
OG0000212	GmISU01.01G177000.1.p, GmISU01.11G022200.1.p, GmISU01.08G012000.1.p	FUN_013921-T1
OG0000213	GmISU01.07G224900.3.p, GmISU01.07G224900.1.p, GmISU01.07G224900.7.p, GmISU01.07G224900.2.p, GmISU01.07G224900.4.p, GmISU01.07G224900.6.p, GmISU01.07G224900.5.p, GmISU01.17G009700.2.p, GmISU01.15G101900.1.p, GmISU01.15G101900.3.p, GmISU01.15G101900.2.p, GmISU01.09G005100.1.p	FUN_035134-T1, FUN_012323-T1, FUN_012323-T2
OG0000213	GmISU01.13G088900.1.p, GmISU01.17G038800.1.p	FUN_035996-T2, FUN_035996-T1, FUN_052335-T1, FUN_052335-T2
OG0000215	GmISU01.10G213300.3.p, GmISU01.13G090000.4.p, GmISU01.13G090000.1.p	FUN_053066-T1
OG0000216	GmISU01.14G016600.1.p, GmISU01.14G016600.2.p, GmISU01.14G016600.3.p, GmISU01.02G255100.2.p, GmISU01.02G255100.4.p, GmISU01.02G255100.3.p, GmISU01.02G255100.6.p, GmISU01.02G255100.7.p, GmISU01.02G255100.5.p, GmISU01.02G255100.1.p	FUN_046275-T1
OG0000216	GmISU01.08G306600.2.p, GmISU01.08G306600.1.p, GmISU01.16G073300.2.p, GmISU01.16G073300.3.p, GmISU01.16G073300.1.p, GmISU01.03G069200.1.p, GmISU01.03G069200.2.p, GmISU01.03G069200.3.p	FUN_010692-T1, FUN_010692-T2, FUN_047305-T4, FUN_047305-T2, FUN_047305-T1
OG0000216	GmISU01.14G005100.2.p, GmISU01.14G005100.1.p, GmISU01.02G266100.3.p, GmISU01.02G266100.2.p, GmISU01.02G266100.1.p, GmISU01.02G266100.4.p	FUN_027531-T3, FUN_027531-T2, FUN_027531-T1
OG0000217	GmISU01.08G218200.4.p, GmISU01.08G218200.5.p, GmISU01.08G218200.6.p, GmISU01.08G218200.9.p, GmISU01.08G218200.10.p, GmISU01.08G218200.8.p, GmISU01.08G218200.7.p, GmISU01.08G218200.2.p, GmISU01.08G218200.1.p, GmISU01.08G218200.3.p, GmISU01.08G218300.3.p, GmISU01.08G218300.2.p, GmISU01.08G218300.5.p, GmISU01.08G218300.4.p	FUN_002820-T1, FUN_002826-T1
OG0000218	GmISU01.10G229700.5.p, GmISU01.10G229700.4.p, GmISU01.10G229700.8.p, GmISU01.10G229700.9.p, GmISU01.10G229700.19.p, GmISU01.10G229700.6.p, GmISU01.10G229700.3.p, GmISU01.10G229700.22.p, GmISU01.10G229700.7.p, GmISU01.10G229700.14.p, GmISU01.10G229700.13.p, GmISU01.10G229700.12.p, GmISU01.10G229700.10.p, GmISU01.10G229700.17.p, GmISU01.10G229700.24.p, GmISU01.10G229700.23.p, GmISU01.10G229700.21.p, GmISU01.10G229700.11.p, GmISU01.10G229700.20.p, GmISU01.10G229700.2.p, GmISU01.10G229700.16.p, GmISU01.20G088000.9.p, GmISU01.20G088000.4.p, GmISU01.20G088000.3.p, GmISU01.20G088000.6.p, GmISU01.20G088000.5.p, GmISU01.20G088000.10.p, GmISU01.20G088000.7.p, GmISU01.20G088000.8.p, GmISU01.20G088000.2.p, GmISU01.20G088000.13.p, GmISU01.20G088000.12.p, GmISU01.20G088000.11.p, GmISU01.20G088000.1.p	FUN_017631-T2, FUN_017631-T1, FUN_041610-T1
OG0000220	GmISU01.19G029300.1.p, GmISU01.02G253300.1.p	FUN_046481-T1, FUN_046484-T1
OG0000220	GmISU01.18G065800.1.p, GmISU01.18G065800.2.p	FUN_046479-T1
OG0000221	GmISU01.11G197100.1.p, GmISU01.18G037200.1.p	FUN_029064-T1, FUN_041387-T1, FUN_020694-T1
OG0000221	GmISU01.08G049800.1.p, GmISU01.08G049800.2.p, GmISU01.05G211900.1.p, GmISU01.09G139200.1.p, GmISU01.09G139200.3.p, GmISU01.09G139200.2.p, GmISU01.07G092100.2.p, GmISU01.07G092100.1.p	FUN_011672-T1
OG0000222	GmISU01.11G009400.1.p, GmISU01.11G009400.5.p, GmISU01.11G009400.4.p, GmISU01.11G009400.3.p, GmISU01.11G009400.2.p, GmISU01.01G190500.1.p, GmISU01.01G190500.7.p, GmISU01.01G190500.4.p, GmISU01.01G190500.3.p, GmISU01.01G190500.2.p	FUN_045246-T1
OG0000222	GmISU01.14G027700.1.p, GmISU01.14G027700.2.p, GmISU01.02G245800.1.p	FUN_040473-T1
OG0000222	GmISU01.03G176200.1.p, GmISU01.19G177400.1.p	FUN_024802-T1
OG0000222	GmISU01.09G096400.1.p, GmISU01.09G096400.2.p	FUN_034110-T1
OG0000223	GmISU01.14G166000.1.p, GmISU01.14G166100.1.p, GmISU01.14G165900.1.p, GmISU01.14G166200.1.p, GmISU01.06G243400.1.p, GmISU01.06G243400.2.p, GmISU01.12G103800.2.p, GmISU01.12G103800.1.p, GmISU01.06G243200.1.p	FUN_045617-T1
OG0000224	GmISU01.12G125000.1.p	FUN_046575-T1
OG0000224	GmISU01.07G165400.4.p, GmISU01.07G165400.6.p, GmISU01.07G165400.1.p, GmISU01.07G165400.5.p, GmISU01.13G150800.2.p, GmISU01.13G150800.1.p, GmISU01.15G069200.1.p, GmISU01.15G069200.4.p, GmISU01.15G069200.5.p, GmISU01.15G069200.2.p, GmISU01.13G206400.1.p, GmISU01.13G206400.2.p	FUN_036642-T1, FUN_036641-T1, FUN_043200-T1
OG0000224	GmISU01.12G170600.2.p, GmISU01.12G170600.1.p, GmISU01.12G170600.4.p, GmISU01.13G259600.2.p, GmISU01.13G259600.3.p, GmISU01.06G249000.1.p, GmISU01.06G249000.3.p, GmISU01.06G249000.2.p, GmISU01.12G098700.2.p	FUN_015748-T1
OG0000227	GmISU01.11G126700.2.p, GmISU01.11G126700.1.p, GmISU01.15G036100.2.p, GmISU01.15G036100.1.p, GmISU01.13G295700.1.p	FUN_040840-T2, FUN_040840-T1, FUN_047915-T1
OG0000228	GmISU01.08G008900.2.p, GmISU01.08G008900.3.p, GmISU01.05G172100.1.p	FUN_046968-T1, FUN_011385-T1
OG0000229	GmISU01.06G009300.4.p, GmISU01.06G009300.12.p, GmISU01.06G009300.11.p, GmISU01.06G009300.8.p, GmISU01.06G009300.9.p, GmISU01.06G009300.10.p, GmISU01.06G009300.2.p, GmISU01.06G009300.3.p, GmISU01.06G009300.5.p, GmISU01.06G009300.7.p, GmISU01.06G009300.6.p, GmISU01.04G010100.2.p, GmISU01.04G010100.1.p, GmISU01.04G010100.3.p, GmISU01.04G010100.4.p, GmISU01.12G037000.1.p, GmISU01.11G106200.1.p, GmISU01.11G106200.3.p, GmISU01.11G106200.2.p, GmISU01.02G048600.1.p, GmISU01.02G048600.2.p, GmISU01.16G108900.1.p, GmISU01.16G108900.2.p, GmISU01.01G133600.3.p, GmISU01.11G065500.1.p, GmISU01.11G065500.2.p, GmISU01.01G133600.2.p, GmISU01.01G133600.1.p	FUN_002222-T1, FUN_050585-T1
OG0000230	GmISU01.20G139500.7.p, GmISU01.20G139500.3.p, GmISU01.20G139500.8.p, GmISU01.20G139500.1.p, GmISU01.20G139500.5.p, GmISU01.20G139500.6.p, GmISU01.20G139500.2.p, GmISU01.20G139500.4.p, GmISU01.10G178000.2.p, GmISU01.10G178000.5.p, GmISU01.10G178000.6.p, GmISU01.10G178000.4.p, GmISU01.10G178000.3.p	FUN_037736-T1, FUN_048392-T1
OG0000231	GmISU01.13G065200.1.p, GmISU01.13G065200.2.p, GmISU01.17G062500.2.p, GmISU01.17G062500.1.p	FUN_010865-T3, FUN_010865-T1, FUN_010865-T2, FUN_047432-T1, FUN_047432-T2
OG0000231	GmISU01.01G029400.5.p, GmISU01.01G029400.1.p, GmISU01.01G029400.7.p, GmISU01.01G029400.3.p, GmISU01.01G029400.4.p, GmISU01.01G029400.6.p, GmISU01.01G029400.2.p, GmISU01.01G029400.8.p, GmISU01.02G030300.2.p, GmISU01.02G030300.3.p, GmISU01.02G030300.5.p, GmISU01.02G030300.4.p, GmISU01.02G030300.1.p, GmISU01.08G258500.3.p, GmISU01.08G258500.4.p, GmISU01.08G258500.5.p, GmISU01.08G258500.6.p, GmISU01.08G258500.2.p, GmISU01.08G258500.7.p, GmISU01.18G109200.5.p, GmISU01.18G109200.3.p, GmISU01.18G109200.2.p, GmISU01.18G109200.4.p, GmISU01.18G109200.6.p, GmISU01.18G109200.1.p	FUN_009214-T1, FUN_032262-T2, FUN_032262-T1
OG0000232	GmISU01.06G254100.2.p, GmISU01.06G254200.1.p, GmISU01.06G253000.1.p, GmISU01.06G254300.1.p, GmISU01.06G253800.1.p, GmISU01.06G253700.1.p, GmISU01.06G252700.1.p, GmISU01.06G252800.1.p, GmISU01.06G254000.1.p, GmISU01.06G253100.1.p, GmISU01.12G095600.1.p, GmISU01.06G253900.1.p, GmISU01.13G263200.1.p, GmISU01.12G167600.1.p, GmISU01.13G263300.1.p, GmISU01.12G167500.1.p, GmISU01.12G167300.1.p, GmISU01.12G167400.1.p, GmISU01.13G263600.1.p, GmISU01.13G263500.1.p	FUN_012008-T1, FUN_012007-T1, FUN_012011-T1, FUN_045838-T1
OG0000235	GmISU01.20G204300.2.p, GmISU01.20G204300.7.p, GmISU01.20G204300.4.p, GmISU01.20G204300.1.p	FUN_000308-T1, FUN_000110-T1
OG0000235	GmISU01.02G154200.4.p, GmISU01.02G154200.6.p, GmISU01.02G154200.5.p, GmISU01.02G154200.3.p, GmISU01.02G154200.2.p, GmISU01.02G154200.1.p, GmISU01.02G154200.7.p, GmISU01.09G091600.1.p	FUN_004801-T2, FUN_004801-T1
OG0000235	GmISU01.09G000500.2.p, GmISU01.09G000500.3.p, GmISU01.12G203200.2.p, GmISU01.08G138900.1.p	FUN_012854-T4, FUN_012854-T3, FUN_012854-T1, FUN_012854-T2
OG0000236	GmISU01.02G218800.1.p, GmISU01.14G055000.1.p, GmISU01.11G208900.1.p, GmISU01.18G025100.1.p	FUN_019112-T1
OG0000236	GmISU01.02G190900.1.p, GmISU01.14G159700.1.p, GmISU01.14G159700.2.p	FUN_041655-T1
OG0000236	GmISU01.11G208800.3.p, GmISU01.11G208800.4.p, GmISU01.11G208800.5.p, GmISU01.11G208800.2.p, GmISU01.18G025200.2.p, GmISU01.18G025200.3.p	FUN_016364-T2, FUN_016364-T1
OG0000240	GmISU01.10G166100.1.p, GmISU01.20G149600.1.p	FUN_002062-T1
OG0000241	GmISU01.11G034300.5.p, GmISU01.11G034300.8.p, GmISU01.11G034300.4.p, GmISU01.11G034300.9.p, GmISU01.11G034300.10.p, GmISU01.01G164600.1.p, GmISU01.01G164600.2.p	FUN_017300-T1, FUN_041292-T1
OG0000241	GmISU01.01G162300.1.p, GmISU01.11G036000.4.p, GmISU01.11G036000.3.p, GmISU01.11G036000.1.p, GmISU01.11G036000.2.p	FUN_041233-T1, FUN_017244-T1, FUN_044819-T1, FUN_017238-T1, FUN_017246-T1, FUN_017252-T1
OG0000242	GmISU01.12G001600.1.p, GmISU01.04G212100.1.p	FUN_037687-T1, FUN_037686-T1, FUN_037688-T1, FUN_037688-T2, FUN_037653-T1, FUN_037654-T1, FUN_037650-T2, FUN_037650-T1, FUN_037651-T1, FUN_037659-T1, FUN_037660-T1, FUN_037666-T1, FUN_037664-T1, FUN_037676-T1, FUN_037669-T1, FUN_037662-T1, FUN_037663-T1, FUN_037677-T4, FUN_037677-T1, FUN_037677-T2, FUN_037677-T3, FUN_037680-T1, FUN_037647-T1, FUN_037667-T1, FUN_037652-T1, FUN_048345-T1, FUN_048345-T2, FUN_048345-T3
OG0000243	GmISU01.17G123600.1.p, GmISU01.17G123700.1.p	FUN_018559-T1, FUN_018558-T1, FUN_018557-T1
OG0000243	GmISU01.07G185600.1.p	FUN_040567-T1, FUN_040570-T1, FUN_040566-T1, FUN_040568-T1, FUN_040569-T1, FUN_041446-T1, FUN_041448-T1, FUN_041447-T1, FUN_041449-T1
OG0000244	GmISU01.05G203100.1.p, GmISU01.08G040600.1.p, GmISU01.05G203200.1.p	FUN_043603-T1
OG0000244	GmISU01.06G271900.1.p, GmISU01.12G004100.1.p, GmISU01.09G189700.1.p	FUN_015349-T1, FUN_015345-T1, FUN_006611-T1
OG0000244	GmISU01.03G025800.1.p, GmISU01.03G025600.1.p, GmISU01.03G025700.1.p, GmISU01.01G105100.1.p, GmISU01.01G105000.1.p, GmISU01.03G025900.1.p, GmISU01.01G104800.1.p	FUN_036940-T1
OG0000245	GmISU01.13G108100.2.p, GmISU01.13G108100.1.p, GmISU01.13G108100.3.p, GmISU01.13G108100.4.p, GmISU01.10G044400.1.p, GmISU01.10G044400.3.p, GmISU01.13G069800.1.p	FUN_005870-T1, FUN_005870-T2, FUN_005870-T4, FUN_005870-T3
OG0000247	GmISU01.10G018700.1.p, GmISU01.10G018700.2.p, GmISU01.02G138800.1.p	FUN_042894-T1, FUN_024716-T1
OG0000247	GmISU01.02G138900.1.p	FUN_024717-T1, FUN_042906-T1, FUN_024719-T1
OG0000248	GmISU01.08G115900.1.p	FUN_014124-T1
OG0000248	GmISU01.16G130400.1.p, GmISU01.13G145400.1.p	FUN_047260-T1, FUN_047261-T1
OG0000248	GmISU01.02G027000.1.p, GmISU01.01G032900.1.p, GmISU01.01G127900.1.p, GmISU01.01G127900.2.p	FUN_009158-T1
OG0000249	GmISU01.08G105900.1.p, GmISU01.05G131400.1.p	FUN_034648-T1
OG0000249	GmISU01.20G102400.1.p, GmISU01.10G216100.1.p, GmISU01.04G080700.1.p, GmISU01.06G082400.1.p	FUN_024279-T1
OG0000250	GmISU01.10G114300.4.p, GmISU01.10G114300.2.p, GmISU01.10G114300.5.p, GmISU01.10G114300.3.p, GmISU01.10G114300.6.p, GmISU01.10G114300.1.p, GmISU01.20G064400.3.p, GmISU01.20G064400.1.p, GmISU01.20G064400.4.p, GmISU01.20G064400.2.p, GmISU01.19G189000.1.p, GmISU01.19G189000.2.p, GmISU01.03G187600.2.p	FUN_036030-T1, FUN_052350-T1
OG0000250	GmISU01.02G008400.3.p, GmISU01.02G008400.4.p, GmISU01.02G008400.5.p, GmISU01.02G008400.2.p, GmISU01.10G009100.5.p, GmISU01.10G009100.6.p	FUN_044942-T1, FUN_044942-T2
OG0000250	GmISU01.09G220900.1.p, GmISU01.07G069900.1.p	FUN_049192-T1
OG0000251	GmISU01.13G236900.1.p, GmISU01.12G190900.1.p, GmISU01.12G132600.1.p	FUN_046654-T1
OG0000251	GmISU01.11G207600.1.p, GmISU01.11G207600.2.p, GmISU01.11G207600.3.p, GmISU01.18G026400.1.p, GmISU01.02G218300.1.p, GmISU01.02G218300.3.p, GmISU01.14G055600.2.p, GmISU01.14G055600.1.p, GmISU01.14G055600.3.p, GmISU01.14G055600.4.p	FUN_030312-T1
OG0000253	GmISU01.12G202000.1.p	FUN_032672-T1
OG0000254	GmISU01.04G148600.1.p	FUN_042420-T1, FUN_021291-T1
OG0000255	GmISU01.11G184500.1.p	FUN_016714-T1
OG0000255	GmISU01.09G083700.1.p	FUN_047566-T1, FUN_036318-T1
OG0000256	GmISU01.09G217000.1.p, GmISU01.09G217000.2.p	FUN_037180-T1, FUN_037182-T1
OG0000256	GmISU01.16G160900.1.p, GmISU01.16G160900.3.p, GmISU01.16G160900.2.p, GmISU01.16G160800.1.p, GmISU01.16G155800.1.p, GmISU01.16G160900.4.p, GmISU01.09G109400.2.p, GmISU01.09G109400.1.p	FUN_022783-T1, FUN_022784-T1, FUN_013924-T1
OG0000257	GmISU01.18G110400.1.p, GmISU01.18G110400.2.p, GmISU01.18G110400.3.p, GmISU01.08G257200.1.p, GmISU01.02G031600.1.p, GmISU01.01G028400.3.p, GmISU01.01G028400.1.p, GmISU01.01G028400.2.p, GmISU01.01G028400.4.p, GmISU01.02G031600.2.p	FUN_009254-T1, FUN_032219-T1
OG0000257	GmISU01.05G006600.3.p, GmISU01.05G006600.4.p, GmISU01.05G006600.2.p, GmISU01.19G007000.1.p, GmISU01.05G006600.1.p	FUN_002831-T1, FUN_002831-T3, FUN_002831-T2, FUN_039301-T2, FUN_039301-T1
OG0000262	GmISU01.19G173400.1.p, GmISU01.03G171800.1.p	FUN_024722-T1
OG0000262	GmISU01.03G193800.2.p, GmISU01.19G195600.1.p, GmISU01.18G131600.1.p	FUN_051491-T1
OG0000262	GmISU01.05G125500.1.p, GmISU01.08G099000.2.p, GmISU01.18G002700.1.p	FUN_003508-T1
