Orthogroup	G_max.proteins	L_sativa.proteins
OG0002021	GmISU01.17G043900.1.p, GmISU01.13G083400.1.p	Lsat_1_v5_gn_5_140120.1
OG0002022	GmISU01.03G052800.2.p, GmISU01.03G052800.1.p, GmISU01.03G052800.3.p, GmISU01.01G080400.3.p, GmISU01.01G080400.2.p, GmISU01.01G080400.1.p	Lsat_1_v5_gn_3_11900.4, Lsat_1_v5_gn_3_11900.2, Lsat_1_v5_gn_3_11900.1, Lsat_1_v5_gn_6_84121.1, Lsat_1_v5_gn_6_84121.2, Lsat_1_v5_gn_6_9480.3, Lsat_1_v5_gn_6_9480.1
OG0002023	GmISU01.02G267300.2.p, GmISU01.02G267300.3.p, GmISU01.02G267300.1.p, GmISU01.14G003700.1.p	Lsat_1_v5_gn_3_32700.1, Lsat_1_v5_gn_3_32700.3, Lsat_1_v5_gn_3_32341.1, Lsat_1_v5_gn_3_32341.2
OG0002024	GmISU01.09G181800.4.p, GmISU01.09G181800.6.p, GmISU01.09G181800.9.p, GmISU01.09G181800.2.p, GmISU01.09G181800.8.p, GmISU01.09G181800.3.p, GmISU01.09G181800.7.p, GmISU01.09G181800.5.p, GmISU01.09G181800.1.p, GmISU01.12G012600.2.p, GmISU01.12G012600.1.p	Lsat_1_v5_gn_4_59561.5, Lsat_1_v5_gn_4_59561.4, Lsat_1_v5_gn_4_59561.1, Lsat_1_v5_gn_4_59561.3, Lsat_1_v5_gn_1_128740.1
OG0002025	GmISU01.02G125100.1.p, GmISU01.07G174600.1.p	Lsat_1_v5_gn_2_40220.1, Lsat_1_v5_gn_2_40220.2
OG0002025	GmISU01.09G202300.1.p, GmISU01.18G192100.1.p	Lsat_1_v5_gn_5_176401.3, Lsat_1_v5_gn_5_176401.1
OG0002026	GmISU01.10G069500.1.p, GmISU01.02G165700.1.p, GmISU01.03G160800.1.p, GmISU01.19G163000.2.p	Lsat_1_v5_gn_1_57181.1
OG0002027	GmISU01.08G018600.1.p, GmISU01.05G182000.1.p	Lsat_1_v5_gn_6_11721.1
OG0002027	GmISU01.19G032800.2.p, GmISU01.19G032800.3.p, GmISU01.08G233100.1.p, GmISU01.18G219700.1.p	Lsat_1_v5_gn_2_86060.2, Lsat_1_v5_gn_2_86060.1
OG0002028	GmISU01.08G158400.2.p, GmISU01.08G158400.1.p, GmISU01.08G158100.1.p, GmISU01.08G158100.2.p, GmISU01.15G212400.1.p, GmISU01.15G212500.1.p, GmISU01.08G158700.2.p, GmISU01.15G212300.1.p, GmISU01.15G212300.2.p, GmISU01.08G158700.1.p, GmISU01.08G158300.2.p, GmISU01.08G158300.1.p, GmISU01.08G158600.1.p, GmISU01.08G158200.1.p, GmISU01.08G159700.1.p	Lsat_1_v5_gn_7_112120.1
OG0002028	GmISU01.13G002800.1.p, GmISU01.13G002800.2.p	Lsat_1_v5_gn_1_82281.1
OG0002029	GmISU01.18G065000.1.p, GmISU01.18G065000.5.p, GmISU01.18G065000.2.p, GmISU01.18G065000.4.p, GmISU01.08G300200.3.p, GmISU01.08G300200.2.p, GmISU01.08G300200.1.p, GmISU01.08G300200.4.p, GmISU01.18G064900.1.p, GmISU01.14G010100.1.p, GmISU01.14G010100.2.p, GmISU01.14G010100.3.p, GmISU01.02G261900.4.p, GmISU01.02G261900.6.p, GmISU01.02G261900.5.p, GmISU01.02G261900.2.p, GmISU01.02G261900.7.p	Lsat_1_v5_gn_9_89580.1, Lsat_1_v5_gn_9_89600.4, Lsat_1_v5_gn_9_89600.1
OG0002030	GmISU01.09G089200.1.p, GmISU01.02G149600.1.p, GmISU01.03G110300.1.p, GmISU01.19G115300.1.p	Lsat_1_v5_gn_8_75220.1, Lsat_1_v5_gn_8_75220.3, Lsat_1_v5_gn_9_26060.1
OG0002031	GmISU01.20G202200.1.p, GmISU01.10G251200.1.p	Lsat_1_v5_gn_1_68481.2, Lsat_1_v5_gn_1_68481.1, Lsat_1_v5_gn_6_49141.1
OG0002032	GmISU01.20G072900.1.p, GmISU01.20G072900.2.p	Lsat_1_v5_gn_9_19481.1
OG0002032	GmISU01.18G026800.1.p, GmISU01.18G026900.2.p, GmISU01.18G026900.1.p	Lsat_1_v5_gn_8_12480.1
OG0002033	GmISU01.19G164000.1.p, GmISU01.19G164600.1.p, GmISU01.10G222800.1.p, GmISU01.03G162500.1.p, GmISU01.02G164500.1.p, GmISU01.10G071300.1.p	Lsat_1_v5_gn_2_53860.1, Lsat_1_v5_gn_2_53840.1, Lsat_1_v5_gn_1_58260.1, Lsat_1_v5_gn_1_58280.1, Lsat_1_v5_gn_1_58280.3, Lsat_1_v5_gn_1_58241.1, Lsat_1_v5_gn_1_58201.1, Lsat_1_v5_gn_6_33780.1
OG0002034	GmISU01.19G040300.1.p, GmISU01.13G025400.1.p, GmISU01.07G084200.1.p, GmISU01.07G084200.3.p, GmISU01.07G084200.2.p, GmISU01.09G144700.1.p, GmISU01.08G041700.2.p, GmISU01.08G041700.1.p, GmISU01.05G204400.1.p	Lsat_1_v5_gn_4_105580.1, Lsat_1_v5_gn_1_11640.1, Lsat_1_v5_gn_3_79720.1
OG0002035	GmISU01.12G067700.11.p, GmISU01.12G067700.5.p, GmISU01.12G067700.7.p, GmISU01.12G067700.4.p, GmISU01.12G067700.10.p, GmISU01.12G067700.3.p, GmISU01.12G067700.1.p, GmISU01.12G067700.2.p, GmISU01.12G067700.6.p, GmISU01.12G067700.8.p, GmISU01.11G132200.2.p, GmISU01.11G132200.3.p, GmISU01.11G132200.1.p	Lsat_1_v5_gn_5_159001.1
OG0002036	GmISU01.19G140100.1.p, GmISU01.19G140100.4.p, GmISU01.19G140100.2.p, GmISU01.19G140100.5.p, GmISU01.13G106700.3.p, GmISU01.13G106700.5.p, GmISU01.13G106700.4.p, GmISU01.13G106700.6.p, GmISU01.13G106700.1.p, GmISU01.13G106700.2.p, GmISU01.10G042900.3.p, GmISU01.10G042900.2.p, GmISU01.10G042900.1.p	Lsat_1_v5_gn_1_54840.4, Lsat_1_v5_gn_1_54840.1
OG0002037	GmISU01.05G005100.1.p	Lsat_1_v5_gn_4_183301.1
OG0002037	GmISU01.02G203900.1.p, GmISU01.14G175400.1.p	Lsat_1_v5_gn_2_71681.3, Lsat_1_v5_gn_2_71681.1, Lsat_1_v5_gn_2_71681.2, Lsat_1_v5_gn_3_67160.3, Lsat_1_v5_gn_3_67160.2, Lsat_1_v5_gn_3_67160.1
OG0002038	GmISU01.12G012500.1.p	Lsat_1_v5_gn_9_47941.1, Lsat_1_v5_gn_9_47941.3
OG0002039	GmISU01.12G092500.1.p, GmISU01.06G256300.1.p, GmISU01.12G163700.3.p, GmISU01.12G163700.4.p, GmISU01.12G163700.6.p, GmISU01.12G163700.5.p, GmISU01.13G266800.1.p, GmISU01.12G163700.1.p, GmISU01.12G163700.2.p, GmISU01.12G163700.7.p, GmISU01.13G266700.2.p, GmISU01.13G266700.1.p	Lsat_1_v5_gn_8_129860.1, Lsat_1_v5_gn_8_129860.3
OG0002041	GmISU01.09G128800.1.p, GmISU01.09G128700.1.p, GmISU01.09G128500.1.p, GmISU01.09G128400.1.p, GmISU01.09G128900.1.p, GmISU01.09G128300.1.p, GmISU01.16G180900.1.p	Lsat_1_v5_gn_3_3380.1
OG0002042	GmISU01.14G004200.1.p, GmISU01.02G266900.1.p	Lsat_1_v5_gn_9_103641.1, Lsat_1_v5_gn_7_96741.1, Lsat_1_v5_gn_7_96741.2
OG0002043	GmISU01.12G090132.1.p, GmISU01.06G259300.1.p	Lsat_1_v5_gn_9_106181.1, Lsat_1_v5_gn_7_92081.1
OG0002045	GmISU01.14G062200.1.p, GmISU01.02G212100.1.p, GmISU01.11G201800.2.p, GmISU01.11G201800.1.p, GmISU01.18G032900.1.p	Lsat_1_v5_gn_2_118601.3, Lsat_1_v5_gn_2_118601.1, Lsat_1_v5_gn_9_63741.1
OG0002046	GmISU01.20G152000.6.p, GmISU01.20G152000.3.p, GmISU01.20G152000.7.p, GmISU01.20G152000.4.p, GmISU01.20G152000.1.p, GmISU01.10G163300.4.p, GmISU01.10G163300.2.p, GmISU01.10G163300.3.p	Lsat_1_v5_gn_2_103280.1, Lsat_1_v5_gn_2_103280.3, Lsat_1_v5_gn_8_17741.2, Lsat_1_v5_gn_8_17741.1
OG0002047	GmISU01.03G049600.2.p, GmISU01.03G049600.1.p, GmISU01.03G049600.10.p, GmISU01.03G049600.9.p, GmISU01.03G049600.11.p, GmISU01.03G049600.13.p, GmISU01.03G049600.12.p, GmISU01.03G049600.7.p, GmISU01.03G049600.8.p, GmISU01.03G049600.6.p, GmISU01.03G049600.5.p, GmISU01.03G049600.4.p, GmISU01.03G049600.3.p, GmISU01.01G078200.1.p	Lsat_1_v5_gn_8_84601.1
OG0002048	GmISU01.19G093600.1.p, GmISU01.03G088200.1.p, GmISU01.19G093500.1.p	Lsat_1_v5_gn_9_30340.1, Lsat_1_v5_gn_8_83780.2, Lsat_1_v5_gn_8_83780.1
OG0002049	GmISU01.09G055600.2.p, GmISU01.09G055600.1.p, GmISU01.07G017800.1.p, GmISU01.08G206400.1.p	Lsat_1_v5_gn_7_95121.1, Lsat_1_v5_gn_9_105821.2, Lsat_1_v5_gn_9_105821.1, Lsat_1_v5_gn_5_124481.1
OG0002050	GmISU01.11G050100.2.p, GmISU01.11G050100.3.p, GmISU01.11G050100.1.p, GmISU01.01G147800.1.p, GmISU01.17G157100.2.p, GmISU01.17G157100.1.p	Lsat_1_v5_gn_4_165541.1
OG0002050	GmISU01.17G209700.1.p, GmISU01.14G078400.1.p	Lsat_1_v5_gn_1_21261.1, Lsat_1_v5_gn_1_21261.3
OG0002051	GmISU01.08G313200.1.p, GmISU01.08G313200.3.p, GmISU01.08G313200.2.p, GmISU01.08G313200.7.p, GmISU01.08G313200.6.p, GmISU01.08G313200.8.p, GmISU01.08G313200.9.p, GmISU01.08G313200.4.p, GmISU01.08G313200.5.p, GmISU01.18G125700.3.p, GmISU01.18G125700.4.p, GmISU01.18G125700.5.p, GmISU01.18G125700.1.p, GmISU01.18G125700.6.p, GmISU01.18G125700.2.p, GmISU01.03G048700.1.p, GmISU01.03G048700.2.p, GmISU01.03G048700.3.p, GmISU01.16G082600.1.p, GmISU01.16G082600.2.p, GmISU01.16G082600.3.p	Lsat_1_v5_gn_5_180561.2, Lsat_1_v5_gn_5_180561.1, Lsat_1_v5_gn_9_12441.1
OG0002054	GmISU01.09G106700.1.p, GmISU01.09G106700.3.p, GmISU01.09G106700.2.p, GmISU01.16G152300.1.p, GmISU01.16G152300.2.p, GmISU01.10G194800.2.p, GmISU01.10G194800.1.p, GmISU01.16G152400.2.p, GmISU01.16G152400.3.p, GmISU01.16G152400.1.p, GmISU01.09G106800.1.p, GmISU01.09G106900.1.p, GmISU01.16G152500.1.p	Lsat_1_v5_gn_8_7341.1
OG0002055	GmISU01.04G088000.1.p, GmISU01.04G088000.2.p, GmISU01.06G090100.1.p, GmISU01.06G090100.2.p, GmISU01.02G181800.1.p	Lsat_1_v5_gn_7_70960.5, Lsat_1_v5_gn_9_80681.5, Lsat_1_v5_gn_9_80681.4, Lsat_1_v5_gn_9_80681.3, Lsat_1_v5_gn_7_70960.1, Lsat_1_v5_gn_1_1961.3, Lsat_1_v5_gn_1_1961.2, Lsat_1_v5_gn_1_1961.1
OG0002056	GmISU01.06G015800.1.p, GmISU01.04G017000.1.p, GmISU01.04G017000.2.p, GmISU01.17G228100.1.p, GmISU01.14G187500.1.p	Lsat_1_v5_gn_8_26460.2, Lsat_1_v5_gn_8_26460.1
OG0002057	GmISU01.08G014500.3.p, GmISU01.08G014500.1.p, GmISU01.08G014500.2.p, GmISU01.08G014500.4.p, GmISU01.05G177900.1.p, GmISU01.05G177900.9.p, GmISU01.05G177900.7.p, GmISU01.05G177900.2.p	Lsat_1_v5_gn_6_86400.4, Lsat_1_v5_gn_6_86420.5, Lsat_1_v5_gn_6_86420.1, Lsat_1_v5_gn_6_86420.2, Lsat_1_v5_gn_6_86420.4
OG0002058	GmISU01.16G139200.1.p, GmISU01.02G073700.1.p, GmISU01.10G187500.1.p, GmISU01.20G130000.1.p, GmISU01.16G139300.1.p, GmISU01.02G073800.2.p, GmISU01.02G073800.1.p, GmISU01.10G187600.1.p, GmISU01.10G187600.2.p, GmISU01.20G129800.1.p	Lsat_1_v5_gn_1_6081.1, Lsat_1_v5_gn_6_99141.3, Lsat_1_v5_gn_6_99141.1, Lsat_1_v5_gn_9_41280.1
OG0002059	GmISU01.06G038200.1.p, GmISU01.06G038200.2.p, GmISU01.06G038200.4.p, GmISU01.06G038200.3.p, GmISU01.04G038500.2.p, GmISU01.04G038500.3.p, GmISU01.04G038500.1.p, GmISU01.14G079800.5.p, GmISU01.14G079800.4.p, GmISU01.14G079800.3.p, GmISU01.14G079800.2.p, GmISU01.17G208300.3.p, GmISU01.17G208300.2.p, GmISU01.17G208300.5.p, GmISU01.17G208300.1.p, GmISU01.17G208300.4.p	Lsat_1_v5_gn_4_127620.1, Lsat_1_v5_gn_1_22080.1
OG0002060	GmISU01.04G202200.1.p, GmISU01.06G107900.21.p, GmISU01.06G107900.22.p, GmISU01.06G107900.23.p, GmISU01.06G107900.24.p, GmISU01.06G107900.9.p, GmISU01.06G107900.14.p, GmISU01.06G107900.11.p, GmISU01.06G107900.30.p, GmISU01.06G107900.19.p, GmISU01.06G107900.4.p, GmISU01.06G107900.10.p, GmISU01.06G107900.3.p, GmISU01.06G107900.20.p, GmISU01.06G107900.28.p, GmISU01.06G107900.29.p, GmISU01.06G107900.2.p, GmISU01.06G107900.27.p, GmISU01.06G107900.26.p, GmISU01.06G107900.25.p, GmISU01.06G107900.13.p, GmISU01.06G107900.15.p	Lsat_1_v5_gn_6_110300.3, Lsat_1_v5_gn_6_110300.1
OG0002061	GmISU01.17G151000.1.p	Lsat_1_v5_gn_5_116820.3, Lsat_1_v5_gn_5_116820.1, Lsat_1_v5_gn_7_85880.4, Lsat_1_v5_gn_7_85880.1
OG0002062	GmISU01.19G034900.1.p, GmISU01.13G028800.1.p, GmISU01.08G235300.1.p, GmISU01.18G221900.1.p, GmISU01.13G028900.1.p, GmISU01.19G035100.1.p, GmISU01.19G035200.1.p	Lsat_1_v5_gn_4_175780.3, Lsat_1_v5_gn_4_175780.1, Lsat_1_v5_gn_3_94360.1, Lsat_1_v5_gn_3_94360.2
OG0002063	GmISU01.13G029600.5.p, GmISU01.13G029600.1.p, GmISU01.13G029600.4.p, GmISU01.13G029600.3.p, GmISU01.19G033800.1.p, GmISU01.19G033800.2.p	Lsat_1_v5_gn_5_78880.3, Lsat_1_v5_gn_5_78880.2, Lsat_1_v5_gn_5_78880.1
OG0002064	GmISU01.17G111700.2.p, GmISU01.17G111700.1.p, GmISU01.05G011800.1.p, GmISU01.05G011800.3.p, GmISU01.05G011800.2.p	Lsat_1_v5_gn_1_16080.1, Lsat_1_v5_gn_1_16080.2, Lsat_1_v5_gn_5_25100.1, Lsat_1_v5_gn_5_25100.3
OG0002065	GmISU01.08G139100.1.p, GmISU01.15G198700.1.p, GmISU01.13G166800.1.p, GmISU01.13G167100.1.p, GmISU01.13G166900.1.p, GmISU01.12G198400.1.p, GmISU01.13G168200.1.p, GmISU01.13G168300.1.p	Lsat_1_v5_gn_1_90040.1, Lsat_1_v5_gn_6_106100.1, Lsat_1_v5_gn_1_85580.1, Lsat_1_v5_gn_1_85580.3
OG0002067	GmISU01.05G064300.5.p, GmISU01.05G064300.1.p, GmISU01.17G140500.3.p, GmISU01.17G140500.4.p	Lsat_1_v5_gn_3_16260.3, Lsat_1_v5_gn_3_16260.1
OG0002067	GmISU01.07G107700.1.p, GmISU01.07G107700.2.p, GmISU01.07G107700.3.p, GmISU01.03G075000.1.p, GmISU01.03G075000.2.p, GmISU01.03G075000.3.p	Lsat_1_v5_gn_4_39140.1, Lsat_1_v5_gn_5_31200.1
OG0002068	GmISU01.19G008500.3.p, GmISU01.19G008500.6.p, GmISU01.19G008500.5.p, GmISU01.13G141200.9.p, GmISU01.13G141200.10.p, GmISU01.13G141200.6.p, GmISU01.13G141200.8.p, GmISU01.13G141200.1.p, GmISU01.13G141200.11.p, GmISU01.19G008500.1.p, GmISU01.19G008500.2.p, GmISU01.19G008500.7.p, GmISU01.02G031000.3.p, GmISU01.02G031000.1.p, GmISU01.02G031000.2.p	Lsat_1_v5_gn_8_157280.2, Lsat_1_v5_gn_8_157280.1
OG0002069	GmISU01.06G273300.2.p, GmISU01.04G100000.1.p, GmISU01.04G100000.3.p, GmISU01.04G100000.4.p	Lsat_1_v5_gn_5_109261.2, Lsat_1_v5_gn_5_109261.1, Lsat_1_v5_gn_5_109261.3, Lsat_1_v5_gn_7_77580.1, Lsat_1_v5_gn_9_118940.2, Lsat_1_v5_gn_9_118940.3, Lsat_1_v5_gn_9_118940.1
OG0002070	GmISU01.09G197900.2.p, GmISU01.09G197900.1.p, GmISU01.18G199400.3.p, GmISU01.18G199400.5.p, GmISU01.18G199400.2.p, GmISU01.18G199400.1.p, GmISU01.18G199400.4.p, GmISU01.13G043800.5.p	Lsat_1_v5_gn_4_179941.2, Lsat_1_v5_gn_4_179941.3, Lsat_1_v5_gn_4_179941.1, Lsat_1_v5_gn_2_88460.2, Lsat_1_v5_gn_2_88460.1
OG0002071	GmISU01.19G002300.1.p, GmISU01.19G002300.3.p, GmISU01.19G002300.2.p, GmISU01.02G079900.1.p, GmISU01.18G235750.1.p	Lsat_1_v5_gn_1_89001.1
OG0002072	GmISU01.19G010100.2.p, GmISU01.19G010100.1.p, GmISU01.13G048800.2.p, GmISU01.13G048800.1.p	Lsat_1_v5_gn_4_181561.1, Lsat_1_v5_gn_2_92520.1
OG0002072	GmISU01.08G259000.1.p, GmISU01.18G108900.1.p, GmISU01.02G030000.1.p, GmISU01.01G029700.1.p	Lsat_1_v5_gn_3_48000.1, Lsat_1_v5_gn_4_7081.1
OG0002073	GmISU01.20G023900.1.p, GmISU01.20G023800.1.p, GmISU01.20G024000.1.p, GmISU01.20G023500.1.p, GmISU01.20G023600.1.p, GmISU01.07G201300.1.p, GmISU01.17G032600.1.p, GmISU01.17G032500.1.p	Lsat_1_v5_gn_7_59300.1, Lsat_1_v5_gn_7_59420.3, Lsat_1_v5_gn_7_59360.2, Lsat_1_v5_gn_7_59420.1, Lsat_1_v5_gn_7_59360.1, Lsat_1_v5_gn_7_59420.2, Lsat_1_v5_gn_5_185420.1, Lsat_1_v5_gn_5_185380.1, Lsat_1_v5_gn_6_301.1, Lsat_1_v5_gn_6_301.3
OG0002079	GmISU01.17G157000.1.p	Lsat_1_v5_gn_8_143360.2, Lsat_1_v5_gn_8_143360.3, Lsat_1_v5_gn_8_143360.1, Lsat_1_v5_gn_4_93440.1, Lsat_1_v5_gn_4_139581.1, Lsat_1_v5_gn_8_123281.1, Lsat_1_v5_gn_6_60401.1, Lsat_1_v5_gn_3_96901.1, Lsat_1_v5_gn_7_67600.1, Lsat_1_v5_gn_6_64401.1, Lsat_1_v5_gn_6_64561.1, Lsat_1_v5_gn_9_115701.1, Lsat_1_v5_gn_1_30700.1, Lsat_1_v5_gn_5_164901.1, Lsat_1_v5_gn_8_39100.1, Lsat_1_v5_gn_8_440.1, Lsat_1_v5_gn_1_123660.1, Lsat_1_v5_gn_9_44281.1, Lsat_1_v5_gn_9_44281.2, Lsat_1_v5_gn_2_16641.1, Lsat_1_v5_gn_4_160641.1, Lsat_1_v5_gn_1_95961.1, Lsat_1_v5_gn_3_62800.2, Lsat_1_v5_gn_3_72860.1, Lsat_1_v5_gn_8_86741.1, Lsat_1_v5_gn_2_57141.1, Lsat_1_v5_gn_3_24321.1, Lsat_1_v5_gn_2_45020.1, Lsat_1_v5_gn_1_57420.1, Lsat_1_v5_gn_3_86400.1, Lsat_1_v5_gn_4_135900.3, Lsat_1_v5_gn_4_135900.1, Lsat_1_v5_gn_3_138160.1, Lsat_1_v5_gn_3_138160.3, Lsat_1_v5_gn_4_124641.1, Lsat_1_v5_gn_3_61181.1, Lsat_1_v5_gn_6_181.1, Lsat_1_v5_gn_8_55200.1, Lsat_1_v5_gn_5_112560.1
OG0002086	GmISU01.19G203500.1.p, GmISU01.20G186700.3.p, GmISU01.10G128400.1.p, GmISU01.03G202500.2.p	Lsat_1_v5_gn_9_3421.1, Lsat_1_v5_gn_9_3421.2, Lsat_1_v5_gn_5_184101.1, Lsat_1_v5_gn_8_56540.1
OG0002087	GmISU01.08G104800.2.p, GmISU01.08G104800.3.p, GmISU01.08G104800.1.p, GmISU01.08G104800.4.p, GmISU01.05G130200.1.p, GmISU01.14G110600.1.p, GmISU01.17G176200.1.p	Lsat_1_v5_gn_6_51940.1, Lsat_1_v5_gn_6_51940.3, Lsat_1_v5_gn_6_51940.2, Lsat_1_v5_gn_6_51940.4
OG0002088	GmISU01.05G155400.1.p, GmISU01.08G131800.1.p, GmISU01.08G131900.1.p, GmISU01.05G155500.1.p, GmISU01.15G224700.1.p, GmISU01.08G140800.1.p, GmISU01.08G140800.2.p	Lsat_1_v5_gn_5_67280.1, Lsat_1_v5_gn_5_67280.3, Lsat_1_v5_gn_5_67841.2, Lsat_1_v5_gn_5_67841.1, Lsat_1_v5_gn_4_46261.1
OG0002089	GmISU01.12G036100.2.p, GmISU01.12G036100.1.p, GmISU01.11G105200.1.p, GmISU01.11G105100.1.p, GmISU01.01G064900.1.p	Lsat_1_v5_gn_0_39541.2, Lsat_1_v5_gn_0_39541.1, Lsat_1_v5_gn_5_158101.1, Lsat_1_v5_gn_5_158540.3, Lsat_1_v5_gn_5_158540.1
OG0002090	GmISU01.02G078100.1.p, GmISU01.07G146800.1.p, GmISU01.07G146900.1.p, GmISU01.02G078200.1.p	Lsat_1_v5_gn_6_60480.1, Lsat_1_v5_gn_6_60480.4
OG0002091	GmISU01.13G095200.2.p, GmISU01.10G033800.2.p, GmISU01.10G033800.1.p, GmISU01.13G095200.1.p	Lsat_1_v5_gn_8_92980.2, Lsat_1_v5_gn_8_92980.3, Lsat_1_v5_gn_8_92980.1
OG0002092	GmISU01.19G124500.1.p, GmISU01.03G120400.1.p, GmISU01.02G130200.1.p, GmISU01.10G027200.1.p	Lsat_1_v5_gn_9_6020.1, Lsat_1_v5_gn_9_6020.3, Lsat_1_v5_gn_9_6000.3, Lsat_1_v5_gn_9_6000.1
OG0002093	GmISU01.03G023300.2.p, GmISU01.03G023300.1.p, GmISU01.01G106500.3.p, GmISU01.01G106500.1.p	Lsat_1_v5_gn_6_100921.1
OG0002094	GmISU01.01G168600.4.p, GmISU01.01G168600.2.p, GmISU01.01G168600.5.p, GmISU01.01G168600.1.p, GmISU01.11G030100.2.p, GmISU01.11G030100.1.p, GmISU01.11G030100.3.p, GmISU01.11G030000.2.p, GmISU01.11G030000.1.p, GmISU01.01G168700.1.p	Lsat_1_v5_gn_3_100.1, Lsat_1_v5_gn_8_155260.1, Lsat_1_v5_gn_6_8461.1, Lsat_1_v5_gn_6_90960.2, Lsat_1_v5_gn_6_90960.1
OG0002095	GmISU01.20G081100.3.p, GmISU01.20G081100.1.p, GmISU01.20G081100.4.p, GmISU01.20G081100.2.p, GmISU01.10G235200.1.p	Lsat_1_v5_gn_2_113200.3, Lsat_1_v5_gn_2_113200.1
OG0002096	GmISU01.17G018800.2.p, GmISU01.17G018800.1.p, GmISU01.13G180400.7.p, GmISU01.13G180400.5.p, GmISU01.13G180400.6.p, GmISU01.13G180400.2.p, GmISU01.13G180400.3.p, GmISU01.13G180400.4.p, GmISU01.13G180500.1.p, GmISU01.13G180500.2.p, GmISU01.07G215400.2.p	Lsat_1_v5_gn_5_59420.1, Lsat_1_v5_gn_5_54940.1, Lsat_1_v5_gn_5_54940.3
OG0002097	GmISU01.19G087500.1.p, GmISU01.05G072100.1.p	Lsat_1_v5_gn_2_103660.1
OG0002097	GmISU01.19G087400.1.p, GmISU01.16G033100.1.p	Lsat_1_v5_gn_6_31501.3, Lsat_1_v5_gn_6_31501.1
OG0002098	GmISU01.08G053000.2.p, GmISU01.08G053000.1.p, GmISU01.07G160700.1.p	Lsat_1_v5_gn_4_56141.1, Lsat_1_v5_gn_4_56141.3
OG0002098	GmISU01.11G179500.1.p, GmISU01.18G057200.2.p, GmISU01.18G057200.3.p, GmISU01.02G191700.1.p, GmISU01.02G191700.2.p, GmISU01.14G160500.1.p	Lsat_1_v5_gn_5_172941.1, Lsat_1_v5_gn_5_172941.4
OG0002099	GmISU01.06G087400.1.p, GmISU01.10G210500.2.p, GmISU01.10G210500.5.p, GmISU01.10G210500.11.p, GmISU01.10G210500.9.p, GmISU01.10G210500.1.p, GmISU01.10G210500.4.p, GmISU01.10G210500.10.p, GmISU01.10G210500.8.p, GmISU01.10G210500.3.p, GmISU01.20G110000.3.p, GmISU01.20G110000.4.p, GmISU01.20G110000.2.p, GmISU01.20G110000.5.p, GmISU01.20G110000.1.p	Lsat_1_v5_gn_5_148881.1
OG0002100	GmISU01.10G019200.1.p, GmISU01.10G019200.2.p, GmISU01.02G138200.1.p, GmISU01.02G138200.3.p, GmISU01.03G170000.1.p, GmISU01.19G171800.1.p	Lsat_1_v5_gn_5_189480.3, Lsat_1_v5_gn_5_189480.1
OG0002101	GmISU01.01G000900.1.p, GmISU01.01G000900.2.p	Lsat_1_v5_gn_4_134000.2, Lsat_1_v5_gn_4_134000.1
OG0002101	GmISU01.01G001200.1.p	Lsat_1_v5_gn_5_80860.1
OG0002102	GmISU01.17G035900.1.p, GmISU01.13G092100.2.p, GmISU01.17G035900.2.p, GmISU01.13G092100.1.p, GmISU01.09G069100.1.p, GmISU01.15G167300.1.p	Lsat_1_v5_gn_1_39900.4, Lsat_1_v5_gn_1_39900.3, Lsat_1_v5_gn_1_39900.2, Lsat_1_v5_gn_1_39900.1
OG0002103	GmISU01.20G188900.1.p	Lsat_1_v5_gn_5_51160.2, Lsat_1_v5_gn_9_96021.1, Lsat_1_v5_gn_5_51160.3, Lsat_1_v5_gn_5_51160.1
OG0002104	GmISU01.13G243200.2.p, GmISU01.13G243100.2.p, GmISU01.07G055100.2.p, GmISU01.07G055200.2.p, GmISU01.13G243200.1.p, GmISU01.13G243100.1.p, GmISU01.07G055200.1.p, GmISU01.07G055100.1.p, GmISU01.16G025700.1.p	Lsat_1_v5_gn_5_176220.1, Lsat_1_v5_gn_5_176220.2, Lsat_1_v5_gn_5_176220.3, Lsat_1_v5_gn_8_98561.3, Lsat_1_v5_gn_8_98561.1, Lsat_1_v5_gn_8_98561.2, Lsat_1_v5_gn_9_17201.2, Lsat_1_v5_gn_9_17201.1
OG0002105	GmISU01.11G009800.3.p, GmISU01.11G009800.1.p, GmISU01.11G009800.2.p, GmISU01.11G009800.4.p, GmISU01.01G186600.1.p	Lsat_1_v5_gn_1_52320.4, Lsat_1_v5_gn_1_52320.3, Lsat_1_v5_gn_1_52320.1, Lsat_1_v5_gn_6_24981.2, Lsat_1_v5_gn_6_24981.1
OG0002105	GmISU01.12G016400.5.p, GmISU01.12G016400.7.p, GmISU01.12G016400.6.p, GmISU01.12G016400.2.p, GmISU01.12G016400.3.p, GmISU01.12G016400.1.p, GmISU01.12G016400.4.p, GmISU01.11G084100.3.p, GmISU01.11G084100.1.p	Lsat_1_v5_gn_1_52320.2
OG0002106	GmISU01.11G153900.2.p, GmISU01.11G153900.3.p, GmISU01.12G073600.1.p, GmISU01.12G073600.4.p, GmISU01.12G073600.2.p, GmISU01.13G282100.1.p, GmISU01.13G282100.3.p, GmISU01.13G282100.2.p, GmISU01.12G146600.1.p, GmISU01.12G146600.2.p	Lsat_1_v5_gn_6_43200.1, Lsat_1_v5_gn_6_43200.3
