Orthogroup	G_max.proteins	A_hypochondriacus.proteins
OG0001134	GmISU01.13G042300.1.p, GmISU01.19G018800.1.p, GmISU01.18G104800.1.p, GmISU01.09G196300.1.p, GmISU01.18G202400.2.p, GmISU01.18G202400.1.p	AH015764-RA
OG0001134	GmISU01.02G017300.4.p, GmISU01.02G017300.2.p, GmISU01.02G017300.3.p, GmISU01.02G017300.1.p, GmISU01.01G041000.2.p, GmISU01.01G041000.1.p, GmISU01.01G041000.3.p, GmISU01.08G266900.1.p, GmISU01.18G101900.1.p	AH005090-RA
OG0001135	GmISU01.12G027300.2.p, GmISU01.12G027300.3.p, GmISU01.12G027300.1.p, GmISU01.11G096300.5.p, GmISU01.11G096300.4.p, GmISU01.11G096300.2.p, GmISU01.11G096300.3.p, GmISU01.20G004000.1.p, GmISU01.20G004000.2.p, GmISU01.09G235200.8.p, GmISU01.09G235200.7.p, GmISU01.09G235200.1.p	AH001124-RA, AH000067-RA
OG0001136	GmISU01.09G134100.2.p, GmISU01.09G134100.1.p, GmISU01.07G096800.6.p, GmISU01.07G096800.5.p, GmISU01.09G134000.1.p, GmISU01.09G134000.4.p, GmISU01.07G096900.1.p	AH015798-RA, AH015799-RA
OG0001141	GmISU01.10G091800.1.p, GmISU01.10G092000.1.p, GmISU01.10G092100.1.p	AH006389-RA, AH023250-RA
OG0001142	GmISU01.08G308900.1.p, GmISU01.18G122000.1.p, GmISU01.03G194600.1.p, GmISU01.10G122100.1.p, GmISU01.20G193550.1.p	AH007571-RA
OG0001143	GmISU01.03G068200.1.p, GmISU01.16G074300.1.p	AH013596-RA
OG0001143	GmISU01.08G307900.1.p, GmISU01.18G120600.1.p	AH013595-RA
OG0001144	GmISU01.11G178000.1.p, GmISU01.11G178000.4.p, GmISU01.11G178000.2.p, GmISU01.11G177600.2.p, GmISU01.11G177600.1.p, GmISU01.11G177600.3.p, GmISU01.11G177600.4.p, GmISU01.02G191800.1.p, GmISU01.14G160600.3.p, GmISU01.14G160600.1.p, GmISU01.14G160600.5.p, GmISU01.14G160600.2.p	AH002146-RA, AH015584-RA
OG0001145	GmISU01.08G007700.1.p, GmISU01.05G170500.1.p, GmISU01.05G170500.2.p	AH002687-RA
OG0001145	GmISU01.20G188700.1.p, GmISU01.10G126700.1.p, GmISU01.03G200200.1.p, GmISU01.19G201000.1.p	AH010871-RA, AH007537-RA
OG0001146	GmISU01.01G080000.1.p, GmISU01.03G052100.1.p, GmISU01.18G140600.1.p, GmISU01.01G080100.1.p, GmISU01.03G052400.1.p	AH018876-RA
OG0001146	GmISU01.18G140900.4.p, GmISU01.18G140900.7.p, GmISU01.18G140900.5.p, GmISU01.18G140900.6.p, GmISU01.18G140900.3.p, GmISU01.18G140900.1.p, GmISU01.18G140900.2.p	AH011698-RA
OG0001147	GmISU01.03G154700.2.p, GmISU01.03G154700.1.p, GmISU01.10G063500.1.p	AH021829-RA, AH021828-RA
OG0001147	GmISU01.03G154800.1.p, GmISU01.19G157100.1.p	AH021827-RA, AH012620-RA
OG0001148	GmISU01.19G000700.1.p	AH013387-RA
OG0001149	GmISU01.06G126000.1.p, GmISU01.04G185700.2.p, GmISU01.04G185700.1.p, GmISU01.06G126100.1.p, GmISU01.04G185600.1.p	AH011884-RA
OG0001149	GmISU01.19G095000.2.p, GmISU01.19G094900.1.p, GmISU01.03G089200.1.p, GmISU01.03G089300.2.p, GmISU01.03G089300.1.p	AH010685-RA, AH007824-RA
OG0001150	GmISU01.02G142000.1.p	AH020477-RA
OG0001151	GmISU01.18G120400.1.p, GmISU01.03G061400.1.p	AH013071-RA
OG0001151	GmISU01.06G121800.1.p, GmISU01.04G190100.1.p	AH019718-RA, AH011930-RA
OG0001152	GmISU01.02G145550.1.p, GmISU01.20G150100.1.p	AH007923-RA
OG0001152	GmISU01.03G150300.3.p, GmISU01.03G150300.1.p, GmISU01.19G153600.2.p, GmISU01.19G153600.1.p, GmISU01.10G058500.1.p, GmISU01.13G121100.1.p, GmISU01.13G121100.2.p, GmISU01.13G121100.3.p, GmISU01.10G058500.2.p	AH021862-RA, AH012678-RA
OG0001153	GmISU01.09G122800.15.p, GmISU01.09G122800.14.p, GmISU01.16G176000.4.p, GmISU01.16G176000.1.p, GmISU01.09G122800.11.p, GmISU01.09G122800.10.p, GmISU01.09G122800.8.p, GmISU01.09G122800.12.p, GmISU01.09G122800.9.p, GmISU01.09G122800.13.p, GmISU01.09G122800.6.p, GmISU01.09G122800.5.p, GmISU01.09G122800.7.p	AH011761-RA
OG0001154	GmISU01.16G038300.3.p, GmISU01.16G038300.2.p, GmISU01.16G038300.1.p, GmISU01.19G081400.1.p, GmISU01.19G081400.2.p, GmISU01.02G064300.2.p, GmISU01.02G064300.3.p, GmISU01.02G064300.1.p, GmISU01.16G125000.4.p, GmISU01.16G125000.5.p, GmISU01.16G125000.2.p, GmISU01.16G125000.11.p, GmISU01.16G125000.1.p	AH006933-RA
OG0001155	GmISU01.01G156700.1.p, GmISU01.01G156700.2.p, GmISU01.01G156700.3.p, GmISU01.01G156700.4.p, GmISU01.11G041000.4.p, GmISU01.17G144800.1.p, GmISU01.05G088200.1.p	AH003848-RA, AH005731-RA
OG0001155	GmISU01.06G044000.1.p, GmISU01.04G044600.1.p, GmISU01.14G086000.1.p, GmISU01.17G201800.1.p	AH016711-RA
OG0001156	GmISU01.01G151500.1.p, GmISU01.18G144000.1.p	AH003904-RA
OG0001157	GmISU01.17G148000.1.p	AH005694-RA, AH003879-RA
OG0001158	GmISU01.05G077200.4.p, GmISU01.05G077200.7.p, GmISU01.05G077200.6.p, GmISU01.05G077200.1.p, GmISU01.05G077200.3.p, GmISU01.17G154800.7.p, GmISU01.17G154800.4.p, GmISU01.17G154800.3.p, GmISU01.17G154800.6.p, GmISU01.11G048600.2.p, GmISU01.11G048600.1.p, GmISU01.11G048600.3.p, GmISU01.01G149300.2.p, GmISU01.01G149300.4.p, GmISU01.01G149300.3.p	AH006127-RA
OG0001159	GmISU01.06G145500.1.p, GmISU01.04G167800.1.p	AH003277-RA
OG0001159	GmISU01.08G173100.1.p, GmISU01.15G043500.1.p	AH004048-RA
OG0001160	GmISU01.01G190100.1.p, GmISU01.11G013400.1.p	AH023721-RA, AH023722-RA
OG0001160	GmISU01.02G038900.1.p	AH004290-RA, AH004943-RA
OG0001162	GmISU01.01G120800.2.p, GmISU01.01G120800.1.p, GmISU01.11G079600.1.p, GmISU01.11G079600.2.p, GmISU01.16G093700.2.p, GmISU01.16G093700.1.p, GmISU01.09G157600.1.p, GmISU01.09G157600.2.p	AH003595-RA
OG0001163	GmISU01.10G221800.1.p, GmISU01.20G096100.1.p	AH001668-RA
OG0001163	GmISU01.14G080900.1.p	AH008411-RA
OG0001163	GmISU01.06G038700.1.p, GmISU01.04G039200.1.p	AH016942-RA
OG0001164	GmISU01.05G137400.9.p, GmISU01.05G137400.7.p, GmISU01.05G137400.8.p, GmISU01.05G137400.2.p, GmISU01.05G137400.3.p, GmISU01.05G137400.5.p, GmISU01.05G137400.4.p, GmISU01.05G137400.6.p, GmISU01.05G137400.1.p, GmISU01.08G111900.1.p, GmISU01.08G111900.3.p, GmISU01.08G111900.4.p, GmISU01.08G111900.2.p, GmISU01.08G111900.5.p	AH017026-RA
OG0001165	GmISU01.14G181900.3.p, GmISU01.14G181900.2.p, GmISU01.14G181900.4.p, GmISU01.14G181900.1.p, GmISU01.14G181900.5.p, GmISU01.17G223500.2.p, GmISU01.17G223500.3.p, GmISU01.17G223500.4.p, GmISU01.17G223500.1.p, GmISU01.06G022400.5.p, GmISU01.06G022400.3.p, GmISU01.06G022400.2.p, GmISU01.06G022400.4.p, GmISU01.04G024500.5.p, GmISU01.04G024500.3.p, GmISU01.04G024500.2.p	AH008325-RA, AH016691-RA
OG0001166	GmISU01.18G076000.1.p, GmISU01.08G288400.1.p, GmISU01.08G287900.1.p, GmISU01.18G076800.1.p, GmISU01.18G075200.1.p, GmISU01.18G075000.1.p, GmISU01.08G288200.1.p	AH007858-RA
OG0001167	GmISU01.13G309100.1.p, GmISU01.13G309100.2.p, GmISU01.15G022900.1.p, GmISU01.07G009000.1.p, GmISU01.08G179800.1.p	AH013303-RA, AH013304-RA
OG0001169	GmISU01.01G122800.2.p, GmISU01.11G077200.1.p, GmISU01.11G077200.2.p, GmISU01.11G077200.3.p, GmISU01.01G122800.1.p, GmISU01.01G122800.3.p	AH006416-RA
OG0001169	GmISU01.06G000600.1.p, GmISU01.06G000600.3.p, GmISU01.04G000800.2.p, GmISU01.04G000800.1.p	AH023725-RA
OG0001170	GmISU01.12G039400.2.p, GmISU01.12G039400.3.p, GmISU01.12G039400.1.p, GmISU01.12G039400.4.p, GmISU01.11G108700.1.p, GmISU01.11G108700.3.p	AH001817-RA
OG0001171	GmISU01.02G268800.2.p, GmISU01.02G268800.1.p, GmISU01.02G268800.3.p, GmISU01.14G002100.1.p, GmISU01.14G002100.2.p	AH002354-RA
OG0001172	GmISU01.18G072400.2.p, GmISU01.18G072400.1.p, GmISU01.08G290300.1.p, GmISU01.08G290300.2.p, GmISU01.14G015800.3.p, GmISU01.14G015800.2.p, GmISU01.14G015800.1.p, GmISU01.02G256000.1.p, GmISU01.14G006600.1.p, GmISU01.02G264800.1.p	AH000090-RA, AH001173-RA
OG0001173	GmISU01.15G098300.1.p, GmISU01.13G174100.1.p	AH015023-RA
OG0001173	GmISU01.07G221000.2.p, GmISU01.01G088300.3.p, GmISU01.01G088300.4.p, GmISU01.01G088300.1.p, GmISU01.18G087500.1.p, GmISU01.08G279000.1.p, GmISU01.08G279000.2.p	AH008168-RA, AH009928-RA
OG0001174	GmISU01.15G074900.2.p, GmISU01.15G074900.1.p, GmISU01.13G199400.1.p, GmISU01.07G173000.1.p, GmISU01.13G143600.2.p, GmISU01.13G143600.1.p	AH015288-RA
OG0001175	GmISU01.01G006000.3.p, GmISU01.01G006000.1.p, GmISU01.01G006000.4.p, GmISU01.07G110300.3.p, GmISU01.07G110300.4.p, GmISU01.07G110300.2.p, GmISU01.07G110300.1.p, GmISU01.07G110300.5.p, GmISU01.01G006000.2.p, GmISU01.01G006000.5.p	AH000334-RA
OG0001176	GmISU01.17G008000.1.p, GmISU01.07G226800.1.p, GmISU01.15G104700.2.p, GmISU01.15G104700.1.p, GmISU01.09G008000.1.p, GmISU01.09G008000.2.p	AH021471-RA, AH014932-RA
OG0001176	GmISU01.02G253200.4.p, GmISU01.02G253200.2.p, GmISU01.18G078100.1.p	AH009878-RA
OG0001177	GmISU01.09G101800.1.p, GmISU01.09G101800.3.p, GmISU01.09G101800.2.p, GmISU01.16G148000.3.p, GmISU01.16G148000.1.p, GmISU01.16G148000.2.p, GmISU01.20G127000.2.p, GmISU01.20G127000.3.p, GmISU01.20G127000.1.p	AH003150-RA, AH018700-RA
OG0001178	GmISU01.04G153200.1.p	AH022370-RA
OG0001178	GmISU01.08G281500.1.p, GmISU01.18G083600.1.p, GmISU01.18G083600.3.p, GmISU01.18G083600.2.p, GmISU01.02G250200.3.p, GmISU01.14G022300.3.p, GmISU01.02G250200.4.p, GmISU01.02G250200.2.p, GmISU01.02G250200.1.p, GmISU01.14G022300.5.p, GmISU01.14G022300.1.p, GmISU01.14G022300.6.p, GmISU01.14G022300.7.p, GmISU01.14G022300.2.p, GmISU01.14G022300.4.p, GmISU01.14G022300.8.p	AH018244-RA, AH011465-RA
OG0001179	GmISU01.16G004400.1.p, GmISU01.16G004400.2.p, GmISU01.07G033600.2.p, GmISU01.07G033600.1.p	AH013358-RA
OG0001179	GmISU01.13G080600.1.p, GmISU01.17G046700.1.p, GmISU01.13G080600.2.p, GmISU01.17G046700.2.p, GmISU01.17G046700.4.p, GmISU01.17G046700.3.p, GmISU01.15G157500.1.p, GmISU01.09G061700.1.p	AH014557-RA
OG0001180	GmISU01.02G063300.1.p, GmISU01.16G124200.1.p, GmISU01.05G202100.1.p, GmISU01.08G039900.1.p	AH005365-RA
OG0001180	GmISU01.13G140400.1.p, GmISU01.13G140400.2.p, GmISU01.17G106700.1.p	AH014071-RA
OG0001182	GmISU01.03G015000.1.p, GmISU01.03G015000.4.p, GmISU01.07G071100.2.p, GmISU01.03G015000.2.p, GmISU01.07G071100.5.p, GmISU01.07G071100.1.p	AH009218-RA
OG0001183	GmISU01.20G126300.1.p, GmISU01.20G126300.3.p, GmISU01.20G126300.6.p, GmISU01.20G126300.5.p, GmISU01.20G126300.4.p, GmISU01.10G192900.2.p, GmISU01.10G192900.1.p, GmISU01.16G150400.1.p, GmISU01.09G104200.1.p	AH012097-RA
OG0001183	GmISU01.18G183200.1.p, GmISU01.18G183200.2.p, GmISU01.07G059900.1.p, GmISU01.07G060000.1.p, GmISU01.16G029300.1.p	AH009641-RA
OG0001184	GmISU01.08G043700.1.p, GmISU01.05G206000.1.p	AH011608-RA
OG0001184	GmISU01.08G012500.3.p, GmISU01.08G012500.1.p, GmISU01.11G021700.1.p	AH003173-RA
OG0001186	GmISU01.13G135700.8.p, GmISU01.13G135700.9.p, GmISU01.13G135700.10.p, GmISU01.13G135700.7.p, GmISU01.13G135700.3.p, GmISU01.13G135700.2.p, GmISU01.13G135700.4.p, GmISU01.13G135700.5.p, GmISU01.13G135700.6.p, GmISU01.17G098600.1.p, GmISU01.17G098600.6.p, GmISU01.17G098600.4.p, GmISU01.17G098600.5.p, GmISU01.17G098600.2.p, GmISU01.17G098600.7.p	AH013962-RA
OG0001187	GmISU01.16G092700.1.p, GmISU01.16G068600.1.p, GmISU01.11G082100.1.p, GmISU01.11G082300.1.p, GmISU01.11G082200.1.p	AH018784-RA
OG0001188	GmISU01.05G178200.1.p, GmISU01.05G178200.2.p, GmISU01.08G014800.1.p	AH017993-RA
OG0001188	GmISU01.18G180700.2.p, GmISU01.18G180700.1.p, GmISU01.09G213500.4.p, GmISU01.09G213500.2.p, GmISU01.09G213500.1.p, GmISU01.07G062800.2.p, GmISU01.07G062800.1.p, GmISU01.07G062800.3.p, GmISU01.16G031900.1.p	AH009666-RA
OG0001189	GmISU01.11G030700.13.p, GmISU01.11G030700.11.p, GmISU01.11G030700.12.p, GmISU01.11G030700.14.p, GmISU01.11G030700.10.p, GmISU01.01G168000.6.p, GmISU01.01G168000.5.p, GmISU01.01G168000.10.p, GmISU01.01G168000.1.p, GmISU01.01G168000.7.p, GmISU01.01G168000.14.p, GmISU01.01G168000.4.p, GmISU01.01G168000.12.p, GmISU01.01G168000.9.p, GmISU01.01G168000.3.p, GmISU01.01G168000.8.p, GmISU01.01G168000.2.p, GmISU01.01G168000.11.p, GmISU01.01G168000.13.p, GmISU01.01G168000.19.p, GmISU01.01G168000.18.p, GmISU01.01G168000.20.p, GmISU01.01G168000.15.p, GmISU01.01G168000.21.p, GmISU01.01G168000.17.p, GmISU01.01G168000.16.p	AH018210-RA
OG0001190	GmISU01.06G251500.1.p, GmISU01.06G251500.8.p, GmISU01.06G251500.4.p, GmISU01.06G251500.2.p, GmISU01.06G251500.3.p, GmISU01.06G251500.5.p, GmISU01.12G097000.3.p, GmISU01.12G097000.2.p, GmISU01.12G097000.4.p, GmISU01.12G097000.1.p, GmISU01.13G261200.1.p, GmISU01.13G261200.3.p, GmISU01.13G261200.7.p, GmISU01.13G261200.6.p, GmISU01.13G261200.2.p, GmISU01.13G261200.8.p, GmISU01.13G261200.4.p, GmISU01.13G261200.5.p, GmISU01.12G169300.3.p, GmISU01.12G169300.2.p, GmISU01.12G169300.1.p	AH000448-RA, AH000447-RA
OG0001191	GmISU01.13G273200.1.p, GmISU01.13G273200.4.p, GmISU01.13G273200.2.p, GmISU01.13G273200.5.p, GmISU01.13G273200.3.p, GmISU01.12G156200.6.p, GmISU01.12G156200.7.p, GmISU01.12G156200.1.p, GmISU01.12G156200.4.p, GmISU01.12G156200.5.p	AH022626-RA
OG0001192	GmISU01.20G107200.1.p, GmISU01.11G002900.2.p, GmISU01.11G002900.3.p	AH021523-RA, AH015039-RA
OG0001193	GmISU01.11G150900.1.p, GmISU01.11G150900.2.p, GmISU01.12G077000.2.p, GmISU01.12G077000.1.p, GmISU01.12G149400.1.p, GmISU01.13G279600.1.p, GmISU01.19G154700.2.p, GmISU01.19G154700.1.p, GmISU01.03G151200.2.p	AH021851-RA
OG0001194	GmISU01.08G286700.1.p, GmISU01.18G078300.1.p	AH009883-RA, AH008232-RA, AH009884-RA
OG0001194	GmISU01.15G104600.2.p, GmISU01.15G104600.3.p, GmISU01.15G104600.1.p, GmISU01.09G007800.1.p	AH021473-RA, AH014934-RA
OG0001195	GmISU01.14G050000.1.p, GmISU01.02G221400.1.p, GmISU01.11G213500.1.p, GmISU01.18G020300.1.p	AH016309-RA, AH023167-RA
OG0001196	GmISU01.11G147100.1.p, GmISU01.11G147100.4.p, GmISU01.11G147100.3.p, GmISU01.12G080900.2.p, GmISU01.12G080900.1.p, GmISU01.12G152600.2.p, GmISU01.13G276500.1.p, GmISU01.02G063900.1.p, GmISU01.02G063900.5.p, GmISU01.02G063900.3.p, GmISU01.02G063900.4.p, GmISU01.02G063900.2.p, GmISU01.16G124700.2.p, GmISU01.16G124700.1.p	AH006827-RA, AH020348-RA
OG0001197	GmISU01.08G159200.3.p, GmISU01.08G159200.2.p, GmISU01.08G159200.1.p, GmISU01.15G211700.3.p, GmISU01.15G211700.1.p, GmISU01.15G211700.2.p, GmISU01.15G184200.2.p, GmISU01.15G184200.1.p, GmISU01.15G211600.2.p, GmISU01.15G211600.1.p, GmISU01.08G159100.3.p, GmISU01.08G159100.4.p	AH023431-RA
OG0001198	GmISU01.02G017050.1.p, GmISU01.09G185400.1.p, GmISU01.15G229500.1.p, GmISU01.10G077400.1.p	AH022726-RA, AH017490-RA
OG0001199	GmISU01.12G190500.6.p, GmISU01.12G190500.4.p, GmISU01.12G190500.2.p, GmISU01.12G190500.5.p, GmISU01.12G190500.3.p, GmISU01.13G237400.1.p, GmISU01.06G205500.5.p, GmISU01.06G205500.2.p, GmISU01.06G205500.3.p, GmISU01.06G205500.1.p, GmISU01.06G205500.4.p, GmISU01.06G205500.6.p, GmISU01.12G133100.5.p, GmISU01.12G133100.2.p, GmISU01.12G133100.6.p, GmISU01.12G133100.4.p, GmISU01.12G133100.7.p, GmISU01.12G133100.3.p, GmISU01.12G133100.8.p	AH010076-RA
OG0001200	GmISU01.06G151600.8.p, GmISU01.06G151600.3.p, GmISU01.06G151600.11.p, GmISU01.06G151600.5.p, GmISU01.06G151600.9.p, GmISU01.06G151600.1.p, GmISU01.06G151600.6.p, GmISU01.06G151600.7.p, GmISU01.06G151600.2.p, GmISU01.06G151600.10.p, GmISU01.04G162200.1.p, GmISU01.04G162200.6.p, GmISU01.04G162200.4.p, GmISU01.04G162200.3.p, GmISU01.04G162200.5.p, GmISU01.04G162200.2.p	AH002957-RA
OG0001201	GmISU01.18G103500.1.p, GmISU01.18G103500.2.p, GmISU01.08G265100.2.p, GmISU01.08G265100.1.p, GmISU01.08G265100.6.p, GmISU01.08G265100.5.p, GmISU01.08G265100.4.p, GmISU01.08G265100.3.p	AH004686-RA
OG0001202	GmISU01.17G016000.1.p, GmISU01.07G217900.1.p, GmISU01.07G218000.1.p, GmISU01.17G015900.1.p	AH011829-RA, AH011828-RA, AH011830-RA
OG0001203	GmISU01.01G038200.1.p, GmISU01.02G020700.1.p, GmISU01.02G020800.1.p, GmISU01.01G038100.1.p, GmISU01.08G264400.1.p, GmISU01.18G104200.1.p	AH014538-RA, AH014539-RA
OG0001203	GmISU01.18G199700.1.p, GmISU01.09G197600.1.p	AH015747-RA, AH019376-RA
OG0001203	GmISU01.18G199600.1.p, GmISU01.18G199500.1.p, GmISU01.09G197700.1.p	AH004681-RA
OG0001204	GmISU01.01G166700.1.p, GmISU01.01G166700.2.p	AH018316-RA
OG0001205	GmISU01.08G238900.1.p, GmISU01.01G067700.1.p, GmISU01.20G081900.1.p, GmISU01.10G234500.1.p	AH005407-RA
OG0001206	GmISU01.06G212600.1.p	AH016861-RA
OG0001206	GmISU01.08G239800.1.p	AH008244-RA, AH015380-RA, AH016365-RA, AH022537-RA, AH016876-RA, AH015585-RA, AH003672-RA, AH011576-RA, AH012124-RA, AH022059-RA, AH022479-RA, AH023350-RA
OG0001207	GmISU01.08G316800.1.p, GmISU01.08G317000.1.p, GmISU01.08G316900.1.p, GmISU01.08G317100.1.p, GmISU01.07G097600.1.p, GmISU01.03G002600.1.p, GmISU01.03G002400.1.p, GmISU01.03G002700.1.p, GmISU01.07G097800.1.p, GmISU01.03G002900.1.p, GmISU01.03G002800.1.p, GmISU01.07G072800.1.p, GmISU01.04G039500.1.p, GmISU01.06G038800.1.p	AH004429-RA
OG0001216	GmISU01.10G253200.1.p, GmISU01.18G240600.1.p, GmISU01.18G240600.2.p, GmISU01.08G323300.1.p	AH021831-RA
OG0001217	GmISU01.17G025900.1.p, GmISU01.07G207500.1.p	AH019882-RA
OG0001218	GmISU01.20G177700.7.p, GmISU01.20G177700.3.p, GmISU01.20G177700.4.p, GmISU01.20G177700.9.p, GmISU01.20G177700.8.p, GmISU01.20G177700.1.p, GmISU01.20G177700.5.p, GmISU01.20G177700.6.p, GmISU01.10G138800.2.p, GmISU01.10G138800.8.p, GmISU01.10G138800.3.p, GmISU01.10G138800.1.p	AH007870-RA
OG0001219	GmISU01.15G038400.1.p, GmISU01.13G293300.1.p, GmISU01.15G038200.1.p, GmISU01.15G038300.1.p, GmISU01.13G293700.1.p, GmISU01.13G293200.1.p	AH008153-RA, AH022509-RA
OG0001219	GmISU01.19G196000.1.p	AH010493-RA
OG0001220	GmISU01.11G123100.1.p, GmISU01.12G053400.1.p, GmISU01.11G122900.1.p	AH022699-RA
OG0001220	GmISU01.18G030200.1.p, GmISU01.11G203900.1.p	AH023011-RA
OG0001220	GmISU01.08G305600.1.p, GmISU01.08G305600.2.p, GmISU01.18G119900.3.p, GmISU01.18G119900.2.p, GmISU01.18G119900.1.p	AH017884-RA
OG0001221	GmISU01.17G019500.3.p, GmISU01.17G019500.4.p, GmISU01.17G019500.5.p, GmISU01.17G019500.2.p, GmISU01.17G019500.6.p, GmISU01.17G019500.1.p, GmISU01.07G214700.2.p, GmISU01.07G214700.3.p, GmISU01.07G214700.1.p, GmISU01.15G091600.2.p, GmISU01.15G091600.5.p, GmISU01.15G091600.1.p, GmISU01.13G181600.5.p, GmISU01.13G181600.4.p	AH007028-RA, AH007029-RA
OG0001222	GmISU01.11G152500.2.p, GmISU01.12G075400.2.p, GmISU01.12G075400.3.p, GmISU01.12G075400.5.p, GmISU01.13G281600.3.p, GmISU01.13G281600.2.p, GmISU01.13G281600.1.p, GmISU01.13G281100.1.p	AH001435-RA
OG0001223	GmISU01.17G004500.1.p, GmISU01.17G004500.2.p	AH009790-RA
OG0001223	GmISU01.02G266700.1.p, GmISU01.14G004500.1.p	AH001215-RA, AH000140-RA
OG0001224	GmISU01.05G128700.2.p, GmISU01.05G128700.1.p, GmISU01.08G103300.1.p, GmISU01.11G233300.1.p	AH010879-RA
OG0001224	GmISU01.08G215900.2.p, GmISU01.08G215900.1.p, GmISU01.16G160300.1.p, GmISU01.16G160300.2.p, GmISU01.16G158200.1.p, GmISU01.16G154600.1.p, GmISU01.16G160500.1.p, GmISU01.16G158800.1.p, GmISU01.16G154750.2.p, GmISU01.16G154750.1.p, GmISU01.16G162900.1.p, GmISU01.16G160700.1.p, GmISU01.16G158700.2.p, GmISU01.16G164500.1.p, GmISU01.16G159800.1.p, GmISU01.16G158700.1.p	AH006895-RA
OG0001225	GmISU01.05G082300.1.p, GmISU01.04G111200.1.p, GmISU01.05G021400.1.p, GmISU01.06G179800.1.p	AH017546-RA
OG0001227	GmISU01.06G165900.1.p, GmISU01.17G081300.1.p, GmISU01.05G034900.1.p	AH021035-RA
OG0001227	GmISU01.14G158500.1.p, GmISU01.18G061400.1.p	AH013791-RA
OG0001228	GmISU01.08G152200.1.p, GmISU01.15G217500.1.p	AH002109-RA, AH003237-RA, AH002106-RA, AH002107-RA, AH016801-RA
OG0001229	GmISU01.08G081200.8.p, GmISU01.08G081200.10.p, GmISU01.08G081200.7.p, GmISU01.08G081200.9.p, GmISU01.08G081200.6.p, GmISU01.08G081200.4.p, GmISU01.08G081200.3.p, GmISU01.08G081200.2.p, GmISU01.08G081200.1.p, GmISU01.08G081200.5.p	AH021934-RA
OG0001230	GmISU01.15G062800.3.p, GmISU01.15G062800.2.p	AH015137-RA
OG0001231	GmISU01.11G110900.3.p, GmISU01.11G110900.4.p, GmISU01.11G110900.2.p, GmISU01.12G041400.2.p	AH001845-RA, AH001844-RA
OG0001232	GmISU01.16G114000.3.p, GmISU01.16G114000.1.p, GmISU01.16G114000.6.p, GmISU01.16G114000.5.p, GmISU01.16G114000.2.p, GmISU01.16G114000.4.p, GmISU01.02G051600.1.p	AH005742-RA, AH003837-RA
OG0001233	GmISU01.06G093600.4.p, GmISU01.06G093600.7.p, GmISU01.06G093600.5.p, GmISU01.06G093600.2.p, GmISU01.06G093600.3.p, GmISU01.06G093600.6.p, GmISU01.06G093600.1.p, GmISU01.04G091200.1.p, GmISU01.04G091200.3.p, GmISU01.04G091200.2.p, GmISU01.13G062700.3.p, GmISU01.13G062700.1.p, GmISU01.13G062700.2.p, GmISU01.14G144200.5.p, GmISU01.14G144200.4.p, GmISU01.14G144200.1.p, GmISU01.14G144200.2.p, GmISU01.14G144200.3.p	AH008731-RA
OG0001234	GmISU01.09G157400.1.p, GmISU01.16G093800.1.p, GmISU01.11G080000.1.p, GmISU01.01G120500.1.p	AH003599-RA
OG0001234	GmISU01.06G013700.1.p, GmISU01.04G015000.1.p	AH016847-RA, AH023758-RA
OG0001236	GmISU01.08G058000.1.p, GmISU01.08G058000.2.p, GmISU01.07G156000.1.p, GmISU01.13G218200.1.p, GmISU01.15G058600.1.p, GmISU01.15G058500.1.p	AH002449-RA
OG0001237	GmISU01.04G086100.6.p, GmISU01.04G086100.5.p, GmISU01.04G086100.2.p, GmISU01.04G086100.1.p, GmISU01.04G086100.3.p, GmISU01.06G087700.3.p, GmISU01.06G087700.2.p, GmISU01.06G087600.1.p	AH008879-RA
OG0001237	GmISU01.09G159500.2.p, GmISU01.09G159500.3.p, GmISU01.09G159500.1.p, GmISU01.09G159500.4.p, GmISU01.01G021600.4.p, GmISU01.01G021600.6.p, GmISU01.01G021600.1.p, GmISU01.01G021600.5.p, GmISU01.01G021600.3.p, GmISU01.01G021600.7.p, GmISU01.01G021600.2.p	AH005662-RA
OG0001238	GmISU01.07G168200.1.p, GmISU01.13G204500.2.p, GmISU01.18G118000.1.p	AH023636-RA
OG0001238	GmISU01.18G118000.2.p, GmISU01.07G168200.3.p, GmISU01.07G168200.2.p, GmISU01.13G149000.2.p	AH008717-RA
OG0001239	GmISU01.13G238400.1.p, GmISU01.13G238500.2.p	AH010071-RA
OG0001241	GmISU01.07G161500.2.p, GmISU01.07G161500.3.p, GmISU01.07G161500.4.p, GmISU01.07G161500.1.p, GmISU01.07G161500.6.p, GmISU01.07G161500.5.p, GmISU01.13G154600.2.p, GmISU01.13G154600.3.p, GmISU01.13G154600.4.p, GmISU01.13G154600.1.p, GmISU01.13G210600.1.p, GmISU01.13G210600.2.p, GmISU01.15G065600.1.p, GmISU01.15G065600.5.p, GmISU01.15G065600.7.p, GmISU01.15G065600.8.p, GmISU01.15G065600.6.p, GmISU01.15G065600.3.p	AH015103-RA, AH021614-RA
OG0001242	GmISU01.15G032500.1.p, GmISU01.13G299100.1.p, GmISU01.11G121700.1.p, GmISU01.11G121700.2.p, GmISU01.12G052300.1.p	AH011007-RA
