Orthogroup	P_amilis.proteins	D_spatulata.proteins
OG0001533	FUN_006624-T4, FUN_006624-T2, FUN_006624-T3, FUN_006624-T5, FUN_006624-T1	Ds_00005059-RA
OG0001534	FUN_015920-T1, FUN_034600-T1	Ds_00005514-RA, Ds_00006079-RA
OG0001535	FUN_019075-T1, FUN_019075-T2, FUN_030415-T1	Ds_00006626-RA
OG0001535	FUN_007692-T2, FUN_007692-T3, FUN_007692-T1	Ds_00014745-RA
OG0001536	FUN_012530-T1, FUN_012542-T1, FUN_012548-T1	Ds_00015915-RA
OG0001537	FUN_003833-T1, FUN_003834-T2, FUN_003834-T1	Ds_00002026-RA, Ds_00002027-RA
OG0001538	FUN_009533-T3, FUN_009533-T2, FUN_009533-T1	Ds_00009385-RA, Ds_00003547-RA
OG0001538	FUN_024344-T1	Ds_00000610-RA
OG0001539	FUN_038846-T3, FUN_038846-T2, FUN_038846-T1	Ds_00003389-RA
OG0001540	FUN_046496-T3, FUN_046496-T1	Ds_00004929-RA
OG0001540	FUN_004636-T1	Ds_00011003-RA
OG0001541	FUN_017225-T1	Ds_00001378-RA
OG0001542	FUN_052331-T1	Ds_00003705-RA, Ds_00014440-RA
OG0001542	FUN_014206-T1, FUN_000700-T1	Ds_00005033-RA
OG0001543	FUN_014563-T1	Ds_00008855-RA
OG0001543	FUN_042743-T1, FUN_025713-T1	Ds_00017564-RA
OG0001544	FUN_029572-T1	Ds_00001923-RA
OG0001544	FUN_048634-T1, FUN_048634-T2	Ds_00001586-RA
OG0001544	FUN_051830-T2, FUN_051830-T1, FUN_045611-T1	Ds_00000593-RA
OG0001545	FUN_024489-T1, FUN_024488-T1, FUN_024488-T2	Ds_00002539-RA
OG0001546	FUN_029486-T1, FUN_029486-T2	Ds_00009478-RA
OG0001546	FUN_046034-T1, FUN_046034-T2	Ds_00015315-RA
OG0001547	FUN_002657-T1, FUN_002358-T1, FUN_009916-T1, FUN_009916-T2, FUN_023505-T1	Ds_00015173-RA, Ds_00000542-RA
OG0001548	FUN_024306-T1	Ds_00000588-RA
OG0001548	FUN_052128-T1, FUN_005589-T4, FUN_005589-T2, FUN_005589-T3, FUN_005589-T1	Ds_00012197-RA
OG0001549	FUN_017013-T1, FUN_029589-T1	Ds_00010966-RA
OG0001549	FUN_017396-T1, FUN_041374-T1	Ds_00010249-RA
OG0001550	FUN_039576-T1	Ds_00003480-RA
OG0001552	FUN_045759-T1, FUN_051995-T2, FUN_051995-T3, FUN_051995-T5, FUN_051995-T4, FUN_051995-T1	Ds_00013003-RA
OG0001553	FUN_041619-T1, FUN_041618-T1, FUN_041615-T1, FUN_041616-T1, FUN_041612-T1, FUN_041614-T1, FUN_041611-T1, FUN_041613-T1, FUN_041617-T1	Ds_00000553-RA, Ds_00009831-RA, Ds_00011048-RA
OG0001554	FUN_027729-T1	Ds_00004177-RA
OG0001555	FUN_024901-T1, FUN_035742-T1	Ds_00011207-RA
OG0001556	FUN_001764-T1	Ds_00011479-RA
OG0001556	FUN_040271-T1	Ds_00010228-RA
OG0001557	FUN_016612-T1, FUN_016610-T1, FUN_030331-T3, FUN_030331-T2, FUN_016611-T1, FUN_030331-T1	Ds_00001801-RA
OG0001558	FUN_041693-T1, FUN_041695-T1	Ds_00004862-RA
OG0001558	FUN_041692-T1, FUN_041697-T1, FUN_041696-T1	Ds_00008719-RA, Ds_00004861-RA
OG0001560	FUN_051872-T1, FUN_045652-T1	Ds_00000023-RA
OG0001560	FUN_024152-T1	Ds_00002555-RA
OG0001561	FUN_019428-T1	Ds_00001986-RA, Ds_00001987-RA
OG0001562	FUN_037363-T1	Ds_00011657-RA
OG0001562	FUN_041087-T1, FUN_041088-T1, FUN_018288-T1	Ds_00011908-RA
OG0001563	FUN_008819-T1	Ds_00017646-RA, Ds_00012600-RA, Ds_00005630-RA
OG0001564	FUN_005944-T1, FUN_005944-T2	Ds_00013633-RA
OG0001565	FUN_011537-T1	Ds_00008629-RA
OG0001566	FUN_001869-T1	Ds_00000116-RA
OG0001567	FUN_052283-T1	Ds_00014428-RA
OG0001567	FUN_033089-T2, FUN_033089-T1	Ds_00001505-RA
OG0001568	FUN_022856-T2, FUN_022856-T1	Ds_00012064-RA
OG0001569	FUN_015904-T1	Ds_00016059-RA
OG0001569	FUN_026681-T1	Ds_00000225-RA
OG0001571	FUN_026373-T3, FUN_026373-T1, FUN_026373-T2, FUN_015551-T1	Ds_00014799-RA
OG0001572	FUN_026165-T1, FUN_026164-T1	Ds_00009630-RA, Ds_00007248-RA
OG0001573	FUN_018586-T1, FUN_040588-T1	Ds_00017385-RA
OG0001573	FUN_015437-T1, FUN_015437-T2	Ds_00012939-RA
OG0001573	FUN_049701-T1, FUN_037000-T1, FUN_037000-T2	Ds_00006362-RA
OG0001575	FUN_030570-T2, FUN_030570-T1, FUN_030570-T3, FUN_009662-T1, FUN_009662-T2	Ds_00001490-RA
OG0001575	FUN_033056-T2	Ds_00002718-RA
OG0001576	FUN_037588-T1, FUN_048290-T1	Ds_00012536-RA
OG0001577	FUN_027446-T1	Ds_00005200-RA
OG0001577	FUN_048055-T1	Ds_00008387-RA
OG0001578	FUN_048934-T1, FUN_048934-T2	Ds_00010134-RA, Ds_00008303-RA
OG0001579	FUN_001638-T1, FUN_020695-T1	Ds_00012394-RA
OG0001579	FUN_012598-T1	Ds_00006806-RA
OG0001580	FUN_032336-T1, FUN_020496-T1, FUN_014726-T1, FUN_032338-T1	Ds_00008740-RA
OG0001581	FUN_021250-T1	Ds_00016231-RA, Ds_00012273-RA
OG0001582	FUN_034823-T1	Ds_00004387-RA
OG0001582	FUN_052342-T1, FUN_036007-T1	Ds_00014442-RA, Ds_00003942-RA
OG0001583	FUN_042110-T3, FUN_042110-T1	Ds_00010793-RA, Ds_00014883-RA
OG0001584	FUN_013091-T1	Ds_00010058-RA, Ds_00007508-RA
OG0001585	FUN_002871-T1	Ds_00003311-RA
OG0001586	FUN_039031-T1	Ds_00015556-RA
OG0001587	FUN_010399-T1, FUN_004368-T1, FUN_010409-T1, FUN_004367-T1	Ds_00010929-RA
OG0001588	FUN_024324-T1, FUN_005012-T1, FUN_024315-T1	Ds_00000591-RA
OG0001589	FUN_026965-T1, FUN_026962-T1, FUN_026962-T2	Ds_00002224-RA
OG0001590	FUN_026697-T1, FUN_046606-T1	Ds_00015224-RA
OG0001591	FUN_027209-T1	Ds_00017297-RA
OG0001592	FUN_036032-T1	Ds_00014447-RA, Ds_00003937-RA
OG0001593	FUN_009392-T1, FUN_032113-T1	Ds_00010704-RA, Ds_00017074-RA
OG0001594	FUN_037434-T1, FUN_048165-T1	Ds_00002844-RA, Ds_00012515-RA
OG0001595	FUN_017998-T2, FUN_017998-T1	Ds_00010822-RA
OG0001596	FUN_022438-T1, FUN_022435-T1	Ds_00006129-RA
OG0001597	FUN_029870-T1, FUN_029870-T2, FUN_029880-T1, FUN_016561-T1, FUN_029869-T1	Ds_00009267-RA
OG0001600	FUN_032669-T1	Ds_00009146-RA, Ds_00010530-RA
OG0001602	FUN_010995-T1, FUN_010994-T1	Ds_00003732-RA
OG0001602	FUN_008543-T1, FUN_010993-T1	Ds_00012451-RA, Ds_00003733-RA, Ds_00012452-RA, Ds_00012453-RA
OG0001603	FUN_033485-T1, FUN_033485-T3, FUN_033485-T4, FUN_033485-T2	Ds_00005882-RA
OG0001604	FUN_041656-T1, FUN_041656-T4, FUN_041656-T5, FUN_041656-T7, FUN_041656-T3, FUN_041656-T6, FUN_041656-T2, FUN_017682-T5, FUN_017682-T1, FUN_017682-T2, FUN_017682-T3, FUN_017682-T4	Ds_00005115-RA
OG0001605	FUN_012771-T1, FUN_012558-T1, FUN_028370-T2, FUN_028370-T1, FUN_028370-T3	Ds_00008229-RA, Ds_00016996-RA
OG0001606	FUN_011691-T1	Ds_00001892-RA
OG0001610	FUN_031572-T1	Ds_00013820-RA, Ds_00010629-RA, Ds_00014331-RA, Ds_00010444-RA, Ds_00017311-RA, Ds_00015927-RA, Ds_00010630-RA, Ds_00008694-RA, Ds_00011305-RA, Ds_00015928-RA, Ds_00010399-RA, Ds_00015926-RA, Ds_00003647-RA, Ds_00008110-RA, Ds_00013171-RA, Ds_00003676-RA, Ds_00009765-RA, Ds_00009913-RA, Ds_00002994-RA, Ds_00008472-RA, Ds_00002063-RA, Ds_00013441-RA, Ds_00013819-RA, Ds_00015925-RA, Ds_00017501-RA, Ds_00016898-RA, Ds_00005775-RA, Ds_00013440-RA, Ds_00016758-RA, Ds_00003011-RA, Ds_00008111-RA, Ds_00014765-RA, Ds_00013170-RA, Ds_00010800-RA, Ds_00017540-RA, Ds_00009766-RA, Ds_00017925-RA, Ds_00008695-RA, Ds_00017737-RA, Ds_00003675-RA, Ds_00010267-RA, Ds_00003012-RA, Ds_00010398-RA
OG0001616	FUN_030955-T2, FUN_030955-T1	Ds_00017612-RA
OG0001617	FUN_050401-T1, FUN_025058-T1	Ds_00006463-RA, Ds_00001128-RA
OG0001618	FUN_000991-T1, FUN_000992-T2, FUN_000992-T1, FUN_000991-T2, FUN_037219-T1	Ds_00015414-RA, Ds_00001644-RA
OG0001619	FUN_005296-T1	Ds_00000103-RA, Ds_00003441-RA
OG0001620	FUN_031817-T1, FUN_025269-T1	Ds_00010601-RA
OG0001621	FUN_036525-T1, FUN_052765-T1	Ds_00013963-RA
OG0001622	FUN_007881-T1, FUN_052059-T1, FUN_004485-T1	Ds_00012205-RA
OG0001623	FUN_002490-T2, FUN_013878-T3, FUN_013878-T1, FUN_013883-T1	Ds_00006925-RA, Ds_00016407-RA
OG0001624	FUN_001755-T1, FUN_001755-T2, FUN_020853-T1	Ds_00007204-RA
OG0001626	FUN_015943-T1, FUN_035711-T2	Ds_00006083-RA
OG0001627	FUN_039508-T1	Ds_00013688-RA
OG0001628	FUN_036011-T1, FUN_052345-T1, FUN_014221-T1	Ds_00003941-RA
OG0001629	FUN_008814-T1	Ds_00012601-RA
OG0001629	FUN_010198-T1, FUN_030017-T1	Ds_00009274-RA
OG0001631	FUN_021605-T1	Ds_00015588-RA
OG0001631	FUN_012314-T1	Ds_00016951-RA
OG0001632	FUN_005932-T1, FUN_005932-T2	Ds_00012235-RA, Ds_00005967-RA
OG0001633	FUN_029378-T1	Ds_00006763-RA
OG0001634	FUN_012869-T1, FUN_004113-T1	Ds_00006825-RA
OG0001635	FUN_006515-T1, FUN_002762-T1	Ds_00003354-RA
OG0001636	FUN_020525-T2, FUN_020525-T1	Ds_00015549-RA
OG0001637	FUN_025685-T1	Ds_00015043-RA
OG0001638	FUN_020191-T2, FUN_020191-T1	Ds_00001942-RA
OG0001640	FUN_024339-T1	Ds_00002489-RA
OG0001641	FUN_044132-T4, FUN_044132-T2, FUN_003746-T2, FUN_009930-T1, FUN_044132-T1, FUN_003746-T1	Ds_00001727-RA
OG0001642	FUN_051837-T1, FUN_045623-T2, FUN_045623-T1	Ds_00005020-RA, Ds_00013566-RA, Ds_00005019-RA
OG0001643	FUN_030576-T1	Ds_00009396-RA, Ds_00001489-RA
OG0001644	FUN_003103-T1	Ds_00009863-RA
OG0001645	FUN_030155-T2, FUN_030155-T1	Ds_00009521-RA
OG0001645	FUN_003980-T3, FUN_003980-T2, FUN_003980-T1	Ds_00004477-RA
OG0001646	FUN_012365-T1, FUN_012364-T1, FUN_012361-T1, FUN_012361-T2, FUN_042799-T1, FUN_042799-T2, FUN_042800-T1	Ds_00013610-RA
OG0001647	FUN_048252-T1, FUN_048252-T2, FUN_037555-T1	Ds_00012529-RA
OG0001647	FUN_042224-T2, FUN_042224-T1	Ds_00009501-RA
OG0001648	FUN_046160-T1, FUN_046161-T1	Ds_00001720-RA, Ds_00001719-RA, Ds_00011780-RA
OG0001649	FUN_038347-T1, FUN_038347-T2, FUN_049451-T1	Ds_00006013-RA
OG0001650	FUN_050379-T1, FUN_050378-T1	Ds_00006467-RA
OG0001651	FUN_046434-T1, FUN_042630-T1	Ds_00014083-RA
OG0001652	FUN_012192-T1	Ds_00004445-RA
OG0001652	FUN_050460-T1	Ds_00009548-RA
OG0001653	FUN_004569-T3, FUN_004569-T1, FUN_004569-T2, FUN_032798-T3, FUN_032798-T1, FUN_032798-T2	Ds_00009595-RA
OG0001654	FUN_004092-T1	Ds_00006832-RA, Ds_00014302-RA
OG0001655	FUN_018757-T1, FUN_040773-T1, FUN_018757-T2	Ds_00002104-RA
OG0001655	FUN_037134-T1, FUN_049193-T2, FUN_049193-T1	Ds_00003576-RA, Ds_00004609-RA
OG0001656	FUN_028460-T1, FUN_027362-T2, FUN_027362-T3, FUN_027362-T1	Ds_00016984-RA
OG0001657	FUN_040841-T1, FUN_007966-T2, FUN_007966-T3, FUN_007966-T1, FUN_007965-T1	Ds_00007310-RA, Ds_00007730-RA
OG0001658	FUN_052179-T1	Ds_00014235-RA
OG0001658	FUN_010373-T1	Ds_00004205-RA
OG0001659	FUN_037003-T2, FUN_048188-T1, FUN_037003-T1	Ds_00006356-RA
OG0001659	FUN_018592-T1	Ds_00009904-RA
OG0001660	FUN_005527-T3	Ds_00014996-RA, Ds_00007184-RA
OG0001661	FUN_010366-T1	Ds_00004208-RA
OG0001662	FUN_020554-T1	Ds_00003352-RA
OG0001663	FUN_040370-T1	Ds_00000105-RA
OG0001665	FUN_005856-T1, FUN_003589-T1, FUN_003589-T2, FUN_005855-T1	Ds_00010453-RA
OG0001666	FUN_013895-T1, FUN_013879-T1, FUN_013879-T2, FUN_013879-T3, FUN_022839-T1	Ds_00016408-RA
OG0001667	FUN_049113-T3, FUN_049113-T2, FUN_049113-T1	Ds_00004578-RA
OG0001668	FUN_012779-T2, FUN_012779-T3, FUN_012779-T1	Ds_00013306-RA
OG0001669	FUN_040343-T1	Ds_00005081-RA
OG0001669	FUN_050082-T1, FUN_050082-T2, FUN_050082-T3	Ds_00000476-RA
OG0001670	FUN_003340-T1	Ds_00008772-RA
OG0001671	FUN_036676-T1, FUN_036676-T2	Ds_00011539-RA, Ds_00011540-RA
OG0001672	FUN_027575-T1, FUN_027575-T2, FUN_027575-T3, FUN_027575-T4	Ds_00005225-RA
OG0001673	FUN_051540-T1	Ds_00003908-RA
OG0001674	FUN_033941-T1, FUN_033941-T2	Ds_00005759-RA, Ds_00012670-RA, Ds_00009377-RA
OG0001675	FUN_021973-T1, FUN_021972-T1, FUN_021972-T2, FUN_021972-T3, FUN_021973-T2, FUN_021973-T4, FUN_021973-T3	Ds_00007046-RA
OG0001675	FUN_048728-T1	Ds_00014328-RA, Ds_00015965-RA
OG0001677	FUN_042223-T1, FUN_042223-T5, FUN_042223-T3, FUN_042223-T2, FUN_042223-T4	Ds_00009502-RA
OG0001678	FUN_031584-T1	Ds_00004279-RA
OG0001679	FUN_008068-T1, FUN_008071-T1, FUN_042038-T1	Ds_00014878-RA
OG0001680	FUN_034878-T1	Ds_00015156-RA
OG0001681	FUN_048467-T1, FUN_037904-T1	Ds_00005442-RA, Ds_00002929-RA
OG0001682	FUN_027098-T1	Ds_00007889-RA
OG0001684	FUN_016354-T1	Ds_00001965-RA
OG0001685	FUN_005763-T1	Ds_00013256-RA
OG0001685	FUN_043640-T2, FUN_043640-T1, FUN_024897-T1	Ds_00001003-RA, Ds_00006550-RA
OG0001686	FUN_010985-T1, FUN_053302-T1	Ds_00003176-RA
OG0001686	FUN_050815-T1, FUN_011603-T1	Ds_00014104-RA
OG0001688	FUN_025137-T2, FUN_025137-T1, FUN_025137-T3	Ds_00001095-RA
OG0001689	FUN_008123-T1, FUN_008123-T2	Ds_00008943-RA
OG0001689	FUN_035681-T1	Ds_00004699-RA
OG0001690	FUN_037927-T1	Ds_00014199-RA
OG0001691	FUN_024889-T3, FUN_024889-T2, FUN_024889-T1, FUN_043585-T1	Ds_00006552-RA
OG0001692	FUN_051480-T2, FUN_051480-T1, FUN_034219-T2, FUN_034219-T1	Ds_00003661-RA
OG0001693	FUN_052426-T2, FUN_052426-T1	Ds_00003686-RA
OG0001694	FUN_011165-T1	Ds_00005332-RA
OG0001695	FUN_035620-T1, FUN_035614-T1	Ds_00007974-RA, Ds_00007973-RA
OG0001696	FUN_014032-T1, FUN_014032-T2	Ds_00017308-RA
OG0001696	FUN_011095-T1	Ds_00016694-RA, Ds_00005343-RA
OG0001697	FUN_031944-T1, FUN_025332-T1	Ds_00017399-RA
OG0001698	FUN_020394-T1	Ds_00017594-RA
OG0001698	FUN_017650-T1, FUN_041634-T1, FUN_041634-T2	Ds_00002958-RA
OG0001699	FUN_031740-T2, FUN_031740-T1	Ds_00004171-RA
OG0001700	FUN_045436-T1, FUN_011168-T1	Ds_00005329-RA, Ds_00017052-RA
OG0001702	FUN_050431-T1, FUN_025029-T1	Ds_00007438-RA
OG0001702	FUN_029695-T2, FUN_029695-T1	Ds_00014229-RA
OG0001703	FUN_016583-T2, FUN_016583-T1	Ds_00000169-RA
OG0001704	FUN_030055-T2, FUN_030055-T1	Ds_00017929-RA
OG0001705	FUN_012941-T1	Ds_00016836-RA, Ds_00016837-RA, Ds_00007191-RA
OG0001705	FUN_018373-T1	Ds_00011638-RA
OG0001717	FUN_015785-T1	Ds_00008556-RA
OG0001717	FUN_042897-T1	Ds_00013403-RA, Ds_00011254-RA
OG0001718	FUN_052374-T1	Ds_00016652-RA, Ds_00003696-RA
OG0001719	FUN_038985-T1	Ds_00011464-RA, Ds_00009661-RA
OG0001721	FUN_030691-T1, FUN_030690-T1	Ds_00006735-RA
OG0001723	FUN_018915-T1, FUN_018915-T2, FUN_030964-T2, FUN_030964-T1	Ds_00016352-RA
OG0001724	FUN_024626-T2, FUN_024626-T1	Ds_00000898-RA
OG0001725	FUN_049143-T1, FUN_049143-T2, FUN_026271-T1	Ds_00007392-RA, Ds_00004846-RA
OG0001728	FUN_024753-T1	Ds_00012079-RA
OG0001729	FUN_015227-T1	Ds_00004624-RA, Ds_00006421-RA
OG0001730	FUN_035635-T3, FUN_035635-T1, FUN_035635-T2	Ds_00006268-RA
OG0001731	FUN_020491-T1, FUN_048923-T1	Ds_00011565-RA, Ds_00008314-RA
OG0001731	FUN_040379-T1	Ds_00007042-RA
OG0001732	FUN_051398-T1, FUN_000480-T1	Ds_00008561-RA
OG0001733	FUN_014612-T1, FUN_053164-T4, FUN_053164-T2, FUN_053164-T3, FUN_053164-T1	Ds_00005842-RA
OG0001734	FUN_030795-T1, FUN_018850-T1	Ds_00014957-RA
OG0001734	FUN_032722-T1	Ds_00005781-RA, Ds_00000853-RA
OG0001735	FUN_030207-T1	Ds_00005818-RA
OG0001736	FUN_000788-T1, FUN_014120-T1	Ds_00015639-RA
OG0001736	FUN_027471-T1	Ds_00004109-RA
OG0001737	FUN_034069-T1, FUN_034069-T2, FUN_034069-T3	Ds_00016841-RA, Ds_00012614-RA
OG0001738	FUN_005718-T1	Ds_00007142-RA
OG0001738	FUN_027196-T1, FUN_024999-T2, FUN_024999-T1	Ds_00005538-RA
OG0001739	FUN_042970-T1, FUN_024763-T1	Ds_00014973-RA
OG0001739	FUN_024761-T1	Ds_00003667-RA
OG0001740	FUN_021600-T1	Ds_00000654-RA
OG0001740	FUN_026117-T1, FUN_007763-T1, FUN_007763-T2	Ds_00007239-RA
OG0001741	FUN_052078-T1	Ds_00003091-RA
OG0001742	FUN_039210-T1	Ds_00003279-RA
OG0001742	FUN_053240-T1	Ds_00003278-RA
OG0001744	FUN_025041-T1, FUN_047741-T2, FUN_047741-T1	Ds_00007753-RA
OG0001745	FUN_019234-T1, FUN_029529-T1	Ds_00011860-RA
OG0001746	FUN_045703-T1, FUN_051947-T1	Ds_00000039-RA
OG0001746	FUN_031092-T1	Ds_00001449-RA
OG0001747	FUN_025731-T2, FUN_025731-T1	Ds_00012853-RA
OG0001747	FUN_028956-T1	Ds_00016704-RA
OG0001748	FUN_024496-T1, FUN_024497-T1	Ds_00002537-RA
OG0001750	FUN_051811-T1	Ds_00013339-RA
OG0001750	FUN_025640-T1	Ds_00007471-RA
OG0001751	FUN_025524-T1, FUN_031136-T1	Ds_00017823-RA, Ds_00016570-RA
OG0001752	FUN_025672-T1, FUN_025672-T2	Ds_00015037-RA
OG0001752	FUN_002408-T1, FUN_046142-T1	Ds_00008209-RA
OG0001753	FUN_009466-T1, FUN_030687-T2, FUN_030687-T3, FUN_030687-T1, FUN_030687-T4	Ds_00016603-RA
OG0001754	FUN_038101-T1	Ds_00008172-RA
OG0001755	FUN_011645-T1	Ds_00006527-RA
OG0001756	FUN_038537-T1, FUN_038538-T1	Ds_00013530-RA
OG0001757	FUN_005676-T1, FUN_041105-T1, FUN_041105-T2	Ds_00012203-RA
OG0001757	FUN_038564-T1	Ds_00015477-RA
OG0001758	FUN_004184-T1, FUN_007798-T1	Ds_00013426-RA
OG0001759	FUN_030698-T1	Ds_00013191-RA
OG0001759	FUN_050574-T1	Ds_00016526-RA
OG0001761	FUN_035809-T2, FUN_035809-T4	Ds_00001210-RA, Ds_00010180-RA
OG0001762	FUN_022495-T1	Ds_00007009-RA
OG0001762	FUN_015606-T1	Ds_00010178-RA
OG0001763	FUN_008439-T2, FUN_008439-T1	Ds_00011195-RA
OG0001763	FUN_027339-T3, FUN_027339-T2, FUN_027339-T1	Ds_00005173-RA
OG0001764	FUN_034772-T1	Ds_00010832-RA
OG0001764	FUN_047612-T1	Ds_00014537-RA
OG0001765	FUN_024514-T1, FUN_024517-T1	Ds_00000549-RA
OG0001766	FUN_011801-T1, FUN_010429-T1, FUN_010423-T1, FUN_017457-T1, FUN_010426-T1, FUN_027494-T1, FUN_051206-T1, FUN_051205-T1, FUN_051203-T2, FUN_051203-T1, FUN_010430-T1, FUN_051202-T1	Ds_00007821-RA
OG0001767	FUN_040779-T1	Ds_00001317-RA
OG0001767	FUN_013973-T1, FUN_009192-T1	Ds_00012044-RA, Ds_00009958-RA
OG0001768	FUN_006443-T1	Ds_00002395-RA
OG0001769	FUN_005943-T1	Ds_00003367-RA
OG0001769	FUN_006026-T1, FUN_034025-T1	Ds_00002568-RA
OG0001769	FUN_028704-T1	Ds_00008236-RA
OG0001770	FUN_005682-T1	Ds_00009871-RA, Ds_00010352-RA, Ds_00017803-RA
OG0001770	FUN_027852-T1	Ds_00008863-RA, Ds_00000097-RA
OG0001771	FUN_005399-T1	Ds_00000679-RA, Ds_00002443-RA
OG0001771	FUN_026255-T1, FUN_007861-T1	Ds_00012890-RA
OG0001772	FUN_026743-T1, FUN_015498-T1	Ds_00015771-RA
OG0001772	FUN_050226-T1, FUN_025188-T1	Ds_00000442-RA
OG0001773	FUN_018351-T1, FUN_041166-T1	Ds_00002288-RA
OG0001774	FUN_040686-T1	Ds_00017530-RA
OG0001774	FUN_031681-T1, FUN_049252-T1, FUN_049255-T1, FUN_037075-T1	Ds_00008798-RA
OG0001775	FUN_003445-T1	Ds_00009915-RA
OG0001776	FUN_027795-T1	Ds_00016023-RA
OG0001777	FUN_048210-T2, FUN_048210-T1, FUN_037506-T2, FUN_037506-T1	Ds_00002858-RA
OG0001778	FUN_017357-T1, FUN_041340-T1	Ds_00013268-RA
OG0001778	FUN_049477-T1	Ds_00009230-RA
OG0001779	FUN_026765-T2, FUN_026765-T3, FUN_026765-T1	Ds_00016862-RA
OG0001780	FUN_040958-T1, FUN_008028-T1, FUN_040964-T1	Ds_00001291-RA, Ds_00016911-RA, Ds_00016910-RA, Ds_00016908-RA
OG0001781	FUN_007990-T1	Ds_00007756-RA
OG0001781	FUN_030202-T2, FUN_030202-T1, FUN_019163-T2, FUN_019163-T1	Ds_00006586-RA
OG0001782	FUN_048366-T1	Ds_00002898-RA
OG0001782	FUN_001844-T1	Ds_00011336-RA
OG0001783	FUN_047001-T1	Ds_00016417-RA
OG0001784	FUN_046409-T1, FUN_046409-T2	Ds_00004946-RA
OG0001784	FUN_012328-T1	Ds_00009813-RA
OG0001785	FUN_001866-T1	Ds_00000113-RA, Ds_00008879-RA
OG0001786	FUN_009066-T4, FUN_009066-T3, FUN_009066-T2, FUN_009066-T1, FUN_009064-T2, FUN_009064-T1, FUN_009065-T3, FUN_009065-T2, FUN_009065-T1	Ds_00012397-RA, Ds_00004735-RA, Ds_00000931-RA
OG0001787	FUN_048960-T1, FUN_048960-T3, FUN_048960-T4, FUN_048960-T2	Ds_00010127-RA
OG0001788	FUN_012236-T3, FUN_012236-T2	Ds_00001718-RA, Ds_00011784-RA
OG0001789	FUN_036590-T1, FUN_036593-T1, FUN_036592-T1, FUN_036591-T1, FUN_036553-T1, FUN_005619-T1, FUN_005620-T1	Ds_00014781-RA
OG0001790	FUN_041812-T1	Ds_00007423-RA
OG0001790	FUN_017899-T1, FUN_041811-T1	Ds_00007424-RA, Ds_00007421-RA, Ds_00011144-RA
OG0001791	FUN_009969-T4, FUN_009969-T2, FUN_009969-T1, FUN_009969-T3, FUN_044095-T2, FUN_044095-T3, FUN_044095-T4, FUN_044095-T1	Ds_00011772-RA
OG0001793	FUN_019139-T1	Ds_00006901-RA
OG0001793	FUN_008759-T1	Ds_00015208-RA, Ds_00015119-RA
OG0001794	FUN_000964-T1, FUN_034805-T1	Ds_00007511-RA, Ds_00010053-RA
OG0001795	FUN_005024-T1, FUN_005022-T1, FUN_005024-T3	Ds_00007325-RA, Ds_00007530-RA
OG0001796	FUN_004102-T1, FUN_012885-T1	Ds_00014298-RA, Ds_00006828-RA
OG0001797	FUN_025597-T2, FUN_025597-T1	Ds_00006080-RA
OG0001799	FUN_039433-T1	Ds_00010307-RA
OG0001800	FUN_048935-T1	Ds_00008302-RA, Ds_00010133-RA
OG0001801	FUN_029063-T1	Ds_00005942-RA, Ds_00012731-RA, Ds_00012732-RA
OG0001801	FUN_033357-T1	Ds_00008528-RA, Ds_00013227-RA, Ds_00005912-RA
OG0001802	FUN_030966-T1, FUN_018909-T3, FUN_018909-T2, FUN_018909-T1	Ds_00013860-RA
OG0001803	FUN_009465-T1, FUN_030688-T1	Ds_00001467-RA
OG0001804	FUN_033850-T1	Ds_00010503-RA
OG0001805	FUN_009009-T1, FUN_009009-T2	Ds_00005685-RA
OG0001805	FUN_041507-T1	Ds_00013135-RA
OG0001806	FUN_020183-T3, FUN_020183-T2, FUN_020183-T4, FUN_020183-T1	Ds_00003075-RA
OG0001808	FUN_011375-T1, FUN_047000-T1	Ds_00003497-RA, Ds_00001587-RA
OG0001810	FUN_050841-T1, FUN_011566-T1	Ds_00001082-RA
OG0001810	FUN_002577-T1	Ds_00006272-RA
OG0001811	FUN_043546-T1	Ds_00012751-RA
OG0001812	FUN_047450-T1, FUN_010913-T1	Ds_00003754-RA, Ds_00016269-RA
OG0001812	FUN_009169-T1, FUN_032314-T1	Ds_00009006-RA
OG0001813	FUN_049709-T1	Ds_00016287-RA
OG0001813	FUN_040599-T3, FUN_018591-T1, FUN_018591-T2, FUN_018593-T1, FUN_018593-T2	Ds_00001309-RA
OG0001814	FUN_011080-T1	Ds_00016687-RA
OG0001814	FUN_023366-T1	Ds_00010573-RA, Ds_00008438-RA
OG0001815	FUN_045435-T1, FUN_011163-T1	Ds_00017053-RA
OG0001815	FUN_023476-T2, FUN_023476-T1	Ds_00009143-RA
OG0001816	FUN_029692-T1	Ds_00015241-RA
OG0001816	FUN_029693-T1	Ds_00015240-RA, Ds_00011073-RA
OG0001817	FUN_013010-T1, FUN_013010-T2	Ds_00016451-RA
OG0001817	FUN_017603-T1	Ds_00013521-RA
OG0001818	FUN_015750-T1	Ds_00012300-RA, Ds_00001156-RA
OG0001818	FUN_046506-T1	Ds_00002219-RA
OG0001819	FUN_047533-T3, FUN_047533-T1, FUN_047533-T2	Ds_00017239-RA
OG0001819	FUN_032444-T1	Ds_00004326-RA
OG0001820	FUN_009340-T2, FUN_009340-T1	Ds_00017071-RA
OG0001821	FUN_045264-T1	Ds_00007654-RA
OG0001821	FUN_041627-T1	Ds_00005109-RA
