Orthogroup	P_amilis.proteins	A_vesiculosa.proteins
OG0000471	FUN_039080-T2, FUN_039080-T1, FUN_039081-T1, FUN_049905-T1, FUN_019103-T1, FUN_039078-T2, FUN_039078-T1	Av_00015662-RA
OG0000472	FUN_002009-T2, FUN_002009-T3, FUN_002009-T1	Av_00011761-RA, Av_00022832-RA
OG0000472	FUN_012952-T1	Av_00013542-RA, Av_00001562-RA
OG0000473	FUN_024658-T1, FUN_024658-T2	Av_00020704-RA, Av_00012711-RA
OG0000474	FUN_000143-T1, FUN_000144-T3, FUN_000143-T2, FUN_000143-T3, FUN_000144-T5, FUN_000144-T1, FUN_000144-T2, FUN_000144-T4, FUN_000142-T1, FUN_005077-T1	Av_00018140-RA
OG0000476	FUN_038114-T1, FUN_038111-T1, FUN_038118-T1, FUN_038112-T1, FUN_038116-T1, FUN_038117-T1, FUN_048604-T1	Av_00010175-RA, Av_00004762-RA
OG0000477	FUN_026029-T2, FUN_026029-T1, FUN_026029-T3, FUN_034681-T1, FUN_034680-T1	Av_00009071-RA
OG0000477	FUN_042577-T2, FUN_042577-T1, FUN_046281-T3, FUN_046281-T2, FUN_046281-T1	Av_00000154-RA, Av_00011561-RA, Av_00002519-RA, Av_00003066-RA
OG0000479	FUN_049236-T1, FUN_037080-T1	Av_00003204-RA, Av_00013897-RA
OG0000480	FUN_006387-T1, FUN_001846-T1, FUN_001847-T1, FUN_001850-T1, FUN_001851-T1, FUN_001855-T1, FUN_006389-T1, FUN_001845-T1	Av_00018127-RA, Av_00024727-RA, Av_00004131-RA
OG0000481	FUN_026723-T1	Av_00019078-RA, Av_00006297-RA, Av_00019287-RA, Av_00008891-RA
OG0000481	FUN_015896-T3, FUN_015896-T2, FUN_015896-T1	Av_00018125-RA
OG0000481	FUN_021326-T2, FUN_021326-T3, FUN_021326-T4, FUN_021326-T1, FUN_005129-T1	Av_00004637-RA
OG0000482	FUN_051358-T2, FUN_051358-T1, FUN_011024-T1	Av_00009306-RA
OG0000483	FUN_000881-T1, FUN_005890-T1, FUN_005890-T3, FUN_005890-T2	Av_00007071-RA, Av_00003554-RA
OG0000484	FUN_039402-T1	Av_00002868-RA, Av_00021347-RA, Av_00019338-RA, Av_00011735-RA
OG0000484	FUN_033967-T1, FUN_026769-T1, FUN_026769-T2	Av_00004733-RA, Av_00016926-RA
OG0000485	FUN_023784-T1, FUN_033696-T1, FUN_033696-T2, FUN_033696-T3	Av_00006371-RA, Av_00003296-RA, Av_00016997-RA
OG0000485	FUN_047111-T1	Av_00001772-RA
OG0000485	FUN_032840-T1	Av_00007812-RA
OG0000488	FUN_040753-T1	Av_00001028-RA
OG0000489	FUN_037624-T1, FUN_037624-T2, FUN_048328-T2, FUN_048328-T1	Av_00014623-RA
OG0000490	FUN_050975-T1, FUN_010534-T1	Av_00002325-RA, Av_00000819-RA, Av_00004807-RA, Av_00003422-RA, Av_00001434-RA
OG0000491	FUN_046903-T1	Av_00009261-RA, Av_00011012-RA, Av_00011199-RA, Av_00013816-RA
OG0000492	FUN_030210-T1, FUN_019161-T1	Av_00003867-RA, Av_00005014-RA
OG0000494	FUN_030250-T1, FUN_030251-T1, FUN_001134-T1, FUN_045760-T1	Av_00009860-RA, Av_00011070-RA, Av_00018319-RA, Av_00024395-RA, Av_00001880-RA
OG0000495	FUN_018456-T1, FUN_040257-T2, FUN_040257-T1	Av_00018580-RA, Av_00010693-RA, Av_00005451-RA, Av_00003025-RA
OG0000495	FUN_020956-T1	Av_00022684-RA
OG0000496	FUN_024885-T1, FUN_024885-T2, FUN_024885-T3, FUN_043743-T1	Av_00004847-RA, Av_00000763-RA
OG0000496	FUN_036800-T1, FUN_051610-T1	Av_00006957-RA, Av_00011804-RA, Av_00006590-RA, Av_00016646-RA
OG0000497	FUN_022605-T1, FUN_022099-T1	Av_00009164-RA, Av_00009383-RA
OG0000497	FUN_018742-T1, FUN_040740-T1	Av_00018560-RA, Av_00010404-RA, Av_00005511-RA, Av_00006092-RA, Av_00014564-RA
OG0000498	FUN_003944-T1	Av_00020929-RA, Av_00008871-RA
OG0000498	FUN_043909-T1, FUN_043909-T3, FUN_043909-T2	Av_00001896-RA
OG0000499	FUN_008179-T1	Av_00023108-RA, Av_00019995-RA
OG0000500	FUN_030798-T1	Av_00003741-RA, Av_00007433-RA
OG0000501	FUN_025241-T2, FUN_025241-T1	Av_00002764-RA
OG0000501	FUN_002483-T1	Av_00016263-RA
OG0000501	FUN_011352-T1, FUN_047044-T1	Av_00009242-RA, Av_00015034-RA
OG0000502	FUN_031268-T2, FUN_031268-T1	Av_00024904-RA
OG0000503	FUN_011022-T1	Av_00013797-RA, Av_00001752-RA
OG0000503	FUN_032462-T1, FUN_023186-T1	Av_00015504-RA
OG0000503	FUN_008014-T1, FUN_008013-T1, FUN_030907-T1	Av_00024052-RA, Av_00023343-RA
OG0000504	FUN_032172-T1, FUN_032172-T3, FUN_032172-T2, FUN_009282-T1	Av_00021476-RA, Av_00002662-RA
OG0000504	FUN_010794-T1, FUN_047385-T3, FUN_047385-T1, FUN_047385-T2	Av_00010557-RA, Av_00013849-RA, Av_00011301-RA
OG0000508	FUN_005921-T1, FUN_000831-T1, FUN_000836-T1, FUN_005921-T2	Av_00012714-RA, Av_00020701-RA, Av_00001146-RA, Av_00008201-RA, Av_00004367-RA
OG0000509	FUN_019395-T1	Av_00013647-RA, Av_00023393-RA
OG0000509	FUN_014577-T1, FUN_039494-T1	Av_00015708-RA, Av_00018389-RA, Av_00018706-RA
OG0000511	FUN_012226-T1, FUN_003576-T1, FUN_003577-T1	Av_00003497-RA
OG0000511	FUN_030318-T1, FUN_034053-T1, FUN_036651-T1, FUN_034055-T1	Av_00013032-RA, Av_00024013-RA
OG0000511	FUN_003575-T1, FUN_034056-T1, FUN_034058-T1, FUN_034057-T1	Av_00020569-RA
OG0000512	FUN_019240-T1, FUN_029501-T1, FUN_029501-T4	Av_00017950-RA, Av_00002018-RA, Av_00007732-RA, Av_00000288-RA
OG0000514	FUN_025639-T1	Av_00019428-RA, Av_00012106-RA, Av_00004866-RA, Av_00004069-RA
OG0000514	FUN_004170-T1, FUN_004169-T1	Av_00003757-RA, Av_00009009-RA, Av_00021608-RA
OG0000515	FUN_004217-T1	Av_00019050-RA
OG0000517	FUN_008602-T3, FUN_008602-T1, FUN_008602-T2, FUN_013023-T1	Av_00003664-RA
OG0000517	FUN_027268-T1	Av_00013112-RA
OG0000519	FUN_015959-T1, FUN_006250-T1	Av_00022838-RA, Av_00018150-RA
OG0000520	FUN_047299-T4, FUN_047299-T1, FUN_047299-T3, FUN_047299-T2	Av_00009728-RA
OG0000520	FUN_015329-T1	Av_00001583-RA, Av_00013569-RA
OG0000520	FUN_018471-T1, FUN_018471-T2	Av_00006071-RA, Av_00010697-RA, Av_00010374-RA
OG0000521	FUN_037440-T1, FUN_037450-T1, FUN_037437-T3, FUN_037437-T2, FUN_037437-T1, FUN_037441-T1	Av_00008601-RA, Av_00014643-RA
OG0000521	FUN_013668-T1, FUN_013668-T3, FUN_013668-T2, FUN_013667-T1, FUN_013666-T1, FUN_005032-T1	Av_00001658-RA, Av_00009453-RA, Av_00009206-RA
OG0000522	FUN_032414-T1, FUN_032413-T1, FUN_032412-T1	Av_00006440-RA, Av_00015499-RA, Av_00016954-RA
OG0000523	FUN_023612-T1, FUN_023886-T1, FUN_023611-T1, FUN_033769-T1	Av_00015534-RA
OG0000523	FUN_016912-T1, FUN_016912-T3, FUN_016912-T2	Av_00005791-RA, Av_00005792-RA
OG0000528	FUN_037010-T1, FUN_013095-T1, FUN_049308-T1	Av_00018633-RA, Av_00022455-RA
OG0000528	FUN_039191-T1	Av_00008257-RA, Av_00013620-RA
OG0000529	FUN_041343-T1, FUN_041439-T1, FUN_041439-T2	Av_00023558-RA, Av_00021194-RA
OG0000529	FUN_000456-T1, FUN_028273-T1	Av_00000519-RA
OG0000530	FUN_035687-T1, FUN_002636-T1	Av_00016242-RA
OG0000531	FUN_003611-T1, FUN_003612-T1	Av_00023468-RA
OG0000531	FUN_003614-T1, FUN_003613-T1	Av_00003499-RA
OG0000532	FUN_051213-T1, FUN_010421-T1	Av_00002299-RA, Av_00009691-RA
OG0000534	FUN_039089-T1	Av_00005079-RA, Av_00015660-RA, Av_00002930-RA, Av_00012609-RA, Av_00010280-RA, Av_00018031-RA
OG0000534	FUN_018634-T1, FUN_040639-T1	Av_00014556-RA
OG0000535	FUN_024416-T1, FUN_033470-T3, FUN_033470-T1	Av_00006352-RA, Av_00010868-RA
OG0000535	FUN_033471-T1	Av_00006936-RA, Av_00006938-RA
OG0000536	FUN_032695-T1	Av_00022874-RA, Av_00010137-RA, Av_00010136-RA
OG0000536	FUN_003341-T2, FUN_003341-T1	Av_00019328-RA, Av_00013480-RA, Av_00021179-RA, Av_00024343-RA, Av_00011733-RA
OG0000537	FUN_051816-T1	Av_00007290-RA, Av_00008832-RA, Av_00024534-RA, Av_00023482-RA
OG0000537	FUN_047834-T1, FUN_015012-T1	Av_00004615-RA, Av_00004618-RA
OG0000538	FUN_010312-T1, FUN_051251-T1	Av_00017086-RA, Av_00001442-RA
OG0000538	FUN_000211-T1, FUN_015098-T2	Av_00016130-RA, Av_00001349-RA, Av_00015138-RA
OG0000538	FUN_040310-T1, FUN_015098-T1	Av_00019203-RA, Av_00000579-RA
OG0000539	FUN_038065-T2, FUN_038065-T1	Av_00013985-RA, Av_00003168-RA, Av_00015266-RA
OG0000539	FUN_025465-T2, FUN_025465-T3, FUN_025465-T1, FUN_025463-T1	Av_00000374-RA
OG0000540	FUN_036805-T1	Av_00016509-RA, Av_00006587-RA, Av_00011805-RA, Av_00015601-RA, Av_00004961-RA
OG0000541	FUN_029547-T1	Av_00001841-RA, Av_00013716-RA, Av_00021697-RA
OG0000541	FUN_045600-T1	Av_00015956-RA
OG0000542	FUN_003885-T1	Av_00014220-RA
OG0000542	FUN_027253-T1, FUN_003882-T1	Av_00000416-RA
OG0000542	FUN_050007-T1, FUN_050001-T1, FUN_038589-T1	Av_00019080-RA
OG0000543	FUN_038028-T1, FUN_038028-T2	Av_00003864-RA
OG0000543	FUN_030977-T1	Av_00024633-RA, Av_00007109-RA
OG0000544	FUN_010725-T1	Av_00010475-RA, Av_00017647-RA
OG0000544	FUN_004027-T1	Av_00010309-RA
OG0000545	FUN_008702-T6, FUN_008702-T2, FUN_008702-T5, FUN_008702-T4, FUN_008702-T7, FUN_008702-T3, FUN_008702-T1	Av_00003656-RA
OG0000545	FUN_027932-T4, FUN_027932-T2, FUN_027932-T1, FUN_027932-T3	Av_00023659-RA, Av_00004695-RA
OG0000548	FUN_032258-T1	Av_00023101-RA, Av_00000906-RA
OG0000550	FUN_004112-T1, FUN_004112-T2	Av_00002979-RA, Av_00005419-RA
OG0000551	FUN_052718-T1, FUN_052719-T1, FUN_052719-T2, FUN_052714-T1, FUN_052715-T1, FUN_052716-T1	Av_00006534-RA
OG0000552	FUN_031990-T1	Av_00003353-RA, Av_00010824-RA, Av_00007753-RA, Av_00002641-RA, Av_00005360-RA
OG0000554	FUN_014077-T2, FUN_014077-T1, FUN_006552-T2, FUN_006552-T1	Av_00010495-RA, Av_00021137-RA
OG0000555	FUN_021453-T1, FUN_006293-T1, FUN_009739-T1, FUN_031508-T1, FUN_006141-T1, FUN_017579-T1, FUN_002325-T1	Av_00020179-RA
OG0000558	FUN_014540-T1	Av_00020642-RA, Av_00000613-RA
OG0000558	FUN_050989-T2, FUN_050989-T1, FUN_010542-T1	Av_00004809-RA, Av_00003421-RA, Av_00009714-RA, Av_00023834-RA
OG0000559	FUN_024962-T1, FUN_024962-T2	Av_00002240-RA
OG0000560	FUN_036390-T1, FUN_036390-T2, FUN_052702-T1	Av_00014404-RA, Av_00001208-RA, Av_00011856-RA, Av_00006997-RA, Av_00016550-RA, Av_00006538-RA
OG0000561	FUN_044306-T1	Av_00002559-RA, Av_00018473-RA, Av_00007673-RA, Av_00024122-RA, Av_00024121-RA, Av_00007674-RA
OG0000562	FUN_021776-T1	Av_00011798-RA, Av_00006954-RA, Av_00011800-RA, Av_00011799-RA
OG0000562	FUN_043707-T1, FUN_043707-T2, FUN_024852-T1	Av_00000745-RA
OG0000563	FUN_019611-T1	Av_00003519-RA
OG0000563	FUN_013470-T1	Av_00020430-RA
OG0000564	FUN_030948-T1	Av_00002833-RA
OG0000564	FUN_051470-T1	Av_00016193-RA, Av_00016796-RA, Av_00006903-RA, Av_00006672-RA
OG0000565	FUN_032692-T1	Av_00021468-RA, Av_00003524-RA, Av_00020284-RA
OG0000565	FUN_052648-T1	Av_00006549-RA, Av_00016538-RA
OG0000566	FUN_024996-T1, FUN_020770-T1	Av_00024560-RA, Av_00001462-RA, Av_00004839-RA, Av_00003456-RA, Av_00000769-RA
OG0000567	FUN_036416-T1, FUN_036416-T2, FUN_052735-T1	Av_00001202-RA, Av_00016556-RA, Av_00006531-RA, Av_00014401-RA
OG0000567	FUN_032846-T1, FUN_032846-T2	Av_00019489-RA, Av_00012670-RA
OG0000567	FUN_014760-T1, FUN_031636-T1	Av_00014740-RA
OG0000569	FUN_008192-T1, FUN_008193-T1	Av_00014825-RA, Av_00022749-RA, Av_00022947-RA
OG0000570	FUN_005636-T1	Av_00008842-RA
OG0000570	FUN_047300-T2, FUN_047300-T1	Av_00006846-RA
OG0000570	FUN_024233-T1, FUN_024232-T1	Av_00010778-RA
OG0000571	FUN_024991-T2, FUN_024991-T1	Av_00002251-RA, Av_00009656-RA, Av_00000768-RA, Av_00003457-RA, Av_00004840-RA
OG0000572	FUN_051327-T3, FUN_051327-T2, FUN_051327-T1, FUN_051327-T4, FUN_005113-T1	Av_00021423-RA, Av_00020895-RA, Av_00024696-RA, Av_00009355-RA
OG0000573	FUN_052252-T1, FUN_052252-T5, FUN_052252-T4, FUN_052252-T2, FUN_052252-T3	Av_00016500-RA, Av_00006608-RA, Av_00006943-RA, Av_00011778-RA
OG0000573	FUN_038680-T1	Av_00009353-RA, Av_00012463-RA
OG0000574	FUN_033714-T1, FUN_023712-T2, FUN_023712-T1	Av_00005223-RA
OG0000574	FUN_001559-T2, FUN_001559-T1	Av_00004451-RA
OG0000575	FUN_040031-T2, FUN_040031-T1, FUN_017195-T1, FUN_017195-T2	Av_00018587-RA
OG0000575	FUN_026822-T1	Av_00017105-RA, Av_00009828-RA
OG0000575	FUN_020129-T1	Av_00007621-RA
OG0000576	FUN_049983-T1	Av_00024658-RA, Av_00004115-RA, Av_00006771-RA, Av_00008028-RA
OG0000576	FUN_001900-T2, FUN_001900-T1, FUN_001902-T1, FUN_009822-T1	Av_00020059-RA, Av_00004223-RA, Av_00006283-RA, Av_00008911-RA
OG0000577	FUN_040058-T1, FUN_040058-T2	Av_00010689-RA
OG0000578	FUN_005266-T1, FUN_005266-T2, FUN_050027-T2, FUN_020156-T1, FUN_050027-T1	Av_00008036-RA, Av_00006765-RA, Av_00020777-RA, Av_00021759-RA, Av_00023783-RA, Av_00004108-RA
OG0000579	FUN_037410-T1, FUN_037410-T4, FUN_037410-T5, FUN_037410-T2, FUN_037410-T3	Av_00024508-RA, Av_00000022-RA, Av_00013948-RA
OG0000580	FUN_012976-T1, FUN_026295-T1	Av_00009038-RA
OG0000580	FUN_021088-T1, FUN_008418-T1	Av_00010083-RA, Av_00004656-RA, Av_00018248-RA
OG0000581	FUN_040936-T1, FUN_048038-T1, FUN_037256-T1	Av_00000038-RA, Av_00010878-RA, Av_00015215-RA, Av_00003232-RA, Av_00013925-RA
OG0000581	FUN_010880-T1	Av_00012406-RA, Av_00009292-RA
OG0000582	FUN_014698-T1, FUN_014698-T4, FUN_014698-T2, FUN_014698-T3, FUN_014697-T2, FUN_014697-T1	Av_00008231-RA, Av_00023259-RA, Av_00001112-RA
OG0000583	FUN_029725-T1	Av_00004958-RA, Av_00003944-RA
OG0000583	FUN_023552-T1, FUN_011247-T1	Av_00006384-RA
OG0000584	FUN_032144-T1	Av_00002660-RA, Av_00005339-RA
OG0000584	FUN_010761-T2, FUN_010761-T3, FUN_010761-T1, FUN_047353-T1	Av_00017707-RA, Av_00001703-RA
OG0000585	FUN_010846-T1	Av_00009285-RA
OG0000585	FUN_032225-T1	Av_00005321-RA, Av_00022009-RA, Av_00000910-RA, Av_00021485-RA, Av_00022007-RA, Av_00021486-RA
OG0000586	FUN_032265-T1, FUN_009209-T3, FUN_009209-T2, FUN_009209-T1	Av_00020741-RA, Av_00021490-RA, Av_00023096-RA
OG0000595	FUN_036337-T1, FUN_049090-T1, FUN_049091-T1	Av_00004678-RA, Av_00018270-RA, Av_00014306-RA, Av_00010097-RA
OG0000596	FUN_034049-T1, FUN_003587-T1	Av_00000718-RA, Av_00020570-RA
OG0000597	FUN_023973-T1	Av_00009006-RA
OG0000597	FUN_051400-T1, FUN_028863-T1, FUN_051401-T1	Av_00016177-RA
OG0000599	FUN_046720-T1	Av_00000221-RA, Av_00007825-RA, Av_00018861-RA, Av_00012035-RA, Av_00020237-RA, Av_00019183-RA
OG0000600	FUN_043308-T1, FUN_036732-T1	Av_00023115-RA
OG0000601	FUN_038974-T1, FUN_020269-T1	Av_00005069-RA, Av_00024238-RA
OG0000601	FUN_024194-T1	Av_00010200-RA, Av_00004208-RA, Av_00019115-RA
OG0000602	FUN_007994-T1, FUN_040789-T1	Av_00005469-RA
OG0000603	FUN_019349-T2, FUN_019349-T1, FUN_005152-T2, FUN_005152-T1	Av_00014942-RA
OG0000603	FUN_040530-T1	Av_00010375-RA
OG0000603	FUN_030589-T1, FUN_005178-T3, FUN_005178-T1, FUN_005178-T2, FUN_005178-T4, FUN_005176-T1, FUN_005177-T1	Av_00023058-RA, Av_00023667-RA
OG0000605	FUN_032860-T1	Av_00024155-RA, Av_00013179-RA
OG0000605	FUN_034840-T1	Av_00004941-RA, Av_00003969-RA, Av_00005811-RA, Av_00012180-RA, Av_00018609-RA
OG0000606	FUN_046610-T1, FUN_046610-T3, FUN_046610-T2	Av_00011210-RA, Av_00016432-RA
OG0000607	FUN_002077-T1	Av_00007047-RA, Av_00004355-RA, Av_00014363-RA
OG0000607	FUN_040400-T1	Av_00011922-RA, Av_00007048-RA, Av_00006477-RA, Av_00013659-RA
OG0000608	FUN_042694-T1, FUN_042694-T2, FUN_042694-T3	Av_00022305-RA, Av_00015992-RA
OG0000609	FUN_046997-T3, FUN_046997-T2, FUN_046997-T1, FUN_011372-T1, FUN_011372-T2	Av_00010997-RA, Av_00009245-RA
OG0000611	FUN_023517-T1, FUN_033849-T1	Av_00002734-RA, Av_00016713-RA, Av_00024197-RA
OG0000612	FUN_020543-T1	Av_00001558-RA
OG0000613	FUN_023579-T1, FUN_033782-T1	Av_00015533-RA, Av_00005228-RA, Av_00002740-RA, Av_00006381-RA
OG0000614	FUN_049940-T1	Av_00016831-RA, Av_00020124-RA
OG0000620	FUN_047252-T1	Av_00009758-RA
OG0000621	FUN_024792-T2, FUN_024792-T1	Av_00000229-RA, Av_00024211-RA
OG0000621	FUN_039088-T1	Av_00011765-RA
OG0000622	FUN_009903-T1, FUN_009897-T1, FUN_002342-T1	Av_00004756-RA
OG0000623	FUN_001525-T1	Av_00008178-RA, Av_00001168-RA, Av_00006475-RA, Av_00013657-RA, Av_00007049-RA
OG0000623	FUN_015578-T1	Av_00013486-RA, Av_00021172-RA, Av_00019323-RA, Av_00005100-RA, Av_00015695-RA
OG0000624	FUN_014983-T1	Av_00023904-RA, Av_00002127-RA, Av_00013513-RA, Av_00023903-RA, Av_00001539-RA
OG0000624	FUN_034451-T1, FUN_034451-T2, FUN_051563-T1	Av_00001324-RA, Av_00015118-RA
OG0000625	FUN_005766-T3, FUN_005766-T2, FUN_005766-T1	Av_00000837-RA
OG0000625	FUN_024900-T3, FUN_024900-T5, FUN_024900-T4, FUN_024900-T1, FUN_024900-T2	Av_00022997-RA, Av_00003469-RA, Av_00004850-RA
OG0000627	FUN_006502-T1	Av_00020923-RA
OG0000627	FUN_049491-T1, FUN_039696-T1	Av_00008693-RA, Av_00014712-RA, Av_00014959-RA
OG0000628	FUN_051767-T2, FUN_051767-T3, FUN_051767-T1, FUN_051767-T4, FUN_047172-T1, FUN_047172-T2	Av_00017767-RA
OG0000628	FUN_029416-T1, FUN_019203-T3, FUN_019203-T1, FUN_019203-T2	Av_00000302-RA
OG0000629	FUN_036145-T1, FUN_042747-T1, FUN_042728-T1	Av_00023296-RA, Av_00018694-RA, Av_00019309-RA
OG0000630	FUN_002202-T3, FUN_002202-T1, FUN_050607-T1	Av_00011093-RA
OG0000630	FUN_038506-T1	Av_00004325-RA
OG0000630	FUN_050609-T1	Av_00009886-RA, Av_00009888-RA
OG0000631	FUN_037907-T1, FUN_048468-T1	Av_00019346-RA, Av_00019379-RA
OG0000632	FUN_036279-T1, FUN_031180-T1, FUN_031163-T1, FUN_031164-T1	Av_00007098-RA
OG0000632	FUN_038625-T1	Av_00002783-RA, Av_00005179-RA, Av_00003515-RA, Av_00001685-RA, Av_00001684-RA, Av_00017711-RA
OG0000633	FUN_009860-T1, FUN_002290-T1	Av_00001069-RA, Av_00015149-RA, Av_00024942-RA, Av_00024995-RA, Av_00022534-RA, Av_00022537-RA, Av_00024994-RA, Av_00024971-RA
OG0000633	FUN_001103-T1, FUN_031293-T1	Av_00014830-RA, Av_00014848-RA, Av_00022939-RA, Av_00017918-RA
OG0000634	FUN_020523-T1, FUN_046366-T1	Av_00004435-RA
OG0000635	FUN_031057-T1	Av_00001945-RA, Av_00017901-RA
OG0000635	FUN_002170-T1	Av_00018838-RA, Av_00007193-RA, Av_00012386-RA, Av_00004549-RA, Av_00012385-RA
OG0000636	FUN_049435-T1, FUN_038468-T1	Av_00004328-RA, Av_00004557-RA, Av_00000958-RA
OG0000637	FUN_004983-T2, FUN_004983-T1	Av_00000398-RA, Av_00015370-RA
OG0000637	FUN_024332-T1	Av_00007920-RA, Av_00010022-RA
OG0000640	FUN_008790-T1	Av_00009940-RA, Av_00009214-RA, Av_00015056-RA
OG0000640	FUN_022951-T1	Av_00013031-RA
OG0000640	FUN_051362-T2	Av_00024874-RA
OG0000641	FUN_010631-T1, FUN_010633-T1	Av_00000826-RA, Av_00003419-RA
OG0000642	FUN_021925-T1	Av_00015145-RA, Av_00001368-RA
OG0000643	FUN_014029-T1, FUN_014027-T1, FUN_014028-T1, FUN_014026-T1	Av_00004848-RA
OG0000644	FUN_048299-T1, FUN_037598-T1	Av_00013969-RA, Av_00003274-RA
OG0000645	FUN_018981-T4, FUN_018981-T2, FUN_018981-T1, FUN_018981-T3, FUN_029251-T2, FUN_029251-T1	Av_00005671-RA, Av_00017251-RA
OG0000646	FUN_002606-T1, FUN_002606-T3, FUN_002606-T2	Av_00016253-RA
OG0000646	FUN_011523-T1, FUN_011523-T3, FUN_011523-T2, FUN_050949-T1	Av_00001425-RA
OG0000647	FUN_018060-T1, FUN_018060-T2	Av_00020821-RA
OG0000647	FUN_013803-T1, FUN_013800-T1, FUN_013802-T1, FUN_013801-T1	Av_00009194-RA, Av_00012945-RA, Av_00002097-RA
OG0000648	FUN_017417-T2, FUN_017417-T7, FUN_017417-T3, FUN_017417-T4, FUN_017417-T8, FUN_017417-T6, FUN_017417-T1, FUN_017417-T5, FUN_041461-T2, FUN_041461-T1	Av_00024887-RA
OG0000649	FUN_053158-T1, FUN_020678-T1	Av_00024369-RA
OG0000649	FUN_052229-T1, FUN_005472-T1, FUN_005471-T1, FUN_005475-T1, FUN_005478-T1, FUN_005476-T1, FUN_005474-T1	Av_00020900-RA, Av_00019269-RA
OG0000650	FUN_011222-T1	Av_00013758-RA
OG0000650	FUN_029076-T2, FUN_029076-T1	Av_00023198-RA
OG0000651	FUN_030140-T1, FUN_037513-T1, FUN_021814-T1, FUN_004011-T1, FUN_051115-T1, FUN_050079-T1, FUN_020924-T1, FUN_008693-T1, FUN_031873-T1, FUN_052305-T1, FUN_005848-T1, FUN_048280-T1, FUN_047034-T1, FUN_032376-T1, FUN_012182-T1, FUN_026555-T1, FUN_022645-T1, FUN_042125-T1, FUN_023788-T1, FUN_016921-T1, FUN_044017-T1, FUN_011695-T1, FUN_030863-T1, FUN_042763-T1, FUN_001759-T1, FUN_021097-T1, FUN_023410-T1, FUN_010980-T1, FUN_041734-T1, FUN_045632-T1, FUN_028474-T1, FUN_010930-T1, FUN_002049-T1, FUN_009266-T1, FUN_010383-T1, FUN_053009-T1, FUN_049652-T1, FUN_031501-T1, FUN_002614-T1, FUN_053010-T1, FUN_002099-T1, FUN_053101-T1, FUN_028258-T1, FUN_029449-T1, FUN_036812-T1, FUN_014858-T1, FUN_032474-T1, FUN_045362-T1, FUN_023329-T1, FUN_016863-T1, FUN_041536-T1, FUN_028130-T1, FUN_016246-T1, FUN_045109-T1, FUN_044220-T1, FUN_005642-T1, FUN_000393-T1, FUN_048175-T1, FUN_035595-T1, FUN_015465-T1	Av_00019560-RA
OG0000659	FUN_043560-T1	Av_00008049-RA, Av_00003477-RA, Av_00020307-RA
OG0000659	FUN_036088-T1, FUN_052435-T1	Av_00001246-RA, Av_00014869-RA, Av_00016514-RA
OG0000660	FUN_030091-T3, FUN_030091-T2, FUN_030091-T1, FUN_010077-T1	Av_00005731-RA, Av_00017290-RA, Av_00003887-RA, Av_00005000-RA
OG0000660	FUN_009713-T3, FUN_009713-T2, FUN_009713-T1, FUN_047960-T1	Av_00013323-RA
OG0000661	FUN_033151-T4, FUN_033151-T2, FUN_033151-T3, FUN_033151-T1, FUN_012909-T1, FUN_012909-T3, FUN_012909-T2	Av_00000656-RA, Av_00021752-RA
OG0000661	FUN_034383-T1	Av_00006917-RA, Av_00021031-RA
OG0000662	FUN_033149-T1, FUN_033150-T1, FUN_033146-T1, FUN_033145-T1	Av_00018427-RA, Av_00012092-RA, Av_00024184-RA
OG0000662	FUN_034346-T1	Av_00015117-RA, Av_00001322-RA
OG0000663	FUN_013098-T1	Av_00008215-RA
OG0000663	FUN_013097-T1	Av_00004379-RA
OG0000663	FUN_043252-T1, FUN_020795-T1	Av_00014468-RA, Av_00012658-RA
OG0000664	FUN_029098-T1, FUN_033865-T1, FUN_033865-T2, FUN_033867-T4, FUN_033867-T3, FUN_033867-T2, FUN_033867-T1, FUN_033866-T1, FUN_033868-T2, FUN_033868-T1, FUN_023512-T1	Av_00007580-RA, Av_00005239-RA
OG0000665	FUN_046047-T2, FUN_046047-T1, FUN_002384-T1, FUN_002384-T2, FUN_002385-T1	Av_00012300-RA
OG0000666	FUN_051733-T1, FUN_047204-T1	Av_00012368-RA, Av_00008795-RA, Av_00009760-RA, Av_00007171-RA
OG0000667	FUN_013604-T1, FUN_042044-T1, FUN_013603-T1	Av_00001459-RA, Av_00009659-RA, Av_00001460-RA, Av_00004836-RA, Av_00000772-RA
OG0000667	FUN_027368-T1, FUN_028637-T1	Av_00018193-RA, Av_00000995-RA
OG0000668	FUN_025637-T1	Av_00012105-RA, Av_00019427-RA
OG0000668	FUN_051809-T3, FUN_051809-T1, FUN_051809-T2	Av_00009774-RA, Av_00008779-RA
OG0000669	FUN_025591-T1, FUN_031026-T1	Av_00011707-RA, Av_00016321-RA
OG0000669	FUN_049740-T1, FUN_049740-T2, FUN_038484-T2, FUN_038484-T5, FUN_038484-T1, FUN_038484-T6, FUN_038484-T4, FUN_038484-T3	Av_00007218-RA
OG0000670	FUN_008426-T1, FUN_025162-T1, FUN_025162-T2, FUN_025163-T1, FUN_050282-T1	Av_00020145-RA
OG0000671	FUN_036674-T1	Av_00005906-RA
OG0000671	FUN_046638-T1	Av_00006172-RA, Av_00008436-RA
OG0000672	FUN_016780-T1	Av_00010177-RA, Av_00015732-RA, Av_00002522-RA
OG0000673	FUN_018453-T1, FUN_018453-T2, FUN_040235-T1	Av_00003022-RA, Av_00005450-RA
