Orthogroup	P_amilis.proteins	A_hypochondriacus.proteins
OG0001057	FUN_048555-T1, FUN_038025-T2, FUN_038025-T1	AH008820-RA
OG0001057	FUN_003807-T1	AH002407-RA, AH000724-RA
OG0001058	FUN_032304-T1	AH004752-RA
OG0001059	FUN_047499-T1, FUN_010960-T1	AH017341-RA, AH002759-RA
OG0001060	FUN_045134-T1	AH019749-RA, AH017647-RA
OG0001062	FUN_006462-T1, FUN_006458-T1, FUN_006460-T1, FUN_006459-T1	AH000503-RA, AH001574-RA
OG0001063	FUN_047145-T1	AH008625-RA, AH008626-RA
OG0001064	FUN_000115-T1	AH002099-RA
OG0001064	FUN_026479-T1, FUN_050852-T1	AH014518-RA, AH020871-RA
OG0001065	FUN_052161-T1, FUN_005535-T1	AH000655-RA
OG0001065	FUN_004919-T1, FUN_004920-T1	AH023284-RA, AH016225-RA
OG0001066	FUN_004851-T1, FUN_004850-T1, FUN_004850-T2	AH011438-RA, AH023279-RA, AH023283-RA, AH016227-RA
OG0001067	FUN_032366-T1, FUN_022930-T1	AH004643-RA, AH004700-RA
OG0001067	FUN_010971-T1, FUN_010971-T2, FUN_047503-T1	AH017255-RA, AH002765-RA
OG0001068	FUN_022160-T1	AH019530-RA
OG0001068	FUN_022657-T1	AH012352-RA
OG0001069	FUN_013671-T2, FUN_013671-T3, FUN_013671-T1	AH011997-RA
OG0001069	FUN_048156-T1	AH016305-RA
OG0001070	FUN_042265-T2, FUN_042265-T1, FUN_015640-T2, FUN_015640-T1	AH000393-RA, AH001453-RA
OG0001071	FUN_039447-T1	AH012794-RA
OG0001072	FUN_044455-T1, FUN_044455-T2, FUN_011708-T2, FUN_047572-T2	AH010282-RA
OG0001072	FUN_047572-T1, FUN_011708-T1	AH007944-RA
OG0001073	FUN_003592-T1, FUN_034018-T1	AH006552-RA
OG0001074	FUN_048309-T1, FUN_048309-T2, FUN_048309-T3, FUN_048310-T1	AH009467-RA
OG0001075	FUN_009041-T4, FUN_009041-T3, FUN_009041-T2, FUN_009038-T1, FUN_009041-T1, FUN_009063-T1, FUN_013758-T1, FUN_013759-T1	AH016701-RA, AH012074-RA, AH019618-RA
OG0001076	FUN_002692-T1, FUN_000220-T1	AH010746-RA, AH007881-RA
OG0001077	FUN_019035-T1, FUN_029350-T1	AH016316-RA
OG0001078	FUN_011218-T2, FUN_011218-T1	AH017489-RA
OG0001079	FUN_010166-T1, FUN_029166-T1	AH015793-RA
OG0001079	FUN_011113-T1, FUN_045304-T1	AH017564-RA, AH002840-RA
OG0001080	FUN_017424-T1, FUN_017424-T2, FUN_017424-T3, FUN_041466-T1, FUN_041466-T2, FUN_041466-T3	AH018328-RA
OG0001081	FUN_045841-T1	AH009977-RA
OG0001082	FUN_031475-T1	AH019060-RA, AH019061-RA, AH003097-RA
OG0001083	FUN_011136-T1, FUN_045378-T1	AH002859-RA, AH017552-RA
OG0001084	FUN_029903-T1, FUN_043941-T1, FUN_050519-T1, FUN_046566-T1	AH000959-RA, AH023579-RA, AH023473-RA
OG0001084	FUN_053172-T1	AH001013-RA
OG0001084	FUN_052996-T1	AH005857-RA, AH003633-RA, AH006181-RA, AH009138-RA, AH008993-RA, AH005853-RA, AH007205-RA, AH019002-RA, AH016670-RA, AH016747-RA, AH014113-RA, AH020663-RA, AH000961-RA, AH002491-RA, AH004587-RA, AH014136-RA, AH019465-RA, AH000940-RA, AH008962-RA, AH019492-RA, AH014150-RA, AH020662-RA, AH015647-RA, AH000939-RA, AH016669-RA, AH000960-RA
OG0001085	FUN_041763-T1, FUN_041764-T1	AH022566-RA, AH022569-RA, AH022571-RA, AH022565-RA, AH022563-RA, AH022545-RA, AH022568-RA, AH000637-RA, AH001661-RA, AH001663-RA
OG0001085	FUN_013277-T1, FUN_005487-T1, FUN_042201-T1, FUN_005483-T1	AH002001-RA
OG0001086	FUN_037842-T2, FUN_037842-T1, FUN_048432-T3, FUN_048432-T2, FUN_048432-T1	AH009366-RA
OG0001086	FUN_037840-T1, FUN_048431-T1	AH009364-RA
OG0001091	FUN_006733-T1	AH015460-RA, AH015458-RA
OG0001092	FUN_030368-T1	AH016385-RA
OG0001094	FUN_030813-T1, FUN_018843-T1, FUN_018842-T1	AH015698-RA, AH019173-RA, AH015699-RA
OG0001094	FUN_018867-T1, FUN_018867-T2	AH006154-RA
OG0001095	FUN_019131-T1, FUN_019129-T1, FUN_030319-T1	AH023086-RA
OG0001095	FUN_024664-T1, FUN_024665-T2, FUN_024665-T1	AH012875-RA
OG0001096	FUN_052528-T1	AH011126-RA
OG0001096	FUN_036507-T1	AH010935-RA
OG0001097	FUN_009679-T1	AH022557-RA
OG0001097	FUN_039781-T1, FUN_039781-T2	AH002582-RA, AH017924-RA
OG0001098	FUN_000758-T5	AH012761-RA
OG0001099	FUN_003495-T1, FUN_034097-T1, FUN_034097-T2	AH020576-RA, AH006491-RA
OG0001099	FUN_011195-T1	AH002885-RA
OG0001100	FUN_033537-T1	AH005467-RA
OG0001100	FUN_039391-T1, FUN_039391-T2	AH023245-RA
OG0001102	FUN_052086-T1, FUN_005632-T1	AH002437-RA
OG0001102	FUN_028994-T1, FUN_003916-T1, FUN_003915-T1	AH004330-RA
OG0001103	FUN_049819-T1, FUN_049818-T1, FUN_050746-T1	AH008942-RA
OG0001107	FUN_003895-T1, FUN_003893-T1, FUN_003894-T1	AH014299-RA
OG0001107	FUN_050152-T1, FUN_023564-T1, FUN_050153-T1	AH013425-RA
OG0001108	FUN_012325-T1, FUN_012326-T1, FUN_035144-T1	AH014965-RA, AH021490-RA
OG0001109	FUN_047837-T1, FUN_017373-T1, FUN_020161-T1	AH022211-RA, AH013337-RA
OG0001110	FUN_040646-T1, FUN_025902-T1, FUN_006561-T1	AH012288-RA
OG0001110	FUN_040647-T1	AH018727-RA
OG0001111	FUN_050026-T1	AH013340-RA
OG0001111	FUN_005265-T1	AH016064-RA
OG0001111	FUN_001864-T1	AH014211-RA
OG0001112	FUN_040956-T2	AH017995-RA
OG0001113	FUN_021364-T1, FUN_005352-T1	AH016027-RA, AH017036-RA
OG0001113	FUN_045423-T1	AH002866-RA
OG0001114	FUN_037133-T3, FUN_037133-T2, FUN_037133-T1, FUN_049189-T2, FUN_049189-T1	AH009228-RA
OG0001115	FUN_010379-T1	AH016248-RA
OG0001116	FUN_004964-T1, FUN_015091-T1	AH023316-RA
OG0001117	FUN_005349-T3, FUN_005349-T1, FUN_005349-T2	AH016026-RA, AH017035-RA
OG0001118	FUN_027289-T1	AH001326-RA, AH000153-RA
OG0001118	FUN_000829-T1	AH000155-RA
OG0001119	FUN_000925-T2, FUN_000925-T1, FUN_022402-T1	AH015942-RA
OG0001120	FUN_047550-T1	AH002798-RA
OG0001121	FUN_001057-T1, FUN_001055-T1, FUN_001053-T1	AH023457-RA
OG0001122	FUN_034879-T1, FUN_034879-T4, FUN_034879-T5, FUN_034879-T2, FUN_034879-T3	AH014754-RA
OG0001123	FUN_005693-T1	AH006921-RA, AH020258-RA
OG0001124	FUN_001786-T1	AH013963-RA
OG0001124	FUN_020842-T1	AH023252-RA, AH016259-RA
OG0001125	FUN_029170-T2, FUN_029170-T1	AH015790-RA
OG0001125	FUN_008961-T1	AH012028-RA
OG0001126	FUN_047804-T1, FUN_001307-T1	AH008528-RA
OG0001126	FUN_001305-T1	AH008527-RA
OG0001126	FUN_001302-T1	AH008529-RA, AH008530-RA
OG0001128	FUN_043392-T1	AH016955-RA
OG0001129	FUN_025337-T1, FUN_025337-T2	AH004516-RA
OG0001129	FUN_031309-T1	AH015879-RA
OG0001130	FUN_025401-T1, FUN_032057-T1	AH004473-RA, AH004879-RA
OG0001131	FUN_016827-T1, FUN_029746-T1	AH022782-RA, AH016587-RA
OG0001131	FUN_011241-T1, FUN_045540-T1	AH002901-RA, AH017471-RA
OG0001132	FUN_029867-T1	AH016532-RA, AH022880-RA
OG0001132	FUN_033557-T1	AH004159-RA, AH005388-RA
OG0001133	FUN_029054-T1, FUN_029054-T2	AH015851-RA
OG0001133	FUN_033314-T2, FUN_033314-T1	AH004152-RA, AH005363-RA
OG0001134	FUN_030922-T1	AH015764-RA
OG0001134	FUN_023240-T1, FUN_032505-T1	AH005090-RA
OG0001135	FUN_031680-T1, FUN_031680-T2, FUN_031679-T1	AH001124-RA, AH000067-RA
OG0001136	FUN_002046-T1, FUN_016946-T1	AH015798-RA, AH015799-RA
OG0001141	FUN_020922-T1	AH019910-RA, AH022026-RA
OG0001141	FUN_020609-T1	AH006389-RA
OG0001141	FUN_020616-T1, FUN_020615-T1	AH023250-RA
OG0001142	FUN_034188-T1, FUN_051463-T1	AH007571-RA
OG0001143	FUN_050385-T1, FUN_050391-T1, FUN_025061-T1	AH013596-RA
OG0001143	FUN_050381-T1	AH013595-RA
OG0001144	FUN_049000-T1, FUN_023887-T1	AH002146-RA, AH015584-RA
OG0001145	FUN_047041-T1	AH002687-RA
OG0001146	FUN_042082-T1, FUN_008098-T1, FUN_008098-T2	AH018876-RA
OG0001146	FUN_039759-T1	AH011698-RA
OG0001147	FUN_018526-T1	AH021829-RA
OG0001147	FUN_039096-T1	AH021828-RA
OG0001147	FUN_043661-T1, FUN_039094-T1	AH021827-RA, AH012620-RA
OG0001148	FUN_027916-T1, FUN_027912-T2, FUN_027912-T1	AH013387-RA
OG0001149	FUN_045099-T1	AH011884-RA
OG0001149	FUN_019545-T1	AH010685-RA, AH007824-RA
OG0001150	FUN_033943-T1, FUN_004432-T1	AH020477-RA
OG0001151	FUN_024980-T1, FUN_043503-T1	AH013071-RA
OG0001151	FUN_008781-T1, FUN_044974-T1	AH019718-RA, AH011930-RA
OG0001151	FUN_037534-T1, FUN_048228-T1	AH009515-RA
OG0001152	FUN_002070-T1, FUN_002070-T2	AH007923-RA
OG0001152	FUN_020539-T2, FUN_020539-T1, FUN_020538-T1, FUN_020538-T2	AH021862-RA, AH012678-RA
OG0001153	FUN_014668-T2, FUN_014668-T1	AH011761-RA
OG0001154	FUN_033077-T1	AH006933-RA
OG0001155	FUN_030620-T1	AH003848-RA, AH005731-RA
OG0001155	FUN_024355-T1	AH016711-RA
OG0001156	FUN_052782-T1	AH003904-RA
OG0001157	FUN_030529-T3	AH003889-RA
OG0001157	FUN_013125-T2, FUN_013125-T1	AH005694-RA, AH003879-RA
OG0001158	FUN_029394-T1, FUN_029394-T3, FUN_029394-T2	AH006127-RA
OG0001159	FUN_021693-T1	AH003277-RA
OG0001159	FUN_031397-T1	AH004048-RA
OG0001160	FUN_025650-T1, FUN_025651-T1	AH023721-RA, AH023722-RA
OG0001160	FUN_012796-T1	AH004290-RA, AH004943-RA
OG0001161	FUN_047159-T2, FUN_047159-T4, FUN_047159-T3, FUN_047159-T1, FUN_047157-T1	AH001620-RA
OG0001162	FUN_042640-T1, FUN_042640-T4, FUN_042640-T3, FUN_042640-T5, FUN_042640-T6, FUN_042640-T2	AH016893-RA
OG0001162	FUN_007797-T1, FUN_007797-T3, FUN_007797-T2	AH003595-RA
OG0001163	FUN_047236-T1, FUN_047231-T1	AH001668-RA
OG0001163	FUN_024531-T1	AH008411-RA
OG0001163	FUN_042708-T2, FUN_042708-T1	AH016942-RA
OG0001164	FUN_006127-T4, FUN_006127-T2, FUN_006127-T3, FUN_006127-T1	AH017026-RA
OG0001165	FUN_024164-T2, FUN_024164-T1, FUN_024164-T3	AH008325-RA, AH016691-RA
OG0001166	FUN_047291-T1, FUN_047289-T1	AH007858-RA
OG0001167	FUN_020084-T2	AH013303-RA
OG0001167	FUN_049990-T1	AH013304-RA
OG0001169	FUN_012790-T1	AH006416-RA
OG0001169	FUN_025662-T1	AH023725-RA
OG0001170	FUN_002262-T1	AH001817-RA
OG0001171	FUN_002412-T2, FUN_002412-T3, FUN_002412-T1	AH002354-RA
OG0001172	FUN_046299-T1, FUN_046299-T2	AH009743-RA
OG0001173	FUN_012440-T1, FUN_035277-T1, FUN_035278-T1	AH015023-RA
OG0001173	FUN_049865-T1, FUN_045959-T1	AH008168-RA, AH009928-RA
OG0001174	FUN_043394-T1	AH015288-RA
OG0001175	FUN_007924-T1, FUN_042644-T1, FUN_042644-T2	AH000334-RA
OG0001176	FUN_012248-T1, FUN_012248-T2, FUN_035799-T1	AH021471-RA, AH014932-RA
OG0001176	FUN_044106-T1	AH009878-RA
OG0001177	FUN_018740-T1	AH003150-RA, AH018700-RA
OG0001178	FUN_050313-T1	AH022370-RA
OG0001178	FUN_017345-T1	AH018244-RA
OG0001178	FUN_041330-T1	AH011465-RA
OG0001179	FUN_050047-T1	AH013358-RA
OG0001179	FUN_049964-T1	AH014557-RA
OG0001180	FUN_033322-T1	AH005365-RA
OG0001180	FUN_007862-T1	AH014071-RA
OG0001182	FUN_037114-T1	AH009218-RA
OG0001182	FUN_022104-T1, FUN_022104-T2	AH012348-RA, AH019533-RA
OG0001183	FUN_009081-T3, FUN_009081-T2, FUN_009081-T4, FUN_009081-T1, FUN_013787-T1	AH012097-RA
OG0001183	FUN_048062-T1, FUN_037299-T1	AH009641-RA
OG0001184	FUN_040847-T1	AH018630-RA, AH003172-RA
OG0001184	FUN_014820-T1	AH011608-RA
OG0001184	FUN_007951-T1	AH003173-RA
OG0001185	FUN_026887-T1	AH023519-RA, AH023518-RA
OG0001185	FUN_026891-T1	AH014366-RA
OG0001186	FUN_001787-T1	AH013962-RA
OG0001187	FUN_041898-T1, FUN_041896-T1	AH018784-RA
OG0001188	FUN_040937-T1, FUN_040937-T2	AH017993-RA
OG0001188	FUN_048039-T1	AH009666-RA
OG0001189	FUN_019268-T2, FUN_019268-T1	AH018210-RA
OG0001190	FUN_015688-T1, FUN_015687-T2, FUN_015687-T1	AH000448-RA, AH000447-RA
OG0001191	FUN_048893-T1	AH022626-RA
OG0001192	FUN_012478-T1, FUN_035305-T1	AH021523-RA, AH015039-RA
OG0001193	FUN_005809-T2, FUN_005809-T1	AH021851-RA
OG0001193	FUN_015676-T1	AH000382-RA, AH001500-RA
OG0001194	FUN_046176-T1	AH009883-RA, AH008232-RA
OG0001194	FUN_044141-T1	AH009884-RA
OG0001194	FUN_012249-T3, FUN_012249-T1, FUN_012249-T2	AH021473-RA, AH014934-RA
OG0001195	FUN_029327-T1, FUN_019009-T1	AH016309-RA, AH023167-RA
OG0001196	FUN_005713-T1	AH006827-RA, AH020348-RA
OG0001197	FUN_002011-T2, FUN_002011-T1	AH012810-RA
OG0001197	FUN_002888-T1	AH023431-RA
OG0001198	FUN_010844-T1	AH017988-RA
OG0001198	FUN_047412-T1	AH017987-RA
OG0001199	FUN_046642-T1	AH010076-RA
OG0001200	FUN_011346-T2, FUN_047048-T1, FUN_047048-T2	AH002957-RA
OG0001200	FUN_011346-T1	AH017384-RA
OG0001201	FUN_032446-T1, FUN_032446-T2, FUN_023065-T1, FUN_023146-T1, FUN_023146-T3, FUN_023146-T4, FUN_023146-T2	AH004686-RA
OG0001202	FUN_014300-T1, FUN_014305-T1	AH011829-RA, AH011828-RA, AH011830-RA
OG0001203	FUN_032423-T1, FUN_032420-T1, FUN_023066-T1, FUN_023063-T1	AH014538-RA, AH014539-RA
OG0001203	FUN_030900-T1	AH015747-RA, AH019376-RA
OG0001203	FUN_032427-T2, FUN_032427-T1	AH004681-RA
OG0001204	FUN_017211-T1, FUN_040029-T1	AH018316-RA
OG0001205	FUN_023867-T1, FUN_033599-T1	AH005407-RA
OG0001205	FUN_010507-T1, FUN_046866-T1	AH017184-RA
OG0001206	FUN_008985-T1	AH016861-RA
OG0001206	FUN_053112-T1, FUN_053053-T1	AH009846-RA, AH014356-RA
OG0001206	FUN_001618-T1	AH018693-RA, AH020219-RA
OG0001206	FUN_018139-T1, FUN_038211-T1, FUN_028985-T1	AH008244-RA, AH015380-RA, AH016365-RA, AH022537-RA, AH016876-RA, AH015585-RA, AH003672-RA, AH011576-RA, AH012124-RA, AH022059-RA, AH022479-RA, AH023350-RA
OG0001207	FUN_030626-T1, FUN_030631-T1	AH004429-RA
OG0001218	FUN_002697-T1, FUN_002697-T2, FUN_000208-T4, FUN_000208-T3, FUN_000208-T1, FUN_000208-T5, FUN_000208-T2	AH007870-RA
OG0001219	FUN_013103-T1, FUN_049294-T1, FUN_049299-T1	AH008153-RA, AH022509-RA
OG0001219	FUN_051472-T1	AH010493-RA
OG0001220	FUN_048006-T1	AH022699-RA
OG0001220	FUN_003850-T1	AH023011-RA
OG0001220	FUN_047283-T1	AH017884-RA
OG0001221	FUN_047832-T1, FUN_020199-T1	AH007028-RA, AH007029-RA
OG0001222	FUN_015600-T2, FUN_015600-T3, FUN_015600-T1	AH001435-RA
OG0001223	FUN_046383-T2, FUN_046383-T1	AH009790-RA
OG0001223	FUN_041198-T2	AH001215-RA, AH000140-RA
OG0001224	FUN_003125-T1, FUN_035705-T2, FUN_035705-T1	AH010879-RA
OG0001224	FUN_033030-T1	AH006895-RA
OG0001225	FUN_010711-T1	AH002585-RA
OG0001225	FUN_045388-T1	AH017546-RA
OG0001225	FUN_015088-T1	AH007192-RA
OG0001225	FUN_003555-T1	AH020551-RA
OG0001227	FUN_010803-T1, FUN_047388-T1	AH021035-RA
OG0001227	FUN_049048-T1	AH013791-RA
OG0001228	FUN_001800-T1	AH002109-RA
OG0001228	FUN_006336-T1	AH003237-RA
OG0001228	FUN_039346-T1, FUN_039343-T1	AH016801-RA
OG0001229	FUN_042762-T1	AH021934-RA
OG0001230	FUN_008564-T1, FUN_035491-T2, FUN_035491-T1, FUN_035501-T1	AH015137-RA
OG0001231	FUN_050969-T1	AH001845-RA, AH001844-RA
OG0001232	FUN_009494-T1, FUN_030652-T1	AH005742-RA, AH003837-RA
OG0001233	FUN_038395-T1, FUN_038395-T2, FUN_048625-T2, FUN_048625-T1	AH008731-RA
OG0001234	FUN_004189-T1	AH003599-RA
OG0001234	FUN_025624-T1, FUN_025624-T2, FUN_042611-T1	AH016847-RA, AH023758-RA
OG0001235	FUN_046008-T1, FUN_046005-T1, FUN_046007-T1, FUN_046004-T1, FUN_046011-T1, FUN_009917-T1, FUN_046003-T1, FUN_009921-T1, FUN_033352-T1	AH001888-RA
OG0001236	FUN_052095-T1, FUN_005617-T1	AH002449-RA
OG0001237	FUN_025489-T1, FUN_031176-T1	AH005662-RA
OG0001238	FUN_048610-T1, FUN_038129-T1	AH023636-RA
OG0001238	FUN_048610-T2, FUN_038129-T2	AH008717-RA
OG0001239	FUN_046632-T1	AH008055-RA, AH013003-RA
OG0001239	FUN_046633-T1, FUN_011927-T1	AH010071-RA
OG0001241	FUN_035602-T1, FUN_035602-T3, FUN_035602-T2, FUN_008688-T1	AH015103-RA, AH021614-RA
OG0001242	FUN_052759-T2, FUN_036436-T2	AH011007-RA
OG0001243	FUN_019399-T1	AH015902-RA
OG0001244	FUN_048248-T1	AH009503-RA
OG0001244	FUN_049707-T1	AH009104-RA
OG0001245	FUN_026370-T1	AH020829-RA, AH015569-RA
OG0001246	FUN_020085-T2, FUN_020085-T1	AH003386-RA
OG0001246	FUN_013715-T1, FUN_011433-T2, FUN_011433-T1	AH022222-RA
OG0001247	FUN_053063-T2	AH007341-RA, AH011261-RA, AH003414-RA
OG0001248	FUN_020060-T2, FUN_020060-T1, FUN_048828-T2, FUN_048828-T1, FUN_048828-T3	AH022691-RA
OG0001249	FUN_021934-T1	AH007798-RA
OG0001249	FUN_008121-T1, FUN_008121-T2	AH018935-RA
OG0001250	FUN_004563-T1	AH020410-RA, AH006748-RA
OG0001250	FUN_027546-T1	AH001178-RA
OG0001252	FUN_025073-T1	AH013588-RA, AH022210-RA
OG0001253	FUN_036395-T2, FUN_036395-T1, FUN_036396-T1, FUN_036396-T3, FUN_036396-T2, FUN_052709-T1	AH010969-RA
OG0001254	FUN_024206-T1	AH008334-RA
OG0001255	FUN_001118-T1	AH005586-RA
OG0001256	FUN_045629-T1	AH002195-RA
OG0001256	FUN_020681-T2, FUN_020681-T1, FUN_020682-T1	AH006265-RA, AH003401-RA
OG0001256	FUN_002057-T1	AH018477-RA, AH021227-RA
OG0001257	FUN_024435-T1	AH008377-RA
OG0001258	FUN_023430-T1, FUN_023429-T1	AH005027-RA, AH005026-RA
OG0001259	FUN_041592-T1, FUN_017582-T1	AH011511-RA, AH018403-RA
OG0001260	FUN_023606-T1, FUN_023606-T2	AH005380-RA, AH004118-RA
OG0001261	FUN_045514-T1	AH017491-RA
OG0001261	FUN_011216-T1	AH002897-RA
OG0001262	FUN_029726-T1, FUN_016842-T1	AH022777-RA
OG0001262	FUN_033813-T1	AH005524-RA
OG0001263	FUN_025691-T1	AH016821-RA
OG0001264	FUN_024816-T1, FUN_012103-T1, FUN_025608-T1, FUN_020347-T1, FUN_002511-T1, FUN_016810-T1, FUN_025176-T1, FUN_025609-T1, FUN_018197-T1, FUN_020299-T1, FUN_024395-T1, FUN_018195-T1, FUN_025607-T1, FUN_018194-T1, FUN_020933-T1, FUN_020934-T1, FUN_020943-T1, FUN_020941-T1, FUN_020939-T1, FUN_020935-T1, FUN_020938-T1, FUN_020728-T1, FUN_020751-T1, FUN_020729-T1, FUN_010873-T1, FUN_010874-T1, FUN_010870-T1, FUN_010871-T1	AH019438-RA, AH012173-RA, AH012172-RA, AH012188-RA, AH012174-RA, AH012181-RA, AH012189-RA, AH012182-RA, AH012190-RA, AH012185-RA, AH012187-RA, AH012175-RA, AH012191-RA, AH012171-RA, AH012183-RA, AH012193-RA, AH003187-RA, AH007195-RA
OG0001271	FUN_050410-T2, FUN_050410-T1	AH013611-RA
OG0001271	FUN_034066-T2, FUN_034066-T1, FUN_003550-T1	AH006519-RA, AH020553-RA
OG0001272	FUN_023923-T1, FUN_023924-T1, FUN_003946-T1, FUN_023929-T1, FUN_023963-T1	AH013380-RA, AH013379-RA
OG0001273	FUN_016084-T1, FUN_011552-T1	AH002602-RA
OG0001274	FUN_006857-T1	AH023783-RA
OG0001275	FUN_005753-T2, FUN_005753-T1, FUN_033099-T2, FUN_033099-T1	AH006951-RA, AH020239-RA
OG0001275	FUN_020083-T1, FUN_020083-T2	AH013311-RA
OG0001276	FUN_014998-T1	AH007151-RA, AH019878-RA
OG0001276	FUN_034430-T2, FUN_034430-T1, FUN_051537-T1	AH010428-RA
OG0001277	FUN_033928-T3, FUN_033928-T1, FUN_033928-T2	AH021608-RA
OG0001278	FUN_008196-T1	AH000211-RA
OG0001279	FUN_005854-T1	AH012651-RA
OG0001280	FUN_032022-T1, FUN_025383-T1	AH004486-RA
OG0001280	FUN_025381-T1, FUN_004298-T1, FUN_025382-T2, FUN_025382-T1, FUN_032021-T1	AH004893-RA
OG0001281	FUN_043072-T1, FUN_024799-T1	AH022074-RA, AH012983-RA
OG0001281	FUN_034413-T1	AH007613-RA
OG0001282	FUN_032690-T1, FUN_004461-T1	AH006683-RA
OG0001282	FUN_030772-T1, FUN_018866-T1	AH019158-RA, AH015663-RA
OG0001283	FUN_007530-T1, FUN_007529-T1, FUN_007529-T2	AH019863-RA, AH007129-RA
OG0001284	FUN_035117-T1, FUN_035123-T1	AH014961-RA
OG0001285	FUN_038385-T1	AH008738-RA
OG0001285	FUN_051829-T1	AH002185-RA, AH000898-RA
OG0001286	FUN_037999-T1, FUN_037999-T2, FUN_048531-T2, FUN_048531-T1	AH008835-RA
OG0001286	FUN_025476-T1	AH003927-RA
OG0001287	FUN_045552-T1, FUN_045552-T2, FUN_051782-T2, FUN_051782-T3, FUN_051782-T1	AH001607-RA, AH000948-RA
OG0001288	FUN_002347-T1, FUN_002344-T1	AH001876-RA
OG0001288	FUN_034200-T1	AH010488-RA, AH010489-RA
OG0001289	FUN_038442-T1	AH015607-RA
OG0001290	FUN_025644-T1, FUN_025644-T3, FUN_025644-T2, FUN_025644-T4	AH023736-RA
OG0001290	FUN_041645-T2, FUN_041645-T3, FUN_041645-T1	AH002377-RA
OG0001291	FUN_049899-T1, FUN_045983-T1	AH008183-RA, AH010160-RA
OG0001291	FUN_045620-T1, FUN_051828-T1, FUN_051828-T2	AH002186-RA
OG0001292	FUN_002844-T1	AH000248-RA, AH009372-RA
OG0001293	FUN_046690-T1	AH010124-RA
OG0001294	FUN_010744-T2, FUN_010744-T3, FUN_010744-T1	AH002512-RA
OG0001294	FUN_049979-T2, FUN_049979-T1	AH022234-RA
OG0001295	FUN_012611-T1, FUN_027372-T1	AH007897-RA
OG0001295	FUN_036647-T1, FUN_043188-T1	AH021651-RA, AH015225-RA
OG0001297	FUN_023912-T2, FUN_023912-T1	AH013365-RA
OG0001298	FUN_015325-T2, FUN_015325-T1	AH012231-RA
OG0001298	FUN_040283-T1, FUN_018468-T2, FUN_018468-T1	AH018561-RA, AH003212-RA
OG0001299	FUN_020158-T1, FUN_050025-T1	AH013339-RA, AH022213-RA
OG0001299	FUN_001865-T1, FUN_001865-T2, FUN_001865-T3	AH014212-RA, AH021131-RA
OG0001300	FUN_020160-T2, FUN_020160-T3, FUN_050024-T1	AH013338-RA
OG0001301	FUN_049995-T2, FUN_049995-T1, FUN_049995-T3, FUN_049995-T4	AH022228-RA
OG0001302	FUN_033340-T1	AH003682-RA, AH005673-RA
OG0001303	FUN_038843-T1	AH008663-RA
OG0001304	FUN_006044-T1	AH017072-RA
OG0001304	FUN_025180-T1, FUN_050255-T1	AH022242-RA
OG0001304	FUN_019373-T1, FUN_005975-T1	AH015897-RA
OG0001305	FUN_041200-T1	AH018101-RA
OG0001305	FUN_008881-T1	AH019678-RA, AH011990-RA
OG0001306	FUN_026727-T2, FUN_026727-T1	AH020932-RA
OG0001307	FUN_030367-T1	AH002122-RA, AH000485-RA
OG0001308	FUN_010986-T1	AH002776-RA, AH017643-RA
OG0001308	FUN_011601-T1, FUN_002380-T1, FUN_027141-T1, FUN_027141-T2	AH017766-RA, AH002622-RA
OG0001309	FUN_040418-T5, FUN_040418-T4, FUN_040418-T3, FUN_040418-T1, FUN_040418-T2	AH014344-RA
OG0001310	FUN_046277-T1	AH008261-RA, AH009796-RA
OG0001311	FUN_051623-T1	AH010330-RA, AH003311-RA
OG0001311	FUN_033113-T1	AH006969-RA
OG0001311	FUN_026784-T1, FUN_026784-T2, FUN_024932-T1	AH021901-RA
OG0001312	FUN_011867-T1, FUN_011868-T2, FUN_011868-T1	AH010129-RA
OG0001312	FUN_012645-T1	AH001369-RA, AH001368-RA
OG0001313	FUN_042057-T1	AH018861-RA
OG0001313	FUN_048878-T1, FUN_048884-T1	AH013841-RA
OG0001313	FUN_048870-T1, FUN_048869-T1, FUN_020069-T1	AH013838-RA
OG0001314	FUN_017802-T1	AH018480-RA
OG0001314	FUN_005931-T1, FUN_000823-T2, FUN_000823-T1	AH016986-RA, AH015909-RA
OG0001315	FUN_002853-T2, FUN_002853-T1	AH008762-RA
OG0001315	FUN_022604-T1	AH012344-RA
OG0001316	FUN_042540-T1, FUN_049325-T1	AH012772-RA
OG0001316	FUN_000961-T1	AH023506-RA, AH023776-RA
OG0001317	FUN_027551-T2, FUN_027551-T5, FUN_027551-T4, FUN_027551-T3, FUN_027551-T1	AH020963-RA
OG0001318	FUN_048834-T1, FUN_020061-T1	AH013833-RA, AH020607-RA
OG0001318	FUN_003953-T1	AH012543-RA, AH021764-RA
OG0001319	FUN_012835-T1, FUN_015877-T2, FUN_015877-T1, FUN_015877-T3	AH001546-RA
OG0001320	FUN_011757-T2, FUN_011757-T1, FUN_020282-T1	AH010153-RA, AH007996-RA, AH007994-RA, AH010156-RA, AH010154-RA
OG0001320	FUN_025178-T2, FUN_025178-T3, FUN_025178-T4, FUN_025178-T1, FUN_050257-T1, FUN_050257-T2	AH022241-RA
OG0001321	FUN_052795-T1, FUN_030468-T1	AH003910-RA, AH006161-RA
OG0001321	FUN_051714-T1	AH001676-RA
OG0001322	FUN_028880-T1, FUN_014297-T1, FUN_028881-T1	AH020145-RA, AH011832-RA, AH020146-RA
