Orthogroup	P_amilis.proteins	L_sativa.proteins
OG0001283	FUN_007530-T1	Lsat_1_v5_gn_1_43941.1, Lsat_1_v5_gn_6_114260.3, Lsat_1_v5_gn_6_114260.1
OG0001285	FUN_038385-T1	Lsat_1_v5_gn_6_103120.1, Lsat_1_v5_gn_6_103120.3
OG0001285	FUN_051829-T1	Lsat_1_v5_gn_7_81900.1, Lsat_1_v5_gn_7_81900.2
OG0001286	FUN_037999-T1, FUN_037999-T2, FUN_048531-T2, FUN_048531-T1	Lsat_1_v5_gn_1_1740.2, Lsat_1_v5_gn_1_1740.1, Lsat_1_v5_gn_9_76000.1, Lsat_1_v5_gn_9_76000.2
OG0001287	FUN_025611-T1, FUN_025611-T2	Lsat_1_v5_gn_9_48281.1, Lsat_1_v5_gn_9_48281.3, Lsat_1_v5_gn_9_48281.2, Lsat_1_v5_gn_8_26061.1, Lsat_1_v5_gn_8_26061.2
OG0001287	FUN_045552-T1, FUN_045552-T2, FUN_051782-T2, FUN_051782-T3, FUN_051782-T1	Lsat_1_v5_gn_8_129040.1, Lsat_1_v5_gn_8_129040.2, Lsat_1_v5_gn_8_129360.1, Lsat_1_v5_gn_4_68260.1
OG0001288	FUN_002343-T1	Lsat_1_v5_gn_4_129921.1
OG0001289	FUN_038442-T1	Lsat_1_v5_gn_4_117181.1, Lsat_1_v5_gn_4_117181.3, Lsat_1_v5_gn_5_26820.1, Lsat_1_v5_gn_5_26820.3, Lsat_1_v5_gn_1_17080.1
OG0001290	FUN_025644-T1, FUN_025644-T3, FUN_025644-T2, FUN_025644-T4, FUN_041645-T2, FUN_041645-T3, FUN_041645-T1	Lsat_1_v5_gn_2_4580.1, Lsat_1_v5_gn_2_4580.2
OG0001291	FUN_049899-T1, FUN_045983-T1, FUN_045620-T1, FUN_051828-T1, FUN_051828-T2	Lsat_1_v5_gn_5_107901.1, Lsat_1_v5_gn_9_117100.1
OG0001292	FUN_002844-T1	Lsat_1_v5_gn_7_112421.3, Lsat_1_v5_gn_7_112421.2, Lsat_1_v5_gn_7_112421.1, Lsat_1_v5_gn_7_70501.2, Lsat_1_v5_gn_7_70501.3, Lsat_1_v5_gn_7_70501.1
OG0001293	FUN_046690-T1	Lsat_1_v5_gn_9_99421.1, Lsat_1_v5_gn_9_99421.2, Lsat_1_v5_gn_9_99421.4, Lsat_1_v5_gn_5_127360.1, Lsat_1_v5_gn_7_103320.2, Lsat_1_v5_gn_7_103320.1, Lsat_1_v5_gn_5_127360.2, Lsat_1_v5_gn_5_127360.3
OG0001294	FUN_010744-T2, FUN_010744-T3, FUN_010744-T1	Lsat_1_v5_gn_4_77101.1
OG0001294	FUN_049979-T2, FUN_049979-T1	Lsat_1_v5_gn_1_36021.1, Lsat_1_v5_gn_1_36021.3
OG0001295	FUN_012611-T1, FUN_027372-T1	Lsat_1_v5_gn_3_37501.1, Lsat_1_v5_gn_3_37300.1, Lsat_1_v5_gn_3_37300.3, Lsat_1_v5_gn_8_135100.1
OG0001295	FUN_036647-T1, FUN_043188-T1	Lsat_1_v5_gn_7_21320.1, Lsat_1_v5_gn_7_21320.2
OG0001297	FUN_023912-T2, FUN_023912-T1	Lsat_1_v5_gn_5_135921.1, Lsat_1_v5_gn_5_135921.3
OG0001298	FUN_040283-T1, FUN_018468-T2, FUN_018468-T1	Lsat_1_v5_gn_6_2481.2, Lsat_1_v5_gn_6_2481.1, Lsat_1_v5_gn_6_90381.1
OG0001300	FUN_020160-T2, FUN_020160-T3, FUN_050024-T1	Lsat_1_v5_gn_4_94861.1, Lsat_1_v5_gn_1_35820.1, Lsat_1_v5_gn_1_35820.2
OG0001301	FUN_049995-T2, FUN_049995-T1, FUN_049995-T3, FUN_049995-T4	Lsat_1_v5_gn_4_95100.1, Lsat_1_v5_gn_4_95100.2, Lsat_1_v5_gn_4_95100.3
OG0001302	FUN_033340-T2	Lsat_1_v5_gn_7_75821.3, Lsat_1_v5_gn_7_75821.1
OG0001302	FUN_033340-T1	Lsat_1_v5_gn_9_41900.1, Lsat_1_v5_gn_6_100660.1, Lsat_1_v5_gn_9_41900.2
OG0001303	FUN_020485-T1	Lsat_1_v5_gn_5_104920.1
OG0001303	FUN_038843-T1	Lsat_1_v5_gn_1_9421.1, Lsat_1_v5_gn_1_9421.2
OG0001304	FUN_006044-T1	Lsat_1_v5_gn_5_56441.1, Lsat_1_v5_gn_5_56441.2, Lsat_1_v5_gn_6_15301.2, Lsat_1_v5_gn_6_15301.1
OG0001304	FUN_025180-T1, FUN_050255-T1, FUN_019373-T1, FUN_005975-T1	Lsat_1_v5_gn_7_57480.3, Lsat_1_v5_gn_7_57480.1
OG0001305	FUN_041200-T1	Lsat_1_v5_gn_6_11800.3, Lsat_1_v5_gn_6_11800.1, Lsat_1_v5_gn_3_11060.1, Lsat_1_v5_gn_3_11060.2, Lsat_1_v5_gn_6_12600.1
OG0001305	FUN_013664-T1, FUN_008881-T1	Lsat_1_v5_gn_2_18820.3, Lsat_1_v5_gn_2_18820.1, Lsat_1_v5_gn_2_18760.1, Lsat_1_v5_gn_2_18760.3, Lsat_1_v5_gn_2_18740.1
OG0001306	FUN_026727-T2, FUN_026727-T1	Lsat_1_v5_gn_8_88321.1
OG0001307	FUN_030367-T1	Lsat_1_v5_gn_8_11701.1
OG0001308	FUN_010986-T1	Lsat_1_v5_gn_5_72780.1, Lsat_1_v5_gn_5_72760.1
OG0001308	FUN_011601-T1, FUN_002380-T1, FUN_027141-T1, FUN_027141-T2	Lsat_1_v5_gn_5_27201.1, Lsat_1_v5_gn_9_9661.2, Lsat_1_v5_gn_9_9661.1
OG0001309	FUN_040418-T5, FUN_040418-T4, FUN_040418-T3, FUN_040418-T1, FUN_040418-T2	Lsat_1_v5_gn_9_33761.2, Lsat_1_v5_gn_9_33761.3, Lsat_1_v5_gn_9_33761.1
OG0001310	FUN_043405-T2, FUN_035769-T1	Lsat_1_v5_gn_9_41241.1
OG0001310	FUN_046277-T1	Lsat_1_v5_gn_9_91001.1
OG0001311	FUN_051623-T1	Lsat_1_v5_gn_2_15441.1, Lsat_1_v5_gn_2_15461.1
OG0001311	FUN_026784-T1, FUN_026784-T2	Lsat_1_v5_gn_9_19241.1
OG0001312	FUN_011867-T1, FUN_011868-T2, FUN_011868-T1	Lsat_1_v5_gn_9_99621.1, Lsat_1_v5_gn_9_99621.2, Lsat_1_v5_gn_9_99621.3, Lsat_1_v5_gn_7_103240.1
OG0001312	FUN_012645-T1	Lsat_1_v5_gn_4_27481.1
OG0001313	FUN_042057-T1	Lsat_1_v5_gn_6_35560.1, Lsat_1_v5_gn_2_53500.3, Lsat_1_v5_gn_2_53500.1
OG0001314	FUN_005931-T1, FUN_000823-T2, FUN_000823-T1	Lsat_1_v5_gn_8_20041.1, Lsat_1_v5_gn_9_68160.1, Lsat_1_v5_gn_9_68160.3
OG0001315	FUN_002853-T2, FUN_002853-T1	Lsat_1_v5_gn_1_102020.1, Lsat_1_v5_gn_4_79960.2, Lsat_1_v5_gn_4_79960.1, Lsat_1_v5_gn_4_79960.3, Lsat_1_v5_gn_3_8781.3, Lsat_1_v5_gn_3_8781.2
OG0001315	FUN_022604-T1	Lsat_1_v5_gn_9_53900.1
OG0001316	FUN_042540-T1, FUN_049325-T1	Lsat_1_v5_gn_5_167261.1, Lsat_1_v5_gn_9_21641.1
OG0001316	FUN_000961-T1	Lsat_1_v5_gn_2_40580.1, Lsat_1_v5_gn_2_40580.2, Lsat_1_v5_gn_2_116461.1, Lsat_1_v5_gn_2_116340.3, Lsat_1_v5_gn_2_116340.1
OG0001317	FUN_027551-T2, FUN_027551-T5, FUN_027551-T4, FUN_027551-T3, FUN_027551-T1	Lsat_1_v5_gn_5_123420.1
OG0001318	FUN_048834-T1, FUN_020061-T1	Lsat_1_v5_gn_3_114281.1
OG0001318	FUN_003953-T1	Lsat_1_v5_gn_6_35421.1, Lsat_1_v5_gn_6_35421.3, Lsat_1_v5_gn_2_56001.1
OG0001319	FUN_012835-T1, FUN_015877-T2, FUN_015877-T1, FUN_015877-T3	Lsat_1_v5_gn_4_68280.1, Lsat_1_v5_gn_4_68280.3, Lsat_1_v5_gn_4_68280.2
OG0001320	FUN_011757-T2, FUN_011757-T1, FUN_020282-T1	Lsat_1_v5_gn_7_57100.1, Lsat_1_v5_gn_5_79940.3, Lsat_1_v5_gn_5_79940.1
OG0001320	FUN_025178-T2, FUN_025178-T3, FUN_025178-T4, FUN_025178-T1, FUN_050257-T1, FUN_050257-T2	Lsat_1_v5_gn_8_69720.2
OG0001321	FUN_051714-T1	Lsat_1_v5_gn_9_111260.1, Lsat_1_v5_gn_9_111260.2, Lsat_1_v5_gn_7_86500.4, Lsat_1_v5_gn_8_50261.4
OG0001322	FUN_028880-T1, FUN_014297-T1, FUN_028881-T1	Lsat_1_v5_gn_5_71120.1, Lsat_1_v5_gn_5_71120.2
OG0001322	FUN_014296-T1	Lsat_1_v5_gn_9_4501.3, Lsat_1_v5_gn_9_4501.1, Lsat_1_v5_gn_8_109901.1
OG0001323	FUN_022071-T1	Lsat_1_v5_gn_8_7660.1
OG0001324	FUN_002205-T2, FUN_002205-T3, FUN_002205-T1, FUN_002205-T4, FUN_051871-T1	Lsat_1_v5_gn_5_120421.3, Lsat_1_v5_gn_5_120421.2, Lsat_1_v5_gn_5_120421.1, Lsat_1_v5_gn_9_107821.3, Lsat_1_v5_gn_9_107821.1
OG0001325	FUN_024969-T1	Lsat_1_v5_gn_5_179300.1, Lsat_1_v5_gn_5_179300.3
OG0001326	FUN_029783-T1, FUN_029785-T1	Lsat_1_v5_gn_5_24781.1, Lsat_1_v5_gn_5_24841.1, Lsat_1_v5_gn_5_24920.1, Lsat_1_v5_gn_5_24900.1
OG0001326	FUN_047131-T1	Lsat_1_v5_gn_1_14761.1, Lsat_1_v5_gn_1_15440.1
OG0001326	FUN_023598-T1, FUN_023596-T1	Lsat_1_v5_gn_7_111621.3, Lsat_1_v5_gn_7_111621.1
OG0001328	FUN_045832-T1	Lsat_1_v5_gn_3_66921.1, Lsat_1_v5_gn_3_66921.3, Lsat_1_v5_gn_3_112500.1, Lsat_1_v5_gn_3_82380.1, Lsat_1_v5_gn_8_35801.1
OG0001329	FUN_044035-T1	Lsat_1_v5_gn_9_47681.3, Lsat_1_v5_gn_5_106901.1, Lsat_1_v5_gn_5_106901.3, Lsat_1_v5_gn_3_68461.2, Lsat_1_v5_gn_3_68461.1, Lsat_1_v5_gn_4_36960.1, Lsat_1_v5_gn_7_39100.1, Lsat_1_v5_gn_3_68461.3, Lsat_1_v5_gn_5_106901.2, Lsat_1_v5_gn_9_47681.1
OG0001329	FUN_041644-T1, FUN_017653-T1	Lsat_1_v5_gn_3_19600.1, Lsat_1_v5_gn_3_19600.3
OG0001336	FUN_051152-T1	Lsat_1_v5_gn_3_122421.1, Lsat_1_v5_gn_9_9241.1, Lsat_1_v5_gn_9_9241.5, Lsat_1_v5_gn_9_9241.3, Lsat_1_v5_gn_8_91341.1
OG0001336	FUN_040486-T1, FUN_015212-T1	Lsat_1_v5_gn_8_72740.1, Lsat_1_v5_gn_8_72740.2, Lsat_1_v5_gn_9_24921.1
OG0001337	FUN_005891-T1, FUN_005891-T2, FUN_005892-T2, FUN_005892-T3, FUN_005892-T1, FUN_005875-T1, FUN_044010-T1, FUN_025663-T1	Lsat_1_v5_gn_1_48000.1, Lsat_1_v5_gn_1_48000.2, Lsat_1_v5_gn_1_48000.5
OG0001339	FUN_014962-T1, FUN_051571-T1, FUN_014961-T1, FUN_007528-T1, FUN_044708-T1	Lsat_1_v5_gn_8_166460.1, Lsat_1_v5_gn_7_74660.1, Lsat_1_v5_gn_9_122660.1
OG0001341	FUN_050814-T1, FUN_011599-T1	Lsat_1_v5_gn_9_9681.1, Lsat_1_v5_gn_8_91621.1
OG0001343	FUN_014460-T1	Lsat_1_v5_gn_9_78621.1
OG0001344	FUN_014578-T1	Lsat_1_v5_gn_1_54860.2, Lsat_1_v5_gn_1_54860.1
OG0001344	FUN_000945-T1, FUN_000945-T3, FUN_000945-T2	Lsat_1_v5_gn_2_68321.1
OG0001345	FUN_041937-T2, FUN_041937-T5, FUN_041937-T1, FUN_041937-T3, FUN_041937-T4	Lsat_1_v5_gn_9_35340.2, Lsat_1_v5_gn_9_35340.3, Lsat_1_v5_gn_9_35340.1
OG0001346	FUN_034361-T1	Lsat_1_v5_gn_7_74120.2, Lsat_1_v5_gn_7_74120.1
OG0001346	FUN_028650-T1	Lsat_1_v5_gn_5_138261.3, Lsat_1_v5_gn_5_138261.1
OG0001347	FUN_045849-T1	Lsat_1_v5_gn_7_106841.3, Lsat_1_v5_gn_7_107560.2, Lsat_1_v5_gn_8_19501.2
OG0001348	FUN_042019-T1, FUN_008059-T1, FUN_008059-T2	Lsat_1_v5_gn_8_102821.1, Lsat_1_v5_gn_8_102821.3
OG0001348	FUN_030435-T1, FUN_019057-T1	Lsat_1_v5_gn_2_124481.1, Lsat_1_v5_gn_8_12941.1
OG0001349	FUN_002694-T1, FUN_000221-T2, FUN_000221-T1	Lsat_1_v5_gn_2_108341.1, Lsat_1_v5_gn_8_24801.1, Lsat_1_v5_gn_8_24801.2, Lsat_1_v5_gn_0_621.1
OG0001350	FUN_012964-T1, FUN_012964-T2, FUN_043551-T1, FUN_024953-T4, FUN_024953-T2, FUN_024953-T3, FUN_024953-T1	Lsat_1_v5_gn_2_43281.2, Lsat_1_v5_gn_1_72440.1, Lsat_1_v5_gn_1_72440.2, Lsat_1_v5_gn_8_90200.1, Lsat_1_v5_gn_8_90200.2, Lsat_1_v5_gn_9_12641.2, Lsat_1_v5_gn_9_12641.1
OG0001351	FUN_039962-T1	Lsat_1_v5_gn_6_44081.2, Lsat_1_v5_gn_6_44081.1, Lsat_1_v5_gn_6_44081.3
OG0001352	FUN_042764-T1	Lsat_1_v5_gn_5_188180.2, Lsat_1_v5_gn_5_188180.1, Lsat_1_v5_gn_9_3640.3, Lsat_1_v5_gn_9_3640.1
OG0001354	FUN_004647-T1, FUN_004647-T3, FUN_004647-T2, FUN_032855-T1, FUN_032855-T2	Lsat_1_v5_gn_9_27260.3, Lsat_1_v5_gn_9_27260.1, Lsat_1_v5_gn_9_27260.2, Lsat_1_v5_gn_8_79880.3, Lsat_1_v5_gn_8_79880.1, Lsat_1_v5_gn_8_79880.2
OG0001355	FUN_031235-T1, FUN_025437-T1	Lsat_1_v5_gn_2_87080.1, Lsat_1_v5_gn_3_94201.1, Lsat_1_v5_gn_4_177720.1
OG0001355	FUN_001557-T1, FUN_027097-T1	Lsat_1_v5_gn_6_113200.1, Lsat_1_v5_gn_1_19640.1, Lsat_1_v5_gn_4_120481.1
OG0001355	FUN_009884-T1	Lsat_1_v5_gn_5_117400.1, Lsat_1_v5_gn_7_88161.1, Lsat_1_v5_gn_7_88201.1, Lsat_1_v5_gn_7_88221.1, Lsat_1_v5_gn_7_88221.2, Lsat_1_v5_gn_7_88281.1, Lsat_1_v5_gn_7_88361.1, Lsat_1_v5_gn_7_88121.1
OG0001356	FUN_034581-T1	Lsat_1_v5_gn_7_14040.2, Lsat_1_v5_gn_7_14040.1
OG0001356	FUN_011387-T1	Lsat_1_v5_gn_4_82020.1, Lsat_1_v5_gn_4_82020.2
OG0001357	FUN_002366-T1	Lsat_1_v5_gn_3_92820.1, Lsat_1_v5_gn_3_92820.4
OG0001357	FUN_029498-T1	Lsat_1_v5_gn_3_92820.3, Lsat_1_v5_gn_5_113480.1
OG0001358	FUN_025712-T1	Lsat_1_v5_gn_9_46740.1, Lsat_1_v5_gn_9_46740.2
OG0001359	FUN_026924-T1	Lsat_1_v5_gn_6_96520.3, Lsat_1_v5_gn_6_96520.2, Lsat_1_v5_gn_6_96520.1
OG0001359	FUN_020893-T1	Lsat_1_v5_gn_3_106960.2, Lsat_1_v5_gn_3_106960.1, Lsat_1_v5_gn_3_106960.3
OG0001360	FUN_031206-T1	Lsat_1_v5_gn_2_65961.1
OG0001360	FUN_038083-T1, FUN_048594-T1, FUN_003811-T1	Lsat_1_v5_gn_8_41361.1
OG0001361	FUN_003871-T1, FUN_028953-T1	Lsat_1_v5_gn_2_75361.1, Lsat_1_v5_gn_4_143760.2, Lsat_1_v5_gn_4_143760.1
OG0001361	FUN_042745-T1, FUN_025717-T2, FUN_025717-T1	Lsat_1_v5_gn_8_28580.2, Lsat_1_v5_gn_8_28580.1
OG0001362	FUN_031271-T1, FUN_025420-T1	Lsat_1_v5_gn_4_176301.1, Lsat_1_v5_gn_4_176301.3, Lsat_1_v5_gn_3_93460.1, Lsat_1_v5_gn_3_93460.2
OG0001363	FUN_048651-T1	Lsat_1_v5_gn_6_102981.3, Lsat_1_v5_gn_6_102981.1, Lsat_1_v5_gn_6_102981.2, Lsat_1_v5_gn_9_41561.2, Lsat_1_v5_gn_9_41561.1, Lsat_1_v5_gn_5_114801.1
OG0001363	FUN_045627-T1	Lsat_1_v5_gn_5_107321.1, Lsat_1_v5_gn_5_107321.3
OG0001364	FUN_018236-T1	Lsat_1_v5_gn_7_2000.1
OG0001364	FUN_046347-T1	Lsat_1_v5_gn_7_14021.1
OG0001365	FUN_012691-T1	Lsat_1_v5_gn_8_133600.1, Lsat_1_v5_gn_7_22781.1, Lsat_1_v5_gn_7_22781.2
OG0001366	FUN_012017-T1, FUN_012017-T2, FUN_012016-T2, FUN_012016-T1	Lsat_1_v5_gn_1_124521.1, Lsat_1_v5_gn_1_124461.1, Lsat_1_v5_gn_1_124461.3, Lsat_1_v5_gn_7_19141.1, Lsat_1_v5_gn_4_52380.3, Lsat_1_v5_gn_4_52380.1, Lsat_1_v5_gn_7_19101.1, Lsat_1_v5_gn_7_19121.1
OG0001367	FUN_040284-T1	Lsat_1_v5_gn_3_3081.2, Lsat_1_v5_gn_3_3081.1, Lsat_1_v5_gn_3_3061.1, Lsat_1_v5_gn_3_2180.1, Lsat_1_v5_gn_3_2180.2, Lsat_1_v5_gn_3_2180.3, Lsat_1_v5_gn_3_3081.3
OG0001367	FUN_015326-T1, FUN_015326-T2	Lsat_1_v5_gn_9_59600.3, Lsat_1_v5_gn_9_59600.1, Lsat_1_v5_gn_2_128981.1
OG0001368	FUN_023821-T3, FUN_023821-T2, FUN_023821-T1	Lsat_1_v5_gn_4_19300.1, Lsat_1_v5_gn_4_19300.2
OG0001368	FUN_029950-T3, FUN_029950-T4, FUN_029950-T2, FUN_029950-T1	Lsat_1_v5_gn_2_86661.1
OG0001369	FUN_004753-T1, FUN_047651-T1	Lsat_1_v5_gn_5_126421.2, Lsat_1_v5_gn_5_126421.1, Lsat_1_v5_gn_9_100481.3, Lsat_1_v5_gn_9_100481.1
OG0001370	FUN_046699-T1	Lsat_1_v5_gn_7_102740.1, Lsat_1_v5_gn_7_102680.5, Lsat_1_v5_gn_7_102680.1, Lsat_1_v5_gn_7_102680.7, Lsat_1_v5_gn_7_102680.3, Lsat_1_v5_gn_7_103561.1, Lsat_1_v5_gn_7_102760.1, Lsat_1_v5_gn_1_16741.1, Lsat_1_v5_gn_7_102800.1
OG0001371	FUN_024063-T1, FUN_050169-T1, FUN_050169-T2	Lsat_1_v5_gn_1_39180.2, Lsat_1_v5_gn_1_39180.1, Lsat_1_v5_gn_4_75221.1
OG0001372	FUN_026719-T1	Lsat_1_v5_gn_7_39441.1, Lsat_1_v5_gn_7_39441.3, Lsat_1_v5_gn_8_88200.1
OG0001372	FUN_017210-T1	Lsat_1_v5_gn_3_381.1
OG0001373	FUN_021164-T1	Lsat_1_v5_gn_3_27720.2, Lsat_1_v5_gn_3_27720.1
OG0001374	FUN_036058-T1, FUN_036058-T3, FUN_036058-T2	Lsat_1_v5_gn_5_81601.2, Lsat_1_v5_gn_5_81601.1, Lsat_1_v5_gn_7_57521.1
OG0001375	FUN_040520-T1, FUN_018478-T1	Lsat_1_v5_gn_6_2320.1, Lsat_1_v5_gn_6_2320.3, Lsat_1_v5_gn_6_90240.1
OG0001375	FUN_015330-T1	Lsat_1_v5_gn_2_128940.2, Lsat_1_v5_gn_2_128940.4, Lsat_1_v5_gn_2_128940.1, Lsat_1_v5_gn_9_52241.1
OG0001376	FUN_031666-T1	Lsat_1_v5_gn_1_40741.1, Lsat_1_v5_gn_1_40741.2, Lsat_1_v5_gn_6_116101.3, Lsat_1_v5_gn_6_116101.1, Lsat_1_v5_gn_1_40781.1, Lsat_1_v5_gn_1_40781.3
OG0001377	FUN_005463-T1	Lsat_1_v5_gn_1_31341.2, Lsat_1_v5_gn_1_31341.1, Lsat_1_v5_gn_4_87321.3, Lsat_1_v5_gn_4_87321.1
OG0001377	FUN_026063-T2, FUN_013141-T1, FUN_026063-T1, FUN_013141-T2	Lsat_1_v5_gn_8_62740.2, Lsat_1_v5_gn_8_62740.1, Lsat_1_v5_gn_5_93000.1, Lsat_1_v5_gn_7_44581.1
OG0001378	FUN_039124-T1	Lsat_1_v5_gn_6_24321.5, Lsat_1_v5_gn_2_22821.1
OG0001378	FUN_022590-T1, FUN_022068-T1	Lsat_1_v5_gn_2_130401.2, Lsat_1_v5_gn_2_130401.1, Lsat_1_v5_gn_5_145381.1, Lsat_1_v5_gn_5_145381.3
OG0001379	FUN_050101-T1, FUN_023998-T1	Lsat_1_v5_gn_1_37821.1, Lsat_1_v5_gn_1_37821.3, Lsat_1_v5_gn_5_137001.1
OG0001379	FUN_028386-T2, FUN_028386-T1	Lsat_1_v5_gn_8_85840.1, Lsat_1_v5_gn_8_85840.3, Lsat_1_v5_gn_5_139501.1
OG0001380	FUN_013061-T1	Lsat_1_v5_gn_8_67780.1
OG0001380	FUN_039396-T1	Lsat_1_v5_gn_1_95140.2, Lsat_1_v5_gn_1_95140.1
OG0001381	FUN_015507-T1	Lsat_1_v5_gn_5_146280.3, Lsat_1_v5_gn_5_146280.1
OG0001381	FUN_005137-T1	Lsat_1_v5_gn_6_7660.1, Lsat_1_v5_gn_5_48861.3, Lsat_1_v5_gn_5_48861.1
OG0001382	FUN_004923-T2, FUN_045382-T2, FUN_045382-T1, FUN_023459-T1, FUN_004923-T1	Lsat_1_v5_gn_7_49720.1
OG0001383	FUN_019261-T1, FUN_005819-T1, FUN_042397-T1, FUN_007584-T1	Lsat_1_v5_gn_2_127801.1, Lsat_1_v5_gn_3_40560.1, Lsat_1_v5_gn_9_51401.1, Lsat_1_v5_gn_9_51481.6, Lsat_1_v5_gn_9_51401.2, Lsat_1_v5_gn_9_51481.1, Lsat_1_v5_gn_9_51261.1, Lsat_1_v5_gn_9_51421.1, Lsat_1_v5_gn_9_51461.2, Lsat_1_v5_gn_9_51461.1, Lsat_1_v5_gn_9_51201.1, Lsat_1_v5_gn_9_51341.1, Lsat_1_v5_gn_9_51301.1, Lsat_1_v5_gn_9_51281.1, Lsat_1_v5_gn_9_51481.3, Lsat_1_v5_gn_9_51581.1, Lsat_1_v5_gn_9_51481.4, Lsat_1_v5_gn_9_51601.3, Lsat_1_v5_gn_9_51481.5, Lsat_1_v5_gn_9_51481.2, Lsat_1_v5_gn_9_51601.1, Lsat_1_v5_gn_9_51501.1
OG0001384	FUN_018739-T2, FUN_018739-T1, FUN_040713-T1	Lsat_1_v5_gn_3_4120.1, Lsat_1_v5_gn_6_12881.3, Lsat_1_v5_gn_6_12881.1
OG0001384	FUN_004201-T1, FUN_022032-T1, FUN_022032-T2, FUN_024269-T1	Lsat_1_v5_gn_2_130341.1
OG0001385	FUN_047863-T1, FUN_020786-T1, FUN_047877-T1, FUN_026439-T1, FUN_026439-T2, FUN_047875-T1, FUN_047864-T1, FUN_005466-T3, FUN_005466-T2, FUN_005466-T1	Lsat_1_v5_gn_7_11780.3, Lsat_1_v5_gn_7_11780.1, Lsat_1_v5_gn_4_39200.1, Lsat_1_v5_gn_4_39200.3, Lsat_1_v5_gn_4_39200.2
OG0001386	FUN_027335-T1, FUN_027335-T2	Lsat_1_v5_gn_2_38080.1, Lsat_1_v5_gn_2_38080.2
OG0001387	FUN_034646-T3, FUN_034646-T4, FUN_034646-T2, FUN_034646-T1	Lsat_1_v5_gn_1_67421.2, Lsat_1_v5_gn_1_67421.1, Lsat_1_v5_gn_6_52680.1
OG0001387	FUN_003722-T2, FUN_003722-T3, FUN_003722-T1, FUN_033050-T1, FUN_033050-T2, FUN_033050-T3	Lsat_1_v5_gn_2_58401.3, Lsat_1_v5_gn_2_58401.1
OG0001388	FUN_001010-T3, FUN_001010-T1, FUN_035248-T1, FUN_001010-T2	Lsat_1_v5_gn_7_17700.1, Lsat_1_v5_gn_7_17700.2
OG0001388	FUN_045991-T1	Lsat_1_v5_gn_7_108681.3, Lsat_1_v5_gn_7_108681.1
OG0001389	FUN_027320-T1, FUN_005623-T1	Lsat_1_v5_gn_2_98701.3, Lsat_1_v5_gn_2_98701.1, Lsat_1_v5_gn_6_45540.3, Lsat_1_v5_gn_6_45540.1
OG0001390	FUN_049081-T1	Lsat_1_v5_gn_2_10961.1, Lsat_1_v5_gn_2_10961.3
OG0001390	FUN_041883-T1	Lsat_1_v5_gn_9_35821.2, Lsat_1_v5_gn_9_35821.1
OG0001391	FUN_047069-T1	Lsat_1_v5_gn_1_30200.2, Lsat_1_v5_gn_1_30200.1, Lsat_1_v5_gn_1_30220.1, Lsat_1_v5_gn_4_84360.1
OG0001392	FUN_008869-T1, FUN_008872-T1, FUN_008870-T1	Lsat_1_v5_gn_8_5161.1
OG0001393	FUN_039792-T1, FUN_039792-T3, FUN_039792-T2, FUN_015215-T3, FUN_015224-T2, FUN_015224-T1, FUN_015221-T1, FUN_015218-T1, FUN_015220-T1, FUN_007995-T1, FUN_015215-T2, FUN_015215-T1, FUN_015216-T1	Lsat_1_v5_gn_3_122700.3, Lsat_1_v5_gn_3_122700.1, Lsat_1_v5_gn_3_122700.2
OG0001394	FUN_026956-T1, FUN_001268-T1	Lsat_1_v5_gn_1_6061.1, Lsat_1_v5_gn_1_6061.2, Lsat_1_v5_gn_5_107460.1, Lsat_1_v5_gn_9_116041.1, Lsat_1_v5_gn_7_79701.1
OG0001395	FUN_025129-T1	Lsat_1_v5_gn_4_78221.1, Lsat_1_v5_gn_4_78221.2
OG0001396	FUN_025288-T1, FUN_025288-T2, FUN_031845-T5, FUN_031845-T4, FUN_031845-T3, FUN_031845-T2, FUN_031845-T1	Lsat_1_v5_gn_4_660.1, Lsat_1_v5_gn_4_660.3, Lsat_1_v5_gn_3_30720.4, Lsat_1_v5_gn_3_30720.1
OG0001397	FUN_029954-T1, FUN_029954-T2, FUN_029954-T3	Lsat_1_v5_gn_3_94380.3, Lsat_1_v5_gn_3_94380.2, Lsat_1_v5_gn_3_94380.1, Lsat_1_v5_gn_2_86580.1
OG0001398	FUN_022493-T1, FUN_022491-T1, FUN_037625-T1, FUN_018970-T1	Lsat_1_v5_gn_2_43640.1, Lsat_1_v5_gn_2_72320.1, Lsat_1_v5_gn_2_72320.2, Lsat_1_v5_gn_2_72300.1
OG0001399	FUN_023736-T1, FUN_023737-T1, FUN_023753-T1, FUN_023762-T1, FUN_023745-T1, FUN_023749-T1, FUN_023742-T1, FUN_023744-T1, FUN_002663-T1, FUN_023743-T1, FUN_033310-T1, FUN_033704-T1	Lsat_1_v5_gn_3_62720.1, Lsat_1_v5_gn_3_58781.1, Lsat_1_v5_gn_3_58801.1
OG0001400	FUN_032261-T2, FUN_032261-T1, FUN_009217-T1	Lsat_1_v5_gn_8_159581.1, Lsat_1_v5_gn_8_159581.3
OG0001400	FUN_039260-T1, FUN_002904-T1, FUN_002904-T2	Lsat_1_v5_gn_0_12340.1, Lsat_1_v5_gn_0_12340.3
OG0001401	FUN_049483-T3, FUN_049483-T2, FUN_049483-T1	Lsat_1_v5_gn_1_84160.1, Lsat_1_v5_gn_1_84160.2
