Orthogroup	P_amilis.proteins	S_lycopersicum.proteins
OG0001403	FUN_016703-T1	Solyc02g091230.3.1
OG0001403	FUN_020116-T1	Solyc05g008390.3.1, Solyc04g007600.3.1
OG0001404	FUN_046793-T1	Solyc02g086840.3.1
OG0001405	FUN_047528-T1, FUN_016995-T2, FUN_016995-T1	Solyc08g065820.2.1, Solyc04g049140.3.1, Solyc09g091490.2.1
OG0001406	FUN_022991-T1, FUN_032395-T1	Solyc04g005130.3.1, Solyc05g006650.3.1
OG0001407	FUN_039368-T1, FUN_039368-T2	Solyc09g010360.3.1, Solyc12g098280.2.1
OG0001407	FUN_039192-T1	Solyc04g011340.3.1, Solyc06g031710.3.1, Solyc06g031697.1.1
OG0001419	FUN_047160-T1, FUN_047160-T2, FUN_047169-T1, FUN_045643-T1, FUN_006179-T1	Solyc06g084240.2.1
OG0001422	FUN_010068-T1, FUN_030093-T1, FUN_047963-T1, FUN_047962-T1	Solyc06g005680.3.1, Solyc06g076350.3.1
OG0001423	FUN_010672-T1	Solyc06g083030.3.1, Solyc06g083040.3.1, Solyc06g083050.3.1, Solyc06g083020.2.1
OG0001424	FUN_014263-T1, FUN_000611-T1	Solyc11g008610.2.1, Solyc09g098520.3.1
OG0001425	FUN_003120-T1, FUN_000263-T1	Solyc10g044880.1.1
OG0001427	FUN_001061-T1, FUN_043305-T1	Solyc02g086240.3.1, Solyc10g007980.3.1, Solyc12g010930.2.1
OG0001428	FUN_024602-T1	Solyc09g064910.1.1
OG0001428	FUN_014327-T1	Solyc01g080150.3.1
OG0001430	FUN_036313-T1	Solyc12g040870.2.1, Solyc03g118470.3.1, Solyc06g068900.3.1
OG0001431	FUN_011232-T1	Solyc09g014160.2.1, Solyc10g085070.2.1
OG0001431	FUN_049080-T1	Solyc06g076700.1.1
OG0001432	FUN_003859-T1	Solyc01g087280.1.1
OG0001432	FUN_032845-T1	Solyc04g015530.2.1, Solyc10g080210.2.1
OG0001433	FUN_034719-T1	Solyc02g070500.1.1, Solyc08g016580.1.1
OG0001433	FUN_036061-T1	Solyc01g100750.2.1, Solyc01g100770.2.1, Solyc01g100760.2.1
OG0001434	FUN_047279-T1	Solyc08g014240.3.1, Solyc08g014230.3.1
OG0001434	FUN_000797-T2, FUN_000797-T3, FUN_000797-T1	Solyc06g053400.3.1, Solyc08g014130.3.1
OG0001435	FUN_030054-T1, FUN_039796-T1	Solyc00g017230.1.1
OG0001435	FUN_047924-T1	Solyc06g076220.3.1, Solyc06g005560.3.1, Solyc06g051800.3.1
OG0001437	FUN_001006-T1	Solyc01g080270.3.1
OG0001438	FUN_039851-T1	Solyc09g098340.3.1, Solyc05g053900.3.1
OG0001438	FUN_052512-T1, FUN_036201-T1, FUN_036200-T1	Solyc03g058400.3.1, Solyc05g055800.3.1, Solyc04g056590.3.1
OG0001439	FUN_007870-T1, FUN_026216-T1, FUN_021032-T1	Solyc06g066100.3.1, Solyc06g065980.3.1, Solyc06g068050.3.1
OG0001441	FUN_029596-T1	Solyc04g055160.3.1, Solyc03g078610.3.1, Solyc05g051970.3.1
OG0001441	FUN_038172-T2, FUN_038172-T1	Solyc04g073970.3.1
OG0001442	FUN_030247-T1, FUN_001128-T1	Solyc12g005190.2.1, Solyc07g064310.2.1
OG0001443	FUN_024237-T2, FUN_024237-T1	Solyc00g050430.3.1, Solyc12g088130.2.1
OG0001444	FUN_030621-T1, FUN_043765-T1, FUN_018918-T1, FUN_030960-T1, FUN_030959-T1, FUN_046582-T1, FUN_008669-T1	Solyc04g078930.3.1, Solyc03g095710.3.1
OG0001445	FUN_030958-T1, FUN_030958-T2, FUN_018919-T1	Solyc03g095260.3.1, Solyc06g048480.3.1
OG0001446	FUN_027012-T1	Solyc12g006240.2.1
OG0001447	FUN_027944-T1	Solyc07g051950.3.1
OG0001447	FUN_016934-T1, FUN_049773-T1	Solyc04g080990.2.1
OG0001447	FUN_012324-T1	Solyc03g031590.3.1
OG0001448	FUN_045834-T1	Solyc07g063630.3.1
OG0001448	FUN_008593-T1	Solyc02g079230.3.1
OG0001449	FUN_050580-T1, FUN_002229-T1	Solyc10g052660.3.1, Solyc02g069850.3.1
OG0001450	FUN_046698-T1	Solyc12g014260.1.1, Solyc10g007310.1.1, Solyc07g062470.3.1
OG0001450	FUN_036794-T1, FUN_037129-T1	Solyc10g008000.1.1
OG0001451	FUN_000685-T1	Solyc05g053260.3.1
OG0001452	FUN_046700-T3, FUN_046700-T4, FUN_046700-T1, FUN_046700-T2, FUN_008566-T2, FUN_008566-T1, FUN_008566-T3	Solyc03g006660.3.1, Solyc02g084400.3.1
OG0001453	FUN_046353-T1, FUN_046353-T2, FUN_046353-T3, FUN_046352-T1	Solyc10g006000.3.1, Solyc07g065490.3.1
OG0001454	FUN_046619-T1, FUN_011936-T1	Solyc07g063070.1.1
OG0001454	FUN_043156-T1, FUN_036660-T1	Solyc02g078030.2.1
OG0001455	FUN_042587-T2, FUN_042587-T1	Solyc07g065040.3.1, Solyc10g006100.3.1
OG0001456	FUN_049183-T1, FUN_037120-T1	Solyc10g017960.2.1
OG0001456	FUN_040752-T1, FUN_018751-T1	Solyc12g056410.2.1, Solyc08g080360.3.1
OG0001457	FUN_012023-T1, FUN_012024-T1, FUN_045842-T1	Solyc10g006755.1.1
OG0001458	FUN_026720-T2, FUN_026720-T1	Solyc05g026180.2.1
OG0001459	FUN_020982-T1	Solyc00g006540.1.1, Solyc06g066030.3.1, Solyc08g059800.3.1
OG0001460	FUN_044973-T1, FUN_008780-T1	Solyc06g053190.3.1
OG0001461	FUN_040920-T1, FUN_040920-T2, FUN_040920-T3, FUN_007921-T2, FUN_007921-T3, FUN_007921-T1	Solyc08g081180.3.1
OG0001461	FUN_037247-T1	Solyc10g012430.3.1, Solyc01g094680.3.1
OG0001462	FUN_009044-T2, FUN_009044-T1	Solyc03g007760.3.1
OG0001462	FUN_018183-T1	Solyc08g081740.3.1
OG0001463	FUN_037087-T2, FUN_037087-T3, FUN_037087-T1	Solyc01g091910.4.1
OG0001464	FUN_045346-T1, FUN_011132-T1, FUN_029149-T1	Solyc03g115760.3.1
OG0001464	FUN_032633-T1, FUN_032633-T2	Solyc05g013050.3.1
OG0001465	FUN_041352-T1, FUN_017364-T1	Solyc08g077630.3.1, Solyc08g077560.3.1
OG0001465	FUN_049471-T1	Solyc01g088690.3.1, Solyc11g031980.1.1, Solyc02g014320.1.1
OG0001466	FUN_005842-T1	Solyc09g009240.1.1, Solyc10g083560.1.1
OG0001466	FUN_018743-T1, FUN_040744-T1	Solyc08g080290.3.1, Solyc08g007840.2.1
OG0001467	FUN_049174-T1, FUN_049174-T2, FUN_037116-T1	Solyc10g017850.3.1, Solyc01g091730.3.1
OG0001468	FUN_002117-T3, FUN_002117-T2, FUN_002117-T4, FUN_002117-T5, FUN_002117-T1	Solyc11g006960.2.1
OG0001469	FUN_046304-T2, FUN_046304-T1, FUN_044069-T2, FUN_044069-T1	Solyc12g014610.2.1, Solyc07g065260.3.1
OG0001470	FUN_002105-T1, FUN_012012-T1	Solyc11g007180.2.1
OG0001470	FUN_020518-T1	Solyc09g009700.3.1
OG0001471	FUN_043214-T1, FUN_047397-T1	Solyc01g008580.1.1
OG0001472	FUN_047617-T1	Solyc07g062010.1.1, Solyc07g062020.2.1, Solyc10g007510.2.1
OG0001473	FUN_027145-T3, FUN_027145-T2, FUN_027145-T4, FUN_027145-T1	Solyc09g007870.3.1, Solyc09g005543.1.1, Solyc09g005540.2.1, Solyc09g005527.1.1
OG0001474	FUN_030075-T1, FUN_030086-T1, FUN_030076-T1	Solyc04g011610.2.1
OG0001475	FUN_002667-T1	Solyc11g006070.2.1
OG0001475	FUN_051883-T1	Solyc01g111170.3.1, Solyc10g054910.1.1
OG0001476	FUN_039398-T1, FUN_039398-T2	Solyc04g005030.3.1
OG0001477	FUN_005288-T1	Solyc07g043320.3.1
OG0001478	FUN_013088-T1, FUN_013089-T1, FUN_049315-T1	Solyc06g075650.3.1
OG0001479	FUN_012423-T1	Solyc02g080400.2.1
OG0001480	FUN_033947-T1	Solyc01g080170.3.1
OG0001481	FUN_032961-T1	Solyc10g080450.2.1, Solyc10g078710.1.1
OG0001482	FUN_008236-T1, FUN_008233-T1	Solyc03g114300.3.1
OG0001484	FUN_018635-T1	Solyc10g077070.2.1, Solyc09g082050.3.1
OG0001485	FUN_042695-T1	Solyc10g005920.3.1, Solyc07g065950.3.1
OG0001486	FUN_036734-T1	Solyc05g013680.3.1
OG0001486	FUN_027414-T1	Solyc05g013690.3.1
OG0001487	FUN_037324-T1	Solyc10g011815.1.1
OG0001487	FUN_005247-T1	Solyc08g063090.2.1
OG0001488	FUN_003438-T1, FUN_019419-T1, FUN_019419-T2, FUN_014079-T1	Solyc08g014280.3.1, Solyc06g053455.1.1
OG0001489	FUN_031977-T1, FUN_031975-T1, FUN_031992-T1	Solyc05g014270.3.1
OG0001489	FUN_031339-T1	Solyc02g093720.3.1, Solyc02g067950.3.1
OG0001490	FUN_048342-T1	Solyc11g027880.2.1
OG0001490	FUN_037645-T1	Solyc06g064940.3.1, Solyc11g051160.2.1
OG0001492	FUN_037576-T1, FUN_043113-T1	Solyc03g082380.3.1, Solyc03g082367.1.1
OG0001493	FUN_014862-T1	Solyc01g058670.3.1
OG0001493	FUN_036067-T1, FUN_052411-T1	Solyc01g100660.3.1
OG0001494	FUN_025321-T2, FUN_025321-T1, FUN_025321-T3, FUN_011459-T1, FUN_049084-T1	Solyc06g071880.3.1, Solyc06g071870.3.1, Solyc03g111230.3.1
OG0001495	FUN_046868-T1	Solyc04g008440.1.1
OG0001496	FUN_045359-T1, FUN_018903-T1	Solyc06g069660.2.1
OG0001497	FUN_010823-T1	Solyc03g112950.3.1
OG0001498	FUN_026401-T1, FUN_004630-T1	Solyc09g042525.1.1, Solyc11g028270.1.1, Solyc02g086920.2.1
OG0001500	FUN_029711-T2, FUN_029711-T1	Solyc03g046570.3.1
OG0001500	FUN_033788-T1	Solyc05g011810.3.1, Solyc04g005280.3.1
OG0001501	FUN_000641-T1, FUN_000641-T2	Solyc01g101040.3.1
OG0001501	FUN_009283-T1, FUN_032171-T3, FUN_032171-T1, FUN_009283-T2, FUN_032171-T4, FUN_032171-T2	Solyc05g005160.3.1, Solyc04g039670.3.1
OG0001503	FUN_034568-T2, FUN_034568-T1	Solyc11g012680.2.1, Solyc05g054210.3.1, Solyc04g015020.3.1
OG0001504	FUN_002753-T1	Solyc01g102685.1.1, Solyc02g024065.1.1
OG0001514	FUN_020216-T1, FUN_035459-T1	Solyc01g102260.3.1
OG0001516	FUN_020419-T1	Solyc02g068730.3.1
OG0001516	FUN_027317-T1	Solyc11g069790.2.1, Solyc06g075010.3.1
OG0001517	FUN_015192-T1	Solyc06g053653.1.1, Solyc06g053660.3.1
OG0001517	FUN_015189-T1	Solyc03g005470.3.1, Solyc09g089670.3.1
OG0001518	FUN_019108-T1, FUN_030362-T1	Solyc03g096050.3.1
OG0001519	FUN_019063-T1, FUN_030426-T1	Solyc06g050990.3.1, Solyc05g052480.3.1
OG0001521	FUN_012891-T1	Solyc01g067550.3.1, Solyc06g054625.1.1
OG0001521	FUN_024698-T1	Solyc09g074640.3.1, Solyc06g008740.3.1
OG0001522	FUN_006744-T1	Solyc02g010600.1.1, Solyc11g056360.2.1
OG0001523	FUN_025140-T1	Solyc01g006360.3.1, Solyc03g111570.3.1
OG0001523	FUN_000293-T2, FUN_000293-T3, FUN_000293-T1, FUN_025139-T1	Solyc03g111575.1.1, Solyc01g006350.3.1
OG0001524	FUN_001645-T1	Solyc04g078050.3.1
OG0001525	FUN_032824-T1, FUN_032824-T2	Solyc10g080100.2.1, Solyc09g031950.2.1, Solyc10g079405.1.1
OG0001526	FUN_034881-T1	Solyc08g006900.3.1, Solyc02g070310.3.1
OG0001527	FUN_049132-T1, FUN_039029-T1, FUN_020344-T1, FUN_020344-T2, FUN_039029-T2	Solyc02g070570.3.1, Solyc09g010100.3.1, Solyc10g083280.3.1
OG0001528	FUN_000105-T1, FUN_000296-T1	Solyc01g006370.3.1
OG0001529	FUN_014546-T1	Solyc09g082505.1.1
OG0001530	FUN_014761-T1, FUN_014761-T2	Solyc06g073340.3.1
OG0001530	FUN_036234-T1	Solyc11g008580.2.1
OG0001531	FUN_033007-T2, FUN_033007-T1	Solyc09g007100.3.1
OG0001533	FUN_014894-T1, FUN_006624-T4, FUN_006624-T2, FUN_006624-T3, FUN_006624-T5, FUN_006624-T1	Solyc01g059860.3.1, Solyc12g099250.2.1
OG0001534	FUN_015920-T1, FUN_034600-T1	Solyc01g044420.3.1, Solyc01g005800.3.1
OG0001535	FUN_019075-T1, FUN_019075-T2, FUN_030415-T1	Solyc06g051030.3.1
OG0001536	FUN_017961-T1, FUN_008546-T1, FUN_008537-T1, FUN_046816-T1	Solyc02g079660.1.1, Solyc02g079700.1.1, Solyc07g053080.3.1
OG0001536	FUN_012530-T1, FUN_012542-T1, FUN_012548-T1	Solyc02g080020.1.1
OG0001537	FUN_003833-T1, FUN_003834-T2, FUN_003834-T1	Solyc10g084950.2.1, Solyc09g011390.3.1
OG0001539	FUN_038846-T3, FUN_038846-T2, FUN_038846-T1	Solyc11g045160.2.1
OG0001540	FUN_046496-T3, FUN_046496-T1	Solyc07g065980.3.1
OG0001540	FUN_004636-T1	Solyc03g058970.3.1
OG0001541	FUN_017225-T1	Solyc03g093560.1.1, Solyc03g093550.1.1, Solyc03g093540.1.1, Solyc05g052040.1.1, Solyc08g078190.1.1
OG0001542	FUN_052331-T1, FUN_014206-T1, FUN_000700-T1	Solyc01g101260.2.1
OG0001543	FUN_014563-T1	Solyc10g055710.2.1
OG0001543	FUN_042743-T1, FUN_025713-T1	Solyc04g082040.3.1, Solyc12g094420.2.1
OG0001544	FUN_048634-T1, FUN_048634-T2	Solyc04g074220.3.1
OG0001544	FUN_051830-T2, FUN_051830-T1, FUN_045611-T1	Solyc10g047340.2.1
OG0001545	FUN_024489-T1, FUN_024488-T1, FUN_024488-T2	Solyc04g077960.1.1, Solyc12g088380.1.1
OG0001546	FUN_029486-T1, FUN_029486-T2	Solyc02g090480.3.1
OG0001546	FUN_046034-T1, FUN_046034-T2	Solyc01g108340.3.1
OG0001547	FUN_002657-T1, FUN_002358-T1, FUN_009916-T1, FUN_009916-T2, FUN_023505-T1	Solyc01g108880.3.1
OG0001548	FUN_024306-T1	Solyc04g077120.3.1, Solyc12g088200.2.1
OG0001549	FUN_017013-T1, FUN_029589-T1	Solyc03g078570.3.1
OG0001549	FUN_017396-T1, FUN_041374-T1	Solyc01g088560.3.1
OG0001550	FUN_039576-T1	Solyc08g078230.3.1
OG0001551	FUN_035187-T1	Solyc08g014370.1.1, Solyc02g068680.1.1, Solyc12g038680.1.1
OG0001552	FUN_045759-T1, FUN_051995-T2, FUN_051995-T3, FUN_051995-T5, FUN_051995-T4, FUN_051995-T1	Solyc01g111680.3.1
OG0001553	FUN_041619-T1, FUN_041618-T1, FUN_041615-T1, FUN_041616-T1, FUN_041612-T1, FUN_041614-T1, FUN_041611-T1, FUN_041613-T1, FUN_041617-T1	Solyc04g078660.1.1
OG0001554	FUN_027729-T1	Solyc02g014350.3.1
OG0001555	FUN_024901-T1, FUN_035742-T1	Solyc02g085560.3.1, Solyc08g078600.3.1
OG0001556	FUN_001764-T1	Solyc12g010470.2.1, Solyc07g007320.2.1
OG0001556	FUN_040271-T1	Solyc01g091000.3.1
OG0001557	FUN_016612-T1, FUN_016610-T1, FUN_030331-T3, FUN_030331-T2, FUN_016611-T1, FUN_030331-T1	Solyc12g014090.2.1
OG0001558	FUN_041692-T1, FUN_041697-T1, FUN_041696-T1	Solyc09g009710.3.1
OG0001559	FUN_038562-T1	Solyc04g076810.3.1
OG0001560	FUN_051872-T1, FUN_045652-T1	Solyc01g111090.3.1, Solyc10g054850.2.1
OG0001561	FUN_019428-T1	Solyc02g093830.3.1
OG0001562	FUN_037363-T1	Solyc01g095610.3.1, Solyc10g009590.3.1
OG0001562	FUN_041087-T1, FUN_041088-T1, FUN_018288-T1	Solyc08g082060.3.1
OG0001563	FUN_008819-T1	Solyc06g052050.3.1
OG0001563	FUN_034207-T2, FUN_051475-T1, FUN_034207-T1	Solyc01g099660.3.1
OG0001564	FUN_005944-T1, FUN_005944-T2	Solyc05g032850.3.1
OG0001565	FUN_011537-T1	Solyc09g065650.3.1
OG0001565	FUN_011531-T1	Solyc06g084100.3.1
OG0001566	FUN_021478-T1, FUN_021478-T2	Solyc08g062960.3.1
OG0001566	FUN_001869-T1	Solyc07g040680.3.1
OG0001567	FUN_052283-T1	Solyc01g068270.3.1
OG0001567	FUN_033089-T2, FUN_033089-T1	Solyc04g057930.3.1
OG0001568	FUN_022856-T2, FUN_022856-T1	Solyc06g036080.3.1, Solyc03g025360.3.1
OG0001569	FUN_015904-T1	Solyc06g066430.3.1
OG0001569	FUN_026681-T1	Solyc12g008520.2.1
OG0001570	FUN_053230-T1, FUN_037159-T1	Solyc03g006480.2.1, Solyc12g013600.2.1
OG0001571	FUN_026373-T3, FUN_026373-T1, FUN_026373-T2, FUN_015551-T1	Solyc12g006990.2.1
OG0001572	FUN_026165-T1, FUN_026164-T1	Solyc12g009590.2.1, Solyc07g008170.2.1
OG0001573	FUN_018586-T1, FUN_040588-T1	Solyc08g079460.3.1
OG0001573	FUN_015437-T1, FUN_015437-T2	Solyc03g083510.3.1
OG0001573	FUN_049701-T1, FUN_037000-T1, FUN_037000-T2	Solyc01g091230.3.1
OG0001575	FUN_033056-T2, FUN_033056-T1	Solyc10g080680.2.1
OG0001576	FUN_048000-T1	Solyc06g076440.2.1
OG0001577	FUN_027446-T1	Solyc11g072630.2.1
OG0001577	FUN_048055-T1	Solyc05g049970.3.1, Solyc01g094960.3.1
OG0001578	FUN_048934-T1, FUN_048934-T2	Solyc06g073860.2.1, Solyc06g073880.3.1, Solyc01g006810.3.1, Solyc10g081710.2.1
OG0001579	FUN_012598-T1	Solyc07g044990.3.1
OG0001580	FUN_032336-T1, FUN_020496-T1, FUN_014726-T1, FUN_032338-T1	Solyc10g085410.2.1
OG0001581	FUN_021250-T1	Solyc05g046040.2.1
OG0001582	FUN_017955-T1	Solyc07g056310.3.1
OG0001582	FUN_052342-T1, FUN_036007-T1	Solyc01g101120.3.1
OG0001583	FUN_042110-T3, FUN_042110-T1	Solyc01g006720.3.1
OG0001584	FUN_013091-T1	Solyc06g005330.3.1, Solyc06g005310.3.1, Solyc11g073120.2.1, Solyc06g075660.3.1
OG0001585	FUN_002871-T1	Solyc07g066440.3.1
OG0001586	FUN_039031-T1	Solyc09g010090.4.1, Solyc09g010080.3.1, Solyc10g083300.2.1, Solyc10g083290.4.1, Solyc10g085650.2.1, Solyc10g045585.1.1, Solyc10g085640.1.1, Solyc10g085360.2.1
OG0001587	FUN_010399-T1, FUN_004368-T1, FUN_010409-T1, FUN_004367-T1	Solyc11g005290.1.1, Solyc11g005320.1.1, Solyc11g005300.2.1, Solyc11g005310.1.1, Solyc11g005280.1.1
OG0001588	FUN_024324-T1, FUN_005012-T1, FUN_024315-T1	Solyc04g077190.3.1, Solyc12g088210.2.1
OG0001589	FUN_026965-T1, FUN_026962-T1, FUN_026962-T2	Solyc04g071540.3.1
OG0001590	FUN_026697-T1, FUN_046606-T1	Solyc03g005090.3.1, Solyc02g093850.3.1
OG0001590	FUN_031969-T1	Solyc05g014510.3.1
OG0001591	FUN_027209-T1	Solyc01g103420.3.1, Solyc10g044450.2.1
OG0001593	FUN_009392-T1, FUN_032113-T1	Solyc05g013580.3.1
OG0001594	FUN_037434-T1, FUN_048165-T1	Solyc01g095900.3.1, Solyc05g050630.3.1
OG0001595	FUN_017998-T2, FUN_017998-T1	Solyc06g048420.2.1, Solyc06g048410.3.1, Solyc03g095180.3.1
OG0001596	FUN_022438-T1, FUN_022435-T1	Solyc02g081270.3.1, Solyc02g036430.2.1
OG0001597	FUN_029870-T1, FUN_029870-T2, FUN_029880-T1, FUN_016561-T1, FUN_029869-T1	Solyc03g034220.3.1, Solyc02g085950.3.1, Solyc02g063150.3.1
OG0001598	FUN_041472-T1, FUN_017435-T2, FUN_017435-T1, FUN_041481-T1, FUN_041480-T1, FUN_041475-T1	Solyc06g061100.3.1
OG0001600	FUN_032669-T1	Solyc05g012640.3.1, Solyc05g012650.3.1, Solyc04g005500.3.1, Solyc06g069395.1.1
OG0001601	FUN_027647-T1	Solyc02g062050.2.1, Solyc05g005260.2.1
OG0001601	FUN_010829-T1	Solyc03g114350.1.1
OG0001602	FUN_010995-T1, FUN_010994-T1	Solyc03g113340.3.1
OG0001602	FUN_008543-T1, FUN_010993-T1	Solyc03g113330.3.1
OG0001603	FUN_033485-T1, FUN_033485-T3, FUN_033485-T4, FUN_033485-T2	Solyc09g059675.1.1
OG0001604	FUN_041656-T1, FUN_041656-T4, FUN_041656-T5, FUN_041656-T7, FUN_041656-T3, FUN_041656-T6, FUN_041656-T2, FUN_017682-T5, FUN_017682-T1, FUN_017682-T2, FUN_017682-T3, FUN_017682-T4	Solyc08g005240.2.1, Solyc08g076390.3.1
OG0001605	FUN_012771-T1, FUN_012558-T1, FUN_028370-T2, FUN_028370-T1, FUN_028370-T3	Solyc07g042260.3.1
OG0001606	FUN_011691-T1	Solyc07g061780.3.1
OG0001607	FUN_031671-T1, FUN_031673-T1, FUN_031676-T1, FUN_031663-T1, FUN_031672-T1, FUN_000597-T1, FUN_036477-T1, FUN_036222-T1, FUN_026072-T1, FUN_036893-T1, FUN_014792-T1, FUN_036884-T1, FUN_046569-T1, FUN_046572-T1	Solyc02g032270.1.1, Solyc02g032210.1.1, Solyc02g032290.1.1, Solyc02g032280.1.1, Solyc11g005210.1.1
OG0001616	FUN_030955-T2, FUN_030955-T1	Solyc03g095310.3.1
OG0001616	FUN_049481-T1	Solyc01g088760.3.1
OG0001617	FUN_050401-T1, FUN_025058-T1	Solyc09g056450.3.1
OG0001618	FUN_000991-T1, FUN_000992-T2, FUN_000992-T1, FUN_000991-T2, FUN_037219-T1	Solyc09g005720.3.1, Solyc10g084610.3.1, Solyc10g086330.2.1
OG0001619	FUN_005296-T1	Solyc08g062450.1.1, Solyc08g062340.3.1
OG0001620	FUN_031817-T1, FUN_025269-T1	Solyc05g015950.3.1
OG0001621	FUN_036525-T1, FUN_052765-T1	Solyc11g062260.2.1
OG0001622	FUN_007881-T1, FUN_052059-T1, FUN_004485-T1	Solyc11g006310.2.1
OG0001623	FUN_013878-T2, FUN_002490-T3, FUN_002490-T2, FUN_013878-T3, FUN_013878-T1, FUN_013883-T1	Solyc03g025520.3.1, Solyc06g036050.3.1, Solyc01g094560.3.1
OG0001624	FUN_001755-T1, FUN_001755-T2, FUN_020853-T1	Solyc12g042080.2.1, Solyc06g073790.3.1, Solyc06g073800.3.1
OG0001626	FUN_035711-T1	Solyc01g073650.3.1, Solyc01g005950.3.1, Solyc01g034020.3.1
OG0001627	FUN_039508-T1	Solyc09g008485.1.1, Solyc10g086320.2.1
OG0001628	FUN_014221-T1	Solyc12g098960.2.1
OG0001629	FUN_008814-T1	Solyc03g082900.3.1
OG0001629	FUN_010198-T1, FUN_030017-T1	Solyc07g005330.3.1, Solyc05g054440.3.1
OG0001630	FUN_024850-T1	Solyc06g008170.3.1
OG0001631	FUN_021605-T1	Solyc01g011415.1.1, Solyc12g035280.1.1, Solyc01g050020.2.1
OG0001632	FUN_005932-T1, FUN_005932-T2	Solyc04g049120.3.1
OG0001633	FUN_029378-T1	Solyc04g078640.2.1
OG0001634	FUN_012869-T1, FUN_004113-T1	Solyc10g074870.2.1, Solyc09g031930.3.1
OG0001635	FUN_006515-T1, FUN_002762-T1	Solyc02g062880.1.1, Solyc02g062875.1.1, Solyc08g006200.2.1, Solyc08g006210.2.1, Solyc08g006190.2.1, Solyc08g006240.2.1, Solyc08g006220.3.1, Solyc02g055370.3.1, Solyc08g006490.2.1, Solyc08g006230.3.1, Solyc08g006260.2.1, Solyc08g006280.2.1, Solyc04g064830.3.1
OG0001636	FUN_020525-T2, FUN_020525-T1	Solyc09g009880.3.1
OG0001637	FUN_027089-T1	Solyc04g079560.3.1
OG0001637	FUN_025685-T1	Solyc04g082220.2.1
OG0001638	FUN_020191-T2, FUN_020191-T1	Solyc01g104140.3.1
OG0001639	FUN_031848-T1, FUN_037124-T1	Solyc06g082510.3.1
OG0001640	FUN_024339-T1	Solyc04g077400.4.1, Solyc12g088230.2.1
OG0001641	FUN_044132-T4, FUN_044132-T2, FUN_003746-T2, FUN_009930-T1, FUN_044132-T1, FUN_003746-T1	Solyc07g052350.3.1, Solyc12g005860.2.1
OG0001642	FUN_051837-T1, FUN_045623-T2, FUN_045623-T1	Solyc01g105230.3.1
OG0001643	FUN_030576-T1	Solyc02g092330.3.1
OG0001644	FUN_003103-T1	Solyc04g071310.3.1
OG0001645	FUN_030155-T2, FUN_030155-T1, FUN_003980-T3, FUN_003980-T2, FUN_003980-T1	Solyc01g098410.3.1
OG0001646	FUN_012365-T1, FUN_012364-T1, FUN_012361-T1, FUN_012361-T2, FUN_042799-T1, FUN_042799-T2, FUN_042800-T1	Solyc09g064940.2.1
OG0001647	FUN_048252-T1, FUN_048252-T2, FUN_037555-T1	Solyc05g047600.3.1
OG0001647	FUN_042224-T2, FUN_042224-T1	Solyc02g021440.3.1
OG0001648	FUN_046160-T1, FUN_046161-T1	Solyc07g064880.3.1, Solyc09g059970.3.1
OG0001649	FUN_038347-T1, FUN_038347-T2, FUN_049451-T1	Solyc11g008310.2.1, Solyc02g033070.1.1, Solyc05g024140.1.1, Solyc05g024170.1.1, Solyc05g055560.1.1
OG0001650	FUN_050379-T1, FUN_050378-T1	Solyc09g057960.1.1
OG0001651	FUN_046434-T1, FUN_042630-T1	Solyc07g065700.3.1
OG0001652	FUN_012192-T1	Solyc11g012420.2.1
OG0001652	FUN_050460-T1	Solyc05g041910.3.1, Solyc07g048070.3.1
OG0001653	FUN_006607-T1, FUN_004569-T3, FUN_004569-T1, FUN_004569-T2, FUN_032798-T3, FUN_032798-T1, FUN_032798-T2	Solyc04g055120.3.1
OG0001654	FUN_010974-T2, FUN_010974-T1	Solyc06g071210.3.1
OG0001654	FUN_004092-T1	Solyc10g074930.1.1
OG0001655	FUN_037134-T1, FUN_049193-T2, FUN_049193-T1	Solyc05g051040.3.1, Solyc01g091600.3.1
OG0001656	FUN_028460-T1, FUN_027362-T2, FUN_027362-T3, FUN_027362-T1	Solyc07g042500.3.1
OG0001657	FUN_007966-T2, FUN_007966-T3, FUN_007966-T1, FUN_007965-T1	Solyc04g050560.3.1
OG0001657	FUN_007968-T1	Solyc08g080900.3.1, Solyc08g080910.3.1
OG0001658	FUN_052179-T1	Solyc06g068410.3.1, Solyc03g117030.2.1
OG0001658	FUN_010373-T1	Solyc11g045130.2.1
OG0001659	FUN_037003-T2, FUN_048188-T1, FUN_037003-T1	Solyc01g091270.3.1
OG0001659	FUN_018592-T1	Solyc08g079500.3.1
OG0001660	FUN_005527-T3, FUN_052172-T1, FUN_005527-T1	Solyc01g103800.3.1, Solyc12g042650.2.1, Solyc03g083290.3.1
OG0001662	FUN_020554-T1	Solyc08g006420.3.1
OG0001663	FUN_021149-T1, FUN_021177-T1	Solyc08g062500.3.1
OG0001663	FUN_040370-T1	Solyc05g032750.3.1, Solyc07g041180.3.1
OG0001664	FUN_022536-T1, FUN_022536-T2	Solyc06g035490.3.1
OG0001664	FUN_040672-T1, FUN_040680-T1	Solyc03g006910.3.1, Solyc09g074810.3.1
OG0001665	FUN_005856-T1, FUN_003589-T1, FUN_003589-T2, FUN_005855-T1	Solyc05g054930.3.1
